3#app#app41#app4127/h  -0.814 1.506  -0.814 1.663  -0.716 1.722  -0.598 1.683  -0.598 1.526  -0.598 1.369  -0.598 1.211  -0.598 1.054  -0.598 0.897  -0.598 0.740  -0.598 0.583  -0.598 0.426  -0.598 0.269  -0.598 0.112  -0.570 -0.033  -0.458 -0.144  -0.382 -0.270  -0.382 -0.427  -0.382 -0.584  -0.382 -0.741  -0.352 -0.868  -0.195 -0.868  -0.167 -0.996  -0.167 -1.153  -0.159 -1.292  -0.048 -1.181  0.049 -1.064  0.049 -0.907  0.049 -0.750  0.091 -0.610  0.202 -0.499  0.265 -0.368  0.265 -0.211  0.265 -0.054  0.265 0.103  0.314 0.211  0.471 0.211  0.481 0.359  0.481 0.339  0.511 0.211  0.668 0.211  0.697 0.083  0.697 -0.074  0.707 -0.220  0.864 -0.220  0.913 -0.329  0.948 -0.471  1.059 -0.582  1.128 -0.711  1.128 -0.868
3#app#app41#app4127/v  -1.720 0.465  -1.604 0.465  -1.489 0.465  -1.373 0.465  -1.258 0.465  -1.142 0.465  -1.027 0.465  -0.911 0.465  -0.796 0.465  -0.680 0.465  -0.588 0.442  -0.588 0.327  -0.588 0.211  -0.588 0.096  -0.588 -0.020  -0.588 -0.135  -0.588 -0.251  -0.588 -0.366  -0.588 -0.482  -0.588 -0.597  -0.542 -0.666  -0.426 -0.666  -0.311 -0.666  -0.195 -0.666  -0.080 -0.666  0.036 -0.666  0.151 -0.666  0.267 -0.666  0.382 -0.666  0.498 -0.666  0.544 -0.597  0.544 -0.482  0.544 -0.366  0.544 -0.251  0.544 -0.135  0.625 -0.100  0.740 -0.100  0.856 -0.100  0.971 -0.100  1.087 -0.100  1.110 -0.008  1.110 0.107  1.110 0.223  1.110 0.338  1.110 0.454  1.110 0.569  1.110 0.685  1.110 0.800  1.110 0.916  1.110 1.031
3#app#app41#app4127/e  -0.972 0.004  -0.972 -0.192  -0.972 -0.388  -0.854 -0.467  -0.658 -0.467  -0.462 -0.467  -0.266 -0.467  -0.071 -0.467  0.125 -0.467  0.321 -0.467  0.439 -0.388  0.439 -0.193  0.439 0.003  0.635 0.004  0.831 0.004  0.909 0.121  0.909 0.317  0.948 0.474  1.144 0.474  1.340 0.474  1.379 0.630  1.379 0.826  1.302 0.944  1.106 0.944  0.910 0.944  0.714 0.944  0.518 0.944  0.322 0.944  0.126 0.944  -0.031 0.906  -0.031 0.710  -0.031 0.514  -0.187 0.474  -0.383 0.474  -0.501 0.396  -0.501 0.200  -0.501 0.004  -0.697 0.004  -0.892 0.004  -0.972 -0.113  -0.972 -0.309  -0.972 -0.505  -0.972 -0.701  -0.972 -0.897  -0.816 -0.937  -0.620 -0.937  -0.447 -0.992  -0.308 -1.130  -0.170 -1.269  -0.031 -1.407
3#app#app41#app4127/r  -0.888 1.056  -0.888 0.936  -0.888 0.817  -0.888 0.697  -0.888 0.578  -0.888 0.458  -0.888 0.339  -0.888 0.220  -0.888 0.100  -0.888 -0.019  -0.888 -0.139  -0.888 -0.258  -0.858 -0.365  -0.774 -0.449  -0.690 -0.534  -0.605 -0.618  -0.521 -0.703  -0.436 -0.787  -0.352 -0.872  -0.267 -0.956  -0.179 -1.031  -0.059 -1.031  0.060 -1.031  0.179 -1.031  0.299 -1.031  0.418 -1.031  0.503 -0.996  0.503 -0.876  0.503 -0.757  0.503 -0.637  0.503 -0.518  0.503 -0.399  0.503 -0.279  0.503 -0.160  0.503 -0.040  0.503 0.079  0.503 0.199  0.503 0.318  0.503 0.437  0.503 0.557  0.503 0.676  0.503 0.796  0.503 0.915  0.503 1.034  0.601 1.056  0.720 1.056  0.840 1.056  0.959 1.056  1.079 1.056  1.198 1.056
3#app#app41#app4127/y  -0.798 1.222  -0.798 1.091  -0.798 0.960  -0.798 0.829  -0.798 0.698  -0.798 0.567  -0.798 0.436  -0.723 0.380  -0.592 0.380  -0.461 0.380  -0.377 0.426  -0.377 0.557  -0.307 0.659  -0.215 0.752  -0.166 0.863  -0.166 0.994  -0.166 1.125  -0.142 1.198  -0.049 1.105  0.043 1.012  0.044 0.882  0.044 0.751  0.044 0.620  0.146 0.590  0.255 0.568  0.255 0.437  0.255 0.306  0.255 0.175  0.255 0.044  0.287 -0.073  0.379 -0.166  0.466 -0.261  0.466 -0.392  0.466 -0.523  0.466 -0.654  0.466 -0.785  0.489 -0.907  0.581 -1.000  0.674 -1.092  0.676 -1.222  0.642 -1.339  0.549 -1.432  0.457 -1.507  0.364 -1.414  0.271 -1.321  0.147 -1.305  0.044 -1.277  0.044 -1.146  -0.035 -1.094  -0.166 -1.094
3#app#app41#app4127/o  0.545 1.120  0.393 1.120  0.242 1.120  0.090 1.120  0.075 0.983  0.075 0.831  0.075 0.679  -0.048 0.650  -0.199 0.650  -0.351 0.650  -0.472 0.573  -0.579 0.466  -0.686 0.359  -0.794 0.251  -0.865 0.129  -0.865 -0.023  -0.865 -0.175  -0.865 -0.327  -0.865 -0.479  -0.865 -0.631  -0.850 -0.776  -0.742 -0.883  -0.635 -0.991  -0.528 -1.098  -0.420 -1.206  -0.279 -1.231  -0.127 -1.231  0.025 -1.231  0.177 -1.231  0.329 -1.231  0.481 -1.231  0.545 -1.144  0.545 -0.992  0.545 -0.840  0.545 -0.688  0.545 -0.536  0.545 -0.384  0.545 -0.232  0.545 -0.080  0.545 0.071  0.545 0.223  0.545 0.375  0.545 0.527  0.545 0.679  0.545 0.831  0.545 0.983  0.531 1.120  0.379 1.120  0.227 1.120  0.075 1.120
3#app#app41#app4127/p  -0.130 -0.631  -0.130 -0.762  -0.130 -0.892  -0.130 -1.023  -0.130 -1.154  -0.130 -1.285  -0.130 -1.416  -0.130 -1.546  -0.130 -1.677  -0.130 -1.554  -0.130 -1.423  -0.130 -1.292  -0.130 -1.161  -0.130 -1.031  -0.130 -0.900  -0.130 -0.769  -0.130 -0.638  -0.130 -0.507  -0.130 -0.377  -0.216 -0.282  -0.309 -0.189  -0.392 -0.093  -0.392 0.038  -0.392 0.169  -0.392 0.299  -0.392 0.430  -0.392 0.561  -0.392 0.692  -0.392 0.823  -0.392 0.953  -0.392 1.084  -0.384 1.207  -0.253 1.207  -0.122 1.207  0.009 1.207  0.139 1.207  0.270 1.207  0.395 1.201  0.395 1.070  0.400 0.944  0.531 0.944  0.658 0.941  0.658 0.810  0.658 0.679  0.658 0.548  0.658 0.417  0.658 0.287  0.657 0.157  0.526 0.157  0.395 0.157
3#app#app41#app4127/p  -0.252 -0.267  -0.252 -0.406  -0.252 -0.545  -0.252 -0.683  -0.252 -0.822  -0.252 -0.961  -0.252 -1.099  -0.252 -1.238  -0.252 -1.377  -0.252 -1.515  -0.252 -1.654  -0.252 -1.611  -0.252 -1.473  -0.252 -1.334  -0.252 -1.195  -0.252 -1.057  -0.252 -0.918  -0.252 -0.780  -0.252 -0.641  -0.252 -0.502  -0.252 -0.364  -0.252 -0.225  -0.252 -0.086  -0.252 0.052  -0.252 0.191  -0.252 0.329  -0.252 0.468  -0.252 0.607  -0.212 0.729  -0.114 0.827  -0.016 0.925  -0.013 1.062  -0.013 1.201  -0.013 1.340  0.059 1.406  0.198 1.406  0.226 1.296  0.236 1.167  0.375 1.167  0.465 1.119  0.465 0.980  0.465 0.842  0.465 0.703  0.590 0.689  0.704 0.665  0.704 0.526  0.704 0.387  0.704 0.249  0.604 0.211  0.465 0.211
3#app#app41#app4127/o  -0.010 1.117  -0.172 1.117  -0.333 1.117  -0.465 1.087  -0.465 0.925  -0.465 0.763  -0.508 0.619  -0.622 0.505  -0.736 0.391  -0.851 0.276  -0.920 0.143  -0.920 -0.018  -0.920 -0.180  -0.920 -0.342  -0.920 -0.503  -0.920 -0.665  -0.796 -0.703  -0.634 -0.703  -0.473 -0.703  -0.465 -0.857  -0.465 -1.019  -0.443 -1.158  -0.281 -1.158  -0.119 -1.158  -0.010 -1.106  -0.010 -0.944  -0.010 -0.782  0.073 -0.703  0.234 -0.703  0.396 -0.703  0.558 -0.703  0.719 -0.703  0.881 -0.703  0.900 -0.560  0.900 -0.399  0.900 -0.237  0.900 -0.075  0.900 0.086  0.900 0.248  0.900 0.410  0.900 0.572  0.829 0.662  0.667 0.662  0.505 0.662  0.445 0.763  0.445 0.925  0.445 1.087  0.313 1.117  0.152 1.117  -0.010 1.117
3#app#app41#app4127/r  -0.673 -0.279  -0.673 -0.377  -0.673 -0.476  -0.673 -0.574  -0.673 -0.673  -0.673 -0.771  -0.673 -0.870  -0.673 -0.968  -0.673 -1.067  -0.591 -1.083  -0.492 -1.083  -0.394 -1.083  -0.295 -1.083  -0.197 -1.083  -0.098 -1.083  -0.000 -1.083  0.098 -1.083  0.131 -1.017  0.131 -0.919  0.131 -0.820  0.131 -0.722  0.131 -0.624  0.131 -0.525  0.131 -0.427  0.131 -0.328  0.131 -0.230  0.131 -0.131  0.131 -0.033  0.131 0.066  0.131 0.164  0.131 0.263  0.131 0.361  0.131 0.459  0.131 0.558  0.131 0.656  0.131 0.755  0.131 0.853  0.131 0.952  0.131 1.050  0.131 1.149  0.131 1.247  0.148 1.329  0.246 1.329  0.345 1.329  0.443 1.329  0.541 1.329  0.640 1.329  0.738 1.329  0.837 1.329  0.935 1.329
3#app#app41#app4127/t  -0.032 1.933  -0.032 1.717  -0.032 1.501  -0.032 1.285  -0.032 1.069  -0.032 0.853  -0.032 0.636  -0.032 0.420  -0.032 0.204  -0.032 -0.012  -0.032 -0.228  -0.032 -0.444  -0.032 -0.660  -0.032 -0.876  0.176 -0.885  0.321 -0.956  0.321 -1.172  0.472 -1.237  0.688 -1.237  0.904 -1.237  1.025 -1.142  1.025 -0.926  0.873 -0.798  0.685 -0.691  0.498 -0.583  0.310 -0.476  0.123 -0.369  -0.065 -0.262  -0.253 -0.155  -0.440 -0.047  -0.628 0.060  -0.816 0.167  -1.003 0.274  -1.191 0.382  -1.378 0.489  -1.296 0.524  -1.088 0.516  -1.088 0.300  -1.000 0.172  -0.784 0.172  -0.567 0.172  -0.351 0.172  -0.135 0.172  0.081 0.172  0.297 0.172  0.513 0.172  0.729 0.172  0.945 0.172  1.161 0.172  1.377 0.172
3#app#app41#app4127/u  -0.915 1.389  -0.809 1.283  -0.703 1.177  -0.597 1.071  -0.497 0.968  -0.646 0.968  -0.796 0.968  -0.915 0.937  -0.915 0.787  -0.915 0.638  -0.915 0.488  -0.915 0.338  -0.915 0.189  -0.915 0.039  -0.915 -0.111  -0.915 -0.260  -0.915 -0.410  -0.915 -0.560  -0.915 -0.709  -0.772 -0.716  -0.623 -0.716  -0.473 -0.716  -0.323 -0.716  -0.174 -0.716  -0.024 -0.716  0.126 -0.716  0.275 -0.716  0.348 -0.640  0.348 -0.490  0.348 -0.341  0.453 -0.295  0.602 -0.295  0.752 -0.295  0.770 -0.163  0.770 -0.014  0.770 0.136  0.770 0.286  0.770 0.435  0.770 0.509  0.770 0.359  0.770 0.209  0.770 0.060  0.770 -0.090  0.770 -0.240  0.863 -0.295  1.013 -0.295  1.163 -0.295  1.191 -0.417  1.191 -0.567  1.191 -0.716
3#app#app41#app4127/n  -0.386 1.044  -0.386 0.870  -0.386 0.696  -0.386 0.522  -0.386 0.348  -0.386 0.174  -0.386 -0.000  -0.386 -0.174  -0.386 -0.348  -0.386 -0.522  -0.386 -0.696  -0.386 -0.871  -0.386 -1.045  -0.408 -1.197  -0.582 -1.197  -0.756 -1.197  -0.930 -1.197  -1.104 -1.197  -1.032 -1.096  -0.909 -0.972  -0.786 -0.849  -0.662 -0.726  -0.539 -0.603  -0.416 -0.480  -0.386 -0.319  -0.386 -0.144  -0.386 0.030  -0.386 0.204  -0.306 0.297  -0.132 0.297  0.042 0.297  0.216 0.297  0.361 0.327  0.361 0.501  0.361 0.675  0.361 0.849  0.361 1.023  0.514 1.044  0.688 1.044  0.862 1.044  1.036 1.044  1.108 0.942  1.108 0.768  1.108 0.594  1.108 0.420  1.108 0.246  1.108 0.072  1.108 -0.102  1.108 -0.276  1.108 -0.450
3#app#app41#app4127/i  -0.153 -0.838  -0.153 -0.918  -0.153 -0.998  -0.153 -1.078  -0.153 -1.158  -0.153 -1.238  -0.153 -1.318  -0.153 -1.397  -0.149 -1.399  -0.141 -1.320  -0.133 -1.240  -0.125 -1.161  -0.117 -1.081  -0.109 -1.002  -0.102 -0.922  -0.094 -0.843  -0.086 -0.763  -0.078 -0.684  -0.070 -0.604  -0.062 -0.525  -0.054 -0.446  -0.046 -0.366  -0.038 -0.287  -0.030 -0.207  -0.022 -0.128  -0.014 -0.048  -0.006 0.031  0.002 0.111  0.010 0.190  0.018 0.270  0.026 0.349  0.034 0.429  0.042 0.508  0.049 0.588  0.057 0.667  0.065 0.747  0.073 0.826  0.081 0.906  0.089 0.985  0.097 1.064  0.105 1.144  0.113 1.223  0.121 1.303  0.129 1.382  0.137 1.462  0.145 1.541  0.207 1.561  0.287 1.561  0.367 1.561  0.447 1.561
3#app#app41#app4127/t  -0.281 1.914  -0.064 1.914  -0.018 1.743  -0.018 1.526  -0.098 1.388  -0.281 1.354  -0.281 1.137  -0.281 0.920  -0.281 0.703  -0.281 0.486  -0.281 0.269  -0.281 0.052  -0.281 -0.165  -0.281 -0.382  -0.281 -0.600  -0.180 -0.715  -0.018 -0.771  -0.008 -0.978  0.209 -0.978  0.245 -1.159  0.380 -1.241  0.597 -1.241  0.814 -1.241  1.031 -1.241  0.872 -1.100  0.709 -0.957  0.545 -0.814  0.382 -0.671  0.219 -0.528  0.055 -0.385  -0.108 -0.242  -0.271 -0.099  -0.435 0.044  -0.598 0.187  -0.762 0.330  -0.925 0.473  -1.052 0.582  -0.899 0.428  -0.720 0.336  -0.544 0.295  -0.544 0.078  -0.331 0.074  -0.114 0.074  0.103 0.074  0.298 0.020  0.452 -0.133  0.645 -0.189  0.863 -0.189  1.080 -0.189  1.297 -0.189
3#app#app41#app4127/y  -1.063 1.130  -0.914 1.130  -0.886 1.009  -0.794 0.952  -0.708 0.888  -0.673 0.774  -0.526 0.770  -0.420 0.664  -0.352 0.650  -0.327 0.774  -0.178 0.774  -0.072 0.877  0.003 0.995  0.003 1.145  0.003 1.294  0.003 1.172  0.110 1.130  0.181 1.051  0.181 0.902  0.181 0.753  0.181 0.604  0.181 0.454  0.181 0.305  0.219 0.165  0.286 0.032  0.352 -0.102  0.359 -0.250  0.359 -0.399  0.414 -0.525  0.519 -0.631  0.537 -0.773  0.537 -0.922  0.537 -1.071  0.537 -1.221  0.537 -1.370  0.537 -1.519  0.405 -1.537  0.286 -1.464  0.180 -1.359  0.031 -1.359  0.003 -1.238  0.003 -1.089  0.003 -0.940  -0.013 -0.794  -0.079 -0.661  -0.146 -0.527  -0.175 -0.385  -0.175 -0.235  -0.175 -0.086  -0.175 0.063
