1c#apa#apa00#app0004/k  -0.445 1.915  -0.445 1.711  -0.445 1.508  -0.401 1.312  -0.377 1.112  -0.377 0.909  -0.377 0.705  -0.377 0.502  -0.377 0.299  -0.377 0.095  -0.377 -0.108  -0.377 -0.311  -0.379 -0.514  -0.445 -0.702  -0.471 -0.900  -0.512 -1.093  -0.512 -1.297  -0.512 -1.500  -0.546 -1.421  -0.512 -1.231  -0.512 -1.028  -0.502 -0.827  -0.445 -0.637  -0.410 -0.442  -0.349 -0.253  -0.289 -0.064  -0.174 0.101  -0.109 0.294  -0.015 0.458  0.094 0.616  0.253 0.726  0.417 0.823  0.589 0.927  0.707 1.039  0.836 0.964  0.836 0.761  0.768 0.586  0.701 0.450  0.597 0.329  0.499 0.166  0.337 0.069  0.229 -0.050  0.229 -0.254  0.239 -0.453  0.351 -0.578  0.451 -0.732  0.614 -0.829  0.768 -0.929  0.894 -1.041  1.038 -1.184
1c#apa#apa00#app0004/e  -1.130 -1.067  -0.967 -1.045  -0.845 -0.923  -0.723 -0.801  -0.561 -0.779  -0.439 -0.657  -0.317 -0.536  -0.196 -0.414  -0.044 -0.365  0.089 -0.270  0.242 -0.225  0.373 -0.126  0.415 0.029  0.517 0.158  0.639 0.280  0.760 0.402  0.836 0.542  0.904 0.686  0.977 0.828  0.977 1.000  0.977 1.172  0.952 1.320  0.780 1.320  0.608 1.320  0.555 1.200  0.407 1.172  0.286 1.050  0.134 1.023  0.087 0.899  -0.006 0.819  -0.117 0.758  -0.149 0.618  -0.287 0.584  -0.333 0.431  -0.428 0.298  -0.477 0.147  -0.568 0.012  -0.621 -0.138  -0.708 -0.274  -0.708 -0.446  -0.629 -0.585  -0.568 -0.732  -0.450 -0.786  -0.421 -0.933  -0.300 -1.055  -0.147 -1.081  -0.101 -1.208  0.071 -1.208  0.243 -1.208  0.415 -1.208
1c#apa#apa00#app0004/w  -1.320 0.481  -1.221 0.364  -1.146 0.537  -0.959 0.607  -0.788 0.717  -0.702 0.864  -0.523 0.952  -0.355 1.070  -0.378 1.067  -0.378 0.851  -0.436 0.659  -0.496 0.467  -0.575 0.284  -0.645 0.097  -0.731 -0.083  -0.849 -0.251  -0.849 -0.467  -0.849 -0.683  -0.849 -0.899  -0.783 -1.049  -0.684 -1.167  -0.511 -1.064  -0.358 -0.911  -0.205 -0.758  -0.133 -0.578  0.052 -0.502  0.121 -0.314  0.211 -0.135  0.344 0.026  0.446 0.199  0.483 0.400  0.564 0.583  0.646 0.717  0.726 0.879  0.687 0.952  0.682 0.742  0.564 0.575  0.564 0.358  0.491 0.173  0.446 -0.025  0.446 -0.241  0.446 -0.457  0.514 -0.645  0.701 -0.715  0.876 -0.813  1.092 -0.813  1.191 -0.696  1.367 -0.599  1.436 -0.412  1.624 -0.343
1c#apa#apa00#app0004/i  -0.247 0.783  -0.247 0.654  -0.247 0.524  -0.370 0.516  -0.381 0.398  -0.381 0.268  -0.381 0.138  -0.381 0.009  -0.381 -0.121  -0.452 -0.222  -0.514 -0.325  -0.514 -0.455  -0.514 -0.585  -0.514 -0.714  -0.514 -0.844  -0.514 -0.974  -0.514 -1.104  -0.499 -1.218  -0.369 -1.218  -0.240 -1.218  -0.110 -1.218  0.020 -1.218  0.149 -1.218  0.153 -1.092  0.275 -1.085  0.370 -1.001  0.462 -0.909  0.553 -0.817  0.553 -0.687  0.528 -0.560  0.503 -0.433  0.477 -0.306  0.452 -0.178  0.426 -0.051  0.401 0.076  0.376 0.203  0.350 0.330  0.325 0.458  0.299 0.585  0.274 0.712  0.248 0.839  0.223 0.966  0.197 1.094  0.172 1.221  0.147 1.348  0.121 1.475  0.096 1.602  0.070 1.730  0.045 1.857  0.019 1.984
1c#apa#apa00#app0004/t  0.156 2.049  0.156 1.900  0.156 1.751  0.148 1.606  0.047 1.499  0.047 1.350  0.047 1.201  0.047 1.052  0.047 0.903  0.047 0.754  0.047 0.606  0.047 0.457  0.047 0.308  0.047 0.159  0.047 0.010  0.047 -0.139  0.047 -0.288  0.047 -0.436  0.047 -0.585  0.047 -0.734  0.047 -0.883  0.047 -1.032  0.047 -1.181  0.046 -1.329  -0.059 -1.435  -0.062 -1.582  -0.086 -1.584  -0.133 -1.442  -0.180 -1.301  -0.227 -1.160  -0.274 -1.019  -0.321 -0.877  -0.368 -0.736  -0.415 -0.595  -0.463 -0.454  -0.510 -0.313  -0.557 -0.171  -0.604 -0.030  -0.476 0.000  -0.364 0.088  -0.234 0.134  -0.111 0.197  0.038 0.197  0.172 0.259  0.310 0.306  0.434 0.366  0.539 0.471  0.666 0.524  0.813 0.527  0.919 0.633
1c#apa#apa00#app0004/h  -0.444 1.978  -0.444 1.819  -0.444 1.660  -0.444 1.502  -0.444 1.343  -0.444 1.184  -0.444 1.026  -0.444 0.867  -0.444 0.708  -0.444 0.549  -0.444 0.391  -0.444 0.232  -0.455 0.075  -0.506 -0.075  -0.548 -0.227  -0.548 -0.386  -0.548 -0.544  -0.548 -0.703  -0.586 -0.823  -0.651 -0.917  -0.651 -0.986  -0.581 -0.856  -0.548 -0.712  -0.503 -0.571  -0.444 -0.437  -0.328 -0.350  -0.236 -0.248  -0.158 -0.122  -0.045 -0.010  -0.006 0.133  0.106 0.245  0.234 0.318  0.289 0.422  0.448 0.422  0.572 0.504  0.697 0.500  0.754 0.365  0.801 0.226  0.697 0.110  0.697 -0.048  0.697 -0.207  0.697 -0.366  0.697 -0.524  0.697 -0.683  0.697 -0.842  0.697 -1.001  0.788 -1.122  0.838 -1.238  0.996 -1.238  1.112 -1.342
1c#apa#apa00#app0004/f  0.597 1.631  0.525 1.700  0.454 1.636  0.382 1.567  0.339 1.445  0.290 1.324  0.190 1.225  0.167 1.094  0.167 0.953  0.167 0.812  0.167 0.672  0.167 0.531  0.167 0.390  0.167 0.250  0.167 0.109  0.167 -0.032  0.167 -0.172  0.167 -0.313  0.167 -0.453  0.167 -0.594  0.149 -0.733  0.115 -0.869  0.096 -1.007  0.096 -1.148  0.096 -1.289  0.096 -1.429  0.060 -1.555  0.011 -1.650  -0.061 -1.535  -0.093 -1.398  -0.125 -1.261  -0.157 -1.124  -0.189 -0.987  -0.221 -0.850  -0.253 -0.714  -0.284 -0.577  -0.316 -0.440  -0.348 -0.303  -0.380 -0.166  -0.412 -0.029  -0.444 0.108  -0.476 0.245  -0.508 0.382  -0.540 0.519  -0.447 0.557  -0.336 0.627  -0.215 0.676  -0.085 0.700  0.056 0.700  0.167 0.772
1c#apa#apa00#app0004/r  -0.360 1.304  -0.360 1.163  -0.360 1.021  -0.360 0.879  -0.360 0.738  -0.360 0.596  -0.360 0.455  -0.360 0.313  -0.360 0.171  -0.360 0.030  -0.360 -0.112  -0.304 -0.231  -0.212 -0.334  -0.212 -0.475  -0.212 -0.617  -0.212 -0.759  -0.212 -0.900  -0.212 -1.042  -0.212 -1.183  -0.212 -1.325  -0.212 -1.467  -0.212 -1.608  -0.212 -1.560  -0.212 -1.418  -0.212 -1.276  -0.212 -1.135  -0.162 -1.014  -0.064 -0.913  -0.064 -0.771  -0.064 -0.630  -0.064 -0.488  -0.064 -0.346  -0.064 -0.205  -0.064 -0.063  -0.064 0.078  0.006 0.191  0.084 0.300  0.084 0.442  0.098 0.578  0.198 0.678  0.298 0.778  0.405 0.860  0.528 0.879  0.537 1.017  0.637 1.117  0.763 1.156  0.881 1.213  0.985 1.304  1.126 1.304  1.268 1.304
1c#apa#apa00#app0004/a  -0.725 1.420  -0.579 1.420  -0.432 1.420  -0.286 1.420  -0.139 1.420  0.007 1.420  0.153 1.418  0.256 1.315  0.297 1.185  0.297 1.039  0.360 0.919  0.464 0.815  0.567 0.711  0.589 0.574  0.671 0.462  0.735 0.342  0.678 0.252  0.531 0.252  0.402 0.211  0.298 0.108  0.153 0.106  0.006 0.106  -0.098 0.004  -0.141 -0.125  -0.226 -0.186  -0.348 -0.246  -0.459 -0.332  -0.597 -0.350  -0.701 -0.454  -0.725 -0.590  -0.838 -0.624  -0.871 -0.737  -0.871 -0.883  -0.871 -1.030  -0.756 -1.062  -0.610 -1.062  -0.464 -1.062  -0.317 -1.062  -0.171 -1.062  -0.024 -1.062  0.122 -1.062  0.268 -1.062  0.380 -0.978  0.484 -0.875  0.587 -0.771  0.589 -0.625  0.589 -0.479  0.589 -0.333  0.589 -0.186  0.589 -0.040
1c#apa#apa00#app0004/n  -0.640 1.331  -0.640 1.161  -0.640 0.991  -0.640 0.821  -0.640 0.651  -0.640 0.481  -0.640 0.311  -0.640 0.141  -0.640 -0.029  -0.640 -0.199  -0.640 -0.369  -0.697 -0.515  -0.777 -0.652  -0.777 -0.822  -0.777 -0.992  -0.777 -1.162  -0.728 -1.283  -0.640 -1.201  -0.559 -1.065  -0.502 -0.918  -0.502 -0.748  -0.393 -0.623  -0.365 -0.465  -0.354 -0.298  -0.278 -0.146  -0.227 0.012  -0.164 0.156  -0.089 0.295  0.008 0.368  0.048 0.498  0.163 0.620  0.283 0.740  0.403 0.861  0.549 0.918  0.598 1.039  0.752 1.056  0.874 1.008  0.874 0.838  0.874 0.668  0.874 0.498  0.874 0.328  0.874 0.158  0.874 -0.012  0.874 -0.182  0.874 -0.352  0.874 -0.522  0.874 -0.692  0.965 -0.824  1.116 -0.870  1.149 -1.008
1c#apa#apa00#app0004/t  0.194 2.118  0.165 1.992  0.097 1.882  0.039 1.768  -0.037 1.655  -0.096 1.531  -0.096 1.393  -0.096 1.255  -0.111 1.121  -0.172 0.997  -0.193 0.864  -0.193 0.727  -0.193 0.589  -0.193 0.451  -0.193 0.313  -0.193 0.175  -0.193 0.037  -0.193 -0.101  -0.193 -0.239  -0.193 -0.377  -0.193 -0.515  -0.193 -0.652  -0.193 -0.790  -0.193 -0.928  -0.193 -1.066  -0.193 -1.204  -0.120 -1.269  0.013 -1.258  0.115 -1.173  0.253 -1.173  0.390 -1.170  0.489 -1.076  0.627 -1.076  0.678 -0.989  0.584 -0.893  0.482 -0.800  0.379 -0.708  0.277 -0.615  0.175 -0.522  0.073 -0.429  -0.029 -0.337  -0.131 -0.244  -0.233 -0.151  -0.335 -0.058  -0.338 0.037  -0.221 0.085  -0.179 0.182  -0.042 0.182  0.096 0.182  0.194 0.279
1c#apa#apa00#app0004/i  -0.240 0.148  -0.240 0.036  -0.240 -0.077  -0.240 -0.189  -0.346 -0.195  -0.354 -0.299  -0.354 -0.412  -0.354 -0.524  -0.354 -0.636  -0.354 -0.749  -0.354 -0.861  -0.260 -0.880  -0.240 -0.971  -0.240 -1.084  -0.152 -1.108  -0.125 -1.194  -0.041 -1.223  0.071 -1.223  0.183 -1.223  0.296 -1.223  0.332 -1.146  0.322 -1.035  0.308 -0.923  0.295 -0.812  0.281 -0.700  0.267 -0.589  0.253 -0.477  0.239 -0.366  0.225 -0.254  0.211 -0.143  0.197 -0.031  0.183 0.080  0.169 0.192  0.155 0.303  0.141 0.415  0.127 0.526  0.113 0.638  0.099 0.749  0.086 0.860  0.072 0.972  0.058 1.083  0.044 1.195  0.030 1.306  0.016 1.418  0.002 1.529  -0.011 1.641  -0.011 1.753  -0.015 1.862  -0.125 1.864  -0.125 1.976
1c#apa#apa00#app0004/c  -0.584 0.979  -0.466 0.861  -0.310 0.834  -0.287 0.690  -0.151 0.660  -0.127 0.499  -0.053 0.350  0.039 0.212  0.164 0.113  0.282 0.064  0.353 -0.032  0.427 -0.125  0.543 -0.176  0.709 -0.176  0.829 -0.062  0.860 0.092  0.860 0.258  0.860 0.425  0.860 0.592  0.860 0.759  0.769 0.834  0.715 0.948  0.579 0.979  0.413 0.979  0.246 0.979  0.096 0.937  -0.028 0.834  -0.182 0.803  -0.295 0.683  -0.324 0.546  -0.476 0.509  -0.584 0.387  -0.620 0.257  -0.728 0.198  -0.728 0.031  -0.728 -0.136  -0.728 -0.303  -0.728 -0.469  -0.709 -0.628  -0.591 -0.746  -0.575 -0.906  -0.457 -1.024  -0.339 -1.142  -0.295 -1.291  -0.205 -1.420  -0.087 -1.538  0.031 -1.656  0.153 -1.764  0.309 -1.790  0.427 -1.908
