2#apb#apb15#app1529/W  -0.584 1.398  -0.544 1.406  -0.568 1.245  -0.620 1.089  -0.669 0.932  -0.703 0.771  -0.736 0.610  -0.769 0.449  -0.794 0.286  -0.819 0.124  -0.844 -0.039  -0.867 -0.202  -0.890 -0.365  -0.905 -0.528  -0.905 -0.693  -0.879 -0.852  -0.766 -0.931  -0.627 -0.844  -0.502 -0.739  -0.399 -0.612  -0.295 -0.484  -0.204 -0.347  -0.114 -0.209  -0.030 -0.068  0.048 0.077  0.113 0.177  0.061 0.021  0.014 -0.137  -0.034 -0.294  -0.062 -0.455  -0.062 -0.619  -0.016 -0.774  0.088 -0.891  0.242 -0.923  0.403 -0.898  0.547 -0.820  0.668 -0.712  0.760 -0.577  0.838 -0.432  0.882 -0.275  0.910 -0.113  0.944 0.048  0.980 0.209  1.017 0.369  1.043 0.532  1.067 0.694  1.091 0.857  1.123 1.018  1.163 1.178  1.203 1.338
2#apb#apb15#app1529/s  1.157 0.953  1.046 1.002  0.934 1.052  0.817 1.065  0.695 1.055  0.573 1.045  0.453 1.028  0.332 1.008  0.212 0.988  0.092 0.968  -0.029 0.947  -0.148 0.921  -0.267 0.895  -0.386 0.870  -0.505 0.841  -0.623 0.812  -0.700 0.726  -0.742 0.616  -0.742 0.494  -0.688 0.394  -0.602 0.308  -0.511 0.228  -0.403 0.171  -0.295 0.114  -0.188 0.057  -0.080 -0.000  0.030 -0.053  0.143 -0.101  0.255 -0.149  0.367 -0.197  0.462 -0.272  0.554 -0.352  0.631 -0.442  0.665 -0.559  0.644 -0.665  0.565 -0.757  0.478 -0.840  0.368 -0.893  0.258 -0.945  0.148 -0.997  0.037 -1.049  -0.074 -1.098  -0.194 -1.118  -0.315 -1.138  -0.435 -1.158  -0.556 -1.178  -0.676 -1.173  -0.797 -1.157  -0.918 -1.141  -1.039 -1.125
2#apb#apb15#app1529/a  0.835 0.667  0.768 0.820  0.613 0.898  0.448 0.950  0.282 1.000  0.116 1.048  -0.047 0.989  -0.209 0.930  -0.372 0.871  -0.524 0.788  -0.672 0.699  -0.821 0.610  -0.949 0.496  -1.062 0.365  -1.174 0.233  -1.275 0.092  -1.376 -0.049  -1.394 -0.210  -1.370 -0.382  -1.284 -0.526  -1.173 -0.659  -1.028 -0.727  -0.856 -0.741  -0.683 -0.756  -0.512 -0.756  -0.345 -0.708  -0.178 -0.660  -0.012 -0.613  0.152 -0.559  0.307 -0.481  0.462 -0.404  0.614 -0.322  0.747 -0.211  0.880 -0.100  0.883 0.072  0.882 0.245  0.853 0.416  0.790 0.569  0.652 0.469  0.531 0.347  0.423 0.211  0.405 0.044  0.405 -0.129  0.414 -0.300  0.518 -0.438  0.622 -0.577  0.734 -0.708  0.863 -0.823  0.993 -0.938  1.122 -1.053
2#apb#apb15#app1529/n  -1.045 0.570  -1.081 0.454  -1.067 0.329  -1.053 0.204  -1.031 0.080  -1.006 -0.043  -1.006 -0.169  -1.006 -0.295  -1.006 -0.421  -1.006 -0.547  -1.006 -0.673  -1.006 -0.798  -1.006 -0.924  -0.980 -0.975  -0.903 -0.875  -0.825 -0.776  -0.748 -0.677  -0.650 -0.600  -0.545 -0.530  -0.440 -0.460  -0.335 -0.390  -0.231 -0.320  -0.129 -0.247  -0.052 -0.147  0.024 -0.047  0.101 0.053  0.177 0.153  0.254 0.253  0.330 0.353  0.408 0.452  0.490 0.548  0.571 0.644  0.652 0.740  0.734 0.836  0.817 0.931  0.917 1.006  0.974 0.981  0.988 0.856  1.002 0.731  1.001 0.605  0.992 0.479  0.983 0.354  0.974 0.228  0.967 0.103  0.967 -0.023  0.967 -0.149  0.967 -0.275  0.967 -0.401  0.967 -0.527  0.967 -0.653
2#apb#apb15#app1529/'  0.460 0.077  0.460 0.171  0.460 0.265  0.460 0.360  0.460 0.454  0.460 0.549  0.460 0.643  0.460 0.737  0.460 0.832  0.460 0.926  0.460 1.020  0.460 1.115  0.460 1.209  0.460 1.304  0.434 1.265  0.399 1.177  0.364 1.090  0.329 1.002  0.294 0.914  0.259 0.827  0.224 0.739  0.189 0.652  0.154 0.564  0.119 0.476  0.084 0.389  0.049 0.301  0.014 0.214  -0.021 0.126  -0.056 0.038  -0.091 -0.049  -0.126 -0.137  -0.161 -0.225  -0.196 -0.312  -0.231 -0.400  -0.267 -0.487  -0.302 -0.575  -0.337 -0.663  -0.372 -0.750  -0.407 -0.838  -0.442 -0.926  -0.477 -1.013  -0.512 -1.101  -0.547 -1.188  -0.582 -1.276  -0.617 -1.364  -0.652 -1.451  -0.687 -1.539  -0.722 -1.626  -0.757 -1.714  -0.792 -1.802
2#apb#apb15#app1529/s  0.969 1.339  0.865 1.326  0.762 1.313  0.664 1.278  0.568 1.236  0.472 1.194  0.376 1.152  0.280 1.111  0.183 1.071  0.086 1.033  -0.011 0.994  -0.108 0.955  -0.200 0.907  -0.286 0.847  -0.372 0.787  -0.454 0.724  -0.487 0.625  -0.520 0.525  -0.539 0.424  -0.523 0.323  -0.477 0.229  -0.412 0.151  -0.326 0.091  -0.240 0.031  -0.153 -0.027  -0.055 -0.062  0.043 -0.098  0.142 -0.134  0.228 -0.192  0.311 -0.255  0.392 -0.320  0.439 -0.414  0.476 -0.510  0.476 -0.614  0.476 -0.719  0.444 -0.810  0.370 -0.884  0.296 -0.958  0.206 -1.008  0.109 -1.046  0.012 -1.085  -0.086 -1.124  -0.184 -1.156  -0.289 -1.164  -0.393 -1.172  -0.497 -1.180  -0.602 -1.184  -0.706 -1.184  -0.811 -1.184  -0.916 -1.184
2#apb#apb15#app1529/h  -0.085 2.066  -0.085 1.944  -0.085 1.822  -0.085 1.700  -0.099 1.579  -0.117 1.459  -0.136 1.339  -0.155 1.219  -0.174 1.098  -0.194 0.978  -0.217 0.858  -0.239 0.739  -0.262 0.619  -0.284 0.500  -0.307 0.380  -0.330 0.260  -0.352 0.141  -0.375 0.021  -0.397 -0.099  -0.419 -0.219  -0.442 -0.338  -0.454 -0.459  -0.463 -0.581  -0.472 -0.702  -0.481 -0.824  -0.479 -0.944  -0.456 -1.064  -0.447 -1.185  -0.363 -1.104  -0.280 -1.015  -0.203 -0.920  -0.126 -0.826  -0.050 -0.731  0.034 -0.643  0.117 -0.554  0.201 -0.465  0.284 -0.377  0.368 -0.288  0.451 -0.199  0.534 -0.110  0.634 -0.054  0.723 -0.080  0.735 -0.201  0.717 -0.321  0.698 -0.441  0.686 -0.563  0.682 -0.684  0.695 -0.805  0.735 -0.919  0.818 -1.007
2#apb#apb15#app1529/o  -0.070 1.131  -0.186 1.084  -0.303 1.038  -0.414 0.984  -0.498 0.891  -0.582 0.797  -0.666 0.704  -0.731 0.599  -0.784 0.485  -0.837 0.371  -0.889 0.257  -0.919 0.136  -0.944 0.013  -0.965 -0.111  -0.956 -0.236  -0.947 -0.361  -0.938 -0.486  -0.902 -0.601  -0.825 -0.700  -0.748 -0.799  -0.655 -0.877  -0.537 -0.920  -0.420 -0.962  -0.300 -0.985  -0.178 -0.957  -0.056 -0.929  0.066 -0.900  0.186 -0.863  0.305 -0.824  0.424 -0.784  0.543 -0.744  0.640 -0.672  0.719 -0.575  0.799 -0.478  0.878 -0.380  0.938 -0.271  0.995 -0.159  1.051 -0.047  1.085 0.069  1.061 0.192  1.036 0.315  0.986 0.427  0.916 0.531  0.847 0.636  0.748 0.709  0.638 0.769  0.528 0.829  0.412 0.871  0.287 0.885  0.163 0.899
2#apb#apb15#app1529/m  -1.132 0.506  -1.132 0.332  -1.132 0.157  -1.120 -0.017  -1.096 -0.190  -1.073 -0.364  -1.056 -0.537  -1.033 -0.707  -0.998 -0.611  -0.972 -0.438  -0.941 -0.266  -0.866 -0.108  -0.792 0.050  -0.712 0.205  -0.617 0.352  -0.521 0.498  -0.426 0.645  -0.329 0.790  -0.230 0.934  -0.131 1.078  -0.027 1.218  0.046 1.170  0.034 0.995  0.015 0.822  -0.037 0.655  -0.089 0.489  -0.108 0.317  -0.108 0.142  -0.108 -0.033  -0.066 -0.202  -0.021 -0.371  0.053 -0.528  0.140 -0.678  0.244 -0.772  0.384 -0.667  0.514 -0.551  0.638 -0.428  0.749 -0.294  0.846 -0.149  0.949 -0.008  1.066 0.122  1.197 0.229  1.257 0.131  1.253 -0.043  1.226 -0.216  1.204 -0.389  1.204 -0.564  1.231 -0.735  1.284 -0.902  1.336 -1.068
2#apb#apb15#app1529/e  -0.266 -0.018  -0.315 0.084  -0.226 0.196  -0.098 0.241  0.042 0.266  0.183 0.289  0.324 0.307  0.465 0.326  0.607 0.344  0.748 0.360  0.885 0.393  1.012 0.457  1.060 0.590  1.003 0.693  0.886 0.773  0.765 0.850  0.645 0.926  0.506 0.944  0.364 0.952  0.221 0.961  0.081 0.956  -0.057 0.919  -0.195 0.882  -0.332 0.844  -0.457 0.776  -0.582 0.707  -0.686 0.616  -0.760 0.495  -0.835 0.374  -0.899 0.248  -0.929 0.109  -0.959 -0.031  -0.967 -0.167  -0.906 -0.296  -0.845 -0.425  -0.784 -0.554  -0.723 -0.683  -0.611 -0.764  -0.488 -0.836  -0.364 -0.907  -0.241 -0.979  -0.118 -1.051  0.005 -1.122  0.141 -1.165  0.277 -1.207  0.413 -1.250  0.549 -1.292  0.685 -1.335  0.821 -1.377  0.957 -1.420
2#apb#apb15#app1529/o  -0.148 0.547  -0.148 0.690  -0.210 0.802  -0.351 0.813  -0.493 0.795  -0.598 0.700  -0.699 0.598  -0.801 0.497  -0.884 0.383  -0.941 0.251  -0.997 0.119  -1.035 -0.019  -1.054 -0.161  -1.073 -0.303  -1.050 -0.441  -1.001 -0.576  -0.926 -0.691  -0.808 -0.773  -0.689 -0.855  -0.562 -0.909  -0.419 -0.916  -0.275 -0.923  -0.132 -0.930  0.011 -0.927  0.153 -0.906  0.295 -0.884  0.437 -0.863  0.573 -0.823  0.704 -0.762  0.834 -0.701  0.951 -0.624  1.042 -0.513  1.133 -0.402  1.169 -0.271  1.169 -0.128  1.162 0.014  1.104 0.146  1.047 0.278  0.989 0.409  0.880 0.495  0.757 0.569  0.634 0.643  0.506 0.708  0.373 0.763  0.241 0.818  0.108 0.872  -0.035 0.876  -0.179 0.876  -0.317 0.850  -0.449 0.793
2#apb#apb15#app1529/n  -1.242 0.413  -1.095 0.413  -0.980 0.335  -0.895 0.220  -0.849 0.080  -0.802 -0.059  -0.800 -0.206  -0.800 -0.353  -0.800 -0.500  -0.800 -0.647  -0.800 -0.794  -0.822 -0.939  -0.844 -1.084  -0.857 -1.122  -0.799 -0.987  -0.734 -0.855  -0.668 -0.724  -0.592 -0.599  -0.512 -0.475  -0.433 -0.351  -0.353 -0.228  -0.274 -0.104  -0.196 0.021  -0.117 0.145  -0.039 0.269  0.040 0.394  0.118 0.518  0.213 0.630  0.309 0.742  0.404 0.853  0.500 0.965  0.591 1.080  0.673 1.202  0.786 1.258  0.833 1.118  0.852 0.976  0.834 0.830  0.817 0.684  0.800 0.538  0.785 0.392  0.785 0.245  0.785 0.098  0.785 -0.049  0.788 -0.196  0.809 -0.341  0.830 -0.487  0.850 -0.632  0.901 -0.768  0.972 -0.896  1.043 -1.025
2#apb#apb15#app1529/t  0.608 1.704  0.546 1.561  0.508 1.408  0.470 1.255  0.433 1.101  0.397 0.947  0.367 0.793  0.348 0.636  0.328 0.479  0.309 0.323  0.289 0.166  0.268 0.009  0.247 -0.147  0.226 -0.304  0.206 -0.460  0.190 -0.617  0.174 -0.774  0.159 -0.931  0.143 -1.088  0.151 -1.246  0.159 -1.404  0.164 -1.562  0.164 -1.718  0.100 -1.574  0.036 -1.430  -0.027 -1.285  -0.091 -1.141  -0.155 -0.996  -0.219 -0.852  -0.283 -0.708  -0.347 -0.563  -0.411 -0.419  -0.475 -0.275  -0.538 -0.130  -0.602 0.014  -0.666 0.158  -0.730 0.303  -0.794 0.447  -0.858 0.592  -0.860 0.711  -0.702 0.711  -0.545 0.720  -0.387 0.729  -0.230 0.727  -0.072 0.721  0.086 0.714  0.243 0.702  0.400 0.684  0.557 0.665  0.714 0.647
2#apb#apb15#app1529/i  0.405 -0.226  0.379 -0.307  0.379 -0.398  0.379 -0.490  0.387 -0.581  0.397 -0.672  0.405 -0.763  0.405 -0.855  0.405 -0.946  0.419 -1.036  0.448 -1.123  0.456 -1.213  0.504 -1.279  0.510 -1.246  0.473 -1.162  0.437 -1.077  0.401 -0.993  0.364 -0.909  0.328 -0.825  0.292 -0.741  0.255 -0.657  0.219 -0.573  0.183 -0.489  0.146 -0.405  0.110 -0.321  0.074 -0.237  0.037 -0.153  0.001 -0.069  -0.035 0.015  -0.072 0.100  -0.108 0.184  -0.144 0.268  -0.181 0.352  -0.217 0.436  -0.253 0.520  -0.290 0.604  -0.326 0.688  -0.362 0.772  -0.399 0.856  -0.435 0.940  -0.471 1.024  -0.508 1.108  -0.544 1.192  -0.580 1.277  -0.617 1.361  -0.653 1.445  -0.689 1.529  -0.726 1.613  -0.762 1.697  -0.821 1.766
2#apb#apb15#app1529/m  -0.843 0.456  -0.843 0.280  -0.845 0.104  -0.859 -0.071  -0.875 -0.246  -0.900 -0.421  -0.923 -0.595  -0.936 -0.770  -0.948 -0.946  -0.948 -1.121  -0.944 -1.295  -0.911 -1.173  -0.895 -0.998  -0.824 -0.837  -0.754 -0.676  -0.691 -0.512  -0.642 -0.343  -0.593 -0.174  -0.544 -0.005  -0.483 0.159  -0.414 0.322  -0.346 0.484  -0.254 0.631  -0.138 0.763  -0.075 0.739  -0.075 0.563  -0.075 0.387  -0.075 0.211  -0.075 0.036  -0.075 -0.140  0.039 -0.143  0.155 -0.011  0.281 0.112  0.417 0.223  0.549 0.339  0.673 0.463  0.798 0.588  0.920 0.714  1.037 0.845  1.148 0.981  1.195 0.898  1.192 0.723  1.182 0.547  1.171 0.371  1.168 0.196  1.168 0.020  1.168 -0.156  1.168 -0.332  1.177 -0.507  1.195 -0.682
2#apb#apb15#app1529/e  -1.106 -0.183  -0.971 -0.246  -0.811 -0.240  -0.651 -0.215  -0.492 -0.191  -0.333 -0.167  -0.173 -0.145  -0.014 -0.122  0.146 -0.098  0.305 -0.073  0.454 -0.025  0.581 0.073  0.707 0.174  0.806 0.302  0.904 0.429  0.922 0.584  0.922 0.745  0.847 0.885  0.761 1.021  0.653 1.126  0.495 1.160  0.338 1.194  0.181 1.192  0.025 1.153  -0.132 1.114  -0.277 1.056  -0.386 0.937  -0.494 0.819  -0.602 0.699  -0.670 0.553  -0.738 0.407  -0.806 0.261  -0.821 0.103  -0.821 -0.058  -0.821 -0.219  -0.765 -0.369  -0.699 -0.515  -0.601 -0.636  -0.467 -0.725  -0.333 -0.814  -0.199 -0.904  -0.049 -0.962  0.102 -1.018  0.253 -1.074  0.404 -1.130  0.564 -1.145  0.725 -1.158  0.885 -1.171  1.046 -1.184  1.207 -1.197
2#apb#apb15#app1529/.  1.358 -1.019  1.303 -0.977  1.247 -0.936  1.192 -0.894  1.136 -0.852  1.081 -0.811  1.026 -0.769  0.970 -0.728  0.915 -0.686  0.859 -0.644  0.804 -0.603  0.748 -0.561  0.693 -0.520  0.637 -0.478  0.582 -0.437  0.527 -0.395  0.471 -0.353  0.416 -0.312  0.360 -0.270  0.305 -0.229  0.249 -0.187  0.194 -0.145  0.139 -0.104  0.083 -0.062  0.028 -0.021  -0.028 0.021  -0.083 0.062  -0.139 0.104  -0.194 0.145  -0.249 0.187  -0.305 0.229  -0.360 0.270  -0.416 0.312  -0.471 0.353  -0.527 0.395  -0.582 0.437  -0.637 0.478  -0.693 0.520  -0.748 0.561  -0.804 0.603  -0.859 0.644  -0.915 0.686  -0.970 0.728  -1.026 0.769  -1.081 0.811  -1.136 0.852  -1.192 0.894  -1.247 0.936  -1.303 0.977  -1.358 1.019
