1c#pri#pri0#150/b  -0.675 1.729  -0.697 1.731  -0.697 1.590  -0.697 1.449  -0.697 1.309  -0.697 1.168  -0.694 1.027  -0.683 0.887  -0.675 0.746  -0.675 0.606  -0.675 0.465  -0.652 0.326  -0.629 0.187  -0.619 0.047  -0.607 -0.093  -0.580 -0.231  -0.557 -0.370  -0.542 -0.510  -0.519 -0.649  -0.502 -0.787  -0.404 -0.747  -0.341 -0.621  -0.303 -0.486  -0.259 -0.352  -0.205 -0.222  -0.145 -0.095  -0.072 0.025  0.010 0.139  0.118 0.222  0.251 0.270  0.388 0.287  0.529 0.287  0.667 0.265  0.794 0.208  0.908 0.126  1.016 0.037  1.103 -0.074  1.158 -0.203  1.166 -0.342  1.137 -0.479  1.059 -0.596  0.954 -0.689  0.843 -0.775  0.727 -0.854  0.601 -0.917  0.472 -0.975  0.340 -1.021  0.202 -1.045  0.062 -1.045  -0.009 -0.956
1c#pri#pri0#150/w  -1.421 0.329  -1.512 0.329  -1.536 0.263  -1.536 0.172  -1.508 0.087  -1.460 0.011  -1.395 -0.051  -1.320 -0.098  -1.233 -0.123  -1.145 -0.146  -1.057 -0.168  -0.966 -0.168  -0.876 -0.164  -0.786 -0.151  -0.699 -0.128  -0.612 -0.102  -0.526 -0.074  -0.448 -0.028  -0.371 0.019  -0.306 0.079  -0.246 0.147  -0.190 0.188  -0.126 0.124  -0.071 0.053  -0.001 -0.004  0.065 -0.066  0.135 -0.122  0.218 -0.157  0.298 -0.200  0.377 -0.244  0.465 -0.266  0.553 -0.286  0.643 -0.297  0.733 -0.302  0.824 -0.302  0.914 -0.302  1.004 -0.296  1.088 -0.261  1.165 -0.215  1.224 -0.147  1.259 -0.065  1.276 0.023  1.274 0.114  1.261 0.203  1.230 0.287  1.188 0.367  1.141 0.445  1.077 0.509  1.006 0.565  0.931 0.616
1c#pri#pri0#150/y  -1.205 0.601  -1.205 0.615  -1.156 0.506  -1.059 0.434  -0.941 0.398  -0.819 0.395  -0.696 0.395  -0.573 0.398  -0.451 0.410  -0.333 0.441  -0.215 0.478  -0.100 0.519  -0.007 0.599  0.082 0.685  0.148 0.787  0.192 0.901  0.204 1.022  0.201 1.145  0.153 1.255  0.103 1.223  0.084 1.102  0.087 0.980  0.099 0.857  0.129 0.738  0.164 0.621  0.206 0.505  0.254 0.392  0.305 0.280  0.359 0.170  0.414 0.060  0.461 -0.054  0.508 -0.167  0.555 -0.280  0.595 -0.396  0.625 -0.516  0.642 -0.637  0.651 -0.759  0.651 -0.882  0.627 -1.003  0.573 -1.110  0.492 -1.202  0.391 -1.269  0.275 -1.310  0.155 -1.334  0.033 -1.351  -0.089 -1.359  -0.212 -1.356  -0.334 -1.343  -0.453 -1.311  -0.569 -1.273
1c#pri#pri0#150/z  -1.474 1.041  -1.308 1.123  -1.129 1.180  -0.946 1.215  -0.759 1.234  -0.573 1.244  -0.385 1.244  -0.198 1.244  -0.014 1.209  0.172 1.184  0.343 1.108  0.478 0.984  0.467 0.799  0.408 0.622  0.330 0.452  0.243 0.286  0.139 0.130  0.055 -0.037  -0.044 -0.196  -0.126 -0.363  -0.183 -0.542  -0.183 -0.727  -0.083 -0.876  0.092 -0.939  0.278 -0.955  0.466 -0.955  0.653 -0.955  0.841 -0.950  1.027 -0.937  1.214 -0.922  1.236 -0.888  1.058 -0.831  0.879 -0.773  0.701 -0.715  0.523 -0.657  0.345 -0.600  0.166 -0.542  -0.012 -0.484  -0.190 -0.426  -0.369 -0.368  -0.547 -0.311  -0.725 -0.253  -0.884 -0.181  -0.838 -0.037  -0.659 0.011  -0.472 0.022  -0.284 0.022  -0.097 0.022  0.090 0.022  0.278 0.022
1c#pri#pri0#150/d  0.250 -0.988  0.319 -0.797  0.399 -0.614  0.416 -0.412  0.394 -0.211  0.269 -0.057  0.096 0.051  -0.088 0.125  -0.290 0.141  -0.494 0.141  -0.697 0.141  -0.901 0.141  -1.099 0.100  -1.286 0.021  -1.460 -0.083  -1.551 -0.265  -1.596 -0.458  -1.488 -0.627  -1.322 -0.740  -1.125 -0.768  -0.921 -0.768  -0.719 -0.758  -0.519 -0.718  -0.320 -0.678  -0.129 -0.613  0.051 -0.517  0.223 -0.409  0.364 -0.263  0.444 -0.076  0.500 0.120  0.544 0.318  0.554 0.521  0.554 0.724  0.554 0.928  0.554 1.132  0.554 1.335  0.529 1.536  0.471 1.440  0.471 1.237  0.471 1.033  0.471 0.830  0.471 0.626  0.497 0.425  0.542 0.227  0.600 0.032  0.686 -0.152  0.772 -0.337  0.867 -0.515  0.989 -0.678  1.132 -0.823
1c#pri#pri0#150/e  -1.440 -0.779  -1.384 -0.673  -1.225 -0.646  -1.077 -0.580  -0.920 -0.546  -0.765 -0.500  -0.616 -0.436  -0.467 -0.371  -0.319 -0.305  -0.176 -0.229  -0.035 -0.148  0.110 -0.075  0.255 -0.002  0.382 0.099  0.495 0.215  0.598 0.339  0.663 0.488  0.702 0.645  0.714 0.806  0.690 0.963  0.603 1.097  0.482 1.202  0.323 1.233  0.161 1.233  0.000 1.214  -0.152 1.166  -0.287 1.077  -0.391 0.953  -0.485 0.821  -0.566 0.680  -0.627 0.531  -0.663 0.374  -0.663 0.212  -0.646 0.051  -0.607 -0.103  -0.512 -0.235  -0.408 -0.358  -0.284 -0.464  -0.152 -0.553  -0.001 -0.614  0.150 -0.674  0.307 -0.713  0.465 -0.752  0.624 -0.783  0.785 -0.795  0.947 -0.806  1.109 -0.815  1.272 -0.815  1.434 -0.815  1.596 -0.815
1c#pri#pri0#150/h  -0.410 1.102  -0.460 1.186  -0.527 1.258  -0.595 1.324  -0.675 1.329  -0.730 1.247  -0.760 1.154  -0.775 1.058  -0.775 0.959  -0.775 0.861  -0.775 0.762  -0.759 0.665  -0.741 0.569  -0.719 0.473  -0.695 0.377  -0.669 0.282  -0.638 0.189  -0.606 0.095  -0.570 0.004  -0.532 -0.087  -0.495 -0.178  -0.461 -0.271  -0.427 -0.363  -0.375 -0.447  -0.323 -0.531  -0.274 -0.616  -0.212 -0.692  -0.136 -0.753  -0.041 -0.762  0.042 -0.714  0.112 -0.645  0.182 -0.575  0.247 -0.501  0.312 -0.428  0.389 -0.366  0.446 -0.287  0.517 -0.223  0.607 -0.183  0.702 -0.167  0.795 -0.195  0.871 -0.256  0.941 -0.326  1.009 -0.397  1.072 -0.472  1.127 -0.554  1.179 -0.637  1.242 -0.713  1.307 -0.787  1.381 -0.852  1.455 -0.917
1c#pri#pri0#150/q  -0.172 0.646  -0.130 0.769  -0.136 0.903  -0.174 1.031  -0.241 1.141  -0.356 1.208  -0.488 1.222  -0.621 1.218  -0.749 1.179  -0.870 1.121  -0.993 1.068  -1.094 0.983  -1.071 0.872  -0.950 0.813  -0.827 0.761  -0.706 0.703  -0.594 0.629  -0.489 0.546  -0.389 0.457  -0.295 0.361  -0.218 0.251  -0.128 0.153  -0.052 0.043  0.015 -0.074  0.079 -0.192  0.139 -0.312  0.196 -0.433  0.242 -0.559  0.282 -0.687  0.330 -0.812  0.379 -0.937  0.424 -1.063  0.468 -1.190  0.540 -1.301  0.650 -1.361  0.772 -1.327  0.871 -1.237  0.921 -1.115  0.917 -0.982  0.884 -0.852  0.832 -0.730  0.749 -0.625  0.654 -0.530  0.550 -0.445  0.441 -0.368  0.326 -0.299  0.204 -0.243  0.081 -0.189  -0.044 -0.141  -0.158 -0.070
1c#pri#pri0#150/r  -1.293 0.335  -1.222 0.409  -1.190 0.505  -1.124 0.581  -1.110 0.527  -1.080 0.428  -1.053 0.329  -1.000 0.240  -0.949 0.151  -0.908 0.056  -0.868 -0.039  -0.823 -0.132  -0.777 -0.225  -0.725 -0.314  -0.668 -0.400  -0.610 -0.485  -0.545 -0.566  -0.480 -0.646  -0.407 -0.719  -0.337 -0.795  -0.279 -0.880  -0.193 -0.937  -0.108 -0.908  -0.060 -0.819  -0.046 -0.718  -0.046 -0.615  -0.027 -0.514  -0.001 -0.414  0.037 -0.318  0.072 -0.221  0.105 -0.123  0.153 -0.033  0.219 0.046  0.285 0.125  0.363 0.193  0.443 0.259  0.526 0.320  0.615 0.371  0.705 0.422  0.803 0.454  0.903 0.479  1.003 0.504  1.106 0.517  1.208 0.530  1.311 0.537  1.414 0.537  1.517 0.535  1.619 0.514  1.716 0.482  1.808 0.436
1c#pri#pri0#150/v  -1.549 0.608  -1.515 0.602  -1.460 0.548  -1.406 0.493  -1.347 0.443  -1.284 0.398  -1.221 0.353  -1.159 0.307  -1.100 0.257  -1.040 0.208  -0.980 0.160  -0.917 0.115  -0.854 0.070  -0.791 0.025  -0.728 -0.020  -0.665 -0.065  -0.602 -0.110  -0.534 -0.146  -0.464 -0.181  -0.395 -0.215  -0.325 -0.248  -0.254 -0.278  -0.183 -0.309  -0.109 -0.331  -0.034 -0.350  0.041 -0.368  0.117 -0.382  0.194 -0.393  0.270 -0.404  0.348 -0.405  0.425 -0.405  0.502 -0.400  0.578 -0.387  0.654 -0.373  0.723 -0.339  0.792 -0.304  0.853 -0.258  0.908 -0.203  0.963 -0.149  1.017 -0.094  1.072 -0.039  1.123 0.018  1.166 0.083  1.209 0.147  1.241 0.217  1.266 0.290  1.295 0.361  1.342 0.423  1.387 0.485  1.430 0.550
1c#pri#pri0#150/y  -0.686 0.995  -0.803 0.995  -0.919 0.995  -0.980 0.921  -0.946 0.814  -0.862 0.736  -0.761 0.677  -0.656 0.628  -0.545 0.595  -0.431 0.572  -0.316 0.549  -0.201 0.533  -0.085 0.530  0.023 0.566  0.109 0.644  0.151 0.752  0.166 0.867  0.166 0.984  0.166 1.100  0.178 1.053  0.210 0.941  0.238 0.828  0.268 0.715  0.298 0.603  0.327 0.490  0.361 0.378  0.397 0.268  0.429 0.156  0.461 0.044  0.485 -0.070  0.509 -0.184  0.525 -0.300  0.542 -0.415  0.560 -0.530  0.568 -0.646  0.568 -0.762  0.568 -0.879  0.551 -0.994  0.516 -1.103  0.445 -1.192  0.346 -1.253  0.238 -1.296  0.125 -1.319  0.009 -1.328  -0.108 -1.328  -0.224 -1.322  -0.340 -1.311  -0.454 -1.288  -0.563 -1.248  -0.624 -1.158
1c#pri#pri0#150/z  -1.221 1.226  -1.057 1.303  -0.857 1.303  -0.658 1.303  -0.459 1.303  -0.260 1.296  -0.063 1.263  0.123 1.197  0.288 1.098  0.379 0.922  0.390 0.725  0.355 0.531  0.280 0.346  0.193 0.167  0.095 -0.007  0.035 -0.196  -0.072 -0.364  -0.134 -0.553  -0.147 -0.751  -0.008 -0.883  0.179 -0.940  0.378 -0.948  0.577 -0.948  0.777 -0.948  0.976 -0.948  1.175 -0.943  1.374 -0.928  1.314 -0.874  1.128 -0.801  0.942 -0.729  0.756 -0.656  0.571 -0.584  0.385 -0.511  0.199 -0.438  0.013 -0.366  -0.172 -0.293  -0.358 -0.221  -0.544 -0.148  -0.730 -0.076  -0.915 -0.003  -1.101 0.069  -1.255 0.126  -1.056 0.126  -0.856 0.126  -0.657 0.120  -0.459 0.103  -0.259 0.101  -0.060 0.101  0.140 0.101  0.339 0.101
1c#pri#pri0#150/a  0.329 -0.298  0.329 -0.120  0.360 0.052  0.360 0.229  0.360 0.407  0.360 0.584  0.353 0.761  0.308 0.932  0.213 1.075  0.060 1.161  -0.105 1.152  -0.263 1.072  -0.411 0.976  -0.536 0.851  -0.647 0.713  -0.754 0.571  -0.840 0.417  -0.926 0.262  -1.013 0.106  -1.087 -0.054  -1.143 -0.222  -1.189 -0.393  -1.220 -0.567  -1.217 -0.744  -1.166 -0.913  -1.066 -1.051  -0.895 -1.072  -0.721 -1.040  -0.558 -0.970  -0.398 -0.894  -0.241 -0.812  -0.093 -0.713  0.026 -0.583  0.141 -0.448  0.255 -0.312  0.370 -0.177  0.473 -0.035  0.543 0.128  0.622 0.287  0.735 0.421  0.794 0.585  0.903 0.534  0.918 0.359  0.949 0.184  0.951 0.007  1.016 -0.158  1.072 -0.326  1.151 -0.485  1.219 -0.648  1.320 -0.793
1c#pri#pri0#150/f  0.778 1.088  0.772 1.246  0.689 1.380  0.604 1.514  0.489 1.621  0.348 1.686  0.196 1.649  0.084 1.539  0.006 1.401  -0.051 1.253  -0.090 1.099  -0.118 0.942  -0.139 0.785  -0.149 0.626  -0.154 0.467  -0.154 0.308  -0.147 0.150  -0.135 -0.009  -0.104 -0.165  -0.069 -0.320  -0.028 -0.474  0.023 -0.624  0.079 -0.773  0.129 -0.923  0.187 -1.071  0.246 -1.219  0.290 -1.371  0.269 -1.444  0.159 -1.329  0.049 -1.214  -0.061 -1.099  -0.170 -0.985  -0.280 -0.870  -0.390 -0.755  -0.500 -0.640  -0.610 -0.525  -0.720 -0.410  -0.830 -0.295  -0.916 -0.196  -0.757 -0.196  -0.598 -0.196  -0.439 -0.196  -0.280 -0.196  -0.121 -0.196  0.038 -0.196  0.197 -0.195  0.356 -0.187  0.515 -0.178  0.673 -0.161  0.831 -0.143
1c#pri#pri0#150/g  0.090 0.802  0.078 0.922  0.008 1.020  -0.076 1.106  -0.179 1.171  -0.297 1.192  -0.417 1.172  -0.529 1.123  -0.633 1.061  -0.723 0.979  -0.799 0.884  -0.841 0.770  -0.819 0.653  -0.712 0.606  -0.592 0.591  -0.470 0.591  -0.348 0.591  -0.228 0.609  -0.110 0.638  -0.005 0.697  0.110 0.712  0.193 0.630  0.248 0.522  0.291 0.407  0.332 0.293  0.378 0.180  0.438 0.073  0.487 -0.038  0.535 -0.151  0.585 -0.262  0.632 -0.374  0.679 -0.487  0.725 -0.600  0.751 -0.719  0.780 -0.838  0.771 -0.957  0.705 -1.059  0.610 -1.133  0.500 -1.185  0.382 -1.214  0.261 -1.224  0.139 -1.224  0.018 -1.211  -0.102 -1.189  -0.222 -1.167  -0.340 -1.134  -0.451 -1.086  -0.549 -1.016  -0.622 -0.920  -0.661 -0.804
1c#pri#pri0#150/h  -0.636 1.510  -0.671 1.526  -0.697 1.436  -0.701 1.342  -0.701 1.247  -0.701 1.152  -0.701 1.058  -0.701 0.963  -0.698 0.868  -0.689 0.774  -0.681 0.680  -0.673 0.585  -0.665 0.491  -0.656 0.396  -0.638 0.304  -0.619 0.211  -0.599 0.118  -0.578 0.026  -0.552 -0.065  -0.522 -0.155  -0.487 -0.243  -0.444 -0.327  -0.404 -0.413  -0.367 -0.500  -0.322 -0.583  -0.272 -0.664  -0.207 -0.730  -0.121 -0.768  -0.030 -0.757  0.036 -0.692  0.086 -0.612  0.145 -0.538  0.209 -0.468  0.276 -0.401  0.343 -0.334  0.411 -0.268  0.495 -0.226  0.580 -0.184  0.674 -0.187  0.759 -0.229  0.847 -0.264  0.923 -0.319  1.000 -0.375  1.081 -0.424  1.157 -0.481  1.218 -0.552  1.278 -0.626  1.338 -0.699  1.403 -0.768  1.470 -0.835
1c#pri#pri0#150/i  -0.707 0.304  -0.761 0.253  -0.714 0.146  -0.667 0.040  -0.592 -0.050  -0.517 -0.140  -0.455 -0.239  -0.393 -0.339  -0.325 -0.433  -0.248 -0.522  -0.172 -0.611  -0.095 -0.699  -0.018 -0.787  0.058 -0.875  0.126 -0.970  0.194 -1.066  0.273 -1.151  0.356 -1.234  0.430 -1.324  0.494 -1.395  0.470 -1.280  0.447 -1.166  0.424 -1.051  0.400 -0.937  0.377 -0.822  0.354 -0.707  0.330 -0.593  0.307 -0.478  0.283 -0.364  0.260 -0.249  0.237 -0.134  0.213 -0.020  0.190 0.095  0.166 0.209  0.143 0.324  0.120 0.439  0.096 0.553  0.073 0.668  0.049 0.782  0.026 0.897  0.003 1.012  -0.021 1.126  -0.044 1.241  -0.067 1.355  -0.091 1.470  -0.114 1.585  -0.139 1.698  -0.219 1.767  -0.275 1.847  -0.264 1.825
1c#pri#pri0#150/m  -1.235 0.484  -1.293 0.419  -1.309 0.316  -1.309 0.211  -1.309 0.106  -1.297 0.002  -1.265 -0.097  -1.221 -0.192  -1.150 -0.268  -1.099 -0.356  -1.024 -0.318  -0.977 -0.224  -0.930 -0.130  -0.879 -0.039  -0.821 0.049  -0.769 0.140  -0.708 0.225  -0.637 0.302  -0.555 0.365  -0.462 0.416  -0.361 0.428  -0.260 0.401  -0.176 0.339  -0.100 0.268  -0.036 0.185  0.029 0.102  0.081 0.012  0.128 -0.081  0.186 -0.169  0.239 -0.258  0.317 -0.326  0.402 -0.383  0.505 -0.383  0.601 -0.344  0.669 -0.265  0.732 -0.181  0.797 -0.099  0.853 -0.010  0.914 0.075  0.977 0.159  1.052 0.224  1.154 0.206  1.229 0.133  1.295 0.052  1.355 -0.034  1.420 -0.116  1.472 -0.208  1.528 -0.296  1.589 -0.381  1.657 -0.462
1c#pri#pri0#150/o  0.611 0.850  0.491 0.885  0.336 0.885  0.180 0.885  0.026 0.878  -0.128 0.856  -0.277 0.815  -0.424 0.763  -0.566 0.702  -0.705 0.632  -0.840 0.555  -0.966 0.465  -1.080 0.361  -1.160 0.228  -1.213 0.083  -1.243 -0.068  -1.229 -0.220  -1.170 -0.364  -1.060 -0.474  -0.941 -0.571  -0.806 -0.648  -0.667 -0.717  -0.525 -0.780  -0.380 -0.830  -0.225 -0.844  -0.070 -0.858  0.085 -0.862  0.240 -0.862  0.396 -0.862  0.551 -0.862  0.705 -0.855  0.855 -0.812  1.003 -0.766  1.149 -0.715  1.252 -0.603  1.252 -0.447  1.218 -0.296  1.150 -0.157  1.063 -0.030  0.953 0.079  0.836 0.181  0.716 0.280  0.587 0.366  0.453 0.444  0.310 0.505  0.161 0.544  0.007 0.564  -0.148 0.564  -0.303 0.564  -0.459 0.564
