3#apa#apa19#app1992/!  -0.061 1.748  -0.061 1.674  -0.061 1.599  -0.061 1.525  -0.061 1.451  -0.061 1.377  -0.061 1.303  -0.061 1.228  -0.061 1.154  -0.061 1.080  -0.061 1.006  -0.061 0.931  -0.061 0.857  -0.061 0.783  -0.061 0.709  -0.061 0.634  -0.061 0.560  -0.061 0.486  -0.061 0.412  -0.061 0.338  -0.061 0.263  -0.061 0.189  -0.061 0.115  -0.061 0.041  -0.061 -0.034  -0.061 -0.108  -0.061 -0.182  -0.061 -0.256  -0.038 -0.308  0.036 -0.308  0.098 -0.321  0.098 -0.395  0.098 -0.469  0.098 -0.543  0.098 -0.618  0.098 -0.692  0.098 -0.766  0.098 -0.840  0.098 -0.915  0.098 -0.989  0.098 -1.063  0.098 -1.137  0.098 -1.212  0.098 -1.286  0.098 -1.360  0.098 -1.434  0.098 -1.508  0.088 -1.573  0.014 -1.573  -0.061 -1.573
3#apa#apa19#app1992/~  -1.464 -0.075  -1.353 -0.075  -1.241 -0.075  -1.209 0.004  -1.209 0.116  -1.209 0.227  -1.209 0.339  -1.194 0.435  -1.082 0.435  -0.971 0.435  -0.859 0.435  -0.748 0.435  -0.699 0.498  -0.699 0.609  -0.668 0.691  -0.557 0.691  -0.445 0.691  -0.334 0.691  -0.222 0.691  -0.188 0.613  -0.188 0.502  -0.188 0.390  -0.188 0.279  -0.175 0.180  -0.063 0.180  0.048 0.180  0.067 0.088  0.067 -0.024  0.067 -0.135  0.067 -0.247  0.095 -0.330  0.207 -0.330  0.318 -0.330  0.322 -0.438  0.322 -0.550  0.398 -0.586  0.509 -0.586  0.621 -0.586  0.732 -0.586  0.844 -0.586  0.956 -0.586  1.067 -0.586  1.179 -0.586  1.290 -0.586  1.385 -0.544  1.463 -0.465  1.542 -0.386  1.598 -0.298  1.598 -0.187  1.598 -0.075
3#apa#apa19#app1992/  -1.018 0.284  -1.095 0.284  -1.172 0.284  -1.249 0.284  -1.326 0.284  -1.403 0.284  -1.358 0.284  -1.281 0.284  -1.204 0.284  -1.127 0.284  -1.050 0.284  -0.986 0.252  -0.931 0.197  -0.877 0.143  -0.822 0.088  -0.768 0.034  -0.713 -0.021  -0.659 -0.075  -0.599 -0.117  -0.522 -0.117  -0.445 -0.117  -0.368 -0.117  -0.291 -0.117  -0.214 -0.117  -0.137 -0.117  -0.060 -0.117  0.017 -0.117  0.094 -0.117  0.171 -0.117  0.248 -0.117  0.325 -0.117  0.402 -0.117  0.479 -0.117  0.556 -0.117  0.633 -0.117  0.711 -0.117  0.788 -0.117  0.865 -0.117  0.942 -0.117  1.019 -0.117  1.096 -0.117  1.173 -0.117  1.250 -0.117  1.327 -0.117  1.404 -0.117  1.481 -0.117  1.558 -0.117  1.635 -0.117  1.712 -0.117  1.789 -0.117
3#apa#apa19#app1992/_  -1.535 -0.094  -1.535 -0.022  -1.535 0.051  -1.521 0.110  -1.449 0.110  -1.377 0.110  -1.304 0.110  -1.232 0.110  -1.160 0.110  -1.087 0.110  -1.015 0.110  -0.943 0.110  -0.870 0.110  -0.798 0.110  -0.725 0.110  -0.653 0.110  -0.581 0.110  -0.508 0.110  -0.436 0.110  -0.364 0.110  -0.291 0.110  -0.219 0.110  -0.147 0.110  -0.085 0.085  -0.033 0.033  0.018 -0.018  0.069 -0.069  0.131 -0.094  0.203 -0.094  0.276 -0.094  0.348 -0.094  0.420 -0.094  0.493 -0.094  0.565 -0.094  0.637 -0.094  0.710 -0.094  0.782 -0.094  0.854 -0.094  0.927 -0.094  0.999 -0.094  1.072 -0.094  1.144 -0.094  1.216 -0.094  1.289 -0.094  1.361 -0.094  1.433 -0.094  1.506 -0.094  1.578 -0.094  1.650 -0.094  1.723 -0.094
3#apa#apa19#app1992/+  -0.318 1.882  -0.136 1.882  -0.031 1.806  -0.031 1.624  -0.031 1.442  -0.031 1.260  -0.031 1.079  0.057 0.933  0.186 0.805  0.256 0.652  0.256 0.471  0.256 0.289  0.256 0.107  0.256 -0.075  0.256 -0.256  0.256 -0.438  0.256 -0.620  0.256 -0.801  0.256 -0.983  0.256 -1.165  0.256 -1.347  0.256 -1.528  0.173 -1.436  0.072 -1.285  -0.029 -1.133  -0.130 -0.982  -0.230 -0.831  -0.331 -0.680  -0.432 -0.529  -0.533 -0.377  -0.634 -0.226  -0.734 -0.075  -0.835 0.076  -0.972 0.161  -1.153 0.161  -1.022 0.161  -0.840 0.161  -0.659 0.161  -0.477 0.161  -0.295 0.161  -0.113 0.161  0.039 0.091  0.168 -0.038  0.313 -0.126  0.495 -0.126  0.676 -0.126  0.858 -0.126  1.040 -0.126  1.222 -0.126  1.403 -0.126
3#apa#apa19#app1992/=  -1.355 0.948  -1.224 0.882  -1.093 0.816  -0.961 0.751  -0.926 0.840  -0.886 0.948  -0.740 0.948  -0.593 0.948  -0.446 0.948  -0.299 0.948  -0.153 0.948  -0.006 0.948  0.141 0.948  0.246 0.848  0.350 0.744  0.492 0.733  0.639 0.733  0.786 0.733  0.790 0.591  0.734 0.470  0.622 0.375  0.511 0.279  0.399 0.184  0.288 0.088  0.177 -0.007  0.065 -0.103  -0.046 -0.198  -0.158 -0.294  -0.269 -0.389  -0.381 -0.485  -0.492 -0.580  -0.603 -0.676  -0.711 -0.764  -0.711 -0.617  -0.628 -0.554  -0.483 -0.561  -0.352 -0.627  -0.220 -0.692  -0.089 -0.758  0.055 -0.769  0.202 -0.769  0.349 -0.769  0.495 -0.769  0.623 -0.816  0.726 -0.919  0.847 -0.983  0.994 -0.983  1.005 -1.119  1.072 -1.198  1.219 -1.198
3#apa#apa19#app1992/[  0.833 1.015  0.820 1.099  0.723 1.099  0.626 1.099  0.529 1.099  0.431 1.099  0.334 1.099  0.237 1.099  0.140 1.099  0.042 1.099  -0.043 1.072  -0.117 1.015  -0.214 1.015  -0.311 1.015  -0.393 0.977  -0.441 0.900  -0.441 0.802  -0.441 0.705  -0.374 0.675  -0.356 0.596  -0.356 0.498  -0.356 0.401  -0.342 0.307  -0.298 0.220  -0.271 0.129  -0.271 0.032  -0.271 -0.065  -0.271 -0.162  -0.271 -0.260  -0.271 -0.357  -0.271 -0.454  -0.271 -0.551  -0.248 -0.643  -0.205 -0.730  -0.186 -0.823  -0.186 -0.920  -0.186 -1.018  -0.186 -1.115  -0.186 -1.173  -0.154 -1.108  -0.057 -1.108  0.040 -1.108  0.117 -1.156  0.200 -1.193  0.297 -1.193  0.394 -1.193  0.491 -1.193  0.585 -1.200  0.654 -1.269  0.748 -1.278
3#apa#apa19#app1992/]  -0.599 1.294  -0.584 1.375  -0.488 1.375  -0.437 1.331  -0.377 1.294  -0.281 1.294  -0.186 1.294  -0.090 1.294  0.006 1.294  0.049 1.241  0.117 1.213  0.130 1.131  0.130 1.035  0.130 0.939  0.130 0.843  0.130 0.747  0.130 0.652  0.194 0.582  0.211 0.493  0.211 0.398  0.211 0.302  0.211 0.206  0.211 0.110  0.211 0.014  0.211 -0.082  0.211 -0.178  0.211 -0.273  0.211 -0.369  0.211 -0.465  0.211 -0.561  0.274 -0.631  0.292 -0.719  0.292 -0.815  0.292 -0.911  0.325 -0.973  0.373 -1.021  0.373 -1.117  0.295 -1.135  0.200 -1.135  0.104 -1.135  0.008 -1.135  -0.032 -1.079  -0.103 -1.054  -0.198 -1.053  -0.289 -1.023  -0.380 -0.992  -0.473 -0.973  -0.569 -0.973  -0.665 -0.973  -0.761 -0.973
3#apa#apa19#app1992/{  0.794 1.111  0.794 1.222  0.735 1.275  0.623 1.275  0.511 1.275  0.399 1.275  0.287 1.275  0.175 1.275  0.085 1.223  -0.014 1.193  -0.044 1.111  -0.110 1.064  -0.110 0.952  -0.110 0.840  -0.110 0.728  -0.051 0.641  0.028 0.562  0.108 0.483  0.137 0.383  0.219 0.353  0.219 0.241  0.219 0.130  0.301 0.100  0.301 -0.012  0.218 -0.041  0.138 -0.120  0.027 -0.122  -0.027 -0.179  -0.114 -0.204  -0.226 -0.204  -0.338 -0.204  -0.450 -0.204  -0.520 -0.246  -0.520 -0.357  -0.507 -0.464  -0.438 -0.547  -0.407 -0.646  -0.356 -0.737  -0.356 -0.849  -0.356 -0.961  -0.356 -1.072  -0.356 -1.184  -0.339 -1.289  -0.254 -1.354  -0.192 -1.404  -0.112 -1.436  -0.032 -1.513  0.077 -1.518  0.189 -1.518  0.219 -1.601
3#apa#apa19#app1992/}  -0.531 1.235  -0.455 1.266  -0.394 1.312  -0.287 1.312  -0.180 1.312  -0.073 1.312  0.035 1.312  0.142 1.312  0.222 1.248  0.312 1.223  0.342 1.128  0.389 1.041  0.389 0.934  0.371 0.834  0.295 0.758  0.219 0.683  0.143 0.607  0.062 0.545  -0.030 0.510  -0.106 0.434  -0.182 0.358  -0.225 0.269  -0.301 0.238  -0.301 0.131  -0.301 0.024  -0.291 -0.078  -0.215 -0.154  -0.139 -0.230  -0.060 -0.298  0.047 -0.298  0.133 -0.349  0.088 -0.374  0.005 -0.399  -0.049 -0.451  -0.071 -0.536  -0.071 -0.643  -0.071 -0.750  -0.001 -0.828  0.075 -0.904  0.082 -1.008  0.105 -1.110  0.153 -1.205  0.235 -1.234  0.235 -1.342  0.235 -1.449  0.204 -1.524  0.097 -1.524  -0.011 -1.524  -0.118 -1.524  -0.148 -1.601
3#apa#apa19#app1992/\\  -0.767 1.188  -0.767 1.262  -0.767 1.335  -0.753 1.346  -0.720 1.281  -0.687 1.215  -0.674 1.145  -0.664 1.074  -0.631 1.009  -0.598 0.943  -0.557 0.884  -0.505 0.832  -0.453 0.781  -0.401 0.729  -0.366 0.665  -0.333 0.600  -0.300 0.534  -0.267 0.469  -0.235 0.403  -0.202 0.338  -0.169 0.272  -0.136 0.207  -0.104 0.141  -0.071 0.076  -0.038 0.010  0.003 -0.049  0.054 -0.101  0.089 -0.164  0.112 -0.233  0.135 -0.303  0.158 -0.372  0.205 -0.421  0.271 -0.453  0.336 -0.486  0.379 -0.542  0.411 -0.608  0.444 -0.673  0.477 -0.739  0.510 -0.804  0.542 -0.870  0.542 -0.943  0.580 -1.001  0.632 -1.053  0.683 -1.104  0.729 -1.158  0.729 -1.232  0.729 -1.305  0.770 -1.338  0.823 -1.358  0.823 -1.431
3#apa#apa19#app1992/,  -0.522 1.436  -0.444 1.436  -0.366 1.436  -0.289 1.436  -0.211 1.436  -0.188 1.381  -0.188 1.303  -0.188 1.226  -0.188 1.148  -0.166 1.080  -0.111 1.025  -0.056 0.970  -0.001 0.915  0.054 0.860  0.109 0.805  0.145 0.743  0.145 0.665  0.145 0.587  0.145 0.510  0.145 0.432  0.145 0.354  0.145 0.277  0.145 0.199  0.145 0.121  0.145 0.044  0.145 -0.034  0.145 -0.111  0.145 -0.189  0.145 -0.267  0.145 -0.344  0.145 -0.422  0.145 -0.500  0.145 -0.577  0.145 -0.655  0.145 -0.733  0.145 -0.810  0.145 -0.888  0.145 -0.965  0.145 -1.043  0.145 -1.121  0.145 -1.198  0.099 -1.231  0.022 -1.231  -0.056 -1.231  -0.134 -1.231  -0.188 -1.253  -0.188 -1.331  -0.188 -1.409  -0.188 -1.486  -0.188 -1.564
3#apa#apa19#app1992/  0.531 1.219  0.531 1.292  0.531 1.365  0.531 1.392  0.531 1.319  0.460 1.317  0.433 1.270  0.418 1.203  0.366 1.152  0.328 1.092  0.310 1.021  0.292 0.950  0.275 0.879  0.257 0.808  0.239 0.737  0.237 0.664  0.224 0.593  0.201 0.524  0.178 0.454  0.155 0.385  0.129 0.316  0.096 0.251  0.064 0.185  0.031 0.120  -0.002 0.054  -0.035 -0.011  -0.058 -0.079  -0.058 -0.152  -0.058 -0.225  -0.078 -0.294  -0.110 -0.359  -0.143 -0.425  -0.176 -0.490  -0.209 -0.556  -0.241 -0.621  -0.254 -0.691  -0.254 -0.765  -0.254 -0.838  -0.285 -0.904  -0.317 -0.969  -0.350 -1.035  -0.400 -1.088  -0.451 -1.140  -0.451 -1.213  -0.473 -1.281  -0.506 -1.347  -0.539 -1.412  -0.549 -1.483  -0.549 -1.556  -0.549 -1.629
3#apa#apa19#app1992/?  -0.216 0.681  -0.316 0.695  -0.344 0.781  -0.417 0.822  -0.417 0.936  -0.417 1.050  -0.417 1.164  -0.322 1.183  -0.208 1.183  -0.094 1.183  0.020 1.183  0.134 1.183  0.248 1.183  0.340 1.129  0.386 1.034  0.448 0.982  0.486 0.906  0.486 0.792  0.486 0.679  0.475 0.569  0.394 0.489  0.314 0.408  0.233 0.328  0.153 0.247  0.067 0.179  -0.015 0.148  -0.061 0.079  -0.157 0.037  -0.238 -0.043  -0.316 -0.125  -0.316 -0.239  -0.316 -0.352  -0.316 -0.466  -0.276 -0.564  -0.216 -0.653  -0.186 -0.754  -0.105 -0.835  -0.025 -0.915  0.085 -0.925  0.099 -1.025  0.181 -1.052  0.162 -1.164  0.143 -1.277  0.124 -1.389  0.106 -1.502  0.087 -1.614  0.084 -1.726  0.004 -1.646  -0.015 -1.540  -0.015 -1.426
3#apa#apa19#app1992/'  0.032 1.738  0.032 1.665  0.032 1.593  0.032 1.521  0.032 1.449  0.032 1.376  0.032 1.304  0.032 1.232  0.032 1.160  0.032 1.088  0.032 1.015  0.032 0.943  0.032 0.871  0.032 0.799  0.032 0.727  0.032 0.654  0.032 0.582  0.032 0.510  0.032 0.438  0.032 0.366  0.032 0.293  0.032 0.221  0.032 0.149  0.032 0.077  0.032 0.005  0.032 -0.068  0.032 -0.140  0.032 -0.212  0.032 -0.284  0.032 -0.357  0.032 -0.429  0.032 -0.501  0.032 -0.573  0.032 -0.645  0.032 -0.718  0.032 -0.790  0.032 -0.862  0.032 -0.934  0.032 -1.006  0.032 -1.079  0.032 -1.151  0.032 -1.223  0.032 -1.295  0.023 -1.358  -0.050 -1.358  -0.122 -1.358  -0.194 -1.358  -0.266 -1.358  -0.338 -1.358  -0.411 -1.358
3#apa#apa19#app1992/\"  -0.968 0.694  -0.754 0.694  -0.539 0.694  -0.449 0.818  -0.449 1.032  -0.449 1.179  -0.449 0.964  -0.449 0.750  -0.449 0.535  -0.449 0.320  -0.449 0.106  -0.449 -0.109  -0.449 -0.323  -0.449 -0.538  -0.449 -0.753  -0.449 -0.967  -0.449 -1.182  -0.442 -1.373  -0.332 -1.189  -0.222 -1.005  -0.111 -0.821  -0.001 -0.637  0.110 -0.453  0.220 -0.269  0.330 -0.085  0.441 0.099  0.551 0.283  0.662 0.467  0.772 0.651  0.882 0.835  0.993 1.019  1.103 1.203  0.906 1.213  0.692 1.213  0.510 1.133  0.359 0.982  0.207 0.830  0.070 0.672  0.070 0.457  0.070 0.243  0.070 0.028  0.070 -0.187  0.070 -0.401  0.070 -0.616  0.070 -0.830  0.070 -1.045  0.070 -1.259  0.070 -1.474  0.070 -1.689  0.070 -1.903
3#apa#apa19#app1992/<  0.706 1.307  0.706 1.410  0.623 1.430  0.521 1.430  0.461 1.387  0.438 1.307  0.336 1.305  0.263 1.232  0.215 1.149  0.215 1.046  0.215 0.943  0.145 0.869  0.073 0.796  -0.000 0.723  -0.073 0.650  -0.146 0.577  -0.195 0.487  -0.241 0.395  -0.293 0.308  -0.366 0.235  -0.438 0.162  -0.511 0.089  -0.523 -0.009  -0.570 -0.092  -0.643 -0.165  -0.715 -0.238  -0.788 -0.311  -0.861 -0.384  -0.832 -0.414  -0.741 -0.442  -0.668 -0.515  -0.574 -0.537  -0.471 -0.537  -0.377 -0.560  -0.305 -0.632  -0.213 -0.660  -0.123 -0.691  -0.050 -0.764  0.022 -0.837  0.097 -0.906  0.200 -0.906  0.303 -0.906  0.386 -0.954  0.458 -1.027  0.561 -1.029  0.663 -1.029  0.706 -1.089  0.746 -1.152  0.829 -1.172  0.829 -1.275
3#apa#apa19#app1992/|  -0.023 1.426  0.048 1.426  0.082 1.464  0.082 1.528  0.082 1.456  0.082 1.385  0.082 1.314  0.082 1.243  0.082 1.171  0.082 1.100  0.082 1.029  0.060 0.963  0.028 0.899  -0.004 0.835  -0.023 0.768  -0.023 0.697  -0.023 0.626  -0.023 0.555  -0.023 0.483  -0.023 0.412  -0.023 0.341  -0.023 0.270  -0.023 0.198  -0.023 0.127  -0.023 0.056  -0.023 -0.016  -0.023 -0.087  -0.023 -0.158  -0.023 -0.229  -0.023 -0.301  -0.023 -0.372  -0.023 -0.443  -0.023 -0.514  -0.023 -0.586  -0.023 -0.657  -0.023 -0.728  -0.023 -0.800  -0.023 -0.871  -0.023 -0.942  -0.023 -1.013  -0.023 -1.085  -0.023 -1.156  -0.023 -1.227  -0.023 -1.298  -0.023 -1.370  -0.023 -1.441  -0.023 -1.512  -0.023 -1.584  -0.023 -1.655  -0.023 -1.726
3#apa#apa19#app1992/>  -0.940 1.322  -0.940 1.418  -0.872 1.350  -0.793 1.297  -0.706 1.254  -0.617 1.226  -0.531 1.201  -0.462 1.133  -0.394 1.065  -0.326 0.997  -0.258 0.929  -0.190 0.861  -0.101 0.842  -0.044 0.779  -0.000 0.693  0.055 0.616  0.123 0.547  0.192 0.479  0.213 0.392  0.260 0.315  0.328 0.247  0.396 0.178  0.464 0.110  0.501 0.029  0.546 -0.023  0.597 -0.068  0.597 -0.164  0.643 -0.215  0.694 -0.261  0.694 -0.357  0.694 -0.453  0.647 -0.503  0.597 -0.550  0.550 -0.599  0.468 -0.633  0.400 -0.701  0.331 -0.769  0.251 -0.821  0.165 -0.864  0.074 -0.888  -0.010 -0.918  -0.078 -0.985  -0.165 -1.028  -0.251 -1.072  -0.267 -1.158  -0.346 -1.176  -0.442 -1.176  -0.515 -1.232  -0.584 -1.300  -0.652 -1.368
