2#app#app26#app2628/T  0.418 0.941  0.418 0.780  0.368 0.639  0.292 0.510  0.230 0.374  0.165 0.240  0.091 0.110  0.039 -0.030  -0.048 -0.155  -0.162 -0.269  -0.213 -0.409  -0.301 -0.534  -0.339 -0.679  -0.439 -0.799  -0.466 -0.949  -0.466 -1.110  -0.466 -1.272  -0.568 -1.330  -0.603 -1.456  -0.715 -1.410  -0.706 -1.249  -0.696 -1.088  -0.687 -0.927  -0.677 -0.766  -0.668 -0.605  -0.658 -0.445  -0.649 -0.284  -0.639 -0.123  -0.630 0.038  -0.621 0.199  -0.611 0.360  -0.602 0.521  -0.592 0.682  -0.438 0.689  -0.277 0.689  -0.115 0.689  -0.080 0.563  0.069 0.533  0.190 0.436  0.351 0.436  0.512 0.436  0.635 0.528  0.782 0.563  0.943 0.563  1.088 0.602  1.213 0.689  1.374 0.689  1.504 0.765  1.644 0.815  1.806 0.815
2#app#app26#app2628/d  -0.266 -0.099  -0.437 -0.099  -0.580 -0.166  -0.727 -0.222  -0.857 -0.320  -1.014 -0.353  -1.137 -0.469  -1.252 -0.523  -1.252 -0.694  -1.226 -0.838  -1.129 -0.912  -1.044 -1.047  -0.889 -1.085  -0.718 -1.085  -0.573 -1.022  -0.453 -0.901  -0.308 -0.838  -0.175 -0.747  -0.019 -0.714  0.102 -0.593  0.222 -0.473  0.226 -0.304  0.289 -0.159  0.388 -0.023  0.464 0.130  0.580 0.254  0.662 0.403  0.749 0.547  0.843 0.679  0.903 0.825  1.024 0.945  1.089 1.089  1.089 1.259  1.089 1.330  0.992 1.257  0.864 1.155  0.743 1.034  0.596 0.996  0.553 0.844  0.432 0.723  0.312 0.603  0.204 0.473  0.128 0.320  -0.012 0.271  -0.135 0.156  -0.143 -0.012  -0.143 -0.182  -0.138 -0.351  -0.017 -0.471  0.103 -0.592
2#app#app26#app2628/p  0.425 0.363  0.258 0.307  0.091 0.252  -0.041 0.139  -0.166 0.014  -0.290 -0.110  -0.415 -0.235  -0.540 -0.359  -0.544 -0.533  -0.648 -0.606  -0.777 -0.718  -0.859 -0.873  -0.907 -1.038  -1.028 -1.093  -1.028 -1.269  -1.141 -1.332  -1.150 -1.165  -1.078 -1.018  -1.028 -0.863  -0.907 -0.808  -0.865 -0.642  -0.786 -0.484  -0.661 -0.360  -0.537 -0.235  -0.408 -0.121  -0.252 -0.072  -0.128 0.053  -0.003 0.177  0.061 0.327  0.160 0.462  0.285 0.586  0.304 0.755  0.387 0.847  0.442 0.968  0.618 0.968  0.793 0.973  0.920 1.089  1.097 1.089  1.151 0.968  1.151 0.792  1.151 0.616  1.151 0.440  1.151 0.264  1.030 0.209  0.942 0.121  0.766 0.121  0.590 0.121  0.535 0.242  0.425 0.308  0.304 0.363
2#app#app26#app2628/o  0.204 0.637  0.073 0.571  -0.059 0.505  -0.190 0.439  -0.322 0.373  -0.453 0.308  -0.585 0.242  -0.710 0.167  -0.814 0.063  -0.918 -0.041  -1.022 -0.145  -1.126 -0.249  -1.132 -0.394  -1.132 -0.541  -1.132 -0.688  -0.997 -0.700  -0.909 -0.759  -0.909 -0.906  -0.778 -0.922  -0.631 -0.922  -0.484 -0.922  -0.337 -0.922  -0.190 -0.922  -0.042 -0.922  0.105 -0.922  0.252 -0.922  0.399 -0.922  0.511 -0.838  0.615 -0.734  0.694 -0.612  0.760 -0.480  0.825 -0.349  0.873 -0.213  0.873 -0.066  0.873 0.081  0.873 0.228  0.873 0.376  0.873 0.523  0.873 0.670  0.873 0.817  0.873 0.964  0.844 1.082  0.697 1.082  0.549 1.082  0.402 1.082  0.255 1.082  0.136 1.014  0.032 0.910  -0.094 0.859  -0.241 0.859
2#app#app26#app2628/s  1.443 1.038  1.322 1.038  1.201 1.038  1.079 1.038  0.958 1.038  0.837 1.038  0.716 1.038  0.594 1.038  0.473 1.038  0.352 1.038  0.346 0.923  0.346 0.801  0.262 0.763  0.141 0.763  0.020 0.763  -0.101 0.763  -0.203 0.744  -0.203 0.622  -0.203 0.501  -0.312 0.489  -0.433 0.489  -0.477 0.412  -0.477 0.290  -0.445 0.183  -0.359 0.097  -0.274 0.011  -0.203 -0.081  -0.203 -0.202  -0.203 -0.323  -0.092 -0.334  0.029 -0.334  0.016 -0.390  -0.070 -0.476  -0.156 -0.561  -0.164 -0.647  -0.079 -0.733  0.007 -0.819  0.071 -0.913  0.071 -1.034  0.071 -1.156  -0.048 -1.157  -0.170 -1.157  -0.291 -1.157  -0.412 -1.157  -0.533 -1.157  -0.655 -1.157  -0.769 -1.140  -0.855 -1.054  -0.940 -0.969  -1.026 -0.883
2#app#app26#app2628/e  -0.812 0.097  -0.630 0.097  -0.448 0.097  -0.265 0.097  -0.083 0.097  0.099 0.097  0.281 0.097  0.463 0.097  0.645 0.097  0.827 0.097  1.009 0.097  1.146 0.208  1.266 0.340  1.266 0.522  1.266 0.705  1.169 0.790  0.987 0.790  0.805 0.790  0.623 0.790  0.441 0.790  0.258 0.790  0.076 0.790  -0.106 0.790  -0.288 0.790  -0.435 0.705  -0.564 0.576  -0.693 0.447  -0.825 0.328  -1.007 0.328  -1.146 0.224  -1.274 0.095  -1.274 -0.087  -1.274 -0.269  -1.186 -0.364  -1.043 -0.403  -1.043 -0.585  -0.871 -0.595  -0.689 -0.595  -0.581 -0.670  -0.555 -0.826  -0.373 -0.826  -0.191 -0.826  -0.009 -0.826  0.173 -0.826  0.355 -0.826  0.537 -0.826  0.720 -0.826  0.902 -0.826  1.084 -0.826  1.266 -0.826
2#app#app26#app2628/d  -0.052 -0.186  -0.052 -0.001  -0.052 0.183  -0.196 0.223  -0.381 0.223  -0.565 0.223  -0.705 0.116  -0.876 0.082  -1.006 -0.049  -1.190 -0.050  -1.347 -0.117  -1.503 -0.186  -1.553 -0.320  -1.553 -0.505  -1.486 -0.662  -1.331 -0.732  -1.146 -0.732  -0.962 -0.732  -0.777 -0.732  -0.594 -0.728  -0.464 -0.598  -0.280 -0.595  -0.096 -0.595  0.084 -0.591  0.131 -0.435  0.296 -0.353  0.357 -0.206  0.513 -0.166  0.639 -0.032  0.721 0.133  0.850 0.223  0.962 0.341  1.047 0.504  1.176 0.635  1.176 0.820  1.176 1.004  1.165 1.178  0.998 1.137  0.903 0.992  0.833 0.836  0.766 0.679  0.630 0.631  0.630 0.447  0.561 0.291  0.493 0.134  0.493 -0.050  0.363 -0.180  0.357 -0.363  0.357 -0.547  0.493 -0.595
2#app#app26#app2628/a  1.155 0.266  0.967 0.328  0.779 0.391  0.591 0.454  0.517 0.599  0.411 0.690  0.212 0.690  0.014 0.690  -0.184 0.690  -0.383 0.690  -0.570 0.665  -0.711 0.525  -0.851 0.385  -1.000 0.266  -1.193 0.255  -1.334 0.115  -1.506 0.053  -1.608 -0.044  -1.608 -0.242  -1.608 -0.441  -1.553 -0.584  -1.355 -0.584  -1.157 -0.584  -0.958 -0.584  -0.760 -0.584  -0.562 -0.584  -0.417 -0.456  -0.253 -0.372  -0.074 -0.326  0.066 -0.186  0.253 -0.159  0.452 -0.159  0.611 -0.066  0.751 0.074  0.891 0.215  0.942 0.392  0.830 0.478  0.730 0.380  0.671 0.206  0.531 0.066  0.390 -0.074  0.305 -0.237  0.368 -0.372  0.552 -0.407  0.692 -0.547  0.832 -0.482  0.985 -0.372  1.183 -0.372  1.382 -0.372  1.580 -0.372
2#app#app26#app2628/l  1.079 1.356  1.023 1.300  0.967 1.244  0.911 1.188  0.855 1.132  0.799 1.076  0.743 1.020  0.687 0.964  0.631 0.908  0.608 0.839  0.608 0.759  0.608 0.680  0.559 0.650  0.480 0.650  0.401 0.650  0.337 0.614  0.281 0.558  0.225 0.502  0.169 0.446  0.138 0.380  0.138 0.301  0.138 0.221  0.111 0.153  0.055 0.097  -0.001 0.041  -0.057 -0.015  -0.098 -0.077  -0.098 -0.156  -0.098 -0.235  -0.114 -0.308  -0.170 -0.364  -0.226 -0.420  -0.282 -0.476  -0.333 -0.534  -0.333 -0.613  -0.333 -0.692  -0.340 -0.768  -0.396 -0.824  -0.452 -0.880  -0.508 -0.936  -0.564 -0.992  -0.641 -0.997  -0.720 -0.997  -0.799 -0.997  -0.878 -0.997  -0.958 -0.997  -1.037 -0.997  -1.039 -1.074  -1.039 -1.153  -1.039 -1.232
2#app#app26#app2628/o  0.798 0.401  0.684 0.515  0.570 0.629  0.456 0.590  0.342 0.476  0.212 0.401  0.051 0.401  -0.110 0.401  -0.271 0.401  -0.433 0.401  -0.575 0.356  -0.689 0.242  -0.803 0.128  -0.917 0.014  -1.031 -0.100  -1.062 -0.249  -1.071 -0.406  -1.185 -0.520  -1.299 -0.634  -1.328 -0.783  -1.311 -0.928  -1.150 -0.928  -0.989 -0.928  -0.827 -0.928  -0.666 -0.928  -0.505 -0.928  -0.344 -0.928  -0.182 -0.928  -0.021 -0.928  0.099 -0.830  0.213 -0.716  0.327 -0.602  0.441 -0.488  0.555 -0.374  0.669 -0.260  0.783 -0.146  0.798 0.009  0.823 0.160  0.937 0.274  1.051 0.388  1.064 0.544  1.064 0.705  1.064 0.867  0.968 0.932  0.807 0.932  0.646 0.932  0.485 0.932  0.324 0.932  0.267 0.828  0.267 0.666
2#app#app26#app2628/n  0.218 0.760  0.218 0.947  0.218 0.908  0.191 0.733  0.059 0.601  -0.043 0.457  -0.043 0.270  -0.198 0.239  -0.303 0.158  -0.310 -0.021  -0.497 -0.021  -0.564 -0.141  -0.609 -0.282  -0.796 -0.282  -0.824 -0.440  -0.884 -0.602  -1.015 -0.733  -1.173 -0.803  -1.345 -0.817  -1.345 -1.004  -1.345 -0.937  -1.293 -0.803  -1.106 -0.803  -0.968 -0.686  -0.836 -0.554  -0.704 -0.422  -0.573 -0.291  -0.441 -0.159  -0.309 -0.027  -0.125 -0.021  -0.043 0.083  -0.012 0.239  0.174 0.239  0.218 0.382  0.286 0.500  0.473 0.500  0.659 0.500  0.846 0.500  0.999 0.533  0.999 0.719  1.145 0.760  1.260 0.689  1.260 0.502  1.260 0.316  1.260 0.129  1.260 -0.057  1.260 -0.243  1.260 -0.430  1.186 -0.542  0.999 -0.542
2#app#app26#app2628/g  1.425 1.135  1.252 1.135  1.079 1.135  0.905 1.135  0.732 1.135  0.559 1.135  0.398 1.106  0.271 0.993  0.098 0.993  -0.053 0.940  -0.144 0.804  -0.144 0.631  -0.037 0.565  0.096 0.467  0.251 0.422  0.424 0.422  0.597 0.422  0.771 0.422  0.792 0.359  0.669 0.236  0.549 0.112  0.438 -0.021  0.327 -0.154  0.216 -0.287  0.105 -0.421  -0.006 -0.554  -0.117 -0.687  -0.237 -0.812  -0.389 -0.862  -0.429 -0.995  -0.593 -1.004  -0.766 -1.004  -0.940 -1.004  -1.113 -1.004  -1.286 -1.004  -1.405 -0.982  -1.282 -0.860  -1.138 -0.764  -0.993 -0.667  -0.850 -0.570  -0.728 -0.447  -0.571 -0.377  -0.410 -0.312  -0.249 -0.248  -0.088 -0.184  0.078 -0.149  0.251 -0.149  0.425 -0.149  0.548 -0.028  0.712 -0.006
2#app#app26#app2628/s  1.331 0.684  1.249 0.767  1.167 0.849  1.076 0.912  0.960 0.912  0.844 0.912  0.728 0.912  0.611 0.912  0.495 0.912  0.379 0.912  0.263 0.912  0.147 0.912  0.030 0.912  -0.086 0.912  -0.202 0.912  -0.301 0.870  -0.383 0.788  -0.466 0.705  -0.400 0.684  -0.284 0.684  -0.259 0.592  -0.259 0.476  -0.191 0.388  -0.108 0.306  -0.032 0.222  -0.032 0.105  -0.022 -0.007  0.060 -0.089  0.142 -0.171  0.195 -0.266  0.195 -0.382  0.195 -0.498  0.195 -0.614  0.195 -0.730  0.195 -0.847  0.155 -0.946  0.073 -1.028  -0.010 -1.111  -0.117 -1.133  -0.233 -1.133  -0.349 -1.133  -0.465 -1.133  -0.582 -1.133  -0.698 -1.133  -0.714 -1.033  -0.714 -0.917  -0.819 -0.906  -0.936 -0.906  -1.052 -0.906  -1.168 -0.906
2#app#app26#app2628/i  0.143 0.307  0.143 0.442  0.143 0.382  0.084 0.307  -0.029 0.285  -0.029 0.150  -0.149 0.134  -0.202 0.052  -0.233 -0.070  -0.328 -0.165  -0.424 -0.260  -0.519 -0.356  -0.547 -0.479  -0.605 -0.556  -0.719 -0.577  -0.719 -0.712  -0.719 -0.847  -0.719 -0.982  -0.719 -1.117  -0.714 -1.246  -0.579 -1.246  -0.444 -1.246  -0.374 -1.181  -0.347 -1.074  -0.212 -1.074  -0.077 -1.074  -0.008 -0.989  0.025 -0.858  0.057 -0.727  0.090 -0.596  0.123 -0.465  0.156 -0.335  0.188 -0.204  0.221 -0.073  0.254 0.058  0.286 0.189  0.319 0.320  0.352 0.451  0.385 0.582  0.417 0.713  0.450 0.844  0.483 0.975  0.516 1.105  0.548 1.236  0.581 1.367  0.614 1.498  0.646 1.629  0.661 1.762  0.699 1.860  0.834 1.860
2#app#app26#app2628/d  -0.154 -0.327  -0.272 -0.198  -0.343 -0.091  -0.522 -0.091  -0.625 -0.166  -0.760 -0.209  -0.916 -0.264  -1.068 -0.327  -1.202 -0.432  -1.258 -0.563  -1.333 -0.666  -1.333 -0.844  -1.227 -0.916  -1.049 -0.916  -0.871 -0.916  -0.743 -0.866  -0.632 -0.799  -0.503 -0.681  -0.344 -0.635  -0.218 -0.509  -0.075 -0.406  0.084 -0.325  0.210 -0.199  0.329 -0.068  0.409 0.091  0.554 0.145  0.634 0.304  0.713 0.464  0.795 0.622  0.916 0.751  0.996 0.911  1.104 1.049  1.143 1.211  1.209 1.324  1.138 1.318  1.025 1.186  0.969 1.032  0.843 0.906  0.744 0.760  0.662 0.602  0.563 0.454  0.464 0.305  0.346 0.173  0.220 0.047  0.060 0.004  -0.067 -0.122  -0.154 -0.264  -0.154 -0.442  -0.154 -0.620  -0.154 -0.799
2#app#app26#app2628/e  -0.691 0.076  -0.691 0.260  -0.691 0.089  -0.691 0.247  -0.575 0.150  -0.421 0.076  -0.236 0.076  -0.052 0.076  0.115 0.118  0.246 0.248  0.423 0.267  0.608 0.267  0.792 0.267  0.977 0.267  1.123 0.360  1.267 0.458  1.412 0.497  1.379 0.649  1.221 0.676  1.201 0.840  1.016 0.840  0.832 0.840  0.647 0.840  0.516 0.710  0.357 0.649  0.172 0.649  -0.012 0.649  -0.197 0.649  -0.360 0.598  -0.491 0.467  -0.621 0.337  -0.777 0.267  -0.883 0.188  -0.934 0.024  -1.064 -0.106  -1.074 -0.287  -1.074 -0.472  -1.074 -0.656  -0.922 -0.689  -0.883 -0.834  -0.785 -0.978  -0.639 -1.072  -0.454 -1.072  -0.270 -1.072  -0.085 -1.072  0.100 -1.072  0.284 -1.072  0.469 -1.072  0.654 -1.072  0.838 -1.072
2#app#app26#app2628/a  1.118 0.517  0.954 0.600  0.789 0.682  0.647 0.797  0.505 0.901  0.321 0.901  0.137 0.901  -0.048 0.901  -0.230 0.895  -0.360 0.764  -0.522 0.709  -0.706 0.709  -0.864 0.644  -0.995 0.517  -1.180 0.517  -1.182 0.335  -1.357 0.326  -1.374 0.158  -1.374 -0.027  -1.374 -0.211  -1.374 -0.395  -1.235 -0.441  -1.089 -0.534  -0.946 -0.633  -0.761 -0.633  -0.577 -0.633  -0.393 -0.633  -0.208 -0.633  -0.026 -0.627  0.104 -0.497  0.235 -0.367  0.371 -0.250  0.552 -0.241  0.682 -0.111  0.735 0.052  0.837 0.134  0.832 0.134  0.648 0.134  0.543 0.054  0.470 -0.058  0.352 -0.124  0.352 -0.308  0.352 -0.492  0.395 -0.633  0.580 -0.633  0.764 -0.633  0.949 -0.633  1.133 -0.633  1.317 -0.633  1.502 -0.633
