2#tos#f1#f1018060/+  -1.200 -0.179  -1.361 -0.179  -1.521 -0.179  -1.655 -0.206  -1.543 -0.255  -1.396 -0.223  -1.282 -0.109  -1.124 -0.103  -0.964 -0.100  -0.811 -0.049  -0.654 -0.027  -0.494 -0.027  -0.333 -0.027  -0.175 -0.014  -0.022 0.037  0.137 0.048  0.297 0.048  0.458 0.048  0.606 0.090  0.739 0.179  0.894 0.200  0.972 0.251  0.901 0.394  0.829 0.538  0.757 0.682  0.685 0.825  0.613 0.969  0.539 1.109  0.379 1.109  0.218 1.109  0.058 1.109  0.013 0.994  0.013 0.833  0.013 0.673  0.050 0.523  0.139 0.390  0.164 0.237  0.164 0.076  0.224 -0.071  0.295 -0.214  0.316 -0.370  0.316 -0.531  0.316 -0.691  0.316 -0.852  0.383 -0.997  0.426 -1.151  0.465 -1.307  0.603 -1.384  0.619 -1.534  0.619 -1.695
2#tos#f1#f1018060/{  0.371 1.494  0.259 1.494  0.147 1.494  0.059 1.471  -0.036 1.447  -0.117 1.378  -0.204 1.338  -0.253 1.275  -0.292 1.179  -0.256 1.104  -0.214 1.034  -0.171 0.939  -0.136 0.835  -0.066 0.769  -0.058 0.659  -0.036 0.553  0.014 0.453  0.020 0.342  -0.019 0.239  -0.021 0.129  -0.133 0.129  -0.165 0.041  -0.253 -0.007  -0.307 -0.066  -0.404 -0.100  -0.514 -0.105  -0.565 -0.166  -0.476 -0.158  -0.368 -0.144  -0.256 -0.144  -0.160 -0.183  -0.097 -0.232  -0.094 -0.343  -0.058 -0.440  -0.058 -0.552  -0.058 -0.664  -0.058 -0.776  -0.058 -0.888  -0.058 -1.000  0.035 -1.041  0.074 -1.127  0.134 -1.209  0.241 -1.236  0.353 -1.236  0.456 -1.267  0.553 -1.314  0.660 -1.346  0.771 -1.353  0.883 -1.353  0.995 -1.353
2#tos#f1#f1018060/|  -0.021 1.599  -0.092 1.599  -0.150 1.565  -0.164 1.499  -0.164 1.427  -0.164 1.356  -0.164 1.284  -0.164 1.213  -0.164 1.141  -0.164 1.069  -0.151 1.001  -0.119 0.937  -0.070 0.885  -0.068 0.814  -0.068 0.742  -0.068 0.671  -0.068 0.599  -0.068 0.528  -0.068 0.456  -0.068 0.384  -0.068 0.313  -0.068 0.241  -0.068 0.170  -0.054 0.099  -0.039 0.029  -0.025 -0.041  -0.010 -0.111  0.005 -0.181  0.019 -0.251  0.034 -0.321  0.048 -0.391  0.063 -0.461  0.078 -0.532  0.092 -0.602  0.107 -0.672  0.121 -0.742  0.136 -0.812  0.151 -0.882  0.165 -0.952  0.170 -1.023  0.170 -1.095  0.123 -1.119  0.123 -1.190  0.123 -1.262  0.123 -1.334  0.123 -1.405  0.123 -1.477  0.123 -1.548  0.170 -1.572  0.170 -1.644
2#tos#f1#f1018060/}  -0.565 1.308  -0.672 1.308  -0.589 1.308  -0.482 1.308  -0.376 1.308  -0.269 1.308  -0.172 1.269  -0.065 1.268  0.011 1.220  0.089 1.166  0.142 1.075  0.189 0.987  0.223 0.895  0.184 0.805  0.165 0.717  0.117 0.636  0.037 0.599  0.026 0.503  0.026 0.397  0.026 0.290  0.026 0.184  0.109 0.137  0.184 0.096  0.223 0.028  0.308 0.007  0.415 0.007  0.482 -0.032  0.449 -0.071  0.420 -0.149  0.314 -0.150  0.250 -0.198  0.161 -0.257  0.105 -0.315  0.074 -0.402  -0.022 -0.450  -0.085 -0.505  -0.092 -0.604  -0.092 -0.711  -0.092 -0.817  -0.092 -0.924  -0.069 -1.025  -0.053 -1.127  -0.053 -1.234  -0.053 -1.340  -0.053 -1.447  -0.053 -1.553  -0.092 -1.643  -0.116 -1.726  -0.222 -1.726  -0.329 -1.726
2#tos#f1#f1018060/1  -0.234 1.703  -0.225 1.634  -0.174 1.582  -0.174 1.509  -0.174 1.437  -0.174 1.364  -0.174 1.291  -0.174 1.218  -0.167 1.146  -0.140 1.078  -0.113 1.011  -0.086 0.943  -0.059 0.875  -0.054 0.803  -0.054 0.730  -0.054 0.657  -0.054 0.584  -0.054 0.512  -0.054 0.439  -0.054 0.366  -0.054 0.293  -0.054 0.220  -0.054 0.147  -0.054 0.074  -0.054 0.001  -0.054 -0.072  -0.045 -0.144  -0.031 -0.215  -0.016 -0.287  -0.002 -0.358  0.030 -0.421  0.066 -0.479  0.066 -0.552  0.066 -0.625  0.066 -0.698  0.066 -0.770  0.066 -0.843  0.066 -0.916  0.066 -0.989  0.066 -1.062  0.066 -1.135  0.097 -1.177  0.170 -1.177  0.186 -1.234  0.186 -1.307  0.208 -1.357  0.262 -1.389  0.294 -1.454  0.353 -1.477  0.426 -1.477
2#tos#f1#f1018060/2  -0.549 0.260  -0.656 0.198  -0.758 0.195  -0.821 0.301  -0.823 0.426  -0.823 0.550  -0.823 0.675  -0.823 0.800  -0.759 0.885  -0.690 0.983  -0.589 1.055  -0.476 1.106  -0.356 1.130  -0.235 1.160  -0.111 1.173  0.013 1.173  0.138 1.173  0.218 1.100  0.301 1.008  0.318 0.890  0.318 0.766  0.318 0.641  0.314 0.517  0.284 0.396  0.248 0.277  0.208 0.158  0.159 0.045  0.090 -0.059  0.067 -0.174  -0.022 -0.262  -0.047 -0.377  -0.064 -0.496  -0.133 -0.600  -0.192 -0.710  -0.261 -0.814  -0.275 -0.934  -0.275 -1.059  -0.155 -1.064  -0.031 -1.064  0.094 -1.064  0.219 -1.064  0.344 -1.064  0.468 -1.064  0.593 -1.064  0.718 -1.064  0.823 -1.018  0.948 -1.018  1.073 -1.018  1.198 -1.018  1.277 -0.972
2#tos#f1#f1018060/4  -0.134 1.739  -0.206 1.579  -0.301 1.465  -0.402 1.363  -0.418 1.203  -0.571 1.173  -0.613 1.003  -0.730 0.875  -0.843 0.740  -0.938 0.597  -0.998 0.446  -1.046 0.290  -1.046 0.114  -1.046 -0.061  -1.046 -0.237  -0.879 -0.257  -0.707 -0.291  -0.532 -0.298  -0.356 -0.298  -0.181 -0.298  -0.005 -0.298  0.170 -0.298  0.346 -0.298  0.521 -0.298  0.652 -0.371  0.806 -0.405  0.982 -0.405  0.982 -0.312  0.885 -0.166  0.788 -0.019  0.690 0.127  0.593 0.273  0.509 0.423  0.416 0.506  0.241 0.506  0.134 0.544  0.134 0.369  0.134 0.193  0.161 0.021  0.217 -0.144  0.261 -0.313  0.290 -0.486  0.307 -0.659  0.348 -0.828  0.348 -1.004  0.348 -1.179  0.370 -1.352  0.402 -1.524  0.455 -1.646  0.509 -1.799
2#tos#f1#f1018060/6  0.731 1.542  0.604 1.542  0.525 1.590  0.398 1.590  0.288 1.527  0.202 1.435  0.126 1.351  0.019 1.305  -0.062 1.208  -0.130 1.101  -0.170 0.981  -0.233 0.871  -0.298 0.762  -0.316 0.640  -0.391 0.538  -0.462 0.434  -0.487 0.309  -0.514 0.186  -0.554 0.065  -0.554 -0.062  -0.554 -0.189  -0.554 -0.316  -0.554 -0.443  -0.554 -0.570  -0.554 -0.697  -0.554 -0.824  -0.492 -0.932  -0.412 -1.029  -0.299 -1.055  -0.228 -1.161  -0.107 -1.172  0.020 -1.172  0.147 -1.172  0.274 -1.172  0.372 -1.103  0.479 -1.036  0.590 -0.977  0.636 -0.861  0.636 -0.734  0.636 -0.607  0.636 -0.480  0.628 -0.358  0.514 -0.302  0.401 -0.245  0.300 -0.170  0.195 -0.105  0.073 -0.077  -0.047 -0.060  -0.126 0.034  -0.221 0.066
2#tos#f1#f1018060/7  -0.638 1.093  -0.735 1.007  -0.783 0.909  -0.783 0.763  -0.783 0.617  -0.783 0.471  -0.783 0.325  -0.783 0.179  -0.783 0.033  -0.783 -0.113  -0.773 -0.158  -0.744 -0.015  -0.716 0.128  -0.687 0.271  -0.658 0.415  -0.638 0.559  -0.593 0.660  -0.457 0.702  -0.313 0.708  -0.176 0.746  -0.043 0.804  0.103 0.804  0.249 0.804  0.395 0.804  0.541 0.804  0.673 0.783  0.755 0.664  0.856 0.560  0.818 0.429  0.715 0.326  0.663 0.202  0.589 0.129  0.470 0.066  0.470 -0.080  0.401 -0.201  0.336 -0.332  0.209 -0.391  0.144 -0.511  0.133 -0.655  0.133 -0.801  0.133 -0.947  0.181 -1.045  0.195 -1.186  0.230 -1.317  0.336 -1.413  0.480 -1.427  0.622 -1.461  0.737 -1.535  0.869 -1.570  1.000 -1.606
2#tos#f1#f1018060/A  -0.856 -0.987  -1.024 -1.043  -0.969 -0.919  -0.962 -0.741  -0.906 -0.571  -0.846 -0.402  -0.776 -0.238  -0.709 -0.072  -0.628 0.088  -0.529 0.237  -0.447 0.397  -0.373 0.560  -0.307 0.726  -0.293 0.903  -0.185 1.037  -0.103 1.196  -0.023 1.357  -0.011 1.533  0.139 1.605  0.214 1.501  0.214 1.321  0.276 1.200  0.356 1.039  0.427 0.885  0.516 0.736  0.552 0.562  0.552 0.382  0.552 0.203  0.629 0.042  0.696 -0.124  0.721 -0.299  0.721 -0.478  0.775 -0.644  0.777 -0.823  0.777 -1.002  0.777 -1.182  0.752 -1.298  0.629 -1.168  0.506 -1.038  0.383 -0.908  0.259 -0.778  0.136 -0.648  0.013 -0.518  -0.110 -0.388  -0.234 -0.257  -0.412 -0.254  -0.591 -0.254  -0.516 -0.196  -0.360 -0.142  -0.180 -0.142
2#tos#f1#f1018060/D  -0.154 1.289  -0.261 1.204  -0.326 1.032  -0.369 0.852  -0.398 0.665  -0.426 0.478  -0.512 0.306  -0.555 0.126  -0.637 -0.042  -0.644 -0.233  -0.690 -0.417  -0.690 -0.610  -0.744 -0.780  -0.744 -0.972  -0.744 -1.164  -0.775 -1.160  -0.717 -0.977  -0.659 -0.794  -0.601 -0.610  -0.543 -0.427  -0.485 -0.244  -0.427 -0.061  -0.369 0.122  -0.311 0.305  -0.253 0.489  -0.194 0.672  -0.136 0.855  -0.027 0.968  0.165 0.968  0.357 0.968  0.550 0.968  0.742 0.968  0.913 0.918  0.974 0.751  1.127 0.636  1.232 0.492  1.293 0.325  1.293 0.133  1.211 -0.025  1.055 -0.137  0.915 -0.267  0.810 -0.426  0.656 -0.541  0.503 -0.656  0.343 -0.760  0.176 -0.846  0.021 -0.954  -0.154 -1.033  -0.317 -1.125  -0.476 -1.229
2#tos#f1#f1018060/F  -0.201 1.311  -0.311 1.151  -0.311 0.913  -0.311 0.674  -0.422 0.469  -0.422 0.231  -0.442 -0.003  -0.516 -0.228  -0.534 -0.464  -0.580 -0.698  -0.616 -0.931  -0.699 -1.155  -0.755 -1.382  -0.755 -1.621  -0.737 -1.727  -0.674 -1.497  -0.611 -1.267  -0.548 -1.037  -0.484 -0.807  -0.421 -0.577  -0.358 -0.347  -0.295 -0.117  -0.232 0.112  -0.169 0.342  -0.106 0.572  -0.043 0.802  0.021 1.032  -0.075 1.034  0.163 1.034  0.402 1.034  0.640 1.034  0.879 1.034  1.117 1.034  1.296 0.909  1.224 0.709  1.027 0.574  0.830 0.440  0.633 0.306  0.435 0.172  0.238 0.038  0.041 -0.096  -0.090 -0.265  -0.267 -0.387  -0.253 -0.462  -0.017 -0.453  0.208 -0.396  0.423 -0.296  0.657 -0.269  0.891 -0.240  1.129 -0.240
2#tos#f1#f1018060/G  0.510 0.703  0.565 0.850  0.565 1.021  0.534 1.178  0.454 1.283  0.374 1.396  0.208 1.425  0.038 1.425  -0.133 1.425  -0.279 1.344  -0.361 1.203  -0.458 1.068  -0.609 0.996  -0.711 0.873  -0.782 0.718  -0.824 0.555  -0.824 0.384  -0.873 0.221  -0.927 0.060  -0.935 -0.110  -0.935 -0.280  -0.848 -0.397  -0.801 -0.543  -0.680 -0.664  -0.542 -0.742  -0.378 -0.771  -0.214 -0.798  -0.043 -0.798  0.127 -0.798  0.298 -0.798  0.445 -0.742  0.546 -0.651  0.484 -0.546  0.323 -0.487  0.163 -0.429  0.003 -0.371  -0.164 -0.357  -0.230 -0.370  -0.066 -0.353  0.104 -0.353  0.273 -0.340  0.436 -0.298  0.607 -0.298  0.722 -0.388  0.788 -0.500  0.788 -0.671  0.788 -0.842  0.788 -1.012  0.788 -1.183  0.899 -1.242
2#tos#f1#f1018060/N  -0.876 1.454  -1.076 1.409  -0.996 1.211  -0.961 0.980  -0.876 0.761  -0.785 0.542  -0.756 0.301  -0.756 0.057  -0.756 -0.188  -0.756 -0.433  -0.756 -0.678  -0.756 -0.923  -0.709 -0.889  -0.698 -0.644  -0.686 -0.399  -0.675 -0.155  -0.663 0.090  -0.651 0.334  -0.640 0.579  -0.747 0.695  -0.665 0.518  -0.492 0.359  -0.309 0.200  -0.167 0.009  -0.006 -0.172  0.170 -0.335  0.290 -0.544  0.435 -0.672  0.601 -0.820  0.689 -1.029  0.760 -0.986  0.756 -0.742  0.751 -0.497  0.746 -0.252  0.742 -0.007  0.737 0.238  0.732 0.483  0.727 0.727  0.723 0.972  0.480 0.975  0.482 0.776  0.542 0.539  0.586 0.304  0.729 0.106  0.787 -0.124  0.872 -0.354  0.924 -0.587  0.962 -0.823  0.982 -1.063  1.002 -1.303
2#tos#f1#f1018060/O  0.249 -0.672  0.213 -0.782  0.101 -0.817  -0.045 -0.817  -0.191 -0.817  -0.334 -0.810  -0.455 -0.731  -0.579 -0.655  -0.705 -0.583  -0.806 -0.478  -0.875 -0.351  -0.904 -0.208  -0.904 -0.062  -0.904 0.084  -0.904 0.230  -0.904 0.376  -0.904 0.522  -0.904 0.668  -0.868 0.806  -0.778 0.914  -0.643 0.950  -0.534 1.019  -0.408 1.058  -0.271 1.094  -0.125 1.094  0.021 1.094  0.167 1.094  0.313 1.094  0.435 1.017  0.561 0.948  0.676 0.868  0.750 0.742  0.777 0.610  0.862 0.509  0.862 0.363  0.862 0.217  0.862 0.071  0.862 -0.075  0.838 -0.215  0.797 -0.355  0.754 -0.485  0.694 -0.594  0.638 -0.725  0.572 -0.855  0.457 -0.940  0.369 -1.036  0.255 -1.105  0.109 -1.105  -0.037 -1.105  -0.075 -1.069
2#tos#f1#f1018060/P  -0.501 1.293  -0.663 1.219  -0.630 1.013  -0.587 0.819  -0.570 0.609  -0.520 0.404  -0.447 0.207  -0.393 0.004  -0.332 -0.198  -0.329 -0.409  -0.292 -0.609  -0.244 -0.806  -0.225 -1.015  -0.201 -1.224  -0.201 -1.435  -0.158 -1.604  -0.260 -1.713  -0.289 -1.527  -0.293 -1.316  -0.296 -1.104  -0.300 -0.893  -0.303 -0.681  -0.307 -0.470  -0.310 -0.258  -0.313 -0.047  -0.317 0.165  -0.320 0.376  -0.324 0.588  -0.327 0.799  -0.347 0.993  -0.332 1.162  -0.121 1.164  0.091 1.164  0.285 1.093  0.458 0.971  0.662 0.950  0.848 0.889  0.979 0.723  1.089 0.606  1.131 0.436  1.131 0.225  1.131 0.013  1.011 -0.105  0.838 -0.210  0.695 -0.339  0.488 -0.359  0.287 -0.421  0.076 -0.424  -0.118 -0.381  -0.029 -0.339
2#tos#f1#f1018060/T  -1.330 0.651  -1.441 0.598  -1.529 0.526  -1.400 0.526  -1.271 0.526  -1.142 0.526  -1.013 0.526  -0.885 0.526  -0.756 0.526  -0.627 0.526  -0.498 0.526  -0.369 0.526  -0.241 0.526  -0.112 0.526  0.017 0.526  0.146 0.526  0.275 0.526  0.404 0.526  0.521 0.476  0.645 0.443  0.773 0.443  0.902 0.443  1.031 0.443  1.054 0.360  0.926 0.364  0.798 0.381  0.671 0.398  0.543 0.415  0.415 0.432  0.287 0.443  0.184 0.380  0.093 0.289  0.040 0.206  0.040 0.077  0.040 -0.051  0.040 -0.180  0.040 -0.309  0.040 -0.438  0.040 -0.567  0.065 -0.692  0.096 -0.817  0.134 -0.938  0.206 -1.037  0.206 -1.166  0.244 -1.289  0.276 -1.414  0.289 -1.541  0.346 -1.627  0.371 -1.753  0.414 -1.840
2#tos#f1#f1018060/U  -0.767 1.303  -0.844 1.225  -0.859 1.121  -0.859 1.011  -0.859 0.902  -0.859 0.792  -0.859 0.682  -0.859 0.572  -0.859 0.463  -0.859 0.353  -0.832 0.251  -0.771 0.160  -0.767 0.051  -0.767 -0.058  -0.738 -0.164  -0.700 -0.267  -0.659 -0.369  -0.617 -0.470  -0.553 -0.553  -0.476 -0.621  -0.435 -0.723  -0.390 -0.822  -0.296 -0.860  -0.194 -0.880  -0.103 -0.939  0.004 -0.952  0.114 -0.952  0.223 -0.952  0.317 -0.918  0.382 -0.831  0.461 -0.768  0.549 -0.727  0.610 -0.636  0.654 -0.544  0.731 -0.466  0.798 -0.384  0.798 -0.274  0.798 -0.164  0.808 -0.057  0.844 0.044  0.844 0.154  0.844 0.264  0.860 0.372  0.882 0.480  0.890 0.589  0.890 0.699  0.890 0.808  0.890 0.918  0.856 1.014  0.844 1.119
2#tos#f1#f1018060/W  -1.076 1.144  -1.255 1.144  -1.212 1.026  -1.145 0.861  -1.106 0.687  -1.039 0.522  -0.965 0.359  -0.920 0.188  -0.920 0.009  -0.876 -0.151  -0.800 -0.309  -0.748 -0.480  -0.668 -0.633  -0.585 -0.783  -0.489 -0.888  -0.361 -0.968  -0.258 -0.862  -0.255 -0.684  -0.255 -0.505  -0.236 -0.328  -0.215 -0.151  -0.215 0.028  -0.215 0.207  -0.215 0.386  -0.215 0.565  -0.215 0.744  -0.073 0.688  -0.059 0.515  -0.059 0.336  -0.016 0.164  0.058 0.031  0.170 -0.102  0.252 -0.260  0.316 -0.427  0.418 -0.568  0.450 -0.743  0.578 -0.823  0.746 -0.851  0.880 -0.806  0.994 -0.698  1.051 -0.536  1.081 -0.366  1.124 -0.193  1.146 -0.015  1.167 0.161  1.232 0.327  1.232 0.506  1.232 0.685  1.232 0.864  1.310 0.988
