2#apb#apb18#app1834/O  0.429 -0.584  0.503 -0.436  0.557 -0.281  0.595 -0.121  0.595 0.044  0.590 0.209  0.574 0.374  0.542 0.534  0.487 0.690  0.435 0.847  0.385 1.004  0.327 1.159  0.264 1.311  0.202 1.464  0.085 1.574  -0.067 1.547  -0.159 1.410  -0.233 1.264  -0.283 1.106  -0.329 0.947  -0.374 0.789  -0.413 0.628  -0.451 0.467  -0.488 0.307  -0.516 0.144  -0.543 -0.019  -0.570 -0.182  -0.597 -0.345  -0.624 -0.508  -0.651 -0.671  -0.668 -0.835  -0.683 -1.000  -0.685 -1.165  -0.663 -1.325  -0.578 -1.461  -0.437 -1.518  -0.296 -1.431  -0.175 -1.323  -0.077 -1.190  0.021 -1.058  0.102 -0.914  0.179 -0.768  0.257 -0.622  0.329 -0.474  0.393 -0.321  0.457 -0.169  0.520 -0.017  0.559 0.143  0.592 0.305  0.580 0.469
2#apb#apb18#app1834/y  -0.244 1.448  -0.217 1.544  -0.151 1.490  -0.120 1.401  -0.114 1.301  -0.110 1.202  -0.130 1.104  -0.150 1.006  -0.171 0.908  -0.194 0.812  -0.224 0.716  -0.255 0.621  -0.286 0.527  -0.320 0.433  -0.360 0.341  -0.325 0.307  -0.237 0.353  -0.155 0.410  -0.075 0.469  0.000 0.535  0.076 0.601  0.151 0.665  0.231 0.673  0.267 0.580  0.297 0.486  0.289 0.386  0.281 0.287  0.273 0.187  0.265 0.088  0.257 -0.012  0.244 -0.111  0.227 -0.209  0.210 -0.307  0.193 -0.406  0.175 -0.504  0.158 -0.602  0.140 -0.701  0.120 -0.798  0.101 -0.896  0.081 -0.994  0.062 -1.092  0.042 -1.190  0.023 -1.288  0.007 -1.387  -0.010 -1.485  -0.026 -1.583  -0.042 -1.682  -0.063 -1.780  -0.086 -1.877  -0.109 -1.974
2#apb#apb18#app1834/P  -0.327 0.646  -0.327 0.471  -0.329 0.297  -0.349 0.124  -0.370 -0.050  -0.390 -0.223  -0.410 -0.396  -0.431 -0.569  -0.450 -0.743  -0.466 -0.916  -0.482 -1.090  -0.494 -1.264  -0.502 -1.438  -0.490 -1.456  -0.498 -1.282  -0.510 -1.109  -0.522 -0.935  -0.534 -0.761  -0.547 -0.587  -0.559 -0.413  -0.571 -0.239  -0.583 -0.065  -0.596 0.109  -0.608 0.283  -0.620 0.457  -0.633 0.631  -0.571 0.757  -0.433 0.864  -0.292 0.967  -0.150 1.068  0.018 1.115  0.186 1.162  0.358 1.153  0.532 1.135  0.701 1.099  0.865 1.039  1.026 0.976  1.099 0.817  1.171 0.659  1.169 0.488  1.151 0.314  1.106 0.150  1.019 -0.001  0.932 -0.153  0.806 -0.272  0.676 -0.388  0.546 -0.505  0.390 -0.580  0.228 -0.643  0.065 -0.706
2#apb#apb18#app1834/r  -0.690 -1.486  -0.605 -1.507  -0.537 -1.469  -0.527 -1.386  -0.527 -1.299  -0.527 -1.212  -0.527 -1.125  -0.527 -1.037  -0.527 -0.950  -0.527 -0.863  -0.527 -0.776  -0.527 -0.689  -0.527 -0.602  -0.527 -0.515  -0.527 -0.428  -0.527 -0.340  -0.527 -0.253  -0.527 -0.166  -0.522 -0.079  -0.513 0.007  -0.504 0.094  -0.494 0.181  -0.485 0.267  -0.476 0.354  -0.448 0.435  -0.409 0.513  -0.370 0.591  -0.295 0.628  -0.213 0.659  -0.131 0.689  -0.050 0.720  0.032 0.751  0.116 0.762  0.203 0.758  0.290 0.753  0.377 0.748  0.464 0.744  0.551 0.739  0.633 0.713  0.711 0.674  0.789 0.636  0.866 0.597  0.944 0.558  1.022 0.519  1.098 0.476  1.169 0.425  1.240 0.374  1.310 0.324  1.381 0.273  1.452 0.222
2#apb#apb18#app1834/o  0.812 -0.157  0.835 0.005  0.792 0.161  0.740 0.317  0.650 0.453  0.556 0.588  0.499 0.741  0.442 0.895  0.375 1.045  0.333 1.201  0.302 1.362  0.185 1.322  0.086 1.196  0.006 1.053  -0.075 0.911  -0.159 0.770  -0.244 0.630  -0.329 0.490  -0.415 0.350  -0.491 0.205  -0.559 0.056  -0.628 -0.093  -0.696 -0.242  -0.762 -0.392  -0.823 -0.545  -0.883 -0.697  -0.944 -0.849  -0.959 -1.012  -0.972 -1.176  -0.915 -1.328  -0.787 -1.409  -0.635 -1.432  -0.500 -1.338  -0.366 -1.245  -0.237 -1.144  -0.110 -1.040  0.016 -0.936  0.128 -0.820  0.193 -0.670  0.258 -0.519  0.322 -0.368  0.380 -0.215  0.434 -0.060  0.488 0.095  0.542 0.250  0.592 0.406  0.641 0.562  0.675 0.719  0.627 0.875  0.579 1.032
2#apb#apb18#app1834/v  -0.546 1.168  -0.558 1.056  -0.570 0.944  -0.582 0.832  -0.593 0.720  -0.611 0.610  -0.638 0.501  -0.666 0.392  -0.693 0.283  -0.720 0.174  -0.744 0.064  -0.764 -0.047  -0.783 -0.157  -0.803 -0.268  -0.810 -0.378  -0.785 -0.488  -0.759 -0.597  -0.733 -0.707  -0.705 -0.815  -0.636 -0.904  -0.567 -0.992  -0.485 -1.054  -0.373 -1.054  -0.260 -1.054  -0.148 -1.054  -0.053 -1.006  0.034 -0.935  0.122 -0.864  0.209 -0.793  0.296 -0.722  0.358 -0.631  0.410 -0.531  0.462 -0.431  0.514 -0.332  0.566 -0.232  0.618 -0.132  0.661 -0.029  0.693 0.079  0.725 0.186  0.758 0.294  0.790 0.401  0.822 0.509  0.855 0.617  0.887 0.724  0.911 0.834  0.934 0.944  0.956 1.054  0.979 1.164  1.002 1.274  1.025 1.384
2#apb#apb18#app1834/i  -0.063 1.678  -0.043 1.611  -0.023 1.543  -0.003 1.476  0.016 1.408  0.036 1.341  0.056 1.273  0.076 1.205  0.096 1.138  0.116 1.070  0.136 1.003  0.155 0.935  0.155 0.865  0.155 0.794  0.155 0.724  0.155 0.654  0.155 0.583  0.155 0.513  0.155 0.442  0.155 0.372  0.155 0.302  0.155 0.231  0.155 0.161  0.152 0.091  0.137 0.022  0.122 -0.047  0.107 -0.116  0.092 -0.184  0.077 -0.253  0.062 -0.322  0.047 -0.391  0.032 -0.460  0.017 -0.528  0.002 -0.597  -0.013 -0.666  -0.028 -0.735  -0.043 -0.804  -0.058 -0.872  -0.082 -0.938  -0.112 -1.002  -0.142 -1.065  -0.172 -1.129  -0.202 -1.193  -0.232 -1.256  -0.262 -1.320  -0.292 -1.384  -0.322 -1.448  -0.352 -1.511  -0.382 -1.575  -0.412 -1.639
2#apb#apb18#app1834/d  0.839 1.886  0.798 1.726  0.757 1.565  0.715 1.405  0.674 1.245  0.636 1.084  0.598 0.922  0.560 0.761  0.523 0.600  0.468 0.444  0.408 0.290  0.348 0.135  0.290 -0.020  0.235 -0.176  0.180 -0.332  0.128 -0.489  0.099 -0.420  0.113 -0.256  0.151 -0.095  0.188 0.067  0.224 0.228  0.260 0.390  0.287 0.553  0.309 0.717  0.264 0.859  0.109 0.806  -0.001 0.682  -0.111 0.558  -0.221 0.435  -0.308 0.294  -0.394 0.153  -0.480 0.012  -0.563 -0.132  -0.639 -0.279  -0.716 -0.426  -0.793 -0.572  -0.863 -0.722  -0.934 -0.872  -0.984 -1.028  -1.008 -1.190  -0.902 -1.316  -0.736 -1.316  -0.577 -1.288  -0.425 -1.222  -0.275 -1.152  -0.135 -1.065  0.006 -0.977  0.151 -0.898  0.299 -0.824  0.447 -0.750
2#apb#apb18#app1834/e  -0.689 -0.100  -0.542 -0.100  -0.398 -0.091  -0.267 -0.026  -0.139 0.045  -0.012 0.117  0.115 0.188  0.219 0.292  0.323 0.394  0.433 0.491  0.543 0.587  0.647 0.690  0.751 0.793  0.846 0.904  0.921 1.024  0.882 1.154  0.746 1.159  0.600 1.145  0.454 1.145  0.311 1.131  0.177 1.071  0.042 1.014  -0.095 0.964  -0.233 0.914  -0.321 0.805  -0.395 0.678  -0.468 0.552  -0.535 0.421  -0.600 0.290  -0.661 0.158  -0.683 0.013  -0.705 -0.131  -0.719 -0.277  -0.719 -0.423  -0.719 -0.569  -0.688 -0.712  -0.647 -0.852  -0.581 -0.983  -0.516 -1.114  -0.388 -1.172  -0.249 -1.218  -0.107 -1.255  0.035 -1.290  0.174 -1.295  0.307 -1.233  0.440 -1.172  0.574 -1.113  0.710 -1.059  0.846 -1.004  0.981 -0.950
2#apb#apb18#app1834/n  -0.606 0.544  -0.591 0.395  -0.603 0.250  -0.666 0.114  -0.730 -0.022  -0.781 -0.162  -0.824 -0.306  -0.867 -0.450  -0.914 -0.592  -0.986 -0.724  -1.057 -0.856  -1.136 -0.983  -1.170 -1.002  -1.079 -0.882  -0.988 -0.764  -0.896 -0.645  -0.804 -0.526  -0.712 -0.408  -0.613 -0.295  -0.514 -0.183  -0.414 -0.071  -0.314 0.042  -0.215 0.154  -0.115 0.266  -0.007 0.370  0.101 0.474  0.210 0.578  0.318 0.682  0.426 0.785  0.538 0.885  0.655 0.980  0.771 1.074  0.889 1.163  1.033 1.121  1.081 0.991  1.110 0.844  1.114 0.699  1.060 0.559  1.006 0.419  0.952 0.279  0.898 0.139  0.845 -0.001  0.792 -0.142  0.738 -0.282  0.685 -0.422  0.632 -0.563  0.561 -0.694  0.478 -0.819  0.395 -0.944  0.312 -1.068
2#apb#apb18#app1834/c  0.238 0.447  0.259 0.549  0.279 0.651  0.302 0.752  0.325 0.854  0.349 0.955  0.373 1.056  0.401 1.157  0.432 1.256  0.462 1.356  0.500 1.452  0.469 1.384  0.455 1.281  0.441 1.177  0.421 1.076  0.376 0.982  0.331 0.889  0.286 0.795  0.241 0.701  0.196 0.607  0.151 0.513  0.108 0.418  0.065 0.323  0.022 0.228  -0.020 0.133  -0.063 0.038  -0.105 -0.057  -0.148 -0.152  -0.196 -0.244  -0.250 -0.333  -0.304 -0.422  -0.358 -0.511  -0.412 -0.600  -0.466 -0.689  -0.518 -0.779  -0.562 -0.873  -0.605 -0.968  -0.649 -1.062  -0.679 -1.162  -0.680 -1.253  -0.595 -1.309  -0.492 -1.295  -0.389 -1.282  -0.286 -1.268  -0.188 -1.237  -0.093 -1.194  0.002 -1.151  0.097 -1.108  0.192 -1.065  0.286 -1.021
2#apb#apb18#app1834/e  -0.285 -0.039  -0.243 0.100  -0.190 0.234  -0.121 0.361  -0.076 0.496  -0.056 0.640  -0.031 0.782  0.026 0.915  0.083 1.048  0.113 1.189  0.032 1.160  -0.066 1.054  -0.159 0.943  -0.247 0.828  -0.328 0.707  -0.408 0.587  -0.484 0.463  -0.556 0.338  -0.629 0.213  -0.701 0.087  -0.771 -0.040  -0.840 -0.167  -0.910 -0.294  -0.973 -0.424  -1.034 -0.556  -1.077 -0.693  -1.106 -0.835  -0.977 -0.894  -0.834 -0.911  -0.689 -0.918  -0.545 -0.926  -0.408 -0.887  -0.273 -0.832  -0.139 -0.778  -0.005 -0.723  0.128 -0.666  0.259 -0.603  0.389 -0.540  0.519 -0.477  0.650 -0.414  0.780 -0.351  0.894 -0.261  1.007 -0.171  1.121 -0.081  1.234 0.009  1.348 0.099  1.464 0.186  1.584 0.267  1.705 0.347  1.825 0.427
2#apb#apb18#app1834/M  -0.522 0.926  -0.578 0.685  -0.635 0.443  -0.693 0.203  -0.759 -0.036  -0.855 -0.265  -0.950 -0.494  -1.044 -0.723  -1.139 -0.952  -1.240 -1.178  -1.158 -0.980  -1.050 -0.757  -0.928 -0.542  -0.794 -0.333  -0.661 -0.124  -0.537 0.091  -0.412 0.305  -0.288 0.520  -0.167 0.736  -0.046 0.953  0.080 1.166  0.222 1.369  0.306 1.238  0.295 0.991  0.230 0.752  0.163 0.513  0.087 0.277  0.010 0.042  -0.080 -0.189  -0.172 -0.420  -0.221 -0.662  -0.059 -0.621  0.115 -0.447  0.285 -0.266  0.422 -0.060  0.560 0.146  0.687 0.359  0.811 0.574  0.940 0.785  1.067 0.855  1.061 0.609  1.047 0.361  0.995 0.119  0.941 -0.123  0.886 -0.365  0.842 -0.609  0.798 -0.853  0.755 -1.097  0.711 -1.341  0.668 -1.585
2#apb#apb18#app1834/a  0.481 -0.704  0.461 -0.496  0.441 -0.288  0.425 -0.080  0.416 0.129  0.407 0.337  0.398 0.546  0.388 0.755  0.379 0.963  0.379 1.172  0.389 1.380  0.400 1.589  0.400 1.797  0.251 1.688  0.138 1.512  0.030 1.333  -0.073 1.151  -0.175 0.970  -0.274 0.786  -0.349 0.591  -0.424 0.396  -0.499 0.201  -0.585 0.011  -0.678 -0.176  -0.772 -0.362  -0.861 -0.551  -0.931 -0.748  -1.000 -0.945  -1.089 -1.133  -0.967 -1.157  -0.786 -1.054  -0.611 -0.940  -0.436 -0.826  -0.273 -0.696  -0.118 -0.557  0.037 -0.417  0.188 -0.273  0.322 -0.113  0.455 0.048  0.595 0.203  0.713 0.263  0.632 0.071  0.551 -0.122  0.471 -0.315  0.394 -0.509  0.316 -0.703  0.231 -0.893  0.143 -1.083  0.068 -1.277  0.002 -1.475
2#apb#apb18#app1834/g  0.593 0.890  0.609 1.050  0.617 1.209  0.502 1.180  0.392 1.062  0.284 0.942  0.181 0.818  0.078 0.694  -0.017 0.564  -0.103 0.427  -0.188 0.290  -0.270 0.151  -0.351 0.011  -0.440 -0.124  -0.517 -0.261  -0.397 -0.221  -0.266 -0.127  -0.143 -0.022  -0.020 0.083  0.089 0.201  0.191 0.326  0.293 0.451  0.392 0.579  0.483 0.712  0.574 0.846  0.683 0.964  0.644 0.867  0.515 0.782  0.458 0.816  0.461 0.717  0.424 0.562  0.358 0.415  0.291 0.268  0.224 0.121  0.161 -0.028  0.098 -0.176  0.035 -0.325  -0.029 -0.473  -0.098 -0.619  -0.169 -0.764  -0.239 -0.910  -0.310 -1.055  -0.398 -1.190  -0.487 -1.324  -0.577 -1.459  -0.677 -1.584  -0.792 -1.698  -0.906 -1.812  -1.040 -1.891  -1.196 -1.933
2#apb#apb18#app1834/n  -0.082 0.818  -0.139 0.674  -0.197 0.530  -0.254 0.387  -0.312 0.243  -0.394 0.113  -0.477 -0.018  -0.559 -0.149  -0.642 -0.279  -0.737 -0.401  -0.835 -0.521  -0.932 -0.641  -1.029 -0.762  -1.103 -0.897  -1.177 -1.033  -1.254 -1.156  -1.169 -1.027  -1.083 -0.899  -0.990 -0.775  -0.886 -0.661  -0.781 -0.547  -0.677 -0.433  -0.572 -0.319  -0.468 -0.205  -0.361 -0.094  -0.249 0.013  -0.138 0.120  -0.026 0.227  0.086 0.334  0.197 0.441  0.310 0.546  0.433 0.641  0.555 0.736  0.677 0.831  0.799 0.926  0.939 0.991  1.079 1.038  1.207 0.952  1.217 0.815  1.192 0.662  1.166 0.510  1.126 0.362  1.062 0.221  0.998 0.080  0.934 -0.061  0.870 -0.202  0.791 -0.334  0.710 -0.466  0.629 -0.598  0.549 -0.730
2#apb#apb18#app1834/o  0.327 0.058  0.373 0.212  0.415 0.367  0.451 0.523  0.475 0.682  0.486 0.842  0.497 1.002  0.507 1.162  0.516 1.323  0.511 1.473  0.383 1.377  0.281 1.257  0.201 1.118  0.120 0.979  0.039 0.841  -0.040 0.701  -0.115 0.559  -0.191 0.417  -0.266 0.276  -0.342 0.134  -0.414 -0.010  -0.481 -0.155  -0.548 -0.301  -0.615 -0.447  -0.682 -0.593  -0.746 -0.740  -0.810 -0.888  -0.874 -1.035  -0.928 -1.186  -0.972 -1.339  -0.891 -1.452  -0.731 -1.437  -0.590 -1.373  -0.463 -1.275  -0.336 -1.177  -0.209 -1.079  -0.101 -0.963  -0.012 -0.829  0.077 -0.695  0.166 -0.562  0.255 -0.428  0.344 -0.295  0.418 -0.153  0.483 -0.006  0.549 0.140  0.615 0.287  0.680 0.433  0.705 0.592  0.729 0.751  0.753 0.910
2#apb#apb18#app1834/l  0.307 1.563  0.357 1.513  0.406 1.463  0.441 1.406  0.454 1.336  0.466 1.267  0.478 1.198  0.490 1.129  0.499 1.060  0.474 0.994  0.449 0.928  0.424 0.862  0.399 0.797  0.374 0.731  0.349 0.665  0.324 0.599  0.299 0.533  0.274 0.468  0.247 0.403  0.218 0.339  0.188 0.275  0.159 0.211  0.130 0.147  0.101 0.083  0.071 0.019  0.042 -0.045  0.013 -0.109  -0.016 -0.173  -0.046 -0.237  -0.075 -0.301  -0.106 -0.364  -0.139 -0.426  -0.171 -0.489  -0.203 -0.551  -0.235 -0.614  -0.267 -0.676  -0.300 -0.739  -0.332 -0.801  -0.364 -0.864  -0.396 -0.926  -0.428 -0.989  -0.461 -1.051  -0.495 -1.113  -0.528 -1.175  -0.562 -1.237  -0.595 -1.298  -0.629 -1.360  -0.662 -1.422  -0.696 -1.484  -0.729 -1.546
2#apb#apb18#app1834/i  0.084 1.696  0.084 1.626  0.084 1.557  0.084 1.487  0.084 1.418  0.084 1.348  0.084 1.279  0.084 1.209  0.084 1.140  0.084 1.070  0.084 1.001  0.084 0.931  0.084 0.862  0.084 0.792  0.084 0.723  0.084 0.653  0.084 0.584  0.084 0.514  0.084 0.445  0.084 0.375  0.084 0.306  0.078 0.237  0.070 0.168  0.062 0.099  0.054 0.030  0.045 -0.039  0.037 -0.108  0.029 -0.177  0.021 -0.246  0.013 -0.315  0.005 -0.384  -0.003 -0.453  -0.011 -0.523  -0.020 -0.592  -0.028 -0.661  -0.036 -0.730  -0.044 -0.799  -0.052 -0.868  -0.065 -0.936  -0.084 -1.003  -0.102 -1.070  -0.120 -1.137  -0.139 -1.204  -0.157 -1.271  -0.175 -1.338  -0.193 -1.405  -0.212 -1.472  -0.230 -1.539  -0.248 -1.606  -0.267 -1.673
