3#app#app18#app1858/[  0.961 1.066  0.961 1.175  0.879 1.202  0.770 1.202  0.668 1.183  0.591 1.105  0.498 1.066  0.388 1.066  0.279 1.066  0.169 1.066  0.060 1.066  0.005 1.012  -0.022 0.929  -0.132 0.929  -0.241 0.929  -0.269 0.847  -0.323 0.792  -0.405 0.765  -0.405 0.656  -0.405 0.546  -0.405 0.437  -0.405 0.327  -0.405 0.218  -0.405 0.108  -0.405 -0.001  -0.405 -0.111  -0.405 -0.220  -0.405 -0.330  -0.405 -0.439  -0.405 -0.548  -0.405 -0.658  -0.405 -0.767  -0.405 -0.877  -0.405 -0.986  -0.405 -1.096  -0.405 -1.205  -0.365 -1.217  -0.288 -1.140  -0.269 -1.038  -0.213 -0.984  -0.104 -0.984  0.006 -0.984  0.115 -0.984  0.224 -0.984  0.318 -0.945  0.395 -0.867  0.496 -0.848  0.606 -0.848  0.715 -0.848  0.825 -0.848
3#app#app18#app1858/n  -1.210 -1.207  -1.076 -1.207  -0.943 -1.207  -0.812 -1.205  -0.812 -1.072  -0.812 -0.939  -0.812 -0.806  -0.812 -0.672  -0.812 -0.539  -0.812 -0.406  -0.812 -0.273  -0.812 -0.140  -0.812 -0.007  -0.812 0.127  -0.812 0.260  -0.805 0.390  -0.711 0.484  -0.617 0.578  -0.523 0.673  -0.428 0.767  -0.301 0.781  -0.168 0.781  -0.035 0.781  0.099 0.781  0.232 0.781  0.365 0.781  0.381 0.663  0.381 0.530  0.381 0.397  0.381 0.503  0.381 0.636  0.381 0.769  0.502 0.781  0.635 0.781  0.768 0.781  0.778 0.657  0.778 0.524  0.778 0.391  0.778 0.258  0.778 0.125  0.778 -0.009  0.778 -0.142  0.778 -0.275  0.778 -0.408  0.778 -0.541  0.778 -0.674  0.778 -0.808  0.778 -0.941  0.778 -1.074  0.778 -1.207
3#app#app18#app1858/o  0.015 0.515  0.015 0.662  0.006 0.800  -0.141 0.800  -0.282 0.788  -0.386 0.684  -0.490 0.580  -0.610 0.515  -0.757 0.515  -0.840 0.452  -0.840 0.305  -0.912 0.230  -1.059 0.230  -1.125 0.150  -1.125 0.003  -1.125 -0.144  -1.125 -0.291  -1.056 -0.409  -0.952 -0.513  -0.848 -0.616  -0.744 -0.720  -0.641 -0.824  -0.529 -0.910  -0.382 -0.910  -0.236 -0.910  -0.089 -0.910  0.058 -0.910  0.205 -0.910  0.352 -0.910  0.498 -0.910  0.645 -0.910  0.792 -0.910  0.870 -0.841  0.870 -0.694  0.870 -0.547  0.870 -0.400  0.870 -0.253  0.870 -0.106  0.870 0.040  0.870 0.187  0.870 0.334  0.870 0.481  0.870 0.628  0.870 0.774  0.749 0.800  0.602 0.800  0.585 0.930  0.585 1.077  0.447 1.085  0.300 1.085
3#app#app18#app1858/w  -0.757 0.488  -0.757 0.649  -0.859 0.708  -0.978 0.751  -0.978 0.912  -0.978 0.784  -0.978 0.623  -1.004 0.488  -1.165 0.488  -1.198 0.360  -1.198 0.199  -1.198 0.037  -1.198 -0.124  -1.087 -0.174  -0.926 -0.174  -0.764 -0.174  -0.603 -0.174  -0.537 -0.079  -0.501 0.047  -0.340 0.047  -0.316 0.184  -0.238 0.267  -0.096 0.286  -0.096 0.448  -0.096 0.367  -0.096 0.206  -0.096 0.044  -0.096 -0.117  0.009 -0.174  0.125 -0.219  0.125 -0.380  0.229 -0.498  0.343 -0.612  0.503 -0.615  0.566 -0.713  0.605 -0.835  0.766 -0.835  0.927 -0.835  1.007 -0.753  1.029 -0.615  1.191 -0.615  1.227 -0.490  1.227 -0.329  1.232 -0.169  1.346 -0.055  1.448 0.064  1.448 0.225  1.329 0.267  1.227 0.327  1.227 0.488
3#app#app18#app1858/w  -0.926 0.754  -0.926 0.897  -1.005 0.960  -1.132 0.946  -1.132 0.803  -1.132 0.661  -1.132 0.519  -1.132 0.376  -1.132 0.234  -1.132 0.092  -1.132 -0.051  -1.010 -0.071  -0.926 -0.129  -0.926 -0.272  -0.926 -0.414  -0.853 -0.483  -0.710 -0.483  -0.568 -0.483  -0.452 -0.421  -0.351 -0.320  -0.226 -0.277  -0.101 -0.260  -0.101 -0.117  -0.101 0.025  -0.101 0.104  -0.101 -0.039  -0.101 -0.181  -0.055 -0.277  0.088 -0.277  0.105 -0.402  0.166 -0.483  0.308 -0.483  0.451 -0.483  0.593 -0.483  0.736 -0.483  0.878 -0.483  1.020 -0.483  1.136 -0.456  1.136 -0.314  1.241 -0.277  1.342 -0.235  1.342 -0.093  1.342 0.049  1.302 0.175  1.202 0.276  1.136 0.391  1.136 0.533  1.008 0.548  0.930 0.612  0.930 0.754
3#app#app18#app1858/h  -0.373 1.116  -0.538 1.116  -0.605 1.018  -0.605 0.915  -0.605 1.079  -0.605 1.244  -0.605 1.286  -0.605 1.121  -0.605 0.957  -0.605 0.792  -0.605 0.627  -0.605 0.462  -0.605 0.297  -0.605 0.133  -0.605 -0.032  -0.605 -0.197  -0.605 -0.362  -0.605 -0.527  -0.605 -0.691  -0.605 -0.856  -0.605 -0.921  -0.605 -0.756  -0.501 -0.635  -0.384 -0.518  -0.373 -0.358  -0.373 -0.193  -0.358 -0.044  -0.193 -0.044  -0.141 0.070  -0.141 0.234  -0.141 0.399  0.002 0.420  0.167 0.420  0.329 0.413  0.446 0.297  0.565 0.188  0.730 0.188  0.786 0.079  0.828 -0.044  0.993 -0.044  1.018 -0.183  1.018 -0.348  1.018 -0.513  1.018 -0.678  1.018 -0.843  1.018 -1.007  1.018 -1.172  1.152 -1.203  1.250 -1.270  1.250 -1.435
3#app#app18#app1858/a  0.447 0.408  0.447 0.583  0.381 0.692  0.206 0.692  0.164 0.825  0.139 0.975  -0.035 0.975  -0.210 0.975  -0.385 0.975  -0.403 0.818  -0.452 0.692  -0.627 0.692  -0.802 0.692  -0.970 0.685  -0.970 0.510  -0.970 0.335  -0.970 0.160  -1.110 0.125  -1.254 0.094  -1.254 -0.081  -1.156 -0.159  -0.981 -0.159  -0.970 -0.323  -0.915 -0.442  -0.740 -0.442  -0.565 -0.442  -0.390 -0.442  -0.215 -0.442  -0.063 -0.386  0.060 -0.262  0.164 -0.130  0.164 0.045  0.164 0.220  0.164 0.395  0.164 0.247  0.201 0.087  0.325 -0.036  0.447 -0.161  0.447 -0.336  0.516 -0.442  0.691 -0.442  0.731 -0.577  0.757 -0.726  0.932 -0.726  1.080 -0.791  1.204 -0.915  1.340 -1.009  1.515 -1.009  1.690 -1.009  1.865 -1.009
3#app#app18#app1858/t  0.640 1.417  0.440 1.417  0.378 1.279  0.378 1.079  0.378 0.879  0.378 0.679  0.378 0.480  0.378 0.280  0.378 0.080  0.378 -0.120  0.210 -0.151  0.117 -0.258  0.117 -0.458  0.117 -0.657  0.117 -0.857  0.117 -1.057  0.117 -1.257  0.117 -1.456  0.316 -1.458  0.288 -1.354  0.157 -1.204  0.025 -1.054  -0.107 -0.903  -0.238 -0.753  -0.370 -0.603  -0.501 -0.452  -0.633 -0.302  -0.764 -0.152  -0.896 -0.001  -1.027 0.149  -1.159 0.299  -1.290 0.450  -1.422 0.600  -1.295 0.633  -1.095 0.633  -0.905 0.610  -0.764 0.468  -0.604 0.372  -0.404 0.372  -0.204 0.372  -0.005 0.372  0.172 0.317  0.313 0.175  0.486 0.110  0.686 0.110  0.886 0.110  1.086 0.110  1.285 0.110  1.424 0.172  1.424 0.372
3#app#app18#app1858/!  0.356 1.673  0.250 1.673  0.145 1.673  0.110 1.603  0.110 1.498  0.075 1.428  -0.030 1.428  -0.135 1.428  -0.135 1.323  -0.135 1.218  -0.135 1.113  -0.135 1.008  -0.135 0.903  -0.135 0.797  -0.135 0.692  -0.135 0.587  -0.135 0.482  -0.184 0.397  -0.259 0.323  -0.333 0.249  -0.354 0.174  -0.280 0.100  -0.205 0.026  -0.135 -0.050  -0.135 -0.155  -0.135 -0.261  -0.111 -0.362  -0.078 -0.462  -0.045 -0.561  -0.011 -0.661  0.022 -0.761  0.055 -0.860  0.088 -0.960  0.074 -1.026  -0.031 -1.026  -0.135 -1.025  -0.135 -0.920  -0.135 -0.815  -0.065 -0.780  0.041 -0.780  0.146 -0.780  0.251 -0.780  0.356 -0.781  0.356 -0.886  0.356 -0.991  0.356 -1.096  0.356 -1.201  0.320 -1.271  0.215 -1.271  0.110 -1.271
3#app#app18#app1858/}  -0.602 1.207  -0.602 1.369  -0.462 1.392  -0.300 1.392  -0.138 1.392  0.025 1.392  0.138 1.342  0.138 1.180  0.134 1.022  -0.028 1.022  -0.047 0.878  -0.168 0.837  -0.232 0.738  -0.307 0.652  -0.417 0.599  -0.417 0.436  -0.409 0.282  -0.247 0.282  -0.085 0.282  0.078 0.282  0.240 0.282  0.402 0.282  0.451 0.282  0.289 0.282  0.127 0.282  -0.036 0.282  -0.198 0.282  -0.232 0.153  -0.232 -0.009  -0.149 -0.088  -0.047 -0.149  -0.009 -0.273  0.138 -0.288  0.138 -0.451  0.293 -0.458  0.323 -0.590  0.432 -0.643  0.508 -0.730  0.508 -0.892  0.508 -1.055  0.489 -1.198  0.327 -1.198  0.323 -1.357  0.323 -1.519  0.210 -1.568  0.047 -1.568  -0.115 -1.568  -0.277 -1.568  -0.417 -1.545  -0.417 -1.383
3#app#app18#app1858/]  -0.581 1.205  -0.696 1.205  -0.735 1.283  -0.735 1.320  -0.734 1.205  -0.618 1.205  -0.503 1.205  -0.427 1.165  -0.425 1.052  -0.310 1.052  -0.194 1.052  -0.078 1.052  0.036 1.050  0.118 0.968  0.188 0.881  0.188 0.766  0.188 0.650  0.244 0.590  0.342 0.573  0.342 0.457  0.342 0.342  0.382 0.243  0.464 0.161  0.495 0.059  0.495 -0.057  0.495 -0.173  0.495 -0.288  0.495 -0.404  0.495 -0.519  0.495 -0.635  0.385 -0.640  0.342 -0.712  0.376 -0.794  0.492 -0.794  0.495 -0.905  0.422 -0.947  0.342 -0.983  0.342 -1.098  0.229 -1.101  0.114 -1.101  0.034 -1.065  0.034 -0.949  -0.079 -0.947  -0.195 -0.947  -0.311 -0.947  -0.426 -0.947  -0.542 -0.947  -0.657 -0.947  -0.773 -0.947  -0.888 -0.947
3#app#app18#app1858/.  1.431 -0.392  1.196 -0.392  0.961 -0.392  0.726 -0.392  0.490 -0.392  0.255 -0.392  0.020 -0.392  -0.216 -0.392  -0.451 -0.392  -0.490 -0.196  -0.490 0.039  -0.490 0.275  -0.490 0.510  -0.314 0.569  -0.078 0.569  0.157 0.569  0.392 0.569  0.627 0.569  0.863 0.569  1.098 0.569  1.333 0.569  1.431 0.431  1.431 0.196  1.431 -0.039  1.431 -0.275  1.314 -0.392  1.078 -0.392  0.843 -0.392  0.608 -0.392  0.373 -0.392  0.137 -0.392  -0.098 -0.392  -0.333 -0.392  -0.569 -0.392  -0.804 -0.392  -1.039 -0.392  -1.275 -0.392  -1.451 -0.333  -1.451 -0.098  -1.451 0.137  -1.451 0.373  -1.412 0.569  -1.176 0.569  -0.941 0.569  -0.706 0.569  -0.490 0.549  -0.490 0.314  -0.490 0.078  -0.490 -0.157  -0.490 -0.392
