2#apb#apb16#app1601/S  0.535 0.732  0.573 0.842  0.621 0.947  0.714 1.017  0.791 1.096  0.878 1.152  0.805 1.221  0.689 1.216  0.574 1.201  0.467 1.155  0.360 1.109  0.267 1.039  0.174 0.968  0.082 0.897  -0.016 0.834  -0.114 0.770  -0.211 0.707  -0.310 0.644  -0.408 0.583  -0.507 0.521  -0.575 0.426  -0.643 0.332  -0.708 0.236  -0.699 0.126  -0.643 0.025  -0.559 -0.054  -0.466 -0.124  -0.364 -0.179  -0.261 -0.234  -0.157 -0.286  -0.053 -0.338  0.043 -0.403  0.138 -0.471  0.230 -0.543  0.317 -0.620  0.387 -0.712  0.425 -0.821  0.411 -0.930  0.344 -1.022  0.256 -1.098  0.158 -1.161  0.057 -1.216  -0.057 -1.241  -0.171 -1.260  -0.287 -1.252  -0.403 -1.243  -0.517 -1.217  -0.629 -1.186  -0.735 -1.139  -0.804 -1.049
2#apb#apb16#app1601/M  -1.132 -1.223  -1.246 -1.158  -1.283 -1.105  -1.317 -0.932  -1.252 -0.750  -1.159 -0.580  -1.069 -0.409  -0.985 -0.234  -0.899 -0.061  -0.803 0.107  -0.706 0.275  -0.602 0.438  -0.488 0.595  -0.375 0.752  -0.273 0.916  -0.199 0.957  -0.180 0.768  -0.192 0.575  -0.201 0.381  -0.222 0.189  -0.256 -0.002  -0.281 -0.193  -0.302 -0.386  -0.327 -0.578  -0.320 -0.770  -0.223 -0.802  -0.104 -0.649  0.011 -0.494  0.126 -0.338  0.228 -0.174  0.322 -0.004  0.416 0.165  0.517 0.330  0.617 0.496  0.718 0.662  0.826 0.822  0.937 0.981  1.054 1.135  1.108 1.061  1.070 0.871  1.019 0.685  0.966 0.498  0.923 0.309  0.880 0.121  0.838 -0.068  0.794 -0.257  0.747 -0.445  0.728 -0.637  0.744 -0.829  0.804 -1.011
2#apb#apb16#app1601/a  0.825 0.471  0.715 0.625  0.626 0.792  0.594 0.978  0.467 1.115  0.282 1.146  0.098 1.129  -0.062 1.027  -0.216 0.917  -0.361 0.795  -0.504 0.672  -0.628 0.529  -0.752 0.386  -0.864 0.234  -0.953 0.067  -1.041 -0.101  -1.115 -0.274  -1.167 -0.456  -1.199 -0.641  -1.199 -0.830  -1.136 -1.005  -1.013 -1.141  -0.854 -1.242  -0.665 -1.242  -0.504 -1.161  -0.357 -1.042  -0.228 -0.904  -0.104 -0.761  0.016 -0.615  0.125 -0.460  0.235 -0.305  0.334 -0.145  0.414 0.027  0.493 0.199  0.556 0.378  0.619 0.556  0.664 0.739  0.705 0.922  0.701 0.897  0.645 0.717  0.602 0.533  0.571 0.346  0.546 0.158  0.523 -0.030  0.514 -0.219  0.514 -0.408  0.525 -0.597  0.554 -0.783  0.657 -0.935  0.800 -1.060
2#apb#apb16#app1601/n  -0.818 0.892  -0.864 0.941  -0.818 0.782  -0.818 0.615  -0.818 0.449  -0.791 0.285  -0.759 0.121  -0.759 -0.046  -0.759 -0.212  -0.759 -0.379  -0.759 -0.546  -0.755 -0.712  -0.739 -0.878  -0.719 -1.044  -0.701 -1.209  -0.640 -1.158  -0.556 -1.015  -0.472 -0.871  -0.393 -0.725  -0.331 -0.570  -0.269 -0.415  -0.207 -0.260  -0.144 -0.106  -0.081 0.049  -0.018 0.203  0.045 0.357  0.111 0.510  0.188 0.658  0.266 0.805  0.343 0.953  0.421 1.100  0.523 1.232  0.625 1.364  0.684 1.257  0.684 1.090  0.684 0.923  0.684 0.757  0.684 0.590  0.684 0.423  0.684 0.257  0.684 0.090  0.684 -0.077  0.684 -0.244  0.684 -0.410  0.684 -0.577  0.684 -0.744  0.722 -0.902  0.790 -1.054  0.869 -1.201  0.950 -1.347
2#apb#apb16#app1601/a  0.556 1.096  0.496 1.276  0.324 1.335  0.143 1.326  -0.033 1.255  -0.175 1.138  -0.296 0.991  -0.417 0.845  -0.544 0.704  -0.671 0.562  -0.752 0.392  -0.823 0.216  -0.893 0.039  -0.957 -0.139  -1.021 -0.318  -1.066 -0.502  -1.087 -0.691  -1.066 -0.879  -0.949 -1.006  -0.777 -1.076  -0.587 -1.076  -0.401 -1.046  -0.216 -1.003  -0.038 -0.941  0.127 -0.846  0.244 -0.697  0.360 -0.547  0.445 -0.377  0.504 -0.199  0.533 -0.011  0.567 0.176  0.624 0.357  0.680 0.538  0.721 0.722  0.721 0.912  0.663 1.085  0.592 0.932  0.524 0.755  0.464 0.574  0.411 0.392  0.359 0.209  0.324 0.022  0.289 -0.164  0.257 -0.352  0.242 -0.541  0.229 -0.730  0.248 -0.919  0.283 -1.104  0.350 -1.282  0.490 -1.405
2#apb#apb16#app1601/g  0.100 1.230  -0.023 1.187  -0.133 1.117  -0.231 1.031  -0.309 0.925  -0.381 0.816  -0.440 0.698  -0.498 0.581  -0.553 0.462  -0.588 0.338  -0.554 0.215  -0.471 0.118  -0.348 0.102  -0.222 0.135  -0.110 0.202  -0.012 0.289  0.054 0.398  0.098 0.522  0.119 0.652  0.129 0.782  0.129 0.914  0.112 1.044  0.075 1.168  0.033 1.113  0.008 0.984  0.002 0.853  0.002 0.722  0.007 0.590  0.013 0.459  0.027 0.328  0.045 0.198  0.066 0.069  0.093 -0.060  0.120 -0.188  0.144 -0.318  0.166 -0.447  0.188 -0.576  0.214 -0.705  0.242 -0.833  0.271 -0.962  0.288 -1.092  0.298 -1.223  0.307 -1.354  0.315 -1.485  0.321 -1.616  0.311 -1.745  0.267 -1.868  0.211 -1.986  0.095 -1.939  0.002 -1.846
2#apb#apb16#app1601/e  -0.306 0.267  -0.287 0.115  -0.268 -0.036  -0.228 -0.180  -0.156 -0.314  -0.062 -0.431  0.054 -0.530  0.203 -0.509  0.355 -0.509  0.482 -0.430  0.604 -0.339  0.725 -0.245  0.822 -0.131  0.889 0.002  0.912 0.153  0.927 0.304  0.916 0.455  0.905 0.607  0.868 0.755  0.830 0.902  0.766 1.040  0.702 1.179  0.598 1.286  0.463 1.324  0.313 1.302  0.184 1.222  0.054 1.142  -0.051 1.035  -0.142 0.913  -0.233 0.792  -0.324 0.669  -0.414 0.547  -0.504 0.424  -0.579 0.292  -0.639 0.152  -0.699 0.013  -0.759 -0.127  -0.797 -0.275  -0.832 -0.423  -0.861 -0.571  -0.840 -0.722  -0.818 -0.873  -0.762 -1.013  -0.699 -1.152  -0.577 -1.241  -0.446 -1.315  -0.298 -1.349  -0.149 -1.382  0.002 -1.393  0.154 -1.405
2#apb#apb16#app1601/r  -0.361 1.068  -0.428 1.156  -0.523 1.040  -0.529 0.888  -0.529 0.733  -0.465 0.592  -0.401 0.451  -0.350 0.306  -0.320 0.154  -0.289 0.002  -0.259 -0.150  -0.228 -0.302  -0.198 -0.454  -0.168 -0.605  -0.119 -0.752  -0.063 -0.896  -0.007 -1.041  0.040 -1.188  0.085 -1.337  0.148 -1.476  0.234 -1.605  0.310 -1.690  0.310 -1.592  0.282 -1.440  0.245 -1.290  0.207 -1.140  0.161 -0.992  0.116 -0.844  0.072 -0.695  0.044 -0.543  0.017 -0.391  -0.011 -0.238  -0.039 -0.086  -0.067 0.066  -0.097 0.218  -0.128 0.370  -0.158 0.522  -0.189 0.674  -0.206 0.828  -0.222 0.982  -0.195 1.131  -0.115 1.235  0.037 1.214  0.188 1.180  0.336 1.134  0.482 1.082  0.627 1.027  0.767 0.963  0.908 0.898  1.048 0.833
2#apb#apb16#app1601/C  0.769 0.021  0.802 0.131  0.850 0.233  0.921 0.323  0.964 0.422  0.964 0.537  0.964 0.652  0.928 0.759  0.867 0.850  0.762 0.896  0.653 0.931  0.542 0.961  0.428 0.971  0.313 0.980  0.207 0.938  0.101 0.894  -0.011 0.867  -0.122 0.841  -0.220 0.783  -0.316 0.719  -0.411 0.655  -0.503 0.587  -0.592 0.514  -0.680 0.441  -0.767 0.366  -0.836 0.274  -0.904 0.182  -0.939 0.074  -0.965 -0.038  -0.966 -0.151  -0.959 -0.266  -0.931 -0.374  -0.873 -0.473  -0.810 -0.569  -0.732 -0.653  -0.654 -0.738  -0.562 -0.802  -0.457 -0.848  -0.352 -0.894  -0.247 -0.939  -0.136 -0.965  -0.022 -0.980  0.092 -0.995  0.206 -1.009  0.319 -1.024  0.434 -1.024  0.549 -1.020  0.664 -1.017  0.778 -1.013  0.893 -1.009
2#apb#apb16#app1601/E  -0.296 0.935  -0.418 0.744  -0.478 0.488  -0.532 0.230  -0.568 -0.030  -0.604 -0.291  -0.640 -0.551  -0.625 -0.813  -0.624 -0.730  -0.630 -0.467  -0.649 -0.205  -0.672 0.058  -0.704 0.319  -0.751 0.577  -0.814 0.833  -0.869 1.089  -0.683 1.104  -0.440 1.003  -0.183 0.953  0.079 0.935  0.342 0.935  0.603 0.903  0.863 0.863  1.122 0.816  1.382 0.773  1.602 0.647  1.436 0.539  1.187 0.453  0.938 0.368  0.689 0.282  0.440 0.196  0.192 0.111  -0.057 0.025  -0.306 -0.061  -0.233 -0.197  0.027 -0.238  0.288 -0.269  0.545 -0.318  0.624 -0.432  0.390 -0.553  0.156 -0.674  -0.078 -0.795  -0.312 -0.916  -0.545 -1.037  -0.671 -1.156  -0.429 -1.250  -0.167 -1.271  0.095 -1.293  0.358 -1.312  0.621 -1.324
2#apb#apb16#app1601/O  0.254 0.607  0.120 0.607  -0.014 0.600  -0.145 0.570  -0.276 0.542  -0.408 0.519  -0.539 0.490  -0.652 0.419  -0.766 0.347  -0.859 0.251  -0.949 0.151  -1.021 0.038  -1.090 -0.077  -1.122 -0.207  -1.147 -0.338  -1.139 -0.472  -1.120 -0.603  -1.060 -0.723  -0.960 -0.802  -0.838 -0.858  -0.708 -0.881  -0.574 -0.891  -0.440 -0.902  -0.307 -0.891  -0.174 -0.871  -0.041 -0.851  0.090 -0.822  0.218 -0.784  0.347 -0.745  0.471 -0.698  0.584 -0.625  0.697 -0.552  0.800 -0.467  0.895 -0.372  0.990 -0.278  1.037 -0.154  1.078 -0.026  1.078 0.104  1.047 0.235  1.014 0.365  0.952 0.484  0.890 0.603  0.828 0.722  0.740 0.822  0.645 0.917  0.550 1.012  0.439 1.085  0.323 1.154  0.197 1.140  0.067 1.106
