2#apb#apb07#app0724/A  0.128 1.256  0.027 1.209  0.023 0.950  0.047 0.691  0.120 0.441  0.191 0.191  0.258 -0.061  0.322 -0.313  0.383 -0.566  0.436 -0.821  0.446 -1.043  0.436 -0.784  0.460 -0.525  0.499 -0.267  0.541 -0.011  0.536 0.249  0.522 0.509  0.472 0.762  0.390 1.009  0.275 1.241  0.140 1.464  -0.024 1.663  -0.188 1.493  -0.285 1.253  -0.360 1.004  -0.448 0.759  -0.541 0.516  -0.640 0.275  -0.740 0.035  -0.843 -0.204  -0.962 -0.435  -1.090 -0.662  -1.179 -0.907  -1.205 -1.160  -1.065 -1.358  -0.848 -1.329  -0.623 -1.198  -0.398 -1.068  -0.173 -0.937  0.053 -0.806  0.278 -0.676  0.503 -0.545  0.728 -0.415  0.954 -0.284  1.052 -0.172  0.797 -0.118  0.539 -0.090  0.279 -0.071  0.019 -0.071  -0.241 -0.071
2#apb#apb07#app0724/L  -0.154 1.556  -0.100 1.620  -0.080 1.676  -0.103 1.615  -0.129 1.530  -0.142 1.443  -0.148 1.354  -0.153 1.265  -0.139 1.178  -0.123 1.090  -0.110 1.003  -0.110 0.914  -0.110 0.825  -0.110 0.736  -0.114 0.647  -0.122 0.559  -0.130 0.470  -0.139 0.382  -0.155 0.294  -0.171 0.207  -0.186 0.120  -0.206 0.033  -0.236 -0.051  -0.266 -0.134  -0.296 -0.218  -0.327 -0.301  -0.358 -0.384  -0.387 -0.469  -0.413 -0.553  -0.435 -0.639  -0.444 -0.728  -0.431 -0.814  -0.375 -0.874  -0.291 -0.900  -0.203 -0.907  -0.115 -0.904  -0.027 -0.889  0.060 -0.873  0.149 -0.864  0.237 -0.860  0.326 -0.856  0.415 -0.854  0.504 -0.858  0.592 -0.863  0.681 -0.870  0.766 -0.894  0.852 -0.918  0.936 -0.946  0.996 -1.006  1.021 -1.087
2#apb#apb07#app0724/M  -0.754 1.097  -0.681 1.021  -0.690 0.752  -0.699 0.481  -0.696 0.211  -0.688 -0.060  -0.680 -0.330  -0.671 -0.601  -0.643 -0.870  -0.647 -1.139  -0.690 -1.397  -0.701 -1.140  -0.712 -0.870  -0.687 -0.600  -0.652 -0.332  -0.605 -0.066  -0.563 0.202  -0.533 0.471  -0.513 0.741  -0.496 1.011  -0.448 1.172  -0.273 0.976  -0.162 0.729  -0.093 0.467  -0.023 0.206  0.041 -0.057  0.094 -0.322  0.130 -0.591  0.130 -0.862  0.231 -0.824  0.351 -0.583  0.444 -0.330  0.487 -0.062  0.519 0.206  0.546 0.476  0.562 0.746  0.569 1.017  0.548 1.286  0.496 1.267  0.599 1.016  0.643 0.749  0.678 0.481  0.701 0.211  0.747 -0.055  0.810 -0.319  0.869 -0.583  0.924 -0.848  0.966 -1.115  0.986 -1.385  0.931 -1.650
2#apb#apb07#app0724/N  -0.534 1.399  -0.545 1.178  -0.558 0.891  -0.551 0.604  -0.533 0.317  -0.525 0.030  -0.515 -0.257  -0.501 -0.544  -0.490 -0.831  -0.490 -1.119  -0.503 -1.406  -0.529 -1.576  -0.537 -1.290  -0.554 -1.004  -0.564 -0.717  -0.573 -0.429  -0.582 -0.142  -0.592 0.145  -0.601 0.432  -0.610 0.719  -0.620 1.007  -0.424 0.895  -0.299 0.650  -0.213 0.375  -0.125 0.102  -0.012 -0.162  0.103 -0.426  0.228 -0.684  0.352 -0.943  0.473 -1.204  0.512 -1.408  0.516 -1.120  0.520 -0.833  0.524 -0.546  0.528 -0.258  0.532 0.029  0.536 0.316  0.540 0.604  0.544 0.891  0.548 1.178  0.552 1.465  0.631 1.539  0.682 1.268  0.651 0.982  0.622 0.696  0.592 0.410  0.578 0.123  0.570 -0.164  0.602 -0.449  0.642 -0.733
2#apb#apb07#app0724/O  -0.206 -1.028  -0.143 -1.014  -0.046 -1.014  0.093 -0.988  0.228 -0.939  0.362 -0.887  0.493 -0.829  0.612 -0.752  0.671 -0.623  0.682 -0.482  0.671 -0.338  0.662 -0.195  0.654 -0.051  0.647 0.092  0.632 0.235  0.612 0.377  0.589 0.519  0.562 0.660  0.530 0.800  0.489 0.938  0.441 1.072  0.367 1.195  0.270 1.296  0.147 1.370  0.010 1.381  -0.133 1.366  -0.257 1.300  -0.377 1.220  -0.483 1.128  -0.550 1.001  -0.617 0.874  -0.684 0.747  -0.727 0.614  -0.734 0.470  -0.740 0.327  -0.747 0.183  -0.753 0.040  -0.714 -0.099  -0.674 -0.237  -0.634 -0.375  -0.593 -0.512  -0.497 -0.619  -0.401 -0.726  -0.305 -0.833  -0.207 -0.937  -0.089 -1.020  0.028 -1.102  0.146 -1.185  0.284 -1.208  0.428 -1.216
2#apb#apb07#app0724/P  -0.288 1.108  -0.321 0.996  -0.367 0.820  -0.359 0.639  -0.344 0.458  -0.301 0.282  -0.259 0.105  -0.210 -0.070  -0.158 -0.244  -0.105 -0.418  -0.047 -0.590  0.014 -0.761  0.076 -0.932  0.134 -1.104  0.176 -1.280  0.219 -1.457  0.219 -1.635  0.130 -1.770  -0.022 -1.693  -0.142 -1.561  -0.241 -1.409  -0.303 -1.242  -0.332 -1.063  -0.361 -0.884  -0.356 -0.703  -0.343 -0.522  -0.329 -0.341  -0.313 -0.160  -0.296 0.021  -0.279 0.202  -0.262 0.383  -0.244 0.564  -0.227 0.745  -0.210 0.925  -0.192 1.106  -0.166 1.284  -0.072 1.440  0.075 1.408  0.232 1.317  0.384 1.216  0.514 1.095  0.615 0.944  0.706 0.787  0.793 0.627  0.869 0.462  0.786 0.302  0.637 0.205  0.472 0.138  0.290 0.131  0.109 0.124
2#apb#apb07#app0724/Q  -0.355 -0.879  -0.185 -1.009  0.014 -1.066  0.228 -1.027  0.416 -0.918  0.567 -0.764  0.649 -0.567  0.693 -0.354  0.677 -0.137  0.654 0.080  0.610 0.294  0.566 0.507  0.543 0.724  0.522 0.941  0.477 1.152  0.382 1.348  0.262 1.525  0.080 1.630  -0.132 1.623  -0.334 1.541  -0.495 1.399  -0.642 1.238  -0.734 1.045  -0.803 0.838  -0.851 0.627  -0.871 0.409  -0.879 0.193  -0.835 -0.021  -0.791 -0.235  -0.701 -0.432  -0.603 -0.627  -0.480 -0.807  -0.352 -0.983  -0.257 -0.990  -0.232 -0.773  -0.215 -0.556  -0.178 -0.341  -0.133 -0.128  -0.102 0.088  -0.073 0.304  0.028 0.409  0.147 0.230  0.244 0.037  0.290 -0.176  0.342 -0.388  0.407 -0.596  0.475 -0.803  0.561 -1.004  0.648 -1.204  0.751 -1.396
2#apb#apb07#app0724/R  -0.316 1.133  -0.279 0.889  -0.279 0.643  -0.261 0.396  -0.242 0.150  -0.206 -0.094  -0.169 -0.338  -0.122 -0.580  -0.073 -0.822  -0.050 -1.067  -0.039 -1.314  -0.039 -1.561  -0.175 -1.560  -0.302 -1.353  -0.358 -1.117  -0.369 -0.870  -0.343 -0.626  -0.306 -0.382  -0.270 -0.137  -0.234 0.107  -0.201 0.351  -0.182 0.598  -0.162 0.844  -0.130 1.088  -0.076 1.329  0.010 1.559  0.163 1.724  0.389 1.665  0.575 1.505  0.706 1.297  0.793 1.071  0.829 0.827  0.802 0.582  0.683 0.377  0.510 0.204  0.292 0.089  0.057 0.036  -0.190 0.025  -0.434 0.058  -0.675 0.107  -0.694 0.097  -0.487 -0.037  -0.289 -0.184  -0.106 -0.347  0.051 -0.538  0.203 -0.732  0.326 -0.946  0.449 -1.159  0.557 -1.381  0.664 -1.604
2#apb#apb07#app0724/S  0.736 0.660  0.830 0.721  0.895 0.818  0.891 0.932  0.813 1.009  0.705 1.054  0.591 1.084  0.478 1.115  0.365 1.148  0.252 1.180  0.138 1.166  0.024 1.136  -0.090 1.107  -0.198 1.061  -0.303 1.008  -0.408 0.956  -0.476 0.863  -0.536 0.761  -0.596 0.660  -0.629 0.550  -0.641 0.433  -0.653 0.316  -0.622 0.202  -0.590 0.089  -0.550 -0.020  -0.476 -0.112  -0.402 -0.203  -0.315 -0.281  -0.217 -0.346  -0.117 -0.408  -0.010 -0.457  0.096 -0.507  0.203 -0.556  0.306 -0.613  0.406 -0.676  0.483 -0.764  0.540 -0.862  0.540 -0.979  0.492 -1.081  0.403 -1.143  0.286 -1.154  0.169 -1.166  0.051 -1.159  -0.066 -1.148  -0.183 -1.137  -0.300 -1.126  -0.413 -1.094  -0.523 -1.053  -0.633 -1.013  -0.744 -0.972
2#apb#apb07#app0724/T  1.208 0.586  1.224 0.649  1.099 0.675  0.970 0.688  0.842 0.710  0.712 0.710  0.583 0.691  0.454 0.669  0.325 0.648  0.198 0.621  0.071 0.592  -0.057 0.564  -0.186 0.546  -0.315 0.527  -0.445 0.516  -0.575 0.516  -0.706 0.516  -0.836 0.509  -0.967 0.501  -1.091 0.529  -1.078 0.532  -0.951 0.500  -0.823 0.475  -0.694 0.461  -0.564 0.447  -0.434 0.433  -0.304 0.419  -0.199 0.451  -0.099 0.516  -0.055 0.505  0.006 0.390  0.045 0.267  0.045 0.136  0.045 0.006  0.045 -0.125  0.045 -0.255  0.045 -0.386  0.060 -0.515  0.077 -0.645  0.094 -0.774  0.112 -0.903  0.134 -1.032  0.158 -1.160  0.182 -1.288  0.207 -1.417  0.231 -1.545  0.255 -1.673  0.279 -1.801  0.303 -1.930  0.327 -2.058
2#apb#apb07#app0724/U  -0.740 1.215  -0.749 1.160  -0.768 0.985  -0.749 0.806  -0.740 0.626  -0.740 0.445  -0.734 0.265  -0.712 0.086  -0.689 -0.093  -0.668 -0.273  -0.646 -0.452  -0.619 -0.630  -0.558 -0.800  -0.510 -0.974  -0.384 -1.003  -0.258 -0.878  -0.139 -0.742  -0.021 -0.605  0.085 -0.459  0.183 -0.308  0.270 -0.150  0.345 0.014  0.420 0.179  0.471 0.352  0.521 0.525  0.571 0.698  0.607 0.875  0.632 1.054  0.658 1.233  0.666 1.412  0.575 1.425  0.497 1.262  0.419 1.099  0.361 0.929  0.318 0.754  0.275 0.579  0.232 0.403  0.189 0.228  0.166 0.049  0.149 -0.131  0.132 -0.310  0.116 -0.490  0.109 -0.670  0.129 -0.849  0.149 -1.029  0.168 -1.208  0.197 -1.386  0.235 -1.563  0.272 -1.739  0.310 -1.916
2#apb#apb07#app0724/V  -0.803 1.346  -0.749 1.357  -0.706 1.244  -0.719 1.120  -0.735 0.997  -0.754 0.875  -0.755 0.752  -0.736 0.630  -0.713 0.508  -0.683 0.388  -0.653 0.267  -0.622 0.147  -0.566 0.036  -0.511 -0.074  -0.455 -0.185  -0.400 -0.296  -0.348 -0.409  -0.296 -0.522  -0.244 -0.634  -0.192 -0.747  -0.139 -0.859  -0.083 -0.970  -0.028 -1.080  0.028 -1.191  0.065 -1.310  0.109 -1.424  0.145 -1.377  0.166 -1.255  0.199 -1.136  0.239 -1.018  0.278 -0.901  0.317 -0.783  0.355 -0.665  0.391 -0.547  0.428 -0.428  0.465 -0.310  0.502 -0.191  0.528 -0.070  0.551 0.052  0.574 0.174  0.597 0.295  0.620 0.417  0.643 0.539  0.653 0.663  0.659 0.786  0.665 0.910  0.671 1.034  0.677 1.158  0.683 1.282  0.689 1.406
2#apb#apb07#app0724/W  -1.341 0.803  -1.410 0.639  -1.424 0.460  -1.425 0.281  -1.399 0.104  -1.350 -0.068  -1.278 -0.232  -1.186 -0.386  -1.088 -0.536  -0.986 -0.684  -0.898 -0.765  -0.767 -0.712  -0.682 -0.852  -0.672 -0.685  -0.576 -0.534  -0.473 -0.387  -0.366 -0.243  -0.265 -0.095  -0.180 0.063  -0.096 0.221  -0.025 0.386  -0.028 0.243  -0.108 0.083  -0.195 -0.073  -0.148 -0.210  0.023 -0.255  0.163 -0.363  0.259 -0.512  0.354 -0.656  0.358 -0.832  0.420 -0.679  0.486 -0.512  0.551 -0.345  0.617 -0.178  0.683 -0.012  0.748 0.155  0.814 0.322  0.879 0.489  0.945 0.656  1.011 0.823  1.076 0.990  1.100 1.138  1.003 0.991  1.000 0.814  1.011 0.635  1.015 0.456  1.008 0.277  0.989 0.099  0.947 -0.075  0.905 -0.250
2#apb#apb07#app0724/X  -1.095 1.230  -1.165 1.364  -1.109 1.178  -1.023 1.000  -0.924 0.829  -0.825 0.658  -0.726 0.486  -0.627 0.315  -0.528 0.144  -0.425 -0.025  -0.295 -0.174  -0.166 -0.324  -0.036 -0.473  0.087 -0.627  0.205 -0.787  0.322 -0.946  0.380 -1.131  0.419 -1.325  0.386 -1.490  0.207 -1.525  0.013 -1.486  -0.013 -1.341  0.035 -1.149  0.082 -0.956  0.129 -0.764  0.176 -0.572  0.224 -0.380  0.271 -0.188  0.318 0.004  0.365 0.196  0.413 0.388  0.460 0.580  0.507 0.772  0.555 0.965  0.602 1.157  0.649 1.349  0.645 1.390  0.572 1.207  0.524 1.015  0.465 0.826  0.402 0.639  0.347 0.449  0.284 0.262  0.187 0.090  0.089 -0.082  -0.011 -0.252  -0.142 -0.401  -0.273 -0.549  -0.404 -0.697  -0.535 -0.845
2#apb#apb07#app0724/Y  1.088 1.587  1.063 1.445  0.983 1.302  0.894 1.162  0.833 1.008  0.774 0.853  0.714 0.699  0.626 0.559  0.536 0.419  0.447 0.280  0.358 0.140  0.269 0.000  0.180 -0.140  0.092 -0.280  0.003 -0.420  -0.085 -0.560  -0.174 -0.700  -0.261 -0.841  -0.338 -0.988  -0.414 -1.135  -0.483 -1.285  -0.529 -1.444  -0.578 -1.603  -0.603 -1.652  -0.573 -1.489  -0.543 -1.326  -0.514 -1.163  -0.484 -1.000  -0.454 -0.837  -0.424 -0.674  -0.394 -0.511  -0.364 -0.348  -0.335 -0.185  -0.305 -0.022  -0.275 0.141  -0.245 0.304  -0.215 0.467  -0.186 0.630  -0.156 0.793  -0.126 0.956  -0.096 1.119  -0.056 1.179  -0.003 1.023  0.007 0.858  0.018 0.693  0.032 0.527  0.046 0.362  0.064 0.198  0.083 0.033  0.103 -0.132
2#apb#apb07#app0724/Z  -1.154 0.930  -1.198 1.043  -1.054 1.104  -0.894 1.104  -0.734 1.101  -0.574 1.096  -0.414 1.090  -0.255 1.080  -0.095 1.066  0.064 1.062  0.222 1.084  0.258 1.083  0.155 0.962  0.072 0.825  -0.012 0.689  -0.098 0.554  -0.184 0.419  -0.279 0.291  -0.378 0.165  -0.476 0.039  -0.570 -0.091  -0.663 -0.221  -0.741 -0.358  -0.782 -0.513  -0.741 -0.660  -0.648 -0.781  -0.507 -0.858  -0.367 -0.935  -0.209 -0.952  -0.050 -0.961  0.110 -0.971  0.270 -0.969  0.430 -0.960  0.589 -0.952  0.749 -0.943  0.902 -0.896  1.055 -0.849  1.193 -0.779  1.240 -0.661  1.125 -0.549  1.011 -0.437  0.896 -0.326  0.782 -0.214  0.668 -0.102  0.553 0.010  0.453 -0.081  0.304 -0.137  0.149 -0.175  -0.007 -0.213  -0.162 -0.250
