2#apa#apa14#app1420/k  -0.384 1.815  -0.475 1.997  -0.431 1.992  -0.384 1.808  -0.384 1.605  -0.384 1.401  -0.384 1.198  -0.384 0.994  -0.384 0.791  -0.384 0.587  -0.384 0.384  -0.369 0.182  -0.329 -0.018  -0.289 -0.217  -0.248 -0.416  -0.199 -0.614  -0.149 -0.811  -0.125 -1.012  -0.125 -1.215  -0.040 -1.384  0.039 -1.295  0.088 -1.098  0.138 -0.900  0.187 -0.703  0.236 -0.505  0.286 -0.308  0.335 -0.111  0.384 0.087  0.434 0.284  0.483 0.482  0.501 0.670  0.357 0.814  0.232 0.841  0.141 0.659  0.050 0.477  -0.027 0.290  -0.092 0.097  -0.125 -0.101  -0.221 -0.276  -0.333 -0.445  -0.384 -0.633  -0.328 -0.521  -0.131 -0.562  0.062 -0.627  0.255 -0.691  0.448 -0.755  0.611 -0.868  0.782 -0.974  0.914 -1.096  0.914 -1.300
2#apa#apa14#app1420/e  -1.166 0.402  -0.992 0.402  -0.846 0.334  -0.724 0.211  -0.574 0.151  -0.400 0.151  -0.227 0.151  -0.053 0.151  0.121 0.151  0.295 0.151  0.469 0.151  0.627 0.189  0.750 0.311  0.886 0.402  1.060 0.402  1.092 0.544  1.046 0.699  0.923 0.822  0.783 0.904  0.609 0.904  0.435 0.904  0.261 0.904  0.088 0.904  -0.086 0.904  -0.260 0.904  -0.428 0.889  -0.551 0.766  -0.664 0.640  -0.664 0.466  -0.713 0.303  -0.791 0.148  -0.869 -0.007  -0.915 -0.170  -0.915 -0.344  -0.915 -0.518  -0.851 -0.665  -0.728 -0.788  -0.589 -0.889  -0.434 -0.967  -0.278 -1.045  -0.118 -1.103  0.056 -1.103  0.230 -1.103  0.404 -1.103  0.577 -1.103  0.704 -0.989  0.827 -0.866  0.995 -0.852  1.169 -0.852  1.343 -0.852
2#apa#apa14#app1420/w  -1.404 0.414  -1.261 0.414  -1.208 0.323  -1.208 0.180  -1.208 0.037  -1.208 -0.107  -1.184 -0.246  -1.139 -0.382  -1.093 -0.518  -1.048 -0.654  -0.981 -0.760  -0.838 -0.760  -0.708 -0.705  -0.579 -0.641  -0.451 -0.577  -0.426 -0.450  -0.406 -0.310  -0.361 -0.174  -0.315 -0.038  -0.270 0.098  -0.230 0.235  -0.230 0.378  -0.154 0.490  -0.053 0.592  -0.034 0.493  -0.034 0.349  -0.034 0.206  -0.034 0.063  0.012 -0.070  0.076 -0.198  0.140 -0.326  0.162 -0.464  0.205 -0.564  0.348 -0.564  0.491 -0.564  0.590 -0.491  0.654 -0.363  0.718 -0.235  0.801 -0.120  0.902 -0.019  0.991 0.093  1.070 0.212  1.150 0.331  1.229 0.451  1.309 0.570  1.403 0.677  1.504 0.778  1.532 0.911  1.479 1.001  1.336 1.001
2#apa#apa14#app1420/i  0.264 0.156  0.264 0.046  0.264 -0.065  0.264 -0.175  0.264 -0.286  0.264 -0.396  0.264 -0.507  0.264 -0.617  0.264 -0.727  0.264 -0.838  0.264 -0.948  0.264 -1.059  0.264 -1.169  0.264 -1.280  0.287 -1.367  0.398 -1.367  0.473 -1.343  0.436 -1.239  0.399 -1.135  0.362 -1.031  0.325 -0.927  0.288 -0.823  0.250 -0.719  0.213 -0.615  0.176 -0.511  0.139 -0.407  0.102 -0.303  0.065 -0.199  0.027 -0.095  -0.010 0.009  -0.047 0.113  -0.084 0.217  -0.121 0.321  -0.158 0.425  -0.195 0.529  -0.233 0.633  -0.270 0.737  -0.307 0.841  -0.344 0.945  -0.381 1.049  -0.418 1.153  -0.455 1.257  -0.493 1.361  -0.530 1.465  -0.567 1.569  -0.604 1.674  -0.606 1.576  -0.606 1.465  -0.606 1.355  -0.606 1.244
2#apa#apa14#app1420/t  0.121 1.420  0.121 1.572  0.054 1.697  -0.054 1.805  -0.090 1.740  -0.047 1.631  0.106 1.631  0.121 1.493  0.121 1.341  0.121 1.188  0.121 1.035  0.121 0.883  0.121 0.730  0.121 0.577  0.121 0.425  0.079 0.282  0.011 0.146  -0.057 0.009  -0.090 -0.136  -0.090 -0.289  -0.090 -0.441  -0.090 -0.594  -0.090 -0.746  -0.090 -0.899  -0.090 -1.052  -0.090 -1.204  -0.055 -1.322  0.097 -1.322  0.250 -1.322  0.403 -1.322  0.543 -1.309  0.543 -1.157  0.460 -1.043  0.343 -0.945  0.226 -0.847  0.109 -0.749  -0.009 -0.652  -0.126 -0.554  -0.243 -0.456  -0.360 -0.359  -0.478 -0.261  -0.595 -0.163  -0.712 -0.065  -0.584 -0.057  -0.431 -0.057  -0.279 -0.057  -0.126 -0.057  0.026 -0.057  0.179 -0.057  0.332 -0.057
2#apa#apa14#app1420/h  -0.802 1.798  -0.663 1.798  -0.580 1.743  -0.580 1.605  -0.580 1.467  -0.580 1.328  -0.580 1.190  -0.544 1.060  -0.482 0.936  -0.420 0.812  -0.358 0.688  -0.357 0.550  -0.357 0.411  -0.357 0.273  -0.357 0.134  -0.357 -0.004  -0.357 -0.143  -0.357 -0.281  -0.357 -0.420  -0.357 -0.558  -0.357 -0.697  -0.357 -0.835  -0.357 -0.973  -0.357 -1.069  -0.357 -0.930  -0.357 -0.792  -0.357 -0.653  -0.226 -0.646  -0.114 -0.604  -0.052 -0.480  0.010 -0.356  0.072 -0.232  0.087 -0.097  0.102 0.035  0.199 0.133  0.297 0.231  0.431 0.243  0.548 0.209  0.610 0.085  0.672 -0.039  0.734 -0.163  0.753 -0.297  0.762 -0.432  0.860 -0.530  0.957 -0.628  0.976 -0.759  0.976 -0.897  0.976 -1.036  1.059 -1.090  1.198 -1.090
2#apa#apa14#app1420/f  0.374 1.275  0.374 1.400  0.374 1.525  0.374 1.650  0.310 1.712  0.197 1.681  0.109 1.592  0.020 1.504  -0.066 1.414  -0.122 1.302  -0.178 1.190  -0.208 1.072  -0.208 0.947  -0.208 0.822  -0.208 0.696  -0.208 0.571  -0.208 0.446  -0.208 0.321  -0.181 0.202  -0.125 0.090  -0.069 -0.022  -0.063 -0.145  -0.063 -0.271  -0.014 -0.375  0.075 -0.464  0.163 -0.552  0.243 -0.647  0.299 -0.759  0.355 -0.871  0.374 -0.992  0.437 -1.054  0.519 -1.097  0.504 -1.184  0.415 -1.095  0.314 -1.024  0.202 -0.968  0.090 -0.912  -0.022 -0.856  -0.134 -0.800  -0.246 -0.744  -0.358 -0.688  -0.470 -0.632  -0.564 -0.682  -0.635 -0.758  -0.523 -0.702  -0.411 -0.646  -0.293 -0.617  -0.168 -0.617  -0.042 -0.617  0.083 -0.617
2#apa#apa14#app1420/r  -1.337 0.815  -1.192 0.815  -1.048 0.815  -1.001 0.717  -1.001 0.573  -0.965 0.444  -0.863 0.342  -0.761 0.239  -0.658 0.137  -0.556 0.035  -0.454 -0.067  -0.352 -0.169  -0.331 -0.305  -0.331 -0.449  -0.270 -0.556  -0.141 -0.621  -0.011 -0.685  0.118 -0.750  0.247 -0.814  0.339 -0.902  0.339 -1.046  0.339 -1.191  0.200 -1.196  0.056 -1.196  -0.037 -1.113  -0.102 -0.984  -0.166 -0.855  -0.231 -0.725  -0.296 -0.596  -0.331 -0.460  -0.331 -0.316  -0.331 -0.171  -0.331 -0.027  -0.331 0.118  -0.226 0.197  -0.097 0.262  0.032 0.327  0.161 0.391  0.291 0.456  0.425 0.509  0.562 0.554  0.699 0.600  0.836 0.646  0.973 0.691  1.110 0.737  1.247 0.783  1.374 0.844  1.476 0.946  1.578 1.049  1.680 1.151
2#apa#apa14#app1420/a  0.574 1.155  0.407 1.155  0.240 1.155  0.073 1.155  -0.094 1.155  -0.261 1.155  -0.386 1.054  -0.504 0.936  -0.603 0.804  -0.678 0.654  -0.752 0.505  -0.827 0.356  -0.902 0.206  -0.977 0.057  -1.051 -0.093  -1.126 -0.242  -1.143 -0.405  -1.132 -0.562  -0.965 -0.562  -0.815 -0.603  -0.697 -0.721  -0.579 -0.839  -0.570 -0.693  -0.545 -0.537  -0.427 -0.419  -0.309 -0.300  -0.225 -0.158  -0.150 -0.008  -0.076 0.141  -0.001 0.291  0.162 0.297  0.288 0.338  0.288 0.505  0.288 0.494  0.288 0.327  0.288 0.160  0.288 -0.007  0.288 -0.174  0.347 -0.305  0.497 -0.380  0.646 -0.454  0.795 -0.529  0.861 -0.656  0.861 -0.823  1.003 -0.848  1.170 -0.848  1.337 -0.848  1.483 -0.798  1.601 -0.680  1.719 -0.562
2#apa#apa14#app1420/n  -1.351 0.732  -1.246 0.836  -1.142 0.941  -1.037 0.964  -0.932 0.860  -0.827 0.755  -0.804 0.616  -0.804 0.468  -0.804 0.320  -0.804 0.172  -0.804 0.023  -0.779 -0.114  -0.674 -0.219  -0.569 -0.324  -0.530 -0.456  -0.530 -0.604  -0.530 -0.753  -0.530 -0.901  -0.530 -0.771  -0.530 -0.623  -0.530 -0.475  -0.514 -0.330  -0.448 -0.198  -0.381 -0.065  -0.315 0.067  -0.244 0.197  -0.139 0.302  -0.035 0.406  0.092 0.458  0.240 0.458  0.360 0.527  0.465 0.632  0.564 0.724  0.564 0.576  0.595 0.458  0.743 0.458  0.838 0.405  0.838 0.257  0.838 0.108  0.838 -0.040  0.838 -0.188  0.838 -0.336  0.892 -0.472  0.959 -0.604  1.025 -0.737  1.091 -0.869  1.214 -0.910  1.362 -0.910  1.511 -0.910  1.659 -0.910
2#apa#apa14#app1420/t  -0.151 1.935  0.027 1.935  0.027 1.756  0.027 1.578  0.027 1.399  0.027 1.220  0.027 1.041  0.027 0.862  0.027 0.683  0.027 0.505  0.027 0.326  0.027 0.147  0.027 -0.032  0.027 -0.211  0.027 -0.390  0.027 -0.568  0.027 -0.747  0.027 -0.926  0.028 -1.105  0.154 -1.231  0.312 -1.283  0.490 -1.283  0.669 -1.283  0.817 -1.209  0.944 -1.082  1.070 -0.956  0.980 -0.861  0.823 -0.776  0.665 -0.692  0.508 -0.607  0.351 -0.522  0.193 -0.437  0.036 -0.352  -0.122 -0.268  -0.279 -0.183  -0.437 -0.098  -0.594 -0.013  -0.752 0.072  -0.909 0.156  -1.067 0.241  -1.224 0.326  -1.046 0.326  -0.867 0.326  -0.688 0.326  -0.509 0.326  -0.330 0.326  -0.151 0.326  0.027 0.326  0.206 0.326  0.385 0.326
2#apa#apa14#app1420/i  0.069 0.295  0.069 0.183  0.076 0.074  0.156 -0.006  0.235 -0.085  0.283 -0.177  0.283 -0.290  0.283 -0.402  0.283 -0.514  0.283 -0.626  0.283 -0.738  0.317 -0.843  0.367 -0.943  0.417 -1.044  0.467 -1.144  0.498 -1.249  0.498 -1.361  0.459 -1.380  0.380 -1.301  0.300 -1.222  0.258 -1.121  0.225 -1.013  0.192 -0.906  0.158 -0.799  0.125 -0.691  0.092 -0.584  0.059 -0.477  0.026 -0.370  -0.007 -0.262  -0.040 -0.155  -0.073 -0.048  -0.106 0.059  -0.139 0.167  -0.172 0.274  -0.205 0.381  -0.238 0.488  -0.271 0.596  -0.304 0.703  -0.337 0.810  -0.370 0.918  -0.403 1.025  -0.436 1.132  -0.469 1.239  -0.502 1.347  -0.535 1.454  -0.568 1.561  -0.574 1.672  -0.574 1.785  -0.472 1.795  -0.359 1.795
2#apa#apa14#app1420/c  -0.056 0.995  0.097 0.995  0.251 0.995  0.276 0.866  0.276 0.713  0.379 0.663  0.533 0.663  0.608 0.584  0.608 0.431  0.608 0.277  0.608 0.123  0.608 -0.030  0.608 -0.184  0.608 -0.331  0.608 -0.178  0.608 -0.024  0.608 0.129  0.608 0.283  0.608 0.437  0.608 0.590  0.527 0.663  0.373 0.663  0.276 0.719  0.276 0.872  0.245 0.995  0.091 0.995  -0.056 0.989  -0.056 0.835  -0.056 0.681  -0.152 0.567  -0.260 0.459  -0.369 0.350  -0.445 0.218  -0.514 0.081  -0.582 -0.057  -0.651 -0.194  -0.720 -0.332  -0.721 -0.485  -0.721 -0.639  -0.721 -0.792  -0.721 -0.946  -0.721 -1.099  -0.721 -1.253  -0.721 -1.407  -0.721 -1.560  -0.671 -1.664  -0.517 -1.664  -0.364 -1.664  -0.210 -1.664  -0.056 -1.664
