3#apb#apb08#app0808/F  -0.318 0.765  -0.296 0.535  -0.299 0.303  -0.341 0.075  -0.380 -0.154  -0.414 -0.383  -0.444 -0.613  -0.471 -0.843  -0.497 -1.074  -0.497 -1.306  -0.502 -1.537  -0.530 -1.723  -0.452 -1.514  -0.452 -1.282  -0.488 -1.055  -0.542 -0.829  -0.597 -0.604  -0.651 -0.378  -0.705 -0.153  -0.759 0.073  -0.813 0.298  -0.819 0.510  -0.645 0.631  -0.422 0.686  -0.192 0.710  0.037 0.736  0.263 0.790  0.488 0.844  0.714 0.897  0.940 0.949  1.165 1.006  1.385 1.079  1.540 0.983  1.414 0.797  1.199 0.712  0.982 0.633  0.764 0.553  0.546 0.474  0.328 0.395  0.110 0.315  -0.108 0.236  -0.287 0.112  -0.369 -0.101  -0.397 -0.332  -0.261 -0.472  -0.037 -0.450  0.190 -0.400  0.415 -0.344  0.639 -0.284  0.868 -0.264
3#apb#apb08#app0808/M  -1.453 -0.903  -1.323 -0.903  -1.194 -0.903  -1.070 -0.872  -0.998 -0.765  -0.944 -0.649  -0.907 -0.525  -0.866 -0.402  -0.818 -0.282  -0.771 -0.161  -0.746 -0.035  -0.721 0.092  -0.695 0.219  -0.670 0.346  -0.654 0.474  -0.641 0.603  -0.613 0.729  -0.582 0.854  -0.572 0.919  -0.511 0.836  -0.486 0.709  -0.450 0.585  -0.403 0.464  -0.357 0.343  -0.306 0.224  -0.253 0.107  -0.198 -0.010  -0.115 -0.110  -0.037 -0.212  0.035 -0.320  0.156 -0.355  0.284 -0.344  0.404 -0.306  0.507 -0.229  0.604 -0.145  0.678 -0.039  0.752 0.067  0.820 0.178  0.884 0.290  0.907 0.417  0.981 0.465  1.056 0.359  1.134 0.256  1.215 0.155  1.295 0.054  1.379 -0.046  1.463 -0.144  1.532 -0.253  1.597 -0.364  1.674 -0.468
3#apb#apb08#app0808/:  0.147 1.382  0.068 1.382  0.001 1.370  0.001 1.290  -0.024 1.236  -0.103 1.236  -0.183 1.236  -0.262 1.236  -0.342 1.236  -0.329 1.191  -0.282 1.127  -0.234 1.064  -0.187 1.000  -0.143 0.935  -0.133 0.856  -0.122 0.778  -0.112 0.699  -0.101 0.620  -0.091 0.542  -0.080 0.463  -0.070 0.384  -0.060 0.306  -0.049 0.227  -0.039 0.148  -0.028 0.070  -0.018 -0.009  -0.007 -0.088  0.003 -0.166  0.014 -0.245  0.024 -0.324  0.035 -0.402  0.045 -0.481  0.056 -0.560  0.066 -0.638  0.077 -0.717  0.087 -0.796  0.098 -0.874  0.108 -0.953  0.119 -1.032  0.129 -1.110  0.140 -1.189  0.169 -1.246  0.249 -1.246  0.293 -1.281  0.293 -1.360  0.293 -1.439  0.239 -1.465  0.160 -1.465  0.081 -1.465  0.001 -1.465
3#apb#apb08#app0808/(  0.628 1.370  0.703 1.370  0.643 1.354  0.580 1.314  0.517 1.274  0.453 1.233  0.390 1.193  0.327 1.152  0.264 1.112  0.201 1.071  0.146 1.022  0.100 0.963  0.054 0.903  0.009 0.844  -0.037 0.784  -0.074 0.719  -0.111 0.654  -0.148 0.589  -0.185 0.524  -0.211 0.454  -0.232 0.382  -0.253 0.310  -0.274 0.238  -0.295 0.166  -0.296 0.092  -0.296 0.017  -0.296 -0.058  -0.296 -0.133  -0.296 -0.208  -0.296 -0.283  -0.289 -0.358  -0.282 -0.432  -0.274 -0.507  -0.267 -0.581  -0.260 -0.656  -0.242 -0.728  -0.211 -0.796  -0.180 -0.865  -0.149 -0.933  -0.119 -1.001  -0.088 -1.070  -0.055 -1.137  -0.019 -1.203  0.017 -1.269  0.052 -1.335  0.093 -1.397  0.138 -1.457  0.183 -1.517  0.242 -1.563  0.287 -1.621
3#apb#apb08#app0808/4  -0.107 1.301  -0.236 1.223  -0.383 1.089  -0.528 0.953  -0.647 0.794  -0.769 0.636  -0.900 0.486  -0.991 0.312  -1.081 0.134  -1.133 -0.051  -1.105 -0.236  -0.940 -0.344  -0.757 -0.422  -0.567 -0.470  -0.369 -0.470  -0.170 -0.470  0.029 -0.470  0.227 -0.449  0.425 -0.426  0.623 -0.404  0.821 -0.393  1.020 -0.393  1.179 -0.284  1.115 -0.127  0.964 0.002  0.838 0.156  0.716 0.313  0.594 0.471  0.473 0.628  0.351 0.785  0.229 0.942  0.150 1.114  0.103 1.301  0.097 1.159  0.070 0.962  0.045 0.764  0.027 0.566  0.009 0.368  0.000 0.170  0.017 -0.028  0.033 -0.227  0.047 -0.425  0.047 -0.624  0.047 -0.823  0.051 -1.022  0.071 -1.220  0.091 -1.418  0.077 -1.614  0.047 -1.811  0.047 -2.010
3#apb#apb08#app0808/7  -0.041 -1.606  -0.010 -1.661  -0.005 -1.568  0.003 -1.475  0.034 -1.381  0.061 -1.286  0.088 -1.192  0.116 -1.098  0.145 -1.003  0.178 -0.911  0.214 -0.819  0.251 -0.728  0.296 -0.641  0.344 -0.554  0.391 -0.468  0.431 -0.378  0.469 -0.287  0.507 -0.196  0.544 -0.105  0.581 -0.014  0.617 0.078  0.654 0.169  0.691 0.261  0.728 0.352  0.787 0.431  0.824 0.521  0.733 0.546  0.641 0.580  0.549 0.614  0.452 0.634  0.355 0.649  0.258 0.664  0.160 0.676  0.062 0.685  -0.036 0.694  -0.134 0.696  -0.233 0.696  -0.331 0.696  -0.430 0.696  -0.528 0.696  -0.626 0.693  -0.722 0.669  -0.817 0.649  -0.914 0.668  -1.008 0.647  -1.103 0.622  -1.201 0.622  -1.300 0.622  -1.394 0.597  -1.329 0.548
3#apb#apb08#app0808/5  -0.275 0.731  -0.121 0.727  -0.272 0.634  -0.425 0.542  -0.585 0.462  -0.751 0.395  -0.810 0.297  -0.669 0.187  -0.522 0.084  -0.374 -0.018  -0.212 -0.093  -0.049 -0.166  0.125 -0.209  0.299 -0.253  0.472 -0.301  0.610 -0.410  0.638 -0.580  0.592 -0.752  0.498 -0.902  0.379 -1.035  0.236 -1.142  0.079 -1.222  -0.094 -1.271  -0.268 -1.313  -0.441 -1.331  -0.610 -1.276  -0.702 -1.122  -0.715 -0.952  -0.691 -0.774  -0.668 -0.597  -0.644 -0.419  -0.621 -0.242  -0.597 -0.064  -0.574 0.114  -0.550 0.291  -0.527 0.469  -0.503 0.646  -0.333 0.700  -0.159 0.740  0.019 0.760  0.197 0.781  0.375 0.800  0.553 0.819  0.731 0.838  0.909 0.857  1.087 0.875  1.265 0.898  1.443 0.922  1.621 0.938  1.634 0.938
3#apb#apb08#app0808/)  -0.333 1.639  -0.374 1.582  -0.392 1.513  -0.399 1.440  -0.387 1.367  -0.376 1.294  -0.360 1.223  -0.321 1.160  -0.283 1.097  -0.244 1.035  -0.205 0.972  -0.165 0.911  -0.125 0.849  -0.084 0.787  -0.045 0.725  -0.009 0.660  0.026 0.596  0.062 0.531  0.097 0.466  0.133 0.402  0.159 0.333  0.183 0.264  0.208 0.194  0.232 0.124  0.256 0.055  0.267 -0.018  0.277 -0.091  0.288 -0.164  0.298 -0.237  0.305 -0.310  0.295 -0.383  0.285 -0.456  0.274 -0.529  0.264 -0.602  0.252 -0.675  0.236 -0.747  0.220 -0.818  0.204 -0.890  0.186 -0.962  0.151 -1.027  0.116 -1.092  0.081 -1.156  0.036 -1.214  -0.014 -1.269  -0.063 -1.323  -0.117 -1.373  -0.180 -1.412  -0.242 -1.451  -0.305 -1.490  -0.367 -1.529
3#apb#apb08#app0808/9  0.601 0.541  0.651 0.622  0.589 0.733  0.512 0.838  0.426 0.935  0.327 1.020  0.219 1.091  0.100 1.139  -0.029 1.153  -0.159 1.153  -0.288 1.138  -0.409 1.093  -0.528 1.041  -0.628 0.959  -0.720 0.868  -0.772 0.749  -0.824 0.630  -0.872 0.509  -0.909 0.386  -0.909 0.256  -0.887 0.129  -0.846 0.006  -0.797 -0.111  -0.688 -0.183  -0.580 -0.255  -0.467 -0.320  -0.346 -0.336  -0.219 -0.311  -0.098 -0.266  0.019 -0.208  0.132 -0.144  0.235 -0.067  0.318 0.033  0.396 0.126  0.403 0.036  0.417 -0.093  0.446 -0.220  0.461 -0.349  0.473 -0.478  0.477 -0.608  0.477 -0.738  0.477 -0.868  0.477 -0.999  0.477 -1.129  0.477 -1.259  0.477 -1.389  0.477 -1.519  0.477 -1.649  0.477 -1.779  0.477 -1.909
3#apb#apb08#app0808/4  0.066 1.248  -0.026 1.137  -0.172 0.997  -0.328 0.869  -0.487 0.743  -0.647 0.619  -0.800 0.486  -0.940 0.341  -1.054 0.174  -1.111 -0.017  -1.120 -0.218  -1.033 -0.398  -0.880 -0.517  -0.686 -0.560  -0.483 -0.560  -0.288 -0.513  -0.096 -0.449  0.096 -0.385  0.294 -0.343  0.493 -0.301  0.690 -0.256  0.884 -0.198  0.962 -0.093  0.768 -0.036  0.630 0.091  0.540 0.272  0.449 0.453  0.358 0.635  0.268 0.816  0.177 0.997  0.087 1.178  -0.004 1.359  0.082 1.294  0.125 1.096  0.144 0.894  0.154 0.692  0.154 0.490  0.154 0.287  0.154 0.085  0.156 -0.118  0.170 -0.320  0.184 -0.522  0.198 -0.724  0.211 -0.927  0.229 -1.128  0.241 -1.330  0.241 -1.533  0.241 -1.736  0.256 -1.937  0.300 -2.134
3#apb#apb08#app0808/0  -0.618 0.596  -0.490 0.605  -0.484 0.673  -0.567 0.565  -0.654 0.461  -0.725 0.345  -0.787 0.225  -0.841 0.101  -0.880 -0.029  -0.898 -0.163  -0.898 -0.298  -0.864 -0.427  -0.812 -0.553  -0.753 -0.674  -0.672 -0.783  -0.581 -0.882  -0.471 -0.962  -0.361 -1.042  -0.233 -1.075  -0.098 -1.096  0.035 -1.102  0.169 -1.075  0.302 -1.048  0.427 -1.002  0.543 -0.931  0.658 -0.860  0.752 -0.765  0.830 -0.654  0.899 -0.538  0.950 -0.412  0.984 -0.284  0.973 -0.148  0.963 -0.013  0.936 0.120  0.905 0.252  0.866 0.381  0.809 0.505  0.753 0.628  0.671 0.734  0.575 0.830  0.457 0.894  0.333 0.949  0.203 0.989  0.073 1.028  -0.062 1.029  -0.198 1.029  -0.333 1.017  -0.468 1.002  -0.597 0.960  -0.720 0.902
3#apb#apb08#app0808/  -1.697 -0.112  -1.696 -0.185  -1.628 -0.151  -1.555 -0.132  -1.481 -0.114  -1.407 -0.098  -1.333 -0.083  -1.259 -0.069  -1.185 -0.054  -1.110 -0.039  -1.035 -0.033  -0.959 -0.029  -0.884 -0.024  -0.808 -0.019  -0.733 -0.014  -0.657 -0.010  -0.582 -0.005  -0.506 -0.001  -0.430 -0.001  -0.355 -0.001  -0.279 -0.001  -0.203 -0.001  -0.127 -0.001  -0.052 -0.001  0.024 -0.001  0.100 -0.001  0.175 -0.001  0.251 -0.001  0.327 0.002  0.402 0.009  0.477 0.016  0.553 0.023  0.628 0.030  0.704 0.037  0.779 0.045  0.854 0.052  0.930 0.059  1.005 0.066  1.080 0.073  1.156 0.083  1.231 0.092  1.306 0.101  1.381 0.110  1.449 0.110  1.375 0.091  1.302 0.073  1.228 0.054  1.155 0.036  1.081 0.018  1.008 -0.001
3#apb#apb08#app0808/2  -0.766 1.055  -0.788 1.148  -0.746 1.268  -0.658 1.360  -0.548 1.427  -0.422 1.409  -0.295 1.389  -0.174 1.351  -0.054 1.305  0.059 1.247  0.159 1.167  0.258 1.085  0.348 0.995  0.424 0.897  0.442 0.770  0.460 0.643  0.458 0.515  0.450 0.387  0.441 0.260  0.410 0.135  0.379 0.011  0.341 -0.111  0.280 -0.224  0.218 -0.336  0.144 -0.441  0.071 -0.546  -0.035 -0.618  -0.143 -0.687  -0.260 -0.739  -0.378 -0.789  -0.497 -0.836  -0.618 -0.877  -0.740 -0.884  -0.832 -0.813  -0.774 -0.725  -0.654 -0.680  -0.527 -0.663  -0.400 -0.646  -0.272 -0.637  -0.144 -0.637  -0.016 -0.642  0.109 -0.669  0.234 -0.696  0.359 -0.724  0.484 -0.753  0.605 -0.792  0.723 -0.844  0.842 -0.891  0.961 -0.938  1.079 -0.988
3#apb#apb08#app0808/9  0.252 0.523  0.286 0.653  0.337 0.768  0.269 0.880  0.170 0.969  0.050 1.029  -0.078 1.053  -0.213 1.053  -0.347 1.053  -0.481 1.053  -0.612 1.032  -0.737 0.985  -0.842 0.910  -0.920 0.801  -0.981 0.684  -1.024 0.556  -0.999 0.425  -0.972 0.293  -0.931 0.166  -0.882 0.041  -0.823 -0.074  -0.698 -0.124  -0.574 -0.174  -0.452 -0.230  -0.332 -0.290  -0.205 -0.303  -0.087 -0.252  0.008 -0.157  0.103 -0.062  0.198 0.033  0.290 0.130  0.356 0.247  0.438 0.336  0.473 0.234  0.511 0.106  0.550 -0.023  0.569 -0.155  0.579 -0.289  0.589 -0.423  0.600 -0.556  0.613 -0.690  0.626 -0.824  0.626 -0.958  0.626 -1.092  0.633 -1.226  0.648 -1.359  0.666 -1.492  0.688 -1.625  0.688 -1.759  0.750 -1.874
3#apb#apb08#app0808/4  -0.004 1.192  0.021 1.091  -0.136 0.964  -0.268 0.810  -0.412 0.669  -0.564 0.536  -0.707 0.393  -0.850 0.250  -0.966 0.094  -0.991 -0.107  -0.975 -0.308  -0.900 -0.490  -0.726 -0.593  -0.537 -0.586  -0.342 -0.533  -0.141 -0.516  0.061 -0.502  0.261 -0.474  0.459 -0.431  0.655 -0.383  0.846 -0.319  0.848 -0.212  0.696 -0.079  0.624 0.110  0.552 0.299  0.480 0.488  0.409 0.677  0.337 0.866  0.265 1.055  0.193 1.244  0.121 1.433  0.092 1.455  0.156 1.265  0.156 1.063  0.156 0.861  0.156 0.659  0.156 0.456  0.146 0.254  0.130 0.053  0.113 -0.149  0.096 -0.350  0.077 -0.552  0.058 -0.753  0.039 -0.954  0.023 -1.156  0.011 -1.358  -0.001 -1.560  0.009 -1.761  0.026 -1.963  0.092 -2.153
3#apb#apb08#app0808/3  -1.017 1.256  -0.914 1.279  -0.804 1.260  -0.698 1.225  -0.593 1.185  -0.487 1.147  -0.382 1.109  -0.274 1.077  -0.165 1.051  -0.056 1.025  0.053 1.000  0.155 0.954  0.256 0.903  0.356 0.853  0.461 0.814  0.553 0.762  0.589 0.655  0.593 0.544  0.531 0.450  0.460 0.364  0.379 0.287  0.294 0.213  0.202 0.150  0.100 0.105  -0.003 0.059  -0.106 0.015  -0.200 -0.045  -0.291 -0.107  -0.287 -0.165  -0.189 -0.204  -0.103 -0.276  0.004 -0.308  0.108 -0.343  0.187 -0.422  0.274 -0.491  0.375 -0.541  0.401 -0.648  0.404 -0.760  0.404 -0.872  0.356 -0.973  0.305 -1.073  0.229 -1.151  0.137 -1.215  0.064 -1.300  -0.013 -1.379  -0.118 -1.418  -0.223 -1.458  -0.329 -1.497  -0.435 -1.532  -0.543 -1.563
