3#app#app26#app2602/8  1.080 1.259  0.903 1.259  0.727 1.259  0.551 1.259  0.407 1.227  0.366 1.091  0.190 1.091  0.014 1.091  -0.097 1.026  -0.171 0.923  -0.265 0.841  -0.355 0.755  -0.434 0.657  -0.434 0.481  -0.434 0.304  -0.434 0.128  -0.341 -0.010  -0.265 -0.155  -0.265 -0.331  -0.205 -0.482  -0.080 -0.607  0.044 -0.732  0.071 -0.897  0.071 -1.073  0.071 -1.250  -0.092 -1.263  -0.269 -1.263  -0.445 -1.263  -0.616 -1.249  -0.740 -1.124  -0.865 -1.000  -0.938 -0.854  -0.938 -0.677  -0.849 -0.590  -0.770 -0.493  -0.664 -0.422  -0.521 -0.342  -0.381 -0.254  -0.223 -0.211  -0.098 -0.087  0.078 -0.086  0.250 -0.075  0.374 0.050  0.537 0.082  0.699 0.144  0.857 0.223  1.026 0.250  1.167 0.337  1.291 0.462  1.416 0.587
3#app#app26#app2602/;  0.258 1.046  0.173 1.046  0.088 1.046  0.062 1.046  0.146 1.047  0.207 1.107  0.267 1.167  0.327 1.228  0.349 1.272  0.264 1.272  0.258 1.192  0.206 1.159  0.145 1.135  0.145 1.050  0.145 0.965  0.135 0.881  0.118 0.797  0.101 0.714  0.085 0.630  0.068 0.547  0.051 0.464  0.035 0.380  0.018 0.297  0.001 0.213  -0.015 0.130  -0.032 0.047  -0.049 -0.037  -0.065 -0.120  -0.080 -0.204  -0.080 -0.289  -0.080 -0.374  -0.054 -0.448  0.006 -0.508  0.032 -0.582  0.032 -0.667  0.032 -0.752  0.032 -0.837  0.010 -0.917  -0.028 -0.993  -0.066 -1.069  -0.080 -1.151  -0.098 -1.229  -0.158 -1.289  -0.218 -1.349  -0.278 -1.409  -0.338 -1.470  -0.398 -1.530  -0.475 -1.550  -0.560 -1.550  -0.645 -1.550
3#app#app26#app2602/>  -0.728 1.175  -0.609 1.175  -0.490 1.175  -0.371 1.175  -0.251 1.175  -0.132 1.175  -0.101 1.087  -0.051 1.018  0.056 1.005  0.056 0.886  0.150 0.861  0.269 0.861  0.370 0.842  0.370 0.723  0.470 0.704  0.527 0.641  0.527 0.522  0.527 0.403  0.633 0.391  0.683 0.321  0.715 0.234  0.834 0.234  0.727 0.234  0.683 0.158  0.683 0.039  0.683 -0.080  0.683 -0.199  0.683 -0.319  0.639 -0.394  0.522 -0.398  0.438 -0.483  0.347 -0.551  0.227 -0.551  0.108 -0.551  -0.011 -0.551  -0.101 -0.580  -0.101 -0.699  -0.212 -0.707  -0.331 -0.707  -0.440 -0.733  -0.524 -0.817  -0.624 -0.864  -0.728 -0.879  -0.728 -0.998  -0.824 -1.021  -0.926 -1.062  -1.011 -1.147  -1.042 -1.253  -1.079 -1.335  -1.199 -1.335
3#app#app26#app2602/S  1.283 0.844  1.164 0.874  1.045 0.903  0.927 0.933  0.808 0.963  0.689 0.992  0.567 0.992  0.444 0.992  0.344 0.939  0.258 0.852  0.139 0.844  0.016 0.844  -0.088 0.802  -0.175 0.715  -0.290 0.696  -0.412 0.696  -0.534 0.696  -0.636 0.676  -0.636 0.554  -0.754 0.549  -0.692 0.549  -0.636 0.482  -0.595 0.401  -0.477 0.390  -0.391 0.303  -0.289 0.254  -0.194 0.227  -0.192 0.106  -0.070 0.106  -0.046 0.007  0.006 -0.094  0.092 -0.180  0.102 -0.299  0.161 -0.396  0.248 -0.483  0.249 -0.604  0.249 -0.727  0.249 -0.849  0.249 -0.972  0.249 -1.094  0.249 -1.216  0.167 -1.305  0.072 -1.370  -0.050 -1.370  -0.172 -1.370  -0.295 -1.370  -0.417 -1.370  -0.539 -1.370  -0.662 -1.370  -0.784 -1.370
3#app#app26#app2602/i  0.324 0.259  0.324 0.085  0.195 0.040  0.105 0.123  0.132 0.286  0.255 0.408  0.400 0.477  0.542 0.508  0.542 0.681  0.430 0.583  0.324 0.454  0.324 0.280  0.172 0.259  0.030 0.183  -0.093 0.060  -0.216 -0.062  -0.332 -0.187  -0.332 -0.361  -0.429 -0.494  -0.550 -0.617  -0.550 -0.791  -0.642 -0.926  -0.765 -1.049  -0.769 -1.221  -0.892 -1.271  -0.988 -1.349  -0.988 -1.457  -0.988 -1.284  -0.890 -1.144  -0.784 -1.006  -0.678 -0.869  -0.572 -0.731  -0.467 -0.594  -0.361 -0.457  -0.255 -0.319  -0.149 -0.182  -0.044 -0.044  0.062 0.093  0.168 0.231  0.274 0.368  0.379 0.506  0.485 0.643  0.591 0.781  0.697 0.918  0.803 1.056  0.908 1.193  1.014 1.331  1.120 1.468  1.153 1.570  0.979 1.570
3#app#app26#app2602/m  0.298 0.914  0.110 0.866  0.014 0.727  -0.179 0.625  -0.378 0.540  -0.451 0.378  -0.661 0.353  -0.825 0.282  -0.910 0.081  -1.013 -0.111  -1.110 -0.306  -1.308 -0.396  -1.387 -0.552  -1.531 -0.727  -1.451 -0.647  -1.387 -0.439  -1.251 -0.260  -1.037 -0.209  -0.989 -0.022  -0.775 0.029  -0.596 0.166  -0.451 0.256  -0.313 0.353  -0.132 0.484  0.080 0.540  0.315 0.540  0.485 0.475  0.485 0.240  0.485 0.004  0.463 -0.209  0.228 -0.209  0.110 -0.327  -0.055 -0.396  -0.103 -0.583  -0.189 -0.583  -0.077 -0.461  0.094 -0.396  0.265 -0.241  0.487 -0.209  0.707 -0.174  0.879 -0.022  1.095 0.027  1.272 0.166  1.507 0.166  1.608 0.300  1.608 0.170  1.608 -0.065  1.517 -0.209  1.421 -0.348  1.421 -0.583
3#app#app26#app2602/i  0.434 0.339  0.343 0.248  0.252 0.157  0.133 0.132  0.020 0.116  0.020 -0.013  -0.047 -0.075  -0.176 -0.075  -0.187 -0.193  -0.215 -0.310  -0.306 -0.401  -0.399 -0.489  -0.528 -0.489  -0.601 -0.545  -0.601 -0.674  -0.708 -0.696  -0.808 -0.725  -0.808 -0.854  -0.887 -0.903  -1.015 -0.904  -1.015 -1.033  -0.980 -1.072  -0.892 -0.977  -0.805 -0.882  -0.717 -0.788  -0.630 -0.693  -0.542 -0.598  -0.455 -0.503  -0.368 -0.409  -0.280 -0.314  -0.193 -0.219  -0.105 -0.124  -0.018 -0.030  0.070 0.065  0.157 0.160  0.245 0.255  0.332 0.349  0.420 0.444  0.507 0.539  0.595 0.634  0.682 0.729  0.770 0.823  0.857 0.918  0.945 1.013  1.032 1.108  1.120 1.202  1.207 1.297  1.294 1.392  1.382 1.487  1.469 1.581
3#app#app26#app2602/l  1.098 1.413  1.002 1.413  0.912 1.405  0.912 1.309  0.897 1.227  0.800 1.227  0.710 1.211  0.642 1.142  0.573 1.074  0.505 1.005  0.436 0.937  0.368 0.869  0.354 0.778  0.354 0.681  0.294 0.609  0.226 0.540  0.167 0.467  0.167 0.370  0.145 0.296  0.048 0.296  -0.040 0.275  -0.108 0.206  -0.177 0.138  -0.245 0.069  -0.314 0.001  -0.382 -0.068  -0.391 -0.161  -0.391 -0.257  -0.456 -0.327  -0.524 -0.396  -0.577 -0.471  -0.577 -0.568  -0.577 -0.665  -0.577 -0.761  -0.614 -0.821  -0.711 -0.821  -0.763 -0.866  -0.763 -0.963  -0.712 -1.007  -0.615 -1.007  -0.518 -1.007  -0.421 -1.007  -0.324 -1.007  -0.227 -1.007  -0.131 -1.007  -0.034 -1.007  0.063 -1.007  0.160 -1.007  0.167 -0.918  0.167 -0.821
3#app#app26#app2602/a  0.848 0.412  0.848 0.601  0.717 0.659  0.601 0.732  0.586 0.906  0.397 0.906  0.208 0.906  0.019 0.906  -0.170 0.906  -0.359 0.906  -0.548 0.906  -0.707 0.833  -0.841 0.700  -0.975 0.566  -1.108 0.432  -1.129 0.252  -1.231 0.165  -1.376 0.121  -1.376 -0.068  -1.376 -0.257  -1.376 -0.446  -1.318 -0.577  -1.129 -0.577  -0.939 -0.577  -0.750 -0.577  -0.561 -0.577  -0.372 -0.577  -0.183 -0.577  -0.037 -0.473  0.096 -0.340  0.230 -0.206  0.368 -0.082  0.557 -0.082  0.601 0.063  0.688 0.165  0.877 0.165  1.066 0.165  0.935 0.165  0.776 0.092  0.642 -0.041  0.508 -0.175  0.375 -0.309  0.354 -0.489  0.354 -0.678  0.397 -0.824  0.586 -0.824  0.775 -0.824  0.964 -0.824  1.153 -0.824  1.342 -0.824
3#app#app26#app2602/r  1.053 1.473  0.931 1.352  0.810 1.230  0.688 1.109  0.567 0.987  0.445 0.865  0.289 0.827  0.117 0.827  0.084 0.689  0.084 0.517  -0.075 0.504  -0.239 0.496  -0.239 0.324  -0.239 0.153  -0.239 -0.019  -0.288 -0.142  -0.460 -0.142  -0.562 -0.212  -0.562 -0.384  -0.653 -0.465  -0.825 -0.465  -0.885 -0.576  -0.885 -0.748  -1.017 -0.788  -1.189 -0.788  -1.208 -0.941  -1.207 -1.109  -1.085 -0.988  -0.964 -0.866  -0.842 -0.745  -0.721 -0.623  -0.599 -0.502  -0.443 -0.465  -0.271 -0.465  -0.239 -0.325  -0.239 -0.153  -0.125 -0.028  -0.004 0.093  0.131 0.181  0.303 0.181  0.475 0.181  0.647 0.181  0.819 0.181  0.991 0.181  1.053 0.071  1.053 -0.100  1.183 -0.142  1.355 -0.142  1.527 -0.142  1.699 -0.142
3#app#app26#app2602/?  -0.433 0.940  -0.350 0.995  -0.268 1.050  -0.185 1.105  -0.102 1.160  -0.016 1.201  0.084 1.201  0.183 1.201  0.221 1.139  0.251 1.070  0.350 1.070  0.449 1.070  0.482 1.004  0.482 0.905  0.482 0.805  0.482 0.706  0.482 0.607  0.482 0.508  0.473 0.417  0.374 0.417  0.275 0.417  0.189 0.385  0.118 0.315  0.031 0.286  -0.068 0.286  -0.167 0.286  -0.171 0.191  -0.171 0.092  -0.171 -0.007  -0.171 -0.107  -0.171 -0.206  -0.171 -0.305  -0.171 -0.404  -0.177 -0.498  -0.277 -0.498  -0.302 -0.571  -0.294 -0.670  -0.274 -0.767  -0.255 -0.864  -0.235 -0.962  -0.216 -1.059  -0.197 -1.156  -0.177 -1.254  -0.158 -1.351  -0.138 -1.448  -0.119 -1.546  -0.099 -1.643  -0.080 -1.740  -0.060 -1.838  -0.041 -1.935
