2#app#app31#app3173/f  1.259 0.748  1.366 0.868  1.316 1.011  1.175 1.068  1.118 1.175  0.981 1.240  0.834 1.282  0.670 1.282  0.505 1.282  0.360 1.237  0.297 1.099  0.203 0.974  0.087 0.857  0.012 0.711  -0.023 0.555  -0.043 0.397  -0.134 0.260  -0.225 0.124  -0.301 -0.022  -0.344 -0.176  -0.352 -0.338  -0.426 -0.485  -0.450 -0.644  -0.450 -0.808  -0.450 -0.972  -0.383 -1.069  -0.331 -1.188  -0.206 -1.283  -0.041 -1.283  0.055 -1.256  -0.067 -1.146  -0.189 -1.037  -0.312 -0.927  -0.434 -0.817  -0.556 -0.707  -0.678 -0.597  -0.800 -0.487  -0.922 -0.377  -0.985 -0.241  -0.847 -0.214  -0.683 -0.214  -0.530 -0.187  -0.399 -0.107  -0.235 -0.107  -0.088 -0.065  0.050 -0.000  0.176 0.092  0.334 0.107  0.471 0.173  0.618 0.213
2#app#app31#app3173/d  0.163 -0.072  -0.023 -0.072  -0.210 -0.072  -0.396 -0.072  -0.537 -0.182  -0.662 -0.317  -0.717 -0.480  -0.849 -0.612  -0.898 -0.779  -0.981 -0.945  -1.016 -1.124  -0.957 -1.251  -0.773 -1.244  -0.636 -1.120  -0.469 -1.037  -0.328 -0.917  -0.196 -0.785  -0.073 -0.650  -0.016 -0.487  0.116 -0.355  0.163 -0.188  0.195 -0.009  0.278 0.158  0.361 0.325  0.399 0.502  0.423 0.683  0.506 0.850  0.517 1.034  0.517 1.220  0.517 1.407  0.517 1.594  0.517 1.780  0.410 1.709  0.376 1.532  0.292 1.366  0.281 1.182  0.281 0.995  0.269 0.810  0.232 0.627  0.196 0.444  0.163 0.261  0.163 0.074  0.163 -0.112  0.163 -0.299  0.163 -0.485  0.163 -0.672  0.219 -0.835  0.281 -0.996  0.331 -1.133  0.399 -1.251
2#app#app31#app3173/k  -0.168 1.860  -0.304 1.813  -0.304 1.631  -0.366 1.462  -0.440 1.297  -0.440 1.114  -0.519 0.964  -0.576 0.805  -0.585 0.626  -0.712 0.496  -0.712 0.313  -0.712 0.130  -0.712 -0.053  -0.712 -0.236  -0.712 -0.418  -0.712 -0.601  -0.712 -0.784  -0.816 -0.863  -0.971 -0.863  -0.788 -0.863  -0.712 -0.756  -0.604 -0.618  -0.474 -0.489  -0.345 -0.360  -0.235 -0.215  -0.133 -0.063  -0.032 0.089  0.151 0.090  0.306 0.155  0.436 0.285  0.565 0.414  0.713 0.498  0.714 0.415  0.595 0.276  0.476 0.137  0.357 -0.002  0.238 -0.141  0.119 -0.279  -0.000 -0.418  0.103 -0.455  0.286 -0.455  0.469 -0.455  0.651 -0.455  0.820 -0.489  0.961 -0.591  1.143 -0.591  1.194 -0.723  1.330 -0.770  1.420 -0.863  1.466 -1.000
2#app#app31#app3173/n  -0.156 0.498  0.034 0.498  0.082 0.640  -0.012 0.736  -0.156 0.690  -0.156 0.500  -0.289 0.365  -0.394 0.218  -0.394 0.028  -0.394 -0.162  -0.530 -0.215  -0.632 -0.304  -0.632 -0.494  -0.632 -0.684  -0.761 -0.821  -0.869 -0.966  -0.869 -1.156  -1.048 -1.167  -1.015 -1.074  -0.880 -0.940  -0.869 -0.755  -0.869 -0.565  -0.814 -0.398  -0.679 -0.263  -0.632 -0.093  -0.579 0.075  -0.444 0.210  -0.310 0.344  -0.176 0.478  -0.156 0.660  -0.075 0.817  0.059 0.951  0.194 1.085  0.331 1.212  0.521 1.212  0.666 1.103  0.796 0.967  0.796 0.777  0.796 0.587  0.796 0.397  0.796 0.207  0.796 0.017  0.796 -0.173  0.900 -0.320  1.034 -0.455  1.034 -0.645  1.034 -0.835  1.129 -0.929  1.320 -0.929  1.510 -0.929
2#app#app31#app3173/e  -0.657 0.333  -0.520 0.333  -0.460 0.410  -0.443 0.531  -0.306 0.531  -0.196 0.597  -0.099 0.694  0.024 0.728  0.161 0.728  0.299 0.728  0.436 0.728  0.573 0.728  0.710 0.728  0.725 0.851  0.663 0.926  0.525 0.926  0.388 0.926  0.251 0.926  0.114 0.926  -0.024 0.926  -0.161 0.926  -0.288 0.901  -0.385 0.804  -0.474 0.701  -0.535 0.578  -0.597 0.455  -0.657 0.332  -0.657 0.195  -0.657 0.058  -0.657 -0.079  -0.657 -0.217  -0.657 -0.354  -0.633 -0.481  -0.536 -0.578  -0.460 -0.684  -0.460 -0.821  -0.353 -0.852  -0.229 -0.885  -0.132 -0.982  -0.025 -1.062  0.105 -1.106  0.235 -1.149  0.365 -1.193  0.496 -1.236  0.631 -1.247  0.768 -1.247  0.906 -1.247  1.043 -1.247  1.180 -1.247  1.318 -1.247
2#app#app31#app3173/w  -0.269 0.807  -0.269 0.962  -0.392 0.994  -0.546 0.994  -0.643 0.936  -0.643 0.782  -0.643 0.627  -0.643 0.472  -0.643 0.318  -0.643 0.163  -0.643 0.008  -0.643 -0.146  -0.643 -0.301  -0.706 -0.441  -0.776 -0.579  -0.830 -0.721  -0.830 -0.875  -0.830 -1.030  -0.707 -1.061  -0.643 -0.970  -0.601 -0.833  -0.492 -0.723  -0.456 -0.584  -0.456 -0.429  -0.417 -0.314  -0.269 -0.307  -0.269 -0.152  -0.269 -0.257  -0.200 -0.383  -0.091 -0.492  -0.082 -0.643  0.028 -0.688  0.182 -0.688  0.291 -0.642  0.301 -0.491  0.410 -0.382  0.520 -0.272  0.629 -0.163  0.738 -0.054  0.848 0.056  0.957 0.165  1.039 0.286  1.043 0.438  1.153 0.548  1.226 0.672  1.239 0.821  1.349 0.930  1.412 1.059  1.412 1.213  1.412 1.368
2#app#app31#app3173/t  0.402 1.797  0.402 1.627  0.402 1.457  0.402 1.287  0.402 1.117  0.315 1.034  0.212 0.968  0.197 0.800  0.143 0.639  0.090 0.477  0.036 0.316  0.021 0.149  0.021 -0.021  -0.037 -0.167  -0.157 -0.287  -0.169 -0.452  -0.169 -0.622  -0.169 -0.792  -0.169 -0.962  -0.169 -1.132  -0.169 -1.302  -0.149 -1.464  -0.029 -1.584  0.121 -1.634  0.173 -1.565  0.091 -1.416  0.008 -1.268  -0.074 -1.119  -0.157 -0.971  -0.239 -0.822  -0.322 -0.673  -0.404 -0.525  -0.487 -0.376  -0.569 -0.228  -0.652 -0.079  -0.735 0.070  -0.741 0.238  -0.741 0.408  -0.626 0.463  -0.456 0.463  -0.286 0.463  -0.132 0.500  -0.012 0.621  0.145 0.653  0.315 0.653  0.485 0.653  0.655 0.653  0.825 0.653  0.995 0.653  1.165 0.653
2#app#app31#app3173/h  0.265 1.948  0.265 1.848  0.265 1.749  0.265 1.650  0.265 1.550  0.262 1.451  0.218 1.363  0.173 1.274  0.122 1.190  0.052 1.120  0.019 1.034  0.019 0.935  0.019 0.836  0.019 0.736  -0.018 0.646  -0.062 0.557  -0.107 0.468  -0.151 0.379  -0.195 0.290  -0.227 0.198  -0.229 0.100  -0.274 0.011  -0.318 -0.078  -0.350 -0.170  -0.350 -0.269  -0.350 -0.368  -0.350 -0.468  -0.350 -0.567  -0.350 -0.666  -0.350 -0.766  -0.350 -0.865  -0.350 -0.964  -0.350 -1.064  -0.312 -1.125  -0.214 -1.119  -0.126 -1.074  -0.037 -1.030  0.019 -0.965  0.032 -0.879  0.132 -0.879  0.142 -0.790  0.207 -0.757  0.265 -0.714  0.283 -0.634  0.382 -0.634  0.387 -0.728  0.387 -0.827  0.387 -0.927  0.411 -1.002  0.510 -1.002
2#app#app31#app3173/a  0.099 0.251  -0.081 0.251  -0.227 0.168  -0.355 0.041  -0.521 0.008  -0.701 0.008  -0.879 0.002  -1.007 -0.125  -1.134 -0.253  -1.262 -0.380  -1.360 -0.520  -1.360 -0.700  -1.360 -0.880  -1.265 -0.965  -1.085 -0.965  -0.905 -0.965  -0.724 -0.965  -0.544 -0.965  -0.371 -0.948  -0.243 -0.821  -0.116 -0.693  0.012 -0.566  0.099 -0.422  0.099 -0.242  0.099 -0.061  0.178 0.086  0.305 0.214  0.342 0.379  0.342 0.559  0.342 0.739  0.342 0.919  0.342 1.100  0.286 1.224  0.106 1.224  0.099 1.051  0.099 0.870  0.146 0.737  0.327 0.737  0.342 0.573  0.444 0.494  0.613 0.467  0.740 0.340  0.884 0.251  1.064 0.251  1.072 0.079  1.149 -0.070  1.277 -0.197  1.315 -0.361  1.378 -0.479  1.558 -0.479
2#app#app31#app3173/t  0.432 1.912  0.560 1.889  0.528 1.753  0.432 1.643  0.406 1.504  0.305 1.396  0.305 1.246  0.305 1.096  0.272 0.955  0.205 0.821  0.178 0.677  0.178 0.527  0.118 0.392  0.051 0.258  0.050 0.108  0.050 -0.041  0.050 -0.191  0.050 -0.341  0.050 -0.491  0.050 -0.640  0.030 -0.782  -0.076 -0.888  -0.077 -1.037  -0.077 -1.187  -0.077 -1.336  0.011 -1.398  0.050 -1.509  -0.026 -1.417  -0.112 -1.294  -0.198 -1.171  -0.284 -1.049  -0.369 -0.926  -0.455 -0.803  -0.541 -0.681  -0.627 -0.558  -0.713 -0.435  -0.799 -0.312  -0.787 -0.198  -0.672 -0.104  -0.538 -0.037  -0.416 0.045  -0.301 0.130  -0.167 0.167  -0.054 0.257  0.095 0.257  0.238 0.287  0.372 0.354  0.515 0.384  0.664 0.384  0.814 0.384
2#app#app31#app3173/s  0.678 1.261  0.678 1.117  0.593 1.057  0.448 1.057  0.304 1.057  0.159 1.057  0.015 1.057  -0.129 1.057  -0.274 1.057  -0.418 1.057  -0.557 1.045  -0.660 0.943  -0.749 0.835  -0.749 0.691  -0.749 0.547  -0.705 0.446  -0.561 0.446  -0.454 0.355  -0.352 0.253  -0.250 0.151  -0.148 0.049  -0.008 0.038  0.137 0.038  0.281 0.038  0.426 0.038  0.542 -0.030  0.644 -0.132  0.774 -0.165  0.919 -0.165  1.063 -0.165  1.085 -0.288  1.040 -0.414  0.938 -0.516  0.818 -0.573  0.674 -0.575  0.545 -0.639  0.415 -0.704  0.286 -0.769  0.144 -0.777  0.019 -0.824  -0.083 -0.926  -0.205 -0.980  -0.349 -0.980  -0.494 -0.980  -0.638 -0.980  -0.783 -0.980  -0.927 -0.980  -1.071 -0.980  -1.156 -1.040  -1.156 -1.184
2#app#app31#app3173/o  0.646 0.995  0.507 0.995  0.367 0.995  0.227 0.995  0.087 0.995  -0.053 0.995  -0.193 0.995  -0.332 0.995  -0.453 0.947  -0.551 0.848  -0.650 0.750  -0.668 0.617  -0.668 0.477  -0.761 0.376  -0.860 0.277  -0.930 0.166  -0.930 0.027  -0.930 -0.113  -0.930 -0.253  -0.930 -0.393  -0.930 -0.533  -0.866 -0.646  -0.767 -0.745  -0.669 -0.844  -0.529 -0.845  -0.405 -0.860  -0.405 -1.000  -0.372 -1.108  -0.233 -1.108  -0.093 -1.108  0.047 -1.108  0.167 -1.061  0.266 -0.962  0.365 -0.863  0.464 -0.764  0.563 -0.665  0.646 -0.560  0.646 -0.420  0.646 -0.280  0.646 -0.141  0.702 -0.056  0.842 -0.056  0.909 0.016  0.909 0.156  0.909 0.296  0.909 0.436  0.909 0.575  0.909 0.715  0.909 0.855  0.909 0.995
2#app#app31#app3173/m  -0.652 0.047  -0.831 0.047  -1.001 0.038  -1.014 -0.128  -1.176 -0.145  -1.191 -0.318  -1.318 -0.445  -1.257 -0.384  -1.131 -0.257  -1.004 -0.130  -1.001 0.048  -0.874 0.174  -0.826 0.334  -0.744 0.479  -0.604 0.572  -0.477 0.624  -0.437 0.786  -0.310 0.913  -0.302 0.754  -0.302 0.575  -0.302 0.396  -0.306 0.218  -0.432 0.091  -0.477 -0.070  -0.477 -0.249  -0.477 -0.428  -0.347 -0.478  -0.302 -0.611  -0.164 -0.652  -0.026 -0.552  0.100 -0.425  0.229 -0.303  0.398 -0.292  0.408 -0.117  0.535 0.009  0.629 0.160  0.709 0.320  0.841 0.397  0.991 0.466  1.126 0.572  1.272 0.538  1.272 0.359  1.272 0.180  1.272 0.000  1.272 -0.179  1.311 -0.342  1.438 -0.468  1.447 -0.644  1.617 -0.652  1.622 -0.827
2#app#app31#app3173/e  -0.568 -0.144  -0.568 0.013  -0.454 0.056  -0.297 0.056  -0.148 0.076  -0.037 0.187  0.091 0.256  0.248 0.256  0.405 0.256  0.562 0.256  0.693 0.318  0.804 0.429  0.830 0.574  0.830 0.731  0.830 0.888  0.830 1.045  0.683 1.054  0.526 1.054  0.369 1.054  0.212 1.054  0.055 1.054  -0.101 1.054  -0.232 0.991  -0.343 0.880  -0.489 0.855  -0.623 0.799  -0.734 0.688  -0.767 0.545  -0.767 0.388  -0.767 0.232  -0.767 0.075  -0.767 -0.082  -0.767 -0.239  -0.767 -0.396  -0.761 -0.550  -0.650 -0.661  -0.568 -0.784  -0.568 -0.940  -0.413 -0.942  -0.289 -1.022  -0.178 -1.132  -0.025 -1.142  0.132 -1.142  0.289 -1.142  0.445 -1.142  0.602 -1.142  0.759 -1.142  0.916 -1.142  1.073 -1.142  1.230 -1.142
