1d#app#app13#app1324/.  0.297 -1.787  0.297 -1.704  0.297 -1.622  0.297 -1.540  0.297 -1.458  0.297 -1.375  0.297 -1.293  0.297 -1.211  0.297 -1.128  0.297 -1.046  0.297 -0.964  0.297 -0.882  0.297 -0.799  0.297 -0.717  0.297 -0.635  0.297 -0.553  0.297 -0.470  0.297 -0.388  0.297 -0.306  0.245 -0.245  0.187 -0.187  0.129 -0.129  0.071 -0.071  0.012 -0.012  -0.046 0.046  -0.104 0.104  -0.162 0.162  -0.220 0.220  -0.278 0.279  -0.337 0.337  -0.395 0.395  -0.447 0.455  -0.447 0.538  -0.447 0.620  -0.447 0.702  -0.447 0.785  -0.447 0.867  -0.447 0.949  -0.447 1.031  -0.447 1.114  -0.443 1.192  -0.361 1.192  -0.278 1.192  -0.196 1.192  -0.114 1.192  -0.032 1.192  0.051 1.192  0.133 1.192  0.215 1.192  0.297 1.192
2#apb#apb41#app4190/.  1.722 0.327  1.643 0.327  1.564 0.327  1.485 0.327  1.406 0.327  1.327 0.327  1.248 0.327  1.170 0.327  1.091 0.327  1.012 0.327  0.933 0.327  0.854 0.327  0.775 0.327  0.697 0.327  0.618 0.327  0.539 0.327  0.460 0.327  0.381 0.327  0.302 0.327  0.224 0.327  0.145 0.327  0.066 0.327  -0.013 0.327  -0.092 0.327  -0.170 0.324  -0.241 0.289  -0.311 0.254  -0.382 0.219  -0.452 0.183  -0.523 0.148  -0.593 0.113  -0.664 0.078  -0.734 0.042  -0.805 0.007  -0.875 -0.028  -0.920 -0.079  -0.920 -0.158  -0.920 -0.237  -0.920 -0.316  -0.920 -0.395  -0.920 -0.473  -0.920 -0.552  -0.920 -0.631  -0.920 -0.710  -0.920 -0.789  -0.920 -0.868  -0.920 -0.947  -0.920 -1.025  -0.920 -1.104  -0.920 -1.183
2#apb#apb41#app4190/.  1.600 -0.548  1.512 -0.548  1.425 -0.548  1.337 -0.548  1.249 -0.548  1.161 -0.548  1.074 -0.548  0.986 -0.548  0.899 -0.548  0.811 -0.548  0.723 -0.548  0.636 -0.548  0.548 -0.548  0.460 -0.548  0.373 -0.548  0.285 -0.548  0.197 -0.548  0.110 -0.548  0.022 -0.548  -0.066 -0.548  -0.153 -0.548  -0.241 -0.548  -0.329 -0.548  -0.416 -0.548  -0.504 -0.548  -0.548 -0.504  -0.548 -0.416  -0.548 -0.329  -0.548 -0.241  -0.548 -0.153  -0.548 -0.066  -0.548 0.022  -0.548 0.110  -0.548 0.197  -0.548 0.285  -0.548 0.373  -0.548 0.460  -0.548 0.548  -0.548 0.636  -0.548 0.723  -0.548 0.811  -0.548 0.899  -0.548 0.986  -0.548 1.074  -0.548 1.161  -0.548 1.249  -0.548 1.337  -0.548 1.425  -0.548 1.512  -0.548 1.600
2#apb#apb41#app4190/.  0.314 1.656  0.314 1.586  0.314 1.517  0.314 1.447  0.314 1.377  0.314 1.308  0.314 1.238  0.314 1.168  0.314 1.099  0.314 1.029  0.314 0.959  0.314 0.890  0.309 0.821  0.287 0.755  0.264 0.689  0.242 0.622  0.220 0.556  0.198 0.490  0.176 0.424  0.154 0.358  0.132 0.292  0.110 0.226  0.088 0.160  0.066 0.094  0.044 0.028  0.022 -0.038  0.000 -0.105  -0.022 -0.171  -0.044 -0.237  -0.066 -0.303  -0.088 -0.369  -0.110 -0.435  -0.132 -0.501  -0.154 -0.567  -0.176 -0.633  -0.198 -0.699  -0.220 -0.765  -0.242 -0.832  -0.264 -0.898  -0.286 -0.964  -0.308 -1.030  -0.330 -1.096  -0.352 -1.162  -0.374 -1.228  -0.396 -1.294  -0.418 -1.360  -0.440 -1.426  -0.463 -1.492  -0.485 -1.558  -0.507 -1.625
2#app#app08#app0867/.  1.014 -1.723  1.014 -1.566  1.014 -1.408  1.014 -1.251  1.014 -1.093  1.014 -0.935  1.014 -0.778  0.876 -0.758  0.719 -0.758  0.561 -0.758  0.404 -0.758  0.246 -0.758  0.089 -0.758  0.049 -0.640  0.049 -0.482  0.049 -0.325  0.049 -0.167  0.049 -0.010  0.049 0.148  0.049 0.305  0.049 0.463  0.049 0.620  0.049 0.778  0.049 0.935  0.049 1.093  -0.030 1.172  -0.187 1.172  -0.345 1.172  -0.502 1.172  -0.660 1.172  -0.817 1.172  -0.916 1.113  -0.916 0.955  -0.916 0.798  -0.916 0.640  -0.916 0.482  -0.916 0.325  -0.876 0.207  -0.719 0.207  -0.561 0.207  -0.404 0.207  -0.246 0.207  -0.089 0.207  0.049 0.187  0.049 0.030  0.049 -0.128  0.049 -0.286  0.049 -0.443  0.049 -0.601  0.049 -0.758
1d#tos#t1#t1020062/.  0.126 1.866  0.126 1.781  0.126 1.697  0.126 1.613  0.126 1.528  0.126 1.444  0.126 1.360  0.126 1.275  0.126 1.191  0.126 1.107  0.126 1.022  0.126 0.938  0.126 0.854  0.126 0.769  0.126 0.685  0.126 0.601  0.126 0.516  0.126 0.432  0.126 0.348  0.126 0.264  0.126 0.179  0.126 0.095  0.126 0.011  0.126 -0.074  0.126 -0.158  0.126 -0.242  0.126 -0.327  0.126 -0.411  0.126 -0.495  0.126 -0.580  0.126 -0.664  0.095 -0.717  0.011 -0.717  -0.074 -0.717  -0.158 -0.717  -0.242 -0.717  -0.327 -0.717  -0.390 -0.738  -0.390 -0.822  -0.390 -0.906  -0.390 -0.991  -0.390 -1.075  -0.390 -1.159  -0.379 -1.233  -0.295 -1.233  -0.211 -1.233  -0.126 -1.233  -0.042 -1.233  0.042 -1.233  0.126 -1.233
3#apa#apa09#app0993/.  0.000 -1.698  0.000 -1.628  0.000 -1.559  0.000 -1.490  0.000 -1.421  0.000 -1.351  0.000 -1.282  0.000 -1.213  0.000 -1.143  0.000 -1.074  0.000 -1.005  0.000 -0.936  0.000 -0.866  0.000 -0.797  0.000 -0.728  0.000 -0.658  0.000 -0.589  0.000 -0.520  0.000 -0.450  0.000 -0.381  0.000 -0.312  0.000 -0.243  0.000 -0.173  0.000 -0.104  0.000 -0.035  0.000 0.035  0.000 0.104  0.000 0.173  0.000 0.243  0.000 0.312  0.000 0.381  0.000 0.450  0.000 0.520  0.000 0.589  0.000 0.658  0.000 0.728  0.000 0.797  0.000 0.866  0.000 0.936  0.000 1.005  0.000 1.074  0.000 1.143  0.000 1.213  0.000 1.282  0.000 1.351  0.000 1.421  0.000 1.490  0.000 1.559  0.000 1.628  0.000 1.698
1d#apb#apb22#app2240/.  1.558 0.593  1.487 0.593  1.416 0.593  1.345 0.593  1.274 0.593  1.203 0.593  1.132 0.593  1.061 0.593  0.990 0.593  0.919 0.593  0.853 0.577  0.795 0.537  0.737 0.496  0.679 0.455  0.621 0.415  0.562 0.374  0.504 0.333  0.446 0.293  0.388 0.252  0.330 0.211  0.272 0.171  0.214 0.130  0.156 0.089  0.097 0.048  0.039 0.008  -0.019 -0.033  -0.077 -0.074  -0.135 -0.114  -0.193 -0.155  -0.251 -0.196  -0.309 -0.236  -0.368 -0.277  -0.426 -0.318  -0.484 -0.358  -0.551 -0.380  -0.619 -0.399  -0.688 -0.419  -0.756 -0.438  -0.824 -0.458  -0.892 -0.477  -0.961 -0.497  -1.029 -0.516  -1.097 -0.536  -1.165 -0.555  -1.233 -0.575  -1.302 -0.594  -1.370 -0.614  -1.438 -0.633  -1.443 -0.700  -1.443 -0.771
3#apb#apb21#app2168/.  -1.698 0.000  -1.629 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.935 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.242 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.242 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.935 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.629 0.000  1.698 0.000
3#apb#apb21#app2168/.  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.936 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.936 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
3#apb#apb21#app2168/.  0.382 1.063  0.347 0.995  0.372 1.008  0.427 1.063  0.470 1.126  0.512 1.190  0.584 1.201  0.611 1.243  0.611 1.166  0.611 1.089  0.611 1.012  0.597 0.938  0.566 0.868  0.536 0.797  0.506 0.726  0.475 0.655  0.445 0.585  0.415 0.514  0.385 0.443  0.354 0.372  0.319 0.304  0.277 0.240  0.235 0.175  0.193 0.111  0.152 0.046  0.110 -0.018  0.068 -0.083  0.026 -0.147  -0.016 -0.212  -0.058 -0.276  -0.100 -0.341  -0.142 -0.405  -0.184 -0.470  -0.226 -0.534  -0.270 -0.598  -0.321 -0.655  -0.372 -0.712  -0.424 -0.770  -0.475 -0.827  -0.526 -0.884  -0.577 -0.942  -0.629 -0.999  -0.680 -1.056  -0.731 -1.114  -0.783 -1.171  -0.834 -1.228  -0.885 -1.286  -0.937 -1.343  -0.988 -1.401  -1.039 -1.458
3#apb#apb21#app2168/.  -0.396 -1.638  -0.365 -1.576  -0.334 -1.513  -0.303 -1.451  -0.272 -1.389  -0.240 -1.326  -0.209 -1.264  -0.178 -1.201  -0.147 -1.139  -0.129 -1.072  -0.116 -1.003  -0.102 -0.935  -0.088 -0.867  -0.075 -0.798  -0.061 -0.730  -0.047 -0.661  -0.033 -0.593  -0.020 -0.525  -0.006 -0.456  0.008 -0.388  0.021 -0.319  0.035 -0.251  0.049 -0.182  0.062 -0.114  0.076 -0.046  0.090 0.023  0.103 0.091  0.116 0.160  0.116 0.229  0.116 0.299  0.116 0.369  0.116 0.439  0.116 0.508  0.116 0.578  0.116 0.648  0.116 0.718  0.116 0.788  0.116 0.857  0.116 0.927  0.116 0.997  0.116 1.067  0.116 1.136  0.116 1.206  0.116 1.276  0.116 1.346  0.116 1.415  0.116 1.485  0.116 1.555  0.116 1.625  0.116 1.694
1d#apa#apa20#app2035/.  0.548 1.600  0.548 1.512  0.548 1.425  0.548 1.337  0.548 1.249  0.548 1.162  0.548 1.074  0.548 0.986  0.548 0.899  0.548 0.811  0.548 0.723  0.548 0.636  0.548 0.548  0.548 0.460  0.548 0.373  0.548 0.285  0.548 0.197  0.548 0.110  0.548 0.022  0.548 -0.066  0.548 -0.153  0.548 -0.241  0.548 -0.329  0.548 -0.416  0.548 -0.504  0.504 -0.548  0.416 -0.548  0.329 -0.548  0.241 -0.548  0.153 -0.548  0.066 -0.548  -0.022 -0.548  -0.110 -0.548  -0.197 -0.548  -0.285 -0.548  -0.373 -0.548  -0.460 -0.548  -0.548 -0.548  -0.636 -0.548  -0.723 -0.548  -0.811 -0.548  -0.899 -0.548  -0.986 -0.548  -1.074 -0.548  -1.162 -0.548  -1.249 -0.548  -1.337 -0.548  -1.425 -0.548  -1.512 -0.548  -1.600 -0.548
1d#ced#knds0342_s_13/.  -1.498 0.608  -1.397 0.659  -1.295 0.710  -1.194 0.760  -1.091 0.802  -0.984 0.822  -0.889 0.885  -0.795 0.948  -0.724 0.967  -0.724 0.854  -0.724 0.741  -0.724 0.627  -0.724 0.514  -0.720 0.402  -0.684 0.294  -0.648 0.187  -0.628 0.077  -0.628 -0.036  -0.628 -0.149  -0.574 -0.246  -0.511 -0.340  -0.448 -0.435  -0.355 -0.495  -0.254 -0.545  -0.153 -0.596  -0.051 -0.647  0.061 -0.649  0.174 -0.649  0.288 -0.649  0.401 -0.649  0.514 -0.649  0.627 -0.649  0.737 -0.622  0.847 -0.594  0.957 -0.567  1.066 -0.536  1.173 -0.500  1.280 -0.464  1.306 -0.369  1.306 -0.256  1.288 -0.153  1.194 -0.090  1.099 -0.027  1.004 0.032  0.896 0.068  0.789 0.104  0.679 0.125  0.566 0.125  0.453 0.125  0.339 0.125
2#apb#apb18#app1815/.  1.163 1.347  1.039 1.382  0.914 1.417  0.790 1.450  0.663 1.473  0.536 1.496  0.407 1.495  0.285 1.467  0.183 1.391  0.122 1.277  0.076 1.157  0.044 1.032  0.013 0.907  -0.013 0.780  -0.037 0.654  -0.061 0.527  -0.085 0.400  -0.106 0.272  -0.125 0.145  -0.145 0.017  -0.164 -0.110  -0.186 -0.238  -0.210 -0.364  -0.234 -0.491  -0.258 -0.618  -0.280 -0.745  -0.297 -0.873  -0.314 -1.001  -0.331 -1.129  -0.355 -1.256  -0.380 -1.383  -0.341 -1.336  -0.277 -1.224  -0.212 -1.112  -0.147 -1.001  -0.083 -0.889  -0.018 -0.777  0.046 -0.665  0.111 -0.554  0.176 -0.442  0.240 -0.330  0.258 -0.257  0.136 -0.300  0.014 -0.343  -0.112 -0.371  -0.238 -0.398  -0.364 -0.425  -0.490 -0.454  -0.615 -0.484  -0.741 -0.514
2#apb#apb18#app1815/.  -1.044 1.361  -0.992 1.309  -0.941 1.257  -0.889 1.205  -0.837 1.154  -0.785 1.102  -0.734 1.050  -0.682 0.998  -0.630 0.947  -0.578 0.895  -0.527 0.843  -0.475 0.791  -0.423 0.740  -0.371 0.688  -0.320 0.636  -0.268 0.584  -0.216 0.533  -0.164 0.481  -0.113 0.429  -0.061 0.377  -0.009 0.326  0.043 0.274  0.094 0.222  0.146 0.170  0.198 0.119  0.250 0.067  0.301 0.015  0.353 -0.037  0.405 -0.088  0.441 -0.147  0.441 -0.220  0.441 -0.293  0.441 -0.366  0.441 -0.439  0.441 -0.513  0.441 -0.586  0.441 -0.659  0.441 -0.732  0.441 -0.805  0.441 -0.879  0.441 -0.952  0.441 -1.025  0.441 -1.098  0.441 -1.171  0.441 -1.245  0.441 -1.318  0.441 -1.391  0.441 -1.464  0.441 -1.537  0.441 -1.610
2#apa#apa00#app0049/.  0.337 1.296  0.231 1.296  0.126 1.296  0.021 1.296  -0.085 1.296  -0.190 1.296  -0.295 1.296  -0.374 1.231  -0.453 1.167  -0.558 1.167  -0.566 1.070  -0.566 0.965  -0.516 0.909  -0.437 0.883  -0.435 0.778  -0.361 0.704  -0.286 0.629  -0.212 0.555  -0.137 0.480  -0.063 0.406  0.012 0.331  0.086 0.257  0.161 0.182  0.225 0.101  0.272 0.007  0.319 -0.088  0.384 -0.169  0.458 -0.244  0.466 -0.346  0.497 -0.444  0.544 -0.538  0.592 -0.632  0.594 -0.737  0.594 -0.842  0.594 -0.948  0.575 -1.045  0.500 -1.119  0.409 -1.154  0.304 -1.154  0.199 -1.154  0.094 -1.154  -0.012 -1.154  -0.117 -1.154  -0.222 -1.154  -0.317 -1.137  -0.364 -1.042  -0.411 -0.948  -0.484 -0.896  -0.566 -0.873  -0.566 -0.767
1d#apa#apa02#app0299/.  0.526 -1.579  0.526 -1.403  0.526 -1.228  0.526 -1.052  0.526 -0.877  0.526 -0.702  0.526 -0.526  0.526 -0.351  0.526 -0.175  0.526 -0.000  0.526 0.175  0.526 0.351  0.526 0.526  0.395 0.570  0.219 0.570  0.044 0.570  -0.132 0.570  -0.307 0.570  -0.482 0.570  -0.658 0.570  -0.833 0.570  -1.009 0.570  -1.184 0.570  -1.359 0.570  -1.535 0.570  -1.535 0.570  -1.359 0.570  -1.184 0.570  -1.009 0.570  -0.833 0.570  -0.658 0.570  -0.482 0.570  -0.307 0.570  -0.132 0.570  0.044 0.570  0.219 0.570  0.395 0.570  0.526 0.526  0.526 0.351  0.526 0.175  0.526 -0.000  0.526 -0.175  0.526 -0.351  0.526 -0.526  0.526 -0.702  0.526 -0.877  0.526 -1.052  0.526 -1.228  0.526 -1.403  0.526 -1.579
2#tos#f2#f2024065/.  0.333 1.679  0.333 1.605  0.333 1.531  0.333 1.456  0.333 1.382  0.333 1.308  0.333 1.234  0.333 1.160  0.333 1.086  0.333 1.011  0.333 0.937  0.333 0.863  0.333 0.789  0.333 0.715  0.333 0.641  0.333 0.567  0.333 0.492  0.333 0.418  0.333 0.344  0.333 0.270  0.330 0.197  0.277 0.145  0.225 0.092  0.172 0.040  0.120 -0.013  0.068 -0.065  0.015 -0.118  -0.037 -0.170  -0.090 -0.222  -0.142 -0.275  -0.195 -0.327  -0.247 -0.380  -0.299 -0.432  -0.352 -0.485  -0.404 -0.537  -0.407 -0.610  -0.407 -0.684  -0.407 -0.758  -0.407 -0.833  -0.407 -0.907  -0.407 -0.981  -0.407 -1.055  -0.407 -1.129  -0.407 -1.203  -0.407 -1.278  -0.407 -1.352  -0.407 -1.426  -0.407 -1.500  -0.407 -1.574  -0.407 -1.648
