2#tos#t1#t1006065/\"  -0.785 1.068  -0.924 1.050  -0.924 0.893  -0.924 0.736  -0.924 0.579  -0.924 0.422  -0.912 0.266  -0.862 0.117  -0.855 -0.038  -0.855 -0.195  -0.855 -0.353  -0.855 -0.510  -0.855 -0.667  -0.855 -0.824  -0.855 -0.981  -0.804 -0.948  -0.678 -0.892  -0.590 -0.761  -0.503 -0.630  -0.416 -0.499  -0.329 -0.369  -0.242 -0.238  -0.155 -0.107  -0.068 0.023  0.019 0.154  0.107 0.285  0.194 0.415  0.281 0.546  0.368 0.677  0.455 0.807  0.542 0.938  0.629 1.069  0.605 1.132  0.605 0.975  0.605 0.818  0.632 0.667  0.675 0.520  0.675 0.363  0.743 0.235  0.745 0.078  0.745 -0.079  0.782 -0.221  0.814 -0.364  0.814 -0.522  0.869 -0.656  0.953 -0.737  0.953 -0.894  0.953 -1.051  1.023 -1.139  1.162 -1.157
2#tos#t1#t1006065/{  0.595 1.377  0.486 1.377  0.376 1.377  0.267 1.377  0.158 1.377  0.098 1.328  0.002 1.314  -0.071 1.278  -0.121 1.204  -0.195 1.155  -0.195 1.045  -0.195 0.936  -0.195 0.827  -0.177 0.735  -0.121 0.661  -0.066 0.587  -0.047 0.496  0.002 0.436  0.002 0.327  0.002 0.218  0.002 0.108  -0.092 0.093  -0.152 0.044  -0.256 0.032  -0.319 0.044  -0.343 0.148  -0.278 0.192  -0.218 0.143  -0.195 0.056  -0.146 -0.004  -0.146 -0.113  -0.146 -0.222  -0.133 -0.328  -0.096 -0.429  -0.096 -0.538  -0.096 -0.648  -0.093 -0.756  -0.059 -0.860  -0.047 -0.968  -0.047 -1.077  -0.015 -1.173  0.002 -1.275  0.048 -1.339  0.052 -1.444  0.118 -1.487  0.228 -1.487  0.316 -1.536  0.426 -1.536  0.535 -1.536  0.644 -1.536
2#tos#t1#t1006065/}  -0.409 1.505  -0.455 1.458  -0.452 1.368  -0.359 1.368  -0.266 1.368  -0.174 1.368  -0.127 1.322  -0.080 1.277  0.002 1.265  0.014 1.185  0.047 1.125  0.047 1.033  0.035 0.945  0.002 0.866  0.002 0.774  0.002 0.681  0.002 0.588  0.002 0.496  -0.005 0.410  -0.044 0.356  -0.044 0.263  -0.044 0.170  -0.044 0.078  -0.017 -0.009  0.002 -0.097  0.006 -0.188  0.081 -0.229  0.174 -0.229  0.184 -0.147  0.121 -0.172  0.084 -0.257  0.054 -0.345  0.047 -0.436  0.065 -0.521  0.093 -0.603  0.138 -0.650  0.138 -0.742  0.151 -0.822  0.184 -0.882  0.184 -0.975  0.184 -1.068  0.184 -1.160  0.184 -1.253  0.184 -1.346  0.138 -1.419  0.134 -1.509  0.051 -1.551  -0.041 -1.553  -0.134 -1.553  -0.227 -1.553
2#tos#t1#t1006065/1  -0.025 1.286  -0.076 1.207  -0.101 1.083  -0.160 0.966  -0.177 0.840  -0.277 0.763  -0.330 0.661  -0.330 0.531  -0.300 0.540  -0.247 0.659  -0.194 0.778  -0.141 0.897  -0.089 1.017  -0.036 1.136  0.017 1.255  0.070 1.374  0.026 1.324  0.026 1.194  0.040 1.069  0.077 0.954  0.077 0.824  0.077 0.694  0.077 0.563  0.077 0.433  0.077 0.303  0.077 0.172  0.077 0.042  0.077 -0.088  0.077 -0.218  0.077 -0.349  0.127 -0.428  0.127 -0.559  0.127 -0.689  0.127 -0.819  0.127 -0.949  0.127 -1.080  0.070 -1.159  -0.059 -1.173  -0.189 -1.188  -0.318 -1.202  -0.415 -1.203  -0.330 -1.249  -0.205 -1.254  -0.074 -1.254  0.056 -1.254  0.186 -1.254  0.306 -1.280  0.426 -1.305  0.556 -1.305  0.686 -1.305
2#tos#t1#t1006065/5  -0.328 1.365  -0.417 1.263  -0.372 1.117  -0.372 0.926  -0.372 0.735  -0.372 0.544  -0.372 0.354  -0.372 0.163  -0.370 -0.026  -0.197 0.015  -0.007 0.019  0.184 0.019  0.375 0.019  0.521 -0.026  0.612 -0.159  0.739 -0.251  0.794 -0.386  0.839 -0.532  0.839 -0.723  0.794 -0.896  0.749 -1.042  0.605 -1.157  0.474 -1.237  0.345 -1.334  0.198 -1.385  0.065 -1.462  -0.107 -1.417  -0.254 -1.311  -0.383 -1.204  -0.417 -1.038  -0.552 -0.955  -0.597 -0.775  -0.597 -0.584  -0.619 -0.441  -0.568 -0.257  -0.516 -0.073  -0.464 0.110  -0.412 0.294  -0.360 0.478  -0.308 0.662  -0.257 0.845  -0.205 1.029  -0.153 1.213  -0.234 1.108  -0.060 1.095  0.131 1.095  0.321 1.095  0.502 1.051  0.693 1.051  0.839 1.006
2#tos#t1#t1006065/6  0.561 1.749  0.505 1.611  0.383 1.564  0.262 1.499  0.160 1.394  0.063 1.287  -0.039 1.186  -0.170 1.149  -0.270 1.045  -0.317 0.924  -0.409 0.848  -0.498 0.735  -0.501 0.569  -0.508 0.403  -0.594 0.271  -0.594 0.103  -0.640 -0.019  -0.682 -0.145  -0.686 -0.309  -0.686 -0.478  -0.686 -0.646  -0.640 -0.803  -0.612 -0.959  -0.479 -1.045  -0.336 -1.118  -0.181 -1.162  -0.059 -1.208  0.109 -1.208  0.277 -1.208  0.435 -1.189  0.540 -1.069  0.669 -0.977  0.745 -0.884  0.775 -0.746  0.803 -0.602  0.885 -0.484  0.885 -0.316  0.838 -0.167  0.700 -0.138  0.663 -0.007  0.542 0.045  0.378 0.085  0.210 0.086  0.135 0.178  -0.033 0.178  -0.202 0.178  -0.315 0.090  -0.388 -0.007  -0.494 -0.092  -0.501 -0.191
2#tos#t1#t1006065/7  -0.710 0.749  -0.826 0.661  -0.826 0.510  -0.803 0.366  -0.748 0.232  -0.748 0.082  -0.748 -0.069  -0.722 -0.208  -0.651 -0.128  -0.619 0.020  -0.588 0.167  -0.556 0.314  -0.525 0.461  -0.493 0.609  -0.462 0.756  -0.477 0.865  -0.551 0.759  -0.431 0.710  -0.280 0.710  -0.130 0.710  0.021 0.710  0.171 0.710  0.322 0.710  0.467 0.724  0.591 0.788  0.741 0.788  0.891 0.782  1.033 0.749  0.934 0.671  0.878 0.553  0.834 0.419  0.792 0.284  0.709 0.180  0.628 0.090  0.592 -0.038  0.567 -0.184  0.500 -0.315  0.429 -0.438  0.376 -0.573  0.321 -0.701  0.246 -0.830  0.196 -0.969  0.131 -1.097  0.081 -1.236  0.041 -1.379  -0.047 -1.496  -0.089 -1.607  -0.089 -1.757  -0.167 -1.853  -0.206 -1.965
2#tos#t1#t1006065/A  -0.155 1.549  -0.238 1.350  -0.238 1.069  -0.279 0.798  -0.344 0.536  -0.403 0.269  -0.470 0.024  -0.485 -0.242  -0.526 -0.507  -0.637 -0.677  -0.670 -0.924  -0.732 -1.175  -0.749 -1.237  -0.684 -0.963  -0.618 -0.690  -0.553 -0.417  -0.487 -0.143  -0.421 0.130  -0.356 0.403  -0.290 0.677  -0.225 0.950  -0.159 1.224  -0.093 1.497  -0.047 1.755  -0.114 1.540  -0.084 1.272  0.010 1.046  0.156 0.835  0.216 0.577  0.347 0.421  0.439 0.172  0.515 -0.079  0.628 -0.302  0.669 -0.574  0.814 -0.763  0.875 -1.000  0.917 -1.272  1.081 -1.419  0.876 -1.226  0.671 -1.034  0.466 -0.841  0.262 -0.649  0.057 -0.456  -0.148 -0.264  -0.378 -0.160  -0.232 -0.182  0.032 -0.224  0.313 -0.224  0.594 -0.224  0.875 -0.224
2#tos#t1#t1006065/D  -0.274 1.122  -0.408 1.052  -0.408 0.850  -0.408 0.647  -0.408 0.444  -0.452 0.260  -0.494 0.064  -0.496 -0.138  -0.496 -0.341  -0.543 -0.525  -0.585 -0.717  -0.585 -0.920  -0.585 -1.123  -0.585 -1.317  -0.571 -1.114  -0.556 -0.912  -0.542 -0.710  -0.527 -0.508  -0.513 -0.306  -0.498 -0.104  -0.484 0.099  -0.469 0.301  -0.455 0.503  -0.441 0.705  -0.426 0.907  -0.412 1.109  -0.484 1.122  -0.326 1.077  -0.167 1.033  0.035 1.033  0.212 0.945  0.415 0.944  0.529 0.855  0.703 0.792  0.842 0.678  0.925 0.557  0.969 0.399  1.006 0.233  1.026 0.043  1.058 -0.146  1.008 -0.299  0.969 -0.463  0.880 -0.611  0.825 -0.766  0.719 -0.905  0.589 -1.023  0.481 -1.141  0.324 -1.188  0.136 -1.222  -0.052 -1.276
2#tos#t1#t1006065/E  -0.411 1.140  -0.359 1.067  -0.131 1.067  0.082 1.103  0.310 1.103  0.539 1.103  0.761 1.067  0.952 1.103  0.768 1.088  0.540 1.072  0.313 1.055  0.085 1.038  -0.142 1.022  -0.369 1.005  -0.575 0.939  -0.593 0.792  -0.593 0.564  -0.593 0.336  -0.593 0.108  -0.557 -0.105  -0.557 -0.333  -0.557 -0.561  -0.557 -0.790  -0.592 -0.966  -0.554 -0.741  -0.517 -0.516  -0.479 -0.291  -0.442 -0.066  -0.448 0.107  -0.368 0.083  -0.155 0.047  0.073 0.047  0.302 0.047  0.530 0.047  0.377 -0.107  0.213 -0.265  0.048 -0.423  -0.116 -0.581  -0.280 -0.739  -0.457 -0.869  -0.472 -1.010  -0.259 -1.047  -0.031 -1.047  0.197 -1.047  0.389 -1.083  0.617 -1.083  0.845 -1.083  1.073 -1.083  1.256 -1.156  1.484 -1.156
2#tos#t1#t1006065/F  -0.527 0.963  -0.458 0.924  -0.281 0.885  -0.096 0.885  0.090 0.885  0.276 0.885  0.461 0.885  0.647 0.885  0.833 0.885  1.018 0.885  0.891 0.924  0.705 0.924  0.519 0.924  0.334 0.924  0.148 0.924  -0.038 0.924  -0.223 0.924  -0.409 0.924  -0.566 0.895  -0.545 0.730  -0.527 0.563  -0.488 0.416  -0.488 0.230  -0.488 0.045  -0.488 -0.141  -0.488 -0.327  -0.488 -0.512  -0.449 -0.689  -0.414 -0.860  -0.410 -1.044  -0.410 -1.230  -0.410 -1.415  -0.410 -1.601  -0.392 -1.575  -0.359 -1.392  -0.327 -1.209  -0.295 -1.026  -0.263 -0.844  -0.230 -0.661  -0.198 -0.478  -0.235 -0.387  -0.130 -0.436  0.055 -0.436  0.241 -0.436  0.427 -0.436  0.612 -0.436  0.798 -0.436  0.984 -0.436  1.153 -0.397  1.339 -0.397
2#tos#t1#t1006065/H  -1.004 0.822  -1.035 0.754  -0.969 0.648  -0.937 0.482  -0.937 0.311  -0.937 0.140  -0.937 -0.031  -0.941 -0.201  -0.970 -0.367  -0.970 -0.538  -0.970 -0.709  -0.970 -0.880  -0.915 -0.996  -0.890 -0.838  -0.851 -0.672  -0.812 -0.505  -0.773 -0.339  -0.735 -0.172  -0.696 -0.006  -0.689 0.073  -0.558 0.047  -0.387 0.047  -0.216 0.047  -0.045 0.047  0.120 0.061  0.269 0.115  0.406 0.148  0.544 0.115  0.631 0.148  0.678 0.312  0.726 0.476  0.774 0.640  0.821 0.805  0.869 0.969  0.905 1.124  0.780 1.020  0.813 0.883  0.813 0.712  0.813 0.541  0.813 0.370  0.813 0.199  0.813 0.028  0.813 -0.143  0.813 -0.314  0.813 -0.485  0.847 -0.649  0.847 -0.820  0.847 -0.991  0.847 -1.162  0.914 -1.265
2#tos#t1#t1006065/I  -0.447 1.207  -0.490 1.129  -0.557 1.090  -0.436 1.090  -0.315 1.090  -0.200 1.115  -0.082 1.129  0.011 1.196  0.127 1.207  0.248 1.207  0.369 1.207  0.336 1.129  0.255 1.181  0.136 1.201  0.100 1.122  0.038 1.027  0.022 0.912  0.061 0.831  0.061 0.710  0.061 0.589  0.061 0.468  0.061 0.347  0.061 0.226  0.061 0.105  0.061 -0.016  0.061 -0.137  0.061 -0.258  0.061 -0.379  0.061 -0.500  0.061 -0.621  0.061 -0.742  0.061 -0.863  0.061 -0.983  0.017 -1.052  -0.102 -1.032  -0.221 -1.013  -0.341 -0.993  -0.452 -1.011  -0.525 -1.093  -0.449 -1.060  -0.328 -1.060  -0.216 -1.099  -0.095 -1.099  0.025 -1.099  0.133 -1.066  0.251 -1.060  0.372 -1.060  0.493 -1.060  0.613 -1.062  0.726 -1.099
2#tos#t1#t1006065/L  -0.496 1.647  -0.536 1.569  -0.536 1.475  -0.536 1.380  -0.536 1.285  -0.536 1.190  -0.536 1.096  -0.536 1.001  -0.536 0.906  -0.536 0.811  -0.536 0.716  -0.536 0.622  -0.536 0.527  -0.536 0.432  -0.496 0.354  -0.496 0.260  -0.496 0.165  -0.507 0.073  -0.536 -0.015  -0.536 -0.110  -0.536 -0.205  -0.536 -0.299  -0.536 -0.394  -0.536 -0.489  -0.536 -0.584  -0.498 -0.640  -0.414 -0.629  -0.390 -0.558  -0.295 -0.558  -0.200 -0.558  -0.108 -0.548  -0.022 -0.509  0.068 -0.479  0.162 -0.477  0.257 -0.477  0.352 -0.477  0.447 -0.477  0.541 -0.477  0.636 -0.477  0.731 -0.477  0.826 -0.477  0.877 -0.530  0.965 -0.558  1.060 -0.558  1.154 -0.558  1.249 -0.558  1.344 -0.558  1.398 -0.599  1.493 -0.599  1.587 -0.599
2#tos#t1#t1006065/N  -0.756 -0.905  -0.856 -1.038  -0.877 -0.937  -0.877 -0.770  -0.918 -0.644  -0.918 -0.478  -0.877 -0.328  -0.877 -0.162  -0.877 0.004  -0.877 0.171  -0.877 0.337  -0.877 0.504  -0.877 0.670  -0.837 0.796  -0.837 0.962  -0.756 1.048  -0.675 1.025  -0.553 0.957  -0.500 0.810  -0.398 0.681  -0.351 0.527  -0.238 0.449  -0.212 0.292  -0.108 0.185  -0.040 0.040  0.025 -0.078  0.126 -0.208  0.167 -0.338  0.277 -0.419  0.378 -0.508  0.415 -0.659  0.491 -0.806  0.589 -0.905  0.662 -1.023  0.784 -1.067  0.869 -0.986  0.905 -0.855  0.905 -0.689  0.864 -0.539  0.864 -0.373  0.864 -0.206  0.864 -0.040  0.864 0.127  0.864 0.293  0.833 0.452  0.824 0.616  0.824 0.783  0.824 0.949  0.860 1.079  0.905 1.201
2#tos#t1#t1006065/P  -0.094 0.973  -0.260 0.942  -0.293 0.839  -0.172 0.895  -0.015 0.928  0.155 0.928  0.325 0.928  0.495 0.928  0.665 0.928  0.835 0.928  0.934 0.795  1.041 0.706  1.107 0.568  1.107 0.398  1.052 0.251  0.906 0.193  0.773 0.104  0.630 0.039  0.549 -0.050  0.423 -0.095  0.270 -0.149  0.154 -0.228  -0.005 -0.273  -0.138 -0.310  -0.210 -0.202  -0.250 -0.037  -0.290 0.129  -0.329 0.294  -0.369 0.460  -0.409 0.625  -0.448 0.790  -0.522 0.682  -0.521 0.617  -0.494 0.474  -0.494 0.304  -0.494 0.134  -0.494 -0.036  -0.494 -0.206  -0.494 -0.376  -0.450 -0.539  -0.405 -0.699  -0.405 -0.869  -0.405 -1.039  -0.403 -1.207  -0.360 -1.335  -0.360 -1.505  -0.360 -1.675  -0.360 -1.845  -0.353 -2.008  -0.272 -2.096
2#tos#t1#t1006065/Q  0.466 1.056  0.264 1.106  0.061 1.156  -0.141 1.207  -0.387 1.200  -0.537 1.069  -0.715 0.956  -0.837 0.758  -0.916 0.554  -0.989 0.345  -1.039 0.101  -1.039 -0.152  -1.039 -0.404  -0.943 -0.597  -0.853 -0.800  -0.751 -0.951  -0.638 -1.119  -0.418 -1.151  -0.165 -1.151  -0.021 -1.001  0.091 -0.798  0.241 -0.599  0.265 -0.352  0.427 -0.187  0.466 0.049  0.516 0.290  0.516 0.543  0.516 0.795  0.424 0.956  0.265 1.049  0.140 0.845  0.011 0.628  -0.117 0.410  -0.246 0.193  -0.375 -0.024  -0.504 -0.241  -0.487 -0.233  -0.370 -0.098  -0.268 0.053  -0.016 0.053  0.129 -0.080  0.215 -0.289  0.316 -0.500  0.548 -0.590  0.716 -0.749  0.968 -0.750  1.220 -0.750  1.467 -0.726  1.692 -0.628  1.871 -0.449
2#tos#t1#t1006065/R  -0.492 1.159  -0.322 1.201  -0.110 1.201  0.103 1.201  0.263 1.117  0.408 1.035  0.472 0.871  0.391 0.740  0.288 0.572  0.128 0.488  -0.057 0.404  -0.227 0.363  -0.429 0.321  -0.507 0.384  -0.555 0.591  -0.604 0.797  -0.652 1.003  -0.701 0.861  -0.701 0.649  -0.701 0.437  -0.701 0.225  -0.719 0.016  -0.743 -0.192  -0.743 -0.404  -0.743 -0.616  -0.743 -0.828  -0.724 -1.020  -0.659 -1.168  -0.559 -1.024  -0.449 -0.843  -0.338 -0.663  -0.228 -0.482  -0.117 -0.301  -0.006 -0.120  0.104 0.061  0.215 0.242  0.149 0.283  0.137 0.079  0.221 -0.049  0.299 -0.182  0.421 -0.308  0.514 -0.476  0.655 -0.590  0.744 -0.769  0.921 -0.853  1.043 -0.979  1.236 -1.041  1.441 -1.065  1.604 -1.144  1.772 -1.188
2#tos#t1#t1006065/T  -0.773 0.856  -0.886 0.856  -0.941 0.799  -0.940 0.688  -0.827 0.688  -0.714 0.688  -0.602 0.688  -0.489 0.688  -0.376 0.688  -0.266 0.666  -0.156 0.646  -0.044 0.646  0.069 0.646  0.182 0.646  0.294 0.646  0.387 0.701  0.492 0.730  0.605 0.730  0.697 0.751  0.732 0.812  0.623 0.781  0.515 0.750  0.407 0.719  0.299 0.688  0.190 0.657  0.088 0.625  0.067 0.521  0.067 0.409  0.067 0.296  0.067 0.183  0.067 0.071  0.067 -0.042  0.067 -0.155  0.067 -0.267  0.067 -0.380  0.067 -0.493  0.067 -0.605  0.067 -0.718  0.067 -0.831  0.067 -0.943  0.067 -1.056  0.067 -1.168  0.067 -1.281  0.067 -1.394  0.067 -1.506  0.025 -1.602  0.025 -1.714  0.025 -1.827  0.025 -1.940  0.067 -2.042
