2#tos#f1#f1050060/\"  -0.706 1.077  -0.873 1.077  -0.913 0.949  -1.001 0.870  -0.901 0.823  -0.860 0.660  -0.820 0.498  -0.706 0.436  -0.706 0.269  -0.706 0.101  -0.706 -0.066  -0.706 -0.233  -0.706 -0.400  -0.664 -0.557  -0.603 -0.710  -0.603 -0.877  -0.603 -1.044  -0.603 -1.211  -0.567 -1.227  -0.492 -1.077  -0.417 -0.928  -0.343 -0.778  -0.268 -0.629  -0.193 -0.479  -0.118 -0.330  -0.044 -0.180  0.031 -0.031  0.106 0.119  0.181 0.268  0.255 0.418  0.330 0.567  0.405 0.717  0.480 0.866  0.554 1.016  0.629 1.165  0.636 1.029  0.636 0.862  0.636 0.695  0.697 0.542  0.791 0.406  0.843 0.260  0.843 0.093  0.843 -0.074  0.843 -0.241  0.907 -0.393  0.981 -0.543  1.049 -0.694  1.049 -0.861  1.049 -1.028  1.049 -1.195
2#tos#f1#f1050060/;  -0.362 1.341  -0.420 1.282  -0.441 1.221  -0.439 1.227  -0.358 1.238  -0.276 1.250  -0.195 1.262  -0.113 1.273  -0.092 1.281  -0.122 1.228  -0.122 1.146  -0.122 1.064  -0.104 0.984  -0.079 0.906  -0.054 0.827  -0.029 0.749  -0.004 0.670  0.021 0.592  0.046 0.513  0.071 0.435  0.096 0.356  0.121 0.278  0.146 0.199  0.171 0.121  0.196 0.042  0.221 -0.036  0.246 -0.114  0.271 -0.193  0.296 -0.271  0.222 -0.278  0.178 -0.316  0.178 -0.398  0.118 -0.421  0.118 -0.503  0.118 -0.585  0.118 -0.668  0.118 -0.750  0.118 -0.832  0.118 -0.915  0.118 -0.997  0.098 -1.077  0.078 -1.157  0.058 -1.237  0.013 -1.305  -0.033 -1.374  -0.062 -1.447  -0.062 -1.530  -0.062 -1.612  -0.062 -1.694  -0.062 -1.777
2#tos#f1#f1050060/<  0.776 1.372  0.671 1.372  0.566 1.372  0.461 1.372  0.356 1.372  0.268 1.345  0.221 1.251  0.136 1.194  0.056 1.133  0.009 1.039  -0.038 0.945  -0.085 0.851  -0.132 0.757  -0.168 0.658  -0.202 0.559  -0.271 0.486  -0.358 0.428  -0.436 0.361  -0.483 0.267  -0.496 0.165  -0.518 0.067  -0.577 -0.021  -0.635 -0.108  -0.668 -0.182  -0.773 -0.182  -0.849 -0.211  -0.849 -0.316  -0.821 -0.394  -0.716 -0.394  -0.611 -0.394  -0.506 -0.394  -0.453 -0.479  -0.383 -0.535  -0.278 -0.535  -0.174 -0.548  -0.075 -0.581  0.022 -0.621  0.109 -0.679  0.197 -0.738  0.299 -0.747  0.389 -0.784  0.463 -0.858  0.522 -0.944  0.574 -1.030  0.679 -1.030  0.784 -1.030  0.877 -1.060  0.951 -1.134  1.036 -1.195  1.130 -1.242
2#tos#f1#f1050060/?  -0.493 1.367  -0.417 1.367  -0.340 1.367  -0.264 1.367  -0.187 1.367  -0.140 1.337  -0.135 1.266  -0.058 1.266  0.001 1.226  0.055 1.171  0.061 1.097  0.061 1.021  0.061 0.944  0.061 0.868  0.061 0.791  0.061 0.715  0.061 0.638  0.061 0.562  0.028 0.493  -0.006 0.425  -0.039 0.356  -0.039 0.279  -0.041 0.203  -0.065 0.131  -0.089 0.058  -0.090 -0.018  -0.090 -0.095  -0.090 -0.172  -0.090 -0.248  -0.090 -0.325  -0.090 -0.401  -0.090 -0.478  -0.085 -0.551  -0.017 -0.586  0.011 -0.645  0.026 -0.715  0.069 -0.776  0.092 -0.849  0.114 -0.922  0.137 -0.995  0.159 -1.068  0.182 -1.142  0.204 -1.215  0.227 -1.288  0.249 -1.361  0.263 -1.435  0.224 -1.496  0.186 -1.561  0.162 -1.632  0.162 -1.709
2#tos#f1#f1050060/|  -0.095 1.492  -0.169 1.492  -0.243 1.492  -0.295 1.471  -0.250 1.442  -0.245 1.373  -0.245 1.298  -0.245 1.224  -0.245 1.150  -0.199 1.095  -0.187 1.025  -0.154 0.959  -0.145 0.887  -0.145 0.812  -0.145 0.738  -0.145 0.664  -0.145 0.590  -0.145 0.516  -0.145 0.442  -0.118 0.373  -0.091 0.304  -0.063 0.235  -0.036 0.167  -0.008 0.098  0.019 0.029  0.047 -0.040  0.074 -0.108  0.102 -0.177  0.129 -0.246  0.157 -0.315  0.184 -0.384  0.212 -0.452  0.239 -0.521  0.227 -0.563  0.182 -0.610  0.156 -0.678  0.156 -0.752  0.156 -0.826  0.156 -0.901  0.156 -0.975  0.156 -1.049  0.156 -1.123  0.156 -1.197  0.156 -1.271  0.156 -1.345  0.156 -1.419  0.156 -1.493  0.156 -1.567  0.156 -1.641  0.156 -1.716
2#tos#f1#f1050060/}  -0.638 1.532  -0.535 1.532  -0.435 1.548  -0.339 1.575  -0.251 1.559  -0.198 1.478  -0.165 1.389  -0.165 1.285  -0.165 1.182  -0.165 1.079  -0.165 0.976  -0.165 0.873  -0.165 0.770  -0.165 0.667  -0.165 0.563  -0.165 0.460  -0.165 0.357  -0.147 0.256  -0.121 0.157  -0.037 0.106  -0.018 0.011  0.075 -0.014  0.178 -0.014  0.281 -0.014  0.342 0.056  0.308 0.115  0.205 0.115  0.144 0.047  0.052 0.029  0.043 -0.070  0.006 -0.164  0.006 -0.267  0.006 -0.371  0.028 -0.465  0.049 -0.559  0.126 -0.605  0.135 -0.705  0.178 -0.765  0.199 -0.861  0.257 -0.947  0.264 -1.048  0.307 -1.108  0.307 -1.211  0.294 -1.302  0.264 -1.375  0.219 -1.435  0.173 -1.527  0.117 -1.602  0.013 -1.602  -0.037 -1.688
2#tos#f1#f1050060/1  -0.324 1.654  -0.274 1.604  -0.274 1.534  -0.255 1.468  -0.224 1.405  -0.192 1.342  -0.168 1.277  -0.151 1.209  -0.134 1.141  -0.116 1.072  -0.099 1.004  -0.082 0.936  -0.077 0.866  -0.077 0.796  -0.077 0.726  -0.077 0.655  -0.077 0.585  -0.077 0.515  -0.077 0.444  -0.077 0.374  -0.077 0.304  -0.077 0.233  -0.067 0.164  -0.055 0.094  -0.044 0.025  -0.032 -0.044  -0.012 -0.111  0.014 -0.177  0.040 -0.242  0.066 -0.307  0.071 -0.377  0.071 -0.447  0.071 -0.517  0.071 -0.588  0.071 -0.658  0.075 -0.728  0.098 -0.794  0.120 -0.861  0.134 -0.930  0.148 -0.999  0.162 -1.068  0.170 -1.137  0.170 -1.208  0.170 -1.278  0.170 -1.348  0.214 -1.401  0.263 -1.450  0.284 -1.517  0.301 -1.585  0.318 -1.653
2#tos#f1#f1050060/2  -0.731 1.165  -0.846 1.142  -0.828 1.202  -0.709 1.211  -0.614 1.283  -0.508 1.346  -0.385 1.349  -0.260 1.349  -0.151 1.299  -0.044 1.236  0.036 1.148  0.092 1.037  0.142 0.924  0.142 0.800  0.142 0.675  0.142 0.550  0.142 0.426  0.142 0.301  0.142 0.177  0.097 0.063  0.050 -0.053  0.004 -0.168  -0.065 -0.272  -0.140 -0.370  -0.179 -0.488  -0.282 -0.558  -0.346 -0.649  -0.446 -0.723  -0.556 -0.765  -0.681 -0.765  -0.805 -0.765  -0.717 -0.765  -0.592 -0.765  -0.468 -0.765  -0.346 -0.744  -0.226 -0.719  -0.101 -0.719  0.023 -0.719  0.148 -0.719  0.272 -0.719  0.397 -0.719  0.521 -0.719  0.646 -0.719  0.748 -0.665  0.857 -0.627  0.982 -0.627  1.106 -0.627  1.228 -0.603  1.351 -0.581  1.475 -0.581
2#tos#f1#f1050060/5  -0.559 1.649  -0.645 1.543  -0.624 1.353  -0.602 1.163  -0.602 0.971  -0.602 0.779  -0.585 0.589  -0.559 0.399  -0.559 0.207  -0.559 0.015  -0.559 -0.177  -0.559 -0.369  -0.455 -0.418  -0.315 -0.324  -0.125 -0.310  0.064 -0.277  0.256 -0.277  0.405 -0.320  0.554 -0.363  0.678 -0.488  0.811 -0.585  0.854 -0.767  0.723 -0.880  0.608 -1.033  0.442 -1.126  0.303 -1.257  0.129 -1.301  -0.019 -1.420  -0.197 -1.476  -0.227 -1.304  -0.238 -1.113  -0.249 -0.921  -0.260 -0.730  -0.271 -0.538  -0.282 -0.347  -0.293 -0.155  -0.304 0.036  -0.315 0.228  -0.326 0.419  -0.337 0.611  -0.293 0.750  -0.101 0.750  0.091 0.750  0.282 0.750  0.460 0.785  0.631 0.836  0.822 0.836  1.002 0.889  1.186 0.921  1.325 1.050
2#tos#f1#f1050060/9  0.421 0.792  0.286 0.831  0.144 0.843  0.080 0.977  -0.062 1.018  -0.131 1.119  -0.278 1.143  -0.429 1.143  -0.560 1.116  -0.605 0.974  -0.739 0.912  -0.748 0.767  -0.829 0.660  -0.865 0.528  -0.865 0.377  -0.851 0.232  -0.826 0.091  -0.745 -0.034  -0.637 -0.105  -0.549 -0.222  -0.398 -0.222  -0.247 -0.222  -0.147 -0.133  -0.025 -0.044  0.082 0.063  0.218 0.117  0.304 0.216  0.306 0.366  0.382 0.494  0.382 0.645  0.382 0.709  0.382 0.558  0.382 0.407  0.382 0.256  0.382 0.105  0.382 -0.046  0.382 -0.197  0.382 -0.348  0.382 -0.499  0.382 -0.651  0.382 -0.802  0.382 -0.953  0.382 -1.104  0.382 -1.255  0.382 -1.406  0.382 -1.557  0.385 -1.707  0.460 -1.836  0.476 -1.984  0.499 -2.131
2#tos#f1#f1050060/A  -0.829 -1.303  -0.928 -1.321  -0.896 -1.113  -0.815 -0.919  -0.736 -0.724  -0.689 -0.518  -0.653 -0.310  -0.596 -0.106  -0.550 0.100  -0.507 0.307  -0.462 0.513  -0.367 0.702  -0.268 0.887  -0.236 1.096  -0.142 1.285  -0.010 1.442  0.047 1.638  0.215 1.745  0.306 1.593  0.416 1.416  0.446 1.206  0.473 0.997  0.482 0.786  0.528 0.587  0.580 0.390  0.580 0.178  0.603 -0.029  0.646 -0.234  0.646 -0.446  0.730 -0.629  0.758 -0.834  0.801 -1.033  0.842 -1.228  0.683 -1.114  0.516 -0.984  0.349 -0.854  0.182 -0.725  0.015 -0.595  -0.152 -0.465  -0.318 -0.335  -0.485 -0.205  -0.658 -0.091  -0.790 -0.156  -0.578 -0.156  -0.367 -0.156  -0.155 -0.156  0.024 -0.058  0.235 -0.058  0.440 -0.022  0.646 0.008
2#tos#f1#f1050060/D  -0.478 1.015  -0.478 0.983  -0.478 0.798  -0.512 0.617  -0.516 0.433  -0.516 0.248  -0.516 0.064  -0.516 -0.121  -0.516 -0.305  -0.516 -0.490  -0.516 -0.674  -0.516 -0.859  -0.516 -1.043  -0.516 -0.939  -0.516 -0.754  -0.516 -0.570  -0.516 -0.385  -0.516 -0.201  -0.516 -0.016  -0.516 0.168  -0.516 0.353  -0.516 0.537  -0.516 0.722  -0.467 0.867  -0.369 0.991  -0.232 1.069  -0.072 1.129  0.112 1.129  0.297 1.129  0.477 1.103  0.644 1.026  0.766 0.892  0.872 0.746  1.005 0.622  1.066 0.452  1.086 0.269  1.086 0.085  1.084 -0.100  1.041 -0.279  0.998 -0.458  0.900 -0.608  0.742 -0.704  0.646 -0.846  0.481 -0.928  0.369 -1.074  0.195 -1.131  0.023 -1.195  -0.152 -1.236  -0.334 -1.257  -0.516 -1.274
2#tos#f1#f1050060/F  -0.666 1.033  -0.576 1.033  -0.416 1.033  -0.256 1.033  -0.097 1.033  0.063 1.033  0.223 1.033  0.382 1.033  0.542 1.033  0.702 1.033  0.852 1.067  0.692 1.067  0.532 1.067  0.373 1.067  0.213 1.067  0.053 1.067  -0.106 1.067  -0.217 1.018  -0.217 0.859  -0.217 0.699  -0.217 0.539  -0.217 0.380  -0.217 0.220  -0.217 0.061  -0.217 -0.099  -0.217 -0.259  -0.217 -0.418  -0.209 -0.577  -0.150 -0.725  -0.148 -0.884  -0.148 -1.044  -0.130 -1.202  -0.114 -1.361  -0.114 -1.520  -0.081 -1.651  -0.119 -1.496  -0.157 -1.341  -0.194 -1.186  -0.232 -1.031  -0.270 -0.876  -0.307 -0.720  -0.345 -0.565  -0.257 -0.566  -0.101 -0.591  0.059 -0.591  0.218 -0.591  0.378 -0.591  0.536 -0.578  0.694 -0.556  0.854 -0.556
2#tos#f1#f1050060/L  -0.132 0.807  -0.142 0.898  -0.194 0.976  -0.255 1.048  -0.307 1.126  -0.319 1.216  -0.319 1.310  -0.357 1.366  -0.432 1.353  -0.432 1.260  -0.432 1.166  -0.432 1.072  -0.432 0.978  -0.432 0.884  -0.432 0.790  -0.432 0.696  -0.432 0.602  -0.419 0.509  -0.404 0.416  -0.394 0.323  -0.394 0.229  -0.394 0.136  -0.394 0.042  -0.381 -0.050  -0.346 -0.137  -0.319 -0.226  -0.319 -0.320  -0.319 -0.414  -0.319 -0.508  -0.304 -0.595  -0.237 -0.661  -0.207 -0.743  -0.157 -0.816  -0.080 -0.856  0.005 -0.879  0.098 -0.879  0.192 -0.879  0.286 -0.879  0.380 -0.879  0.474 -0.879  0.568 -0.879  0.662 -0.879  0.756 -0.879  0.850 -0.879  0.944 -0.879  1.029 -0.842  1.123 -0.842  1.217 -0.842  1.311 -0.842  1.405 -0.842
2#tos#f1#f1050060/M  -0.552 -1.070  -0.703 -1.141  -0.853 -1.184  -0.893 -1.030  -0.893 -0.837  -0.893 -0.644  -0.893 -0.451  -0.893 -0.258  -0.893 -0.065  -0.893 0.128  -0.883 0.319  -0.813 0.499  -0.779 0.687  -0.779 0.880  -0.757 1.051  -0.607 0.991  -0.508 0.828  -0.448 0.648  -0.418 0.458  -0.371 0.273  -0.287 0.100  -0.269 -0.092  -0.202 -0.237  -0.135 -0.363  -0.119 -0.540  0.017 -0.576  0.072 -0.392  0.092 -0.203  0.148 -0.021  0.168 0.168  0.213 0.354  0.274 0.537  0.349 0.712  0.433 0.877  0.456 1.068  0.603 1.127  0.736 1.038  0.758 0.850  0.834 0.672  0.850 0.482  0.865 0.291  0.888 0.100  0.888 -0.093  0.932 -0.280  0.963 -0.468  0.972 -0.660  1.010 -0.850  1.039 -1.040  1.057 -1.229  1.115 -1.411
2#tos#f1#f1050060/O  -0.387 0.816  -0.423 0.914  -0.547 0.924  -0.657 0.885  -0.742 0.784  -0.745 0.651  -0.745 0.517  -0.745 0.383  -0.745 0.250  -0.745 0.116  -0.745 -0.018  -0.745 -0.152  -0.745 -0.286  -0.721 -0.417  -0.709 -0.550  -0.709 -0.683  -0.652 -0.804  -0.552 -0.888  -0.482 -0.999  -0.382 -1.072  -0.279 -1.154  -0.146 -1.154  -0.012 -1.154  0.122 -1.154  0.241 -1.126  0.330 -1.033  0.455 -0.986  0.580 -0.939  0.606 -0.808  0.660 -0.687  0.729 -0.572  0.797 -0.457  0.853 -0.336  0.867 -0.205  0.867 -0.071  0.867 0.063  0.867 0.197  0.862 0.330  0.819 0.457  0.761 0.575  0.682 0.683  0.613 0.798  0.524 0.894  0.415 0.971  0.295 1.031  0.175 1.090  0.044 1.103  -0.089 1.103  -0.223 1.103  -0.351 1.067
2#tos#f1#f1050060/P  -0.291 1.085  -0.378 1.251  -0.457 1.127  -0.418 0.927  -0.378 0.727  -0.374 0.524  -0.374 0.320  -0.374 0.117  -0.374 -0.087  -0.374 -0.291  -0.356 -0.493  -0.333 -0.695  -0.333 -0.899  -0.295 -1.098  -0.285 -1.300  -0.250 -1.498  -0.243 -1.695  -0.209 -1.774  -0.212 -1.570  -0.215 -1.367  -0.218 -1.163  -0.221 -0.959  -0.224 -0.756  -0.227 -0.552  -0.229 -0.348  -0.232 -0.144  -0.235 0.059  -0.238 0.263  -0.241 0.467  -0.244 0.670  -0.247 0.874  -0.250 1.078  -0.088 1.168  0.116 1.168  0.319 1.168  0.523 1.168  0.706 1.105  0.886 1.019  1.036 0.902  1.036 0.698  1.024 0.496  0.994 0.296  0.893 0.131  0.751 0.015  0.632 -0.149  0.472 -0.269  0.294 -0.363  0.116 -0.450  -0.088 -0.450  -0.291 -0.450
2#tos#f1#f1050060/Q  -0.262 1.037  -0.391 1.117  -0.590 1.157  -0.663 1.022  -0.696 0.818  -0.703 0.611  -0.703 0.402  -0.703 0.193  -0.703 -0.015  -0.703 -0.224  -0.703 -0.433  -0.645 -0.630  -0.587 -0.830  -0.526 -1.010  -0.366 -1.144  -0.217 -1.288  -0.008 -1.288  0.200 -1.288  0.391 -1.227  0.550 -1.100  0.642 -0.917  0.721 -0.725  0.740 -0.521  0.740 -0.312  0.740 -0.103  0.735 0.105  0.701 0.311  0.635 0.509  0.549 0.698  0.455 0.885  0.352 1.064  0.204 1.212  0.023 1.278  -0.186 1.278  -0.388 1.267  -0.502 1.116  -0.431 0.919  -0.361 0.723  -0.290 0.527  -0.219 0.330  -0.149 0.134  -0.102 -0.033  -0.062 -0.233  0.099 -0.342  0.155 -0.534  0.316 -0.663  0.494 -0.761  0.642 -0.909  0.789 -1.056  0.980 -1.127
