3#apa#apa02#app0283/o  -0.147 1.000  -0.010 1.000  0.028 1.099  -0.032 1.176  -0.163 1.160  -0.261 1.062  -0.372 1.000  -0.499 0.989  -0.499 0.852  -0.577 0.746  -0.674 0.649  -0.675 0.512  -0.773 0.472  -0.851 0.413  -0.851 0.275  -0.851 0.138  -0.851 -0.000  -0.851 -0.138  -0.851 -0.275  -0.851 -0.413  -0.851 -0.550  -0.747 -0.584  -0.675 -0.649  -0.648 -0.760  -0.510 -0.760  -0.499 -0.886  -0.411 -0.936  -0.274 -0.936  -0.136 -0.936  0.002 -0.936  0.139 -0.936  0.277 -0.936  0.414 -0.936  0.552 -0.936  0.650 -0.841  0.748 -0.744  0.845 -0.647  0.908 -0.535  0.915 -0.401  1.012 -0.304  1.084 -0.196  1.084 -0.058  1.084 0.079  1.015 0.189  0.918 0.286  0.908 0.419  0.848 0.532  0.751 0.629  0.653 0.726  0.556 0.824
3#apa#apa02#app0283/P  -0.488 0.273  -0.354 0.347  -0.354 0.526  -0.266 0.407  -0.221 0.244  -0.221 0.036  -0.221 -0.171  -0.221 -0.379  -0.221 -0.587  -0.221 -0.794  -0.221 -1.002  -0.221 -1.209  -0.221 -1.417  -0.335 -1.577  -0.227 -1.724  -0.264 -1.537  -0.309 -1.334  -0.354 -1.131  -0.399 -0.928  -0.444 -0.726  -0.489 -0.523  -0.534 -0.320  -0.579 -0.118  -0.624 0.085  -0.669 0.288  -0.714 0.490  -0.735 0.674  -0.621 0.768  -0.464 0.832  -0.301 0.941  -0.131 1.031  0.059 1.074  0.180 1.161  0.340 1.208  0.548 1.208  0.756 1.208  0.848 1.093  1.021 1.035  1.115 0.866  1.115 0.659  1.115 0.451  1.115 0.243  1.042 0.066  0.895 -0.081  0.709 -0.133  0.554 -0.261  0.347 -0.261  0.139 -0.261  -0.035 -0.342  -0.221 -0.395
3#apa#apa02#app0283/O  0.364 0.853  0.362 1.000  0.258 1.105  0.126 1.143  -0.022 1.143  -0.071 1.044  -0.172 0.998  -0.320 0.998  -0.436 0.922  -0.505 0.803  -0.558 0.709  -0.650 0.652  -0.692 0.522  -0.795 0.417  -0.798 0.271  -0.903 0.166  -0.940 0.034  -0.940 -0.114  -0.940 -0.262  -0.940 -0.409  -0.864 -0.526  -0.795 -0.645  -0.742 -0.740  -0.650 -0.795  -0.592 -0.885  -0.505 -0.946  -0.441 -1.030  -0.294 -1.030  -0.146 -1.030  0.002 -1.030  0.150 -1.030  0.297 -1.030  0.436 -0.994  0.569 -0.928  0.654 -0.833  0.693 -0.701  0.797 -0.597  0.944 -0.594  0.944 -0.447  0.944 -0.299  0.944 -0.151  0.944 -0.003  0.933 0.140  0.828 0.244  0.799 0.380  0.722 0.496  0.617 0.600  0.513 0.704  0.509 0.851  0.364 0.853
3#apa#apa02#app0283/W  -1.130 0.847  -1.055 0.847  -1.130 0.758  -1.139 0.599  -1.249 0.481  -1.249 0.317  -1.249 0.154  -1.249 -0.010  -1.204 -0.155  -1.130 -0.288  -1.130 -0.451  -1.026 -0.572  -0.868 -0.587  -0.724 -0.540  -0.591 -0.468  -0.533 -0.362  -0.392 -0.327  -0.276 -0.211  -0.160 -0.096  -0.055 0.024  -0.014 0.171  0.065 0.302  0.065 0.465  0.065 0.586  0.019 0.442  -0.055 0.309  -0.055 0.145  -0.055 -0.019  -0.055 -0.182  -0.055 -0.346  0.017 -0.492  0.123 -0.587  0.286 -0.587  0.407 -0.690  0.564 -0.707  0.727 -0.707  0.891 -0.707  1.036 -0.676  1.109 -0.530  1.207 -0.401  1.260 -0.260  1.260 -0.096  1.260 0.068  1.260 0.231  1.157 0.352  1.140 0.509  1.094 0.654  0.994 0.780  0.921 0.927  0.901 1.086
3#apa#apa02#app0283/*  0.551 0.245  0.743 0.437  0.492 0.245  0.180 0.166  -0.116 0.018  -0.413 -0.130  -0.668 -0.334  -0.942 -0.427  -1.048 -0.714  -1.335 -0.822  -1.369 -0.952  -1.227 -0.680  -1.143 -0.383  -0.942 -0.135  -0.826 0.148  -0.592 0.382  -0.358 0.616  -0.275 0.912  -0.041 1.146  0.124 1.409  0.338 1.522  0.423 1.226  0.551 0.948  0.568 0.620  0.673 0.306  0.764 -0.010  0.764 -0.341  0.888 -0.643  0.977 -0.953  0.977 -1.284  0.869 -1.353  0.635 -1.119  0.551 -0.823  0.403 -0.527  0.207 -0.265  0.124 0.031  -0.089 0.274  -0.193 0.562  -0.427 0.796  -0.516 1.091  -0.729 0.988  -0.568 0.723  -0.484 0.427  -0.250 0.193  -0.016 -0.041  0.218 -0.275  0.338 -0.557  0.551 -0.675  0.681 -0.952  0.977 -1.035
3#apa#apa02#app0283/,  0.161 1.455  0.161 1.371  0.161 1.286  0.161 1.202  0.161 1.118  0.161 1.034  0.220 1.008  0.304 1.008  0.388 1.008  0.473 1.008  0.557 1.008  0.608 0.975  0.608 0.891  0.608 0.807  0.608 0.722  0.608 0.638  0.602 0.556  0.542 0.497  0.483 0.437  0.423 0.378  0.364 0.318  0.304 0.259  0.245 0.199  0.185 0.140  0.161 0.065  0.161 -0.019  0.161 -0.103  0.161 -0.187  0.161 -0.271  0.144 -0.348  0.084 -0.408  0.024 -0.467  -0.035 -0.527  -0.095 -0.586  -0.154 -0.646  -0.214 -0.705  -0.273 -0.765  -0.333 -0.824  -0.392 -0.884  -0.452 -0.943  -0.511 -1.003  -0.571 -1.062  -0.630 -1.122  -0.690 -1.182  -0.757 -1.223  -0.841 -1.223  -0.925 -1.223  -1.009 -1.223  -1.094 -1.223  -1.178 -1.223
3#apa#apa02#app0283/*  0.476 0.645  0.734 0.827  0.841 1.054  0.833 1.001  0.597 0.765  0.476 0.482  0.268 0.229  0.119 -0.069  -0.112 -0.308  -0.313 -0.569  -0.437 -0.874  -0.584 -1.146  -0.691 -1.436  -0.979 -1.547  -0.985 -1.219  -0.985 -0.885  -0.867 -0.580  -0.799 -0.262  -0.650 0.036  -0.620 0.363  -0.583 0.681  -0.437 0.955  -0.369 1.260  -0.133 1.496  0.156 1.512  0.293 1.236  0.476 0.978  0.606 0.698  0.659 0.386  0.760 0.076  0.841 -0.238  0.841 -0.572  0.752 -0.816  0.435 -0.775  0.199 -0.540  0.093 -0.250  -0.072 0.015  -0.250 0.275  -0.437 0.531  -0.620 0.683  -0.620 0.638  -0.620 0.305  -0.494 0.097  -0.370 -0.152  -0.134 -0.388  -0.016 -0.662  0.282 -0.811  0.574 -0.914  0.841 -1.030  1.024 -1.181
3#apa#apa02#app0283/K  -1.028 1.032  -1.028 1.264  -0.887 1.270  -0.887 1.038  -0.747 0.864  -0.747 0.632  -0.715 0.407  -0.612 0.200  -0.606 -0.031  -0.606 -0.263  -0.606 -0.495  -0.606 -0.727  -0.606 -0.959  -0.606 -1.192  -0.747 -1.283  -0.729 -1.497  -0.539 -1.410  -0.398 -1.226  -0.258 -1.041  -0.117 -0.857  0.024 -0.673  0.165 -0.488  0.306 -0.304  0.447 -0.120  0.588 0.065  0.729 0.249  0.870 0.434  1.011 0.618  1.152 0.802  1.220 1.011  1.067 0.891  0.835 0.891  0.660 0.753  0.518 0.662  0.337 0.610  0.105 0.610  -0.069 0.470  -0.301 0.470  -0.392 0.329  -0.325 0.311  -0.215 0.189  -0.123 0.048  0.092 -0.020  0.237 -0.163  0.399 -0.233  0.518 -0.346  0.658 -0.438  0.769 -0.624  0.848 -0.795  0.939 -0.935
3#apa#apa02#app0283/E  -0.304 0.782  -0.213 0.782  -0.458 0.782  -0.473 0.551  -0.612 0.445  -0.675 0.243  -0.810 0.053  -0.810 -0.192  -0.810 -0.438  -0.810 -0.684  -0.810 -0.929  -0.708 -1.073  -0.515 -1.199  -0.292 -1.254  -0.111 -1.410  0.135 -1.410  0.328 -1.283  0.556 -1.241  0.774 -1.175  0.977 -1.073  1.036 -0.899  0.826 -0.773  0.615 -0.646  0.405 -0.520  0.194 -0.394  -0.016 -0.267  -0.227 -0.141  -0.438 -0.015  -0.634 0.108  -0.473 0.023  -0.311 -0.061  -0.066 -0.061  0.180 -0.061  0.425 -0.061  0.671 -0.061  0.570 0.097  0.408 0.281  0.246 0.466  0.085 0.651  -0.077 0.836  -0.239 1.021  -0.401 1.206  -0.473 1.152  -0.260 1.120  -0.015 1.120  0.231 1.120  0.477 1.120  0.722 1.120  0.968 1.120  1.213 1.120
3#apa#apa02#app0283/R  -0.242 0.855  -0.337 0.995  -0.417 0.820  -0.521 0.628  -0.650 0.447  -0.661 0.217  -0.661 -0.017  -0.661 -0.252  -0.661 -0.486  -0.661 -0.721  -0.661 -0.955  -0.661 -1.189  -0.694 -1.410  -0.717 -1.517  -0.626 -1.342  -0.580 -1.112  -0.534 -0.882  -0.488 -0.652  -0.442 -0.422  -0.396 -0.192  -0.350 0.037  -0.304 0.267  -0.258 0.497  -0.228 0.716  -0.103 0.825  0.043 0.995  0.278 0.995  0.512 0.995  0.747 0.995  0.981 0.995  1.216 0.995  1.432 0.977  1.352 0.775  1.158 0.649  0.941 0.576  0.715 0.556  0.530 0.437  0.342 0.324  0.119 0.297  -0.103 0.284  -0.179 0.081  -0.237 -0.122  -0.103 -0.222  -0.064 -0.440  0.129 -0.540  0.224 -0.680  0.380 -0.807  0.521 -0.959  0.708 -1.072  0.874 -1.238
3#apa#apa02#app0283/P  -0.046 0.776  0.105 0.718  0.023 0.544  -0.046 0.365  -0.046 0.157  -0.046 -0.051  -0.140 -0.220  -0.196 -0.405  -0.196 -0.613  -0.238 -0.811  -0.331 -0.997  -0.363 -1.195  -0.497 -1.347  -0.497 -1.555  -0.497 -1.763  -0.497 -1.588  -0.497 -1.380  -0.497 -1.172  -0.497 -0.965  -0.497 -0.757  -0.497 -0.549  -0.497 -0.341  -0.497 -0.133  -0.497 0.075  -0.497 0.283  -0.497 0.491  -0.497 0.699  -0.497 0.907  -0.497 1.115  -0.401 1.227  -0.193 1.227  0.015 1.227  0.189 1.143  0.369 1.077  0.577 1.077  0.706 0.998  0.843 0.926  0.994 0.789  1.157 0.737  1.157 0.529  1.154 0.322  1.007 0.175  0.955 -0.001  0.769 -0.094  0.569 -0.126  0.374 -0.157  0.215 -0.276  0.007 -0.276  -0.155 -0.386  -0.346 -0.427
3#apa#apa02#app0283/L  0.027 1.174  0.090 1.237  0.153 1.300  0.113 1.363  0.050 1.427  0.027 1.392  0.018 1.312  -0.071 1.312  -0.111 1.262  -0.111 1.172  -0.111 1.083  -0.141 1.006  -0.204 0.943  -0.249 0.872  -0.249 0.783  -0.249 0.693  -0.249 0.604  -0.249 0.515  -0.291 0.443  -0.354 0.380  -0.386 0.304  -0.386 0.214  -0.386 0.125  -0.386 0.036  -0.386 -0.054  -0.386 -0.143  -0.386 -0.232  -0.386 -0.322  -0.355 -0.404  -0.315 -0.484  -0.275 -0.564  -0.249 -0.647  -0.249 -0.736  -0.199 -0.805  -0.135 -0.868  -0.072 -0.931  -0.009 -0.994  0.065 -1.030  0.155 -1.030  0.236 -1.066  0.316 -1.106  0.396 -1.146  0.480 -1.168  0.569 -1.168  0.635 -1.111  0.698 -1.048  0.780 -1.030  0.865 -1.019  0.928 -0.956  0.991 -0.892
3#apa#apa02#app0283/U  -0.478 1.032  -0.478 1.170  -0.516 1.032  -0.660 0.981  -0.739 0.823  -0.792 0.660  -0.846 0.507  -0.948 0.373  -0.948 0.197  -0.948 0.021  -0.948 -0.155  -0.948 -0.331  -0.948 -0.507  -0.948 -0.682  -0.948 -0.858  -0.929 -1.026  -0.805 -1.151  -0.634 -1.164  -0.464 -1.150  -0.340 -1.025  -0.171 -1.007  -0.152 -0.850  0.015 -0.828  0.139 -0.704  0.263 -0.579  0.306 -0.421  0.306 -0.245  0.306 -0.069  0.428 0.056  0.463 0.218  0.566 0.351  0.620 0.505  0.620 0.680  0.717 0.816  0.777 0.967  0.777 1.143  0.646 1.189  0.620 1.039  0.620 0.863  0.620 0.687  0.620 0.511  0.620 0.335  0.620 0.160  0.620 -0.016  0.620 -0.192  0.620 -0.368  0.736 -0.496  0.777 -0.655  0.777 -0.831  0.777 -1.007
3#apa#apa02#app0283/N  -1.080 -0.970  -1.038 -1.088  -0.963 -1.003  -0.963 -0.843  -0.963 -0.683  -0.963 -0.524  -0.950 -0.369  -0.845 -0.253  -0.807 -0.109  -0.728 0.018  -0.687 0.169  -0.616 0.312  -0.589 0.462  -0.492 0.581  -0.446 0.722  -0.375 0.852  -0.375 1.012  -0.375 0.886  -0.375 0.726  -0.375 0.566  -0.375 0.406  -0.375 0.246  -0.375 0.086  -0.375 -0.073  -0.336 -0.224  -0.265 -0.367  -0.239 -0.518  -0.140 -0.636  -0.078 -0.735  0.051 -0.808  0.193 -0.853  0.353 -0.853  0.512 -0.853  0.566 -0.746  0.705 -0.713  0.818 -0.600  0.919 -0.481  0.919 -0.322  0.919 -0.162  1.021 -0.044  1.036 0.109  1.036 0.269  1.036 0.429  1.036 0.589  1.036 0.749  1.036 0.909  0.925 1.022  0.919 1.180  0.843 1.264  0.683 1.264
3#apa#apa02#app0283/K  -0.485 1.398  -0.403 1.538  -0.345 1.373  -0.345 1.151  -0.345 0.929  -0.345 0.706  -0.378 0.492  -0.477 0.293  -0.485 0.072  -0.485 -0.150  -0.548 -0.347  -0.625 -0.537  -0.625 -0.759  -0.722 -0.941  -0.765 -1.146  -0.765 -1.368  -0.733 -1.512  -0.576 -1.355  -0.418 -1.198  -0.261 -1.041  -0.104 -0.883  0.053 -0.726  0.210 -0.569  0.368 -0.412  0.525 -0.254  0.682 -0.097  0.839 0.060  0.997 0.217  1.154 0.375  1.311 0.532  1.290 0.697  1.196 0.826  0.985 0.837  0.763 0.837  0.540 0.837  0.318 0.837  0.096 0.837  -0.069 0.697  -0.266 0.636  -0.455 0.557  -0.485 0.364  -0.485 0.142  -0.431 -0.058  -0.345 -0.245  -0.174 -0.314  -0.017 -0.471  0.167 -0.564  0.338 -0.687  0.496 -0.762  0.636 -0.844
3#apa#apa02#app0283/*  1.085 -0.069  1.085 0.237  0.859 0.263  0.624 0.072  0.350 -0.065  0.122 -0.255  -0.185 -0.255  -0.465 -0.319  -0.586 -0.575  -0.767 -0.807  -0.957 -0.925  -1.192 -0.997  -1.208 -0.877  -1.143 -0.597  -0.994 -0.440  -0.771 -0.247  -0.657 -0.012  -0.400 0.136  -0.275 0.365  -0.007 0.510  0.210 0.727  0.462 0.859  0.768 0.859  1.023 0.735  1.085 0.454  1.085 0.148  1.085 -0.159  0.874 -0.255  0.611 -0.152  0.340 -0.066  0.123 0.150  -0.094 0.367  -0.350 0.488  -0.450 0.723  -0.667 0.940  -0.883 1.157  -0.957 1.399  -0.957 1.093  -0.774 0.862  -0.689 0.591  -0.514 0.344  -0.364 0.080  -0.147 -0.137  0.070 -0.353  0.286 -0.570  0.384 -0.811  0.643 -0.926  0.859 -1.143  1.149 -1.183  1.270 -1.368
3#apa#apa02#app0283/.  1.472 -0.715  1.396 -0.715  1.320 -0.715  1.243 -0.715  1.167 -0.715  1.091 -0.715  1.015 -0.715  0.939 -0.715  0.863 -0.715  0.786 -0.715  0.710 -0.715  0.634 -0.715  0.558 -0.715  0.482 -0.715  0.405 -0.715  0.344 -0.680  0.290 -0.626  0.236 -0.572  0.182 -0.518  0.128 -0.464  0.074 -0.410  0.020 -0.357  -0.033 -0.303  -0.087 -0.249  -0.141 -0.195  -0.195 -0.141  -0.249 -0.087  -0.303 -0.033  -0.357 0.021  -0.410 0.074  -0.464 0.128  -0.518 0.182  -0.572 0.236  -0.626 0.290  -0.680 0.344  -0.715 0.405  -0.715 0.482  -0.715 0.558  -0.715 0.634  -0.715 0.710  -0.715 0.786  -0.715 0.863  -0.715 0.939  -0.715 1.015  -0.715 1.091  -0.715 1.167  -0.715 1.243  -0.715 1.320  -0.715 1.396  -0.715 1.472
