3#app#app32#app3249/B  -0.178 0.988  -0.178 1.244  -0.250 1.121  -0.280 0.878  -0.280 0.623  -0.280 0.368  -0.352 0.129  -0.382 -0.119  -0.382 -0.374  -0.382 -0.629  -0.382 -0.885  -0.382 -1.140  -0.382 -1.395  -0.325 -1.307  -0.305 -1.072  -0.338 -0.819  -0.371 -0.565  -0.404 -0.312  -0.437 -0.059  -0.470 0.194  -0.503 0.447  -0.536 0.701  -0.569 0.954  -0.470 1.091  -0.257 1.193  -0.023 1.245  0.212 1.295  0.425 1.398  0.578 1.295  0.641 1.103  0.613 0.859  0.505 0.648  0.334 0.464  0.186 0.330  0.027 0.200  -0.157 0.170  0.098 0.170  0.334 0.150  0.486 0.018  0.666 -0.163  0.845 -0.344  0.948 -0.557  0.948 -0.812  0.838 -0.962  0.658 -1.143  0.452 -1.262  0.239 -1.365  -0.016 -1.365  -0.272 -1.365  -0.485 -1.262
3#app#app32#app3249/O  -0.224 0.765  -0.224 0.911  -0.224 1.057  -0.329 1.098  -0.390 1.013  -0.419 0.874  -0.484 0.744  -0.549 0.614  -0.686 0.599  -0.722 0.490  -0.785 0.371  -0.888 0.268  -0.889 0.122  -0.889 -0.024  -0.889 -0.169  -0.889 -0.315  -0.826 -0.398  -0.722 -0.440  -0.722 -0.586  -0.721 -0.731  -0.618 -0.834  -0.515 -0.937  -0.412 -1.040  -0.276 -1.062  -0.130 -1.062  0.016 -1.062  0.161 -1.062  0.307 -1.062  0.453 -1.062  0.598 -1.062  0.704 -0.965  0.807 -0.862  0.910 -0.759  0.939 -0.626  0.939 -0.480  0.939 -0.334  0.909 -0.201  0.806 -0.098  0.773 0.034  0.773 0.180  0.773 0.325  0.746 0.460  0.643 0.563  0.607 0.694  0.555 0.818  0.452 0.921  0.349 1.024  0.234 1.098  0.088 1.098  -0.058 1.098
3#app#app32#app3249/U  -1.053 0.946  -0.945 0.946  -0.889 0.894  -0.889 0.786  -0.889 0.678  -0.889 0.570  -0.889 0.461  -0.889 0.353  -0.889 0.245  -0.889 0.137  -0.889 0.029  -0.889 -0.079  -0.889 -0.188  -0.889 -0.296  -0.862 -0.393  -0.786 -0.469  -0.709 -0.546  -0.633 -0.622  -0.556 -0.699  -0.480 -0.775  -0.403 -0.852  -0.298 -0.858  -0.190 -0.858  -0.082 -0.858  0.026 -0.858  0.095 -0.819  0.095 -0.710  0.187 -0.694  0.285 -0.669  0.361 -0.592  0.437 -0.516  0.514 -0.439  0.592 -0.366  0.700 -0.366  0.777 -0.315  0.825 -0.218  0.873 -0.122  0.915 -0.023  0.915 0.085  0.915 0.193  0.915 0.301  0.915 0.409  0.915 0.517  0.915 0.625  0.915 0.734  0.915 0.842  0.915 0.950  0.915 1.058  0.915 1.166  0.915 1.274
3#app#app32#app3249/S  -0.204 1.301  -0.314 1.301  -0.425 1.301  -0.459 1.225  -0.517 1.173  -0.587 1.132  -0.610 1.045  -0.719 1.041  -0.797 0.963  -0.843 0.872  -0.843 0.761  -0.832 0.662  -0.722 0.662  -0.715 0.558  -0.629 0.534  -0.518 0.534  -0.408 0.534  -0.332 0.500  -0.315 0.407  -0.205 0.407  -0.095 0.407  -0.011 0.341  0.073 0.279  0.182 0.276  0.260 0.198  0.338 0.120  0.416 0.042  0.494 -0.036  0.572 -0.114  0.650 -0.192  0.690 -0.286  0.716 -0.385  0.794 -0.463  0.818 -0.564  0.818 -0.674  0.818 -0.784  0.818 -0.895  0.811 -0.998  0.701 -0.998  0.620 -1.069  0.533 -1.126  0.423 -1.126  0.313 -1.126  0.202 -1.126  0.092 -1.126  -0.018 -1.126  -0.129 -1.126  -0.239 -1.126  -0.332 -1.109  -0.332 -0.998
3#app#app32#app3249/S  0.189 1.546  0.315 1.509  0.369 1.367  0.441 1.233  0.511 1.099  0.567 0.958  0.567 0.794  0.441 0.825  0.369 0.917  0.205 0.917  0.167 0.791  0.003 0.791  -0.160 0.791  -0.321 0.784  -0.437 0.668  -0.583 0.594  -0.721 0.510  -0.845 0.413  -0.944 0.349  -0.944 0.185  -0.930 0.035  -0.766 0.035  -0.692 -0.054  -0.565 -0.091  -0.401 -0.091  -0.237 -0.091  -0.074 -0.091  0.090 -0.091  0.254 -0.091  0.388 -0.163  0.529 -0.216  0.656 -0.306  0.804 -0.342  0.945 -0.366  0.945 -0.530  0.945 -0.693  0.934 -0.846  0.770 -0.846  0.606 -0.846  0.479 -0.934  0.331 -0.972  0.167 -0.972  0.006 -0.991  -0.149 -1.043  -0.304 -1.094  -0.467 -1.098  -0.631 -1.098  -0.795 -1.098  -0.954 -1.088  -1.070 -0.972
3#app#app32#app3249/T  0.602 0.570  0.602 0.736  0.602 0.889  0.602 0.724  0.602 0.558  0.602 0.392  0.602 0.227  0.602 0.061  0.602 -0.105  0.602 -0.270  0.602 -0.436  0.602 -0.602  0.618 -0.763  0.692 -0.912  0.764 -1.060  0.764 -1.226  0.756 -1.374  0.625 -1.272  0.495 -1.169  0.365 -1.067  0.235 -0.965  0.104 -0.862  -0.026 -0.760  -0.156 -0.658  -0.286 -0.555  -0.417 -0.453  -0.547 -0.351  -0.677 -0.248  -0.808 -0.146  -0.938 -0.044  -1.068 0.059  -1.198 0.161  -1.329 0.264  -1.459 0.366  -1.414 0.408  -1.248 0.408  -1.083 0.408  -0.928 0.456  -0.780 0.530  -0.624 0.570  -0.458 0.570  -0.301 0.607  -0.153 0.681  0.000 0.733  0.166 0.733  0.331 0.733  0.480 0.774  0.597 0.891  0.761 0.895  0.927 0.895
3#app#app32#app3249/I  0.126 1.686  0.126 1.615  0.126 1.544  0.126 1.473  0.126 1.402  0.126 1.331  0.126 1.260  0.126 1.189  0.126 1.118  0.126 1.047  0.126 0.976  0.126 0.905  0.126 0.834  0.107 0.771  0.056 0.721  0.006 0.671  -0.044 0.621  -0.053 0.554  -0.053 0.483  -0.053 0.412  -0.053 0.341  -0.053 0.270  -0.053 0.199  -0.053 0.128  -0.053 0.058  -0.053 -0.013  -0.053 -0.084  -0.053 -0.155  -0.053 -0.226  -0.053 -0.297  -0.053 -0.368  -0.053 -0.439  -0.053 -0.510  -0.053 -0.581  -0.053 -0.652  -0.053 -0.723  -0.053 -0.794  -0.053 -0.864  -0.053 -0.935  -0.053 -1.006  -0.053 -1.077  -0.053 -1.148  -0.053 -1.219  -0.053 -1.290  -0.053 -1.361  -0.053 -1.432  -0.053 -1.503  -0.053 -1.574  -0.053 -1.645  -0.053 -1.715
3#app#app32#app3249/C  0.630 0.887  0.630 0.977  0.630 1.067  0.630 1.157  0.630 1.246  0.546 1.252  0.456 1.252  0.366 1.252  0.277 1.252  0.210 1.196  0.147 1.133  0.083 1.069  0.023 1.005  0.023 0.915  -0.021 0.843  -0.085 0.780  -0.130 0.703  -0.170 0.623  -0.210 0.543  -0.250 0.463  -0.290 0.382  -0.331 0.302  -0.388 0.234  -0.451 0.171  -0.463 0.086  -0.463 -0.004  -0.463 -0.093  -0.463 -0.183  -0.463 -0.273  -0.463 -0.363  -0.463 -0.452  -0.463 -0.542  -0.463 -0.632  -0.463 -0.721  -0.463 -0.811  -0.401 -0.875  -0.337 -0.938  -0.274 -1.002  -0.208 -1.062  -0.128 -1.102  -0.048 -1.142  0.034 -1.177  0.124 -1.177  0.213 -1.177  0.303 -1.177  0.393 -1.177  0.482 -1.177  0.572 -1.177  0.662 -1.177  0.752 -1.177
3#app#app32#app3249/K  -0.083 1.831  -0.083 1.593  -0.141 1.367  -0.248 1.154  -0.288 0.930  -0.430 0.750  -0.430 0.511  -0.549 0.322  -0.604 0.106  -0.604 -0.133  -0.687 -0.338  -0.778 -0.539  -0.778 -0.778  -0.778 -1.016  -0.778 -1.255  -0.645 -1.155  -0.483 -0.979  -0.321 -0.804  -0.159 -0.628  0.003 -0.453  0.165 -0.277  0.326 -0.102  0.488 0.074  0.650 0.249  0.812 0.425  0.974 0.600  1.136 0.776  1.298 0.951  1.099 0.926  0.917 0.788  0.787 0.680  0.613 0.614  0.393 0.569  0.208 0.440  -0.031 0.440  -0.215 0.308  -0.435 0.262  -0.604 0.093  -0.778 0.028  -0.778 -0.210  -0.641 -0.392  -0.430 -0.442  -0.375 -0.658  -0.185 -0.777  0.053 -0.777  0.233 -0.919  0.459 -0.951  0.689 -0.989  0.902 -1.095  1.134 -1.124
3#app#app32#app3249/Y  -0.745 1.270  -0.722 1.135  -0.611 1.088  -0.611 0.929  -0.611 0.771  -0.611 0.613  -0.611 0.454  -0.611 0.296  -0.611 0.138  -0.556 0.002  -0.476 -0.123  -0.476 -0.281  -0.476 -0.440  -0.397 -0.395  -0.290 -0.279  -0.183 -0.162  -0.076 -0.045  0.031 0.072  0.138 0.188  0.245 0.305  0.352 0.422  0.459 0.538  0.566 0.655  0.673 0.772  0.780 0.888  0.887 1.005  0.994 1.122  1.002 0.996  0.890 0.884  0.871 0.734  0.801 0.592  0.731 0.450  0.660 0.309  0.589 0.167  0.518 0.025  0.436 -0.108  0.324 -0.220  0.212 -0.332  0.100 -0.444  0.016 -0.576  -0.055 -0.717  -0.126 -0.859  -0.197 -1.000  -0.268 -1.142  -0.338 -1.284  -0.449 -1.397  -0.476 -1.544  -0.482 -1.700  -0.594 -1.812  -0.611 -1.963
3#app#app32#app3249/J  -0.063 0.878  0.046 0.769  0.095 0.636  0.152 0.505  0.261 0.396  0.370 0.288  0.479 0.179  0.568 0.062  0.585 -0.086  0.694 -0.194  0.726 -0.335  0.800 -0.459  0.884 -0.578  0.916 -0.700  1.042 -0.728  1.025 -0.875  0.916 -0.984  0.775 -1.016  0.621 -1.016  0.467 -1.016  0.323 -0.972  0.185 -0.903  0.042 -0.858  -0.112 -0.858  -0.266 -0.858  -0.408 -0.829  -0.517 -0.720  -0.663 -0.700  -0.817 -0.700  -0.971 -0.700  -0.977 -0.590  -0.933 -0.443  -0.889 -0.295  -0.844 -0.148  -0.800 -0.000  -0.756 0.148  -0.712 0.295  -0.667 0.443  -0.623 0.590  -0.579 0.738  -0.537 0.886  -0.533 1.036  -0.379 1.036  -0.225 1.036  -0.115 1.142  0.018 1.194  0.149 1.248  0.260 1.352  0.414 1.352  0.568 1.352
3#app#app32#app3249/U  -0.974 1.104  -0.891 1.021  -0.812 0.937  -0.812 0.821  -0.812 0.704  -0.812 0.587  -0.812 0.470  -0.812 0.353  -0.812 0.236  -0.812 0.119  -0.812 0.002  -0.812 -0.114  -0.812 -0.231  -0.812 -0.348  -0.734 -0.433  -0.652 -0.516  -0.649 -0.632  -0.601 -0.728  -0.519 -0.811  -0.415 -0.842  -0.325 -0.870  -0.325 -0.986  -0.226 -1.004  -0.109 -1.004  0.005 -0.999  0.088 -0.916  0.173 -0.837  0.277 -0.784  0.382 -0.732  0.486 -0.680  0.486 -0.563  0.558 -0.518  0.648 -0.491  0.648 -0.374  0.648 -0.257  0.648 -0.141  0.653 -0.026  0.736 0.057  0.810 0.143  0.810 0.260  0.810 0.377  0.810 0.493  0.810 0.610  0.810 0.727  0.810 0.844  0.810 0.961  0.810 1.078  0.810 1.195  0.810 1.311  0.810 1.428
3#app#app32#app3249/I  0.305 1.666  0.273 1.602  0.241 1.538  0.209 1.474  0.177 1.409  0.145 1.345  0.113 1.281  0.094 1.214  0.094 1.142  0.094 1.070  0.094 0.998  0.094 0.927  0.094 0.855  0.094 0.783  0.094 0.711  0.094 0.640  0.094 0.568  0.094 0.496  0.094 0.424  0.094 0.353  0.094 0.281  0.094 0.209  0.058 0.152  0.008 0.102  -0.043 0.051  -0.094 0.000  -0.117 -0.062  -0.117 -0.134  -0.117 -0.206  -0.117 -0.277  -0.117 -0.349  -0.117 -0.421  -0.117 -0.493  -0.117 -0.564  -0.117 -0.636  -0.117 -0.708  -0.117 -0.779  -0.117 -0.851  -0.117 -0.923  -0.117 -0.995  -0.117 -1.066  -0.117 -1.138  -0.117 -1.210  -0.117 -1.282  -0.117 -1.353  -0.117 -1.425  -0.117 -1.497  -0.117 -1.569  -0.117 -1.640  -0.117 -1.712
3#app#app32#app3249/C  0.963 1.356  0.870 1.356  0.791 1.326  0.725 1.260  0.652 1.215  0.560 1.215  0.488 1.165  0.423 1.099  0.357 1.034  0.292 0.969  0.215 0.932  0.123 0.932  0.055 0.873  -0.011 0.808  -0.076 0.742  -0.141 0.677  -0.206 0.612  -0.272 0.547  -0.337 0.481  -0.402 0.416  -0.462 0.347  -0.503 0.264  -0.545 0.182  -0.586 0.099  -0.594 0.009  -0.594 -0.084  -0.594 -0.176  -0.594 -0.268  -0.594 -0.361  -0.594 -0.453  -0.594 -0.545  -0.586 -0.634  -0.520 -0.699  -0.455 -0.765  -0.364 -0.767  -0.283 -0.795  -0.218 -0.860  -0.170 -0.933  -0.170 -1.025  -0.102 -1.050  -0.010 -1.050  0.082 -1.050  0.175 -1.050  0.267 -1.050  0.359 -1.050  0.452 -1.050  0.544 -1.050  0.636 -1.050  0.729 -1.050  0.821 -1.050
