2#apa#apa01#app0103/s  0.169 0.755  0.300 0.755  0.427 0.762  0.519 0.854  0.478 0.946  0.419 1.052  0.367 1.130  0.237 1.130  0.106 1.130  -0.024 1.130  -0.154 1.130  -0.261 1.074  -0.353 0.982  -0.445 0.890  -0.571 0.880  -0.666 0.795  -0.758 0.702  -0.830 0.602  -0.830 0.472  -0.803 0.353  -0.711 0.261  -0.584 0.255  -0.454 0.255  -0.323 0.255  -0.193 0.255  -0.065 0.247  0.051 0.189  0.168 0.131  0.260 0.039  0.352 -0.053  0.444 -0.145  0.536 -0.237  0.628 -0.329  0.669 -0.442  0.669 -0.572  0.669 -0.702  0.607 -0.807  0.544 -0.911  0.511 -1.027  0.419 -1.119  0.294 -1.124  0.284 -1.244  0.154 -1.244  0.030 -1.259  -0.062 -1.351  -0.185 -1.369  -0.315 -1.369  -0.445 -1.369  -0.575 -1.369  -0.705 -1.369
2#apa#apa01#app0103/i  -0.200 0.433  -0.200 0.307  -0.200 0.181  -0.300 0.155  -0.339 0.069  -0.339 -0.057  -0.339 -0.183  -0.339 -0.308  -0.339 -0.434  -0.339 -0.560  -0.333 -0.683  -0.244 -0.772  -0.200 -0.879  -0.200 -1.005  -0.200 -1.130  -0.176 -1.232  -0.061 -1.243  -0.061 -1.369  0.026 -1.283  0.115 -1.195  0.204 -1.106  0.324 -1.093  0.422 -1.026  0.511 -0.937  0.600 -0.848  0.603 -0.742  0.558 -0.625  0.512 -0.507  0.467 -0.390  0.421 -0.273  0.376 -0.156  0.330 -0.039  0.285 0.078  0.239 0.195  0.194 0.312  0.148 0.429  0.102 0.547  0.057 0.664  0.011 0.781  -0.034 0.898  -0.080 1.015  -0.125 1.132  -0.171 1.249  -0.216 1.366  -0.262 1.483  -0.307 1.601  -0.300 1.681  -0.200 1.707  -0.200 1.833  -0.200 1.959
2#apa#apa01#app0103/m  -1.098 1.079  -1.098 0.889  -1.098 0.698  -1.098 0.508  -1.098 0.318  -1.098 0.128  -1.098 -0.063  -0.974 -0.202  -0.970 -0.390  -0.970 -0.581  -0.843 -0.718  -0.841 -0.908  -0.720 -0.978  -0.712 -0.795  -0.712 -0.605  -0.712 -0.414  -0.663 -0.236  -0.584 -0.064  -0.584 0.126  -0.578 0.314  -0.455 0.454  -0.376 0.565  -0.227 0.664  -0.049 0.694  0.059 0.611  0.059 0.421  0.059 0.230  0.059 0.040  0.059 -0.150  0.059 -0.341  0.107 -0.511  0.187 -0.516  0.316 -0.454  0.366 -0.285  0.444 -0.127  0.573 -0.065  0.626 0.104  0.785 0.179  0.842 0.319  0.984 0.436  1.087 0.523  1.236 0.565  1.344 0.483  1.344 0.293  1.344 0.103  1.344 -0.088  1.344 -0.278  1.344 -0.468  1.344 -0.659  1.344 -0.849
2#apa#apa01#app0103/.  -1.572 1.096  -1.494 1.018  -1.416 0.940  -1.338 0.862  -1.261 0.784  -1.183 0.706  -1.105 0.628  -1.027 0.550  -0.949 0.472  -0.871 0.394  -0.793 0.316  -0.715 0.238  -0.637 0.161  -0.559 0.083  -0.481 0.005  -0.403 -0.073  -0.325 -0.151  -0.247 -0.229  -0.170 -0.307  -0.092 -0.385  -0.014 -0.463  0.064 -0.541  0.142 -0.619  0.220 -0.697  0.298 -0.775  0.376 -0.853  0.454 -0.931  0.532 -1.008  0.610 -1.086  0.665 -1.108  0.665 -0.998  0.665 -0.888  0.665 -0.778  0.665 -0.668  0.665 -0.557  0.665 -0.447  0.665 -0.337  0.665 -0.227  0.665 -0.117  0.665 -0.006  0.665 0.104  0.665 0.214  0.665 0.324  0.665 0.434  0.665 0.545  0.665 0.655  0.665 0.765  0.665 0.875  0.665 0.985  0.665 1.096
2#apa#apa01#app0103/\"  -1.351 0.945  -1.222 0.945  -1.112 0.896  -1.021 0.804  -0.971 0.695  -0.971 0.566  -0.881 0.474  -0.789 0.382  -0.781 0.256  -0.781 0.126  -0.781 -0.003  -0.781 -0.133  -0.781 -0.262  -0.781 -0.392  -0.781 -0.521  -0.781 -0.651  -0.781 -0.780  -0.781 -0.910  -0.722 -0.898  -0.631 -0.806  -0.539 -0.715  -0.448 -0.623  -0.356 -0.532  -0.264 -0.440  -0.173 -0.348  -0.081 -0.257  0.010 -0.165  0.102 -0.074  0.194 0.018  0.285 0.110  0.377 0.201  0.468 0.293  0.560 0.384  0.652 0.476  0.743 0.568  0.835 0.659  0.926 0.751  0.930 0.631  0.930 0.501  0.932 0.372  1.024 0.281  1.115 0.189  1.120 0.062  1.120 -0.068  1.120 -0.198  1.120 -0.327  1.120 -0.457  1.127 -0.583  1.219 -0.675  1.310 -0.766
2#apa#apa01#app0103/N  -0.328 0.566  -0.426 0.371  -0.496 0.163  -0.528 -0.050  -0.589 -0.255  -0.628 -0.464  -0.628 -0.683  -0.628 -0.901  -0.628 -1.120  -0.628 -1.339  -0.628 -1.508  -0.612 -1.290  -0.588 -1.072  -0.564 -0.855  -0.540 -0.638  -0.515 -0.420  -0.491 -0.203  -0.467 0.015  -0.443 0.232  -0.419 0.449  -0.395 0.667  -0.370 0.884  -0.346 1.101  -0.275 1.266  -0.228 1.294  -0.228 1.075  -0.128 0.898  -0.128 0.679  -0.128 0.460  -0.072 0.255  -0.028 0.046  0.034 -0.158  0.132 -0.353  0.192 -0.554  0.279 -0.733  0.390 -0.851  0.475 -1.033  0.571 -0.911  0.671 -0.733  0.680 -0.517  0.771 -0.320  0.771 -0.101  0.839 0.102  0.937 0.297  0.971 0.508  0.971 0.727  1.015 0.940  1.068 1.152  1.163 1.349  1.171 1.566
2#apa#apa01#app0103/o  0.375 0.862  0.375 1.010  0.312 1.005  0.208 0.900  0.076 0.862  -0.072 0.862  -0.220 0.862  -0.331 0.774  -0.435 0.669  -0.540 0.565  -0.644 0.461  -0.655 0.317  -0.707 0.191  -0.812 0.087  -0.861 -0.041  -0.861 -0.189  -0.861 -0.336  -0.861 -0.484  -0.861 -0.632  -0.861 -0.779  -0.861 -0.927  -0.802 -1.050  -0.697 -1.155  -0.567 -1.198  -0.419 -1.198  -0.272 -1.198  -0.124 -1.198  0.006 -1.155  0.111 -1.050  0.234 -0.992  0.375 -0.985  0.375 -0.838  0.443 -0.718  0.547 -0.614  0.652 -0.509  0.756 -0.405  0.787 -0.270  0.787 -0.122  0.787 0.026  0.787 0.174  0.787 0.321  0.774 0.463  0.670 0.568  0.581 0.679  0.581 0.827  0.581 0.975  0.527 1.068  0.380 1.068  0.274 1.170  0.169 1.274
2#apa#apa01#app0103/p  -0.275 0.830  -0.176 0.923  -0.076 1.016  -0.076 0.849  -0.076 0.655  -0.076 0.462  -0.076 0.269  -0.076 0.076  -0.076 -0.117  -0.076 -0.310  -0.092 -0.500  -0.176 -0.673  -0.176 -0.866  -0.176 -1.060  -0.176 -1.253  -0.176 -1.446  -0.176 -1.639  -0.176 -1.832  -0.177 -1.901  -0.183 -1.708  -0.190 -1.515  -0.196 -1.322  -0.202 -1.128  -0.208 -0.935  -0.214 -0.742  -0.220 -0.549  -0.226 -0.356  -0.232 -0.163  -0.238 0.030  -0.244 0.223  -0.250 0.416  -0.256 0.609  -0.262 0.802  -0.268 0.995  -0.274 1.188  -0.164 1.328  0.030 1.328  0.194 1.258  0.372 1.212  0.555 1.151  0.638 1.013  0.722 0.855  0.822 0.761  0.822 0.568  0.722 0.416  0.646 0.255  0.504 0.131  0.311 0.131  0.117 0.131  -0.076 0.131
2#apa#apa01#app0103/i  -0.621 0.589  -0.621 0.463  -0.621 0.336  -0.621 0.210  -0.621 0.083  -0.621 -0.043  -0.621 -0.170  -0.621 -0.296  -0.621 -0.423  -0.621 -0.549  -0.537 -0.641  -0.457 -0.734  -0.457 -0.861  -0.457 -0.987  -0.392 -1.049  -0.293 -1.076  -0.293 -1.203  -0.177 -1.213  -0.073 -1.156  0.016 -1.067  0.106 -0.978  0.195 -0.888  0.284 -0.799  0.379 -0.721  0.505 -0.721  0.601 -0.646  0.690 -0.557  0.817 -0.557  0.853 -0.467  0.828 -0.347  0.768 -0.236  0.708 -0.124  0.649 -0.013  0.589 0.098  0.529 0.210  0.469 0.321  0.409 0.432  0.349 0.544  0.289 0.655  0.229 0.767  0.169 0.878  0.109 0.989  0.049 1.101  -0.011 1.212  -0.071 1.323  -0.131 1.435  -0.191 1.546  -0.251 1.657  -0.293 1.773  -0.293 1.900
2#apa#apa01#app0103/n  -0.763 1.311  -0.763 1.159  -0.763 1.008  -0.763 0.856  -0.763 0.704  -0.763 0.552  -0.763 0.401  -0.763 0.249  -0.763 0.097  -0.763 -0.055  -0.763 -0.206  -0.690 -0.328  -0.589 -0.438  -0.589 -0.589  -0.589 -0.741  -0.589 -0.893  -0.589 -1.044  -0.589 -1.196  -0.589 -1.251  -0.589 -1.099  -0.586 -0.948  -0.479 -0.841  -0.415 -0.716  -0.387 -0.576  -0.280 -0.468  -0.241 -0.333  -0.241 -0.181  -0.204 -0.045  -0.097 0.063  -0.018 0.190  0.050 0.326  0.124 0.457  0.231 0.565  0.338 0.672  0.446 0.779  0.593 0.789  0.745 0.789  0.897 0.789  0.977 0.718  0.977 0.566  1.004 0.441  1.151 0.437  1.151 0.285  1.151 0.133  1.151 -0.019  1.151 -0.170  1.151 -0.322  1.151 -0.474  1.151 -0.626  1.151 -0.777
2#apa#apa01#app0103/k  -0.613 2.020  -0.495 1.886  -0.531 1.711  -0.613 1.547  -0.613 1.364  -0.613 1.181  -0.613 0.998  -0.613 0.815  -0.613 0.632  -0.613 0.449  -0.613 0.266  -0.613 0.083  -0.613 -0.100  -0.613 -0.284  -0.613 -0.467  -0.613 -0.650  -0.613 -0.833  -0.613 -0.859  -0.613 -0.676  -0.613 -0.492  -0.503 -0.355  -0.458 -0.191  -0.376 -0.041  -0.258 0.024  -0.202 0.184  -0.044 0.246  0.139 0.246  0.322 0.246  0.505 0.246  0.688 0.246  0.852 0.164  1.026 0.127  0.995 0.009  0.812 0.009  0.646 -0.033  0.495 -0.109  0.312 -0.109  0.129 -0.109  -0.010 -0.216  0.097 -0.276  0.097 -0.460  0.258 -0.507  0.367 -0.650  0.449 -0.814  0.612 -0.861  0.742 -0.991  0.898 -1.056  1.043 -1.093  1.146 -1.174  1.280 -1.292
2#apa#apa01#app0103/!  -0.399 1.575  -0.328 1.575  -0.272 1.536  -0.224 1.485  -0.224 1.413  -0.224 1.342  -0.224 1.271  -0.224 1.199  -0.224 1.128  -0.224 1.056  -0.224 0.985  -0.224 0.914  -0.224 0.842  -0.224 0.771  -0.224 0.699  -0.224 0.628  -0.224 0.557  -0.205 0.490  -0.174 0.426  -0.142 0.362  -0.137 0.292  -0.137 0.220  -0.124 0.152  -0.092 0.088  -0.060 0.024  -0.050 -0.045  -0.035 -0.113  -0.003 -0.177  0.029 -0.240  0.038 -0.310  0.038 -0.381  0.045 -0.451  0.070 -0.518  0.096 -0.584  0.121 -0.651  0.147 -0.718  0.173 -0.784  0.198 -0.851  0.224 -0.918  0.250 -0.984  0.275 -1.051  0.301 -1.117  0.326 -1.184  0.352 -1.251  0.378 -1.317  0.403 -1.384  0.429 -1.451  0.455 -1.517  0.475 -1.553  0.475 -1.482
