2#lou#lou0#jl_vo_c/3  -0.384 1.120  -0.384 1.233  -0.309 1.272  -0.227 1.351  -0.125 1.402  -0.024 1.398  0.078 1.346  0.151 1.263  0.151 1.149  0.124 1.039  0.088 0.931  0.025 0.841  -0.056 0.760  -0.136 0.680  -0.217 0.599  -0.290 0.589  -0.180 0.617  -0.070 0.644  0.035 0.637  0.129 0.574  0.224 0.511  0.268 0.407  0.310 0.301  0.353 0.195  0.390 0.088  0.417 -0.022  0.445 -0.133  0.473 -0.243  0.500 -0.353  0.528 -0.464  0.533 -0.577  0.533 -0.691  0.533 -0.805  0.510 -0.913  0.459 -1.015  0.380 -1.096  0.298 -1.174  0.187 -1.201  0.077 -1.229  -0.033 -1.238  -0.141 -1.202  -0.249 -1.166  -0.357 -1.130  -0.465 -1.094  -0.573 -1.058  -0.681 -1.022  -0.736 -0.925  -0.792 -0.827  -0.855 -0.732  -0.918 -0.637
2#lou#lou0#jl_vo_c/D  -0.231 1.685  -0.231 1.477  -0.231 1.268  -0.231 1.060  -0.239 0.851  -0.255 0.643  -0.271 0.435  -0.287 0.227  -0.303 0.019  -0.319 -0.189  -0.372 -0.389  -0.415 -0.591  -0.415 -0.800  -0.415 -1.008  -0.451 -1.213  -0.501 -1.415  -0.486 -1.252  -0.462 -1.045  -0.438 -0.837  -0.414 -0.630  -0.390 -0.423  -0.366 -0.216  -0.342 -0.008  -0.318 0.199  -0.294 0.406  -0.270 0.613  -0.246 0.821  -0.197 1.020  -0.082 1.192  0.074 1.318  0.275 1.272  0.452 1.176  0.582 1.013  0.713 0.850  0.811 0.670  0.876 0.471  0.926 0.269  0.957 0.065  0.936 -0.143  0.915 -0.350  0.894 -0.558  0.873 -0.765  0.734 -0.908  0.542 -0.972  0.334 -0.952  0.127 -0.931  -0.081 -0.910  -0.288 -0.889  -0.488 -0.831  -0.691 -0.794
2#lou#lou0#jl_vo_c/H  -0.239 1.561  -0.239 1.367  -0.239 1.173  -0.255 0.982  -0.302 0.794  -0.349 0.606  -0.396 0.417  -0.411 0.226  -0.411 0.032  -0.459 -0.155  -0.512 -0.342  -0.565 -0.528  -0.614 -0.716  -0.661 -0.904  -0.708 -1.092  -0.755 -1.280  -0.817 -1.099  -0.842 -0.910  -0.842 -0.716  -0.842 -0.522  -0.786 -0.337  -0.696 -0.168  -0.580 -0.013  -0.458 0.137  -0.296 0.240  -0.109 0.269  0.084 0.269  0.278 0.269  0.439 0.377  0.571 0.511  0.622 0.692  0.622 0.886  0.622 1.080  0.663 1.257  0.708 1.173  0.708 0.980  0.701 0.786  0.683 0.593  0.666 0.400  0.648 0.207  0.630 0.014  0.613 -0.179  0.595 -0.372  0.578 -0.565  0.560 -0.758  0.543 -0.951  0.498 -1.138  0.450 -1.324  0.450 -1.518  0.450 -1.712
2#lou#lou0#jl_vo_c/t  0.215 1.912  0.187 1.773  0.103 1.658  0.103 1.509  0.103 1.359  0.103 1.209  0.103 1.060  0.081 0.912  0.052 0.765  0.023 0.619  -0.007 0.472  -0.036 0.325  -0.065 0.178  -0.095 0.031  -0.127 -0.115  -0.174 -0.257  -0.222 -0.399  -0.254 -0.544  -0.284 -0.691  -0.313 -0.838  -0.341 -0.985  -0.316 -1.132  -0.291 -1.280  -0.267 -1.428  -0.242 -1.575  -0.161 -1.613  -0.028 -1.546  0.082 -1.446  0.074 -1.308  0.038 -1.163  0.002 -1.018  -0.035 -0.873  -0.071 -0.727  -0.107 -0.582  -0.144 -0.437  -0.180 -0.292  -0.216 -0.147  -0.252 -0.001  -0.289 0.144  -0.325 0.289  -0.268 0.391  -0.134 0.458  0.012 0.474  0.150 0.533  0.287 0.592  0.425 0.651  0.562 0.710  0.700 0.769  0.843 0.800  0.993 0.800
2#lou#lou0#jl_vo_c/l  -1.435 -0.823  -1.286 -0.773  -1.136 -0.723  -0.986 -0.674  -0.836 -0.624  -0.679 -0.619  -0.549 -0.551  -0.438 -0.439  -0.297 -0.376  -0.147 -0.326  -0.025 -0.231  0.087 -0.119  0.198 -0.007  0.307 0.106  0.378 0.247  0.459 0.382  0.547 0.514  0.609 0.653  0.609 0.810  0.609 0.968  0.609 1.126  0.609 1.284  0.594 1.431  0.444 1.481  0.297 1.522  0.179 1.426  0.064 1.357  -0.007 1.215  -0.078 1.074  -0.106 0.923  -0.106 0.765  -0.106 0.607  -0.106 0.450  -0.106 0.292  -0.106 0.134  -0.106 -0.024  -0.106 -0.182  -0.106 -0.340  -0.106 -0.498  -0.106 -0.655  -0.106 -0.813  -0.106 -0.971  -0.106 -1.129  -0.052 -1.232  0.106 -1.232  0.260 -1.209  0.406 -1.150  0.553 -1.091  0.699 -1.033  0.814 -0.925
2#lou#lou0#jl_vo_c/A  -1.010 -1.272  -0.918 -1.087  -0.843 -0.912  -0.776 -0.721  -0.726 -0.521  -0.676 -0.321  -0.627 -0.121  -0.550 0.070  -0.474 0.262  -0.410 0.457  -0.360 0.657  -0.302 0.854  -0.234 1.049  -0.142 1.233  -0.050 1.418  -0.036 1.610  0.059 1.682  0.151 1.498  0.243 1.314  0.335 1.129  0.427 0.945  0.470 0.744  0.510 0.542  0.544 0.338  0.573 0.134  0.602 -0.070  0.637 -0.272  0.687 -0.472  0.737 -0.672  0.787 -0.872  0.856 -1.065  0.911 -1.258  0.833 -1.311  0.666 -1.191  0.499 -1.070  0.332 -0.949  0.165 -0.829  -0.002 -0.708  -0.169 -0.587  -0.336 -0.467  -0.503 -0.346  -0.671 -0.225  -0.801 -0.102  -0.635 0.014  -0.446 0.096  -0.256 0.177  -0.067 0.258  0.137 0.265  0.332 0.312  0.527 0.362
2#lou#lou0#jl_vo_c/G  0.723 0.941  0.780 1.071  0.848 1.179  0.716 1.231  0.563 1.231  0.413 1.220  0.276 1.151  0.139 1.083  0.002 1.015  -0.135 0.946  -0.272 0.878  -0.409 0.809  -0.545 0.741  -0.660 0.642  -0.769 0.534  -0.877 0.426  -0.969 0.306  -1.012 0.163  -1.012 0.010  -1.002 -0.142  -0.981 -0.294  -0.959 -0.445  -0.930 -0.594  -0.852 -0.725  -0.773 -0.856  -0.673 -0.964  -0.531 -1.015  -0.379 -1.028  -0.226 -1.041  -0.074 -1.054  0.079 -1.066  0.231 -1.079  0.374 -1.042  0.506 -0.964  0.633 -0.879  0.710 -0.750  0.744 -0.601  0.769 -0.451  0.794 -0.300  0.868 -0.177  0.902 -0.038  0.915 0.073  0.762 0.073  0.610 0.062  0.463 0.020  0.316 -0.022  0.169 -0.064  0.017 -0.071  -0.136 -0.071  -0.144 -0.071
2#lou#lou0#jl_vo_c/d  0.079 0.386  -0.108 0.386  -0.280 0.320  -0.447 0.236  -0.613 0.150  -0.769 0.046  -0.925 -0.058  -0.962 -0.238  -0.993 -0.422  -1.024 -0.607  -1.022 -0.786  -0.938 -0.954  -0.855 -1.121  -0.721 -1.239  -0.555 -1.277  -0.395 -1.180  -0.234 -1.084  -0.074 -0.988  -0.026 -0.824  0.026 -0.644  0.077 -0.464  0.128 -0.284  0.180 -0.104  0.192 0.081  0.192 0.268  0.192 0.455  0.192 0.643  0.192 0.830  0.208 1.015  0.253 1.196  0.299 1.378  0.328 1.559  0.411 1.726  0.429 1.562  0.466 1.378  0.502 1.195  0.529 1.010  0.529 0.823  0.529 0.636  0.502 0.451  0.472 0.266  0.441 0.082  0.417 -0.103  0.417 -0.291  0.417 -0.478  0.417 -0.665  0.417 -0.852  0.417 -1.039  0.454 -1.189  0.642 -1.189
2#lou#lou0#jl_vo_c/v  -1.502 -0.013  -1.486 0.135  -1.378 0.243  -1.258 0.340  -1.138 0.436  -1.018 0.533  -0.898 0.629  -0.778 0.725  -0.651 0.810  -0.513 0.878  -0.367 0.914  -0.214 0.914  -0.178 0.795  -0.183 0.644  -0.292 0.535  -0.310 0.389  -0.310 0.235  -0.310 0.081  -0.310 -0.073  -0.310 -0.227  -0.310 -0.381  -0.310 -0.534  -0.310 -0.688  -0.295 -0.838  -0.226 -0.976  -0.136 -1.093  0.001 -1.162  0.145 -1.204  0.299 -1.204  0.453 -1.204  0.607 -1.204  0.616 -1.060  0.616 -0.906  0.603 -0.754  0.566 -0.605  0.528 -0.456  0.491 -0.306  0.484 -0.153  0.419 -0.015  0.351 0.123  0.351 0.277  0.384 0.417  0.496 0.522  0.633 0.591  0.774 0.649  0.927 0.649  1.081 0.649  1.235 0.649  1.389 0.649  1.543 0.649
2#lou#lou0#jl_vo_c/8  0.181 1.300  0.022 1.300  -0.137 1.300  -0.296 1.300  -0.414 1.258  -0.369 1.108  -0.308 0.961  -0.247 0.814  -0.186 0.668  -0.124 0.521  -0.063 0.374  -0.002 0.227  0.041 0.075  0.080 -0.079  0.125 -0.232  0.175 -0.383  0.226 -0.533  0.266 -0.686  0.266 -0.845  0.266 -1.004  0.266 -1.163  0.266 -1.322  0.143 -1.415  0.011 -1.503  -0.144 -1.480  -0.295 -1.430  -0.408 -1.323  -0.509 -1.201  -0.611 -1.079  -0.713 -0.957  -0.753 -0.813  -0.753 -0.654  -0.641 -0.541  -0.528 -0.429  -0.416 -0.316  -0.300 -0.208  -0.173 -0.112  -0.046 -0.017  0.090 0.065  0.229 0.142  0.361 0.230  0.467 0.342  0.538 0.484  0.609 0.626  0.680 0.769  0.751 0.911  0.729 1.053  0.650 1.191  0.562 1.323  0.436 1.384
2#lou#lou0#jl_vo_c/9  0.327 1.021  0.196 1.021  0.067 1.006  -0.060 0.974  -0.187 0.942  -0.268 0.875  -0.323 0.767  -0.318 0.675  -0.211 0.606  -0.087 0.564  0.037 0.526  0.156 0.554  0.249 0.646  0.327 0.745  0.327 0.875  0.364 0.997  0.423 1.114  0.414 1.197  0.356 1.080  0.327 0.956  0.327 0.826  0.358 0.699  0.389 0.572  0.421 0.445  0.426 0.315  0.426 0.184  0.426 0.054  0.426 -0.077  0.426 -0.208  0.426 -0.339  0.426 -0.469  0.426 -0.600  0.426 -0.731  0.426 -0.861  0.333 -0.954  0.305 -1.065  0.178 -1.097  0.051 -1.128  -0.076 -1.160  -0.202 -1.192  -0.329 -1.223  -0.456 -1.255  -0.578 -1.213  -0.699 -1.164  -0.820 -1.116  -0.942 -1.067  -1.039 -0.982  -1.131 -0.890  -1.200 -0.780  -1.259 -0.663
2#lou#lou0#jl_vo_c/B  -0.445 1.210  -0.445 0.988  -0.445 0.766  -0.445 0.544  -0.445 0.321  -0.445 0.099  -0.445 -0.123  -0.445 -0.345  -0.445 -0.568  -0.466 -0.787  -0.520 -1.003  -0.532 -1.223  -0.523 -1.004  -0.514 -0.782  -0.505 -0.560  -0.495 -0.338  -0.486 -0.116  -0.477 0.106  -0.468 0.328  -0.458 0.550  -0.449 0.772  -0.532 0.958  -0.404 1.101  -0.205 1.200  -0.006 1.297  0.216 1.297  0.305 1.201  0.207 1.015  0.013 0.907  -0.172 0.784  0.016 0.737  0.222 0.655  0.415 0.545  0.608 0.434  0.788 0.312  0.899 0.119  1.009 -0.074  1.119 -0.267  1.190 -0.478  1.207 -0.697  1.139 -0.908  1.046 -1.070  0.830 -1.123  0.610 -1.138  0.388 -1.138  0.168 -1.117  -0.047 -1.064  -0.218 -0.930  -0.375 -0.773  -0.532 -0.616
2#lou#lou0#jl_vo_c/f  -0.842 -0.116  -0.690 -0.046  -0.532 0.039  -0.381 0.137  -0.228 0.232  -0.066 0.313  0.095 0.393  0.248 0.485  0.376 0.613  0.477 0.762  0.533 0.921  0.498 1.098  0.460 1.273  0.343 1.410  0.243 1.560  0.164 1.678  0.005 1.628  0.017 1.467  0.074 1.296  0.131 1.125  0.155 0.946  0.175 0.767  0.195 0.588  0.214 0.409  0.209 0.229  0.197 0.049  0.185 -0.131  0.173 -0.311  0.161 -0.491  0.149 -0.671  0.136 -0.851  0.093 -1.026  0.044 -1.199  -0.037 -1.361  -0.129 -1.508  -0.304 -1.551  -0.460 -1.545  -0.560 -1.395  -0.660 -1.245  -0.760 -1.095  -0.680 -0.933  -0.553 -0.805  -0.407 -0.700  -0.254 -0.605  -0.101 -0.509  0.052 -0.414  0.211 -0.331  0.379 -0.264  0.546 -0.197  0.708 -0.116
2#lou#lou0#jl_vo_c/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#lou#lou0#jl_vo_c/c  1.335 0.902  1.250 0.902  1.165 0.902  1.079 0.902  0.994 0.902  0.909 0.902  0.824 0.902  0.739 0.902  0.654 0.902  0.568 0.902  0.483 0.902  0.398 0.902  0.313 0.902  0.235 0.884  0.175 0.823  0.115 0.763  0.055 0.703  -0.005 0.643  -0.066 0.583  -0.126 0.522  -0.186 0.462  -0.246 0.402  -0.307 0.342  -0.367 0.281  -0.415 0.213  -0.453 0.136  -0.491 0.060  -0.529 -0.016  -0.567 -0.092  -0.605 -0.168  -0.610 -0.252  -0.610 -0.338  -0.610 -0.423  -0.610 -0.508  -0.610 -0.593  -0.610 -0.678  -0.610 -0.763  -0.595 -0.842  -0.535 -0.902  -0.475 -0.963  -0.414 -1.023  -0.354 -1.083  -0.294 -1.143  -0.234 -1.204  -0.172 -1.259  -0.087 -1.259  -0.001 -1.259  0.084 -1.259  0.169 -1.259  0.254 -1.259
2#lou#lou0#jl_vo_c/X  1.110 1.449  0.994 1.317  0.915 1.159  0.836 1.001  0.757 0.843  0.664 0.695  0.551 0.559  0.438 0.423  0.325 0.287  0.212 0.151  0.114 0.004  0.016 -0.142  -0.099 -0.277  -0.214 -0.411  -0.329 -0.545  -0.444 -0.679  -0.559 -0.813  -0.682 -0.940  -0.807 -1.065  -0.931 -1.190  -0.980 -1.134  -0.946 -0.961  -0.911 -0.788  -0.876 -0.614  -0.842 -0.441  -0.807 -0.268  -0.772 -0.095  -0.738 0.078  -0.703 0.252  -0.668 0.425  -0.634 0.598  -0.599 0.771  -0.516 0.919  -0.391 1.044  -0.254 0.990  -0.170 0.836  -0.045 0.711  0.080 0.586  0.205 0.462  0.287 0.306  0.366 0.148  0.445 -0.010  0.524 -0.168  0.603 -0.326  0.682 -0.484  0.773 -0.635  0.871 -0.782  0.969 -0.929  1.067 -1.076  1.110 -1.240
2#lou#lou0#jl_vo_c/0  -0.022 1.118  -0.131 1.085  -0.178 0.962  -0.278 0.862  -0.378 0.762  -0.471 0.656  -0.534 0.529  -0.597 0.402  -0.661 0.275  -0.724 0.148  -0.783 0.020  -0.783 -0.121  -0.783 -0.263  -0.783 -0.405  -0.783 -0.547  -0.783 -0.688  -0.783 -0.830  -0.688 -0.933  -0.587 -1.033  -0.487 -1.133  -0.387 -1.233  -0.261 -1.272  -0.125 -1.234  0.009 -1.189  0.140 -1.136  0.267 -1.073  0.384 -0.994  0.498 -0.909  0.611 -0.824  0.725 -0.739  0.759 -0.605  0.782 -0.465  0.805 -0.325  0.828 -0.186  0.847 -0.045  0.847 0.097  0.847 0.238  0.815 0.376  0.780 0.514  0.746 0.651  0.689 0.781  0.622 0.902  0.483 0.930  0.344 0.958  0.205 0.986  0.065 1.009  -0.077 1.009  -0.218 1.009  -0.357 1.001  -0.457 0.901
2#lou#lou0#jl_vo_c/i  -1.791 -0.605  -1.639 -0.529  -1.486 -0.459  -1.317 -0.459  -1.154 -0.433  -1.002 -0.357  -0.864 -0.263  -0.741 -0.146  -0.605 -0.045  -0.470 0.057  -0.334 0.159  -0.199 0.260  -0.077 0.378  0.043 0.498  0.108 0.640  0.007 0.709  -0.126 0.622  -0.223 0.485  -0.299 0.334  -0.375 0.182  -0.451 0.031  -0.476 -0.133  -0.476 -0.302  -0.426 -0.463  -0.373 -0.624  -0.296 -0.760  -0.132 -0.801  0.033 -0.842  0.197 -0.883  0.365 -0.897  0.534 -0.897  0.687 -0.827  0.839 -0.751  0.980 -0.657  1.121 -0.563  1.262 -0.469  1.201 -0.327  1.117 -0.180  1.032 -0.033  0.948 0.114  0.864 0.261  0.780 0.409  0.696 0.556  0.612 0.703  0.528 0.850  0.444 0.997  0.360 1.144  0.276 1.291  0.192 1.438  0.108 1.585
