2#apa#apa19#app1955/a  -0.980 1.304  -0.801 1.341  -0.728 1.483  -0.512 1.483  -0.296 1.483  -0.080 1.483  0.094 1.442  0.150 1.249  0.273 1.084  0.273 0.868  0.273 0.653  0.273 0.437  0.140 0.542  -0.057 0.588  -0.218 0.455  -0.414 0.409  -0.451 0.230  -0.622 0.185  -0.622 -0.031  -0.741 -0.128  -0.801 -0.283  -0.801 -0.499  -0.801 -0.715  -0.740 -0.905  -0.573 -1.023  -0.443 -1.109  -0.320 -1.202  -0.104 -1.202  -0.067 -1.023  0.094 -0.969  0.094 -0.753  0.222 -0.665  0.273 -0.500  0.273 -0.284  0.273 -0.069  0.177 0.051  0.094 0.184  0.094 0.400  0.113 0.211  0.266 0.058  0.300 -0.128  0.452 -0.192  0.452 -0.407  0.589 -0.486  0.631 -0.660  0.810 -0.697  0.879 -0.844  1.095 -0.844  1.168 -0.986  1.347 -1.023
2#apa#apa19#app1955/l  0.251 1.687  0.251 1.611  0.251 1.534  0.251 1.458  0.251 1.382  0.251 1.305  0.251 1.229  0.251 1.153  0.251 1.076  0.183 1.069  0.128 1.047  0.128 0.971  0.128 0.895  0.128 0.818  0.128 0.742  0.128 0.666  0.128 0.589  0.128 0.513  0.118 0.440  0.064 0.386  0.010 0.332  0.004 0.259  0.004 0.182  0.004 0.106  0.004 0.030  0.004 -0.047  0.004 -0.123  -0.018 -0.190  -0.072 -0.244  -0.120 -0.301  -0.120 -0.377  -0.120 -0.454  -0.120 -0.530  -0.120 -0.606  -0.133 -0.677  -0.187 -0.731  -0.241 -0.785  -0.243 -0.861  -0.243 -0.937  -0.243 -1.013  -0.243 -1.090  -0.243 -1.166  -0.243 -1.242  -0.243 -1.319  -0.243 -1.395  -0.178 -1.406  -0.120 -1.424  -0.120 -1.501  -0.072 -1.530  0.004 -1.530
2#apa#apa19#app1955/m  -0.754 0.844  -0.763 0.613  -0.929 0.448  -0.975 0.233  -0.975 -0.002  -0.975 -0.236  -0.975 -0.470  -0.975 -0.704  -0.984 -0.934  -1.150 -1.100  -1.077 -1.027  -0.975 -0.835  -0.975 -0.601  -0.858 -0.483  -0.754 -0.354  -0.754 -0.119  -0.754 0.115  -0.634 0.300  -0.533 0.492  -0.533 0.726  -0.416 0.844  -0.182 0.844  0.010 0.743  0.176 0.577  0.342 0.412  0.352 0.182  0.352 -0.053  0.352 -0.287  0.352 -0.521  0.352 -0.755  0.288 -0.925  0.131 -0.848  0.131 -0.614  0.234 -0.483  0.352 -0.367  0.352 -0.132  0.494 -0.041  0.573 0.115  0.573 0.349  0.573 0.583  0.768 0.622  0.794 0.830  1.015 0.844  1.236 0.830  1.236 0.596  1.236 0.362  1.273 0.143  1.439 -0.022  1.457 -0.249  1.457 -0.483
2#apa#apa19#app1955/n  -0.593 1.139  -0.593 0.976  -0.593 0.813  -0.593 0.650  -0.593 0.487  -0.593 0.324  -0.593 0.161  -0.593 -0.002  -0.593 -0.165  -0.593 -0.328  -0.593 -0.491  -0.593 -0.654  -0.593 -0.817  -0.593 -0.980  -0.593 -1.143  -0.593 -1.191  -0.593 -1.028  -0.593 -0.865  -0.593 -0.702  -0.593 -0.539  -0.593 -0.376  -0.593 -0.213  -0.593 -0.050  -0.593 0.112  -0.593 0.275  -0.593 0.438  -0.449 0.457  -0.286 0.457  -0.252 0.586  -0.252 0.749  -0.138 0.798  0.025 0.798  0.188 0.798  0.351 0.798  0.514 0.798  0.677 0.798  0.820 0.749  0.935 0.634  1.050 0.519  1.112 0.381  1.112 0.218  1.112 0.055  1.112 -0.108  1.112 -0.271  1.112 -0.434  1.112 -0.597  1.112 -0.760  1.112 -0.923  1.112 -1.086  1.112 -1.249
2#apa#apa19#app1955/o  -0.047 1.091  -0.184 1.091  -0.274 1.044  -0.274 0.907  -0.367 0.863  -0.502 0.861  -0.502 0.724  -0.536 0.602  -0.632 0.505  -0.729 0.408  -0.826 0.311  -0.923 0.215  -0.956 0.092  -0.956 -0.045  -0.956 -0.182  -0.956 -0.319  -0.956 -0.455  -0.865 -0.501  -0.729 -0.502  -0.729 -0.639  -0.696 -0.762  -0.599 -0.858  -0.502 -0.955  -0.366 -0.956  -0.229 -0.956  -0.092 -0.956  0.045 -0.956  0.181 -0.956  0.318 -0.956  0.455 -0.956  0.592 -0.956  0.701 -0.890  0.798 -0.793  0.863 -0.683  0.863 -0.546  0.863 -0.409  0.863 -0.272  0.863 -0.136  0.863 0.001  0.863 0.138  0.863 0.275  0.863 0.412  0.863 0.549  0.828 0.671  0.731 0.768  0.634 0.864  0.537 0.961  0.441 1.058  0.317 1.091  0.180 1.091
2#apa#apa19#app1955/p  -0.357 -0.856  -0.357 -0.974  -0.357 -1.092  -0.357 -1.209  -0.357 -1.327  -0.357 -1.444  -0.357 -1.562  -0.357 -1.642  -0.357 -1.525  -0.357 -1.407  -0.357 -1.290  -0.357 -1.172  -0.357 -1.054  -0.357 -0.937  -0.340 -0.823  -0.287 -0.718  -0.242 -0.611  -0.242 -0.494  -0.227 -0.382  -0.144 -0.299  -0.127 -0.189  -0.127 -0.071  -0.127 0.047  -0.127 0.164  -0.080 0.271  -0.028 0.376  -0.012 0.490  -0.012 0.607  -0.012 0.725  -0.012 0.843  0.054 0.933  0.103 1.030  0.103 1.148  0.156 1.212  0.218 1.268  0.276 1.327  0.394 1.327  0.448 1.264  0.495 1.166  0.563 1.076  0.563 0.959  0.563 0.841  0.563 0.724  0.563 0.606  0.563 0.488  0.526 0.408  0.408 0.408  0.291 0.408  0.186 0.440  0.103 0.523
2#apa#apa19#app1955/q  0.106 1.442  -0.096 1.442  -0.279 1.397  -0.405 1.246  -0.445 1.061  -0.575 0.913  -0.575 0.711  -0.575 0.509  -0.575 0.306  -0.575 0.104  -0.399 0.079  -0.197 0.079  0.006 0.079  0.106 0.180  0.106 0.382  0.223 0.536  0.277 0.716  0.277 0.918  0.277 1.120  0.226 1.271  0.106 1.188  0.106 0.986  0.106 0.784  -0.064 0.752  -0.064 0.550  -0.064 0.348  -0.064 0.146  -0.124 -0.042  -0.215 -0.223  -0.234 -0.420  -0.248 -0.616  -0.391 -0.759  -0.405 -0.956  -0.405 -1.158  -0.405 -1.360  -0.329 -1.531  -0.166 -1.625  0.037 -1.625  0.239 -1.625  0.277 -1.461  0.447 -1.429  0.447 -1.227  0.510 -1.051  0.617 -0.893  0.617 -0.691  0.617 -0.489  0.617 -0.287  0.612 -0.087  0.469 0.056  0.447 0.249
2#apa#apa19#app1955/r  -0.302 0.486  -0.302 0.359  -0.302 0.232  -0.302 0.105  -0.364 0.004  -0.454 -0.086  -0.512 -0.189  -0.512 -0.316  -0.512 -0.443  -0.512 -0.570  -0.512 -0.697  -0.512 -0.824  -0.512 -0.952  -0.512 -1.079  -0.512 -1.206  -0.512 -1.333  -0.455 -1.403  -0.328 -1.403  -0.302 -1.302  -0.302 -1.175  -0.302 -1.048  -0.302 -0.921  -0.302 -0.794  -0.302 -0.667  -0.285 -0.547  -0.195 -0.457  -0.106 -0.367  -0.092 -0.246  -0.092 -0.119  -0.092 0.008  -0.092 0.135  -0.092 0.262  -0.092 0.389  -0.070 0.507  0.019 0.597  0.109 0.687  0.118 0.810  0.150 0.906  0.277 0.906  0.382 0.959  0.471 1.049  0.571 1.115  0.698 1.115  0.825 1.115  0.952 1.115  1.079 1.115  1.206 1.115  1.333 1.115  1.377 1.033  1.377 0.906
2#apa#apa19#app1955/s  0.368 1.235  0.239 1.235  0.110 1.235  -0.019 1.235  -0.147 1.235  -0.276 1.235  -0.405 1.235  -0.534 1.235  -0.663 1.235  -0.711 1.155  -0.711 1.026  -0.711 0.898  -0.676 0.804  -0.548 0.804  -0.495 0.727  -0.495 0.598  -0.377 0.588  -0.280 0.557  -0.280 0.428  -0.228 0.320  -0.137 0.229  -0.038 0.156  0.091 0.156  0.152 0.089  0.152 -0.040  0.261 -0.060  0.368 -0.082  0.368 -0.210  0.432 -0.275  0.560 -0.275  0.584 -0.381  0.597 -0.504  0.688 -0.595  0.779 -0.687  0.799 -0.807  0.787 -0.923  0.658 -0.923  0.584 -0.977  0.584 -1.106  0.487 -1.139  0.359 -1.139  0.230 -1.139  0.101 -1.139  -0.028 -1.139  -0.157 -1.139  -0.284 -1.135  -0.375 -1.043  -0.466 -0.952  -0.583 -0.923  -0.711 -0.923
2#apa#apa19#app1955/t  0.106 1.873  0.253 1.856  0.253 1.693  0.253 1.529  0.205 1.385  0.106 1.263  0.106 1.099  0.106 0.935  0.106 0.772  0.106 0.608  0.106 0.445  0.106 0.281  0.106 0.118  0.106 -0.046  0.106 -0.210  0.106 -0.373  0.106 -0.537  0.049 -0.677  -0.041 -0.803  -0.041 -0.967  -0.041 -1.130  -0.041 -1.294  -0.041 -1.458  0.081 -1.500  0.106 -1.638  0.036 -1.507  -0.037 -1.361  -0.110 -1.215  -0.183 -1.069  -0.256 -0.922  -0.329 -0.776  -0.402 -0.630  -0.476 -0.483  -0.549 -0.337  -0.622 -0.191  -0.695 -0.044  -0.768 0.102  -0.667 0.220  -0.627 0.367  -0.503 0.407  -0.340 0.407  -0.176 0.407  -0.013 0.407  0.151 0.407  0.315 0.407  0.478 0.407  0.642 0.407  0.805 0.407  0.969 0.407  0.986 0.553
2#apa#apa19#app1955/u  -0.549 0.581  -0.416 0.581  -0.414 0.581  -0.547 0.581  -0.549 0.712  -0.549 0.719  -0.549 0.586  -0.640 0.490  -0.734 0.396  -0.750 0.269  -0.750 0.136  -0.750 0.003  -0.750 -0.130  -0.750 -0.263  -0.750 -0.396  -0.750 -0.529  -0.750 -0.663  -0.750 -0.796  -0.676 -0.898  -0.582 -0.992  -0.488 -1.087  -0.394 -1.181  -0.280 -1.226  -0.147 -1.225  -0.053 -1.131  0.041 -1.037  0.170 -1.025  0.289 -0.991  0.383 -0.897  0.455 -0.793  0.455 -0.660  0.455 -0.527  0.475 -0.403  0.569 -0.308  0.656 -0.211  0.656 -0.078  0.656 0.055  0.656 0.188  0.656 0.322  0.656 0.455  0.656 0.588  0.656 0.721  0.656 0.854  0.656 0.987  0.656 1.120  0.656 1.254  0.658 1.384  0.791 1.384  0.856 1.317  0.856 1.184
2#apa#apa19#app1955/v  -0.863 1.025  -0.735 1.025  -0.654 0.978  -0.654 0.850  -0.654 0.721  -0.654 0.593  -0.654 0.465  -0.654 0.337  -0.654 0.208  -0.654 0.080  -0.654 -0.048  -0.654 -0.176  -0.654 -0.305  -0.654 -0.433  -0.567 -0.525  -0.476 -0.616  -0.445 -0.731  -0.445 -0.859  -0.445 -0.987  -0.394 -1.064  -0.265 -1.064  -0.236 -1.163  -0.218 -1.273  -0.090 -1.273  -0.027 -1.208  -0.027 -1.079  0.053 -0.984  0.144 -0.894  0.182 -0.781  0.182 -0.653  0.268 -0.560  0.359 -0.470  0.391 -0.355  0.391 -0.226  0.391 -0.098  0.426 0.016  0.516 0.106  0.600 0.200  0.600 0.328  0.600 0.456  0.600 0.585  0.600 0.713  0.617 0.834  0.708 0.925  0.799 1.015  0.809 1.139  0.842 1.234  0.970 1.234  1.018 1.315  1.018 1.443
2#apa#apa19#app1955/w  -1.286 0.678  -1.117 0.661  -1.117 0.476  -1.117 0.290  -1.069 0.124  -0.948 -0.012  -0.948 -0.198  -0.948 -0.384  -0.948 -0.570  -0.948 -0.755  -0.849 -0.842  -0.779 -0.958  -0.779 -0.878  -0.629 -0.842  -0.610 -0.676  -0.600 -0.494  -0.469 -0.363  -0.441 -0.188  -0.325 -0.050  -0.272 0.114  -0.272 0.299  -0.272 0.485  -0.158 0.624  -0.103 0.570  -0.015 0.421  0.066 0.268  0.066 0.082  0.066 -0.104  0.189 -0.166  0.235 -0.306  0.235 -0.492  0.235 -0.678  0.256 -0.842  0.442 -0.842  0.572 -0.787  0.624 -0.622  0.741 -0.485  0.741 -0.299  0.795 -0.166  0.910 -0.096  0.910 0.089  0.984 0.245  1.079 0.391  1.079 0.577  1.079 0.763  1.079 0.949  1.079 1.134  1.079 1.320  1.231 1.354  1.248 1.185
2#apa#apa19#app1955/x  -0.955 1.213  -0.759 1.213  -0.727 1.051  -0.635 0.894  -0.500 0.755  -0.500 0.560  -0.382 0.413  -0.272 0.264  -0.267 0.071  -0.129 -0.067  -0.045 -0.227  -0.014 -0.409  0.124 -0.547  0.183 -0.718  0.262 -0.834  0.410 -0.880  0.424 -1.061  0.619 -1.061  0.638 -1.238  0.782 -1.289  0.854 -1.177  0.835 -0.983  0.815 -0.789  0.796 -0.595  0.776 -0.401  0.757 -0.207  0.738 -0.013  0.718 0.181  0.699 0.375  0.679 0.569  0.660 0.763  0.641 0.957  0.638 1.152  0.504 1.213  0.339 1.142  0.201 1.004  0.063 0.866  -0.075 0.728  -0.213 0.590  -0.322 0.431  -0.409 0.257  -0.496 0.082  -0.633 -0.057  -0.727 -0.213  -0.756 -0.379  -0.951 -0.379  -0.955 -0.570  -1.067 -0.719  -1.182 -0.866  -1.182 -1.061
2#apa#apa19#app1955/y  -0.728 1.270  -0.567 1.270  -0.541 1.135  -0.541 0.974  -0.483 0.837  -0.369 0.723  -0.353 0.569  -0.274 0.441  -0.166 0.324  -0.166 0.163  -0.065 0.044  0.021 -0.081  0.031 -0.238  0.144 -0.352  0.224 -0.348  0.259 -0.190  0.294 -0.033  0.329 0.124  0.364 0.281  0.399 0.438  0.433 0.595  0.468 0.752  0.503 0.910  0.538 1.067  0.573 1.224  0.583 1.156  0.583 0.995  0.540 0.852  0.426 0.738  0.396 0.590  0.396 0.429  0.330 0.333  0.209 0.294  0.205 0.134  0.154 -0.019  0.103 -0.172  0.052 -0.325  0.021 -0.481  0.021 -0.642  0.013 -0.799  -0.101 -0.913  -0.166 -1.047  -0.196 -1.195  -0.310 -1.309  -0.424 -1.423  -0.537 -1.537  -0.541 -1.696  -0.633 -1.819  -0.728 -1.941  -0.728 -2.102
2#apa#apa19#app1955/z  -0.881 0.965  -0.881 1.113  -0.785 1.165  -0.637 1.165  -0.490 1.165  -0.342 1.165  -0.194 1.165  -0.046 1.165  0.102 1.165  0.249 1.165  0.318 1.085  0.345 0.965  0.493 0.965  0.518 0.842  0.468 0.715  0.363 0.610  0.318 0.481  0.286 0.365  0.138 0.365  0.028 0.275  -0.077 0.171  -0.082 0.025  -0.170 -0.034  -0.282 -0.071  -0.282 -0.219  -0.414 -0.234  -0.481 -0.314  -0.510 -0.434  -0.658 -0.434  -0.681 -0.558  -0.681 -0.706  -0.701 -0.834  -0.849 -0.834  -0.765 -0.834  -0.617 -0.834  -0.470 -0.834  -0.322 -0.834  -0.174 -0.834  -0.026 -0.834  0.122 -0.834  0.269 -0.834  0.417 -0.834  0.565 -0.834  0.713 -0.834  0.861 -0.834  0.982 -0.769  1.086 -0.665  1.221 -0.634  1.317 -0.686  1.317 -0.834
