3#apa#apa14#app1443/Q  -0.075 1.344  -0.299 1.343  -0.440 1.171  -0.541 0.970  -0.643 0.771  -0.768 0.584  -0.855 0.386  -0.855 0.161  -0.913 -0.054  -0.942 -0.264  -0.834 -0.459  -0.657 -0.593  -0.448 -0.661  -0.224 -0.661  0.001 -0.661  0.225 -0.661  0.450 -0.661  0.651 -0.603  0.832 -0.517  0.927 -0.314  0.927 -0.090  0.870 0.121  0.743 0.303  0.593 0.465  0.537 0.677  0.410 0.859  0.251 1.017  0.093 1.176  -0.093 1.298  -0.272 1.259  -0.430 1.101  -0.506 0.915  -0.472 0.693  -0.438 0.471  -0.404 0.249  -0.370 0.027  -0.336 -0.195  -0.301 -0.417  -0.390 -0.327  -0.232 -0.261  -0.043 -0.287  0.132 -0.423  0.305 -0.550  0.420 -0.700  0.489 -0.914  0.544 -1.132  0.593 -1.350  0.713 -1.501  0.926 -1.552  1.150 -1.552
3#apa#apa14#app1443/O  0.173 0.746  0.105 0.883  0.037 1.019  0.018 1.167  -0.089 1.212  -0.184 1.119  -0.252 0.983  -0.337 0.858  -0.445 0.750  -0.553 0.642  -0.604 0.511  -0.604 0.358  -0.656 0.227  -0.759 0.117  -0.759 -0.035  -0.759 -0.188  -0.759 -0.340  -0.759 -0.493  -0.655 -0.602  -0.604 -0.734  -0.604 -0.886  -0.551 -1.017  -0.441 -1.119  -0.290 -1.123  -0.182 -1.231  -0.047 -1.275  0.105 -1.275  0.258 -1.275  0.410 -1.275  0.540 -1.219  0.645 -1.109  0.713 -0.973  0.781 -0.836  0.795 -0.687  0.795 -0.535  0.795 -0.382  0.795 -0.229  0.795 -0.077  0.719 0.044  0.640 0.164  0.614 0.306  0.506 0.414  0.398 0.522  0.290 0.629  0.182 0.737  0.074 0.845  0.018 0.975  -0.032 1.107  -0.138 1.215  -0.138 1.368
3#apa#apa14#app1443/T  0.087 0.318  -0.024 0.430  -0.017 0.492  0.087 0.438  0.087 0.280  0.087 0.123  0.087 -0.035  0.087 -0.193  0.134 -0.343  0.184 -0.493  0.234 -0.642  0.261 -0.796  0.261 -0.953  0.261 -1.111  0.261 -1.269  0.261 -1.426  0.261 -1.584  0.261 -1.446  0.182 -1.314  0.087 -1.188  -0.007 -1.062  -0.102 -0.936  -0.197 -0.810  -0.291 -0.683  -0.386 -0.557  -0.481 -0.431  -0.575 -0.305  -0.670 -0.179  -0.765 -0.052  -0.873 0.062  -0.985 0.173  -1.096 0.285  -1.030 0.368  -0.889 0.438  -0.749 0.511  -0.614 0.592  -0.479 0.673  -0.344 0.755  -0.208 0.836  -0.073 0.917  0.062 0.998  0.216 1.013  0.374 1.013  0.531 1.013  0.689 1.013  0.847 1.013  1.004 1.013  1.162 1.013  1.320 1.013  1.478 1.013
3#apa#apa14#app1443/H  -0.807 0.883  -0.972 1.027  -0.972 0.772  -0.972 0.518  -0.972 0.263  -0.972 0.008  -0.972 -0.247  -0.972 -0.501  -0.904 -0.740  -0.807 -0.972  -0.807 -1.226  -0.701 -1.074  -0.576 -0.852  -0.451 -0.630  -0.326 -0.408  -0.201 -0.186  -0.076 0.036  0.049 0.258  0.174 0.480  0.298 0.702  0.423 0.924  0.548 1.146  0.673 1.368  0.523 1.544  0.679 1.445  0.686 1.191  0.767 0.950  0.844 0.707  0.844 0.453  0.844 0.198  0.844 -0.057  0.844 -0.312  0.844 -0.566  0.844 -0.821  0.987 -0.933  0.950 -1.066  0.727 -0.944  0.503 -0.822  0.279 -0.700  0.056 -0.578  -0.168 -0.456  -0.391 -0.334  -0.615 -0.212  -0.775 -0.092  -0.548 0.022  -0.302 0.053  -0.074 -0.061  0.169 -0.108  0.424 -0.108  0.514 0.058
3#apa#apa14#app1443/O  0.251 0.693  0.109 0.764  -0.033 0.835  -0.175 0.906  -0.222 1.035  -0.222 1.139  -0.222 0.981  -0.299 0.854  -0.411 0.742  -0.459 0.603  -0.468 0.448  -0.580 0.336  -0.692 0.224  -0.804 0.112  -0.916 -0.000  -0.932 -0.152  -0.932 -0.311  -0.932 -0.469  -0.932 -0.628  -0.878 -0.753  -0.736 -0.824  -0.594 -0.895  -0.454 -0.967  -0.342 -1.079  -0.229 -1.191  -0.074 -1.199  0.085 -1.199  0.243 -1.199  0.402 -1.199  0.539 -1.147  0.651 -1.035  0.763 -0.923  0.875 -0.811  0.960 -0.687  0.960 -0.529  0.960 -0.370  0.942 -0.216  0.871 -0.074  0.800 0.067  0.729 0.209  0.724 0.366  0.663 0.487  0.521 0.558  0.379 0.629  0.240 0.704  0.128 0.816  0.016 0.928  0.014 1.086  -0.064 1.166  -0.222 1.166
3#apa#apa14#app1443/W  -1.076 1.147  -1.076 0.990  -1.076 0.833  -1.076 0.676  -1.076 0.520  -1.076 0.363  -1.076 0.206  -1.076 0.049  -1.048 -0.096  -0.937 -0.207  -0.874 -0.338  -0.874 -0.495  -0.874 -0.651  -0.741 -0.675  -0.671 -0.763  -0.629 -0.878  -0.473 -0.878  -0.360 -0.770  -0.266 -0.652  -0.266 -0.495  -0.266 -0.338  -0.266 -0.182  -0.235 -0.037  -0.125 0.074  -0.014 0.184  0.097 0.295  0.139 0.239  0.139 0.082  0.139 -0.075  0.139 -0.232  0.139 -0.388  0.190 -0.524  0.301 -0.635  0.441 -0.675  0.592 -0.651  0.733 -0.581  0.873 -0.511  0.949 -0.401  0.949 -0.244  0.949 -0.087  1.046 0.029  1.151 0.142  1.151 0.299  1.151 0.456  1.151 0.613  1.139 0.767  1.069 0.907  0.999 1.048  0.949 1.193  0.949 1.350
3#apa#apa14#app1443/T  0.118 0.480  0.118 0.572  0.118 0.418  0.141 0.267  0.178 0.117  0.216 -0.032  0.241 -0.183  0.241 -0.337  0.241 -0.492  0.241 -0.646  0.241 -0.800  0.241 -0.954  0.241 -1.108  0.241 -1.262  0.276 -1.402  0.344 -1.469  0.235 -1.360  0.136 -1.242  0.036 -1.124  -0.064 -1.007  -0.163 -0.889  -0.263 -0.771  -0.362 -0.654  -0.462 -0.536  -0.561 -0.418  -0.661 -0.301  -0.761 -0.183  -0.860 -0.065  -0.960 0.053  -1.059 0.170  -1.113 0.305  -1.113 0.459  -0.981 0.480  -0.826 0.480  -0.680 0.512  -0.542 0.581  -0.404 0.650  -0.266 0.719  -0.128 0.788  0.011 0.850  0.166 0.850  0.320 0.850  0.474 0.850  0.626 0.857  0.764 0.926  0.907 0.973  1.061 0.973  1.216 0.973  1.364 0.987  1.473 1.096
3#apa#apa14#app1443/O  0.436 0.833  0.295 0.879  0.155 0.926  0.015 0.973  -0.125 1.019  -0.269 1.042  -0.409 1.031  -0.475 0.899  -0.541 0.766  -0.607 0.634  -0.674 0.502  -0.740 0.370  -0.806 0.238  -0.823 0.094  -0.802 -0.048  -0.736 -0.180  -0.670 -0.313  -0.607 -0.446  -0.560 -0.586  -0.513 -0.726  -0.467 -0.866  -0.420 -1.006  -0.336 -1.123  -0.231 -1.228  -0.099 -1.265  0.039 -1.288  0.144 -1.393  0.248 -1.452  0.353 -1.348  0.445 -1.236  0.492 -1.096  0.539 -0.956  0.585 -0.816  0.632 -0.676  0.645 -0.530  0.645 -0.383  0.645 -0.235  0.645 -0.087  0.645 0.060  0.643 0.208  0.577 0.340  0.511 0.472  0.445 0.604  0.436 0.749  0.390 0.878  0.285 0.983  0.181 1.087  0.077 1.192  -0.046 1.252  -0.194 1.252
3#apa#apa14#app1443/W  -1.071 0.764  -1.169 0.737  -1.071 0.616  -1.071 0.453  -1.071 0.291  -1.038 0.133  -0.998 -0.024  -0.959 -0.182  -0.897 -0.331  -0.825 -0.476  -0.772 -0.629  -0.721 -0.783  -0.636 -0.916  -0.522 -0.929  -0.448 -0.797  -0.448 -0.635  -0.388 -0.487  -0.323 -0.340  -0.323 -0.178  -0.323 -0.016  -0.323 0.147  -0.323 0.309  -0.323 0.471  -0.323 0.633  -0.309 0.487  -0.237 0.342  -0.199 0.188  -0.199 0.026  -0.131 -0.120  -0.058 -0.265  0.015 -0.410  0.108 -0.540  0.175 -0.675  0.281 -0.731  0.437 -0.717  0.553 -0.604  0.698 -0.531  0.834 -0.446  0.939 -0.324  1.011 -0.179  1.078 -0.031  1.138 0.120  1.198 0.270  1.258 0.421  1.296 0.576  1.296 0.738  1.296 0.900  1.296 1.062  1.296 1.225  1.296 1.387
3#apa#apa14#app1443/A  -0.778 -1.254  -0.752 -1.043  -0.655 -0.849  -0.618 -0.641  -0.618 -0.423  -0.618 -0.206  -0.582 0.006  -0.530 0.217  -0.477 0.428  -0.396 0.628  -0.299 0.822  -0.202 1.016  -0.138 1.218  -0.138 1.435  -0.109 1.623  0.022 1.709  0.123 1.681  0.277 1.528  0.372 1.341  0.424 1.130  0.477 0.920  0.501 0.706  0.557 0.498  0.625 0.292  0.694 0.086  0.763 -0.120  0.821 -0.328  0.821 -0.545  0.821 -0.762  0.821 -0.979  0.719 -1.094  0.661 -1.253  0.484 -1.130  0.306 -1.006  0.128 -0.881  -0.050 -0.757  -0.228 -0.632  -0.406 -0.508  -0.583 -0.383  -0.761 -0.259  -0.937 -0.137  -0.878 -0.295  -0.661 -0.295  -0.444 -0.295  -0.227 -0.295  -0.010 -0.295  0.188 -0.212  0.387 -0.135  0.604 -0.135  0.501 -0.135
3#apa#apa14#app1443/L  -0.366 1.777  -0.271 1.777  -0.213 1.740  -0.213 1.645  -0.213 1.550  -0.213 1.454  -0.213 1.359  -0.213 1.264  -0.213 1.169  -0.213 1.074  -0.213 0.978  -0.213 0.883  -0.213 0.788  -0.213 0.693  -0.213 0.598  -0.213 0.502  -0.213 0.407  -0.213 0.312  -0.213 0.217  -0.213 0.122  -0.213 0.027  -0.213 -0.069  -0.213 -0.164  -0.213 -0.259  -0.213 -0.354  -0.213 -0.449  -0.213 -0.545  -0.213 -0.640  -0.213 -0.735  -0.213 -0.830  -0.213 -0.925  -0.213 -0.946  -0.213 -0.851  -0.213 -0.756  -0.197 -0.677  -0.102 -0.677  -0.022 -0.714  0.045 -0.782  0.120 -0.830  0.215 -0.830  0.311 -0.830  0.406 -0.830  0.501 -0.830  0.596 -0.830  0.691 -0.830  0.787 -0.830  0.882 -0.830  0.977 -0.830  1.072 -0.830  1.167 -0.830
3#apa#apa14#app1443/T  0.195 0.431  0.195 0.594  0.195 0.758  0.195 0.615  0.195 0.451  0.195 0.287  0.195 0.123  0.195 -0.040  0.195 -0.204  0.195 -0.368  0.195 -0.532  0.195 -0.695  0.195 -0.859  0.241 -1.012  0.314 -1.158  0.364 -1.310  0.315 -1.426  0.195 -1.469  0.168 -1.567  0.052 -1.452  -0.031 -1.312  -0.104 -1.165  -0.177 -1.019  -0.250 -0.873  -0.323 -0.726  -0.397 -0.580  -0.470 -0.433  -0.543 -0.287  -0.616 -0.140  -0.690 0.006  -0.763 0.152  -0.836 0.299  -0.909 0.445  -0.982 0.592  -0.986 0.755  -0.852 0.835  -0.706 0.909  -0.549 0.937  -0.385 0.937  -0.221 0.937  -0.057 0.937  0.106 0.937  0.270 0.937  0.434 0.937  0.591 0.908  0.737 0.835  0.885 0.768  1.049 0.768  1.213 0.768  1.376 0.768
3#apa#apa14#app1443/Z  -1.254 0.920  -1.109 0.920  -0.964 0.920  -0.819 0.920  -0.674 0.920  -0.529 0.920  -0.384 0.920  -0.239 0.920  -0.093 0.920  0.031 0.969  0.146 1.043  0.291 1.043  0.436 1.043  0.476 0.938  0.352 0.916  0.327 0.796  0.229 0.750  0.181 0.625  0.078 0.522  -0.025 0.419  -0.127 0.317  -0.198 0.191  -0.263 0.061  -0.363 -0.043  -0.466 -0.146  -0.513 -0.271  -0.584 -0.387  -0.707 -0.440  -0.760 -0.532  -0.874 -0.563  -0.752 -0.572  -0.649 -0.674  -0.510 -0.687  -0.366 -0.695  -0.228 -0.741  -0.090 -0.787  0.051 -0.811  0.196 -0.811  0.341 -0.811  0.486 -0.811  0.631 -0.811  0.777 -0.811  0.922 -0.811  1.067 -0.811  1.177 -0.727  1.217 -0.776  1.107 -0.811  0.978 -0.811  1.073 -0.832  0.970 -0.934
