2#tos#t3#t3011062/!  0.049 1.616  -0.023 1.616  -0.071 1.592  -0.071 1.520  -0.071 1.447  -0.071 1.375  -0.071 1.303  -0.071 1.231  -0.066 1.159  -0.039 1.092  -0.012 1.025  0.009 0.957  0.009 0.885  0.009 0.813  0.009 0.740  0.009 0.668  0.009 0.596  0.009 0.523  0.009 0.451  0.009 0.379  0.009 0.307  0.009 0.234  0.011 0.162  0.034 0.094  0.049 0.024  0.049 -0.048  0.049 -0.120  0.049 -0.193  0.048 -0.265  0.044 -0.337  0.040 -0.409  0.036 -0.481  0.032 -0.553  0.028 -0.626  0.024 -0.698  0.020 -0.770  0.016 -0.842  0.012 -0.914  0.009 -0.986  -0.004 -1.053  -0.031 -1.114  -0.057 -1.161  -0.071 -1.218  -0.031 -1.250  -0.030 -1.322  0.009 -1.355  0.009 -1.427  0.009 -1.499  0.017 -1.563  0.049 -1.604
2#tos#t3#t3011062/=  -0.985 0.616  -0.915 0.715  -0.786 0.754  -0.617 0.754  -0.449 0.754  -0.280 0.754  -0.112 0.754  0.057 0.754  0.225 0.754  0.394 0.754  0.562 0.754  0.731 0.754  0.899 0.754  1.068 0.754  1.236 0.754  1.191 0.754  1.040 0.687  0.894 0.603  0.747 0.520  0.601 0.437  0.454 0.354  0.308 0.271  0.161 0.187  0.014 0.104  -0.132 0.021  -0.279 -0.062  -0.425 -0.145  -0.572 -0.229  -0.718 -0.312  -0.865 -0.395  -1.012 -0.478  -1.158 -0.561  -1.305 -0.644  -1.340 -0.698  -1.172 -0.698  -1.003 -0.698  -0.835 -0.698  -0.666 -0.698  -0.498 -0.698  -0.329 -0.698  -0.161 -0.698  0.008 -0.698  0.177 -0.698  0.345 -0.698  0.514 -0.698  0.682 -0.698  0.851 -0.698  1.008 -0.736  1.148 -0.829  1.298 -0.906
2#tos#t3#t3011062/?  -0.602 0.741  -0.718 0.741  -0.729 0.846  -0.725 0.961  -0.659 1.051  -0.555 1.102  -0.443 1.121  -0.327 1.121  -0.212 1.121  -0.096 1.121  0.020 1.121  0.118 1.077  0.217 1.036  0.249 0.952  0.365 0.952  0.471 0.910  0.577 0.869  0.581 0.756  0.623 0.682  0.580 0.593  0.538 0.502  0.454 0.431  0.412 0.338  0.368 0.233  0.286 0.151  0.194 0.083  0.128 0.008  0.035 -0.059  -0.065 -0.086  -0.098 -0.194  -0.165 -0.273  -0.197 -0.358  -0.180 -0.406  -0.180 -0.522  -0.111 -0.569  -0.024 -0.640  0.044 -0.695  0.115 -0.739  0.075 -0.848  0.034 -0.956  -0.007 -1.065  -0.048 -1.173  -0.088 -1.282  -0.129 -1.391  -0.173 -1.371  -0.103 -1.431  -0.026 -1.509  0.031 -1.579  0.074 -1.678  0.074 -1.794
2#tos#t3#t3011062/@  0.363 -0.099  0.441 -0.012  0.441 0.230  0.385 0.446  0.259 0.562  0.017 0.562  -0.143 0.427  -0.261 0.249  -0.331 0.030  -0.374 -0.206  -0.376 -0.448  -0.222 -0.566  0.011 -0.527  0.151 -0.342  0.276 -0.148  0.285 -0.288  0.316 -0.518  0.490 -0.644  0.732 -0.644  0.900 -0.496  1.016 -0.335  1.102 -0.131  1.141 0.105  1.141 0.347  1.141 0.589  0.986 0.730  0.869 0.910  0.684 1.049  0.508 1.146  0.275 1.185  0.033 1.185  -0.204 1.151  -0.445 1.146  -0.619 1.005  -0.765 0.864  -0.896 0.683  -0.999 0.484  -1.095 0.272  -1.154 0.054  -1.154 -0.189  -1.154 -0.431  -1.037 -0.609  -0.995 -0.838  -0.839 -0.955  -0.682 -1.074  -0.493 -1.178  -0.265 -1.205  -0.027 -1.227  0.199 -1.188  0.363 -1.111
2#tos#t3#t3011062/^  -1.462 -0.895  -1.452 -1.001  -1.347 -0.983  -1.295 -0.879  -1.239 -0.778  -1.157 -0.696  -1.047 -0.683  -0.962 -0.607  -0.880 -0.525  -0.825 -0.431  -0.791 -0.330  -0.709 -0.247  -0.626 -0.165  -0.613 -0.055  -0.613 0.061  -0.602 0.166  -0.486 0.166  -0.370 0.166  -0.295 0.207  -0.295 0.324  -0.295 0.440  -0.263 0.548  -0.211 0.652  -0.142 0.744  -0.060 0.826  0.022 0.908  0.130 0.901  0.130 0.785  0.158 0.697  0.274 0.697  0.390 0.697  0.448 0.639  0.448 0.523  0.526 0.485  0.554 0.397  0.554 0.280  0.662 0.272  0.766 0.260  0.766 0.144  0.789 0.038  0.871 -0.044  0.953 -0.127  0.978 -0.232  0.978 -0.348  1.079 -0.364  1.193 -0.367  1.276 -0.449  1.297 -0.556  1.393 -0.576  1.403 -0.683
2#tos#t3#t3011062/{  0.437 1.354  0.437 1.454  0.382 1.512  0.288 1.527  0.229 1.465  0.159 1.434  0.119 1.351  0.026 1.319  0.021 1.223  0.021 1.123  -0.014 1.056  -0.014 0.956  -0.014 0.855  0.018 0.768  0.021 0.668  0.038 0.574  0.062 0.487  0.090 0.415  0.090 0.314  0.031 0.250  -0.014 0.164  -0.069 0.086  -0.132 0.009  -0.207 -0.033  -0.308 -0.033  -0.408 -0.033  -0.420 -0.033  -0.319 -0.033  -0.253 -0.067  -0.222 -0.137  -0.187 -0.203  -0.152 -0.269  -0.152 -0.369  -0.152 -0.470  -0.152 -0.571  -0.152 -0.672  -0.152 -0.772  -0.152 -0.873  -0.152 -0.974  -0.152 -1.074  -0.152 -1.175  -0.118 -1.241  -0.048 -1.273  0.021 -1.324  0.060 -1.394  0.158 -1.419  0.243 -1.459  0.339 -1.488  0.440 -1.488  0.541 -1.488
2#tos#t3#t3011062/|  0.035 1.588  0.035 1.663  0.035 1.615  0.035 1.540  0.035 1.465  0.035 1.391  0.035 1.316  0.035 1.241  0.035 1.167  0.035 1.092  0.015 1.022  -0.009 0.953  -0.009 0.878  -0.009 0.804  -0.009 0.729  -0.009 0.654  -0.009 0.579  -0.009 0.505  -0.009 0.430  -0.009 0.355  -0.009 0.281  -0.009 0.206  -0.009 0.131  -0.009 0.057  -0.009 -0.018  -0.009 -0.093  -0.009 -0.168  -0.009 -0.242  -0.009 -0.317  -0.009 -0.392  -0.009 -0.466  -0.009 -0.541  -0.009 -0.517  -0.009 -0.515  -0.009 -0.589  -0.009 -0.664  -0.009 -0.739  -0.009 -0.813  -0.009 -0.888  -0.009 -0.963  -0.009 -1.038  -0.009 -1.112  -0.009 -1.187  -0.009 -1.262  -0.009 -1.336  -0.009 -1.411  -0.009 -1.486  -0.009 -1.560  -0.009 -1.635  -0.009 -1.710
2#tos#t3#t3011062/}  -0.275 1.559  -0.260 1.637  -0.206 1.598  -0.119 1.592  -0.080 1.538  -0.080 1.445  -0.044 1.367  -0.002 1.291  -0.002 1.198  -0.002 1.105  -0.002 1.012  -0.002 0.919  -0.002 0.825  -0.002 0.732  -0.002 0.639  -0.002 0.546  -0.002 0.453  -0.002 0.360  -0.002 0.267  -0.002 0.174  -0.002 0.081  0.086 0.075  0.179 0.075  0.272 0.075  0.349 0.060  0.310 0.006  0.230 -0.023  0.157 -0.078  0.154 -0.170  0.096 -0.227  0.037 -0.269  0.037 -0.362  0.037 -0.455  -0.001 -0.510  -0.041 -0.563  -0.041 -0.656  -0.041 -0.749  -0.027 -0.837  -0.002 -0.919  0.028 -0.994  0.076 -1.057  0.076 -1.150  0.076 -1.244  0.044 -1.323  0.005 -1.401  -0.066 -1.459  -0.152 -1.486  -0.206 -1.525  -0.260 -1.564  -0.314 -1.603
2#tos#t3#t3011062/~  -1.315 -0.252  -1.395 -0.197  -1.395 -0.063  -1.395 0.071  -1.337 0.148  -1.283 0.228  -1.231 0.312  -1.155 0.415  -1.073 0.467  -0.995 0.523  -0.965 0.627  -0.836 0.632  -0.776 0.707  -0.642 0.707  -0.510 0.701  -0.436 0.598  -0.436 0.463  -0.436 0.329  -0.324 0.307  -0.277 0.221  -0.277 0.087  -0.277 -0.048  -0.277 -0.182  -0.212 -0.252  -0.117 -0.290  -0.051 -0.397  0.043 -0.446  0.052 -0.571  0.186 -0.571  0.283 -0.609  0.295 -0.731  0.429 -0.731  0.563 -0.731  0.697 -0.731  0.762 -0.662  0.886 -0.651  0.922 -0.553  0.994 -0.491  1.095 -0.411  1.161 -0.343  1.161 -0.209  1.161 -0.075  1.233 -0.012  1.241 0.114  1.241 0.248  1.167 0.307  1.112 0.387  1.008 0.460  0.890 0.523  0.842 0.627
2#tos#t3#t3011062/2  -0.524 0.604  -0.524 0.740  -0.559 0.842  -0.559 0.978  -0.530 1.107  -0.456 1.173  -0.384 1.260  -0.287 1.323  -0.185 1.357  -0.049 1.357  0.087 1.357  0.193 1.281  0.311 1.229  0.369 1.113  0.446 1.004  0.485 0.881  0.504 0.749  0.538 0.647  0.504 0.525  0.435 0.432  0.435 0.295  0.332 0.262  0.332 0.126  0.240 0.060  0.214 -0.063  0.142 -0.169  0.058 -0.257  -0.010 -0.324  -0.070 -0.440  -0.152 -0.527  -0.246 -0.594  -0.313 -0.664  -0.396 -0.750  -0.456 -0.846  -0.500 -0.938  -0.602 -0.973  -0.635 -1.075  -0.634 -1.110  -0.537 -1.045  -0.408 -1.007  -0.271 -1.007  -0.135 -1.007  0.001 -1.007  0.137 -1.007  0.273 -1.007  0.408 -0.997  0.541 -0.973  0.677 -0.973  0.813 -0.973  0.949 -0.973
2#tos#t3#t3011062/3  -0.727 0.774  -0.727 0.934  -0.654 1.056  -0.575 1.153  -0.430 1.189  -0.279 1.227  -0.127 1.263  0.032 1.265  0.155 1.302  0.315 1.302  0.421 1.227  0.481 1.104  0.531 0.975  0.594 0.847  0.559 0.701  0.468 0.572  0.403 0.434  0.318 0.359  0.234 0.283  0.127 0.208  -0.033 0.208  -0.119 0.106  -0.255 0.057  -0.369 -0.019  -0.529 -0.019  -0.539 -0.019  -0.379 -0.019  -0.219 -0.019  -0.059 -0.019  0.101 -0.019  0.216 -0.063  0.318 -0.158  0.360 -0.283  0.489 -0.358  0.534 -0.479  0.594 -0.602  0.594 -0.762  0.594 -0.922  0.518 -1.035  0.405 -1.082  0.314 -1.151  0.183 -1.222  0.034 -1.264  -0.114 -1.292  -0.254 -1.340  -0.414 -1.340  -0.574 -1.340  -0.732 -1.335  -0.829 -1.237  -0.954 -1.151
2#tos#t3#t3011062/4  0.034 1.388  0.220 1.430  0.210 1.202  0.070 1.091  -0.030 0.916  -0.151 0.723  -0.240 0.513  -0.396 0.359  -0.522 0.190  -0.713 0.075  -0.802 -0.143  -0.971 -0.267  -1.054 -0.455  -1.172 -0.619  -1.172 -0.670  -0.983 -0.745  -0.747 -0.745  -0.511 -0.745  -0.274 -0.745  -0.038 -0.745  0.199 -0.745  0.435 -0.745  0.672 -0.745  0.908 -0.745  1.145 -0.745  1.025 -0.545  0.902 -0.343  0.779 -0.141  0.656 0.061  0.533 0.263  0.410 0.465  0.287 0.667  0.164 0.869  0.041 1.071  -0.082 1.273  -0.052 1.413  0.034 1.287  0.080 1.061  0.080 0.825  0.080 0.588  0.080 0.352  0.080 0.115  0.080 -0.121  0.080 -0.358  0.080 -0.594  0.080 -0.831  0.080 -1.067  0.127 -1.293  0.127 -1.529  0.127 -1.766
2#tos#t3#t3011062/7  -1.014 0.795  -0.975 0.782  -0.956 0.659  -0.936 0.537  -0.936 0.406  -0.897 0.291  -0.897 0.161  -0.903 0.150  -0.916 0.280  -0.929 0.411  -0.936 0.541  -0.863 0.599  -0.733 0.599  -0.602 0.599  -0.471 0.599  -0.342 0.611  -0.214 0.639  -0.084 0.639  0.047 0.639  0.178 0.639  0.309 0.639  0.440 0.639  0.565 0.626  0.669 0.560  0.785 0.510  0.907 0.482  1.028 0.440  1.131 0.404  1.022 0.358  0.990 0.232  0.915 0.148  0.844 0.046  0.718 0.014  0.671 -0.102  0.631 -0.216  0.547 -0.313  0.474 -0.420  0.396 -0.518  0.361 -0.643  0.321 -0.751  0.247 -0.843  0.154 -0.935  0.053 -1.007  0.044 -1.128  -0.035 -1.210  -0.056 -1.320  -0.104 -1.414  -0.187 -1.507  -0.193 -1.636  -0.270 -1.712
2#tos#t3#t3011062/A  -0.985 -1.374  -0.985 -1.159  -0.946 -0.951  -0.868 -0.760  -0.822 -0.562  -0.764 -0.356  -0.746 -0.144  -0.689 0.063  -0.588 0.250  -0.489 0.438  -0.436 0.635  -0.406 0.843  -0.319 1.007  -0.255 1.208  -0.162 1.342  -0.122 1.518  0.028 1.601  0.162 1.529  0.288 1.395  0.394 1.233  0.460 1.031  0.466 0.818  0.566 0.639  0.584 0.427  0.630 0.224  0.701 0.031  0.701 -0.184  0.728 -0.394  0.740 -0.607  0.776 -0.785  0.780 -0.997  0.814 -1.178  0.632 -1.093  0.446 -0.986  0.260 -0.879  0.074 -0.772  -0.112 -0.665  -0.298 -0.558  -0.485 -0.451  -0.671 -0.344  -0.824 -0.206  -0.640 -0.158  -0.449 -0.079  -0.234 -0.079  -0.019 -0.079  0.195 -0.079  0.410 -0.079  0.625 -0.079  0.839 -0.079  1.015 -0.119
2#tos#t3#t3011062/E  -0.444 1.413  -0.599 1.314  -0.625 1.219  -0.401 1.219  -0.180 1.256  0.044 1.258  0.259 1.298  0.439 1.374  0.548 1.357  0.333 1.291  0.119 1.225  -0.096 1.159  -0.310 1.093  -0.366 0.977  -0.366 0.753  -0.327 0.535  -0.327 0.310  -0.289 0.092  -0.289 -0.132  -0.289 -0.357  -0.289 -0.581  -0.289 -0.806  -0.325 -0.994  -0.327 -1.216  -0.335 -1.014  -0.342 -0.789  -0.350 -0.565  -0.358 -0.341  -0.366 -0.116  -0.312 -0.023  -0.088 -0.023  0.111 0.054  0.336 0.054  0.560 0.054  0.609 -0.018  0.451 -0.177  0.292 -0.336  0.133 -0.495  -0.025 -0.653  -0.184 -0.812  -0.343 -0.971  -0.362 -1.072  -0.141 -1.056  0.078 -1.033  0.302 -1.033  0.527 -1.033  0.740 -0.985  0.948 -0.916  1.172 -0.916  1.342 -0.839
2#tos#t3#t3011062/F  -0.820 0.691  -0.885 0.778  -0.697 0.802  -0.525 0.891  -0.332 0.909  -0.144 0.942  0.037 1.014  0.229 1.040  0.422 1.070  0.606 1.127  0.796 1.150  0.987 1.171  0.933 1.128  0.748 1.062  0.564 0.997  0.380 0.931  0.195 0.866  0.011 0.801  -0.174 0.735  -0.297 0.714  -0.297 0.518  -0.297 0.322  -0.340 0.137  -0.340 -0.059  -0.340 -0.254  -0.342 -0.450  -0.384 -0.640  -0.384 -0.836  -0.384 -1.031  -0.384 -1.227  -0.384 -1.423  -0.384 -1.618  -0.372 -1.684  -0.337 -1.491  -0.302 -1.299  -0.267 -1.106  -0.232 -0.914  -0.210 -0.720  -0.293 -0.616  -0.116 -0.572  0.080 -0.572  0.258 -0.528  0.435 -0.485  0.487 -0.341  0.487 -0.146  0.487 0.026  0.531 -0.159  0.531 -0.355  0.531 -0.551  0.531 -0.746
2#tos#t3#t3011062/G  0.251 0.884  0.376 1.036  0.497 1.175  0.497 1.398  0.374 1.499  0.152 1.499  -0.037 1.464  -0.156 1.339  -0.338 1.239  -0.498 1.094  -0.607 0.941  -0.775 0.798  -0.816 0.582  -0.898 0.409  -0.980 0.211  -0.980 -0.012  -0.980 -0.235  -0.980 -0.457  -0.898 -0.598  -0.852 -0.802  -0.671 -0.931  -0.456 -0.969  -0.237 -1.002  -0.014 -1.002  0.209 -1.002  0.367 -0.862  0.499 -0.751  0.438 -0.580  0.277 -0.426  0.115 -0.273  -0.047 -0.119  -0.208 0.034  -0.326 0.105  -0.103 0.105  0.110 0.129  0.322 0.161  0.535 0.206  0.752 0.228  0.965 0.269  0.813 0.174  0.616 0.069  0.456 0.022  0.456 -0.117  0.415 -0.330  0.415 -0.553  0.415 -0.776  0.415 -0.999  0.415 -1.222  0.374 -1.435  0.333 -1.617
2#tos#t3#t3011062/H  -0.984 0.782  -0.982 0.891  -0.875 0.772  -0.802 0.612  -0.732 0.458  -0.730 0.275  -0.730 0.092  -0.730 -0.092  -0.730 -0.275  -0.730 -0.459  -0.730 -0.642  -0.730 -0.826  -0.802 -0.979  -0.802 -1.163  -0.802 -1.085  -0.802 -0.901  -0.802 -0.718  -0.802 -0.534  -0.802 -0.351  -0.802 -0.167  -0.786 -0.045  -0.624 0.020  -0.444 0.046  -0.262 0.056  -0.095 0.129  0.087 0.149  0.266 0.187  0.447 0.206  0.624 0.249  0.805 0.274  0.853 0.392  0.819 0.572  0.785 0.752  0.750 0.933  0.724 1.114  0.724 1.212  0.760 1.044  0.760 0.860  0.760 0.677  0.805 0.501  0.833 0.321  0.833 0.138  0.833 -0.046  0.833 -0.229  0.833 -0.413  0.796 -0.590  0.796 -0.774  0.796 -0.958  0.796 -1.141  0.796 -1.325
2#tos#t3#t3011062/K  -0.684 1.590  -0.647 1.465  -0.647 1.228  -0.647 0.990  -0.647 0.753  -0.647 0.516  -0.647 0.278  -0.647 0.041  -0.684 -0.188  -0.684 -0.425  -0.684 -0.662  -0.684 -0.900  -0.684 -1.137  -0.710 -1.370  -0.647 -1.298  -0.538 -1.086  -0.430 -0.875  -0.321 -0.664  -0.213 -0.453  -0.104 -0.242  0.004 -0.031  0.113 0.180  0.221 0.391  0.330 0.602  0.439 0.813  0.547 1.024  0.681 1.211  0.814 1.282  0.703 1.104  0.626 0.897  0.496 0.711  0.329 0.544  0.289 0.323  0.066 0.255  -0.091 0.086  -0.251 -0.080  -0.385 -0.194  -0.466 -0.177  -0.249 -0.082  -0.031 0.013  0.083 0.083  0.185 -0.097  0.378 -0.211  0.530 -0.380  0.668 -0.565  0.837 -0.717  1.004 -0.886  1.136 -1.076  1.288 -1.218  1.300 -1.368
