2#tos#t2#t2032064/!  0.030 1.300  -0.185 1.175  -0.095 0.854  0.030 0.568  -0.048 0.235  -0.032 -0.066  -0.032 -0.477  -0.032 -0.762  0.093 -0.861  0.089 -0.453  0.030 -0.102  0.030 0.309  0.030 0.720  0.030 1.131  0.084 1.488  0.030 1.163  0.030 0.752  0.030 0.341  0.093 -0.007  0.093 -0.418  0.093 -0.579  0.093 -0.168  0.030 0.217  -0.032 0.565  -0.032 0.976  -0.032 1.387  -0.158 1.428  -0.095 1.080  -0.095 0.669  -0.095 0.258  -0.095 -0.153  -0.095 -0.564  -0.095 -0.308  -0.095 0.103  -0.095 0.514  -0.095 0.925  -0.095 1.139  -0.095 0.728  -0.032 0.343  -0.032 -0.068  0.030 -0.453  0.058 -0.766  0.105 -1.142  0.186 -1.545  0.266 -1.947  0.020 -2.144  0.013 -1.831  0.075 -1.893  0.003 -1.893  0.093 -1.768
2#tos#t2#t2032064/1  -0.197 1.667  -0.197 1.591  -0.197 1.515  -0.197 1.439  -0.197 1.363  -0.197 1.286  -0.197 1.210  -0.197 1.134  -0.197 1.058  -0.197 0.982  -0.197 0.906  -0.174 0.853  -0.098 0.853  -0.022 0.853  0.006 0.805  0.006 0.729  0.006 0.653  0.006 0.577  0.006 0.501  0.006 0.425  0.006 0.349  0.006 0.272  0.053 0.243  0.074 0.188  0.074 0.112  0.074 0.036  0.074 -0.040  0.074 -0.116  0.074 -0.192  0.074 -0.268  0.074 -0.345  0.074 -0.421  0.074 -0.497  0.074 -0.573  0.074 -0.649  0.074 -0.725  0.074 -0.801  0.074 -0.877  0.074 -0.953  0.074 -1.029  0.074 -1.105  0.074 -1.182  0.074 -1.258  0.074 -1.334  0.100 -1.384  0.142 -1.418  0.142 -1.494  0.142 -1.570  0.142 -1.646  0.142 -1.723
2#tos#t2#t2032064/2  -0.251 0.890  -0.356 0.820  -0.460 0.792  -0.460 0.936  -0.460 1.080  -0.387 1.151  -0.298 1.209  -0.225 1.307  -0.133 1.359  -0.011 1.411  0.133 1.411  0.217 1.321  0.321 1.281  0.334 1.151  0.425 1.097  0.425 0.954  0.425 0.810  0.425 0.666  0.425 0.522  0.425 0.379  0.373 0.287  0.354 0.162  0.321 0.051  0.275 -0.046  0.217 -0.132  0.196 -0.254  0.113 -0.315  0.012 -0.359  -0.043 -0.447  -0.065 -0.577  -0.199 -0.619  -0.303 -0.658  -0.382 -0.723  -0.460 -0.820  -0.564 -0.899  -0.654 -0.983  -0.746 -1.035  -0.706 -1.087  -0.562 -1.087  -0.419 -1.087  -0.275 -1.087  -0.199 -1.019  -0.091 -0.983  0.052 -0.983  0.196 -0.983  0.340 -0.983  0.484 -0.983  0.627 -0.983  0.750 -0.931  0.841 -0.983
2#tos#t2#t2032064/6  0.500 1.748  0.446 1.638  0.335 1.554  0.252 1.474  0.096 1.431  0.045 1.309  -0.060 1.244  -0.204 1.199  -0.269 1.058  -0.269 0.895  -0.384 0.793  -0.434 0.657  -0.488 0.516  -0.543 0.376  -0.598 0.235  -0.598 0.072  -0.598 -0.092  -0.598 -0.255  -0.598 -0.418  -0.598 -0.581  -0.583 -0.738  -0.543 -0.885  -0.543 -1.049  -0.488 -1.157  -0.330 -1.162  -0.197 -1.234  -0.049 -1.272  0.114 -1.272  0.275 -1.255  0.432 -1.217  0.445 -1.066  0.500 -0.926  0.625 -0.887  0.678 -0.778  0.719 -0.656  0.727 -0.495  0.733 -0.393  0.719 -0.243  0.719 -0.080  0.682 0.046  0.555 0.082  0.500 0.190  0.357 0.211  0.203 0.233  0.053 0.266  -0.110 0.266  -0.273 0.266  -0.379 0.208  -0.488 0.154  -0.488 -0.009
2#tos#t2#t2032064/9  0.321 0.640  0.369 0.650  0.321 0.784  0.265 0.887  0.148 0.976  0.081 1.100  -0.053 1.120  -0.188 1.168  -0.342 1.168  -0.400 1.071  -0.507 1.024  -0.609 0.926  -0.710 0.835  -0.784 0.735  -0.826 0.598  -0.880 0.494  -0.928 0.388  -0.928 0.234  -0.928 0.079  -0.864 -0.048  -0.782 -0.177  -0.628 -0.177  -0.474 -0.177  -0.320 -0.177  -0.185 -0.129  -0.031 -0.129  0.029 0.003  0.162 0.063  0.294 0.122  0.401 0.223  0.487 0.304  0.513 0.431  0.579 0.418  0.547 0.275  0.513 0.128  0.513 -0.026  0.513 -0.180  0.469 -0.316  0.417 -0.449  0.417 -0.603  0.417 -0.757  0.417 -0.912  0.417 -1.066  0.417 -1.220  0.417 -1.374  0.417 -1.529  0.399 -1.665  0.369 -1.789  0.369 -1.943  0.369 -2.002
2#tos#t2#t2032064/B  -0.597 1.100  -0.638 0.961  -0.638 0.700  -0.638 0.439  -0.638 0.177  -0.638 -0.084  -0.638 -0.345  -0.638 -0.607  -0.638 -0.868  -0.638 -1.129  -0.638 -0.999  -0.638 -0.738  -0.638 -0.477  -0.638 -0.215  -0.638 0.046  -0.638 0.307  -0.638 0.569  -0.638 0.830  -0.638 1.091  -0.638 1.174  -0.492 1.141  -0.231 1.141  0.030 1.141  0.283 1.121  0.509 1.073  0.698 0.977  0.796 0.813  0.837 0.593  0.755 0.413  0.589 0.316  0.450 0.116  0.271 0.034  0.033 -0.043  -0.211 -0.089  -0.189 -0.130  0.072 -0.130  0.334 -0.130  0.595 -0.130  0.815 -0.171  1.001 -0.270  1.124 -0.440  1.206 -0.619  1.117 -0.826  1.020 -0.990  0.840 -1.072  0.606 -1.154  0.344 -1.154  0.083 -1.154  -0.178 -1.154  -0.392 -1.154
2#tos#t2#t2032064/E  -0.491 1.091  -0.678 1.018  -0.522 1.017  -0.290 1.017  -0.059 1.017  0.173 1.017  0.405 1.017  0.637 1.017  0.831 1.054  0.798 1.072  0.569 1.104  0.339 1.136  0.110 1.168  -0.120 1.200  -0.349 1.232  -0.491 1.151  -0.475 0.926  -0.453 0.703  -0.416 0.480  -0.416 0.248  -0.416 0.017  -0.381 -0.180  -0.379 -0.409  -0.379 -0.641  -0.379 -0.873  -0.379 -1.105  -0.416 -1.299  -0.377 -1.075  -0.338 -0.847  -0.299 -0.618  -0.260 -0.390  -0.221 -0.161  -0.219 -0.047  -0.020 -0.068  0.212 -0.068  0.443 -0.068  0.445 -0.141  0.282 -0.305  0.118 -0.468  -0.046 -0.632  -0.210 -0.796  -0.347 -0.971  -0.228 -1.040  0.004 -1.040  0.235 -1.040  0.467 -1.040  0.699 -1.040  0.931 -1.040  1.125 -1.077  1.229 -1.226
2#tos#t2#t2032064/G  0.195 1.364  0.096 1.273  -0.049 1.318  -0.239 1.318  -0.405 1.261  -0.527 1.141  -0.665 1.087  -0.769 1.002  -0.846 0.854  -0.891 0.709  -0.981 0.548  -1.051 0.410  -1.072 0.225  -1.072 0.035  -1.072 -0.155  -1.072 -0.345  -1.027 -0.490  -0.939 -0.626  -0.886 -0.763  -0.706 -0.808  -0.535 -0.854  -0.355 -0.895  -0.166 -0.899  0.024 -0.899  0.214 -0.899  0.393 -0.854  0.537 -0.808  0.602 -0.683  0.736 -0.627  0.783 -0.485  0.861 -0.391  0.713 -0.273  0.565 -0.154  0.417 -0.035  0.268 0.083  0.120 0.202  -0.028 0.321  -0.121 0.210  -0.038 0.145  0.151 0.142  0.341 0.142  0.531 0.142  0.721 0.142  0.911 0.142  1.055 0.096  1.055 -0.094  1.055 -0.284  1.055 -0.474  1.055 -0.664  1.055 -0.854
2#tos#t2#t2032064/H  -0.763 1.245  -0.896 1.197  -0.919 1.032  -0.919 0.864  -0.919 0.696  -0.919 0.528  -0.880 0.376  -0.880 0.208  -0.880 0.039  -0.880 -0.129  -0.880 -0.297  -0.880 -0.465  -0.841 -0.594  -0.841 -0.763  -0.841 -0.931  -0.802 -1.057  -0.764 -0.893  -0.726 -0.729  -0.688 -0.565  -0.650 -0.401  -0.612 -0.237  -0.575 -0.073  -0.642 -0.121  -0.474 -0.121  -0.314 -0.101  -0.154 -0.082  0.015 -0.082  0.183 -0.082  0.335 -0.043  0.503 -0.043  0.623 -0.121  0.791 -0.121  0.828 0.037  0.859 0.202  0.889 0.367  0.920 0.533  0.951 0.698  0.981 0.864  0.955 0.852  0.955 0.683  0.955 0.515  0.955 0.347  0.955 0.179  0.955 0.011  0.955 -0.158  0.955 -0.326  0.965 -0.492  0.994 -0.653  1.028 -0.813  1.033 -0.980
2#tos#t2#t2032064/I  -0.292 1.326  -0.348 1.242  -0.300 1.214  -0.199 1.214  -0.098 1.214  0.003 1.214  0.104 1.214  0.205 1.214  0.306 1.214  0.346 1.200  0.258 1.214  0.157 1.214  0.094 1.176  0.068 1.101  0.046 1.022  0.046 0.921  0.046 0.820  0.043 0.720  0.008 0.627  0.008 0.526  0.008 0.425  0.008 0.324  0.008 0.223  0.008 0.122  0.008 0.021  0.008 -0.080  0.008 -0.180  0.008 -0.281  0.008 -0.382  0.008 -0.483  0.008 -0.584  0.008 -0.685  0.008 -0.786  0.008 -0.887  0.008 -0.988  0.008 -1.089  0.013 -1.185  -0.017 -1.158  -0.110 -1.118  -0.203 -1.079  -0.300 -1.094  -0.366 -1.143  -0.308 -1.185  -0.207 -1.185  -0.106 -1.185  -0.005 -1.185  0.096 -1.185  0.197 -1.185  0.298 -1.185  0.383 -1.223
2#tos#t2#t2032064/K  -0.593 1.710  -0.667 1.534  -0.769 1.386  -0.700 1.163  -0.652 0.925  -0.652 0.675  -0.652 0.425  -0.652 0.175  -0.652 -0.075  -0.652 -0.325  -0.652 -0.574  -0.652 -0.824  -0.652 -1.074  -0.652 -1.324  -0.525 -1.139  -0.391 -0.928  -0.257 -0.717  -0.122 -0.506  0.012 -0.296  0.146 -0.085  0.280 0.126  0.414 0.337  0.548 0.548  0.682 0.758  0.817 0.969  0.951 1.180  0.891 1.094  0.770 0.919  0.638 0.755  0.462 0.681  0.321 0.496  0.147 0.362  -0.017 0.224  -0.140 0.032  -0.326 -0.048  -0.458 -0.165  -0.558 -0.247  -0.686 -0.341  -0.476 -0.302  -0.300 -0.228  -0.057 -0.216  0.169 -0.168  0.286 -0.335  0.404 -0.502  0.579 -0.611  0.708 -0.775  0.862 -0.940  1.019 -1.104  1.166 -1.229  1.283 -1.396
2#tos#t2#t2032064/M  -0.898 -0.969  -1.056 -0.969  -1.066 -1.074  -1.066 -0.916  -1.066 -0.758  -1.066 -0.600  -1.066 -0.442  -1.066 -0.284  -1.024 -0.144  -1.024 0.014  -0.944 0.122  -0.967 0.251  -0.965 0.377  -0.856 0.450  -0.810 0.587  -0.694 0.629  -0.589 0.713  -0.515 0.713  -0.435 0.603  -0.351 0.480  -0.267 0.374  -0.267 0.216  -0.183 0.142  -0.169 -0.002  -0.141 -0.132  -0.141 -0.290  -0.081 -0.194  0.039 -0.092  0.112 0.026  0.240 0.090  0.309 0.223  0.395 0.342  0.448 0.481  0.532 0.555  0.658 0.587  0.732 0.671  0.869 0.692  0.960 0.664  0.995 0.520  1.037 0.404  1.116 0.295  1.121 0.141  1.121 -0.017  1.121 -0.175  1.121 -0.333  1.152 -0.484  1.163 -0.639  1.163 -0.797  1.163 -0.955  1.205 -1.095
2#tos#t2#t2032064/O  -0.095 1.025  -0.238 1.025  -0.380 1.025  -0.387 0.890  -0.519 0.879  -0.533 0.751  -0.643 0.697  -0.680 0.570  -0.686 0.429  -0.749 0.301  -0.826 0.190  -0.826 0.047  -0.869 -0.085  -0.899 -0.220  -0.899 -0.363  -0.899 -0.505  -0.899 -0.648  -0.826 -0.717  -0.768 -0.801  -0.655 -0.850  -0.583 -0.971  -0.468 -1.053  -0.336 -1.094  -0.193 -1.094  -0.051 -1.094  0.092 -1.094  0.234 -1.094  0.318 -0.998  0.343 -0.862  0.401 -0.743  0.507 -0.655  0.636 -0.641  0.636 -0.499  0.712 -0.430  0.775 -0.303  0.822 -0.168  0.883 -0.043  0.928 0.081  0.928 0.224  0.928 0.366  0.928 0.509  0.928 0.651  0.885 0.776  0.784 0.877  0.643 0.879  0.573 0.952  0.448 0.994  0.329 0.982  0.193 0.952  0.051 0.952
2#tos#t2#t2032064/S  0.742 0.883  0.641 0.909  0.641 1.036  0.563 1.085  0.490 1.168  0.381 1.186  0.304 1.236  0.228 1.287  0.101 1.287  -0.026 1.287  -0.065 1.199  -0.166 1.135  -0.166 1.008  -0.165 0.883  -0.116 0.804  -0.015 0.779  0.014 0.681  0.036 0.575  0.108 0.508  0.187 0.414  0.187 0.287  0.288 0.261  0.288 0.134  0.338 0.057  0.338 -0.070  0.389 -0.146  0.389 -0.273  0.389 -0.400  0.389 -0.527  0.389 -0.654  0.389 -0.781  0.389 -0.907  0.389 -1.034  0.285 -1.089  0.195 -1.178  0.072 -1.187  -0.055 -1.187  -0.182 -1.187  -0.267 -1.145  -0.386 -1.136  -0.492 -1.086  -0.604 -1.052  -0.694 -0.962  -0.759 -0.884  -0.832 -0.824  -0.873 -0.714  -0.904 -0.600  -0.924 -0.481  -0.924 -0.355  -0.924 -0.228
2#tos#t2#t2032064/V  -0.835 1.058  -0.897 0.994  -0.962 0.934  -1.026 0.872  -0.918 0.814  -0.899 0.700  -0.807 0.631  -0.772 0.528  -0.772 0.402  -0.709 0.340  -0.709 0.215  -0.645 0.153  -0.590 0.051  -0.531 -0.059  -0.518 -0.182  -0.455 -0.281  -0.455 -0.406  -0.408 -0.512  -0.374 -0.627  -0.328 -0.741  -0.290 -0.858  -0.216 -0.957  -0.161 -1.036  -0.138 -1.138  -0.101 -1.226  -0.074 -1.254  -0.020 -1.145  0.049 -1.041  0.106 -0.929  0.192 -0.872  0.232 -0.753  0.243 -0.629  0.282 -0.513  0.349 -0.408  0.425 -0.308  0.497 -0.206  0.534 -0.092  0.604 0.012  0.624 0.131  0.669 0.244  0.733 0.352  0.798 0.459  0.898 0.529  0.941 0.627  0.946 0.751  1.002 0.863  1.090 0.953  1.131 1.061  1.131 1.186  1.131 1.312
2#tos#t2#t2032064/W  -1.205 0.948  -1.298 0.876  -1.298 0.710  -1.269 0.574  -1.197 0.480  -1.158 0.354  -1.084 0.219  -1.065 0.062  -1.018 -0.057  -0.962 -0.201  -0.924 -0.360  -0.878 -0.479  -0.813 -0.630  -0.784 -0.788  -0.668 -0.805  -0.598 -0.668  -0.551 -0.522  -0.449 -0.399  -0.332 -0.282  -0.315 -0.123  -0.258 0.026  -0.141 0.143  -0.079 0.273  -0.037 0.412  -0.033 0.574  0.056 0.498  0.081 0.339  0.103 0.178  0.150 0.060  0.243 -0.048  0.243 -0.213  0.301 -0.360  0.337 -0.490  0.383 -0.609  0.470 -0.688  0.542 -0.781  0.646 -0.695  0.710 -0.579  0.788 -0.462  0.870 -0.322  0.984 -0.209  1.037 -0.073  1.065 0.078  1.191 0.180  1.224 0.338  1.271 0.492  1.365 0.564  1.411 0.683  1.440 0.836  1.505 0.948
2#tos#t2#t2032064/X  -0.864 1.353  -0.973 1.249  -0.918 1.145  -0.861 0.988  -0.702 0.930  -0.570 0.765  -0.504 0.575  -0.342 0.490  -0.309 0.309  -0.290 0.114  -0.186 -0.035  -0.081 -0.175  -0.022 -0.369  0.075 -0.486  0.145 -0.630  0.232 -0.757  0.296 -0.915  0.388 -1.068  0.493 -1.177  0.575 -1.308  0.617 -1.117  0.638 -0.905  0.660 -0.692  0.682 -0.479  0.703 -0.267  0.725 -0.054  0.747 0.159  0.768 0.371  0.790 0.584  0.812 0.797  0.834 1.009  0.855 1.222  0.784 1.092  0.645 0.984  0.503 0.852  0.388 0.706  0.296 0.530  0.164 0.391  0.027 0.233  -0.077 0.062  -0.238 -0.056  -0.351 -0.199  -0.477 -0.317  -0.551 -0.456  -0.696 -0.525  -0.814 -0.659  -0.883 -0.839  -0.938 -1.006  -1.073 -1.116  -1.125 -1.308
2#tos#t2#t2032064/a  0.866 0.462  0.792 0.577  0.718 0.692  0.718 0.880  0.628 0.979  0.456 1.019  0.289 1.083  0.110 1.127  -0.078 1.127  -0.267 1.127  -0.363 1.007  -0.509 0.905  -0.616 0.820  -0.676 0.641  -0.760 0.528  -0.883 0.462  -0.924 0.314  -0.982 0.183  -1.051 0.023  -1.055 -0.163  -1.109 -0.330  -1.129 -0.510  -1.129 -0.699  -1.063 -0.860  -0.982 -0.972  -0.837 -1.016  -0.648 -1.016  -0.460 -1.014  -0.304 -0.917  -0.196 -0.771  -0.094 -0.646  0.085 -0.586  0.201 -0.502  0.239 -0.351  0.343 -0.214  0.443 -0.109  0.576 0.024  0.709 0.158  0.800 0.322  0.844 0.462  0.792 0.326  0.719 0.167  0.718 -0.021  0.718 -0.210  0.718 -0.399  0.644 -0.513  0.644 -0.702  0.718 -0.817  0.763 -0.987  0.866 -1.090
2#tos#t2#t2032064/e  -0.829 0.062  -0.976 -0.015  -1.012 -0.085  -0.831 -0.085  -0.650 -0.085  -0.542 -0.011  -0.361 -0.011  -0.180 -0.011  -0.090 0.136  0.053 0.174  0.199 0.210  0.328 0.336  0.477 0.413  0.568 0.513  0.621 0.682  0.702 0.798  0.695 0.945  0.568 0.999  0.506 1.155  0.348 1.184  0.222 1.239  0.041 1.239  -0.141 1.239  -0.248 1.166  -0.314 1.051  -0.388 0.900  -0.461 0.792  -0.461 0.611  -0.461 0.430  -0.535 0.279  -0.573 0.136  -0.558 0.012  -0.535 -0.160  -0.535 -0.341  -0.535 -0.522  -0.513 -0.695  -0.388 -0.781  -0.314 -0.888  -0.221 -0.988  -0.094 -1.073  0.046 -1.115  0.154 -1.188  0.335 -1.188  0.516 -1.188  0.697 -1.188  0.878 -1.188  0.986 -1.115  1.150 -1.044  1.280 -0.918  1.378 -0.820
