1c#apb#apb14#app1415/f  0.903 0.933  0.945 1.081  1.006 1.219  1.093 1.335  1.110 1.349  1.015 1.229  0.910 1.115  0.815 0.994  0.711 0.879  0.606 0.766  0.501 0.653  0.397 0.539  0.297 0.420  0.196 0.304  0.090 0.191  -0.014 0.077  -0.113 -0.041  -0.214 -0.158  -0.320 -0.271  -0.426 -0.384  -0.531 -0.496  -0.637 -0.609  -0.742 -0.722  -0.843 -0.839  -0.949 -0.951  -1.066 -1.051  -1.163 -1.172  -1.151 -1.276  -1.004 -1.233  -0.853 -1.217  -0.731 -1.123  -0.604 -1.034  -0.488 -0.934  -0.393 -0.812  -0.291 -0.696  -0.209 -0.566  -0.138 -0.429  -0.069 -0.291  -0.023 -0.143  0.017 0.006  0.038 0.159  0.062 0.311  0.066 0.466  0.054 0.615  0.067 0.497  0.128 0.361  0.267 0.295  0.408 0.240  0.561 0.227  0.706 0.188
1c#apb#apb14#app1415/v  -0.808 0.378  -0.808 0.479  -0.842 0.569  -0.854 0.599  -0.833 0.503  -0.850 0.404  -0.854 0.304  -0.856 0.203  -0.867 0.103  -0.878 0.004  -0.890 -0.096  -0.902 -0.196  -0.913 -0.295  -0.923 -0.395  -0.923 -0.496  -0.900 -0.591  -0.856 -0.680  -0.796 -0.759  -0.705 -0.800  -0.605 -0.811  -0.505 -0.821  -0.411 -0.786  -0.317 -0.752  -0.219 -0.732  -0.120 -0.712  -0.036 -0.662  0.042 -0.599  0.121 -0.536  0.205 -0.482  0.291 -0.431  0.376 -0.378  0.451 -0.310  0.525 -0.243  0.600 -0.176  0.654 -0.092  0.709 -0.007  0.763 0.077  0.817 0.162  0.870 0.247  0.922 0.333  0.975 0.418  1.011 0.511  1.039 0.608  1.066 0.704  1.095 0.800  1.127 0.896  1.159 0.991  1.189 1.086  1.218 1.183  1.247 1.279
1c#apb#apb14#app1415/a  0.254 -0.097  0.424 0.008  0.583 0.130  0.757 0.204  0.952 0.213  1.057 0.335  1.007 0.525  0.896 0.663  0.756 0.797  0.573 0.872  0.374 0.894  0.182 0.951  -0.004 0.954  -0.187 0.872  -0.381 0.822  -0.572 0.763  -0.762 0.700  -0.921 0.582  -1.066 0.445  -1.189 0.287  -1.309 0.127  -1.411 -0.042  -1.450 -0.238  -1.485 -0.435  -1.450 -0.626  -1.322 -0.780  -1.142 -0.864  -0.945 -0.893  -0.746 -0.908  -0.547 -0.894  -0.355 -0.851  -0.179 -0.755  -0.005 -0.656  0.167 -0.553  0.329 -0.437  0.487 -0.314  0.566 -0.131  0.628 0.058  0.668 0.254  0.676 0.454  0.618 0.596  0.527 0.420  0.501 0.221  0.495 0.022  0.486 -0.178  0.492 -0.371  0.567 -0.556  0.653 -0.730  0.805 -0.860  0.947 -1.001
1c#apb#apb14#app1415/n  -0.932 0.483  -0.913 0.574  -0.909 0.469  -0.909 0.360  -0.904 0.251  -0.886 0.144  -0.886 0.035  -0.886 -0.074  -0.886 -0.183  -0.893 -0.292  -0.908 -0.400  -0.920 -0.505  -0.977 -0.590  -0.966 -0.518  -0.918 -0.420  -0.881 -0.318  -0.858 -0.212  -0.847 -0.103  -0.815 -0.003  -0.751 0.086  -0.688 0.175  -0.624 0.264  -0.536 0.325  -0.437 0.370  -0.335 0.409  -0.232 0.444  -0.128 0.478  -0.020 0.475  0.089 0.465  0.197 0.460  0.307 0.460  0.415 0.454  0.521 0.430  0.622 0.393  0.713 0.333  0.805 0.274  0.902 0.225  0.993 0.168  1.063 0.084  1.134 0.001  1.205 -0.082  1.256 -0.177  1.298 -0.278  1.333 -0.381  1.340 -0.489  1.340 -0.598  1.340 -0.707  1.340 -0.817  1.340 -0.926  1.294 -1.016
1c#apb#apb14#app1415/i  0.024 0.926  -0.011 0.997  -0.020 1.074  -0.020 1.153  0.016 1.209  0.068 1.256  0.068 1.335  0.068 1.410  0.068 1.331  0.113 1.296  0.113 1.217  0.113 1.138  0.107 1.059  0.097 0.981  0.088 0.903  0.078 0.824  0.068 0.746  0.057 0.667  0.045 0.589  0.034 0.511  0.024 0.433  0.024 0.354  0.024 0.275  0.024 0.195  0.024 0.116  0.024 0.037  0.024 -0.042  0.006 -0.118  -0.013 -0.195  -0.032 -0.272  -0.051 -0.349  -0.071 -0.425  -0.090 -0.502  -0.108 -0.579  -0.108 -0.658  -0.108 -0.737  -0.108 -0.816  -0.110 -0.895  -0.119 -0.973  -0.129 -1.052  -0.139 -1.130  -0.149 -1.208  -0.141 -1.286  -0.122 -1.363  -0.094 -1.435  -0.047 -1.498  0.000 -1.562  0.060 -1.611  0.130 -1.646  0.201 -1.682
1c#apb#apb14#app1415/z  -0.149 0.454  -0.200 0.620  -0.326 0.716  -0.357 0.768  -0.447 0.753  -0.580 0.802  -0.757 0.802  -0.806 0.822  -0.632 0.809  -0.457 0.829  -0.285 0.872  -0.111 0.894  0.066 0.894  0.242 0.894  0.413 0.858  0.583 0.825  0.755 0.801  0.777 0.626  0.705 0.468  0.585 0.340  0.438 0.242  0.284 0.156  0.128 0.073  -0.034 0.001  -0.199 -0.061  -0.364 -0.124  -0.528 -0.190  -0.692 -0.257  -0.852 -0.331  -1.014 -0.402  -1.178 -0.468  -1.285 -0.597  -1.127 -0.648  -0.958 -0.699  -0.782 -0.705  -0.607 -0.719  -0.437 -0.765  -0.264 -0.798  -0.087 -0.798  0.089 -0.798  0.266 -0.790  0.443 -0.781  0.619 -0.767  0.793 -0.738  0.967 -0.709  1.144 -0.705  1.321 -0.705  1.489 -0.654  1.659 -0.613  1.752 -0.497
1c#apb#apb14#app1415/e  -0.648 0.192  -0.547 0.279  -0.393 0.214  -0.223 0.207  -0.061 0.153  0.109 0.147  0.278 0.170  0.444 0.208  0.609 0.253  0.776 0.291  0.913 0.382  1.040 0.494  1.047 0.647  0.938 0.776  0.801 0.865  0.630 0.865  0.460 0.851  0.292 0.821  0.124 0.790  -0.044 0.755  -0.211 0.720  -0.367 0.655  -0.518 0.575  -0.667 0.492  -0.803 0.387  -0.938 0.283  -1.059 0.163  -1.176 0.038  -1.264 -0.108  -1.345 -0.258  -1.401 -0.419  -1.330 -0.557  -1.177 -0.634  -1.011 -0.673  -0.844 -0.708  -0.675 -0.733  -0.506 -0.759  -0.338 -0.759  -0.172 -0.717  -0.006 -0.676  0.162 -0.652  0.333 -0.638  0.503 -0.624  0.673 -0.606  0.843 -0.585  1.012 -0.564  1.181 -0.541  1.350 -0.514  1.519 -0.487  1.688 -0.460
1c#apb#apb14#app1415/d  -0.602 -0.109  -0.594 -0.036  -0.785 -0.082  -0.977 -0.134  -1.159 -0.214  -1.338 -0.302  -1.441 -0.472  -1.398 -0.640  -1.214 -0.705  -1.018 -0.731  -0.821 -0.700  -0.633 -0.635  -0.454 -0.548  -0.279 -0.451  -0.108 -0.350  0.048 -0.228  0.196 -0.094  0.312 0.067  0.422 0.233  0.504 0.414  0.578 0.599  0.634 0.790  0.659 0.987  0.662 1.186  0.622 1.377  0.457 1.428  0.271 1.357  0.121 1.226  -0.017 1.083  -0.141 0.927  -0.248 0.760  -0.335 0.581  -0.403 0.394  -0.446 0.199  -0.468 0.001  -0.443 -0.196  -0.327 -0.357  -0.165 -0.474  0.015 -0.555  0.203 -0.619  0.400 -0.649  0.598 -0.676  0.795 -0.699  0.993 -0.672  1.189 -0.636  1.379 -0.581  1.443 -0.414  1.289 -0.291  1.105 -0.216  0.919 -0.145
1c#apb#apb14#app1415/t  0.591 1.119  0.651 1.286  0.608 1.379  0.591 1.403  0.591 1.381  0.516 1.257  0.433 1.096  0.383 0.921  0.335 0.745  0.291 0.568  0.249 0.391  0.212 0.213  0.173 0.035  0.127 -0.141  0.081 -0.317  0.053 -0.497  0.030 -0.677  0.027 -0.859  0.027 -1.041  -0.007 -1.220  -0.022 -1.400  -0.081 -1.412  -0.140 -1.241  -0.207 -1.079  -0.342 -0.957  -0.476 -0.835  -0.611 -0.712  -0.746 -0.590  -0.881 -0.468  -1.016 -0.345  -1.150 -0.223  -1.285 -0.101  -1.293 -0.021  -1.122 -0.031  -0.992 0.051  -0.947 0.041  -0.766 0.035  -0.585 0.054  -0.406 0.084  -0.225 0.100  -0.043 0.100  0.137 0.121  0.317 0.151  0.497 0.170  0.679 0.180  0.859 0.203  1.036 0.244  1.218 0.251  1.369 0.336  1.263 0.251
1c#apb#apb14#app1415/h  0.431 1.315  0.329 1.439  0.250 1.576  0.189 1.688  0.091 1.616  0.001 1.482  -0.078 1.343  -0.141 1.194  -0.193 1.043  -0.221 0.884  -0.249 0.725  -0.305 0.574  -0.362 0.423  -0.393 0.266  -0.411 0.106  -0.431 -0.054  -0.457 -0.214  -0.484 -0.373  -0.519 -0.530  -0.558 -0.686  -0.578 -0.846  -0.600 -1.006  -0.646 -1.079  -0.759 -0.975  -0.796 -0.821  -0.765 -0.663  -0.710 -0.513  -0.627 -0.375  -0.522 -0.253  -0.408 -0.139  -0.279 -0.044  -0.139 0.036  0.010 0.095  0.152 0.172  0.296 0.244  0.444 0.309  0.598 0.355  0.711 0.294  0.767 0.148  0.782 -0.013  0.782 -0.174  0.782 -0.335  0.766 -0.496  0.746 -0.655  0.708 -0.812  0.676 -0.970  0.634 -1.125  0.553 -1.262  0.502 -1.415  0.431 -1.497
1c#apb#apb14#app1415/e  -0.566 -0.001  -0.519 0.085  -0.352 0.085  -0.193 0.052  -0.048 -0.030  0.119 -0.030  0.284 -0.053  0.447 -0.086  0.611 -0.051  0.775 -0.030  0.891 0.074  0.947 0.231  0.918 0.391  0.868 0.551  0.783 0.689  0.665 0.807  0.520 0.886  0.366 0.953  0.210 1.012  0.047 1.045  -0.119 1.061  -0.285 1.042  -0.445 0.999  -0.594 0.926  -0.726 0.823  -0.845 0.709  -0.925 0.563  -1.003 0.415  -1.068 0.261  -1.132 0.107  -1.180 -0.053  -1.178 -0.216  -1.146 -0.380  -1.032 -0.497  -0.898 -0.595  -0.747 -0.665  -0.595 -0.735  -0.435 -0.781  -0.272 -0.821  -0.110 -0.862  0.057 -0.863  0.224 -0.863  0.391 -0.858  0.558 -0.845  0.724 -0.830  0.889 -0.805  1.055 -0.779  1.221 -0.760  1.366 -0.704  1.474 -0.576
1c#apb#apb14#app1415/m  -0.599 0.741  -0.535 0.945  -0.463 1.012  -0.548 0.792  -0.608 0.565  -0.647 0.332  -0.705 0.104  -0.765 -0.124  -0.846 -0.344  -0.948 -0.557  -1.064 -0.762  -1.192 -0.959  -1.266 -1.006  -1.203 -0.779  -1.128 -0.556  -1.054 -0.332  -0.947 -0.123  -0.828 0.081  -0.696 0.275  -0.529 0.442  -0.358 0.603  -0.171 0.745  0.042 0.845  0.261 0.825  0.354 0.623  0.354 0.387  0.304 0.157  0.239 -0.069  0.097 -0.257  -0.039 -0.450  -0.189 -0.629  -0.281 -0.696  -0.153 -0.505  0.029 -0.356  0.207 -0.203  0.374 -0.036  0.571 0.092  0.774 0.212  0.985 0.318  1.194 0.426  1.394 0.549  1.539 0.571  1.458 0.351  1.380 0.128  1.304 -0.095  1.214 -0.311  1.088 -0.508  0.927 -0.679  0.793 -0.873  0.879 -0.912
1c#apb#apb14#app1415/o  -0.039 0.861  0.004 1.008  0.143 0.981  0.254 0.871  0.311 0.751  0.160 0.708  0.008 0.659  -0.141 0.611  -0.274 0.522  -0.417 0.452  -0.569 0.402  -0.687 0.295  -0.800 0.182  -0.923 0.079  -1.050 -0.019  -1.124 -0.157  -1.184 -0.305  -1.229 -0.459  -1.207 -0.612  -1.130 -0.751  -1.030 -0.875  -0.897 -0.964  -0.741 -0.997  -0.584 -1.025  -0.423 -1.025  -0.263 -1.025  -0.103 -1.025  0.057 -1.025  0.216 -1.020  0.357 -0.943  0.498 -0.866  0.630 -0.775  0.761 -0.684  0.864 -0.562  0.963 -0.436  1.007 -0.283  1.046 -0.127  1.043 0.031  1.030 0.191  0.978 0.341  0.912 0.487  0.829 0.624  0.743 0.757  0.604 0.837  0.472 0.928  0.323 0.926  0.198 0.825  0.117 0.696  0.108 0.539  0.179 0.396
1c#apb#apb14#app1415/c  -0.055 0.743  -0.084 0.785  -0.120 0.661  -0.146 0.534  -0.167 0.407  -0.158 0.313  -0.095 0.426  -0.063 0.549  -0.055 0.678  -0.094 0.781  -0.218 0.810  -0.346 0.795  -0.473 0.767  -0.584 0.700  -0.684 0.621  -0.763 0.518  -0.844 0.417  -0.927 0.317  -0.989 0.203  -1.051 0.090  -1.095 -0.032  -1.131 -0.156  -1.150 -0.284  -1.078 -0.392  -1.003 -0.498  -0.915 -0.586  -0.792 -0.627  -0.669 -0.666  -0.540 -0.682  -0.412 -0.698  -0.283 -0.704  -0.155 -0.687  -0.026 -0.670  0.103 -0.659  0.232 -0.652  0.362 -0.645  0.486 -0.614  0.607 -0.567  0.728 -0.520  0.846 -0.469  0.959 -0.405  1.072 -0.342  1.185 -0.277  1.291 -0.203  1.397 -0.129  1.469 -0.021  1.541 0.087  1.594 0.203  1.630 0.328  1.665 0.453
1c#apb#apb14#app1415/k  0.150 1.710  0.011 1.717  -0.127 1.560  -0.229 1.374  -0.305 1.175  -0.331 0.964  -0.356 0.753  -0.385 0.542  -0.416 0.332  -0.438 0.121  -0.468 -0.090  -0.499 -0.300  -0.524 -0.511  -0.562 -0.721  -0.624 -0.741  -0.637 -0.532  -0.598 -0.322  -0.513 -0.130  -0.396 0.046  -0.221 0.165  -0.027 0.252  0.167 0.339  0.361 0.427  0.555 0.514  0.723 0.634  0.864 0.793  0.982 0.915  0.863 0.756  0.693 0.628  0.527 0.496  0.366 0.356  0.191 0.236  0.011 0.123  -0.175 0.021  -0.364 -0.077  -0.554 -0.172  -0.731 -0.285  -0.823 -0.433  -0.734 -0.602  -0.567 -0.733  -0.374 -0.812  -0.167 -0.862  0.037 -0.921  0.245 -0.967  0.444 -1.040  0.643 -1.113  0.822 -1.221  0.994 -1.341  1.171 -1.456  1.327 -1.569
1c#apb#apb14#app1415/j  0.100 0.667  0.153 0.688  0.171 0.673  0.199 0.538  0.232 0.400  0.255 0.260  0.284 0.121  0.310 -0.019  0.319 -0.161  0.326 -0.302  0.326 -0.444  0.332 -0.586  0.340 -0.728  0.318 -0.867  0.283 -1.004  0.254 -1.143  0.188 -1.260  0.061 -1.324  -0.074 -1.362  -0.216 -1.362  -0.358 -1.362  -0.499 -1.352  -0.617 -1.286  -0.709 -1.179  -0.654 -1.068  -0.600 -0.937  -0.551 -0.804  -0.503 -0.670  -0.454 -0.537  -0.406 -0.403  -0.358 -0.270  -0.309 -0.136  -0.261 -0.003  -0.212 0.131  -0.164 0.264  -0.116 0.398  -0.067 0.531  -0.019 0.665  0.029 0.798  0.078 0.932  0.126 1.066  0.175 1.199  0.223 1.333  0.271 1.466  0.314 1.601  0.280 1.627  0.257 1.489  0.240 1.349  0.290 1.223  0.413 1.152
1c#apb#apb14#app1415/u  -0.978 0.963  -1.033 0.842  -1.067 0.696  -1.102 0.551  -1.157 0.412  -1.181 0.267  -1.189 0.119  -1.229 -0.025  -1.248 -0.172  -1.248 -0.322  -1.248 -0.472  -1.204 -0.614  -1.091 -0.712  -0.956 -0.751  -0.806 -0.751  -0.658 -0.731  -0.510 -0.710  -0.370 -0.660  -0.231 -0.603  -0.093 -0.545  0.037 -0.471  0.166 -0.397  0.289 -0.312  0.408 -0.221  0.520 -0.125  0.591 0.007  0.661 0.139  0.727 0.274  0.789 0.410  0.831 0.553  0.868 0.698  0.872 0.847  0.849 0.987  0.718 1.031  0.590 0.968  0.515 0.843  0.458 0.705  0.423 0.560  0.398 0.413  0.398 0.263  0.412 0.115  0.437 -0.033  0.488 -0.172  0.550 -0.308  0.631 -0.434  0.724 -0.551  0.844 -0.635  0.988 -0.661  1.137 -0.661  1.278 -0.615
1c#apb#apb14#app1415/r  -1.192 1.028  -1.204 1.032  -1.131 0.934  -1.048 0.846  -0.962 0.760  -0.903 0.654  -0.844 0.548  -0.785 0.442  -0.726 0.335  -0.668 0.229  -0.610 0.122  -0.552 0.015  -0.493 -0.091  -0.434 -0.197  -0.375 -0.304  -0.315 -0.409  -0.255 -0.515  -0.195 -0.621  -0.166 -0.738  -0.142 -0.857  -0.118 -0.976  -0.079 -1.091  -0.032 -1.202  0.024 -1.309  0.084 -1.334  0.104 -1.215  0.133 -1.097  0.162 -0.979  0.162 -0.858  0.162 -0.736  0.165 -0.615  0.182 -0.494  0.199 -0.374  0.216 -0.254  0.233 -0.134  0.278 -0.023  0.338 0.084  0.397 0.190  0.446 0.300  0.479 0.417  0.516 0.532  0.602 0.618  0.688 0.704  0.777 0.786  0.872 0.862  0.973 0.928  1.084 0.976  1.196 1.024  1.317 1.028  1.438 1.028
1c#apb#apb14#app1415/y  -0.596 1.158  -0.635 1.144  -0.700 1.050  -0.740 0.942  -0.782 0.834  -0.807 0.722  -0.803 0.607  -0.752 0.506  -0.664 0.432  -0.560 0.395  -0.444 0.387  -0.329 0.387  -0.214 0.394  -0.108 0.440  -0.002 0.486  0.104 0.531  0.197 0.597  0.271 0.684  0.327 0.785  0.356 0.896  0.401 1.001  0.401 1.067  0.357 0.961  0.326 0.850  0.305 0.736  0.294 0.621  0.289 0.506  0.284 0.390  0.275 0.275  0.266 0.159  0.257 0.044  0.257 -0.072  0.257 -0.187  0.257 -0.303  0.257 -0.418  0.257 -0.534  0.257 -0.650  0.256 -0.765  0.243 -0.880  0.231 -0.995  0.219 -1.110  0.208 -1.225  0.198 -1.341  0.185 -1.455  0.148 -1.565  0.113 -1.675  0.083 -1.787  0.029 -1.786  -0.004 -1.676  -0.027 -1.563
