3#apb#apb02#app0239/S  0.414 0.978  0.416 1.093  0.470 1.193  0.505 1.290  0.411 1.337  0.299 1.329  0.189 1.295  0.088 1.243  -0.006 1.178  -0.101 1.113  -0.190 1.041  -0.280 0.969  -0.368 0.896  -0.450 0.815  -0.531 0.734  -0.609 0.650  -0.679 0.560  -0.701 0.452  -0.661 0.356  -0.568 0.290  -0.466 0.236  -0.365 0.182  -0.254 0.154  -0.142 0.126  -0.031 0.098  0.077 0.061  0.183 0.016  0.289 -0.028  0.380 -0.096  0.465 -0.174  0.533 -0.264  0.593 -0.362  0.617 -0.469  0.609 -0.583  0.582 -0.694  0.544 -0.802  0.493 -0.904  0.431 -1.001  0.362 -1.091  0.269 -1.158  0.173 -1.220  0.070 -1.272  -0.037 -1.308  -0.151 -1.327  -0.264 -1.316  -0.375 -1.292  -0.465 -1.222  -0.538 -1.136  -0.594 -1.036  -0.637 -0.933
3#apb#apb02#app0239/8  0.325 0.822  0.382 0.980  0.305 1.134  0.244 1.295  0.085 1.350  -0.084 1.353  -0.245 1.291  -0.405 1.227  -0.564 1.160  -0.675 1.030  -0.754 0.882  -0.776 0.713  -0.734 0.546  -0.627 0.424  -0.485 0.326  -0.340 0.234  -0.187 0.153  -0.035 0.073  0.114 -0.015  0.262 -0.102  0.395 -0.209  0.517 -0.331  0.617 -0.467  0.676 -0.629  0.680 -0.801  0.648 -0.968  0.588 -1.128  0.461 -1.244  0.328 -1.353  0.180 -1.442  0.018 -1.497  -0.147 -1.489  -0.304 -1.422  -0.435 -1.313  -0.512 -1.159  -0.532 -0.991  -0.522 -0.820  -0.467 -0.657  -0.404 -0.497  -0.315 -0.350  -0.225 -0.203  -0.124 -0.063  -0.023 0.076  0.085 0.210  0.203 0.336  0.320 0.462  0.447 0.579  0.574 0.695  0.680 0.831  0.785 0.968
3#apb#apb02#app0239/A  -0.407 0.345  -0.368 0.604  -0.413 0.609  -0.445 0.348  -0.481 0.087  -0.517 -0.173  -0.554 -0.434  -0.552 -0.696  -0.534 -0.958  -0.486 -1.216  -0.408 -1.436  -0.446 -1.177  -0.446 -0.914  -0.452 -0.652  -0.462 -0.389  -0.460 -0.126  -0.451 0.137  -0.438 0.399  -0.417 0.662  -0.377 0.921  -0.319 1.177  -0.244 1.429  -0.152 1.675  -0.053 1.919  0.048 1.812  0.095 1.553  0.158 1.298  0.237 1.048  0.324 0.799  0.418 0.554  0.536 0.319  0.651 0.083  0.764 -0.154  0.861 -0.399  0.960 -0.642  1.085 -0.873  1.150 -1.049  0.894 -0.992  0.641 -0.933  0.407 -0.812  0.174 -0.691  -0.060 -0.570  -0.293 -0.449  -0.539 -0.456  -0.412 -0.409  -0.155 -0.352  0.100 -0.289  0.356 -0.232  0.611 -0.166  0.871 -0.139
3#apb#apb02#app0239/u  -0.950 0.314  -0.954 0.487  -1.002 0.654  -1.012 0.826  -1.012 0.820  -1.012 0.646  -1.038 0.475  -1.066 0.304  -1.065 0.131  -1.050 -0.042  -1.011 -0.209  -0.949 -0.371  -0.886 -0.533  -0.754 -0.646  -0.613 -0.744  -0.454 -0.815  -0.287 -0.845  -0.117 -0.834  0.030 -0.742  0.146 -0.622  0.216 -0.464  0.260 -0.297  0.288 -0.126  0.291 0.046  0.263 0.217  0.235 0.388  0.211 0.560  0.186 0.732  0.155 0.903  0.121 1.073  0.049 1.217  -0.028 1.064  -0.070 0.896  -0.051 0.724  -0.004 0.560  0.079 0.408  0.162 0.255  0.239 0.100  0.317 -0.056  0.418 -0.196  0.526 -0.332  0.652 -0.448  0.798 -0.541  0.946 -0.632  1.104 -0.703  1.262 -0.776  1.417 -0.837  1.573 -0.760  1.726 -0.697  1.715 -0.532
3#apb#apb02#app0239/g  -0.302 1.241  -0.272 1.385  -0.433 1.346  -0.548 1.227  -0.653 1.097  -0.711 0.943  -0.640 0.806  -0.496 0.736  -0.330 0.747  -0.172 0.793  -0.047 0.905  0.071 1.023  0.116 1.180  0.116 1.313  0.078 1.212  0.083 1.046  0.125 0.885  0.188 0.730  0.259 0.579  0.323 0.424  0.386 0.269  0.429 0.108  0.471 -0.054  0.519 -0.214  0.568 -0.374  0.611 -0.536  0.654 -0.697  0.677 -0.863  0.692 -1.029  0.692 -1.196  0.657 -1.358  0.517 -1.447  0.362 -1.426  0.217 -1.344  0.080 -1.248  -0.045 -1.138  -0.170 -1.026  -0.292 -0.912  -0.416 -0.800  -0.547 -0.696  -0.683 -0.599  -0.838 -0.546  -0.717 -0.493  -0.557 -0.443  -0.400 -0.387  -0.239 -0.343  -0.080 -0.293  0.073 -0.225  0.233 -0.179  0.389 -0.128
3#apb#apb02#app0239/.  0.753 -1.680  0.753 -1.576  0.753 -1.472  0.753 -1.368  0.753 -1.264  0.753 -1.160  0.753 -1.057  0.753 -0.953  0.753 -0.849  0.753 -0.745  0.753 -0.641  0.753 -0.537  0.753 -0.433  0.753 -0.330  0.753 -0.226  0.753 -0.122  0.682 -0.062  0.589 -0.016  0.496 0.031  0.403 0.077  0.310 0.124  0.218 0.170  0.125 0.217  0.032 0.263  -0.061 0.309  -0.154 0.356  -0.247 0.402  -0.301 0.387  -0.301 0.283  -0.301 0.179  -0.301 0.075  -0.301 -0.029  -0.326 -0.073  -0.399 0.000  -0.473 0.074  -0.546 0.147  -0.620 0.221  -0.693 0.294  -0.767 0.368  -0.829 0.446  -0.829 0.550  -0.829 0.653  -0.829 0.757  -0.829 0.861  -0.829 0.965  -0.829 1.069  -0.829 1.173  -0.829 1.277  -0.829 1.380  -0.829 1.484
3#apb#apb02#app0239/9  0.202 0.490  0.273 0.620  0.331 0.755  0.344 0.903  0.314 1.046  0.199 1.133  0.065 1.194  -0.084 1.194  -0.229 1.166  -0.374 1.133  -0.494 1.045  -0.613 0.956  -0.711 0.845  -0.807 0.732  -0.880 0.605  -0.930 0.465  -0.953 0.321  -0.941 0.173  -0.889 0.038  -0.813 -0.090  -0.701 -0.188  -0.571 -0.249  -0.425 -0.275  -0.288 -0.222  -0.153 -0.160  -0.033 -0.072  0.084 0.019  0.189 0.125  0.264 0.248  0.307 0.390  0.360 0.528  0.409 0.527  0.388 0.380  0.380 0.231  0.372 0.083  0.362 -0.066  0.350 -0.214  0.337 -0.362  0.329 -0.510  0.348 -0.657  0.366 -0.805  0.385 -0.952  0.394 -1.100  0.401 -1.249  0.408 -1.397  0.450 -1.539  0.500 -1.679  0.566 -1.812  0.619 -1.933  0.595 -1.809
3#apb#apb02#app0239/M  -0.469 0.727  -0.526 0.969  -0.598 1.041  -0.642 0.797  -0.642 0.548  -0.657 0.300  -0.677 0.052  -0.685 -0.197  -0.693 -0.446  -0.685 -0.695  -0.677 -0.944  -0.677 -1.193  -0.638 -1.434  -0.535 -1.229  -0.511 -0.981  -0.497 -0.732  -0.487 -0.484  -0.487 -0.235  -0.487 0.014  -0.487 0.263  -0.478 0.512  -0.469 0.761  -0.465 1.009  -0.452 1.258  -0.469 1.105  -0.469 0.856  -0.428 0.610  -0.364 0.370  -0.268 0.141  -0.143 -0.074  -0.001 -0.277  0.178 -0.451  0.390 -0.568  0.546 -0.420  0.591 -0.175  0.624 0.071  0.636 0.320  0.665 0.567  0.713 0.811  0.762 0.958  0.841 0.722  0.893 0.479  0.931 0.233  0.965 -0.014  1.017 -0.257  1.069 -0.500  1.118 -0.745  1.199 -0.980  1.298 -1.205  1.328 -1.261
3#apb#apb02#app0239/a  0.528 0.680  0.438 0.844  0.369 1.018  0.243 1.149  0.063 1.185  -0.120 1.151  -0.281 1.054  -0.436 0.951  -0.575 0.824  -0.714 0.698  -0.841 0.561  -0.967 0.421  -1.056 0.259  -1.130 0.086  -1.184 -0.090  -1.184 -0.278  -1.171 -0.463  -1.101 -0.637  -0.988 -0.772  -0.823 -0.862  -0.648 -0.911  -0.461 -0.911  -0.279 -0.874  -0.100 -0.819  0.041 -0.695  0.171 -0.561  0.275 -0.405  0.329 -0.231  0.347 -0.044  0.348 0.143  0.348 0.331  0.318 0.515  0.276 0.698  0.230 0.880  0.115 0.907  0.107 0.721  0.122 0.534  0.152 0.351  0.236 0.183  0.309 0.011  0.364 -0.168  0.428 -0.344  0.524 -0.505  0.625 -0.663  0.732 -0.817  0.861 -0.947  1.025 -1.038  1.202 -1.091  1.381 -1.055  1.549 -0.971
3#apb#apb02#app0239/y  -0.437 1.215  -0.413 1.375  -0.466 1.340  -0.531 1.190  -0.565 1.034  -0.555 0.872  -0.485 0.731  -0.343 0.667  -0.192 0.721  -0.060 0.815  0.035 0.946  0.082 1.100  0.059 1.260  0.008 1.327  0.017 1.167  0.065 1.012  0.125 0.860  0.190 0.711  0.253 0.560  0.310 0.408  0.364 0.254  0.420 0.101  0.473 -0.052  0.502 -0.213  0.532 -0.373  0.564 -0.533  0.579 -0.694  0.583 -0.857  0.575 -1.020  0.534 -1.176  0.462 -1.320  0.355 -1.443  0.230 -1.544  0.073 -1.571  -0.071 -1.499  -0.201 -1.401  -0.302 -1.277  -0.384 -1.136  -0.434 -0.982  -0.476 -0.824  -0.500 -0.663  -0.527 -0.503  -0.519 -0.343  -0.437 -0.204  -0.307 -0.112  -0.154 -0.056  0.003 -0.011  0.163 0.019  0.321 0.056  0.483 0.065
3#apb#apb02#app0239/2  -0.544 1.085  -0.616 1.152  -0.673 1.169  -0.571 1.169  -0.473 1.196  -0.377 1.232  -0.275 1.233  -0.172 1.233  -0.071 1.220  0.028 1.195  0.128 1.170  0.224 1.135  0.315 1.091  0.381 1.013  0.434 0.928  0.454 0.828  0.466 0.728  0.439 0.629  0.412 0.530  0.371 0.436  0.327 0.343  0.284 0.250  0.235 0.160  0.178 0.075  0.121 -0.010  0.064 -0.096  0.005 -0.179  -0.056 -0.262  -0.117 -0.344  -0.177 -0.427  -0.236 -0.511  -0.294 -0.595  -0.353 -0.680  -0.398 -0.771  -0.436 -0.866  -0.470 -0.963  -0.499 -1.061  -0.444 -1.142  -0.352 -1.187  -0.253 -1.190  -0.151 -1.181  -0.049 -1.169  0.053 -1.153  0.154 -1.137  0.254 -1.114  0.353 -1.090  0.453 -1.067  0.555 -1.053  0.644 -1.005  0.724 -0.944
3#apb#apb02#app0239/2  -0.538 0.872  -0.639 0.930  -0.726 1.008  -0.735 1.078  -0.627 1.124  -0.527 1.184  -0.426 1.244  -0.311 1.253  -0.194 1.253  -0.077 1.253  0.034 1.229  0.136 1.171  0.219 1.089  0.285 0.993  0.310 0.883  0.291 0.768  0.258 0.656  0.214 0.548  0.165 0.441  0.115 0.335  0.053 0.236  -0.008 0.136  -0.073 0.038  -0.145 -0.054  -0.218 -0.146  -0.290 -0.239  -0.356 -0.335  -0.423 -0.431  -0.482 -0.531  -0.517 -0.643  -0.551 -0.755  -0.588 -0.867  -0.595 -0.978  -0.497 -1.038  -0.381 -1.051  -0.264 -1.053  -0.147 -1.044  -0.030 -1.036  0.081 -0.999  0.192 -0.962  0.304 -0.925  0.414 -0.887  0.525 -0.848  0.636 -0.810  0.746 -0.771  0.856 -0.729  0.964 -0.685  1.073 -0.642  1.189 -0.633  1.306 -0.633
