3#apa#apa02#app0248/b  -0.028 1.653  -0.028 1.835  -0.150 1.896  -0.231 1.733  -0.271 1.560  -0.271 1.378  -0.271 1.196  -0.271 1.014  -0.312 0.842  -0.393 0.678  -0.393 0.496  -0.393 0.314  -0.393 0.132  -0.393 -0.050  -0.421 -0.226  -0.502 -0.389  -0.514 -0.568  -0.514 -0.750  -0.514 -0.932  -0.514 -1.114  -0.514 -1.227  -0.514 -1.045  -0.465 -0.871  -0.407 -0.698  -0.386 -0.520  -0.304 -0.357  -0.195 -0.214  -0.066 -0.085  -0.028 0.081  0.020 0.243  0.148 0.372  0.277 0.501  0.435 0.560  0.617 0.560  0.701 0.461  0.822 0.401  0.822 0.219  0.935 0.083  0.943 -0.095  0.867 -0.246  0.822 -0.409  0.781 -0.574  0.701 -0.723  0.573 -0.782  0.441 -0.906  0.278 -0.987  0.104 -1.019  -0.028 -1.140  -0.210 -1.140  -0.393 -1.140
3#apa#apa02#app0248/l  0.652 1.536  0.652 1.462  0.621 1.400  0.568 1.347  0.546 1.281  0.534 1.218  0.460 1.218  0.401 1.179  0.348 1.126  0.334 1.058  0.323 0.985  0.290 0.918  0.257 0.852  0.220 0.787  0.168 0.734  0.122 0.678  0.122 0.603  0.105 0.531  0.081 0.460  0.058 0.390  0.034 0.319  0.008 0.249  -0.025 0.182  -0.059 0.115  -0.090 0.048  -0.090 -0.027  -0.090 -0.102  -0.102 -0.172  -0.155 -0.225  -0.196 -0.282  -0.196 -0.357  -0.196 -0.432  -0.216 -0.498  -0.269 -0.551  -0.303 -0.612  -0.303 -0.687  -0.303 -0.762  -0.303 -0.836  -0.303 -0.911  -0.303 -0.986  -0.339 -1.045  -0.392 -1.098  -0.409 -1.166  -0.409 -1.241  -0.409 -1.316  -0.364 -1.372  -0.311 -1.425  -0.303 -1.496  -0.271 -1.539  -0.196 -1.539
3#apa#apa02#app0248/s  0.579 0.987  0.579 1.110  0.489 1.142  0.367 1.142  0.245 1.142  0.123 1.142  0.001 1.142  -0.122 1.142  -0.244 1.142  -0.349 1.125  -0.349 1.003  -0.456 0.987  -0.578 0.987  -0.658 0.945  -0.658 0.823  -0.658 0.701  -0.658 0.579  -0.591 0.524  -0.503 0.489  -0.501 0.369  -0.379 0.369  -0.349 0.277  -0.289 0.214  -0.194 0.187  -0.194 0.065  -0.077 0.060  -0.039 -0.025  0.013 -0.095  0.115 -0.114  0.115 -0.237  0.224 -0.249  0.324 -0.304  0.411 -0.390  0.497 -0.477  0.583 -0.563  0.670 -0.649  0.734 -0.745  0.734 -0.867  0.648 -0.954  0.561 -1.040  0.475 -1.127  0.374 -1.177  0.253 -1.185  0.144 -1.240  0.035 -1.295  -0.079 -1.332  -0.199 -1.336  -0.285 -1.423  -0.381 -1.486  -0.503 -1.486
3#apa#apa02#app0248/w  -0.942 0.580  -0.942 0.755  -0.942 0.763  -1.068 0.713  -1.076 0.546  -1.076 0.371  -1.159 0.230  -1.209 0.075  -1.209 -0.100  -1.209 -0.275  -1.209 -0.450  -1.111 -0.585  -0.988 -0.709  -0.831 -0.754  -0.701 -0.646  -0.538 -0.616  -0.414 -0.492  -0.290 -0.368  -0.260 -0.205  -0.142 -0.079  -0.107 0.081  0.007 0.212  0.086 0.369  0.124 0.535  0.124 0.710  0.086 0.580  -0.009 0.499  -0.009 0.324  -0.009 0.149  -0.009 -0.027  -0.009 -0.202  0.102 -0.331  0.226 -0.455  0.258 -0.617  0.391 -0.659  0.471 -0.754  0.646 -0.754  0.791 -0.724  0.863 -0.620  1.005 -0.540  1.058 -0.387  1.064 -0.214  1.188 -0.090  1.191 0.084  1.216 0.255  1.272 0.421  1.325 0.588  1.325 0.763  1.325 0.938  1.325 1.113
3#apa#apa02#app0248/a  -0.060 0.488  -0.084 0.627  -0.234 0.661  -0.354 0.766  -0.517 0.766  -0.662 0.720  -0.787 0.627  -0.894 0.571  -0.951 0.431  -1.067 0.315  -1.172 0.196  -1.172 0.032  -1.172 -0.131  -1.172 -0.295  -1.172 -0.458  -1.172 -0.622  -1.033 -0.646  -0.987 -0.763  -0.823 -0.763  -0.660 -0.763  -0.496 -0.763  -0.334 -0.759  -0.219 -0.644  -0.103 -0.528  0.012 -0.413  0.079 -0.277  0.079 -0.113  0.163 0.015  0.218 0.156  0.218 0.319  0.218 0.483  0.218 0.646  0.218 0.810  0.286 0.905  0.357 0.812  0.357 0.649  0.457 0.527  0.573 0.411  0.635 0.273  0.706 0.139  0.834 0.041  0.980 -0.032  1.052 -0.151  1.128 -0.283  1.191 -0.420  1.261 -0.555  1.396 -0.624  1.469 -0.714  1.584 -0.763  1.608 -0.902
3#apa#apa02#app0248/x  -0.913 1.179  -0.860 1.044  -0.778 0.937  -0.665 0.796  -0.531 0.662  -0.398 0.529  -0.360 0.356  -0.227 0.223  -0.104 0.086  -0.056 -0.083  0.031 -0.235  0.031 -0.424  0.058 -0.601  0.165 -0.745  0.165 -0.933  0.171 -1.119  0.300 -1.254  0.319 -1.326  0.379 -1.147  0.438 -0.968  0.498 -0.790  0.557 -0.611  0.617 -0.432  0.677 -0.253  0.736 -0.075  0.796 0.104  0.855 0.283  0.915 0.462  0.974 0.640  1.034 0.819  1.094 0.998  1.104 0.909  0.919 0.891  0.740 0.831  0.564 0.768  0.428 0.640  0.246 0.613  0.078 0.528  -0.065 0.409  -0.199 0.276  -0.332 0.143  -0.465 0.009  -0.622 -0.091  -0.788 -0.179  -0.921 -0.312  -1.054 -0.445  -1.188 -0.578  -1.321 -0.712  -1.454 -0.845  -1.587 -0.978
3#apa#apa02#app0248/m  -1.438 0.400  -1.335 0.320  -1.233 0.179  -1.233 -0.004  -1.233 -0.187  -1.195 -0.355  -1.130 -0.511  -1.130 -0.694  -1.082 -0.829  -0.937 -0.738  -0.823 -0.602  -0.777 -0.430  -0.680 -0.277  -0.618 -0.119  -0.515 0.022  -0.515 0.205  -0.452 0.361  -0.395 0.521  -0.311 0.669  -0.208 0.810  -0.208 0.628  -0.208 0.445  -0.208 0.261  -0.208 0.078  -0.208 -0.105  -0.208 -0.288  -0.208 -0.471  -0.178 -0.624  -0.097 -0.522  -0.003 -0.433  0.117 -0.299  0.246 -0.170  0.376 -0.040  0.505 0.089  0.626 0.225  0.708 0.389  0.834 0.521  0.964 0.650  1.021 0.809  1.124 0.876  1.124 0.692  1.167 0.519  1.226 0.350  1.226 0.167  1.226 -0.016  1.226 -0.199  1.226 -0.382  1.270 -0.522  1.329 -0.646  1.431 -0.727
3#apa#apa02#app0248/e  0.087 -0.131  0.213 -0.131  0.339 -0.131  0.375 -0.041  0.448 0.012  0.574 0.012  0.663 0.050  0.682 0.156  0.807 0.158  0.807 0.284  0.807 0.411  0.807 0.537  0.807 0.663  0.807 0.789  0.768 0.876  0.648 0.891  0.558 0.980  0.519 1.090  0.467 1.164  0.340 1.164  0.214 1.164  0.088 1.164  -0.001 1.075  -0.078 0.977  -0.135 0.864  -0.191 0.752  -0.275 0.658  -0.357 0.564  -0.413 0.451  -0.470 0.338  -0.489 0.217  -0.489 0.090  -0.510 -0.031  -0.567 -0.143  -0.623 -0.256  -0.633 -0.380  -0.633 -0.506  -0.633 -0.633  -0.633 -0.759  -0.633 -0.885  -0.633 -1.011  -0.633 -1.137  -0.508 -1.139  -0.489 -1.246  -0.489 -1.372  -0.418 -1.427  -0.345 -1.480  -0.309 -1.571  -0.183 -1.571  -0.057 -1.571
3#apa#apa02#app0248/r  -0.586 0.749  -0.458 0.749  -0.427 0.652  -0.427 0.525  -0.427 0.397  -0.427 0.270  -0.427 0.142  -0.427 0.015  -0.427 -0.113  -0.427 -0.240  -0.427 -0.368  -0.427 -0.495  -0.427 -0.623  -0.427 -0.750  -0.427 -0.878  -0.427 -1.005  -0.427 -1.133  -0.427 -1.260  -0.497 -1.318  -0.586 -1.279  -0.586 -1.151  -0.586 -1.024  -0.586 -0.896  -0.586 -0.769  -0.586 -0.641  -0.586 -0.514  -0.586 -0.386  -0.511 -0.290  -0.421 -0.199  -0.331 -0.109  -0.241 -0.019  -0.150 0.071  -0.060 0.161  0.030 0.251  0.120 0.342  0.210 0.432  0.300 0.522  0.400 0.590  0.528 0.590  0.655 0.590  0.754 0.658  0.844 0.748  0.972 0.749  1.071 0.816  1.162 0.906  1.288 0.907  1.416 0.907  1.544 0.907  1.671 0.907  1.799 0.907
3#apa#apa02#app0248/c  0.917 1.242  0.831 1.242  0.745 1.242  0.658 1.242  0.572 1.242  0.486 1.242  0.399 1.242  0.319 1.229  0.257 1.168  0.196 1.107  0.135 1.046  0.074 0.985  0.013 0.924  -0.048 0.863  -0.107 0.801  -0.107 0.715  -0.127 0.637  -0.188 0.576  -0.249 0.515  -0.310 0.454  -0.371 0.393  -0.400 0.318  -0.400 0.232  -0.400 0.146  -0.400 0.059  -0.400 -0.027  -0.400 -0.113  -0.400 -0.199  -0.400 -0.286  -0.400 -0.372  -0.400 -0.458  -0.400 -0.545  -0.400 -0.631  -0.400 -0.717  -0.400 -0.804  -0.341 -0.865  -0.280 -0.926  -0.204 -0.953  -0.118 -0.953  -0.107 -1.028  -0.092 -1.099  -0.005 -1.099  0.069 -1.129  0.130 -1.190  0.193 -1.245  0.279 -1.245  0.366 -1.245  0.452 -1.245  0.538 -1.245  0.624 -1.245
3#apa#apa02#app0248/i  0.089 -0.101  0.089 -0.203  -0.003 -0.213  -0.022 -0.296  -0.022 -0.398  -0.022 -0.500  -0.047 -0.596  -0.093 -0.688  -0.134 -0.780  -0.134 -0.882  -0.180 -0.973  -0.225 -1.065  -0.245 -1.162  -0.245 -1.264  -0.245 -1.366  -0.240 -1.409  -0.223 -1.308  -0.207 -1.208  -0.190 -1.107  -0.173 -1.006  -0.156 -0.906  -0.140 -0.805  -0.123 -0.704  -0.106 -0.603  -0.089 -0.503  -0.072 -0.402  -0.056 -0.301  -0.039 -0.201  -0.022 -0.100  -0.005 0.001  0.012 0.102  0.028 0.202  0.045 0.303  0.062 0.404  0.079 0.505  0.096 0.605  0.112 0.706  0.129 0.807  0.146 0.907  0.163 1.008  0.179 1.109  0.196 1.210  0.213 1.310  0.230 1.411  0.247 1.512  0.263 1.612  0.280 1.713  0.297 1.814  0.303 1.905  0.201 1.905
3#apa#apa02#app0248/f  1.167 1.482  1.066 1.583  0.965 1.685  0.832 1.670  0.731 1.569  0.630 1.467  0.528 1.366  0.427 1.264  0.327 1.162  0.263 1.033  0.225 0.899  0.181 0.766  0.120 0.636  0.100 0.498  0.036 0.370  0.016 0.231  0.016 0.087  0.016 -0.056  0.016 -0.200  -0.016 -0.330  -0.089 -0.443  -0.089 -0.587  -0.089 -0.730  -0.089 -0.874  -0.089 -1.017  -0.089 -1.161  -0.134 -1.286  -0.194 -1.404  -0.232 -1.360  -0.289 -1.228  -0.345 -1.097  -0.402 -0.965  -0.458 -0.833  -0.515 -0.701  -0.571 -0.569  -0.628 -0.437  -0.684 -0.305  -0.741 -0.173  -0.797 -0.041  -0.741 0.016  -0.602 0.005  -0.497 -0.089  -0.354 -0.089  -0.210 -0.089  -0.104 -0.179  0.028 -0.206  0.133 -0.298  0.277 -0.298  0.411 -0.339  0.539 -0.403
3#apa#apa02#app0248/u  -0.295 1.393  -0.321 1.252  -0.436 1.200  -0.491 1.055  -0.610 0.936  -0.720 0.814  -0.737 0.650  -0.812 0.500  -0.902 0.361  -1.003 0.235  -1.039 0.082  -1.145 -0.041  -1.145 -0.209  -1.145 -0.377  -1.145 -0.544  -1.059 -0.676  -0.941 -0.795  -0.806 -0.874  -0.638 -0.874  -0.502 -0.798  -0.361 -0.732  -0.223 -0.661  -0.085 -0.591  -0.011 -0.496  0.096 -0.395  0.246 -0.320  0.272 -0.169  0.389 -0.049  0.507 0.070  0.600 0.207  0.675 0.357  0.781 0.485  0.839 0.628  0.918 0.763  0.981 0.905  0.981 0.864  0.981 0.696  0.911 0.545  0.839 0.394  0.839 0.227  0.798 0.076  0.697 -0.050  0.674 -0.212  0.599 -0.362  0.556 -0.519  0.556 -0.687  0.556 -0.855  0.451 -0.979  0.414 -1.132  0.414 -1.299
3#apa#apa02#app0248/l  0.975 1.017  0.975 1.094  0.975 1.172  0.955 1.230  0.877 1.230  0.820 1.181  0.765 1.126  0.710 1.071  0.655 1.016  0.600 0.961  0.545 0.906  0.490 0.851  0.435 0.796  0.380 0.741  0.335 0.682  0.335 0.604  0.290 0.545  0.235 0.490  0.180 0.435  0.125 0.380  0.070 0.325  0.015 0.270  -0.040 0.215  -0.093 0.159  -0.118 0.085  -0.143 0.012  -0.167 -0.062  -0.192 -0.136  -0.199 -0.213  -0.218 -0.283  -0.273 -0.338  -0.328 -0.393  -0.383 -0.448  -0.412 -0.513  -0.412 -0.591  -0.412 -0.669  -0.468 -0.691  -0.519 -0.718  -0.519 -0.795  -0.519 -0.873  -0.519 -0.951  -0.537 -1.011  -0.615 -1.011  -0.626 -1.078  -0.626 -1.155  -0.626 -1.233  -0.626 -1.311  -0.684 -1.331  -0.732 -1.360  -0.732 -1.438
