3#apa#apa15#app1547/8  0.622 0.737  0.622 0.914  0.467 0.936  0.329 1.030  0.196 1.134  0.019 1.134  -0.158 1.134  -0.335 1.134  -0.512 1.134  -0.654 1.051  -0.779 0.926  -0.904 0.800  -1.029 0.675  -1.154 0.550  -1.167 0.378  -1.167 0.201  -1.167 0.025  -1.078 -0.088  -0.910 -0.144  -0.742 -0.200  -0.574 -0.256  -0.404 -0.305  -0.234 -0.353  -0.064 -0.402  0.106 -0.451  0.276 -0.499  0.446 -0.548  0.617 -0.596  0.787 -0.645  0.821 -0.796  0.905 -0.938  1.007 -1.059  0.849 -1.138  0.690 -1.217  0.521 -1.251  0.344 -1.251  0.199 -1.200  0.120 -1.042  0.041 -0.884  0.026 -0.710  0.026 -0.533  0.063 -0.364  0.129 -0.199  0.194 -0.035  0.260 0.129  0.326 0.294  0.392 0.458  0.464 0.619  0.543 0.777  0.622 0.936
3#apa#apa15#app1547/;  -0.270 1.759  -0.270 1.680  -0.270 1.602  -0.270 1.523  -0.265 1.444  -0.257 1.366  -0.249 1.288  -0.241 1.210  -0.233 1.131  -0.225 1.053  -0.218 0.975  -0.210 0.897  -0.202 0.818  -0.194 0.740  -0.186 0.662  -0.178 0.584  -0.171 0.505  -0.163 0.427  -0.155 0.349  -0.147 0.270  -0.139 0.192  -0.138 0.114  -0.131 0.042  -0.052 0.042  0.017 0.019  0.073 -0.037  0.128 -0.093  0.163 -0.163  0.198 -0.233  0.233 -0.304  0.274 -0.370  0.330 -0.426  0.385 -0.481  0.391 -0.558  0.391 -0.636  0.391 -0.715  0.391 -0.794  0.391 -0.872  0.360 -0.944  0.325 -1.014  0.290 -1.084  0.253 -1.153  0.197 -1.209  0.141 -1.264  0.086 -1.320  0.030 -1.376  -0.034 -1.411  -0.112 -1.411  -0.191 -1.411  -0.270 -1.411
3#apa#apa15#app1547/>  -1.345 0.822  -1.457 0.822  -1.487 0.822  -1.375 0.822  -1.288 0.764  -1.209 0.685  -1.116 0.640  -1.005 0.640  -0.893 0.640  -0.782 0.635  -0.674 0.608  -0.565 0.581  -0.457 0.554  -0.349 0.527  -0.241 0.500  -0.132 0.473  -0.028 0.436  0.072 0.387  0.172 0.337  0.272 0.287  0.376 0.248  0.482 0.213  0.588 0.178  0.694 0.142  0.800 0.107  0.909 0.093  1.020 0.093  1.132 0.093  1.207 0.056  1.207 -0.056  1.129 -0.090  1.019 -0.094  0.941 -0.173  0.862 -0.252  0.767 -0.309  0.667 -0.359  0.567 -0.409  0.470 -0.462  0.391 -0.541  0.312 -0.620  0.233 -0.699  0.154 -0.778  0.075 -0.856  -0.004 -0.935  -0.087 -1.007  -0.193 -1.042  -0.299 -1.077  -0.405 -1.113  -0.510 -1.148  -0.616 -1.183
3#apa#apa15#app1547/S  -0.199 0.379  -0.052 0.453  0.095 0.526  0.184 0.636  0.184 0.800  0.184 0.965  0.184 1.129  0.036 1.145  -0.116 1.091  -0.263 1.017  -0.409 0.941  -0.546 0.850  -0.682 0.759  -0.819 0.668  -0.956 0.577  -1.034 0.433  -1.107 0.286  -1.156 0.133  -1.129 -0.004  -0.964 -0.004  -0.800 -0.004  -0.643 0.040  -0.487 0.092  -0.331 0.144  -0.173 0.188  -0.009 0.188  0.156 0.188  0.320 0.188  0.485 0.188  0.649 0.188  0.813 0.188  0.978 0.188  1.142 0.187  1.142 0.023  1.142 -0.142  1.142 -0.306  1.082 -0.446  0.966 -0.562  0.850 -0.679  0.733 -0.795  0.617 -0.911  0.483 -1.003  0.336 -1.077  0.189 -1.150  0.030 -1.191  -0.129 -1.231  -0.289 -1.271  -0.449 -1.311  -0.609 -1.344  -0.773 -1.344
3#apa#apa15#app1547/i  -0.105 0.199  -0.056 0.099  -0.006 -0.000  0.044 -0.100  0.052 -0.210  0.052 -0.321  0.052 -0.433  0.052 -0.544  0.052 -0.656  0.052 -0.768  0.052 -0.879  0.052 -0.991  0.052 -1.102  0.052 -1.214  0.052 -1.325  0.052 -1.437  0.052 -1.521  0.052 -1.409  0.052 -1.298  0.050 -1.186  0.045 -1.075  0.039 -0.964  0.033 -0.852  0.027 -0.741  0.021 -0.629  0.015 -0.518  0.009 -0.407  0.004 -0.295  -0.002 -0.184  -0.008 -0.073  -0.014 0.039  -0.020 0.150  -0.026 0.262  -0.032 0.373  -0.038 0.484  -0.043 0.596  -0.049 0.707  -0.055 0.819  -0.061 0.930  -0.067 1.041  -0.073 1.153  -0.079 1.264  -0.084 1.376  -0.090 1.487  -0.096 1.598  -0.102 1.710  -0.073 1.743  0.006 1.664  0.052 1.664  0.052 1.775
3#apa#apa15#app1547/m  -1.334 -0.820  -1.196 -0.820  -1.159 -0.920  -1.159 -0.932  -1.159 -0.794  -1.159 -0.656  -1.159 -0.519  -1.159 -0.381  -1.143 -0.246  -1.099 -0.115  -1.056 0.016  -1.012 0.146  -0.950 0.265  -0.852 0.363  -0.809 0.483  -0.770 0.581  -0.632 0.581  -0.494 0.581  -0.356 0.581  -0.219 0.581  -0.099 0.556  -0.056 0.425  -0.012 0.294  0.031 0.164  0.084 0.039  0.182 -0.059  0.242 -0.171  0.242 -0.309  0.242 -0.447  0.242 -0.585  0.242 -0.567  0.271 -0.441  0.368 -0.344  0.448 -0.233  0.510 -0.110  0.571 0.013  0.621 0.141  0.665 0.272  0.708 0.403  0.752 0.533  0.855 0.581  0.993 0.581  1.127 0.573  1.224 0.475  1.306 0.368  1.350 0.237  1.393 0.107  1.437 -0.024  1.468 -0.157  1.468 -0.294
3#apa#apa15#app1547/i  0.154 0.270  0.068 0.357  -0.019 0.444  -0.028 0.342  -0.028 0.220  -0.028 0.097  -0.028 -0.026  -0.028 -0.148  -0.028 -0.271  -0.056 -0.390  -0.086 -0.509  -0.116 -0.628  -0.146 -0.747  -0.175 -0.866  -0.205 -0.985  -0.210 -1.107  -0.210 -1.229  -0.210 -1.352  -0.210 -1.475  -0.178 -1.520  -0.091 -1.433  -0.026 -1.336  -0.020 -1.214  -0.013 -1.092  -0.007 -0.969  -0.000 -0.847  0.006 -0.724  0.013 -0.602  0.019 -0.479  0.025 -0.357  0.032 -0.234  0.038 -0.112  0.045 0.010  0.051 0.133  0.058 0.255  0.064 0.378  0.071 0.500  0.077 0.623  0.083 0.745  0.090 0.868  0.096 0.990  0.103 1.112  0.109 1.235  0.116 1.357  0.122 1.480  0.129 1.602  0.135 1.725  0.141 1.847  0.148 1.970  0.154 2.092
3#apa#apa15#app1547/l  0.112 1.676  0.090 1.609  0.067 1.542  0.045 1.475  0.023 1.408  0.000 1.341  -0.022 1.274  -0.044 1.207  -0.067 1.140  -0.089 1.073  -0.090 1.005  -0.073 0.937  -0.056 0.868  -0.039 0.800  -0.022 0.731  -0.005 0.663  0.012 0.594  0.030 0.526  0.047 0.457  0.064 0.389  0.081 0.320  0.098 0.252  0.112 0.183  0.112 0.112  0.112 0.042  0.110 -0.029  0.098 -0.098  0.086 -0.168  0.075 -0.237  0.063 -0.307  0.052 -0.377  0.040 -0.446  0.028 -0.516  0.017 -0.586  0.005 -0.655  -0.006 -0.725  -0.018 -0.794  -0.030 -0.864  -0.041 -0.934  -0.053 -1.003  -0.064 -1.073  -0.076 -1.143  -0.088 -1.212  -0.099 -1.282  -0.099 -1.352  -0.099 -1.423  -0.099 -1.494  -0.099 -1.564  -0.099 -1.635  -0.099 -1.705
3#apa#apa15#app1547/a  0.745 -0.454  0.745 -0.276  0.745 -0.098  0.745 0.079  0.745 0.257  0.745 0.434  0.745 0.612  0.724 0.777  0.565 0.856  0.406 0.935  0.246 1.010  0.068 1.010  -0.109 1.010  -0.287 1.010  -0.464 1.010  -0.642 1.010  -0.751 0.914  -0.807 0.746  -0.863 0.578  -0.919 0.409  -0.981 0.243  -1.060 0.084  -1.139 -0.075  -1.207 -0.237  -1.207 -0.414  -1.207 -0.592  -1.156 -0.748  -1.030 -0.874  -0.905 -0.883  -0.779 -0.758  -0.631 -0.668  -0.463 -0.612  -0.295 -0.556  -0.126 -0.500  0.023 -0.424  0.079 -0.255  0.135 -0.087  0.191 0.081  0.247 0.250  0.405 0.278  0.537 0.205  0.616 0.046  0.696 -0.112  0.775 -0.271  0.855 -0.430  0.934 -0.589  0.988 -0.754  0.988 -0.931  1.107 -1.060  1.232 -1.185
3#apa#apa15#app1547/r  -0.522 1.641  -0.522 1.480  -0.522 1.319  -0.522 1.157  -0.522 0.996  -0.522 0.835  -0.522 0.674  -0.522 0.513  -0.522 0.352  -0.522 0.190  -0.401 0.150  -0.240 0.150  -0.078 0.150  -0.025 0.043  -0.025 -0.119  -0.025 -0.280  -0.025 -0.441  -0.025 -0.602  -0.025 -0.763  0.032 -0.901  0.146 -1.015  0.260 -1.129  0.374 -1.243  0.449 -1.341  0.288 -1.341  0.127 -1.341  -0.031 -1.334  -0.145 -1.220  -0.259 -1.106  -0.373 -0.992  -0.487 -0.878  -0.522 -0.731  -0.522 -0.570  -0.522 -0.409  -0.452 -0.277  -0.338 -0.163  -0.224 -0.049  -0.110 0.065  0.004 0.179  0.118 0.293  0.232 0.407  0.346 0.521  0.460 0.635  0.601 0.712  0.745 0.784  0.889 0.856  1.033 0.928  1.178 1.000  1.322 1.072  1.466 1.144
3#apa#apa15#app1547/?  -0.373 0.871  -0.471 0.871  -0.501 0.939  -0.539 0.999  -0.623 1.005  -0.554 1.074  -0.480 1.116  -0.393 1.072  -0.305 1.029  -0.214 0.999  -0.116 0.999  -0.018 0.999  0.079 0.999  0.166 0.971  0.235 0.902  0.314 0.847  0.402 0.803  0.489 0.759  0.521 0.681  0.488 0.616  0.392 0.613  0.348 0.525  0.304 0.438  0.257 0.352  0.188 0.283  0.119 0.214  0.050 0.145  0.010 0.063  0.010 -0.034  0.010 -0.132  0.010 -0.230  0.010 -0.328  0.010 -0.426  0.010 -0.524  0.098 -0.534  0.127 -0.591  0.110 -0.687  0.092 -0.784  0.075 -0.880  0.057 -0.976  0.040 -1.072  0.022 -1.169  0.005 -1.265  -0.013 -1.361  -0.030 -1.458  -0.048 -1.554  -0.065 -1.650  -0.083 -1.747  -0.100 -1.843  -0.118 -1.939
