3#app#app19#app1970/B  -0.353 0.192  -0.282 0.381  -0.258 0.146  -0.176 -0.079  -0.147 -0.330  -0.070 -0.577  0.010 -0.817  -0.003 -1.004  -0.180 -0.816  -0.358 -0.627  -0.535 -0.439  -0.712 -0.250  -0.890 -0.062  -1.067 0.127  -1.245 0.315  -1.422 0.504  -1.416 0.697  -1.266 0.852  -1.036 0.922  -0.791 0.962  -0.551 1.040  -0.292 1.040  -0.033 1.040  0.226 1.040  0.485 1.040  0.744 1.040  0.964 0.948  0.857 0.734  0.713 0.518  0.489 0.425  0.288 0.267  0.101 0.089  -0.138 0.004  -0.357 -0.091  -0.505 -0.185  -0.250 -0.176  -0.026 -0.091  0.233 -0.091  0.491 -0.091  0.733 -0.162  0.987 -0.185  1.226 -0.268  1.343 -0.473  1.290 -0.710  1.087 -0.844  0.877 -0.983  0.670 -1.132  0.424 -1.214  0.189 -1.316  -0.070 -1.316
3#app#app19#app1970/t  -0.273 1.572  -0.128 1.520  -0.128 1.322  -0.128 1.125  -0.128 0.928  -0.128 0.730  -0.128 0.533  -0.128 0.335  -0.069 0.152  0.016 -0.025  0.016 -0.222  0.079 -0.401  0.188 -0.565  0.298 -0.729  0.333 -0.913  0.473 -1.052  0.617 -1.185  0.794 -1.274  0.806 -1.260  0.648 -1.142  0.490 -1.023  0.332 -0.905  0.174 -0.786  0.016 -0.668  -0.142 -0.550  -0.300 -0.431  -0.457 -0.313  -0.615 -0.194  -0.773 -0.076  -0.931 0.042  -1.089 0.161  -1.247 0.279  -1.405 0.398  -1.407 0.272  -1.210 0.272  -1.012 0.272  -0.815 0.272  -0.618 0.272  -0.420 0.272  -0.223 0.272  -0.026 0.272  0.172 0.272  0.369 0.272  0.566 0.272  0.764 0.272  0.961 0.272  1.159 0.272  1.356 0.272  1.553 0.272  1.751 0.272
3#app#app19#app1970/h  -0.532 1.602  -0.532 1.692  -0.532 1.590  -0.532 1.488  -0.532 1.386  -0.512 1.292  -0.439 1.220  -0.436 1.120  -0.436 1.017  -0.436 0.915  -0.436 0.813  -0.447 0.714  -0.492 0.622  -0.532 0.530  -0.532 0.428  -0.532 0.326  -0.532 0.223  -0.532 0.121  -0.532 0.019  -0.532 -0.083  -0.532 -0.185  -0.532 -0.287  -0.486 -0.370  -0.436 -0.451  -0.410 -0.543  -0.336 -0.612  -0.234 -0.612  -0.137 -0.602  -0.064 -0.530  0.008 -0.458  0.080 -0.385  0.156 -0.324  0.253 -0.309  0.325 -0.237  0.423 -0.227  0.525 -0.227  0.627 -0.227  0.719 -0.237  0.719 -0.339  0.734 -0.435  0.807 -0.507  0.816 -0.606  0.816 -0.708  0.816 -0.810  0.823 -0.909  0.895 -0.981  0.912 -1.076  0.912 -1.178  0.912 -1.280  0.912 -1.383
3#app#app19#app1970/a  0.461 -0.055  0.461 0.112  0.461 0.280  0.461 0.447  0.461 0.614  0.461 0.782  0.461 0.949  0.311 0.967  0.290 1.114  0.147 1.138  -0.020 1.138  -0.188 1.138  -0.355 1.138  -0.523 1.138  -0.653 1.047  -0.771 0.929  -0.889 0.810  -1.008 0.692  -1.073 0.551  -1.073 0.384  -1.073 0.217  -1.073 0.049  -1.073 -0.118  -1.073 -0.286  -1.033 -0.436  -0.914 -0.555  -0.752 -0.567  -0.732 -0.714  -0.587 -0.737  -0.420 -0.737  -0.253 -0.737  -0.085 -0.737  0.082 -0.737  0.250 -0.737  0.380 -0.648  0.514 -0.567  0.631 -0.517  0.631 -0.349  0.631 -0.182  0.631 -0.014  0.631 0.077  0.631 -0.090  0.631 -0.258  0.631 -0.425  0.650 -0.585  0.768 -0.703  0.855 -0.844  0.930 -0.994  1.024 -1.130  1.143 -1.248
3#app#app19#app1970/t  -0.287 1.731  -0.411 1.671  -0.411 1.486  -0.411 1.301  -0.411 1.117  -0.411 0.932  -0.411 0.747  -0.411 0.562  -0.411 0.377  -0.411 0.192  -0.411 0.007  -0.340 -0.161  -0.240 -0.314  -0.162 -0.466  -0.155 -0.648  -0.037 -0.784  0.018 -0.946  0.148 -1.077  0.279 -1.208  0.410 -1.339  0.573 -1.392  0.681 -1.360  0.550 -1.229  0.420 -1.099  0.289 -0.968  0.158 -0.837  0.027 -0.706  -0.103 -0.576  -0.234 -0.445  -0.365 -0.314  -0.495 -0.184  -0.626 -0.053  -0.757 0.078  -0.888 0.209  -1.018 0.339  -0.876 0.357  -0.691 0.357  -0.506 0.357  -0.322 0.357  -0.137 0.357  0.048 0.357  0.233 0.357  0.418 0.357  0.603 0.357  0.788 0.357  0.973 0.357  1.157 0.357  1.342 0.357  1.527 0.357  1.712 0.357
3#app#app19#app1970/d  -0.074 0.265  -0.256 0.265  -0.439 0.265  -0.621 0.265  -0.803 0.265  -0.973 0.235  -1.102 0.106  -1.196 -0.048  -1.232 -0.221  -1.232 -0.404  -1.232 -0.586  -1.185 -0.748  -1.124 -0.905  -0.977 -0.990  -0.795 -0.990  -0.613 -0.990  -0.434 -0.977  -0.271 -0.895  -0.108 -0.814  0.030 -0.697  0.193 -0.615  0.321 -0.489  0.402 -0.326  0.441 -0.153  0.505 0.014  0.505 0.196  0.493 0.373  0.408 0.520  0.408 0.703  0.408 0.885  0.387 1.058  0.312 1.209  0.266 1.372  0.215 1.505  0.286 1.352  0.312 1.181  0.407 1.038  0.408 0.856  0.408 0.674  0.505 0.532  0.505 0.350  0.505 0.168  0.563 -0.005  0.601 -0.181  0.623 -0.358  0.705 -0.521  0.786 -0.684  0.867 -0.847  0.906 -1.020  0.987 -1.183
3#app#app19#app1970/i  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app19#app1970/s  0.380 0.919  0.380 1.046  0.277 1.071  0.150 1.071  0.023 1.071  -0.104 1.071  -0.231 1.071  -0.358 1.071  -0.454 0.997  -0.549 0.919  -0.676 0.919  -0.803 0.919  -0.930 0.919  -0.988 0.850  -0.988 0.723  -0.969 0.615  -0.842 0.615  -0.751 0.530  -0.661 0.440  -0.571 0.350  -0.460 0.311  -0.347 0.278  -0.257 0.188  -0.167 0.098  -0.077 0.008  0.013 -0.082  0.114 -0.145  0.241 -0.145  0.368 -0.145  0.461 -0.226  0.556 -0.309  0.670 -0.366  0.783 -0.423  0.884 -0.497  0.974 -0.587  0.988 -0.709  0.988 -0.836  0.946 -0.946  0.857 -1.036  0.738 -1.057  0.611 -1.057  0.484 -1.057  0.357 -1.057  0.230 -1.057  0.103 -1.057  -0.024 -1.057  -0.151 -1.057  -0.278 -1.057  -0.405 -1.057  -0.532 -1.057
3#app#app19#app1970/a  -0.026 -0.016  0.103 0.113  0.232 0.242  0.304 0.394  0.304 0.576  0.304 0.758  0.170 0.807  0.139 0.958  -0.026 0.975  -0.047 1.136  -0.229 1.136  -0.411 1.136  -0.593 1.136  -0.775 1.136  -0.849 1.028  -0.975 0.972  -1.115 0.870  -1.178 0.714  -1.178 0.532  -1.178 0.350  -1.178 0.168  -1.063 0.034  -1.013 -0.128  -0.884 -0.180  -0.745 -0.284  -0.598 -0.388  -0.435 -0.470  -0.289 -0.575  -0.148 -0.674  0.034 -0.674  0.216 -0.674  0.398 -0.674  0.580 -0.674  0.762 -0.674  0.797 -0.527  0.797 -0.345  0.669 -0.217  0.633 -0.049  0.484 -0.016  0.304 -0.017  0.317 -0.194  0.446 -0.323  0.468 -0.495  0.587 -0.628  0.716 -0.757  0.797 -0.905  0.881 -1.003  1.034 -1.075  1.162 -1.204  1.291 -1.333
3#app#app19#app1970/s  0.194 1.024  0.194 1.144  0.116 1.185  -0.004 1.185  -0.124 1.185  -0.244 1.185  -0.364 1.185  -0.484 1.185  -0.603 1.185  -0.723 1.185  -0.771 1.113  -0.771 0.993  -0.771 0.873  -0.771 0.754  -0.703 0.702  -0.591 0.683  -0.506 0.598  -0.449 0.502  -0.449 0.382  -0.366 0.297  -0.278 0.219  -0.158 0.219  -0.065 0.156  0.020 0.072  0.105 -0.013  0.189 -0.098  0.307 -0.103  0.406 -0.153  0.491 -0.238  0.576 -0.323  0.660 -0.408  0.677 -0.521  0.732 -0.585  0.838 -0.599  0.838 -0.719  0.838 -0.839  0.786 -0.907  0.677 -0.918  0.677 -1.037  0.588 -1.068  0.468 -1.068  0.348 -1.068  0.228 -1.068  0.109 -1.068  -0.011 -1.068  -0.131 -1.068  -0.251 -1.068  -0.371 -1.068  -0.491 -1.068  -0.610 -1.068
3#app#app19#app1970/t  0.255 2.034  0.138 1.917  0.119 1.759  0.119 1.593  0.091 1.434  0.017 1.285  -0.017 1.127  -0.017 0.961  -0.017 0.795  -0.017 0.629  -0.017 0.463  -0.017 0.297  -0.017 0.131  -0.017 -0.035  -0.017 -0.201  -0.017 -0.367  -0.017 -0.533  -0.017 -0.699  -0.017 -0.865  -0.017 -1.031  -0.017 -1.197  -0.017 -1.363  0.056 -1.512  0.109 -1.618  0.035 -1.470  -0.040 -1.321  -0.114 -1.173  -0.188 -1.025  -0.262 -0.876  -0.336 -0.728  -0.411 -0.579  -0.485 -0.431  -0.559 -0.282  -0.633 -0.134  -0.708 0.015  -0.782 0.163  -0.782 0.266  -0.616 0.266  -0.450 0.266  -0.284 0.266  -0.118 0.266  0.048 0.266  0.214 0.266  0.380 0.266  0.530 0.196  0.680 0.130  0.846 0.130  1.012 0.130  1.178 0.130  1.208 -0.006
3#app#app19#app1970/e  -1.236 -0.546  -1.072 -0.546  -1.064 -0.390  -0.915 -0.375  -0.751 -0.375  -0.587 -0.375  -0.422 -0.375  -0.271 -0.321  -0.124 -0.248  0.030 -0.203  0.178 -0.163  0.294 -0.047  0.437 0.032  0.584 0.106  0.739 0.141  0.825 0.219  0.875 0.363  0.992 0.479  0.997 0.641  0.997 0.805  0.856 0.828  0.825 0.962  0.699 1.000  0.654 1.118  0.543 1.172  0.378 1.172  0.214 1.172  0.050 1.172  -0.091 1.114  -0.207 0.998  -0.323 0.882  -0.439 0.766  -0.549 0.647  -0.549 0.483  -0.549 0.319  -0.549 0.154  -0.549 -0.010  -0.549 -0.174  -0.453 -0.299  -0.377 -0.432  -0.355 -0.591  -0.282 -0.738  -0.208 -0.884  -0.094 -1.002  0.023 -1.118  0.138 -1.234  0.138 -1.399  0.250 -1.517  0.366 -1.633  0.482 -1.749
3#app#app19#app1970/r  -0.439 -0.118  -0.439 -0.241  -0.550 -0.252  -0.573 -0.352  -0.573 -0.474  -0.573 -0.597  -0.573 -0.719  -0.628 -0.787  -0.706 -0.831  -0.706 -0.953  -0.706 -1.076  -0.699 -1.195  -0.612 -1.282  -0.526 -1.274  -0.439 -1.188  -0.439 -1.065  -0.439 -0.943  -0.368 -0.849  -0.305 -0.753  -0.305 -0.631  -0.305 -0.508  -0.305 -0.386  -0.305 -0.263  -0.305 -0.141  -0.305 -0.018  -0.305 0.104  -0.305 0.227  -0.305 0.349  -0.305 0.472  -0.274 0.581  -0.187 0.668  -0.101 0.755  -0.038 0.851  -0.016 0.951  0.107 0.951  0.229 0.951  0.352 0.951  0.474 0.951  0.597 0.951  0.719 0.951  0.764 0.873  0.831 0.817  0.953 0.817  1.063 0.786  1.149 0.700  1.236 0.613  1.299 0.517  1.321 0.416  1.432 0.405  1.432 0.283
3#app#app19#app1970/s  0.674 0.419  0.674 0.541  0.674 0.663  0.674 0.786  0.574 0.808  0.544 0.900  0.459 0.937  0.337 0.937  0.235 0.987  0.146 1.067  0.024 1.067  -0.099 1.067  -0.221 1.067  -0.343 1.067  -0.466 1.067  -0.588 1.067  -0.685 1.005  -0.753 0.911  -0.739 0.794  -0.653 0.708  -0.623 0.598  -0.572 0.497  -0.485 0.410  -0.399 0.324  -0.312 0.237  -0.226 0.151  -0.139 0.064  -0.053 -0.022  0.034 -0.109  0.120 -0.195  0.207 -0.281  0.293 -0.368  0.380 -0.454  0.415 -0.562  0.444 -0.678  0.499 -0.787  0.544 -0.899  0.544 -1.021  0.539 -1.138  0.417 -1.138  0.294 -1.138  0.205 -1.218  0.104 -1.268  -0.019 -1.268  -0.141 -1.268  -0.263 -1.268  -0.386 -1.268  -0.508 -1.268  -0.630 -1.268  -0.753 -1.268
3#app#app19#app1970/t  0.277 2.092  0.277 1.950  0.181 1.848  0.129 1.728  0.129 1.586  0.090 1.460  -0.010 1.360  -0.019 1.222  -0.019 1.080  -0.019 0.938  -0.019 0.797  -0.019 0.655  -0.019 0.513  -0.019 0.371  -0.019 0.230  -0.019 0.088  -0.019 -0.054  -0.019 -0.196  -0.019 -0.337  -0.019 -0.479  -0.019 -0.621  -0.019 -0.763  -0.019 -0.904  -0.019 -1.046  -0.019 -1.188  -0.019 -1.330  -0.014 -1.469  0.086 -1.569  0.103 -1.534  0.058 -1.400  0.013 -1.265  -0.032 -1.131  -0.077 -0.996  -0.121 -0.862  -0.166 -0.727  -0.211 -0.593  -0.256 -0.458  -0.301 -0.324  -0.346 -0.189  -0.390 -0.055  -0.435 0.080  -0.413 0.166  -0.271 0.166  -0.129 0.166  0.012 0.166  0.154 0.166  0.296 0.166  0.438 0.166  0.579 0.166  0.721 0.166
3#app#app19#app1970/r  -0.724 -0.252  -0.724 -0.361  -0.724 -0.469  -0.724 -0.578  -0.724 -0.687  -0.724 -0.795  -0.724 -0.904  -0.724 -1.013  -0.724 -1.121  -0.689 -1.195  -0.580 -1.195  -0.536 -1.130  -0.536 -1.022  -0.536 -0.913  -0.536 -0.805  -0.536 -0.696  -0.494 -0.629  -0.385 -0.629  -0.347 -0.558  -0.347 -0.450  -0.347 -0.341  -0.347 -0.233  -0.347 -0.124  -0.347 -0.015  -0.347 0.093  -0.270 0.125  -0.162 0.125  -0.159 0.231  -0.159 0.339  -0.159 0.448  -0.120 0.541  -0.043 0.617  0.033 0.694  0.110 0.771  0.187 0.848  0.283 0.879  0.392 0.879  0.500 0.879  0.609 0.879  0.718 0.879  0.826 0.879  0.935 0.879  1.022 0.828  1.099 0.751  1.183 0.690  1.291 0.690  1.349 0.639  1.349 0.531  1.429 0.502  1.537 0.502
3#app#app19#app1970/u  -0.757 0.942  -0.757 1.056  -0.757 1.103  -0.757 0.990  -0.757 0.876  -0.757 0.762  -0.856 0.747  -0.952 0.729  -0.952 0.615  -0.952 0.501  -0.952 0.387  -0.952 0.274  -0.952 0.160  -0.952 0.046  -0.926 -0.057  -0.845 -0.138  -0.765 -0.218  -0.757 -0.329  -0.735 -0.421  -0.621 -0.421  -0.523 -0.460  -0.443 -0.540  -0.360 -0.615  -0.246 -0.615  -0.144 -0.644  -0.064 -0.725  0.017 -0.805  0.128 -0.810  0.242 -0.810  0.356 -0.810  0.453 -0.768  0.533 -0.688  0.617 -0.615  0.731 -0.615  0.800 -0.571  0.800 -0.457  0.878 -0.421  0.992 -0.421  0.995 -0.310  0.995 -0.197  0.995 -0.083  0.995 0.031  0.995 0.145  0.995 0.259  0.995 0.373  0.995 0.486  0.995 0.600  0.995 0.714  0.995 0.828  0.995 0.942
3#app#app19#app1970/c  0.198 -0.097  0.198 0.045  0.198 0.073  0.198 -0.069  0.313 -0.097  0.426 -0.068  0.426 0.074  0.513 0.130  0.654 0.132  0.654 0.274  0.654 0.417  0.654 0.559  0.654 0.701  0.654 0.844  0.654 0.986  0.566 1.041  0.424 1.041  0.281 1.041  0.139 1.041  -0.004 1.041  -0.146 1.041  -0.288 1.041  -0.431 1.041  -0.573 1.041  -0.712 1.038  -0.712 0.895  -0.712 0.753  -0.712 0.610  -0.712 0.468  -0.712 0.325  -0.712 0.183  -0.712 0.041  -0.712 -0.102  -0.712 -0.244  -0.668 -0.369  -0.568 -0.469  -0.467 -0.570  -0.366 -0.671  -0.266 -0.772  -0.257 -0.910  -0.225 -1.040  -0.124 -1.140  -0.021 -1.236  0.121 -1.236  0.244 -1.282  0.345 -1.382  0.454 -1.463  0.597 -1.463  0.654 -1.548  0.654 -1.691
3#app#app19#app1970/k  -0.336 2.141  -0.336 2.008  -0.336 1.875  -0.336 1.742  -0.336 1.608  -0.336 1.475  -0.336 1.342  -0.336 1.209  -0.336 1.076  -0.336 0.943  -0.336 0.810  -0.336 0.677  -0.336 0.544  -0.336 0.411  -0.336 0.278  -0.336 0.145  -0.412 0.044  -0.480 -0.061  -0.480 -0.194  -0.480 -0.327  -0.480 -0.460  -0.480 -0.593  -0.363 -0.564  -0.237 -0.522  -0.111 -0.480  0.015 -0.437  0.141 -0.395  0.268 -0.353  0.394 -0.311  0.520 -0.269  0.646 -0.227  0.772 -0.185  0.735 -0.170  0.602 -0.170  0.469 -0.170  0.386 -0.219  0.348 -0.314  0.215 -0.314  0.097 -0.330  0.097 -0.463  0.097 -0.596  0.097 -0.729  0.097 -0.862  0.170 -0.964  0.264 -1.058  0.358 -1.153  0.386 -1.274  0.468 -1.325  0.581 -1.375  0.675 -1.469
