3#app#app08#app0887/T  0.411 0.813  0.411 0.663  0.411 0.513  0.411 0.363  0.432 0.216  0.468 0.070  0.496 -0.076  0.496 -0.226  0.496 -0.376  0.560 -0.511  0.581 -0.656  0.618 -0.797  0.667 -0.936  0.676 -1.083  0.743 -1.217  0.752 -1.365  0.670 -1.335  0.557 -1.237  0.444 -1.138  0.331 -1.040  0.218 -0.941  0.104 -0.843  -0.009 -0.745  -0.122 -0.646  -0.235 -0.548  -0.348 -0.450  -0.461 -0.351  -0.574 -0.253  -0.688 -0.154  -0.801 -0.056  -0.914 0.042  -1.027 0.141  -1.140 0.239  -1.251 0.340  -1.236 0.446  -1.105 0.492  -0.988 0.583  -0.852 0.642  -0.706 0.668  -0.564 0.716  -0.428 0.778  -0.290 0.835  -0.148 0.883  -0.006 0.930  0.137 0.978  0.279 1.025  0.421 1.072  0.563 1.120  0.703 1.173  0.837 1.240
3#app#app08#app0887/p  -0.567 1.217  -0.567 1.032  -0.567 0.847  -0.567 0.663  -0.526 0.488  -0.425 0.337  -0.383 0.169  -0.368 -0.012  -0.285 -0.177  -0.203 -0.342  -0.120 -0.507  -0.069 -0.684  -0.025 -0.863  0.049 -1.031  0.078 -1.209  0.078 -1.393  0.078 -1.578  0.078 -1.762  -0.009 -1.737  -0.053 -1.564  -0.107 -1.392  -0.127 -1.211  -0.185 -1.036  -0.199 -0.854  -0.244 -0.676  -0.291 -0.499  -0.291 -0.315  -0.291 -0.130  -0.291 0.054  -0.291 0.239  -0.291 0.423  -0.291 0.608  -0.291 0.792  -0.200 0.939  -0.135 1.097  -0.004 1.227  0.147 1.309  0.331 1.309  0.508 1.278  0.664 1.183  0.768 1.033  0.872 0.883  0.907 0.713  0.907 0.528  0.811 0.384  0.680 0.253  0.550 0.123  0.419 -0.008  0.262 -0.073  0.078 -0.073
3#app#app08#app0887/o  -0.547 0.749  -0.547 0.610  -0.678 0.601  -0.696 0.479  -0.696 0.339  -0.770 0.229  -0.845 0.121  -0.845 -0.019  -0.845 -0.159  -0.845 -0.299  -0.845 -0.438  -0.749 -0.538  -0.696 -0.656  -0.656 -0.780  -0.557 -0.879  -0.435 -0.945  -0.310 -1.007  -0.177 -1.037  -0.037 -1.037  0.103 -1.037  0.243 -1.037  0.382 -1.037  0.522 -1.037  0.657 -1.024  0.756 -0.925  0.855 -0.827  0.942 -0.723  0.942 -0.583  0.942 -0.443  0.942 -0.303  0.942 -0.163  0.942 -0.024  0.942 0.116  0.869 0.226  0.770 0.325  0.671 0.424  0.599 0.542  0.536 0.667  0.461 0.783  0.362 0.882  0.229 0.898  0.197 1.006  0.099 1.047  -0.041 1.047  -0.181 1.047  -0.321 1.047  -0.454 1.019  -0.579 0.957  -0.705 0.898  -0.845 0.898
3#app#app08#app0887/s  0.593 0.916  0.591 1.040  0.503 1.128  0.392 1.160  0.267 1.160  0.142 1.160  0.018 1.160  -0.107 1.160  -0.222 1.119  -0.333 1.063  -0.452 1.038  -0.569 1.006  -0.681 0.950  -0.783 0.882  -0.870 0.793  -0.870 0.669  -0.866 0.546  -0.778 0.458  -0.748 0.345  -0.671 0.268  -0.560 0.212  -0.442 0.185  -0.336 0.138  -0.245 0.055  -0.133 -0.001  -0.022 -0.057  0.102 -0.059  0.227 -0.059  0.315 -0.147  0.403 -0.235  0.492 -0.324  0.580 -0.412  0.699 -0.425  0.792 -0.502  0.837 -0.608  0.837 -0.732  0.791 -0.838  0.697 -0.913  0.593 -0.934  0.570 -1.035  0.445 -1.035  0.329 -1.055  0.241 -1.144  0.122 -1.157  -0.003 -1.157  -0.128 -1.157  -0.252 -1.157  -0.377 -1.157  -0.502 -1.157  -0.626 -1.157
3#app#app08#app0887/e  -1.242 -0.307  -1.082 -0.307  -0.922 -0.307  -0.763 -0.307  -0.603 -0.307  -0.443 -0.307  -0.284 -0.307  -0.124 -0.307  0.035 -0.307  0.195 -0.307  0.339 -0.241  0.482 -0.170  0.624 -0.097  0.737 0.016  0.859 0.107  1.018 0.107  1.136 0.208  1.242 0.324  1.242 0.483  1.156 0.607  1.043 0.720  1.035 0.876  0.963 1.006  0.851 1.119  0.700 1.142  0.541 1.142  0.391 1.118  0.278 1.005  0.147 0.935  -0.009 0.926  -0.121 0.813  -0.207 0.689  -0.207 0.529  -0.314 0.414  -0.414 0.296  -0.414 0.136  -0.506 0.015  -0.619 -0.098  -0.732 -0.211  -0.828 -0.331  -0.828 -0.491  -0.828 -0.650  -0.765 -0.784  -0.652 -0.897  -0.539 -1.010  -0.426 -1.122  -0.414 -1.277  -0.319 -1.342  -0.207 -1.389  -0.207 -1.549
3#app#app08#app0887/d  0.447 -0.156  0.354 -0.048  0.154 -0.048  -0.045 -0.048  -0.245 -0.048  -0.436 -0.071  -0.577 -0.212  -0.719 -0.354  -0.844 -0.502  -0.844 -0.702  -0.844 -0.902  -0.844 -1.101  -0.718 -1.249  -0.555 -1.339  -0.355 -1.339  -0.155 -1.339  0.005 -1.243  0.200 -1.231  0.259 -1.069  0.348 -0.891  0.438 -0.712  0.447 -0.514  0.447 -0.314  0.447 -0.114  0.447 0.086  0.442 0.284  0.352 0.463  0.339 0.660  0.339 0.860  0.339 1.060  0.331 1.258  0.242 1.437  0.152 1.615  0.095 1.780  -0.101 1.770  -0.198 1.610  -0.198 1.410  -0.198 1.211  -0.198 1.011  -0.198 0.811  -0.198 0.611  -0.198 0.411  -0.122 0.229  -0.033 0.050  0.080 -0.112  0.186 -0.279  0.300 -0.440  0.442 -0.581  0.533 -0.758  0.662 -0.909
3#app#app08#app0887/a  1.116 0.840  0.945 0.881  0.856 1.031  0.750 1.153  0.581 1.230  0.394 1.230  0.207 1.230  0.037 1.189  -0.096 1.057  -0.228 0.925  -0.360 0.792  -0.506 0.679  -0.673 0.595  -0.771 0.442  -0.855 0.274  -0.939 0.107  -1.058 -0.035  -1.092 -0.208  -1.092 -0.395  -1.092 -0.583  -1.092 -0.770  -1.092 -0.957  -0.936 -1.004  -0.792 -1.108  -0.605 -1.108  -0.417 -1.108  -0.230 -1.108  -0.058 -1.045  0.077 -0.941  0.161 -0.806  0.328 -0.722  0.371 -0.554  0.467 -0.407  0.467 -0.220  0.467 -0.033  0.467 0.155  0.467 0.342  0.467 0.529  0.371 0.676  0.238 0.612  0.207 0.438  0.207 0.251  0.207 0.064  0.337 -0.070  0.337 -0.257  0.419 -0.410  0.551 -0.543  0.683 -0.675  0.816 -0.807  0.986 -0.848
3#app#app08#app0887/l  0.268 1.410  0.195 1.410  0.122 1.410  0.049 1.410  -0.024 1.410  -0.097 1.410  -0.113 1.353  -0.113 1.280  -0.113 1.207  -0.113 1.134  -0.113 1.061  -0.113 0.988  -0.113 0.915  -0.113 0.842  -0.113 0.769  -0.113 0.696  -0.113 0.623  -0.113 0.550  -0.113 0.477  -0.113 0.404  -0.113 0.331  -0.113 0.258  -0.113 0.185  -0.113 0.112  -0.113 0.038  -0.113 -0.035  -0.113 -0.108  -0.113 -0.181  -0.113 -0.254  -0.113 -0.327  -0.101 -0.397  -0.068 -0.462  -0.036 -0.527  -0.003 -0.593  0.014 -0.662  0.014 -0.735  0.014 -0.808  0.014 -0.881  0.046 -0.946  0.079 -1.012  0.112 -1.077  0.141 -1.143  0.141 -1.216  0.153 -1.286  0.186 -1.352  0.218 -1.417  0.251 -1.482  0.292 -1.541  0.344 -1.593  0.396 -1.644
3#app#app08#app0887/o  -0.273 0.809  -0.439 0.809  -0.606 0.809  -0.612 0.647  -0.724 0.527  -0.782 0.384  -0.782 0.217  -0.782 0.050  -0.782 -0.117  -0.729 -0.262  -0.612 -0.381  -0.612 -0.547  -0.612 -0.714  -0.497 -0.834  -0.379 -0.952  -0.256 -1.058  -0.089 -1.058  0.078 -1.058  0.245 -1.058  0.412 -1.058  0.578 -1.056  0.696 -0.938  0.814 -0.820  0.939 -0.719  1.085 -0.698  1.085 -0.531  1.085 -0.364  1.085 -0.197  1.085 -0.030  1.085 0.137  1.085 0.304  1.085 0.471  1.085 0.638  0.919 0.639  0.800 0.754  0.656 0.809  0.489 0.809  0.322 0.809  0.155 0.809  -0.004 0.774  -0.153 0.699  -0.296 0.616  -0.414 0.498  -0.569 0.469  -0.736 0.469  -0.867 0.383  -0.973 0.256  -1.048 0.107  -1.121 -0.043  -1.121 -0.209
3#app#app08#app0887/n  -0.709 0.680  -0.865 0.680  -0.874 0.532  -0.874 0.376  -0.874 0.220  -0.874 0.064  -0.874 -0.092  -0.874 -0.249  -0.874 -0.405  -0.813 -0.536  -0.709 -0.649  -0.709 -0.805  -0.709 -0.961  -0.709 -1.118  -0.611 -1.233  -0.543 -1.240  -0.507 -1.099  -0.396 -0.989  -0.378 -0.840  -0.378 -0.683  -0.378 -0.527  -0.378 -0.371  -0.378 -0.215  -0.317 -0.084  -0.213 0.029  -0.213 0.185  -0.102 0.296  0.008 0.406  0.118 0.517  0.188 0.657  0.258 0.797  0.282 0.947  0.282 1.103  0.366 1.175  0.523 1.175  0.612 1.108  0.612 0.952  0.647 0.810  0.757 0.699  0.868 0.589  0.942 0.464  0.942 0.307  0.942 0.151  0.959 0.002  1.070 -0.108  1.107 -0.249  1.107 -0.405  1.107 -0.562  1.162 -0.695  1.272 -0.806
3#app#app08#app0887/g  0.443 1.245  0.309 1.245  0.175 1.245  0.042 1.245  -0.084 1.225  -0.165 1.125  -0.201 1.006  -0.296 0.912  -0.397 0.826  -0.516 0.766  -0.622 0.687  -0.672 0.574  -0.672 0.440  -0.762 0.344  -0.761 0.220  -0.664 0.131  -0.530 0.131  -0.397 0.131  -0.263 0.131  -0.140 0.156  -0.040 0.244  0.079 0.304  0.139 0.401  0.209 0.505  0.240 0.626  0.240 0.760  0.240 0.786  0.240 0.653  0.240 0.519  0.240 0.385  0.240 0.251  0.240 0.118  0.240 -0.016  0.240 -0.150  0.244 -0.283  0.304 -0.402  0.341 -0.527  0.341 -0.661  0.341 -0.794  0.341 -0.928  0.341 -1.062  0.337 -1.195  0.277 -1.314  0.240 -1.439  0.240 -1.573  0.159 -1.673  0.037 -1.697  0.037 -1.831  -0.032 -1.896  -0.165 -1.896
3#app#app08#app0887/s  0.346 1.078  0.346 1.187  0.265 1.216  0.155 1.216  0.046 1.216  -0.064 1.216  -0.173 1.216  -0.260 1.162  -0.338 1.085  -0.434 1.033  -0.532 0.984  -0.628 0.933  -0.705 0.855  -0.782 0.778  -0.860 0.700  -0.897 0.606  -0.877 0.505  -0.799 0.428  -0.722 0.350  -0.644 0.273  -0.567 0.196  -0.490 0.118  -0.394 0.067  -0.296 0.018  -0.197 -0.027  -0.087 -0.027  -0.004 -0.091  0.074 -0.165  0.184 -0.165  0.293 -0.165  0.386 -0.205  0.463 -0.282  0.541 -0.360  0.618 -0.437  0.695 -0.515  0.760 -0.598  0.760 -0.707  0.760 -0.816  0.760 -0.926  0.717 -0.993  0.622 -1.007  0.622 -1.116  0.527 -1.131  0.424 -1.160  0.327 -1.209  0.229 -1.258  0.122 -1.269  0.012 -1.269  -0.097 -1.269  -0.207 -1.269
3#app#app08#app0887/i  -0.489 0.530  -0.368 0.530  -0.350 0.427  -0.350 0.306  -0.320 0.192  -0.266 0.084  -0.212 -0.024  -0.211 -0.144  -0.211 -0.265  -0.211 -0.386  -0.211 -0.507  -0.211 -0.628  -0.211 -0.749  -0.211 -0.870  -0.211 -0.991  -0.211 -1.112  -0.211 -1.233  -0.211 -1.354  -0.211 -1.474  -0.203 -1.518  -0.177 -1.399  -0.151 -1.281  -0.125 -1.163  -0.100 -1.045  -0.074 -0.927  -0.048 -0.809  -0.023 -0.690  0.003 -0.572  0.029 -0.454  0.054 -0.336  0.080 -0.218  0.106 -0.100  0.131 0.018  0.157 0.137  0.183 0.255  0.208 0.373  0.234 0.491  0.260 0.609  0.285 0.727  0.311 0.845  0.337 0.964  0.363 1.082  0.388 1.200  0.414 1.318  0.440 1.436  0.465 1.554  0.463 1.664  0.377 1.750  0.292 1.835  0.206 1.921
3#app#app08#app0887/d  -0.327 0.084  -0.213 0.183  -0.031 0.213  0.114 0.281  0.204 0.281  0.014 0.227  -0.138 0.079  -0.328 -0.016  -0.479 -0.167  -0.629 -0.317  -0.779 -0.467  -0.926 -0.620  -1.017 -0.811  -1.017 -1.024  -1.000 -1.233  -0.888 -1.396  -0.676 -1.396  -0.463 -1.396  -0.273 -1.342  -0.122 -1.192  0.006 -1.026  0.121 -0.850  0.167 -0.656  0.240 -0.461  0.265 -0.254  0.265 -0.041  0.265 0.171  0.265 0.384  0.303 0.590  0.364 0.793  0.364 1.006  0.364 1.218  0.344 1.428  0.276 1.629  0.265 1.840  0.199 1.694  0.167 1.495  0.167 1.282  0.167 1.070  0.167 0.857  0.167 0.645  0.265 0.473  0.265 0.260  0.282 0.051  0.364 -0.142  0.463 -0.314  0.463 -0.526  0.556 -0.700  0.653 -0.889  0.759 -1.001
3#app#app08#app0887/e  -0.064 0.208  -0.206 0.208  -0.071 0.208  0.032 0.304  0.153 0.353  0.295 0.353  0.417 0.399  0.518 0.499  0.660 0.499  0.761 0.597  0.807 0.720  0.807 0.861  0.759 0.983  0.657 1.079  0.515 1.079  0.373 1.079  0.231 1.079  0.130 0.982  0.008 0.934  -0.134 0.934  -0.256 0.887  -0.357 0.787  -0.457 0.686  -0.557 0.586  -0.653 0.483  -0.716 0.356  -0.780 0.229  -0.909 0.208  -0.935 0.093  -0.935 -0.049  -0.935 -0.191  -0.935 -0.333  -0.863 -0.445  -0.773 -0.552  -0.710 -0.679  -0.646 -0.806  -0.506 -0.809  -0.379 -0.869  -0.252 -0.932  -0.143 -1.020  -0.033 -1.099  0.109 -1.099  0.250 -1.099  0.392 -1.099  0.534 -1.099  0.676 -1.099  0.818 -1.099  0.960 -1.099  1.101 -1.099  1.243 -1.099
3#app#app08#app0887/a  0.676 0.593  0.563 0.706  0.424 0.783  0.279 0.850  0.119 0.850  -0.041 0.850  -0.201 0.850  -0.358 0.843  -0.471 0.730  -0.628 0.721  -0.773 0.685  -0.886 0.572  -0.999 0.458  -1.112 0.345  -1.225 0.232  -1.250 0.082  -1.250 -0.078  -1.250 -0.238  -1.250 -0.398  -1.250 -0.558  -1.094 -0.563  -0.934 -0.563  -0.774 -0.563  -0.614 -0.563  -0.470 -0.494  -0.324 -0.434  -0.181 -0.393  -0.068 -0.280  0.045 -0.167  0.158 -0.053  0.180 0.097  0.295 0.208  0.419 0.243  0.419 0.403  0.419 0.563  0.419 0.462  0.419 0.302  0.419 0.142  0.488 0.011  0.548 -0.125  0.596 -0.273  0.667 -0.417  0.813 -0.443  0.926 -0.556  1.039 -0.669  1.152 -0.782  1.265 -0.895  1.399 -0.975  1.551 -1.026  1.703 -1.076
