2#apb#apb07#app0710/S  1.087 0.502  1.168 0.657  1.123 0.832  1.006 0.959  0.831 0.989  0.650 0.994  0.469 0.983  0.290 0.963  0.112 0.925  -0.065 0.886  -0.234 0.822  -0.403 0.756  -0.568 0.682  -0.727 0.595  -0.882 0.501  -1.020 0.384  -1.156 0.264  -1.197 0.120  -1.042 0.042  -0.862 0.022  -0.682 0.009  -0.500 -0.001  -0.319 -0.009  -0.138 -0.013  0.043 -0.017  0.224 -0.029  0.405 -0.041  0.586 -0.055  0.766 -0.074  0.946 -0.094  1.115 -0.156  1.234 -0.271  1.207 -0.429  1.091 -0.568  0.923 -0.635  0.754 -0.700  0.580 -0.748  0.402 -0.786  0.225 -0.825  0.046 -0.848  -0.135 -0.862  -0.316 -0.876  -0.496 -0.877  -0.677 -0.858  -0.857 -0.839  -1.005 -0.737  -1.093 -0.593  -1.098 -0.418  -0.993 -0.290  -0.819 -0.238
2#apb#apb07#app0710/t  1.556 0.549  1.457 0.430  1.318 0.323  1.153 0.259  0.986 0.196  0.820 0.134  0.653 0.072  0.484 0.020  0.310 -0.019  0.137 -0.058  -0.038 -0.089  -0.215 -0.106  -0.392 -0.124  -0.569 -0.131  -0.746 -0.120  -0.924 -0.109  -1.097 -0.071  -1.251 -0.001  -1.308 0.130  -1.150 0.210  -0.991 0.290  -0.832 0.370  -0.673 0.449  -0.515 0.529  -0.356 0.609  -0.197 0.689  -0.038 0.769  0.121 0.849  0.279 0.929  0.438 1.009  0.597 1.089  0.636 1.002  0.600 0.830  0.542 0.662  0.470 0.499  0.398 0.337  0.320 0.177  0.242 0.017  0.165 -0.143  0.087 -0.303  0.009 -0.463  -0.067 -0.623  -0.133 -0.788  -0.200 -0.953  -0.266 -1.118  -0.298 -1.292  -0.328 -1.468  -0.360 -1.642  -0.405 -1.814  -0.430 -1.990
2#apb#apb07#app0710/o  0.045 -0.155  0.121 -0.020  0.230 0.095  0.318 0.228  0.389 0.371  0.455 0.517  0.501 0.667  0.501 0.827  0.450 0.977  0.359 1.103  0.222 1.164  0.063 1.164  -0.066 1.075  -0.191 0.976  -0.309 0.869  -0.412 0.746  -0.514 0.624  -0.616 0.501  -0.708 0.371  -0.775 0.226  -0.842 0.081  -0.909 -0.064  -0.976 -0.209  -0.993 -0.367  -1.006 -0.526  -1.019 -0.686  -1.010 -0.840  -0.932 -0.979  -0.853 -1.118  -0.731 -1.199  -0.575 -1.231  -0.420 -1.222  -0.265 -1.181  -0.111 -1.139  0.030 -1.073  0.153 -0.970  0.275 -0.868  0.398 -0.765  0.504 -0.650  0.573 -0.506  0.641 -0.361  0.710 -0.217  0.778 -0.073  0.820 0.082  0.861 0.236  0.903 0.390  0.943 0.545  0.970 0.702  0.996 0.860  1.022 1.018
2#apb#apb07#app0710/n  -1.024 0.953  -0.934 1.063  -0.790 1.020  -0.696 0.900  -0.646 0.750  -0.636 0.594  -0.629 0.436  -0.629 0.279  -0.629 0.122  -0.644 -0.035  -0.667 -0.190  -0.690 -0.346  -0.713 -0.502  -0.736 -0.657  -0.766 -0.812  -0.798 -0.966  -0.839 -1.026  -0.775 -0.882  -0.699 -0.745  -0.622 -0.607  -0.537 -0.476  -0.443 -0.349  -0.349 -0.223  -0.255 -0.097  -0.167 0.034  -0.082 0.166  0.004 0.298  0.089 0.431  0.172 0.564  0.248 0.702  0.323 0.840  0.398 0.979  0.520 1.072  0.638 1.013  0.743 0.898  0.780 0.745  0.817 0.592  0.853 0.439  0.870 0.282  0.886 0.126  0.902 -0.031  0.909 -0.188  0.909 -0.345  0.909 -0.503  0.909 -0.660  0.906 -0.817  0.902 -0.975  0.897 -1.132  0.900 -1.289  0.909 -1.446
2#apb#apb07#app0710/U  -0.371 0.987  -0.395 1.161  -0.550 1.120  -0.649 0.974  -0.721 0.814  -0.784 0.650  -0.834 0.482  -0.875 0.311  -0.916 0.139  -0.942 -0.035  -0.964 -0.209  -0.981 -0.384  -0.955 -0.558  -0.928 -0.732  -0.862 -0.895  -0.779 -1.048  -0.634 -1.117  -0.474 -1.067  -0.333 -0.962  -0.218 -0.828  -0.108 -0.692  -0.016 -0.542  0.077 -0.392  0.160 -0.237  0.237 -0.079  0.314 0.080  0.371 0.246  0.426 0.413  0.480 0.581  0.530 0.750  0.579 0.919  0.617 1.090  0.634 1.265  0.622 1.251  0.594 1.078  0.573 0.903  0.555 0.728  0.533 0.553  0.506 0.379  0.478 0.205  0.462 0.030  0.462 -0.146  0.462 -0.322  0.488 -0.495  0.531 -0.666  0.574 -0.837  0.628 -1.004  0.684 -1.171  0.777 -1.319  0.936 -1.372
2#apb#apb07#app0710/r  1.262 1.485  1.090 1.416  0.980 1.262  0.885 1.095  0.794 0.924  0.704 0.754  0.613 0.583  0.521 0.414  0.429 0.245  0.340 0.073  0.260 -0.102  0.179 -0.277  0.104 -0.455  0.053 -0.641  0.003 -0.827  -0.036 -1.015  -0.060 -1.207  -0.071 -1.399  -0.069 -1.461  -0.046 -1.269  -0.025 -1.077  -0.018 -0.885  -0.010 -0.692  -0.003 -0.499  -0.007 -0.306  -0.012 -0.113  -0.017 0.079  -0.023 0.272  -0.039 0.464  -0.064 0.656  -0.088 0.847  -0.113 1.038  -0.188 1.214  -0.275 1.387  -0.398 1.304  -0.455 1.120  -0.490 0.932  -0.502 0.739  -0.513 0.547  -0.524 0.354  -0.524 0.162  -0.509 -0.031  -0.494 -0.223  -0.479 -0.415  -0.464 -0.608  -0.424 -0.796  -0.382 -0.985  -0.340 -1.173  -0.297 -1.361  -0.255 -1.549
2#apb#apb07#app0710/b  -0.268 1.669  -0.399 1.589  -0.487 1.447  -0.546 1.288  -0.576 1.121  -0.604 0.954  -0.598 0.784  -0.593 0.615  -0.576 0.446  -0.557 0.277  -0.537 0.109  -0.512 -0.059  -0.488 -0.226  -0.471 -0.395  -0.455 -0.564  -0.454 -0.734  -0.464 -0.902  -0.503 -1.045  -0.554 -0.890  -0.542 -0.721  -0.515 -0.553  -0.489 -0.386  -0.448 -0.221  -0.406 -0.057  -0.361 0.107  -0.306 0.267  -0.251 0.428  -0.195 0.587  -0.102 0.729  0.003 0.851  0.171 0.875  0.326 0.824  0.475 0.743  0.583 0.618  0.674 0.475  0.753 0.327  0.804 0.165  0.855 0.003  0.909 -0.158  0.965 -0.318  1.022 -0.478  1.033 -0.646  1.039 -0.816  0.951 -0.957  0.853 -1.095  0.698 -1.157  0.537 -1.211  0.372 -1.237  0.202 -1.237  0.032 -1.237
2#apb#apb07#app0710/a  0.283 1.014  0.190 1.168  0.069 1.298  -0.076 1.405  -0.251 1.450  -0.399 1.407  -0.514 1.269  -0.577 1.099  -0.641 0.930  -0.701 0.760  -0.743 0.584  -0.784 0.409  -0.826 0.233  -0.826 0.053  -0.817 -0.127  -0.808 -0.308  -0.779 -0.484  -0.715 -0.653  -0.650 -0.821  -0.576 -0.985  -0.479 -1.138  -0.376 -1.279  -0.208 -1.249  -0.080 -1.122  0.048 -0.994  0.105 -0.823  0.159 -0.651  0.214 -0.479  0.253 -0.303  0.290 -0.126  0.327 0.051  0.363 0.228  0.394 0.406  0.422 0.584  0.450 0.763  0.476 0.942  0.516 0.850  0.528 0.670  0.540 0.490  0.546 0.309  0.550 0.128  0.555 -0.052  0.556 -0.233  0.552 -0.413  0.548 -0.594  0.544 -0.775  0.556 -0.954  0.577 -1.134  0.598 -1.313  0.619 -1.493
2#apb#apb07#app0710/n  -0.985 1.242  -0.898 1.115  -0.824 0.975  -0.798 0.820  -0.780 0.662  -0.753 0.506  -0.718 0.352  -0.682 0.197  -0.648 0.042  -0.616 -0.113  -0.584 -0.269  -0.552 -0.424  -0.532 -0.581  -0.516 -0.739  -0.500 -0.897  -0.489 -1.054  -0.542 -1.204  -0.571 -1.230  -0.533 -1.076  -0.492 -0.923  -0.448 -0.770  -0.403 -0.618  -0.359 -0.466  -0.305 -0.317  -0.249 -0.168  -0.194 -0.020  -0.138 0.129  -0.083 0.278  -0.023 0.425  0.036 0.572  0.096 0.719  0.155 0.866  0.229 1.006  0.305 1.139  0.443 1.062  0.554 0.959  0.621 0.815  0.687 0.671  0.754 0.527  0.813 0.380  0.855 0.227  0.898 0.074  0.940 -0.078  0.983 -0.231  1.026 -0.384  1.072 -0.536  1.118 -0.687  1.164 -0.839  1.211 -0.991  1.257 -1.143
2#apb#apb07#app0710/V  -0.639 0.965  -0.690 1.045  -0.780 0.984  -0.841 0.894  -0.861 0.784  -0.867 0.673  -0.861 0.562  -0.844 0.451  -0.825 0.341  -0.801 0.232  -0.768 0.126  -0.735 0.019  -0.706 -0.089  -0.680 -0.197  -0.654 -0.306  -0.628 -0.414  -0.602 -0.523  -0.576 -0.632  -0.541 -0.738  -0.504 -0.843  -0.446 -0.938  -0.368 -1.015  -0.276 -1.079  -0.166 -1.091  -0.054 -1.095  0.053 -1.080  0.143 -1.015  0.225 -0.940  0.293 -0.852  0.362 -0.764  0.424 -0.672  0.476 -0.573  0.528 -0.474  0.580 -0.376  0.629 -0.275  0.663 -0.169  0.697 -0.063  0.731 0.044  0.765 0.150  0.797 0.257  0.808 0.368  0.818 0.479  0.829 0.590  0.840 0.702  0.850 0.813  0.850 0.924  0.846 1.036  0.841 1.147  0.836 1.259  0.831 1.370
2#apb#apb07#app0710/o  0.478 -0.183  0.525 -0.041  0.550 0.106  0.562 0.254  0.554 0.403  0.526 0.550  0.464 0.686  0.372 0.801  0.266 0.905  0.148 0.997  0.005 1.008  -0.144 0.997  -0.293 0.980  -0.435 0.949  -0.547 0.851  -0.659 0.752  -0.754 0.638  -0.837 0.513  -0.920 0.389  -0.963 0.248  -0.994 0.102  -1.024 -0.045  -1.042 -0.192  -1.042 -0.342  -1.042 -0.491  -1.019 -0.635  -0.952 -0.769  -0.885 -0.902  -0.766 -0.986  -0.635 -1.058  -0.496 -1.093  -0.346 -1.088  -0.197 -1.082  -0.053 -1.061  0.073 -0.980  0.198 -0.899  0.324 -0.818  0.448 -0.736  0.541 -0.618  0.634 -0.501  0.727 -0.384  0.820 -0.267  0.870 -0.128  0.913 0.015  0.957 0.158  1.000 0.301  1.010 0.450  1.018 0.599  1.027 0.749  1.035 0.898
2#apb#apb07#app0710/g  0.160 0.588  0.153 0.829  0.116 1.067  0.018 1.281  -0.189 1.396  -0.423 1.365  -0.569 1.180  -0.671 0.964  -0.748 0.735  -0.777 0.496  -0.791 0.255  -0.710 0.028  -0.613 -0.191  -0.463 -0.381  -0.264 -0.508  -0.033 -0.476  0.138 -0.314  0.265 -0.113  0.349 0.114  0.421 0.344  0.485 0.577  0.535 0.813  0.575 1.051  0.561 1.289  0.468 1.158  0.405 0.926  0.366 0.688  0.344 0.448  0.337 0.206  0.337 -0.035  0.365 -0.275  0.393 -0.515  0.444 -0.750  0.502 -0.985  0.553 -1.221  0.585 -1.460  0.541 -1.672  0.344 -1.752  0.113 -1.682  -0.077 -1.541  -0.254 -1.376  -0.366 -1.169  -0.446 -0.941  -0.516 -0.712  -0.510 -0.470  -0.504 -0.229  -0.469 0.005  -0.359 0.220  -0.178 0.344  0.057 0.399
2#apb#apb07#app0710/e  -0.521 -0.454  -0.441 -0.372  -0.312 -0.357  -0.189 -0.319  -0.073 -0.251  0.026 -0.163  0.117 -0.064  0.174 0.055  0.219 0.181  0.264 0.307  0.290 0.439  0.316 0.570  0.339 0.702  0.339 0.836  0.339 0.970  0.337 1.104  0.311 1.236  0.284 1.367  0.208 1.472  0.097 1.477  -0.015 1.409  -0.089 1.298  -0.164 1.186  -0.238 1.075  -0.290 0.951  -0.339 0.826  -0.388 0.701  -0.437 0.577  -0.455 0.445  -0.469 0.311  -0.482 0.178  -0.496 0.044  -0.495 -0.088  -0.452 -0.215  -0.410 -0.342  -0.368 -0.469  -0.325 -0.596  -0.276 -0.720  -0.197 -0.829  -0.119 -0.938  -0.040 -1.046  0.038 -1.155  0.121 -1.259  0.239 -1.322  0.357 -1.385  0.476 -1.448  0.597 -1.496  0.731 -1.486  0.865 -1.477  0.998 -1.467
2#apb#apb07#app0710/l  -0.905 -1.167  -0.792 -1.075  -0.662 -1.010  -0.529 -0.951  -0.403 -0.880  -0.277 -0.806  -0.165 -0.713  -0.053 -0.620  0.046 -0.513  0.141 -0.403  0.223 -0.285  0.280 -0.150  0.337 -0.016  0.375 0.122  0.386 0.268  0.397 0.413  0.404 0.558  0.388 0.703  0.372 0.848  0.356 0.993  0.327 1.134  0.268 1.267  0.209 1.400  0.150 1.534  0.077 1.654  -0.041 1.568  -0.103 1.445  -0.141 1.304  -0.178 1.163  -0.207 1.021  -0.222 0.876  -0.237 0.731  -0.252 0.586  -0.264 0.441  -0.268 0.295  -0.271 0.150  -0.275 0.004  -0.279 -0.142  -0.232 -0.277  -0.170 -0.408  -0.108 -0.540  -0.046 -0.672  0.016 -0.804  0.083 -0.933  0.167 -1.052  0.250 -1.172  0.333 -1.292  0.416 -1.412  0.499 -1.531  0.582 -1.651
