2#apa#apa20#app2045/T  -0.079 0.354  -0.079 0.527  -0.079 0.700  -0.144 0.807  -0.079 0.708  -0.079 0.535  -0.079 0.363  -0.079 0.190  -0.079 0.018  -0.079 -0.155  -0.079 -0.328  -0.079 -0.500  -0.043 -0.667  -0.013 -0.835  -0.013 -1.007  0.002 -1.176  0.052 -1.337  0.117 -1.482  0.182 -1.628  0.295 -1.716  0.258 -1.596  0.194 -1.436  0.130 -1.275  0.066 -1.115  0.002 -0.955  -0.062 -0.795  -0.127 -0.634  -0.191 -0.474  -0.255 -0.314  -0.319 -0.154  -0.383 0.006  -0.447 0.167  -0.531 0.316  -0.622 0.463  -0.719 0.603  -0.796 0.705  -0.795 0.877  -0.649 0.941  -0.476 0.941  -0.304 0.941  -0.131 0.941  0.041 0.941  0.214 0.941  0.386 0.941  0.559 0.941  0.732 0.941  0.904 0.941  1.077 0.941  1.249 0.941  1.422 0.941
2#apa#apa20#app2045/d  0.021 2.264  0.021 2.097  0.021 1.931  0.043 1.767  0.084 1.606  0.122 1.444  0.122 1.278  0.122 1.111  0.122 0.945  0.151 0.785  0.224 0.636  0.224 0.469  0.224 0.303  0.224 0.137  0.224 -0.030  0.224 -0.196  0.224 -0.363  0.224 -0.529  0.224 -0.696  0.224 -0.862  0.266 -0.986  0.325 -0.878  0.325 -0.712  0.325 -0.546  0.325 -0.379  0.325 -0.213  0.307 -0.054  0.224 0.078  0.144 0.211  -0.004 0.257  -0.138 0.334  -0.303 0.325  -0.451 0.251  -0.606 0.215  -0.690 0.083  -0.770 -0.050  -0.792 -0.207  -0.792 -0.374  -0.792 -0.540  -0.702 -0.670  -0.586 -0.788  -0.511 -0.937  -0.381 -1.021  -0.223 -1.074  -0.059 -1.087  0.108 -1.087  0.274 -1.087  0.441 -1.087  0.607 -1.087  0.732 -0.986
2#apa#apa20#app2045/p  -0.436 -0.042  -0.354 0.092  -0.394 0.245  -0.354 0.260  -0.354 0.092  -0.354 -0.077  -0.354 -0.246  -0.354 -0.415  -0.354 -0.584  -0.354 -0.753  -0.354 -0.921  -0.354 -1.090  -0.354 -1.259  -0.354 -1.428  -0.272 -1.562  -0.189 -1.697  -0.189 -1.677  -0.189 -1.508  -0.189 -1.339  -0.189 -1.170  -0.189 -1.002  -0.189 -0.833  -0.189 -0.664  -0.189 -0.495  -0.189 -0.326  -0.189 -0.157  -0.189 0.011  -0.189 0.180  -0.189 0.349  -0.160 0.515  -0.127 0.680  -0.107 0.847  -0.057 0.995  0.004 1.139  0.068 1.275  0.155 1.357  0.323 1.357  0.490 1.347  0.642 1.275  0.783 1.208  0.902 1.089  0.963 0.945  0.963 0.777  0.899 0.634  0.772 0.534  0.609 0.498  0.454 0.436  0.313 0.369  0.144 0.369  -0.025 0.369
2#apa#apa20#app2045/o  -0.044 0.549  -0.044 0.693  -0.115 0.809  -0.218 0.911  -0.356 0.926  -0.421 1.006  -0.457 1.115  -0.602 1.115  -0.707 1.018  -0.799 0.911  -0.799 0.766  -0.799 0.621  -0.799 0.477  -0.799 0.332  -0.799 0.187  -0.799 0.042  -0.799 -0.103  -0.799 -0.248  -0.799 -0.393  -0.735 -0.523  -0.670 -0.652  -0.600 -0.773  -0.455 -0.773  -0.343 -0.851  -0.240 -0.954  -0.113 -1.022  0.017 -1.086  0.146 -1.150  0.291 -1.150  0.436 -1.150  0.581 -1.150  0.711 -1.136  0.711 -0.991  0.793 -0.880  0.896 -0.777  0.900 -0.634  0.900 -0.489  0.900 -0.345  0.900 -0.200  0.900 -0.055  0.824 0.058  0.721 0.161  0.653 0.288  0.588 0.417  0.523 0.547  0.523 0.692  0.452 0.808  0.350 0.910  0.247 1.012  0.145 1.115
2#apa#apa20#app2045/s  -0.387 1.220  -0.387 1.337  -0.447 1.395  -0.565 1.395  -0.682 1.395  -0.738 1.332  -0.734 1.216  -0.651 1.133  -0.568 1.050  -0.485 0.967  -0.402 0.884  -0.344 0.782  -0.291 0.677  -0.239 0.572  -0.154 0.519  -0.037 0.519  0.046 0.436  0.129 0.353  0.243 0.344  0.347 0.310  0.430 0.227  0.488 0.134  0.488 0.016  0.583 -0.006  0.663 -0.044  0.663 -0.161  0.761 -0.181  0.838 -0.221  0.838 -0.339  0.838 -0.456  0.838 -0.574  0.838 -0.691  0.735 -0.706  0.663 -0.751  0.663 -0.869  0.557 -0.881  0.440 -0.881  0.322 -0.881  0.205 -0.881  0.087 -0.881  -0.030 -0.881  -0.148 -0.881  -0.265 -0.881  -0.383 -0.881  -0.500 -0.881  -0.618 -0.881  -0.735 -0.881  -0.853 -0.881  -0.970 -0.881  -1.088 -0.881
2#apa#apa20#app2045/e  -0.079 0.693  -0.257 0.838  -0.457 0.927  -0.657 0.968  -0.765 0.838  -0.802 0.637  -0.802 0.400  -0.802 0.163  -0.667 -0.019  -0.513 -0.192  -0.401 -0.318  -0.224 -0.257  -0.368 -0.165  -0.368 -0.131  -0.188 -0.209  0.004 -0.318  0.241 -0.318  0.478 -0.318  0.716 -0.318  0.802 -0.158  0.932 0.026  0.932 0.263  0.864 0.472  0.787 0.678  0.588 0.748  0.388 0.838  0.210 0.982  0.033 1.127  -0.205 1.127  -0.442 1.127  -0.528 0.967  -0.657 0.783  -0.723 0.561  -0.802 0.342  -0.802 0.105  -0.802 -0.132  -0.802 -0.370  -0.699 -0.565  -0.531 -0.733  -0.362 -0.899  -0.150 -1.005  0.033 -1.152  0.257 -1.184  0.494 -1.184  0.731 -1.184  0.958 -1.158  1.146 -1.040  1.336 -0.925  1.417 -0.751  1.510 -0.607
2#apa#apa20#app2045/d  0.374 2.100  0.374 1.970  0.374 1.840  0.374 1.710  0.374 1.580  0.374 1.450  0.374 1.320  0.374 1.190  0.374 1.060  0.352 0.932  0.327 0.805  0.301 0.677  0.285 0.549  0.285 0.419  0.285 0.289  0.285 0.159  0.285 0.029  0.285 -0.101  0.285 -0.231  0.285 -0.361  0.285 -0.491  0.285 -0.621  0.285 -0.706  0.285 -0.576  0.273 -0.451  0.181 -0.359  0.109 -0.259  0.060 -0.149  -0.054 -0.110  -0.150 -0.028  -0.277 -0.021  -0.407 -0.021  -0.537 -0.021  -0.598 -0.090  -0.676 -0.188  -0.775 -0.225  -0.775 -0.355  -0.775 -0.485  -0.775 -0.615  -0.763 -0.740  -0.672 -0.832  -0.580 -0.924  -0.488 -1.016  -0.389 -1.098  -0.273 -1.156  -0.146 -1.170  -0.016 -1.170  0.114 -1.170  0.244 -1.170  0.374 -1.170
2#apa#apa20#app2045/a  -0.221 0.974  -0.221 1.141  -0.317 1.267  -0.319 1.433  -0.187 1.467  -0.050 1.395  0.068 1.277  0.174 1.155  0.234 1.013  0.285 0.875  0.371 0.795  0.371 0.628  0.253 0.579  0.174 0.492  0.019 0.481  -0.148 0.481  -0.314 0.481  -0.440 0.382  -0.580 0.318  -0.698 0.201  -0.816 0.083  -0.911 -0.044  -0.982 -0.182  -1.010 -0.337  -1.010 -0.503  -1.010 -0.670  -1.010 -0.836  -0.907 -0.900  -0.740 -0.900  -0.573 -0.900  -0.407 -0.900  -0.240 -0.900  -0.074 -0.900  0.059 -0.818  0.177 -0.700  0.294 -0.582  0.429 -0.505  0.526 -0.393  0.568 -0.236  0.568 -0.070  0.470 -0.023  0.470 -0.189  0.568 -0.315  0.621 -0.460  0.739 -0.578  0.857 -0.695  1.004 -0.743  1.137 -0.839  1.290 -0.900  1.456 -0.900
2#apa#apa20#app2045/l  -0.244 1.244  -0.244 1.317  -0.244 1.389  -0.244 1.462  -0.177 1.467  -0.170 1.402  -0.170 1.329  -0.170 1.256  -0.170 1.184  -0.128 1.128  -0.095 1.069  -0.095 0.996  -0.091 0.924  -0.077 0.853  -0.062 0.782  -0.048 0.710  -0.034 0.639  -0.021 0.568  -0.021 0.495  -0.021 0.422  -0.021 0.349  -0.021 0.277  -0.021 0.204  0.001 0.135  0.024 0.066  0.047 -0.003  0.054 -0.075  0.054 -0.148  0.054 -0.220  0.054 -0.293  0.054 -0.366  0.054 -0.438  0.067 -0.509  0.090 -0.578  0.113 -0.647  0.128 -0.717  0.128 -0.790  0.128 -0.863  0.128 -0.935  0.128 -1.008  0.128 -1.081  0.128 -1.153  0.128 -1.226  0.128 -1.299  0.128 -1.372  0.128 -1.444  0.128 -1.517  0.128 -1.590  0.128 -1.662  0.128 -1.735
2#apa#apa20#app2045/o  0.492 0.792  0.483 0.931  0.382 1.032  0.247 1.052  0.232 1.180  0.091 1.182  -0.052 1.182  -0.184 1.157  -0.285 1.055  -0.387 0.954  -0.488 0.853  -0.589 0.752  -0.686 0.648  -0.750 0.520  -0.809 0.391  -0.809 0.248  -0.809 0.105  -0.809 -0.038  -0.809 -0.181  -0.809 -0.324  -0.809 -0.467  -0.809 -0.609  -0.809 -0.752  -0.683 -0.769  -0.580 -0.867  -0.479 -0.969  -0.378 -1.070  -0.272 -1.159  -0.129 -1.159  0.014 -1.159  0.157 -1.159  0.300 -1.159  0.443 -1.159  0.558 -1.093  0.622 -0.976  0.668 -0.853  0.752 -0.744  0.752 -0.601  0.752 -0.458  0.752 -0.315  0.752 -0.172  0.752 -0.029  0.752 0.114  0.671 0.223  0.589 0.338  0.525 0.466  0.492 0.601  0.434 0.720  0.333 0.821  0.232 0.922
2#apa#apa20#app2045/n  -0.682 0.240  -0.809 0.367  -0.835 0.535  -0.955 0.665  -0.893 0.603  -0.835 0.448  -0.835 0.269  -0.835 0.090  -0.710 -0.037  -0.682 -0.205  -0.672 -0.379  -0.545 -0.506  -0.530 -0.679  -0.530 -0.858  -0.504 -1.031  -0.424 -1.191  -0.378 -1.207  -0.378 -1.028  -0.378 -0.849  -0.378 -0.669  -0.378 -0.490  -0.352 -0.317  -0.272 -0.157  -0.226 0.011  -0.226 0.190  -0.226 0.369  -0.156 0.532  -0.076 0.692  -0.073 0.870  -0.040 1.035  0.087 1.162  0.213 1.289  0.384 1.305  0.404 1.135  0.530 1.008  0.688 0.984  0.688 0.805  0.711 0.629  0.768 0.459  0.824 0.290  0.841 0.113  0.841 -0.066  0.841 -0.245  0.880 -0.408  0.993 -0.540  0.993 -0.719  0.993 -0.898  0.993 -1.077  0.993 -1.256  1.145 -1.283
2#apa#apa20#app2045/g  0.269 0.886  0.226 1.038  0.161 1.181  0.052 1.242  -0.039 1.320  -0.208 1.320  -0.378 1.320  -0.490 1.199  -0.523 1.037  -0.598 0.885  -0.598 0.716  -0.598 0.546  -0.598 0.376  -0.598 0.207  -0.598 0.037  -0.492 -0.088  -0.368 -0.198  -0.198 -0.198  -0.068 -0.102  0.072 -0.051  0.148 0.101  0.184 0.258  0.269 0.392  0.269 0.562  0.269 0.731  0.182 0.865  0.161 0.964  0.161 0.794  0.161 0.624  0.161 0.455  0.187 0.291  0.263 0.140  0.269 -0.028  0.269 -0.198  0.382 -0.322  0.423 -0.487  0.464 -0.651  0.486 -0.818  0.548 -0.973  0.595 -1.132  0.595 -1.301  0.539 -1.448  0.391 -1.500  0.221 -1.500  0.051 -1.500  -0.118 -1.500  -0.283 -1.490  -0.413 -1.392  -0.555 -1.326  -0.707 -1.283
2#apa#apa20#app2045/s  0.728 0.427  0.859 0.442  0.838 0.580  0.734 0.684  0.631 0.787  0.527 0.891  0.423 0.994  0.314 1.084  0.168 1.084  0.021 1.084  -0.125 1.084  -0.271 1.084  -0.390 1.017  -0.510 0.953  -0.656 0.953  -0.778 0.892  -0.881 0.789  -0.980 0.683  -0.995 0.543  -1.099 0.440  -1.111 0.298  -1.009 0.194  -0.906 0.090  -0.783 0.033  -0.660 -0.024  -0.544 -0.098  -0.398 -0.098  -0.273 -0.149  -0.160 -0.229  -0.013 -0.229  0.115 -0.273  0.225 -0.361  0.372 -0.361  0.518 -0.361  0.645 -0.409  0.757 -0.492  0.859 -0.536  0.859 -0.683  0.859 -0.829  0.770 -0.886  0.728 -0.991  0.608 -1.017  0.462 -1.017  0.321 -1.030  0.217 -1.134  0.077 -1.149  -0.070 -1.149  -0.216 -1.149  -0.351 -1.177  -0.454 -1.280
2#apa#apa20#app2045/i  0.036 0.356  0.036 0.242  0.036 0.128  -0.038 0.045  -0.082 -0.050  -0.082 -0.164  -0.082 -0.278  -0.082 -0.392  -0.082 -0.506  -0.082 -0.620  -0.082 -0.734  -0.082 -0.848  -0.082 -0.962  -0.082 -1.076  -0.082 -1.190  -0.082 -1.304  -0.082 -1.417  -0.082 -1.531  -0.074 -1.432  -0.065 -1.318  -0.056 -1.205  -0.048 -1.091  -0.039 -0.977  -0.030 -0.864  -0.021 -0.750  -0.013 -0.637  -0.004 -0.523  0.005 -0.409  0.014 -0.296  0.022 -0.182  0.031 -0.069  0.040 0.045  0.048 0.159  0.057 0.272  0.066 0.386  0.075 0.499  0.083 0.613  0.092 0.726  0.101 0.840  0.110 0.954  0.118 1.067  0.127 1.181  0.136 1.294  0.145 1.408  0.153 1.522  0.112 1.625  0.061 1.727  -0.005 1.818  -0.082 1.900  -0.082 2.014
2#apa#apa20#app2045/d  0.100 1.786  0.176 1.867  0.183 2.006  0.251 1.878  0.251 1.723  0.251 1.567  0.251 1.411  0.232 1.257  0.195 1.106  0.176 0.953  0.176 0.797  0.176 0.641  0.134 0.495  0.100 0.347  0.100 0.191  0.100 0.035  0.100 -0.121  0.100 -0.276  0.100 -0.432  0.100 -0.588  0.100 -0.744  0.100 -0.812  0.100 -0.656  0.100 -0.500  0.100 -0.345  0.100 -0.189  0.100 -0.033  -0.027 0.026  -0.142 0.125  -0.297 0.125  -0.453 0.125  -0.578 0.051  -0.717 -0.019  -0.777 -0.148  -0.806 -0.292  -0.806 -0.448  -0.770 -0.589  -0.686 -0.718  -0.594 -0.841  -0.458 -0.916  -0.338 -1.011  -0.187 -1.048  -0.035 -1.082  0.121 -1.082  0.277 -1.082  0.424 -1.061  0.556 -1.004  0.682 -0.931  0.798 -0.837  0.855 -0.705
2#apa#apa20#app2045/e  -0.303 0.099  -0.303 0.250  -0.303 0.400  -0.303 0.551  -0.182 0.580  -0.076 0.474  0.069 0.460  0.220 0.460  0.370 0.460  0.521 0.460  0.671 0.460  0.779 0.502  0.779 0.653  0.779 0.804  0.659 0.834  0.616 0.941  0.466 0.941  0.315 0.941  0.165 0.941  0.014 0.941  -0.136 0.941  -0.287 0.941  -0.398 0.846  -0.504 0.740  -0.611 0.634  -0.717 0.527  -0.824 0.421  -0.905 0.304  -0.905 0.153  -0.905 0.003  -0.905 -0.148  -0.905 -0.298  -0.857 -0.429  -0.763 -0.545  -0.696 -0.679  -0.608 -0.799  -0.494 -0.896  -0.368 -0.980  -0.243 -1.063  -0.105 -1.103  0.046 -1.103  0.196 -1.103  0.347 -1.103  0.497 -1.103  0.648 -1.103  0.798 -1.103  0.946 -1.088  1.089 -1.040  1.232 -0.993  1.381 -0.983
2#apa#apa20#app2045/a  -0.427 1.128  -0.336 1.203  -0.336 1.369  -0.240 1.491  -0.074 1.491  0.092 1.491  0.221 1.401  0.361 1.340  0.482 1.277  0.558 1.142  0.611 0.998  0.664 0.854  0.664 0.688  0.664 0.522  0.620 0.400  0.553 0.289  0.417 0.218  0.251 0.218  0.085 0.218  -0.081 0.218  -0.247 0.218  -0.413 0.218  -0.542 0.127  -0.679 0.058  -0.732 -0.086  -0.849 -0.204  -0.882 -0.356  -0.882 -0.522  -0.794 -0.600  -0.719 -0.691  -0.609 -0.747  -0.478 -0.782  -0.319 -0.765  -0.184 -0.691  -0.055 -0.600  0.086 -0.541  0.118 -0.389  0.118 -0.223  0.030 -0.145  0.027 -0.309  0.027 -0.475  0.027 -0.641  0.064 -0.801  0.117 -0.959  0.232 -1.077  0.300 -1.215  0.405 -1.335  0.554 -1.409  0.680 -1.509  0.846 -1.509
