2#apa#apa14#app1406/w  -1.027 0.287  -1.027 0.448  -1.027 0.609  -1.149 0.687  -1.160 0.538  -1.160 0.377  -1.160 0.216  -1.160 0.054  -1.160 -0.107  -1.093 -0.252  -1.093 -0.413  -1.027 -0.547  -0.984 -0.690  -0.860 -0.781  -0.699 -0.781  -0.538 -0.781  -0.389 -0.729  -0.278 -0.617  -0.194 -0.482  -0.109 -0.347  -0.005 -0.226  0.084 -0.094  0.108 0.062  0.059 0.203  -0.008 0.336  -0.134 0.421  -0.159 0.285  -0.159 0.123  -0.159 -0.038  -0.092 -0.171  -0.032 -0.307  0.043 -0.449  0.178 -0.514  0.339 -0.514  0.496 -0.483  0.652 -0.442  0.791 -0.364  0.905 -0.250  1.047 -0.175  1.175 -0.080  1.281 0.030  1.378 0.156  1.442 0.290  1.429 0.448  1.376 0.597  1.313 0.719  1.184 0.812  1.060 0.912  0.928 1.002  0.775 1.021
2#apa#apa14#app1406/o  -0.594 0.571  -0.686 0.479  -0.777 0.388  -0.869 0.296  -0.947 0.198  -0.947 0.068  -0.947 -0.061  -0.947 -0.191  -0.947 -0.321  -0.947 -0.451  -0.881 -0.554  -0.790 -0.645  -0.698 -0.737  -0.606 -0.829  -0.485 -0.869  -0.359 -0.900  -0.233 -0.931  -0.106 -0.959  0.023 -0.959  0.153 -0.959  0.283 -0.959  0.406 -0.930  0.522 -0.872  0.627 -0.798  0.719 -0.706  0.810 -0.614  0.902 -0.522  0.994 -0.430  1.054 -0.326  1.054 -0.196  1.054 -0.066  1.054 0.064  1.054 0.194  0.979 0.293  0.888 0.384  0.790 0.468  0.674 0.526  0.563 0.591  0.471 0.683  0.379 0.775  0.272 0.845  0.155 0.903  0.031 0.924  -0.099 0.924  -0.198 0.999  -0.310 1.042  -0.440 1.042  -0.570 1.042  -0.699 1.042  -0.829 1.042
2#apa#apa14#app1406/u  -1.367 1.125  -1.240 1.111  -1.240 0.969  -1.240 0.828  -1.240 0.686  -1.240 0.544  -1.240 0.403  -1.195 0.272  -1.132 0.145  -1.044 0.036  -0.943 -0.064  -0.843 -0.164  -0.743 -0.264  -0.730 -0.400  -0.633 -0.502  -0.504 -0.532  -0.363 -0.532  -0.221 -0.532  -0.092 -0.520  -0.065 -0.405  0.035 -0.364  0.074 -0.238  0.174 -0.138  0.275 -0.038  0.290 0.097  0.290 0.239  0.290 0.380  0.324 0.488  0.418 0.536  0.418 0.678  0.418 0.819  0.418 0.779  0.371 0.649  0.307 0.522  0.290 0.384  0.290 0.243  0.290 0.101  0.303 -0.035  0.403 -0.135  0.503 -0.235  0.603 -0.336  0.703 -0.436  0.804 -0.536  0.904 -0.636  1.024 -0.708  1.151 -0.771  1.283 -0.821  1.417 -0.866  1.552 -0.910  1.693 -0.915
2#apa#apa14#app1406/s  0.591 1.237  0.702 1.237  0.569 1.237  0.435 1.237  0.301 1.237  0.174 1.212  0.054 1.152  -0.071 1.115  -0.187 1.072  -0.285 0.983  -0.405 0.923  -0.524 0.863  -0.644 0.803  -0.756 0.739  -0.756 0.605  -0.734 0.481  -0.640 0.386  -0.545 0.292  -0.426 0.257  -0.292 0.257  -0.158 0.257  -0.037 0.204  0.082 0.144  0.214 0.135  0.347 0.134  0.442 0.040  0.536 -0.055  0.647 -0.110  0.714 -0.177  0.769 -0.288  0.836 -0.394  0.836 -0.527  0.836 -0.661  0.785 -0.774  0.690 -0.868  0.596 -0.963  0.464 -0.967  0.335 -0.979  0.241 -1.073  0.114 -1.090  -0.020 -1.090  -0.152 -1.086  -0.272 -1.026  -0.392 -0.967  -0.525 -0.963  -0.652 -0.921  -0.779 -0.878  -0.907 -0.845  -1.029 -0.817  -1.124 -0.722
2#apa#apa14#app1406/h  -0.529 1.797  -0.493 1.883  -0.443 1.810  -0.443 1.687  -0.443 1.564  -0.443 1.441  -0.443 1.318  -0.443 1.195  -0.389 1.085  -0.357 0.970  -0.357 0.847  -0.357 0.724  -0.357 0.601  -0.357 0.478  -0.357 0.355  -0.357 0.232  -0.357 0.109  -0.357 -0.014  -0.357 -0.137  -0.357 -0.260  -0.357 -0.383  -0.357 -0.506  -0.357 -0.629  -0.325 -0.738  -0.270 -0.839  -0.188 -0.880  -0.152 -0.793  -0.098 -0.724  -0.023 -0.632  -0.011 -0.514  0.029 -0.408  0.101 -0.310  0.156 -0.200  0.239 -0.111  0.326 -0.024  0.413 0.063  0.507 0.044  0.507 -0.079  0.507 -0.202  0.523 -0.323  0.562 -0.439  0.593 -0.557  0.593 -0.680  0.593 -0.803  0.593 -0.926  0.652 -1.025  0.680 -1.136  0.765 -1.224  0.852 -1.311  0.939 -1.398
2#apa#apa14#app1406/o  -0.444 0.240  -0.444 0.106  -0.452 -0.021  -0.575 -0.033  -0.575 -0.168  -0.575 -0.302  -0.599 -0.413  -0.706 -0.441  -0.706 -0.576  -0.690 -0.707  -0.629 -0.827  -0.575 -0.949  -0.563 -1.079  -0.468 -1.174  -0.343 -1.198  -0.208 -1.198  -0.105 -1.120  0.007 -1.067  0.142 -1.067  0.210 -1.000  0.273 -0.904  0.394 -0.844  0.493 -0.762  0.553 -0.642  0.620 -0.526  0.715 -0.431  0.733 -0.303  0.813 -0.202  0.863 -0.088  0.863 0.047  0.863 0.182  0.863 0.316  0.807 0.428  0.712 0.523  0.616 0.618  0.602 0.747  0.602 0.882  0.493 0.949  0.372 1.009  0.270 1.095  0.160 1.156  0.026 1.156  -0.109 1.156  -0.244 1.156  -0.378 1.156  -0.513 1.156  -0.627 1.104  -0.726 1.015  -0.847 0.954  -0.967 0.894
2#apa#apa14#app1406/u  -1.457 0.927  -1.360 0.829  -1.336 0.702  -1.336 0.565  -1.336 0.427  -1.336 0.290  -1.336 0.153  -1.306 0.023  -1.244 -0.100  -1.183 -0.223  -1.122 -0.346  -1.017 -0.398  -0.907 -0.466  -0.792 -0.518  -0.655 -0.518  -0.517 -0.518  -0.380 -0.518  -0.243 -0.518  -0.106 -0.518  0.019 -0.487  0.116 -0.390  0.213 -0.293  0.310 -0.196  0.407 -0.099  0.504 -0.002  0.590 0.100  0.613 0.227  0.710 0.325  0.710 0.462  0.710 0.599  0.710 0.736  0.663 0.854  0.555 0.927  0.470 0.875  0.470 0.738  0.470 0.601  0.470 0.463  0.470 0.326  0.480 0.193  0.577 0.096  0.590 -0.036  0.597 -0.171  0.659 -0.294  0.726 -0.413  0.823 -0.510  0.835 -0.642  0.949 -0.718  1.064 -0.794  1.178 -0.870  1.312 -0.879
2#apa#apa14#app1406/l  -0.230 1.688  -0.230 1.617  -0.230 1.546  -0.230 1.475  -0.230 1.404  -0.230 1.333  -0.200 1.270  -0.168 1.206  -0.140 1.142  -0.140 1.071  -0.140 1.000  -0.140 0.929  -0.140 0.858  -0.140 0.787  -0.140 0.716  -0.140 0.645  -0.140 0.574  -0.140 0.503  -0.140 0.432  -0.126 0.363  -0.112 0.293  -0.098 0.223  -0.084 0.154  -0.070 0.084  -0.056 0.015  -0.031 -0.051  0.001 -0.115  0.032 -0.178  0.038 -0.248  0.038 -0.319  0.038 -0.390  0.038 -0.461  0.038 -0.532  0.038 -0.603  0.055 -0.670  0.086 -0.733  0.118 -0.797  0.128 -0.865  0.128 -0.936  0.133 -1.006  0.165 -1.069  0.197 -1.133  0.235 -1.192  0.285 -1.242  0.307 -1.304  0.307 -1.375  0.309 -1.445  0.359 -1.495  0.396 -1.551  0.396 -1.622
2#apa#apa14#app1406/d  0.106 2.194  0.106 2.033  0.106 1.871  0.106 1.709  0.106 1.548  0.106 1.386  0.106 1.224  0.143 1.071  0.193 0.922  0.193 0.760  0.193 0.598  0.193 0.437  0.193 0.275  0.263 0.130  0.281 -0.027  0.281 -0.189  0.349 -0.322  0.368 -0.476  0.392 -0.628  0.455 -0.763  0.455 -0.807  0.543 -0.682  0.543 -0.520  0.511 -0.366  0.455 -0.218  0.406 -0.068  0.368 0.085  0.233 0.163  0.110 0.266  -0.049 0.271  -0.211 0.271  -0.359 0.213  -0.504 0.141  -0.637 0.053  -0.770 -0.036  -0.885 -0.137  -0.944 -0.285  -0.944 -0.447  -0.944 -0.608  -0.888 -0.747  -0.745 -0.816  -0.592 -0.868  -0.468 -0.966  -0.315 -1.017  -0.157 -1.041  -0.003 -1.074  0.145 -1.128  0.307 -1.128  0.469 -1.128  0.630 -1.128
2#apa#apa14#app1406/n  -1.034 1.038  -1.131 0.941  -1.139 0.808  -1.139 0.671  -1.139 0.534  -1.135 0.398  -1.074 0.275  -1.034 0.148  -1.034 0.011  -1.030 -0.124  -0.933 -0.221  -0.870 -0.342  -0.801 -0.459  -0.698 -0.541  -0.561 -0.541  -0.424 -0.541  -0.321 -0.460  -0.297 -0.333  -0.202 -0.235  -0.179 -0.108  -0.087 -0.009  -0.087 0.128  -0.087 0.265  -0.015 0.372  0.019 0.495  0.025 0.630  0.087 0.753  0.124 0.881  0.209 0.933  0.334 0.921  0.334 0.784  0.334 0.647  0.334 0.510  0.334 0.374  0.334 0.237  0.334 0.100  0.375 -0.031  0.418 -0.160  0.488 -0.274  0.585 -0.371  0.682 -0.467  0.785 -0.556  0.907 -0.617  1.016 -0.697  1.113 -0.793  1.219 -0.878  1.341 -0.939  1.448 -1.023  1.566 -1.067  1.703 -1.067
2#apa#apa14#app1406/'  1.009 1.280  1.009 1.208  1.009 1.137  1.009 1.065  1.009 0.993  1.009 0.921  0.979 0.862  0.928 0.811  0.877 0.760  0.826 0.710  0.776 0.659  0.725 0.608  0.674 0.557  0.623 0.506  0.559 0.474  0.495 0.442  0.431 0.409  0.367 0.377  0.303 0.345  0.238 0.313  0.204 0.251  0.172 0.187  0.140 0.123  0.107 0.058  0.075 -0.006  0.043 -0.070  -0.014 -0.113  -0.073 -0.152  -0.133 -0.192  -0.193 -0.232  -0.253 -0.272  -0.312 -0.312  -0.372 -0.352  -0.432 -0.392  -0.492 -0.431  -0.550 -0.473  -0.601 -0.524  -0.652 -0.574  -0.702 -0.625  -0.753 -0.676  -0.804 -0.727  -0.855 -0.778  -0.906 -0.828  -0.956 -0.879  -1.007 -0.930  -1.058 -0.981  -1.109 -1.032  -1.124 -1.097  -1.124 -1.169  -1.124 -1.241
2#apa#apa14#app1406/t  0.532 1.996  0.532 1.826  0.532 1.655  0.430 1.525  0.354 1.373  0.278 1.220  0.265 1.053  0.265 0.883  0.209 0.726  0.176 0.564  0.136 0.403  0.086 0.244  0.086 0.074  0.086 -0.096  0.086 -0.267  0.086 -0.437  0.086 -0.607  0.086 -0.777  0.086 -0.948  0.146 -1.093  0.204 -1.240  0.198 -1.249  0.064 -1.144  -0.071 -1.040  -0.205 -0.935  -0.339 -0.831  -0.474 -0.726  -0.608 -0.622  -0.743 -0.517  -0.877 -0.413  -1.011 -0.308  -1.146 -0.204  -1.280 -0.099  -1.243 -0.053  -1.073 -0.053  -0.903 -0.053  -0.733 -0.053  -0.562 -0.053  -0.398 -0.028  -0.243 0.036  -0.073 0.036  0.098 0.036  0.268 0.036  0.438 0.036  0.608 0.036  0.779 0.036  0.949 0.036  1.119 0.036  1.289 0.036  1.423 -0.053
2#apa#apa14#app1406/o  -0.058 0.562  -0.058 0.714  -0.110 0.814  -0.262 0.814  -0.383 0.740  -0.514 0.688  -0.635 0.614  -0.687 0.484  -0.780 0.390  -0.916 0.322  -0.939 0.184  -1.047 0.077  -1.064 -0.068  -1.064 -0.220  -1.064 -0.372  -1.064 -0.524  -0.989 -0.644  -0.938 -0.775  -0.832 -0.821  -0.682 -0.826  -0.575 -0.933  -0.428 -0.947  -0.277 -0.947  -0.125 -0.947  0.027 -0.947  0.179 -0.947  0.291 -0.850  0.419 -0.771  0.555 -0.703  0.698 -0.653  0.842 -0.605  0.976 -0.541  1.084 -0.434  1.191 -0.326  1.200 -0.178  1.200 -0.026  1.200 0.126  1.200 0.278  1.116 0.395  0.981 0.437  0.864 0.521  0.740 0.604  0.604 0.672  0.462 0.725  0.318 0.773  0.172 0.814  0.021 0.814  -0.131 0.814  -0.283 0.814  -0.435 0.814
2#apa#apa14#app1406/f  -0.286 -0.268  -0.173 -0.155  0.002 -0.068  0.151 0.082  0.301 0.231  0.450 0.380  0.597 0.531  0.681 0.723  0.768 0.898  0.810 1.092  0.856 1.284  0.790 1.468  0.625 1.578  0.450 1.665  0.239 1.664  0.113 1.497  0.008 1.315  -0.110 1.139  -0.110 0.928  -0.110 0.717  -0.110 0.506  -0.110 0.295  -0.110 0.083  -0.085 -0.117  0.064 -0.267  0.065 -0.478  0.065 -0.689  0.126 -0.890  0.153 -1.097  0.241 -1.272  0.241 -1.483  0.094 -1.369  -0.065 -1.230  -0.224 -1.091  -0.383 -0.952  -0.542 -0.813  -0.701 -0.674  -0.860 -0.535  -1.019 -0.395  -1.165 -0.285  -1.112 -0.444  -0.901 -0.444  -0.689 -0.444  -0.478 -0.444  -0.278 -0.396  -0.076 -0.356  0.135 -0.356  0.346 -0.356  0.557 -0.356  0.768 -0.356
