3#app#app14#app1428/I  -0.123 1.701  -0.123 1.631  -0.123 1.560  -0.123 1.489  -0.123 1.419  -0.123 1.348  -0.123 1.277  -0.123 1.207  -0.123 1.136  -0.123 1.066  -0.123 0.995  -0.123 0.924  -0.123 0.854  -0.123 0.783  -0.123 0.712  -0.123 0.642  -0.123 0.571  -0.108 0.504  -0.076 0.441  -0.044 0.378  -0.013 0.315  0.006 0.249  0.006 0.178  0.006 0.107  0.006 0.037  0.006 -0.034  0.006 -0.104  0.006 -0.175  0.006 -0.246  0.006 -0.316  0.006 -0.387  0.006 -0.458  0.006 -0.528  0.006 -0.599  0.024 -0.665  0.055 -0.728  0.087 -0.792  0.118 -0.855  0.136 -0.921  0.136 -0.992  0.136 -1.063  0.136 -1.133  0.136 -1.204  0.136 -1.274  0.136 -1.345  0.139 -1.415  0.171 -1.478  0.202 -1.541  0.234 -1.604  0.266 -1.668
3#app#app14#app1428/o  -0.982 0.192  -0.808 0.192  -0.700 0.258  -0.700 0.432  -0.607 0.568  -0.484 0.691  -0.337 0.756  -0.163 0.756  -0.137 0.903  -0.097 1.038  0.077 1.038  0.251 1.038  0.425 1.038  0.599 1.038  0.709 0.974  0.709 0.800  0.838 0.756  0.990 0.734  0.990 0.560  0.990 0.386  0.990 0.212  0.990 0.038  0.958 -0.122  0.835 -0.245  0.712 -0.368  0.709 -0.541  0.709 -0.715  0.709 -0.888  0.581 -0.935  0.413 -0.949  0.290 -1.072  0.167 -1.195  0.002 -1.217  -0.172 -1.217  -0.346 -1.217  -0.520 -1.217  -0.694 -1.217  -0.700 -1.049  -0.700 -0.875  -0.700 -0.701  -0.700 -0.528  -0.700 -0.354  -0.700 -0.180  -0.700 -0.006  -0.700 0.168  -0.700 0.342  -0.658 0.474  -0.485 0.474  -0.311 0.474  -0.137 0.474
3#app#app14#app1428/u  -0.996 0.822  -0.996 0.727  -0.996 0.631  -0.996 0.535  -0.996 0.440  -0.996 0.344  -0.996 0.248  -0.996 0.153  -0.996 0.057  -0.996 -0.038  -0.996 -0.134  -0.996 -0.230  -0.996 -0.325  -0.996 -0.421  -0.996 -0.517  -0.920 -0.537  -0.825 -0.537  -0.729 -0.537  -0.633 -0.537  -0.538 -0.537  -0.442 -0.537  -0.346 -0.537  -0.251 -0.537  -0.155 -0.537  -0.060 -0.537  0.036 -0.537  0.132 -0.537  0.227 -0.537  0.323 -0.537  0.402 -0.497  0.470 -0.430  0.537 -0.362  0.605 -0.294  0.673 -0.227  0.740 -0.159  0.808 -0.091  0.876 -0.024  0.906 0.059  0.906 0.155  0.906 0.250  0.954 0.326  1.021 0.394  1.089 0.461  1.157 0.529  1.178 0.616  1.178 0.711  1.178 0.807  1.178 0.903  1.178 0.998  1.178 1.094
3#app#app14#app1428/r  -0.365 -0.096  -0.444 -0.175  -0.523 -0.255  -0.603 -0.334  -0.607 -0.444  -0.607 -0.556  -0.607 -0.668  -0.607 -0.780  -0.607 -0.892  -0.607 -1.005  -0.607 -1.117  -0.607 -1.229  -0.607 -1.276  -0.607 -1.164  -0.593 -1.066  -0.481 -1.066  -0.369 -1.066  -0.365 -0.958  -0.365 -0.846  -0.365 -0.733  -0.365 -0.621  -0.314 -0.530  -0.235 -0.451  -0.156 -0.372  -0.122 -0.273  -0.122 -0.161  -0.122 -0.049  -0.122 0.063  -0.102 0.166  -0.023 0.246  0.056 0.325  0.120 0.411  0.120 0.523  0.123 0.634  0.202 0.713  0.281 0.792  0.360 0.872  0.362 0.983  0.362 1.095  0.454 1.116  0.566 1.116  0.678 1.116  0.790 1.116  0.902 1.116  1.014 1.116  1.090 1.079  1.090 0.967  1.108 0.873  1.220 0.873  1.332 0.873
3#app#app14#app1428/F  0.866 1.193  0.971 1.193  0.866 1.221  0.824 1.312  0.690 1.312  0.557 1.312  0.424 1.312  0.290 1.312  0.157 1.312  0.027 1.305  -0.068 1.211  -0.162 1.116  -0.204 1.001  -0.266 0.893  -0.323 0.783  -0.353 0.657  -0.413 0.538  -0.442 0.412  -0.442 0.278  -0.442 0.145  -0.442 0.012  -0.442 -0.122  -0.442 -0.255  -0.442 -0.388  -0.442 -0.522  -0.398 -0.636  -0.323 -0.739  -0.323 -0.872  -0.323 -1.005  -0.323 -1.139  -0.323 -1.272  -0.323 -1.405  -0.323 -1.311  -0.204 -1.297  -0.204 -1.164  -0.204 -1.030  -0.204 -0.897  -0.204 -0.764  -0.204 -0.630  -0.204 -0.497  -0.095 -0.473  -0.081 -0.354  0.052 -0.354  0.186 -0.354  0.319 -0.354  0.452 -0.354  0.586 -0.354  0.719 -0.354  0.747 -0.459  0.866 -0.473
3#app#app14#app1428/r  -0.750 0.521  -0.660 0.431  -0.569 0.340  -0.551 0.219  -0.551 0.091  -0.551 -0.038  -0.551 -0.166  -0.551 -0.295  -0.551 -0.423  -0.498 -0.530  -0.408 -0.621  -0.351 -0.726  -0.351 -0.854  -0.351 -0.983  -0.351 -1.111  -0.351 -1.239  -0.351 -1.368  -0.337 -1.464  -0.246 -1.373  -0.156 -1.282  -0.151 -1.156  -0.151 -1.027  -0.151 -0.899  -0.151 -0.771  -0.151 -0.642  -0.151 -0.514  -0.151 -0.385  -0.151 -0.257  -0.151 -0.128  -0.151 0.000  -0.146 0.127  -0.055 0.217  0.036 0.308  0.049 0.431  0.049 0.559  0.049 0.688  0.116 0.788  0.207 0.879  0.318 0.921  0.447 0.921  0.449 1.047  0.504 1.121  0.632 1.121  0.760 1.121  0.889 1.121  1.017 1.121  1.146 1.121  1.267 1.103  1.357 1.012  1.448 0.921
3#app#app14#app1428/i  -0.209 0.462  -0.081 0.462  -0.101 0.462  -0.209 0.442  -0.209 0.314  -0.209 0.187  -0.181 0.071  -0.091 -0.020  -0.028 -0.121  -0.028 -0.249  -0.028 -0.376  -0.028 -0.504  -0.028 -0.631  -0.028 -0.759  -0.028 -0.887  -0.028 -1.014  -0.028 -1.142  -0.028 -1.270  -0.028 -1.397  -0.028 -1.525  0.089 -1.536  0.151 -1.473  0.144 -1.345  0.136 -1.218  0.129 -1.090  0.122 -0.963  0.115 -0.836  0.108 -0.708  0.101 -0.581  0.094 -0.453  0.087 -0.326  0.080 -0.198  0.073 -0.071  0.066 0.056  0.059 0.184  0.051 0.311  0.044 0.439  0.037 0.566  0.030 0.694  0.023 0.821  0.016 0.949  0.009 1.076  0.002 1.203  -0.005 1.331  -0.012 1.458  -0.019 1.586  -0.026 1.713  -0.028 1.841  -0.028 1.968  -0.028 2.096
3#app#app14#app1428/e  -0.479 0.329  -0.385 0.235  -0.291 0.141  -0.232 0.131  -0.232 0.263  -0.165 0.329  -0.032 0.329  0.076 0.389  0.170 0.483  0.264 0.577  0.358 0.671  0.451 0.765  0.510 0.873  0.510 1.006  0.510 1.139  0.510 1.272  0.424 1.318  0.291 1.318  0.189 1.244  0.095 1.150  0.001 1.056  -0.093 0.962  -0.187 0.868  -0.280 0.775  -0.374 0.681  -0.468 0.587  -0.479 0.458  -0.479 0.326  -0.479 0.193  -0.479 0.060  -0.479 -0.073  -0.479 -0.205  -0.479 -0.338  -0.479 -0.471  -0.479 -0.604  -0.424 -0.714  -0.331 -0.808  -0.237 -0.902  -0.143 -0.995  -0.049 -1.089  0.016 -1.195  0.016 -1.328  0.075 -1.401  0.208 -1.401  0.341 -1.401  0.473 -1.401  0.606 -1.401  0.739 -1.401  0.872 -1.401  1.004 -1.401
3#app#app14#app1428/n  -0.982 0.984  -0.982 0.848  -0.982 0.713  -0.982 0.578  -0.982 0.442  -0.982 0.307  -0.982 0.172  -0.982 0.036  -0.982 -0.099  -0.982 -0.235  -0.982 -0.370  -0.982 -0.505  -0.982 -0.641  -0.916 -0.617  -0.820 -0.521  -0.724 -0.426  -0.629 -0.330  -0.533 -0.234  -0.437 -0.138  -0.341 -0.043  -0.246 0.053  -0.150 0.149  -0.054 0.244  0.018 0.350  0.018 0.485  0.018 0.620  0.093 0.725  0.189 0.821  0.284 0.916  0.352 0.944  0.352 0.808  0.352 0.673  0.352 0.537  0.352 0.402  0.387 0.281  0.483 0.186  0.579 0.090  0.674 -0.006  0.685 -0.137  0.685 -0.272  0.726 -0.390  0.822 -0.486  0.917 -0.582  1.013 -0.678  1.109 -0.773  1.204 -0.869  1.300 -0.965  1.414 -1.016  1.550 -1.016  1.685 -1.016
3#app#app14#app1428/d  -0.004 -0.796  -0.168 -0.779  -0.289 -0.657  -0.454 -0.656  -0.575 -0.778  -0.739 -0.796  -0.756 -0.959  -0.877 -1.080  -0.877 -1.237  -0.716 -1.213  -0.595 -1.092  -0.424 -1.090  -0.266 -1.058  -0.145 -0.937  -0.024 -0.816  -0.004 -0.652  0.071 -0.499  0.150 -0.347  0.271 -0.226  0.355 -0.078  0.432 0.075  0.438 0.245  0.438 0.417  0.438 0.588  0.438 0.759  0.438 0.931  0.438 1.102  0.433 1.271  0.311 1.392  0.291 1.555  0.272 1.707  0.100 1.707  -0.004 1.640  -0.004 1.469  -0.004 1.297  -0.004 1.126  -0.004 0.955  -0.004 0.783  -0.004 0.612  -0.004 0.441  -0.004 0.269  -0.004 0.098  0.110 -0.026  0.143 -0.184  0.143 -0.355  0.143 -0.527  0.143 -0.698  0.196 -0.848  0.317 -0.969  0.438 -1.090
3#app#app14#app1428/,  0.095 1.407  0.172 1.407  0.249 1.407  0.325 1.407  0.402 1.407  0.418 1.346  0.418 1.269  0.418 1.193  0.418 1.116  0.418 1.039  0.418 0.963  0.418 0.886  0.418 0.809  0.418 0.733  0.418 0.656  0.418 0.579  0.418 0.503  0.408 0.430  0.353 0.376  0.299 0.322  0.245 0.267  0.191 0.213  0.136 0.159  0.095 0.099  0.095 0.023  0.095 -0.054  0.095 -0.131  0.093 -0.206  0.039 -0.261  -0.015 -0.315  -0.069 -0.369  -0.124 -0.423  -0.178 -0.477  -0.227 -0.534  -0.227 -0.610  -0.227 -0.687  -0.227 -0.764  -0.227 -0.840  -0.275 -0.897  -0.329 -0.951  -0.384 -1.006  -0.438 -1.060  -0.492 -1.114  -0.546 -1.168  -0.600 -1.222  -0.655 -1.277  -0.709 -1.331  -0.763 -1.385  -0.817 -1.439  -0.871 -1.493
3#app#app14#app1428/\"  -0.305 1.586  -0.305 1.447  -0.305 1.307  -0.345 1.208  -0.485 1.208  -0.624 1.208  -0.683 1.128  -0.683 0.988  -0.683 0.849  -0.683 0.709  -0.683 0.570  -0.683 0.430  -0.683 0.291  -0.683 0.151  -0.683 0.012  -0.683 -0.128  -0.683 -0.267  -0.683 -0.407  -0.683 -0.546  -0.683 -0.686  -0.683 -0.825  -0.683 -0.965  -0.653 -1.031  -0.554 -0.932  -0.455 -0.834  -0.357 -0.735  -0.258 -0.637  -0.159 -0.538  -0.061 -0.439  0.038 -0.341  0.136 -0.242  0.235 -0.143  0.334 -0.045  0.432 0.054  0.531 0.153  0.630 0.251  0.728 0.350  0.827 0.449  0.830 0.316  0.830 0.177  0.830 0.037  0.830 -0.102  0.830 -0.242  0.884 -0.359  0.983 -0.457  1.081 -0.556  1.180 -0.655  1.208 -0.782  1.208 -0.922  1.208 -1.061
