2#apa#apa02#app0207/B  -0.528 0.838  -0.470 0.944  -0.528 0.742  -0.422 0.526  -0.381 0.308  -0.316 0.113  -0.210 -0.103  -0.104 -0.257  0.002 -0.473  0.002 -0.732  0.108 -0.886  0.184 -1.069  0.039 -0.918  -0.157 -0.748  -0.353 -0.578  -0.549 -0.408  -0.746 -0.238  -0.942 -0.068  -1.138 0.102  -1.335 0.272  -1.270 0.470  -1.164 0.623  -1.013 0.732  -0.846 0.825  -0.640 0.937  -0.426 1.046  -0.193 1.156  0.048 1.202  0.283 1.262  0.434 1.148  0.531 0.929  0.531 0.669  0.531 0.409  0.419 0.196  0.310 -0.019  0.108 -0.132  -0.063 -0.222  0.070 -0.116  0.330 -0.116  0.590 -0.116  0.827 -0.210  1.078 -0.238  1.261 -0.422  1.273 -0.676  1.273 -0.936  1.147 -1.069  0.993 -1.175  0.733 -1.175  0.473 -1.175  0.214 -1.175
2#apa#apa02#app0207/t  -0.200 2.036  -0.194 1.860  -0.024 1.848  -0.024 1.665  -0.024 1.483  -0.024 1.300  -0.024 1.118  -0.024 0.935  -0.024 0.753  -0.024 0.570  -0.024 0.387  -0.024 0.205  0.028 0.044  0.153 -0.087  0.153 -0.270  0.153 -0.452  0.153 -0.635  0.153 -0.817  0.153 -1.000  0.196 -1.139  0.329 -1.189  0.368 -1.355  0.497 -1.484  0.391 -1.365  0.269 -1.230  0.147 -1.094  0.025 -0.958  -0.097 -0.823  -0.219 -0.687  -0.341 -0.551  -0.463 -0.416  -0.586 -0.280  -0.708 -0.144  -0.830 -0.009  -0.952 0.127  -1.074 0.263  -0.912 0.272  -0.781 0.147  -0.620 0.096  -0.438 0.096  -0.255 0.096  -0.073 0.096  0.110 0.096  0.292 0.096  0.475 0.096  0.658 0.096  0.840 0.096  1.023 0.096  1.205 0.096  1.211 -0.081
2#apa#apa02#app0207/h  -0.791 1.887  -0.791 1.735  -0.791 1.584  -0.730 1.458  -0.669 1.332  -0.669 1.181  -0.669 1.030  -0.546 1.001  -0.546 0.850  -0.546 0.699  -0.546 0.547  -0.526 0.416  -0.424 0.367  -0.424 0.216  -0.424 0.065  -0.424 -0.086  -0.424 -0.238  -0.424 -0.389  -0.424 -0.540  -0.424 -0.691  -0.424 -0.843  -0.424 -0.994  -0.333 -1.054  -0.301 -0.934  -0.196 -0.827  -0.179 -0.683  -0.179 -0.531  -0.179 -0.380  -0.115 -0.255  -0.056 -0.128  0.012 -0.006  0.066 0.123  0.170 0.171  0.198 0.294  0.350 0.294  0.501 0.294  0.557 0.198  0.679 0.169  0.701 0.027  0.802 -0.083  0.802 -0.234  0.802 -0.385  0.869 -0.509  0.924 -0.637  0.924 -0.788  0.924 -0.939  0.960 -1.054  1.047 -0.989  1.140 -0.932  1.169 -0.809
2#apa#apa02#app0207/a  0.687 0.496  0.574 0.609  0.455 0.706  0.296 0.706  0.137 0.706  -0.022 0.706  -0.182 0.706  -0.341 0.706  -0.500 0.706  -0.659 0.706  -0.807 0.678  -0.920 0.565  -1.050 0.496  -1.209 0.496  -1.369 0.496  -1.408 0.376  -1.408 0.217  -1.389 0.077  -1.229 0.077  -1.199 -0.051  -1.120 -0.132  -0.969 -0.152  -0.857 -0.265  -0.730 -0.342  -0.570 -0.342  -0.411 -0.342  -0.252 -0.342  -0.093 -0.342  0.067 -0.342  0.226 -0.342  0.385 -0.342  0.477 -0.275  0.477 -0.116  0.477 0.044  0.477 0.203  0.553 0.287  0.687 0.262  0.687 0.102  0.821 0.077  0.896 -0.006  0.896 -0.166  0.896 -0.325  0.896 -0.484  0.989 -0.551  1.106 -0.593  1.106 -0.752  1.106 -0.912  1.106 -1.071  1.106 -1.230  1.106 -1.389
2#apa#apa02#app0207/t  -0.415 1.979  -0.407 1.803  -0.239 1.786  -0.228 1.605  -0.146 1.440  -0.063 1.275  0.067 1.145  0.112 0.980  0.112 0.796  0.209 0.652  0.288 0.500  0.288 0.316  0.288 0.132  0.288 -0.053  0.288 -0.237  0.288 -0.421  0.288 -0.605  0.288 -0.789  0.288 -0.973  0.436 -1.009  0.464 -1.166  0.464 -1.350  0.586 -1.484  0.639 -1.427  0.552 -1.282  0.415 -1.159  0.278 -1.035  0.141 -0.912  0.004 -0.789  -0.133 -0.666  -0.270 -0.542  -0.407 -0.419  -0.543 -0.296  -0.680 -0.173  -0.817 -0.050  -0.954 0.074  -1.091 0.197  -0.971 0.221  -0.787 0.221  -0.767 0.057  -0.594 0.045  -0.410 0.045  -0.230 0.055  -0.099 0.186  0.070 0.221  0.254 0.221  0.438 0.221  0.622 0.221  0.807 0.221  0.991 0.221
2#apa#apa02#app0207/d  0.397 -0.417  0.425 -0.417  0.326 -0.290  0.227 -0.162  0.015 -0.099  -0.197 -0.034  -0.371 0.093  -0.597 0.093  -0.751 -0.054  -0.836 -0.246  -0.879 -0.455  -0.872 -0.679  -0.712 -0.840  -0.522 -0.928  -0.422 -1.055  -0.246 -1.178  -0.021 -1.183  0.205 -1.183  0.391 -1.148  0.356 -0.924  0.320 -0.700  0.284 -0.476  0.248 -0.252  0.212 -0.028  0.176 0.196  0.141 0.420  0.105 0.644  0.069 0.868  0.033 1.092  -0.003 1.316  -0.039 1.540  -0.074 1.764  -0.110 1.988  -0.113 1.800  0.014 1.701  0.014 1.474  0.014 1.247  0.014 1.020  0.014 0.794  0.031 0.571  0.132 0.368  0.142 0.143  0.142 -0.084  0.156 -0.304  0.269 -0.484  0.269 -0.711  0.277 -0.935  0.397 -1.112  0.425 -1.311  0.525 -1.438
2#apa#apa02#app0207/i  -0.013 -0.397  0.057 -0.466  0.126 -0.536  0.131 -0.632  0.131 -0.731  0.131 -0.830  0.131 -0.928  0.169 -1.011  0.239 -1.081  0.275 -1.164  0.276 -1.262  0.346 -1.332  0.415 -1.402  0.394 -1.316  0.367 -1.222  0.340 -1.127  0.313 -1.032  0.286 -0.937  0.258 -0.843  0.231 -0.748  0.204 -0.653  0.177 -0.558  0.150 -0.464  0.123 -0.369  0.096 -0.274  0.069 -0.179  0.042 -0.085  0.015 0.010  -0.012 0.105  -0.039 0.200  -0.066 0.294  -0.093 0.389  -0.121 0.484  -0.148 0.579  -0.175 0.673  -0.202 0.768  -0.229 0.863  -0.256 0.958  -0.283 1.052  -0.310 1.147  -0.337 1.242  -0.364 1.337  -0.391 1.431  -0.418 1.526  -0.445 1.621  -0.376 1.552  -0.307 1.482  -0.301 1.386  -0.301 1.288  -0.301 1.189
2#apa#apa02#app0207/s  -0.706 1.164  -0.706 1.039  -0.790 0.996  -0.874 0.955  -0.874 0.830  -0.999 0.828  -1.101 0.770  -1.189 0.681  -1.211 0.564  -1.157 0.492  -1.031 0.492  -0.906 0.492  -0.780 0.492  -0.654 0.492  -0.528 0.492  -0.403 0.492  -0.277 0.492  -0.151 0.492  -0.025 0.492  0.100 0.492  0.226 0.492  0.352 0.492  0.470 0.485  0.470 0.359  0.561 0.324  0.672 0.290  0.761 0.201  0.850 0.112  0.939 0.023  0.974 -0.088  0.974 -0.214  0.974 -0.339  0.974 -0.465  0.974 -0.591  0.951 -0.707  0.862 -0.796  0.760 -0.852  0.638 -0.856  0.638 -0.982  0.551 -1.020  0.425 -1.020  0.299 -1.020  0.174 -1.020  0.048 -1.020  -0.034 -0.977  -0.035 -0.852  -0.161 -0.852  -0.287 -0.852  -0.370 -0.810  -0.370 -0.684
2#apa#apa02#app0207/a  0.422 0.313  0.422 0.467  0.422 0.621  0.304 0.657  0.151 0.657  -0.003 0.657  -0.157 0.657  -0.310 0.657  -0.464 0.657  -0.617 0.657  -0.771 0.657  -0.925 0.657  -0.952 0.531  -1.060 0.485  -1.214 0.485  -1.296 0.413  -1.296 0.260  -1.296 0.106  -1.296 -0.047  -1.296 -0.201  -1.143 -0.202  -1.124 -0.337  -1.008 -0.374  -0.854 -0.374  -0.700 -0.374  -0.565 -0.418  -0.456 -0.526  -0.311 -0.546  -0.157 -0.546  -0.003 -0.546  0.150 -0.546  0.288 -0.507  0.397 -0.399  0.422 -0.255  0.422 -0.102  0.422 0.052  0.486 0.141  0.639 0.141  0.793 0.141  0.937 0.132  0.937 -0.022  1.082 -0.030  1.109 -0.157  1.218 -0.202  1.281 -0.293  1.281 -0.446  1.335 -0.546  1.452 -0.582  1.452 -0.735  1.452 -0.889
2#apa#apa02#app0207/s  -0.181 1.171  -0.318 1.171  -0.454 1.171  -0.581 1.148  -0.678 1.051  -0.786 0.982  -0.923 0.982  -0.936 0.859  -0.936 0.722  -0.922 0.591  -0.825 0.495  -0.721 0.416  -0.584 0.416  -0.448 0.416  -0.311 0.416  -0.174 0.416  -0.038 0.416  0.099 0.416  0.235 0.416  0.372 0.416  0.509 0.416  0.645 0.416  0.776 0.402  0.873 0.306  0.970 0.209  1.066 0.113  1.140 0.006  1.140 -0.130  1.140 -0.267  1.075 -0.339  0.951 -0.352  0.951 -0.488  0.882 -0.596  0.786 -0.693  0.658 -0.716  0.537 -0.753  0.440 -0.849  0.327 -0.905  0.190 -0.905  0.053 -0.905  -0.083 -0.905  -0.220 -0.905  -0.357 -0.905  -0.493 -0.905  -0.630 -0.905  -0.747 -0.885  -0.747 -0.748  -0.851 -0.716  -0.936 -0.664  -0.936 -0.527
2#apa#apa02#app0207/t  -0.683 2.029  -0.557 1.903  -0.432 1.778  -0.306 1.652  -0.180 1.526  -0.136 1.367  -0.136 1.189  -0.136 1.011  -0.064 0.863  0.047 0.731  0.047 0.554  0.047 0.376  0.052 0.200  0.177 0.074  0.229 -0.082  0.229 -0.260  0.229 -0.437  0.229 -0.615  0.229 -0.793  0.229 -0.971  0.229 -1.149  0.280 -1.305  0.406 -1.431  0.412 -1.606  0.412 -1.454  0.319 -1.305  0.217 -1.159  0.116 -1.014  0.014 -0.868  -0.088 -0.722  -0.190 -0.577  -0.292 -0.431  -0.394 -0.285  -0.496 -0.140  -0.598 0.006  -0.700 0.151  -0.802 0.297  -0.798 0.388  -0.639 0.343  -0.513 0.218  -0.340 0.205  -0.179 0.136  -0.020 0.056  0.150 0.023  0.328 0.023  0.506 0.023  0.657 -0.040  0.786 -0.160  0.963 -0.160  1.141 -0.160
2#apa#apa02#app0207/e  -0.173 0.086  -0.032 0.086  0.046 0.148  0.046 0.289  0.135 0.393  0.234 0.493  0.362 0.524  0.485 0.542  0.485 0.683  0.485 0.824  0.482 0.962  0.341 0.962  0.219 1.008  0.120 1.108  0.010 1.181  -0.131 1.181  -0.173 1.082  -0.194 0.962  -0.335 0.962  -0.451 0.903  -0.550 0.804  -0.650 0.704  -0.750 0.604  -0.830 0.497  -0.830 0.356  -0.830 0.215  -0.830 0.075  -0.830 -0.066  -0.830 -0.207  -0.830 -0.348  -0.830 -0.489  -0.773 -0.572  -0.632 -0.572  -0.526 -0.657  -0.427 -0.756  -0.300 -0.791  -0.160 -0.791  -0.019 -0.791  0.100 -0.845  0.199 -0.944  0.313 -1.010  0.454 -1.010  0.595 -1.010  0.735 -1.010  0.876 -1.010  1.017 -1.010  1.158 -1.010  1.299 -1.010  1.361 -0.932  1.361 -0.791
2#apa#apa02#app0207/r  -0.881 1.009  -0.881 0.858  -0.881 0.708  -0.881 0.558  -0.881 0.408  -0.881 0.258  -0.859 0.130  -0.709 0.130  -0.661 0.027  -0.661 -0.123  -0.661 -0.273  -0.581 -0.390  -0.475 -0.496  -0.441 -0.633  -0.408 -0.749  -0.258 -0.749  -0.141 -0.830  -0.035 -0.936  -0.002 -1.073  0.032 -1.189  0.182 -1.189  0.299 -1.270  0.405 -1.376  0.438 -1.304  0.438 -1.154  0.438 -1.004  0.356 -0.887  0.250 -0.781  0.218 -0.644  0.218 -0.494  0.218 -0.344  0.218 -0.194  0.185 -0.057  0.079 0.049  -0.002 0.166  -0.002 0.316  -0.002 0.466  -0.002 0.616  -0.002 0.766  0.126 0.789  0.218 0.847  0.218 0.997  0.356 1.009  0.507 1.009  0.657 1.009  0.763 1.114  0.869 1.221  1.016 1.228  1.166 1.228  1.317 1.228
2#apa#apa02#app0207/s  0.438 0.768  0.332 0.875  0.226 0.981  0.119 1.087  -0.026 1.100  -0.177 1.100  -0.327 1.100  -0.478 1.100  -0.607 1.049  -0.713 0.942  -0.820 0.836  -0.942 0.768  -1.053 0.729  -1.029 0.602  -0.881 0.596  -0.775 0.490  -0.646 0.437  -0.496 0.437  -0.346 0.437  -0.195 0.437  -0.045 0.437  0.106 0.437  0.107 0.287  0.241 0.271  0.392 0.271  0.438 0.167  0.501 0.043  0.609 -0.061  0.759 -0.061  0.770 -0.200  0.894 -0.226  0.936 -0.336  0.936 -0.486  0.936 -0.637  0.936 -0.787  0.888 -0.889  0.737 -0.889  0.604 -0.907  0.602 -1.055  0.451 -1.055  0.301 -1.055  0.150 -1.055  -0.000 -1.055  -0.150 -1.055  -0.301 -1.055  -0.451 -1.055  -0.602 -1.055  -0.722 -1.025  -0.737 -0.889  -0.888 -0.889
2#apa#apa02#app0207/t  -0.164 1.973  -0.164 1.779  -0.164 1.586  -0.014 1.543  0.051 1.414  0.051 1.220  0.051 1.026  0.051 0.833  0.051 0.639  0.051 0.446  0.051 0.252  0.137 0.079  0.224 -0.094  0.266 -0.278  0.266 -0.471  0.266 -0.665  0.266 -0.858  0.266 -1.052  0.266 -1.245  0.452 -1.253  0.481 -1.417  0.481 -1.611  0.416 -1.580  0.312 -1.417  0.208 -1.254  0.104 -1.090  -0.000 -0.927  -0.104 -0.764  -0.208 -0.601  -0.312 -0.437  -0.416 -0.274  -0.520 -0.111  -0.624 0.053  -0.727 0.216  -0.831 0.379  -0.935 0.542  -1.005 0.663  -0.868 0.526  -0.699 0.467  -0.531 0.405  -0.395 0.268  -0.207 0.252  -0.014 0.252  0.180 0.252  0.266 0.145  0.352 0.037  0.545 0.037  0.739 0.037  0.932 0.037  1.126 0.037
2#apa#apa02#app0207/r  -0.395 0.370  -0.395 0.239  -0.395 0.108  -0.395 -0.024  -0.395 -0.155  -0.313 -0.252  -0.220 -0.345  -0.127 -0.438  -0.125 -0.569  -0.125 -0.700  -0.125 -0.831  -0.125 -0.963  -0.045 -1.061  0.048 -1.154  0.141 -1.247  0.145 -1.376  0.145 -1.508  0.145 -1.402  0.145 -1.271  0.145 -1.139  0.145 -1.008  0.041 -0.980  -0.090 -0.980  -0.125 -0.884  -0.125 -0.753  -0.125 -0.621  -0.125 -0.490  -0.125 -0.359  -0.125 -0.227  -0.125 -0.096  -0.125 0.035  -0.125 0.167  -0.125 0.298  -0.125 0.430  -0.125 0.561  -0.125 0.692  -0.125 0.824  -0.125 0.955  -0.125 1.086  -0.088 1.181  0.043 1.181  0.145 1.210  0.145 1.342  0.167 1.451  0.299 1.451  0.430 1.451  0.561 1.451  0.693 1.451  0.824 1.451  0.955 1.451
2#apa#apa02#app0207/u  -1.168 0.693  -1.168 0.543  -1.287 0.512  -1.348 0.424  -1.348 0.275  -1.348 0.125  -1.348 -0.024  -1.245 -0.131  -1.168 -0.249  -1.158 -0.389  -1.009 -0.389  -0.988 -0.517  -0.890 -0.569  -0.740 -0.569  -0.591 -0.569  -0.441 -0.569  -0.292 -0.569  -0.142 -0.569  -0.086 -0.475  -0.023 -0.389  0.094 -0.356  0.095 -0.207  0.201 -0.102  0.274 0.018  0.274 0.167  0.274 0.317  0.274 0.466  0.274 0.616  0.274 0.766  0.274 0.915  0.285 1.053  0.435 1.053  0.454 0.923  0.554 0.873  0.635 0.804  0.635 0.655  0.635 0.505  0.635 0.355  0.635 0.206  0.635 0.056  0.681 -0.074  0.786 -0.180  0.815 -0.318  0.870 -0.444  0.976 -0.550  0.995 -0.692  1.087 -0.749  1.175 -0.811  1.206 -0.930  1.356 -0.930
2#apa#apa02#app0207/c  0.368 1.276  0.277 1.276  0.185 1.276  0.094 1.276  0.002 1.276  -0.072 1.234  -0.137 1.169  -0.202 1.105  -0.266 1.040  -0.331 0.975  -0.396 0.911  -0.430 0.833  -0.430 0.741  -0.457 0.677  -0.548 0.677  -0.629 0.666  -0.629 0.575  -0.629 0.483  -0.629 0.392  -0.629 0.300  -0.629 0.209  -0.629 0.117  -0.629 0.026  -0.629 -0.066  -0.603 -0.146  -0.538 -0.211  -0.474 -0.276  -0.409 -0.341  -0.344 -0.405  -0.279 -0.470  -0.215 -0.535  -0.150 -0.599  -0.085 -0.664  -0.016 -0.719  0.075 -0.719  0.167 -0.719  0.232 -0.782  0.297 -0.847  0.361 -0.911  0.450 -0.918  0.542 -0.918  0.633 -0.918  0.725 -0.918  0.816 -0.918  0.908 -0.918  0.999 -0.918  1.091 -0.918  1.182 -0.918  1.274 -0.918  1.365 -0.918
2#apa#apa02#app0207/k  -0.727 1.720  -0.586 1.563  -0.523 1.374  -0.445 1.191  -0.445 0.976  -0.445 0.761  -0.445 0.546  -0.445 0.331  -0.445 0.116  -0.445 -0.099  -0.445 -0.314  -0.445 -0.529  -0.445 -0.744  -0.445 -0.959  -0.445 -1.174  -0.445 -1.389  -0.365 -1.523  -0.269 -1.372  -0.219 -1.163  -0.169 -0.954  -0.119 -0.745  -0.069 -0.536  -0.020 -0.326  0.030 -0.117  0.080 0.092  0.130 0.301  0.180 0.510  0.229 0.719  0.279 0.928  0.329 1.138  0.379 1.347  0.401 1.316  0.362 1.117  0.210 0.965  0.119 0.788  0.105 0.578  -0.022 0.416  -0.099 0.233  -0.163 0.045  -0.106 -0.113  -0.022 -0.244  0.183 -0.254  0.398 -0.254  0.451 -0.445  0.603 -0.598  0.682 -0.780  0.807 -0.943  0.959 -1.095  1.105 -1.167  1.246 -1.241
