1c#syn#syn0#zc/a  -0.597 1.747  -0.668 1.630  -0.669 1.500  -0.573 1.404  -0.459 1.326  -0.343 1.251  -0.232 1.169  -0.133 1.073  -0.035 0.976  0.048 0.865  0.131 0.755  0.203 0.637  0.270 0.516  0.333 0.393  0.389 0.266  0.440 0.138  0.485 0.007  0.521 -0.122  0.407 -0.099  0.281 -0.042  0.152 0.008  0.021 0.051  -0.113 0.088  -0.250 0.105  -0.385 0.094  -0.517 0.053  -0.638 -0.014  -0.743 -0.103  -0.838 -0.203  -0.913 -0.317  -0.941 -0.450  -0.885 -0.574  -0.785 -0.669  -0.668 -0.744  -0.541 -0.797  -0.410 -0.837  -0.273 -0.854  -0.135 -0.870  0.002 -0.878  0.140 -0.870  0.278 -0.854  0.415 -0.839  0.552 -0.824  0.687 -0.792  0.822 -0.764  0.959 -0.743  1.095 -0.723  1.232 -0.703  1.370 -0.690  1.507 -0.678
1c#syn#syn0#zc/w  -0.907 0.821  -0.942 0.700  -0.980 0.581  -1.011 0.459  -1.041 0.337  -1.052 0.213  -1.049 0.088  -1.026 -0.035  -0.991 -0.155  -0.952 -0.275  -0.907 -0.392  -0.863 -0.510  -0.819 -0.627  -0.767 -0.741  -0.703 -0.848  -0.599 -0.886  -0.495 -0.820  -0.409 -0.729  -0.334 -0.629  -0.273 -0.519  -0.214 -0.408  -0.158 -0.296  -0.109 -0.180  -0.060 -0.220  -0.012 -0.336  0.050 -0.445  0.136 -0.536  0.222 -0.628  0.311 -0.716  0.405 -0.799  0.487 -0.728  0.535 -0.612  0.578 -0.494  0.609 -0.373  0.638 -0.250  0.667 -0.128  0.695 -0.006  0.722 0.117  0.747 0.240  0.771 0.363  0.795 0.487  0.821 0.610  0.848 0.732  0.876 0.855  0.903 0.977  0.930 1.100  0.957 1.223  0.976 1.347  0.991 1.471  0.999 1.597
1c#syn#syn0#zc/x  -1.224 1.380  -1.073 1.277  -0.942 1.153  -0.847 0.997  -0.757 0.838  -0.668 0.678  -0.566 0.527  -0.447 0.389  -0.323 0.254  -0.199 0.119  -0.076 -0.016  0.046 -0.153  0.164 -0.292  0.282 -0.432  0.384 -0.584  0.486 -0.735  0.583 -0.891  0.680 -1.046  0.793 -1.188  0.944 -1.133  0.910 -0.971  0.834 -0.805  0.793 -0.630  0.783 -0.447  0.773 -0.264  0.763 -0.082  0.753 0.101  0.743 0.284  0.733 0.466  0.723 0.649  0.713 0.832  0.703 1.014  0.632 1.053  0.513 0.913  0.395 0.774  0.276 0.635  0.154 0.499  0.032 0.363  -0.091 0.226  -0.213 0.090  -0.335 -0.046  -0.457 -0.183  -0.579 -0.319  -0.702 -0.454  -0.825 -0.589  -0.947 -0.725  -1.072 -0.859  -1.212 -0.972  -1.103 -0.875  -0.929 -0.820
1c#syn#syn0#zc/y  -0.831 1.285  -0.822 1.166  -0.810 1.048  -0.814 0.929  -0.799 0.814  -0.748 0.707  -0.669 0.618  -0.579 0.542  -0.479 0.478  -0.374 0.422  -0.265 0.375  -0.153 0.336  -0.034 0.338  0.079 0.372  0.181 0.434  0.275 0.507  0.365 0.584  0.445 0.672  0.525 0.761  0.604 0.849  0.682 0.939  0.742 1.002  0.672 0.907  0.622 0.798  0.574 0.690  0.527 0.580  0.481 0.471  0.436 0.361  0.391 0.250  0.347 0.140  0.303 0.029  0.258 -0.081  0.214 -0.191  0.170 -0.302  0.129 -0.413  0.087 -0.525  0.046 -0.636  0.009 -0.750  -0.027 -0.863  -0.063 -0.977  -0.101 -1.089  -0.140 -1.202  -0.179 -1.314  -0.219 -1.426  -0.256 -1.539  -0.289 -1.654  -0.273 -1.714  -0.171 -1.652  -0.079 -1.578  0.010 -1.498
1c#syn#syn0#zc/c  0.598 1.291  0.514 1.227  0.426 1.169  0.337 1.113  0.249 1.055  0.160 0.998  0.072 0.940  -0.017 0.883  -0.106 0.827  -0.197 0.774  -0.284 0.715  -0.370 0.653  -0.455 0.591  -0.541 0.529  -0.626 0.468  -0.708 0.402  -0.785 0.330  -0.863 0.258  -0.934 0.181  -1.001 0.099  -1.058 0.012  -1.100 -0.084  -1.095 -0.186  -1.033 -0.271  -0.942 -0.323  -0.848 -0.371  -0.749 -0.408  -0.651 -0.445  -0.549 -0.471  -0.446 -0.494  -0.343 -0.518  -0.239 -0.535  -0.134 -0.546  -0.030 -0.558  0.075 -0.568  0.181 -0.573  0.286 -0.577  0.391 -0.582  0.497 -0.587  0.602 -0.592  0.707 -0.597  0.813 -0.601  0.918 -0.605  1.023 -0.608  1.129 -0.611  1.233 -0.605  1.333 -0.572  1.432 -0.535  1.532 -0.509  1.596 -0.583
1c#syn#syn0#zc/e  -0.828 0.800  -0.774 0.654  -0.718 0.508  -0.659 0.363  -0.601 0.218  -0.515 0.090  -0.384 0.009  -0.243 -0.059  -0.096 -0.102  0.055 -0.070  0.204 -0.023  0.322 0.079  0.391 0.217  0.418 0.370  0.400 0.524  0.349 0.670  0.267 0.802  0.147 0.902  0.009 0.971  -0.141 1.008  -0.297 1.008  -0.442 0.949  -0.575 0.871  -0.695 0.771  -0.792 0.649  -0.880 0.521  -0.945 0.379  -0.979 0.229  -0.989 0.073  -0.970 -0.080  -0.873 -0.201  -0.771 -0.320  -0.638 -0.401  -0.494 -0.462  -0.350 -0.523  -0.202 -0.572  -0.049 -0.606  0.104 -0.636  0.257 -0.666  0.412 -0.690  0.566 -0.717  0.718 -0.750  0.871 -0.785  1.023 -0.818  1.177 -0.845  1.333 -0.850  1.489 -0.842  1.645 -0.833  1.798 -0.862  1.943 -0.920
1c#syn#syn0#zc/g  0.576 1.160  0.517 1.262  0.491 1.364  0.383 1.327  0.285 1.256  0.192 1.178  0.104 1.093  0.020 1.006  -0.060 0.915  -0.138 0.821  -0.213 0.726  -0.285 0.628  -0.354 0.528  -0.419 0.425  -0.461 0.319  -0.351 0.368  -0.241 0.421  -0.137 0.483  -0.038 0.554  0.057 0.629  0.143 0.715  0.225 0.804  0.302 0.757  0.331 0.640  0.349 0.520  0.361 0.399  0.362 0.277  0.360 0.156  0.355 0.034  0.345 -0.087  0.335 -0.208  0.319 -0.328  0.301 -0.449  0.281 -0.568  0.253 -0.687  0.224 -0.805  0.179 -0.918  0.135 -1.031  0.079 -1.138  -0.001 -1.229  -0.087 -1.315  -0.176 -1.396  -0.286 -1.446  -0.403 -1.479  -0.520 -1.494  -0.634 -1.454  -0.697 -1.351  -0.755 -1.243  -0.794 -1.130  -0.813 -1.010
1c#syn#syn0#zc/k  -0.319 2.144  -0.384 1.985  -0.445 1.826  -0.500 1.663  -0.536 1.496  -0.559 1.327  -0.566 1.156  -0.568 0.985  -0.568 0.814  -0.566 0.643  -0.564 0.472  -0.562 0.301  -0.556 0.130  -0.550 -0.041  -0.543 -0.212  -0.537 -0.383  -0.527 -0.554  -0.513 -0.725  -0.494 -0.895  -0.451 -1.059  -0.309 -1.109  -0.155 -1.039  -0.042 -0.912  0.034 -0.760  0.105 -0.604  0.175 -0.448  0.246 -0.292  0.316 -0.136  0.387 0.020  0.457 0.176  0.528 0.332  0.598 0.488  0.520 0.401  0.401 0.278  0.278 0.159  0.146 0.051  0.005 -0.046  -0.133 -0.147  -0.256 -0.264  -0.146 -0.362  -0.002 -0.455  0.151 -0.529  0.306 -0.603  0.468 -0.658  0.630 -0.711  0.796 -0.752  0.965 -0.766  1.135 -0.746  1.300 -0.761  1.402 -0.880
1c#syn#syn0#zc/n  -1.016 0.729  -0.984 0.589  -0.956 0.448  -0.931 0.306  -0.907 0.164  -0.893 0.021  -0.881 -0.123  -0.870 -0.266  -0.844 -0.408  -0.815 -0.548  -0.781 -0.688  -0.737 -0.825  -0.684 -0.958  -0.613 -1.083  -0.563 -0.979  -0.540 -0.837  -0.518 -0.695  -0.494 -0.553  -0.468 -0.411  -0.436 -0.271  -0.405 -0.130  -0.373 0.010  -0.342 0.151  -0.302 0.289  -0.259 0.426  -0.215 0.563  -0.162 0.697  -0.106 0.830  -0.046 0.960  0.025 1.084  0.145 1.142  0.260 1.063  0.359 0.958  0.453 0.850  0.544 0.738  0.624 0.619  0.698 0.495  0.768 0.370  0.827 0.238  0.885 0.107  0.938 -0.027  0.990 -0.161  1.035 -0.298  1.077 -0.435  1.112 -0.575  1.154 -0.712  1.203 -0.847  1.278 -0.796  1.354 -0.674  1.412 -0.543
1c#syn#syn0#zc/q  0.560 1.319  0.497 1.237  0.364 1.142  0.217 1.069  0.069 1.000  -0.080 0.930  -0.226 0.856  -0.375 0.786  -0.523 0.716  -0.671 0.646  -0.812 0.563  -0.950 0.474  -1.078 0.371  -1.186 0.249  -1.262 0.105  -1.220 -0.042  -1.080 -0.122  -0.920 -0.155  -0.757 -0.170  -0.593 -0.170  -0.430 -0.157  -0.267 -0.137  -0.108 -0.097  0.044 -0.040  0.183 0.046  0.303 0.157  0.385 0.296  0.438 0.451  0.446 0.611  0.380 0.743  0.420 0.755  0.438 0.665  0.437 0.501  0.439 0.337  0.429 0.173  0.420 0.010  0.414 -0.154  0.408 -0.318  0.411 -0.482  0.414 -0.646  0.409 -0.810  0.403 -0.974  0.405 -1.138  0.408 -1.302  0.408 -1.466  0.402 -1.630  0.397 -1.771  0.476 -1.631  0.527 -1.475  0.587 -1.322
1c#syn#syn0#zc/t  0.193 1.794  0.130 1.635  0.057 1.480  -0.016 1.326  -0.087 1.170  -0.158 1.015  -0.223 0.857  -0.280 0.696  -0.337 0.535  -0.394 0.374  -0.452 0.213  -0.502 0.049  -0.550 -0.115  -0.597 -0.279  -0.620 -0.447  -0.611 -0.618  -0.541 -0.772  -0.426 -0.898  -0.302 -1.016  -0.167 -1.121  -0.021 -1.208  0.136 -1.275  0.302 -1.307  0.470 -1.285  0.628 -1.222  0.780 -1.144  0.814 -1.002  0.811 -0.831  0.807 -0.661  0.804 -0.490  0.801 -0.319  0.797 -0.148  0.794 0.023  0.791 0.194  0.787 0.365  0.784 0.536  0.701 0.650  0.567 0.543  0.419 0.459  0.267 0.382  0.109 0.317  -0.052 0.260  -0.217 0.214  -0.383 0.176  -0.551 0.145  -0.721 0.129  -0.891 0.128  -1.058 0.166  -1.225 0.197  -1.368 0.129
1c#syn#syn0#zc/u  -0.660 1.441  -0.681 1.291  -0.705 1.141  -0.729 0.991  -0.756 0.841  -0.783 0.692  -0.810 0.542  -0.833 0.392  -0.850 0.241  -0.866 0.090  -0.883 -0.061  -0.887 -0.212  -0.890 -0.364  -0.893 -0.516  -0.868 -0.665  -0.839 -0.814  -0.792 -0.958  -0.730 -1.097  -0.618 -1.155  -0.503 -1.056  -0.398 -0.947  -0.302 -0.829  -0.206 -0.711  -0.113 -0.591  -0.026 -0.467  0.050 -0.335  0.126 -0.204  0.202 -0.072  0.278 0.059  0.344 0.196  0.405 0.335  0.465 0.475  0.524 0.615  0.582 0.755  0.636 0.897  0.673 1.006  0.671 0.854  0.683 0.703  0.700 0.552  0.719 0.401  0.744 0.252  0.770 0.102  0.807 -0.045  0.845 -0.192  0.890 -0.337  0.944 -0.479  1.006 -0.618  1.074 -0.754  1.175 -0.722  1.307 -0.667
1c#syn#syn0#zc/w  -0.889 0.953  -0.930 0.824  -0.982 0.696  -1.022 0.563  -1.056 0.428  -1.065 0.289  -1.056 0.151  -1.046 0.012  -1.039 -0.127  -1.020 -0.265  -0.994 -0.401  -0.958 -0.536  -0.920 -0.670  -0.847 -0.787  -0.750 -0.777  -0.697 -0.648  -0.652 -0.516  -0.606 -0.385  -0.559 -0.254  -0.509 -0.124  -0.458 0.005  -0.403 0.133  -0.324 0.241  -0.205 0.186  -0.104 0.090  -0.009 -0.012  0.084 -0.115  0.174 -0.221  0.263 -0.328  0.347 -0.439  0.431 -0.551  0.513 -0.663  0.602 -0.769  0.702 -0.820  0.755 -0.692  0.802 -0.561  0.847 -0.429  0.891 -0.297  0.932 -0.164  0.972 -0.031  1.003 0.104  1.027 0.242  1.049 0.379  1.069 0.517  1.079 0.655  1.086 0.794  1.091 0.933  1.116 1.070  1.156 1.203  1.108 1.113
1c#syn#syn0#zc/x  -0.994 1.070  -1.104 1.010  -1.201 0.857  -1.190 0.701  -1.032 0.610  -0.885 0.503  -0.748 0.384  -0.612 0.262  -0.485 0.132  -0.362 -0.003  -0.239 -0.138  -0.120 -0.275  -0.008 -0.419  0.105 -0.562  0.217 -0.705  0.330 -0.848  0.438 -0.995  0.540 -1.146  0.645 -1.295  0.739 -1.382  0.800 -1.218  0.793 -1.036  0.772 -0.855  0.761 -0.674  0.754 -0.491  0.748 -0.309  0.742 -0.127  0.736 0.055  0.729 0.237  0.723 0.419  0.717 0.601  0.711 0.783  0.704 0.966  0.698 1.148  0.649 1.172  0.535 1.030  0.418 0.890  0.300 0.751  0.175 0.618  0.052 0.484  -0.069 0.348  -0.193 0.214  -0.320 0.084  -0.448 -0.046  -0.577 -0.175  -0.712 -0.297  -0.848 -0.418  -0.990 -0.533  -1.149 -0.620  -1.245 -0.758
1c#syn#syn0#zc/y  -0.966 1.426  -0.866 1.339  -0.749 1.270  -0.633 1.201  -0.577 1.093  -0.514 0.973  -0.446 0.857  -0.359 0.753  -0.273 0.648  -0.187 0.544  -0.107 0.435  -0.030 0.324  0.047 0.212  0.124 0.101  0.199 -0.011  0.275 -0.123  0.385 -0.110  0.483 -0.017  0.552 0.099  0.605 0.223  0.649 0.350  0.679 0.482  0.704 0.615  0.732 0.747  0.773 0.876  0.702 0.831  0.637 0.713  0.573 0.593  0.506 0.476  0.440 0.358  0.375 0.239  0.321 0.116  0.265 -0.008  0.210 -0.131  0.154 -0.254  0.097 -0.377  0.038 -0.499  -0.023 -0.620  -0.084 -0.740  -0.145 -0.861  -0.207 -0.981  -0.277 -1.096  -0.348 -1.212  -0.422 -1.325  -0.498 -1.437  -0.580 -1.544  -0.671 -1.644  -0.651 -1.672  -0.520 -1.636  -0.391 -1.597
