2#app#app31#app3146/[  0.868 0.995  0.868 1.118  0.762 1.136  0.727 1.224  0.727 1.206  0.673 1.136  0.550 1.136  0.426 1.136  0.303 1.135  0.215 1.048  0.114 0.995  0.021 0.964  0.008 0.853  -0.116 0.853  -0.240 0.853  -0.160 0.853  -0.121 0.770  -0.121 0.646  -0.155 0.537  -0.242 0.449  -0.330 0.362  -0.403 0.268  -0.403 0.145  -0.403 0.021  -0.480 -0.071  -0.544 -0.168  -0.555 -0.287  -0.642 -0.374  -0.685 -0.480  -0.685 -0.604  -0.685 -0.727  -0.685 -0.851  -0.685 -0.975  -0.685 -1.098  -0.587 -1.124  -0.464 -1.124  -0.403 -1.061  -0.357 -0.982  -0.234 -0.982  -0.113 -0.975  -0.026 -0.888  0.079 -0.841  0.202 -0.841  0.326 -0.841  0.450 -0.841  0.573 -0.841  0.664 -0.763  0.762 -0.700  0.886 -0.700  1.009 -0.700
2#app#app31#app3146/k  0.367 2.370  0.367 2.186  0.323 2.020  0.215 1.880  0.215 1.696  0.215 1.511  0.175 1.333  0.116 1.158  0.054 0.986  -0.077 0.856  -0.096 0.679  -0.179 0.514  -0.244 0.345  -0.244 0.160  -0.316 0.005  -0.397 -0.145  -0.397 -0.330  -0.397 -0.514  -0.397 -0.699  -0.397 -0.883  -0.397 -1.068  -0.397 -1.252  -0.441 -1.168  -0.499 -0.993  -0.557 -0.818  -0.615 -0.643  -0.674 -0.468  -0.609 -0.381  -0.425 -0.381  -0.286 -0.271  -0.119 -0.228  0.065 -0.228  0.250 -0.228  0.434 -0.228  0.618 -0.228  0.545 -0.207  0.363 -0.177  0.181 -0.146  -0.001 -0.116  -0.182 -0.086  -0.244 -0.198  -0.091 -0.229  0.040 -0.359  0.215 -0.382  0.345 -0.512  0.476 -0.643  0.642 -0.687  0.673 -0.840  0.804 -0.970  0.979 -0.993
2#app#app31#app3146/n  -0.482 0.988  -0.482 0.808  -0.482 0.628  -0.494 0.452  -0.621 0.325  -0.749 0.198  -0.876 0.070  -1.003 -0.057  -1.005 -0.237  -1.073 -0.389  -1.201 -0.516  -1.181 -0.583  -1.005 -0.578  -1.005 -0.398  -0.932 -0.248  -0.805 -0.121  -0.650 -0.059  -0.482 -0.048  -0.482 0.133  -0.404 0.281  -0.276 0.408  -0.119 0.464  0.055 0.478  0.183 0.605  0.310 0.733  0.438 0.860  0.565 0.988  0.745 0.988  0.925 0.988  1.089 0.972  1.089 0.792  0.974 0.726  0.827 0.693  0.827 0.513  0.734 0.371  0.607 0.244  0.566 0.081  0.566 -0.100  0.566 -0.280  0.427 -0.321  0.304 -0.378  0.304 -0.559  0.304 -0.739  0.304 -0.919  0.304 -1.099  0.304 -1.280  0.395 -1.368  0.573 -1.375  0.700 -1.503  0.827 -1.630
2#app#app31#app3146/o  0.474 1.607  0.474 1.463  0.474 1.319  0.451 1.198  0.307 1.198  0.163 1.198  0.032 1.166  -0.070 1.064  -0.171 0.962  -0.273 0.861  -0.345 0.746  -0.345 0.602  -0.345 0.458  -0.391 0.333  -0.493 0.232  -0.595 0.130  -0.697 0.028  -0.754 -0.092  -0.754 -0.236  -0.754 -0.380  -0.754 -0.524  -0.754 -0.668  -0.754 -0.812  -0.677 -0.925  -0.576 -1.026  -0.474 -1.128  -0.372 -1.230  -0.239 -1.257  -0.095 -1.257  0.049 -1.257  0.193 -1.257  0.337 -1.257  0.474 -1.250  0.474 -1.106  0.474 -0.962  0.474 -0.818  0.474 -0.674  0.474 -0.530  0.474 -0.386  0.474 -0.242  0.474 -0.098  0.474 0.046  0.474 0.190  0.474 0.334  0.474 0.478  0.474 0.622  0.474 0.766  0.352 0.789  0.208 0.789  0.064 0.789
2#app#app31#app3146/w  -0.185 0.857  -0.185 0.726  -0.243 0.653  -0.375 0.653  -0.390 0.536  -0.433 0.448  -0.565 0.448  -0.666 0.376  -0.759 0.283  -0.852 0.190  -0.945 0.097  -1.004 -0.011  -1.004 -0.142  -1.111 -0.166  -1.209 -0.200  -1.209 -0.332  -1.209 -0.464  -1.189 -0.576  -1.058 -0.576  -0.926 -0.576  -0.794 -0.576  -0.663 -0.576  -0.594 -0.513  -0.594 -0.381  -0.473 -0.371  -0.356 -0.337  -0.263 -0.244  -0.163 -0.166  -0.032 -0.166  0.020 -0.246  0.027 -0.371  0.158 -0.371  0.290 -0.371  0.421 -0.371  0.553 -0.371  0.634 -0.320  0.634 -0.189  0.743 -0.166  0.864 -0.141  0.957 -0.048  1.050 0.045  1.143 0.138  1.236 0.231  1.362 0.243  1.453 0.284  1.453 0.416  1.523 0.518  1.616 0.611  1.657 0.726  1.657 0.857
2#app#app31#app3146/w  -0.391 0.410  -0.391 0.600  -0.391 0.789  -0.260 0.849  -0.272 0.849  -0.441 0.798  -0.575 0.664  -0.610 0.489  -0.610 0.299  -0.691 0.190  -0.830 0.139  -0.852 -0.029  -1.042 -0.029  -1.049 -0.211  -1.049 -0.401  -1.136 -0.555  -1.267 -0.688  -1.077 -0.688  -0.904 -0.615  -0.734 -0.530  -0.574 -0.432  -0.440 -0.298  -0.391 -0.129  -0.300 -0.029  -0.128 0.014  0.006 0.148  -0.044 0.098  -0.171 -0.039  -0.171 -0.229  -0.171 -0.419  -0.171 -0.609  -0.171 -0.798  -0.090 -0.907  0.084 -0.871  0.219 -0.737  0.353 -0.603  0.487 -0.468  0.677 -0.468  0.820 -0.355  0.926 -0.209  0.933 -0.022  1.068 0.112  1.225 0.190  1.365 0.240  1.379 0.424  1.514 0.558  1.585 0.718  1.585 0.908  1.585 1.039  1.585 0.849
2#app#app31#app3146/h  0.663 1.970  0.525 1.970  0.507 1.851  0.507 1.713  0.481 1.579  0.437 1.449  0.394 1.318  0.350 1.187  0.253 1.090  0.193 0.977  0.193 0.839  0.182 0.706  0.084 0.608  -0.013 0.511  -0.110 0.414  -0.120 0.280  -0.167 0.153  -0.229 0.030  -0.298 -0.088  -0.396 -0.185  -0.493 -0.282  -0.589 -0.380  -0.589 -0.518  -0.675 -0.621  -0.746 -0.729  -0.746 -0.867  -0.746 -1.005  -0.746 -0.867  -0.627 -0.848  -0.589 -0.748  -0.508 -0.691  -0.388 -0.647  -0.291 -0.550  -0.194 -0.452  -0.096 -0.355  0.001 -0.257  0.037 -0.134  0.106 -0.065  0.243 -0.065  0.350 -0.096  0.350 -0.234  0.350 -0.372  0.350 -0.510  0.350 -0.648  0.350 -0.785  0.350 -0.923  0.350 -1.061  0.388 -1.161  0.507 -1.180  0.507 -1.318
2#app#app31#app3146/a  1.043 -0.103  1.226 -0.103  1.331 -0.024  1.331 0.160  1.172 0.185  1.043 0.239  1.043 0.423  0.909 0.473  0.755 0.502  0.755 0.686  0.647 0.761  0.463 0.761  0.279 0.761  0.096 0.761  -0.088 0.761  -0.271 0.761  -0.438 0.720  -0.568 0.590  -0.703 0.473  -0.887 0.473  -1.042 0.404  -1.171 0.274  -1.261 0.128  -1.261 -0.056  -1.397 -0.103  -1.549 -0.135  -1.549 -0.319  -1.437 -0.391  -1.254 -0.391  -1.070 -0.391  -0.887 -0.391  -0.703 -0.391  -0.519 -0.391  -0.336 -0.391  -0.152 -0.391  -0.109 -0.250  -0.073 -0.103  0.111 -0.103  0.260 -0.021  0.390 0.109  0.467 0.110  0.467 -0.074  0.467 -0.257  0.467 -0.441  0.467 -0.625  0.467 -0.808  0.492 -0.967  0.676 -0.967  0.859 -0.967  1.043 -0.967
2#app#app31#app3146/t  0.742 1.010  0.553 1.010  0.549 1.195  0.422 1.076  0.356 0.914  0.356 0.726  0.269 0.625  0.164 0.541  0.107 0.376  -0.026 0.242  -0.029 0.055  -0.029 -0.133  -0.153 -0.271  -0.222 -0.431  -0.222 -0.619  -0.222 -0.808  -0.222 -0.997  -0.222 -1.185  -0.151 -1.303  0.037 -1.303  0.117 -1.262  -0.025 -1.138  -0.167 -1.014  -0.309 -0.889  -0.451 -0.765  -0.593 -0.641  -0.735 -0.517  -0.877 -0.393  -1.019 -0.268  -1.161 -0.144  -1.303 -0.020  -1.317 0.108  -1.183 0.242  -1.050 0.375  -0.885 0.432  -0.696 0.432  -0.508 0.432  -0.319 0.432  -0.130 0.432  0.058 0.432  0.247 0.432  0.435 0.432  0.624 0.432  0.805 0.400  0.974 0.316  1.144 0.239  1.333 0.239  1.521 0.239  1.706 0.235  1.706 0.046
2#app#app31#app3146/!  0.506 0.911  0.506 1.007  0.583 1.026  0.620 1.084  0.620 1.179  0.620 1.275  0.619 1.368  0.523 1.368  0.506 1.290  0.506 1.194  0.477 1.111  0.409 1.043  0.392 0.955  0.355 0.875  0.288 0.807  0.277 0.716  0.233 0.639  0.166 0.571  0.098 0.504  0.049 0.429  0.049 0.333  0.049 0.238  -0.035 0.226  -0.065 0.161  -0.065 0.065  -0.065 -0.030  -0.057 -0.117  0.038 -0.117  0.049 -0.202  0.017 -0.289  -0.030 -0.373  -0.076 -0.456  -0.123 -0.540  -0.169 -0.623  -0.215 -0.707  -0.262 -0.790  -0.308 -0.874  -0.354 -0.957  -0.401 -1.041  -0.447 -1.124  -0.494 -1.208  -0.558 -1.260  -0.637 -1.243  -0.637 -1.147  -0.731 -1.146  -0.676 -1.146  -0.637 -1.202  -0.599 -1.260  -0.504 -1.260  -0.408 -1.260
2#app#app31#app3146/}  0.369 1.220  0.359 1.332  0.257 1.352  0.287 1.443  0.397 1.415  0.484 1.332  0.602 1.322  0.688 1.236  0.704 1.121  0.704 0.999  0.704 0.877  0.692 0.760  0.606 0.674  0.592 0.558  0.480 0.549  0.361 0.541  0.275 0.455  0.189 0.369  0.085 0.325  -0.016 0.275  -0.112 0.213  -0.234 0.213  -0.302 0.159  -0.366 0.101  -0.341 0.101  -0.219 0.101  -0.124 0.035  -0.021 -0.011  0.033 -0.078  -0.044 -0.123  -0.140 -0.184  -0.227 -0.271  -0.302 -0.361  -0.285 -0.476  -0.199 -0.562  -0.191 -0.680  -0.079 -0.690  -0.079 -0.812  -0.079 -0.934  -0.117 -1.018  -0.191 -1.066  -0.249 -1.129  -0.302 -1.198  -0.381 -1.241  -0.493 -1.281  -0.602 -1.335  -0.720 -1.353  -0.842 -1.353  -0.862 -1.455  -0.750 -1.465
2#app#app31#app3146/]  -0.142 1.085  -0.236 1.095  -0.255 1.180  -0.303 1.180  -0.210 1.154  -0.135 1.085  -0.036 1.074  0.038 1.000  0.138 0.991  0.242 0.991  0.341 0.981  0.415 0.907  0.514 0.896  0.618 0.896  0.697 0.896  0.615 0.875  0.615 0.771  0.615 0.667  0.580 0.578  0.507 0.504  0.433 0.431  0.426 0.330  0.426 0.227  0.426 0.123  0.407 0.027  0.334 -0.047  0.327 -0.148  0.254 -0.221  0.237 -0.318  0.237 -0.422  0.167 -0.497  0.142 -0.590  0.142 -0.694  0.142 -0.798  0.141 -0.901  0.068 -0.975  -0.006 -1.048  -0.092 -1.090  -0.196 -1.090  -0.300 -1.090  -0.404 -1.090  -0.507 -1.090  -0.602 -1.049  -0.694 -1.002  -0.797 -0.995  -0.900 -0.995  -1.001 -0.987  -1.074 -0.914  -1.173 -0.901  -1.182 -0.995
2#app#app31#app3146/.  1.594 -0.539  1.538 -0.484  1.483 -0.429  1.428 -0.373  1.372 -0.318  1.317 -0.263  1.262 -0.207  1.206 -0.152  1.151 -0.097  1.096 -0.041  1.040 0.014  0.985 0.070  0.929 0.125  0.870 0.169  0.791 0.169  0.713 0.169  0.635 0.169  0.556 0.169  0.478 0.169  0.400 0.169  0.322 0.169  0.243 0.169  0.165 0.169  0.087 0.169  0.008 0.169  -0.070 0.169  -0.148 0.169  -0.226 0.169  -0.305 0.169  -0.383 0.169  -0.461 0.169  -0.540 0.169  -0.618 0.169  -0.696 0.169  -0.774 0.169  -0.853 0.169  -0.931 0.169  -1.009 0.169  -1.087 0.169  -1.166 0.169  -1.240 0.165  -1.240 0.087  -1.240 0.009  -1.240 -0.070  -1.240 -0.148  -1.240 -0.226  -1.240 -0.305  -1.240 -0.383  -1.240 -0.461  -1.240 -0.539
