1d#apa#apa01#app0153/!  -0.083 1.316  0.003 1.316  0.089 1.316  0.091 1.400  0.091 1.486  0.010 1.491  -0.076 1.491  -0.083 1.412  -0.083 1.326  -0.083 1.240  -0.083 1.154  -0.083 1.068  -0.083 0.982  -0.083 0.896  -0.083 0.809  -0.083 0.723  -0.083 0.637  -0.083 0.551  -0.083 0.465  -0.083 0.379  -0.083 0.293  -0.083 0.207  -0.083 0.121  -0.083 0.035  -0.083 -0.051  -0.083 -0.138  -0.083 -0.224  -0.083 -0.310  -0.083 -0.396  -0.083 -0.482  -0.083 -0.568  -0.083 -0.654  -0.083 -0.740  -0.083 -0.826  -0.083 -0.912  -0.083 -0.908  -0.083 -0.822  -0.040 -0.779  0.046 -0.779  0.104 -0.817  0.131 -0.899  0.159 -0.980  0.186 -1.062  0.213 -1.144  0.240 -1.225  0.266 -1.307  0.266 -1.393  0.266 -1.479  0.266 -1.566  0.266 -1.652
1d#apa#apa01#app0153/~  -1.312 -0.022  -1.312 -0.133  -1.312 -0.160  -1.312 -0.049  -1.312 0.062  -1.312 0.172  -1.312 0.283  -1.254 0.336  -1.144 0.336  -1.133 0.436  -1.102 0.516  -0.991 0.516  -0.880 0.516  -0.770 0.516  -0.659 0.516  -0.562 0.483  -0.484 0.405  -0.401 0.336  -0.291 0.336  -0.236 0.280  -0.236 0.170  -0.236 0.059  -0.236 -0.052  -0.236 -0.162  -0.185 -0.252  -0.107 -0.330  -0.029 -0.409  0.049 -0.487  0.130 -0.560  0.240 -0.560  0.351 -0.560  0.462 -0.560  0.572 -0.560  0.683 -0.560  0.794 -0.560  0.840 -0.496  0.840 -0.385  0.946 -0.381  1.019 -0.343  1.019 -0.233  1.099 -0.202  1.199 -0.191  1.199 -0.080  1.199 0.031  1.199 0.142  1.199 0.252  1.225 0.336  1.336 0.336  1.378 0.405  1.378 0.516
1d#apa#apa01#app0153/  -1.723 0.112  -1.651 0.112  -1.579 0.112  -1.507 0.112  -1.434 0.112  -1.362 0.112  -1.290 0.112  -1.218 0.112  -1.145 0.112  -1.073 0.112  -1.001 0.112  -0.929 0.112  -0.856 0.112  -0.784 0.112  -0.712 0.112  -0.640 0.112  -0.567 0.112  -0.495 0.112  -0.423 0.112  -0.351 0.112  -0.279 0.112  -0.206 0.112  -0.134 0.112  -0.062 0.112  0.010 0.112  0.083 0.112  0.155 0.112  0.227 0.112  0.299 0.112  0.372 0.112  0.444 0.112  0.516 0.112  0.588 0.112  0.661 0.112  0.713 0.064  0.764 0.013  0.815 -0.039  0.866 -0.090  0.917 -0.141  0.968 -0.192  1.019 -0.243  1.070 -0.294  1.121 -0.345  1.185 -0.365  1.257 -0.365  1.330 -0.365  1.402 -0.365  1.474 -0.365  1.546 -0.365  1.619 -0.365
1d#apa#apa01#app0153/_  -1.600 0.344  -1.522 0.344  -1.443 0.344  -1.365 0.344  -1.309 0.321  -1.309 0.242  -1.275 0.198  -1.196 0.198  -1.117 0.198  -1.039 0.198  -0.960 0.198  -0.882 0.198  -0.871 0.129  -0.870 0.052  -0.792 0.052  -0.713 0.052  -0.635 0.052  -0.556 0.052  -0.478 0.052  -0.399 0.052  -0.320 0.052  -0.242 0.052  -0.163 0.052  -0.085 0.052  -0.006 0.052  0.003 -0.017  0.005 -0.094  0.084 -0.094  0.162 -0.094  0.241 -0.094  0.320 -0.094  0.398 -0.094  0.477 -0.094  0.555 -0.094  0.634 -0.094  0.712 -0.094  0.791 -0.094  0.870 -0.094  0.927 -0.144  0.983 -0.199  1.045 -0.239  1.123 -0.239  1.202 -0.239  1.281 -0.239  1.359 -0.239  1.438 -0.239  1.516 -0.239  1.595 -0.239  1.673 -0.239  1.752 -0.239
1d#apa#apa01#app0153/+  -0.025 1.828  -0.025 1.633  0.123 1.586  0.217 1.486  0.179 1.306  0.041 1.169  -0.025 1.001  -0.025 0.806  -0.025 0.611  -0.025 0.416  -0.025 0.222  -0.025 0.027  -0.025 -0.168  -0.025 -0.363  -0.025 -0.558  -0.025 -0.753  -0.025 -0.948  0.022 -1.123  0.160 -1.261  0.217 -1.432  0.284 -1.560  0.459 -1.539  0.459 -1.344  0.459 -1.150  0.367 -0.997  0.219 -0.870  0.071 -0.743  -0.077 -0.616  -0.225 -0.490  -0.373 -0.363  -0.521 -0.236  -0.669 -0.109  -0.817 0.018  -0.965 0.145  -1.113 0.271  -1.201 0.376  -1.006 0.376  -0.811 0.376  -0.617 0.376  -0.422 0.376  -0.227 0.376  -0.032 0.376  0.163 0.376  0.317 0.277  0.454 0.139  0.647 0.134  0.842 0.134  1.037 0.134  1.232 0.134  1.427 0.134
1d#apa#apa01#app0153/=  -0.750 1.212  -0.613 1.212  -0.488 1.200  -0.488 1.062  -0.462 0.949  -0.325 0.949  -0.187 0.949  -0.049 0.949  0.089 0.949  0.226 0.949  0.346 0.905  0.443 0.807  0.540 0.710  0.668 0.686  0.806 0.686  0.944 0.686  1.082 0.686  0.979 0.618  0.863 0.545  0.746 0.472  0.629 0.399  0.512 0.326  0.395 0.253  0.279 0.180  0.162 0.107  0.045 0.034  -0.072 -0.039  -0.189 -0.112  -0.305 -0.185  -0.422 -0.258  -0.539 -0.331  -0.656 -0.404  -0.773 -0.477  -0.889 -0.550  -1.006 -0.623  -0.922 -0.719  -0.824 -0.817  -0.717 -0.891  -0.580 -0.891  -0.442 -0.891  -0.304 -0.891  -0.183 -0.932  -0.086 -1.029  0.011 -1.127  0.138 -1.154  0.276 -1.154  0.413 -1.154  0.551 -1.154  0.564 -1.279  0.564 -1.416
1d#apa#apa01#app0153/[  0.838 1.194  0.745 1.194  0.652 1.194  0.560 1.194  0.467 1.194  0.374 1.194  0.281 1.194  0.188 1.194  0.096 1.194  0.003 1.194  -0.090 1.194  -0.154 1.165  -0.154 1.072  -0.154 0.979  -0.154 0.887  -0.154 0.794  -0.154 0.701  -0.154 0.608  -0.166 0.520  -0.232 0.455  -0.265 0.375  -0.265 0.283  -0.265 0.190  -0.265 0.097  -0.265 0.004  -0.313 -0.068  -0.375 -0.136  -0.375 -0.228  -0.375 -0.321  -0.375 -0.414  -0.375 -0.507  -0.375 -0.600  -0.375 -0.692  -0.375 -0.785  -0.375 -0.878  -0.305 -0.901  -0.265 -0.953  -0.230 -1.012  -0.137 -1.012  -0.044 -1.012  -0.044 -1.104  0.031 -1.122  0.124 -1.122  0.217 -1.122  0.303 -1.138  0.368 -1.204  0.449 -1.232  0.542 -1.232  0.635 -1.232  0.728 -1.232
1d#apa#apa01#app0153/]  -0.747 1.272  -0.662 1.272  -0.592 1.236  -0.532 1.176  -0.456 1.152  -0.371 1.152  -0.286 1.152  -0.268 1.084  -0.235 1.032  -0.150 1.032  -0.065 1.032  0.020 1.032  0.106 1.032  0.191 1.032  0.212 0.967  0.212 0.882  0.212 0.797  0.212 0.712  0.212 0.627  0.212 0.541  0.212 0.456  0.212 0.371  0.212 0.286  0.212 0.201  0.212 0.115  0.212 0.030  0.212 -0.055  0.212 -0.140  0.212 -0.226  0.212 -0.311  0.212 -0.396  0.212 -0.481  0.212 -0.566  0.212 -0.652  0.212 -0.737  0.212 -0.822  0.212 -0.907  0.212 -0.992  0.212 -1.078  0.212 -1.163  0.210 -1.246  0.124 -1.246  0.039 -1.246  -0.041 -1.259  -0.101 -1.319  -0.167 -1.366  -0.252 -1.366  -0.337 -1.366  -0.422 -1.366  -0.508 -1.366
1d#apa#apa01#app0153/{  0.646 1.503  0.502 1.503  0.358 1.503  0.214 1.503  0.102 1.471  0.035 1.394  -0.007 1.292  -0.116 1.257  -0.116 1.113  -0.017 1.067  0.018 0.959  0.102 0.899  0.102 0.755  0.211 0.719  0.154 0.632  0.102 0.540  0.012 0.434  -0.015 0.306  -0.116 0.262  -0.194 0.197  -0.229 0.088  -0.373 0.088  -0.442 0.013  -0.552 -0.020  -0.659 -0.057  -0.731 -0.129  -0.661 -0.129  -0.517 -0.129  -0.373 -0.129  -0.229 -0.129  -0.116 -0.159  -0.050 -0.238  -0.007 -0.338  -0.007 -0.482  -0.069 -0.564  -0.116 -0.661  -0.139 -0.782  -0.224 -0.840  -0.224 -0.984  -0.204 -1.108  -0.116 -1.163  -0.025 -1.217  0.102 -1.234  0.154 -1.326  0.298 -1.326  0.442 -1.326  0.586 -1.326  0.705 -1.267  0.828 -1.217  0.972 -1.217
1d#apa#apa01#app0153/}  -1.109 1.408  -0.960 1.408  -0.812 1.408  -0.663 1.408  -0.514 1.408  -0.489 1.284  -0.341 1.284  -0.242 1.234  -0.242 1.086  -0.242 0.937  -0.243 0.789  -0.366 0.763  -0.366 0.614  -0.441 0.541  -0.490 0.441  -0.489 0.293  -0.340 0.293  -0.191 0.293  -0.042 0.293  0.106 0.293  0.255 0.293  0.404 0.293  0.450 0.293  0.378 0.217  0.277 0.169  0.130 0.167  0.103 0.045  0.006 -0.006  -0.070 -0.079  -0.118 -0.180  -0.116 -0.326  0.006 -0.353  0.058 -0.450  0.130 -0.527  0.231 -0.574  0.378 -0.577  0.405 -0.698  0.554 -0.698  0.625 -0.775  0.727 -0.822  0.749 -0.949  0.722 -1.070  0.625 -1.122  0.548 -1.194  0.429 -1.266  0.302 -1.318  0.254 -1.418  0.129 -1.443  0.023 -1.548  -0.118 -1.565
1d#apa#apa01#app0153/\\  -1.343 0.986  -1.343 0.902  -1.313 0.848  -1.228 0.848  -1.205 0.787  -1.200 0.705  -1.140 0.645  -1.081 0.586  -1.002 0.571  -0.928 0.561  -0.928 0.477  -0.887 0.433  -0.803 0.433  -0.719 0.433  -0.640 0.421  -0.580 0.361  -0.520 0.302  -0.447 0.261  -0.371 0.224  -0.296 0.186  -0.237 0.138  -0.237 0.054  -0.188 0.019  -0.104 0.019  -0.019 0.019  0.057 0.000  0.117 -0.059  0.177 -0.119  0.261 -0.120  0.336 -0.141  0.396 -0.200  0.457 -0.258  0.541 -0.258  0.592 -0.291  0.592 -0.375  0.656 -0.396  0.740 -0.396  0.824 -0.396  0.869 -0.436  0.869 -0.520  0.939 -0.534  1.007 -0.551  1.007 -0.635  1.054 -0.673  1.138 -0.673  1.145 -0.750  1.169 -0.811  1.253 -0.811  1.283 -0.865  1.283 -0.949
1d#apa#apa01#app0153/,  -0.319 1.540  -0.319 1.451  -0.319 1.362  -0.319 1.273  -0.266 1.238  -0.177 1.238  -0.088 1.238  -0.017 1.220  -0.017 1.131  -0.017 1.042  -0.017 0.953  0.054 0.936  0.143 0.936  0.232 0.936  0.285 0.900  0.285 0.811  0.285 0.722  0.285 0.633  0.285 0.544  0.285 0.456  0.285 0.367  0.285 0.278  0.285 0.189  0.285 0.100  0.285 0.011  0.285 -0.078  0.285 -0.167  0.285 -0.255  0.285 -0.344  0.285 -0.433  0.285 -0.522  0.249 -0.575  0.160 -0.575  0.071 -0.575  -0.017 -0.575  -0.017 -0.664  -0.017 -0.753  -0.017 -0.842  -0.055 -0.915  -0.118 -0.978  -0.181 -1.041  -0.244 -1.104  -0.306 -1.166  -0.319 -1.250  -0.319 -1.339  -0.319 -1.428  -0.355 -1.481  -0.443 -1.481  -0.532 -1.481  -0.621 -1.481
1d#apa#apa01#app0153/  0.941 1.405  0.941 1.321  0.932 1.246  0.848 1.246  0.769 1.233  0.710 1.174  0.650 1.114  0.623 1.042  0.623 0.958  0.585 0.890  0.525 0.830  0.466 0.771  0.464 0.687  0.457 0.610  0.373 0.610  0.305 0.594  0.305 0.510  0.288 0.433  0.228 0.374  0.169 0.315  0.146 0.240  0.146 0.156  0.085 0.133  0.001 0.133  -0.013 0.063  -0.013 -0.021  -0.013 -0.105  -0.017 -0.185  -0.101 -0.185  -0.172 -0.198  -0.172 -0.282  -0.188 -0.360  -0.247 -0.419  -0.307 -0.479  -0.366 -0.538  -0.426 -0.598  -0.485 -0.657  -0.490 -0.739  -0.492 -0.821  -0.576 -0.821  -0.649 -0.832  -0.649 -0.916  -0.649 -1.000  -0.649 -1.084  -0.670 -1.160  -0.729 -1.219  -0.788 -1.278  -0.848 -1.338  -0.907 -1.397  -0.967 -1.457
1d#apa#apa01#app0153/?  -0.321 -1.080  -0.321 -1.183  -0.321 -1.286  -0.395 -1.315  -0.438 -1.375  -0.438 -1.478  -0.433 -1.520  -0.416 -1.418  -0.399 -1.316  -0.382 -1.214  -0.365 -1.112  -0.348 -1.011  -0.331 -0.909  -0.314 -0.807  -0.297 -0.705  -0.280 -0.603  -0.263 -0.501  -0.246 -0.399  -0.230 -0.298  -0.213 -0.196  -0.203 -0.093  -0.234 -0.021  -0.321 -0.004  -0.321 0.099  -0.321 0.202  -0.230 0.215  -0.127 0.215  -0.085 0.276  -0.038 0.332  0.065 0.332  0.169 0.332  0.268 0.336  0.268 0.440  0.361 0.450  0.464 0.450  0.503 0.514  0.538 0.603  0.611 0.676  0.621 0.775  0.621 0.878  0.621 0.982  0.621 1.085  0.621 1.188  0.603 1.274  0.501 1.276  0.428 1.349  0.342 1.392  0.239 1.392  0.136 1.392  0.032 1.392
1d#apa#apa01#app0153/'  -0.832 1.086  -0.754 1.086  -0.675 1.086  -0.597 1.086  -0.519 1.086  -0.440 1.086  -0.362 1.086  -0.284 1.086  -0.205 1.086  -0.127 1.086  -0.049 1.086  0.029 1.086  0.108 1.086  0.127 1.028  0.127 0.949  0.127 0.871  0.127 0.793  0.127 0.714  0.127 0.636  0.127 0.558  0.127 0.480  0.127 0.401  0.127 0.323  0.127 0.245  0.127 0.166  0.127 0.088  0.127 0.010  0.127 -0.068  0.127 -0.147  0.127 -0.225  0.127 -0.303  0.127 -0.382  0.127 -0.460  0.127 -0.538  0.127 -0.617  0.127 -0.695  0.127 -0.773  0.127 -0.851  0.127 -0.930  0.127 -1.008  0.127 -1.086  0.127 -1.165  0.127 -1.243  0.127 -1.321  0.127 -1.399  0.127 -1.478  0.127 -1.556  0.127 -1.634  0.127 -1.713  0.127 -1.791
1d#apa#apa01#app0153/\"  -0.932 0.522  -0.932 0.412  -0.932 0.303  -0.932 0.193  -0.932 0.084  -0.932 -0.026  -0.932 -0.135  -0.932 -0.244  -0.932 -0.354  -0.932 -0.463  -0.932 -0.573  -0.932 -0.682  -0.932 -0.792  -0.932 -0.901  -0.932 -1.011  -0.855 -0.936  -0.778 -0.858  -0.700 -0.781  -0.623 -0.703  -0.546 -0.626  -0.468 -0.549  -0.391 -0.471  -0.313 -0.394  -0.236 -0.316  -0.159 -0.239  -0.081 -0.161  -0.004 -0.084  0.074 -0.007  0.151 0.071  0.228 0.148  0.306 0.226  0.383 0.303  0.461 0.380  0.538 0.458  0.615 0.535  0.693 0.613  0.770 0.690  0.848 0.767  0.932 0.829  1.041 0.829  1.151 0.829  1.216 0.784  1.216 0.675  1.216 0.565  1.216 0.456  1.216 0.346  1.216 0.237  1.216 0.127  1.216 0.018  1.216 -0.092
1d#apa#apa01#app0153/<  0.689 1.674  0.689 1.557  0.623 1.506  0.521 1.491  0.521 1.375  0.465 1.281  0.382 1.199  0.353 1.094  0.328 1.002  0.212 1.002  0.186 0.912  0.158 0.807  0.075 0.724  -0.018 0.667  -0.134 0.667  -0.150 0.566  -0.150 0.449  -0.150 0.332  -0.265 0.331  -0.318 0.267  -0.327 0.154  -0.410 0.072  -0.486 -0.014  -0.486 -0.130  -0.560 -0.172  -0.654 -0.196  -0.654 -0.313  -0.743 -0.340  -0.821 -0.378  -0.821 -0.495  -0.718 -0.508  -0.601 -0.508  -0.486 -0.509  -0.486 -0.626  -0.419 -0.676  -0.302 -0.676  -0.185 -0.676  -0.150 -0.757  -0.120 -0.844  -0.003 -0.844  0.113 -0.844  0.230 -0.844  0.347 -0.844  0.431 -0.921  0.514 -1.004  0.596 -1.086  0.679 -1.169  0.791 -1.179  0.857 -1.230  0.857 -1.347
1d#apa#apa01#app0153/|  -0.104 1.583  -0.029 1.583  0.028 1.565  0.028 1.490  0.003 1.426  -0.050 1.373  -0.103 1.320  -0.104 1.245  -0.104 1.170  -0.104 1.095  -0.104 1.020  -0.104 0.945  -0.104 0.870  -0.104 0.795  -0.104 0.720  -0.104 0.645  -0.104 0.570  -0.104 0.495  -0.104 0.420  -0.104 0.345  -0.104 0.270  -0.104 0.194  -0.104 0.119  -0.104 0.044  -0.075 -0.002  -0.000 -0.002  0.028 -0.049  0.028 -0.124  0.028 -0.199  0.028 -0.274  0.028 -0.349  0.028 -0.424  0.028 -0.499  0.028 -0.574  0.028 -0.649  0.028 -0.724  0.028 -0.799  0.028 -0.874  0.044 -0.942  0.097 -0.995  0.150 -1.049  0.160 -1.119  0.160 -1.194  0.160 -1.269  0.160 -1.344  0.160 -1.419  0.160 -1.494  0.160 -1.569  0.160 -1.644  0.160 -1.719
1d#apa#apa01#app0153/>  -1.206 1.098  -1.106 1.098  -1.006 1.098  -0.932 1.071  -0.932 0.971  -0.841 0.961  -0.741 0.961  -0.658 0.943  -0.658 0.843  -0.577 0.824  -0.476 0.824  -0.384 0.816  -0.384 0.715  -0.312 0.687  -0.212 0.687  -0.111 0.687  -0.040 0.617  0.033 0.550  0.133 0.550  0.164 0.480  0.197 0.413  0.297 0.413  0.301 0.316  0.361 0.276  0.455 0.259  0.526 0.188  0.575 0.108  0.575 0.008  0.669 0.002  0.713 -0.056  0.698 -0.150  0.627 -0.221  0.575 -0.300  0.575 -0.401  0.511 -0.474  0.440 -0.545  0.438 -0.645  0.395 -0.728  0.324 -0.799  0.301 -0.890  0.279 -0.981  0.208 -1.052  0.164 -1.134  0.162 -1.234  0.091 -1.305  0.027 -1.379  0.027 -1.479  -0.046 -1.506  -0.110 -1.543  -0.110 -1.643
