1b#apa#apa19#app1979/F  -0.112 0.819  -0.191 0.704  -0.191 0.510  -0.191 0.316  -0.191 0.121  -0.191 -0.073  -0.191 -0.267  -0.191 -0.461  -0.191 -0.655  -0.150 -0.840  -0.112 -1.025  -0.112 -1.219  -0.065 -1.402  -0.033 -1.589  0.024 -1.759  0.045 -1.933  0.016 -1.741  -0.012 -1.549  -0.040 -1.357  -0.068 -1.165  -0.097 -0.973  -0.125 -0.781  -0.153 -0.589  -0.181 -0.397  -0.210 -0.205  -0.238 -0.012  -0.266 0.180  -0.294 0.372  -0.323 0.564  -0.360 0.751  -0.427 0.918  -0.388 1.095  -0.242 1.213  -0.081 1.292  0.113 1.292  0.289 1.371  0.483 1.371  0.677 1.371  0.698 1.269  0.604 1.099  0.509 0.929  0.415 0.760  0.321 0.590  0.227 0.420  0.132 0.251  0.038 0.081  0.014 -0.048  0.160 0.067  0.334 0.127  0.518 0.189
1b#apa#apa19#app1979/T  0.108 0.180  -0.025 0.214  -0.025 0.380  -0.126 0.444  -0.157 0.309  -0.157 0.143  -0.157 -0.023  -0.157 -0.190  -0.059 -0.315  -0.025 -0.467  -0.025 -0.633  -0.025 -0.800  -0.025 -0.966  0.061 -1.096  0.108 -1.243  0.108 -1.409  0.144 -1.540  0.240 -1.609  0.202 -1.575  0.142 -1.420  0.082 -1.266  0.022 -1.111  -0.038 -0.956  -0.099 -0.801  -0.159 -0.646  -0.219 -0.491  -0.279 -0.336  -0.340 -0.181  -0.400 -0.027  -0.460 0.128  -0.520 0.283  -0.581 0.438  -0.641 0.593  -0.727 0.709  -0.818 0.784  -0.709 0.841  -0.554 0.852  -0.509 0.974  -0.343 0.974  -0.176 0.974  -0.010 0.974  0.156 0.974  0.322 0.974  0.488 0.974  0.654 0.974  0.821 0.974  0.987 0.974  1.153 0.974  1.313 0.988  1.430 1.106
1b#apa#apa19#app1979/E  -0.603 0.187  -0.471 0.134  -0.471 -0.050  -0.471 -0.234  -0.471 -0.418  -0.471 -0.602  -0.471 -0.786  -0.471 -0.970  -0.471 -1.153  -0.471 -1.337  -0.468 -1.256  -0.284 -1.256  -0.100 -1.256  0.075 -1.234  0.213 -1.125  0.397 -1.125  0.581 -1.125  0.667 -1.087  0.530 -0.965  0.392 -0.843  0.255 -0.721  0.117 -0.599  -0.020 -0.477  -0.158 -0.354  -0.295 -0.232  -0.433 -0.110  -0.340 -0.075  -0.287 0.056  -0.103 0.056  0.081 0.056  0.265 0.056  0.445 0.058  0.348 0.214  0.250 0.370  0.153 0.526  0.055 0.682  -0.042 0.838  -0.140 0.994  -0.209 1.052  -0.284 1.048  -0.340 1.209  -0.315 1.367  -0.131 1.367  0.053 1.367  0.237 1.367  0.421 1.367  0.605 1.367  0.765 1.311  0.918 1.236  0.971 1.105
1b#apa#apa19#app1979/D  -0.270 0.886  -0.405 0.736  -0.405 0.529  -0.405 0.322  -0.405 0.115  -0.405 -0.092  -0.405 -0.299  -0.380 -0.496  -0.270 -0.657  -0.270 -0.864  -0.229 -1.054  -0.134 -1.221  -0.134 -1.412  -0.134 -1.205  -0.134 -0.998  -0.195 -0.816  -0.270 -0.640  -0.270 -0.433  -0.270 -0.226  -0.270 -0.020  -0.321 0.175  -0.405 0.362  -0.405 0.569  -0.405 0.776  -0.405 0.983  -0.524 1.141  -0.541 1.341  -0.541 1.548  -0.351 1.565  -0.181 1.476  -0.034 1.330  0.141 1.224  0.300 1.105  0.392 0.920  0.529 0.766  0.675 0.620  0.769 0.436  0.816 0.240  0.894 0.052  0.951 -0.142  0.951 -0.348  0.951 -0.555  0.937 -0.756  0.791 -0.903  0.629 -1.013  0.423 -1.013  0.216 -1.013  0.009 -1.013  -0.198 -1.013  -0.405 -1.013
1b#apa#apa19#app1979/A  -0.155 0.609  -0.155 0.619  -0.155 0.355  -0.291 0.148  -0.291 -0.116  -0.314 -0.370  -0.428 -0.587  -0.428 -0.851  -0.565 -1.058  -0.565 -1.322  -0.565 -1.570  -0.565 -1.306  -0.565 -1.043  -0.565 -0.779  -0.565 -0.515  -0.565 -0.251  -0.428 -0.044  -0.428 0.220  -0.428 0.484  -0.428 0.748  -0.428 1.012  -0.428 1.275  -0.351 1.507  -0.291 1.747  -0.155 1.806  -0.018 1.679  0.119 1.552  0.122 1.289  0.256 1.081  0.256 0.817  0.342 0.573  0.403 0.326  0.529 0.114  0.529 -0.150  0.529 -0.413  0.665 -0.621  0.666 -0.884  0.802 -1.092  0.773 -1.263  0.619 -1.048  0.466 -0.834  0.313 -0.619  0.159 -0.404  -0.018 -0.290  -0.155 -0.163  0.020 -0.074  0.284 -0.074  0.548 -0.074  0.812 -0.074  1.076 -0.074
1b#apa#apa19#app1979/J  0.026 0.846  0.105 0.884  0.067 0.922  0.143 0.784  0.224 0.649  0.343 0.529  0.381 0.376  0.491 0.253  0.512 0.087  0.565 -0.073  0.633 -0.225  0.723 -0.356  0.723 -0.525  0.723 -0.694  0.723 -0.863  0.704 -1.012  0.607 -1.085  0.483 -1.132  0.332 -1.208  0.171 -1.245  0.003 -1.245  -0.166 -1.245  -0.297 -1.153  -0.456 -1.128  -0.625 -1.128  -0.555 -1.121  -0.579 -0.954  -0.603 -0.787  -0.627 -0.619  -0.651 -0.452  -0.675 -0.285  -0.699 -0.118  -0.723 0.050  -0.747 0.217  -0.770 0.384  -0.787 0.552  -0.894 0.614  -0.872 0.761  -0.738 0.846  -0.569 0.846  -0.401 0.846  -0.232 0.846  -0.063 0.846  0.106 0.846  0.270 0.858  0.396 0.962  0.565 0.962  0.734 0.962  0.903 0.962  1.072 0.962
1b#apa#apa19#app1979/E  -0.697 0.943  -0.565 0.811  -0.539 0.636  -0.539 0.450  -0.539 0.263  -0.484 0.099  -0.381 -0.044  -0.381 -0.231  -0.381 -0.417  -0.381 -0.603  -0.272 -0.744  -0.223 -0.911  -0.223 -1.097  -0.206 -1.267  -0.020 -1.267  0.166 -1.267  0.353 -1.267  0.539 -1.267  0.725 -1.267  0.859 -1.247  0.719 -1.124  0.579 -1.001  0.439 -0.879  0.298 -0.756  0.158 -0.633  0.018 -0.511  -0.122 -0.388  -0.263 -0.265  -0.352 -0.162  -0.165 -0.162  0.021 -0.162  0.207 -0.162  0.394 -0.162  0.558 -0.150  0.455 0.005  0.352 0.160  0.248 0.315  0.145 0.470  0.041 0.625  -0.062 0.780  -0.165 0.935  -0.269 1.090  -0.372 1.245  -0.381 1.429  -0.340 1.575  -0.154 1.575  0.033 1.575  0.213 1.535  0.389 1.476  0.566 1.417
1b#apa#apa19#app1979/J  0.118 0.529  0.118 0.709  0.118 0.888  0.118 0.798  0.253 0.753  0.253 0.574  0.253 0.394  0.380 0.267  0.388 0.091  0.388 -0.089  0.388 -0.268  0.507 -0.398  0.522 -0.572  0.522 -0.751  0.522 -0.931  0.522 -1.110  0.522 -1.290  0.409 -1.356  0.229 -1.356  0.070 -1.307  -0.074 -1.221  -0.243 -1.175  -0.404 -1.095  -0.534 -0.973  -0.700 -0.941  -0.824 -0.822  -0.775 -0.952  -0.682 -0.858  -0.667 -0.679  -0.652 -0.500  -0.637 -0.321  -0.622 -0.142  -0.607 0.037  -0.592 0.216  -0.577 0.395  -0.562 0.574  -0.644 0.664  -0.689 0.798  -0.645 0.933  -0.466 0.933  -0.286 0.933  -0.106 0.933  0.073 0.933  0.253 0.933  0.432 0.933  0.612 0.933  0.791 0.933  0.971 0.933  1.061 1.023  1.195 1.068
1b#apa#apa19#app1979/U  -0.643 0.767  -0.764 0.767  -0.786 0.668  -0.786 0.546  -0.786 0.425  -0.786 0.303  -0.786 0.181  -0.786 0.060  -0.708 -0.029  -0.643 -0.124  -0.643 -0.245  -0.643 -0.367  -0.583 -0.470  -0.516 -0.572  -0.448 -0.673  -0.381 -0.774  -0.356 -0.888  -0.301 -0.955  -0.212 -0.988  -0.205 -1.106  -0.119 -1.192  -0.018 -1.242  0.103 -1.242  0.219 -1.236  0.219 -1.114  0.219 -0.993  0.256 -0.880  0.311 -0.771  0.367 -0.664  0.453 -0.578  0.506 -0.478  0.506 -0.357  0.506 -0.235  0.506 -0.114  0.506 0.008  0.506 0.130  0.506 0.251  0.506 0.373  0.506 0.494  0.506 0.616  0.506 0.738  0.506 0.859  0.506 0.981  0.506 1.102  0.506 1.224  0.506 1.345  0.506 1.467  0.433 1.558  0.362 1.651  0.362 1.772
1b#apa#apa19#app1979/N  -0.709 -1.367  -0.753 -1.270  -0.806 -1.182  -0.806 -1.041  -0.806 -0.899  -0.806 -0.758  -0.806 -0.617  -0.806 -0.476  -0.806 -0.334  -0.806 -0.193  -0.806 -0.052  -0.806 0.089  -0.806 0.230  -0.806 0.372  -0.806 0.513  -0.806 0.654  -0.720 0.588  -0.620 0.488  -0.520 0.388  -0.455 0.263  -0.377 0.148  -0.320 0.030  -0.246 -0.081  -0.146 -0.180  -0.046 -0.280  0.054 -0.380  0.153 -0.480  0.253 -0.580  0.353 -0.680  0.481 -0.711  0.592 -0.784  0.734 -0.784  0.749 -0.658  0.749 -0.517  0.749 -0.376  0.749 -0.234  0.749 -0.093  0.749 0.048  0.749 0.189  0.749 0.331  0.749 0.472  0.749 0.613  0.749 0.754  0.749 0.895  0.749 1.037  0.749 1.178  0.749 1.319  0.749 1.460  0.749 1.495  0.846 1.451
1b#apa#apa19#app1979/E  -0.587 1.052  -0.587 1.107  -0.587 0.922  -0.587 0.736  -0.587 0.551  -0.587 0.365  -0.587 0.180  -0.587 -0.006  -0.587 -0.192  -0.587 -0.377  -0.587 -0.563  -0.587 -0.748  -0.544 -0.916  -0.467 -1.070  -0.325 -1.113  -0.227 -1.200  -0.074 -1.233  0.112 -1.233  0.289 -1.182  0.465 -1.123  0.649 -1.113  0.834 -1.113  1.007 -1.082  1.053 -0.953  0.914 -0.830  0.775 -0.707  0.637 -0.584  0.498 -0.460  0.359 -0.337  0.221 -0.214  0.082 -0.090  -0.081 -0.030  -0.066 0.090  0.119 0.090  0.305 0.090  0.490 0.090  0.573 0.133  0.442 0.264  0.310 0.395  0.179 0.526  0.048 0.658  -0.083 0.789  -0.214 0.920  -0.346 1.051  -0.467 1.187  -0.411 1.349  -0.252 1.413  -0.078 1.441  0.069 1.534  0.255 1.534
