2#app#app08#app0802/j  -0.096 1.073  -0.077 0.954  -0.036 0.858  0.002 0.737  0.024 0.608  0.083 0.495  0.125 0.376  0.180 0.261  0.202 0.133  0.262 0.020  0.322 -0.092  0.393 -0.202  0.441 -0.328  0.463 -0.460  0.500 -0.589  0.500 -0.726  0.500 -0.863  0.441 -0.976  0.412 -1.101  0.357 -1.216  0.302 -1.330  0.187 -1.385  0.069 -1.430  -0.069 -1.430  -0.191 -1.394  -0.273 -1.326  -0.268 -1.189  -0.263 -1.052  -0.257 -0.915  -0.252 -0.777  -0.247 -0.640  -0.242 -0.503  -0.237 -0.366  -0.232 -0.229  -0.227 -0.091  -0.222 0.046  -0.217 0.183  -0.212 0.320  -0.207 0.458  -0.202 0.595  -0.196 0.732  -0.191 0.869  -0.186 1.006  -0.181 1.144  -0.176 1.281  -0.171 1.418  -0.166 1.555  -0.161 1.693  -0.156 1.830  -0.155 1.967
2#app#app08#app0802/d  0.520 -0.232  0.453 -0.043  0.277 0.030  0.197 0.214  -0.003 0.255  -0.217 0.248  -0.387 0.133  -0.559 0.027  -0.748 -0.040  -0.902 -0.194  -0.940 -0.395  -1.001 -0.597  -1.061 -0.800  -1.061 -1.017  -0.940 -1.112  -0.816 -1.205  -0.599 -1.205  -0.382 -1.205  -0.210 -1.160  -0.088 -1.065  -0.008 -0.881  0.146 -0.728  0.192 -0.524  0.277 -0.327  0.277 -0.110  0.277 0.107  0.337 0.314  0.399 0.521  0.399 0.738  0.399 0.955  0.399 1.172  0.371 1.377  0.277 1.555  0.277 1.772  0.155 1.806  0.155 1.589  0.155 1.373  0.155 1.156  0.155 0.939  0.155 0.722  0.155 0.505  0.222 0.299  0.277 0.091  0.277 -0.126  0.277 -0.343  0.399 -0.510  0.399 -0.726  0.472 -0.913  0.520 -1.110  0.520 -1.327
2#app#app08#app0802/e  -0.838 0.236  -0.698 0.199  -0.624 0.096  -0.480 0.017  -0.328 -0.045  -0.151 -0.045  0.026 -0.045  0.203 -0.045  0.380 -0.045  0.423 0.089  0.563 0.126  0.563 0.303  0.563 0.480  0.563 0.657  0.536 0.823  0.423 0.953  0.369 1.076  0.283 1.167  0.155 1.217  -0.022 1.217  -0.137 1.155  -0.235 1.076  -0.413 1.076  -0.449 0.936  -0.558 0.868  -0.632 0.722  -0.758 0.596  -0.838 0.453  -0.838 0.276  -0.838 0.099  -0.838 -0.078  -0.838 -0.255  -0.838 -0.432  -0.736 -0.567  -0.575 -0.605  -0.538 -0.745  -0.418 -0.802  -0.324 -0.885  -0.147 -0.885  0.022 -0.905  0.149 -1.026  0.326 -1.026  0.503 -1.026  0.680 -1.026  0.857 -1.026  1.034 -1.026  1.186 -0.964  1.330 -0.885  1.404 -0.782  1.544 -0.745
2#app#app08#app0802/n  -0.978 1.070  -0.978 0.908  -0.978 0.745  -0.978 0.583  -0.978 0.420  -0.851 0.385  -0.841 0.232  -0.841 0.070  -0.841 -0.093  -0.800 -0.245  -0.727 -0.391  -0.705 -0.548  -0.705 -0.710  -0.590 -0.825  -0.568 -0.978  -0.548 -1.121  -0.431 -1.076  -0.431 -0.913  -0.431 -0.751  -0.431 -0.588  -0.423 -0.429  -0.308 -0.314  -0.294 -0.158  -0.294 0.005  -0.254 0.151  -0.157 0.273  -0.157 0.435  -0.081 0.522  -0.020 0.623  -0.020 0.786  0.117 0.811  0.158 0.933  0.320 0.933  0.456 0.868  0.589 0.796  0.665 0.710  0.777 0.659  0.802 0.522  0.939 0.497  0.962 0.340  1.034 0.194  1.076 0.042  1.076 -0.121  1.076 -0.283  1.076 -0.446  1.076 -0.608  1.076 -0.771  1.076 -0.933  1.076 -1.096  1.213 -1.121
2#app#app08#app0802/b  -0.955 1.459  -0.895 1.562  -0.853 1.441  -0.853 1.278  -0.853 1.115  -0.853 0.952  -0.853 0.789  -0.771 0.660  -0.750 0.506  -0.750 0.343  -0.750 0.180  -0.673 0.049  -0.647 -0.103  -0.647 -0.266  -0.617 -0.417  -0.545 -0.550  -0.545 -0.675  -0.489 -0.536  -0.442 -0.392  -0.404 -0.245  -0.340 -0.109  -0.246 0.015  -0.203 0.161  -0.135 0.295  -0.021 0.388  0.113 0.477  0.251 0.536  0.414 0.536  0.577 0.536  0.638 0.434  0.767 0.353  0.912 0.310  1.027 0.195  1.096 0.060  1.120 -0.079  1.198 -0.163  1.198 -0.326  1.096 -0.387  1.096 -0.550  1.010 -0.677  0.895 -0.792  0.776 -0.899  0.613 -0.899  0.489 -0.993  0.330 -1.002  0.167 -1.002  0.004 -1.002  -0.122 -0.912  -0.237 -0.857  -0.340 -0.797
2#app#app08#app0802/y  -1.042 1.130  -0.988 1.170  -0.934 1.022  -0.855 0.886  -0.743 0.814  -0.668 0.662  -0.614 0.515  -0.494 0.395  -0.480 0.231  -0.387 0.100  -0.310 0.008  -0.251 -0.128  -0.131 -0.248  -0.066 -0.367  0.010 -0.460  0.086 -0.554  0.206 -0.479  0.272 -0.322  0.338 -0.166  0.403 -0.010  0.469 0.146  0.535 0.303  0.601 0.459  0.667 0.615  0.732 0.772  0.798 0.928  0.864 1.084  0.923 1.205  0.856 1.063  0.736 0.943  0.642 0.813  0.592 0.655  0.497 0.517  0.406 0.376  0.361 0.217  0.273 0.077  0.172 -0.059  0.081 -0.198  0.080 -0.367  -0.030 -0.494  -0.106 -0.646  -0.181 -0.798  -0.291 -0.925  -0.293 -1.094  -0.387 -1.225  -0.428 -1.384  -0.480 -1.542  -0.480 -1.711  -0.480 -1.881  -0.480 -2.050
2#app#app08#app0802/q  0.512 1.019  0.473 1.144  0.352 1.193  0.211 1.193  0.069 1.193  -0.072 1.193  -0.201 1.140  -0.328 1.077  -0.455 1.019  -0.578 0.973  -0.678 0.873  -0.793 0.830  -0.824 0.696  -0.880 0.567  -0.880 0.426  -0.852 0.296  -0.752 0.196  -0.652 0.096  -0.552 -0.004  -0.452 -0.104  -0.314 -0.112  -0.173 -0.112  -0.031 -0.112  0.110 -0.112  0.251 -0.112  0.351 -0.012  0.451 0.088  0.512 0.205  0.512 0.346  0.434 0.410  0.380 0.497  0.329 0.401  0.251 0.292  0.251 0.150  0.251 0.009  0.251 -0.132  0.251 -0.274  0.251 -0.415  0.251 -0.557  0.251 -0.698  0.251 -0.840  0.251 -0.981  0.251 -1.122  0.251 -1.264  0.251 -1.405  0.251 -1.547  0.251 -1.688  0.251 -1.830  0.251 -1.971  0.251 -2.112
2#app#app08#app0802/u  -0.926 1.266  -0.934 1.132  -1.060 1.115  -1.060 0.973  -1.083 0.841  -1.183 0.740  -1.194 0.603  -1.194 0.461  -1.194 0.319  -1.186 0.178  -1.123 0.051  -1.059 -0.075  -0.958 -0.176  -0.926 -0.305  -0.852 -0.416  -0.751 -0.517  -0.648 -0.610  -0.511 -0.623  -0.411 -0.723  -0.277 -0.744  -0.135 -0.744  0.007 -0.744  0.149 -0.744  0.288 -0.736  0.388 -0.635  0.520 -0.610  0.548 -0.496  0.548 -0.354  0.548 -0.212  0.645 -0.110  0.682 0.017  0.682 0.159  0.682 0.301  0.682 0.443  0.682 0.585  0.682 0.727  0.682 0.858  0.682 0.716  0.682 0.574  0.682 0.432  0.682 0.290  0.714 0.161  0.815 0.061  0.816 -0.081  0.816 -0.223  0.816 -0.365  0.816 -0.507  0.843 -0.638  0.944 -0.738  0.950 -0.878
2#app#app08#app0802/i  -0.025 -0.054  -0.025 -0.156  -0.025 -0.258  -0.025 -0.360  -0.038 -0.457  -0.110 -0.530  -0.123 -0.627  -0.123 -0.729  -0.123 -0.831  -0.025 -0.836  -0.025 -0.938  -0.025 -1.040  -0.025 -1.143  -0.025 -1.245  -0.009 -1.341  0.063 -1.413  0.070 -1.334  0.067 -1.231  0.063 -1.129  0.060 -1.027  0.057 -0.925  0.053 -0.823  0.050 -0.720  0.047 -0.618  0.044 -0.516  0.040 -0.414  0.037 -0.311  0.034 -0.209  0.030 -0.107  0.027 -0.005  0.024 0.098  0.020 0.200  0.017 0.302  0.014 0.404  0.011 0.507  0.007 0.609  0.004 0.711  0.001 0.813  -0.003 0.916  -0.006 1.018  -0.009 1.120  -0.013 1.222  -0.016 1.324  -0.019 1.427  -0.022 1.529  -0.025 1.631  -0.025 1.733  -0.025 1.836  0.000 1.928  0.073 2.000
2#app#app08#app0802/e  -0.910 0.054  -0.746 0.054  -0.581 0.054  -0.417 0.054  -0.348 -0.042  -0.228 -0.087  -0.064 -0.087  0.101 -0.087  0.266 -0.087  0.430 -0.087  0.565 -0.016  0.701 0.054  0.776 0.143  0.776 0.308  0.776 0.473  0.776 0.637  0.776 0.802  0.707 0.897  0.635 0.990  0.553 1.120  0.412 1.178  0.247 1.178  0.083 1.178  -0.082 1.178  -0.235 1.151  -0.351 1.034  -0.468 0.918  -0.584 0.802  -0.701 0.685  -0.770 0.549  -0.770 0.385  -0.770 0.220  -0.770 0.056  -0.770 -0.109  -0.770 -0.273  -0.770 -0.438  -0.703 -0.575  -0.587 -0.691  -0.471 -0.808  -0.354 -0.924  -0.238 -1.040  -0.099 -1.125  0.049 -1.199  0.210 -1.211  0.375 -1.211  0.539 -1.211  0.704 -1.211  0.868 -1.211  1.033 -1.211  1.198 -1.211
2#app#app08#app0802/t  0.036 2.039  0.036 1.865  0.036 1.690  0.036 1.516  0.036 1.341  0.036 1.167  0.036 0.993  0.036 0.818  0.036 0.644  0.036 0.469  0.036 0.295  0.036 0.121  0.036 -0.054  0.036 -0.228  0.036 -0.403  0.036 -0.577  0.158 -0.701  0.167 -0.872  0.167 -1.046  0.167 -1.220  0.188 -1.386  0.298 -1.515  0.264 -1.575  0.167 -1.430  0.070 -1.285  -0.027 -1.140  -0.123 -0.995  -0.220 -0.850  -0.317 -0.704  -0.414 -0.559  -0.510 -0.414  -0.607 -0.269  -0.704 -0.124  -0.801 0.021  -0.897 0.166  -0.994 0.311  -0.867 0.337  -0.693 0.337  -0.519 0.337  -0.344 0.337  -0.170 0.337  0.005 0.337  0.179 0.337  0.337 0.298  0.474 0.206  0.648 0.206  0.822 0.206  0.997 0.206  1.171 0.206  1.346 0.206
2#app#app08#app0802/z  -0.075 1.044  0.001 1.121  0.093 1.159  0.201 1.159  0.309 1.159  0.416 1.159  0.524 1.159  0.632 1.159  0.740 1.159  0.843 1.155  0.843 1.047  0.768 0.970  0.692 0.894  0.616 0.817  0.613 0.711  0.526 0.657  0.430 0.608  0.344 0.546  0.268 0.469  0.192 0.393  0.115 0.317  0.039 0.241  -0.037 0.165  -0.129 0.127  -0.223 0.093  -0.299 0.017  -0.375 -0.059  -0.419 -0.149  -0.447 -0.245  -0.523 -0.321  -0.626 -0.332  -0.649 -0.418  -0.684 -0.517  -0.732 -0.613  -0.763 -0.714  -0.763 -0.822  -0.740 -0.906  -0.649 -0.922  -0.642 -1.027  -0.566 -1.104  -0.471 -1.136  -0.364 -1.136  -0.256 -1.136  -0.148 -1.136  -0.040 -1.136  0.068 -1.136  0.175 -1.136  0.283 -1.136  0.391 -1.136  0.499 -1.136
2#app#app08#app0802/e  -0.431 0.123  -0.431 -0.021  -0.313 -0.047  -0.196 -0.113  -0.094 -0.215  0.050 -0.217  0.194 -0.217  0.338 -0.217  0.476 -0.188  0.605 -0.123  0.734 -0.059  0.876 -0.047  0.928 0.045  0.994 0.123  1.098 0.164  1.098 0.308  1.098 0.453  1.098 0.597  1.098 0.741  1.040 0.861  0.938 0.963  0.797 0.973  0.653 0.973  0.508 0.973  0.364 0.973  0.220 0.973  0.076 0.971  -0.026 0.869  -0.128 0.767  -0.230 0.665  -0.332 0.563  -0.434 0.461  -0.536 0.359  -0.625 0.247  -0.689 0.118  -0.754 -0.011  -0.845 -0.121  -0.941 -0.225  -0.941 -0.370  -0.941 -0.514  -0.941 -0.658  -0.887 -0.780  -0.785 -0.882  -0.771 -1.021  -0.701 -1.136  -0.601 -1.239  -0.601 -1.384  -0.480 -1.406  -0.364 -1.474  -0.262 -1.576
2#app#app08#app0802/a  0.360 0.703  0.239 0.825  0.210 0.986  0.056 1.003  -0.116 1.003  -0.274 0.969  -0.399 0.853  -0.562 0.832  -0.684 0.710  -0.806 0.588  -0.927 0.466  -1.049 0.344  -1.171 0.223  -1.291 0.100  -1.291 -0.072  -1.291 -0.245  -1.291 -0.417  -1.226 -0.562  -1.104 -0.684  -0.979 -0.798  -0.807 -0.798  -0.635 -0.798  -0.462 -0.798  -0.290 -0.798  -0.154 -0.711  -0.090 -0.565  0.014 -0.498  0.187 -0.498  0.210 -0.349  0.331 -0.227  0.360 -0.066  0.362 0.105  0.484 0.227  0.510 0.388  0.505 0.558  0.383 0.680  0.360 0.564  0.360 0.392  0.394 0.253  0.510 0.197  0.554 0.038  0.649 -0.105  0.745 -0.249  0.864 -0.347  1.036 -0.347  1.180 -0.417  1.302 -0.538  1.429 -0.648  1.589 -0.676  1.711 -0.798
2#app#app08#app0802/l  -0.010 1.699  -0.010 1.627  -0.010 1.556  -0.010 1.484  -0.010 1.413  -0.014 1.342  -0.046 1.278  -0.078 1.214  -0.110 1.150  -0.126 1.083  -0.126 1.011  -0.126 0.940  -0.126 0.868  -0.126 0.796  -0.126 0.725  -0.126 0.653  -0.126 0.582  -0.126 0.510  -0.126 0.439  -0.126 0.367  -0.126 0.296  -0.126 0.224  -0.126 0.153  -0.126 0.081  -0.126 0.010  -0.126 -0.062  -0.126 -0.133  -0.108 -0.200  -0.076 -0.264  -0.044 -0.328  -0.012 -0.392  -0.010 -0.463  0.000 -0.532  0.032 -0.596  0.064 -0.660  0.096 -0.724  0.106 -0.794  0.106 -0.865  0.106 -0.937  0.128 -0.999  0.179 -1.050  0.223 -1.103  0.223 -1.174  0.223 -1.246  0.223 -1.317  0.223 -1.389  0.223 -1.461  0.223 -1.532  0.223 -1.604  0.223 -1.675
