2#app#app18#app1818/k  -0.536 0.969  -0.536 1.221  -0.703 1.300  -0.703 1.047  -0.703 0.795  -0.639 0.570  -0.536 0.360  -0.536 0.108  -0.536 -0.145  -0.536 -0.397  -0.536 -0.649  -0.536 -0.902  -0.419 -1.037  -0.369 -1.239  -0.369 -1.491  -0.331 -1.706  -0.202 -1.582  -0.202 -1.330  -0.202 -1.078  -0.202 -0.826  -0.202 -0.573  -0.249 -0.368  -0.369 -0.236  -0.151 -0.201  0.061 -0.297  0.284 -0.368  0.369 -0.536  0.467 -0.690  0.706 -0.703  0.801 -0.861  0.769 -0.629  0.735 -0.379  0.702 -0.129  0.669 0.121  0.635 0.371  0.602 0.621  0.569 0.871  0.535 1.121  0.502 1.371  0.469 1.621  0.397 1.470  0.299 1.315  0.299 1.063  0.142 0.969  0.132 0.726  0.132 0.473  0.132 0.221  -0.032 0.133  -0.035 -0.116  -0.035 -0.368
2#app#app18#app1818/e  -0.954 0.076  -1.142 0.076  -1.303 0.076  -1.115 0.076  -0.927 0.076  -0.740 0.076  -0.552 0.076  -0.365 0.076  -0.177 0.076  0.011 0.076  0.198 0.076  0.386 0.076  0.574 0.076  0.761 0.076  0.854 0.171  0.854 0.359  0.854 0.546  0.854 0.734  0.854 0.921  0.854 1.109  0.719 1.162  0.532 1.162  0.344 1.162  0.156 1.162  0.131 1.000  0.131 0.812  -0.045 0.800  -0.231 0.798  -0.231 0.611  -0.246 0.438  -0.433 0.438  -0.593 0.410  -0.593 0.222  -0.593 0.035  -0.593 -0.153  -0.593 -0.341  -0.593 -0.528  -0.593 -0.716  -0.593 -0.903  -0.510 -1.009  -0.323 -1.009  -0.135 -1.009  0.053 -1.009  0.240 -1.009  0.428 -1.009  0.579 -1.096  0.712 -1.228  0.845 -1.361  1.028 -1.370  1.216 -1.370
2#app#app18#app1818/w  -1.354 0.347  -1.354 0.518  -1.354 0.575  -1.354 0.403  -1.239 0.347  -1.068 0.346  -1.068 0.174  -1.068 0.003  -1.068 -0.169  -1.068 -0.341  -1.067 -0.512  -0.895 -0.512  -0.782 -0.570  -0.782 -0.742  -0.666 -0.798  -0.494 -0.798  -0.323 -0.798  -0.209 -0.739  -0.209 -0.568  -0.209 -0.396  -0.209 -0.224  -0.209 -0.052  -0.209 0.119  -0.209 0.291  -0.127 0.429  -0.006 0.550  0.077 0.577  0.077 0.406  0.077 0.234  0.077 0.062  0.247 0.060  0.363 0.005  0.363 -0.167  0.476 -0.226  0.648 -0.226  0.649 -0.396  0.705 -0.512  0.877 -0.512  0.935 -0.398  0.935 -0.227  1.106 -0.226  1.221 -0.169  1.221 0.003  1.221 0.174  1.221 0.346  1.221 0.518  1.221 0.690  1.221 0.861  1.221 1.033  1.221 1.205
2#app#app18#app1818/i  0.289 1.816  0.289 1.717  0.289 1.619  0.289 1.521  0.289 1.423  0.289 1.324  0.289 1.226  0.289 1.128  0.289 1.030  0.289 0.931  0.289 0.833  0.289 0.735  0.289 0.637  0.289 0.538  0.289 0.440  0.191 0.440  0.092 0.440  -0.006 0.440  -0.104 0.440  -0.202 0.440  -0.301 0.440  -0.399 0.440  -0.399 0.342  -0.399 0.244  -0.399 0.145  -0.399 0.047  -0.399 -0.051  -0.399 -0.149  -0.399 -0.248  -0.399 -0.346  -0.399 -0.444  -0.399 -0.542  -0.399 -0.641  -0.399 -0.739  -0.399 -0.837  -0.399 -0.935  -0.301 -0.935  -0.202 -0.935  -0.104 -0.935  -0.006 -0.935  0.092 -0.935  0.191 -0.935  0.289 -0.935  0.289 -1.034  0.289 -1.132  0.289 -1.230  0.289 -1.328  0.289 -1.427  0.289 -1.525  0.289 -1.623
2#app#app18#app1818/t  0.157 1.395  0.157 1.205  0.157 1.014  0.157 0.824  0.157 0.633  0.157 0.443  0.157 0.252  0.157 0.062  0.157 -0.129  0.157 -0.319  0.157 -0.510  0.157 -0.700  0.157 -0.891  0.157 -1.081  0.157 -1.271  0.157 -1.462  0.266 -1.544  0.456 -1.544  0.449 -1.449  0.330 -1.300  0.211 -1.151  0.092 -1.003  -0.027 -0.854  -0.146 -0.705  -0.265 -0.556  -0.384 -0.408  -0.503 -0.259  -0.622 -0.110  -0.741 0.038  -0.860 0.187  -1.000 0.293  -1.190 0.293  -1.244 0.293  -1.053 0.293  -0.863 0.293  -0.672 0.293  -0.577 0.389  -0.577 0.579  -0.468 0.660  -0.278 0.660  -0.087 0.660  0.103 0.660  0.294 0.660  0.484 0.660  0.675 0.660  0.865 0.660  1.056 0.660  1.246 0.660  1.260 0.837  1.260 1.028
2#app#app18#app1818/h  -0.482 1.217  -0.482 1.050  -0.482 0.991  -0.482 1.159  -0.482 1.109  -0.482 0.941  -0.645 0.937  -0.762 0.887  -0.762 0.719  -0.762 0.552  -0.762 0.384  -0.762 0.217  -0.762 0.049  -0.762 -0.118  -0.762 -0.286  -0.762 -0.454  -0.762 -0.621  -0.762 -0.789  -0.762 -0.956  -0.667 -1.029  -0.500 -1.029  -0.482 -0.879  -0.456 -0.722  -0.337 -0.604  -0.219 -0.485  -0.201 -0.325  -0.201 -0.158  -0.201 0.010  -0.142 0.153  -0.024 0.272  0.080 0.396  0.080 0.564  0.155 0.656  0.323 0.656  0.452 0.564  0.571 0.446  0.641 0.307  0.641 0.140  0.764 0.094  0.922 0.085  0.922 -0.082  0.986 -0.186  1.153 -0.186  1.203 -0.304  1.203 -0.472  1.203 -0.639  1.203 -0.807  1.203 -0.974  1.203 -1.142  1.203 -1.309
2#app#app18#app1818/f  0.070 -1.553  0.070 -1.779  -0.131 -1.804  -0.182 -1.628  -0.333 -1.553  -0.433 -1.427  -0.433 -1.201  -0.433 -0.974  -0.433 -0.748  -0.433 -0.521  -0.433 -0.295  -0.433 -0.068  -0.433 0.158  -0.433 0.385  -0.433 0.611  -0.308 0.712  -0.111 0.783  0.049 0.943  0.267 0.964  0.443 1.086  0.616 1.216  0.825 1.199  0.825 0.972  0.825 0.746  1.018 0.712  0.923 0.644  0.716 0.552  0.509 0.460  0.302 0.368  0.095 0.276  -0.112 0.184  -0.319 0.092  -0.526 0.000  -0.732 -0.092  -0.939 -0.184  -1.146 -0.275  -1.189 -0.114  -1.033 -0.043  -0.807 -0.043  -0.580 -0.043  -0.354 -0.043  -0.128 -0.043  0.099 -0.043  0.324 -0.040  0.484 0.120  0.674 0.209  0.901 0.209  1.077 0.260  1.077 0.436  1.077 0.209
2#app#app18#app1818/r  -0.700 0.438  -0.700 0.298  -0.700 0.158  -0.700 0.018  -0.700 -0.122  -0.671 -0.250  -0.572 -0.349  -0.472 -0.448  -0.373 -0.547  -0.370 -0.686  -0.370 -0.826  -0.370 -0.966  -0.370 -1.106  -0.370 -1.246  -0.370 -1.386  -0.370 -1.526  -0.370 -1.411  -0.370 -1.271  -0.370 -1.131  -0.370 -0.991  -0.370 -0.851  -0.370 -0.711  -0.370 -0.571  -0.370 -0.431  -0.370 -0.291  -0.370 -0.151  -0.370 -0.011  -0.356 0.123  -0.257 0.222  -0.158 0.321  -0.059 0.420  -0.041 0.553  -0.041 0.693  0.025 0.768  0.165 0.768  0.305 0.768  0.445 0.768  0.585 0.768  0.618 0.874  0.618 1.015  0.676 1.097  0.816 1.097  0.948 1.089  0.948 0.949  0.948 0.809  1.047 0.768  1.187 0.768  1.277 0.718  1.277 0.578  1.277 0.438
2#app#app18#app1818/a  -0.106 -0.000  -0.106 0.220  -0.106 0.440  -0.106 0.660  -0.106 0.880  -0.309 0.897  -0.529 0.897  -0.704 0.851  -0.704 0.631  -0.891 0.598  -1.079 0.521  -1.235 0.366  -1.302 0.173  -1.302 -0.047  -1.302 -0.267  -1.302 -0.487  -1.193 -0.598  -0.981 -0.619  -0.826 -0.775  -0.670 -0.864  -0.515 -0.708  -0.359 -0.552  -0.203 -0.397  -0.106 -0.217  -0.102 -0.000  0.118 -0.000  0.193 0.144  0.193 0.364  0.193 0.584  0.193 0.805  0.321 0.897  0.492 0.848  0.492 0.628  0.302 0.598  0.193 0.487  0.193 0.266  0.193 0.046  0.367 -0.000  0.492 -0.095  0.492 -0.315  0.492 -0.535  0.603 -0.709  0.759 -0.865  0.966 -0.897  1.186 -0.897  1.389 -0.881  1.389 -0.660  1.547 -0.598  1.688 -0.519  1.688 -0.299
2#app#app18#app1818/n  -1.054 -0.898  -1.054 -0.737  -1.107 -0.628  -1.268 -0.628  -1.324 -0.524  -1.324 -0.363  -1.213 -0.248  -1.100 -0.134  -1.054 0.008  -1.054 0.169  -1.054 0.330  -1.014 0.451  -0.853 0.451  -0.785 0.543  -0.785 0.704  -0.640 0.720  -0.515 0.684  -0.515 0.523  -0.427 0.451  -0.266 0.451  -0.246 0.310  -0.223 0.158  -0.109 0.045  0.005 -0.069  0.024 -0.222  0.049 -0.358  0.210 -0.358  0.294 -0.435  0.294 -0.596  0.423 -0.628  0.563 -0.648  0.563 -0.809  0.563 -0.825  0.563 -0.664  0.688 -0.628  0.833 -0.612  0.833 -0.451  0.833 -0.290  0.833 -0.129  0.833 0.032  0.841 0.189  0.955 0.303  1.069 0.417  1.103 0.564  1.103 0.725  1.103 0.885  1.103 0.933  1.103 0.772  1.103 0.612  1.103 0.451
2#app#app18#app1818/t  0.423 0.750  0.423 0.954  0.423 1.158  0.423 1.363  0.423 1.567  0.423 1.536  0.423 1.332  0.423 1.128  0.295 1.051  0.122 1.020  0.122 0.816  0.122 0.612  0.122 0.408  0.122 0.204  0.122 -0.000  0.122 -0.205  0.122 -0.409  0.122 -0.613  0.122 -0.817  0.122 -1.021  0.122 -1.225  0.122 -1.429  0.122 -1.634  0.301 -1.659  0.370 -1.595  0.239 -1.439  0.109 -1.282  -0.022 -1.125  -0.153 -0.968  -0.283 -0.811  -0.414 -0.654  -0.545 -0.498  -0.675 -0.341  -0.806 -0.184  -0.937 -0.027  -1.068 0.130  -0.902 0.148  -0.782 0.232  -0.782 0.436  -0.782 0.258  -0.688 0.148  -0.484 0.148  -0.279 0.148  -0.075 0.148  0.127 0.153  0.271 0.297  0.416 0.442  0.617 0.449  0.821 0.449  1.025 0.449
2#app#app18#app1818/i  -0.083 1.127  -0.083 1.025  -0.083 0.922  -0.083 0.819  -0.083 0.819  -0.083 0.922  -0.083 1.025  -0.083 1.127  -0.083 1.230  -0.083 1.332  -0.083 1.435  -0.083 1.435  -0.083 1.332  -0.083 1.230  -0.083 1.127  -0.083 1.025  -0.083 0.922  -0.083 0.819  -0.083 0.717  -0.083 0.614  -0.083 0.512  -0.083 0.409  -0.083 0.307  -0.083 0.204  -0.083 0.102  -0.083 -0.001  -0.083 -0.104  -0.083 -0.206  -0.083 -0.309  -0.083 -0.411  -0.083 -0.514  -0.083 -0.616  -0.083 -0.719  -0.083 -0.821  -0.083 -0.924  -0.083 -1.027  -0.083 -1.129  -0.083 -1.232  -0.083 -1.334  -0.032 -1.386  0.071 -1.386  0.173 -1.386  0.276 -1.386  0.276 -1.283  0.276 -1.180  0.276 -1.078  0.327 -1.027  0.430 -1.027  0.532 -1.027  0.635 -1.027
2#app#app18#app1818/c  0.612 0.574  0.481 0.574  0.385 0.574  0.516 0.574  0.612 0.609  0.612 0.740  0.612 0.871  0.612 1.002  0.543 1.064  0.412 1.064  0.280 1.064  0.149 1.064  0.049 0.990  -0.044 0.897  -0.143 0.819  -0.274 0.819  -0.367 0.781  -0.367 0.650  -0.423 0.574  -0.554 0.574  -0.612 0.501  -0.612 0.370  -0.702 0.329  -0.833 0.329  -0.857 0.221  -0.857 0.090  -0.857 -0.041  -0.857 -0.172  -0.857 -0.303  -0.857 -0.434  -0.857 -0.566  -0.824 -0.683  -0.732 -0.776  -0.639 -0.869  -0.519 -0.895  -0.388 -0.895  -0.257 -0.895  -0.125 -0.895  0.006 -0.895  0.137 -0.895  0.268 -0.895  0.399 -0.895  0.530 -0.895  0.662 -0.895  0.793 -0.895  0.924 -0.895  1.055 -0.895  1.162 -0.836  1.254 -0.743  1.347 -0.651
