2#tos#f2#f2038066/%  0.712 1.521  0.557 1.522  0.505 1.285  0.423 1.046  0.320 0.811  0.159 0.610  0.084 0.365  -0.012 0.125  -0.194 -0.058  -0.323 -0.275  -0.335 -0.531  -0.483 -0.725  -0.570 -0.954  -0.632 -1.152  -0.609 -0.895  -0.586 -0.637  -0.562 -0.380  -0.539 -0.123  -0.515 0.134  -0.492 0.392  -0.570 0.472  -0.780 0.322  -0.989 0.212  -1.200 0.123  -1.307 0.305  -1.253 0.540  -1.100 0.735  -0.903 0.796  -0.644 0.796  -0.386 0.796  -0.323 0.557  -0.323 0.299  -0.406 0.123  -0.298 -0.016  -0.049 -0.085  0.200 -0.154  0.449 -0.224  0.698 -0.293  0.947 -0.362  1.196 -0.431  1.437 -0.506  1.226 -0.592  1.137 -0.807  0.935 -0.912  0.677 -0.912  0.671 -0.672  0.776 -0.440  1.024 -0.394  1.126 -0.550  1.126 -0.809
2#tos#f2#f2038066/|  0.111 1.676  0.050 1.635  -0.011 1.595  -0.034 1.533  -0.034 1.460  -0.034 1.386  -0.034 1.312  -0.034 1.239  -0.034 1.165  -0.034 1.092  -0.034 1.018  -0.034 0.944  -0.034 0.871  -0.034 0.797  -0.034 0.723  -0.034 0.650  -0.034 0.576  -0.034 0.502  -0.034 0.429  -0.034 0.355  -0.034 0.282  -0.034 0.208  -0.034 0.134  -0.034 0.061  -0.034 -0.013  -0.028 -0.085  0.003 -0.152  0.033 -0.219  0.064 -0.286  0.094 -0.353  0.125 -0.420  0.155 -0.487  0.186 -0.554  0.195 -0.618  0.152 -0.675  0.129 -0.745  0.097 -0.808  0.036 -0.849  -0.025 -0.890  -0.034 -0.959  -0.034 -1.033  -0.034 -1.106  -0.053 -1.176  -0.083 -1.242  -0.083 -1.316  -0.083 -1.389  -0.083 -1.463  -0.057 -1.530  -0.034 -1.599  -0.034 -1.672
2#tos#f2#f2038066/0  0.375 0.910  0.257 0.937  0.204 1.028  0.118 1.087  -0.026 1.087  -0.137 1.000  -0.257 0.920  -0.373 0.841  -0.513 0.806  -0.566 0.703  -0.630 0.578  -0.684 0.450  -0.695 0.311  -0.777 0.194  -0.841 0.065  -0.860 -0.075  -0.860 -0.219  -0.860 -0.363  -0.860 -0.507  -0.860 -0.652  -0.860 -0.796  -0.783 -0.892  -0.684 -0.987  -0.643 -1.102  -0.506 -1.148  -0.362 -1.148  -0.218 -1.148  -0.074 -1.148  0.065 -1.126  0.195 -1.062  0.324 -0.997  0.435 -0.909  0.480 -0.772  0.593 -0.703  0.727 -0.649  0.805 -0.544  0.840 -0.404  0.845 -0.260  0.845 -0.116  0.845 0.028  0.845 0.173  0.845 0.317  0.826 0.449  0.712 0.529  0.648 0.658  0.568 0.776  0.551 0.913  0.463 0.969  0.318 0.969  0.198 1.028
2#tos#f2#f2038066/1  -0.217 0.760  -0.217 0.657  -0.235 0.559  -0.292 0.473  -0.308 0.409  -0.244 0.473  -0.187 0.557  -0.114 0.629  -0.089 0.724  -0.043 0.817  0.016 0.895  0.045 0.992  0.075 1.088  0.075 1.191  0.122 1.274  0.187 1.344  0.133 1.295  0.133 1.192  0.133 1.089  0.133 0.986  0.133 0.883  0.133 0.780  0.133 0.677  0.133 0.573  0.133 0.470  0.133 0.367  0.133 0.264  0.133 0.161  0.133 0.058  0.133 -0.045  0.133 -0.148  0.125 -0.249  0.079 -0.342  0.033 -0.434  -0.004 -0.530  -0.037 -0.627  -0.042 -0.730  -0.042 -0.833  -0.042 -0.936  -0.042 -1.039  -0.042 -1.142  -0.042 -1.245  -0.042 -1.348  -0.042 -1.451  -0.042 -1.554  -0.042 -1.658  -0.047 -1.759  -0.101 -1.839  -0.101 -1.915  -0.101 -1.812
2#tos#f2#f2038066/5  0.643 1.701  0.515 1.645  0.392 1.588  0.281 1.529  0.224 1.383  0.109 1.268  0.042 1.133  0.010 0.974  -0.028 0.820  -0.108 0.682  -0.108 0.519  -0.108 0.357  -0.069 0.210  -0.058 0.052  -0.008 -0.099  0.083 -0.212  0.142 -0.343  0.194 -0.469  0.292 -0.560  0.307 -0.717  0.392 -0.844  0.388 -1.002  0.312 -1.112  0.195 -1.200  0.054 -1.253  -0.109 -1.253  -0.271 -1.253  -0.433 -1.248  -0.593 -1.216  -0.754 -1.202  -0.800 -1.062  -0.859 -0.924  -0.909 -0.812  -0.822 -0.676  -0.730 -0.543  -0.637 -0.409  -0.545 -0.275  -0.452 -0.142  -0.360 -0.008  -0.267 0.126  -0.175 0.259  -0.082 0.393  0.025 0.500  0.187 0.500  0.350 0.500  0.512 0.500  0.675 0.500  0.834 0.516  0.985 0.577  1.143 0.600
2#tos#f2#f2038066/6  0.676 1.915  0.624 1.821  0.524 1.721  0.431 1.616  0.346 1.504  0.250 1.402  0.202 1.270  0.118 1.157  0.037 1.042  -0.038 0.923  -0.111 0.802  -0.187 0.684  -0.265 0.567  -0.340 0.448  -0.413 0.327  -0.445 0.192  -0.468 0.053  -0.566 -0.048  -0.638 -0.159  -0.638 -0.299  -0.638 -0.440  -0.650 -0.579  -0.681 -0.715  -0.681 -0.856  -0.672 -0.995  -0.622 -1.127  -0.514 -1.179  -0.373 -1.179  -0.233 -1.179  -0.092 -1.179  0.026 -1.137  0.116 -1.032  0.237 -0.959  0.346 -0.873  0.446 -0.773  0.546 -0.674  0.658 -0.589  0.739 -0.481  0.761 -0.344  0.761 -0.203  0.746 -0.077  0.613 -0.046  0.474 -0.035  0.334 -0.035  0.193 -0.035  0.052 -0.035  -0.089 -0.035  -0.230 -0.035  -0.370 -0.035  -0.299 -0.077
2#tos#f2#f2038066/8  0.593 0.609  0.596 0.515  0.690 0.683  0.738 0.832  0.738 1.029  0.610 1.134  0.558 1.285  0.361 1.285  0.163 1.285  -0.034 1.285  -0.202 1.196  -0.370 1.094  -0.563 1.054  -0.696 0.931  -0.773 0.776  -0.808 0.586  -0.741 0.430  -0.646 0.303  -0.489 0.212  -0.340 0.088  -0.161 0.049  -0.026 -0.067  0.153 -0.128  0.315 -0.199  0.396 -0.377  0.522 -0.528  0.545 -0.716  0.545 -0.913  0.519 -1.095  0.364 -1.214  0.187 -1.288  0.015 -1.372  -0.182 -1.372  -0.380 -1.372  -0.566 -1.324  -0.736 -1.234  -0.856 -1.094  -0.856 -0.896  -0.797 -0.721  -0.679 -0.566  -0.532 -0.437  -0.356 -0.346  -0.198 -0.230  -0.058 -0.090  0.113 0.006  0.302 0.058  0.497 0.078  0.655 0.197  0.839 0.260  1.028 0.319
2#tos#f2#f2038066/9  0.073 -0.214  0.233 -0.214  0.346 -0.163  0.477 -0.072  0.557 0.054  0.597 0.204  0.645 0.334  0.772 0.415  0.792 0.569  0.816 0.723  0.816 0.882  0.789 1.027  0.685 1.130  0.597 1.236  0.473 1.271  0.314 1.271  0.155 1.268  0.019 1.187  -0.109 1.094  -0.259 1.039  -0.401 0.968  -0.511 0.854  -0.604 0.725  -0.706 0.604  -0.787 0.467  -0.800 0.311  -0.800 0.152  -0.800 -0.007  -0.772 -0.155  -0.645 -0.248  -0.542 -0.345  -0.382 -0.345  -0.223 -0.345  -0.064 -0.345  0.092 -0.332  0.204 -0.234  0.332 -0.221  0.222 -0.301  0.199 -0.442  0.096 -0.552  0.040 -0.684  -0.040 -0.816  -0.065 -0.971  -0.145 -1.108  -0.189 -1.254  -0.203 -1.407  -0.276 -1.537  -0.320 -1.686  -0.335 -1.829  -0.363 -1.960
2#tos#f2#f2038066/C  0.680 0.615  0.728 0.681  0.728 0.794  0.728 0.907  0.728 1.020  0.683 1.089  0.569 1.089  0.456 1.089  0.358 1.051  0.270 0.988  0.159 0.965  0.055 0.933  -0.008 0.838  -0.103 0.804  -0.216 0.804  -0.298 0.727  -0.378 0.647  -0.470 0.585  -0.572 0.534  -0.668 0.474  -0.742 0.401  -0.742 0.287  -0.793 0.202  -0.884 0.137  -0.884 0.024  -0.884 -0.089  -0.884 -0.203  -0.884 -0.316  -0.861 -0.426  -0.825 -0.530  -0.731 -0.593  -0.663 -0.680  -0.581 -0.752  -0.484 -0.810  -0.383 -0.854  -0.270 -0.854  -0.157 -0.854  -0.043 -0.854  0.070 -0.854  0.183 -0.854  0.296 -0.854  0.410 -0.854  0.523 -0.854  0.636 -0.854  0.749 -0.851  0.861 -0.832  0.972 -0.814  1.081 -0.784  1.189 -0.748  1.296 -0.712
2#tos#f2#f2038066/K  -1.067 1.114  -1.083 1.307  -0.971 1.234  -0.953 1.030  -0.923 0.829  -0.923 0.620  -0.881 0.416  -0.875 0.209  -0.875 0.000  -0.875 -0.209  -0.875 -0.417  -0.875 -0.626  -0.875 -0.834  -0.875 -1.043  -0.763 -1.004  -0.606 -0.866  -0.450 -0.728  -0.293 -0.591  -0.137 -0.453  0.020 -0.315  0.176 -0.177  0.333 -0.039  0.489 0.099  0.646 0.237  0.803 0.375  0.959 0.513  1.116 0.651  1.101 0.796  0.921 0.825  0.753 0.728  0.573 0.633  0.406 0.508  0.281 0.343  0.082 0.287  -0.076 0.152  -0.250 0.037  -0.441 -0.043  -0.537 -0.192  -0.469 -0.332  -0.271 -0.393  -0.071 -0.428  0.138 -0.428  0.347 -0.428  0.555 -0.428  0.764 -0.428  0.961 -0.476  1.164 -0.491  1.358 -0.524  1.567 -0.524  1.776 -0.524
2#tos#f2#f2038066/O  0.019 0.886  -0.131 0.886  -0.223 0.979  -0.354 0.932  -0.475 0.848  -0.558 0.728  -0.632 0.609  -0.713 0.500  -0.818 0.402  -0.831 0.256  -0.898 0.122  -0.911 -0.025  -0.911 -0.175  -0.911 -0.325  -0.911 -0.474  -0.892 -0.612  -0.818 -0.716  -0.775 -0.853  -0.683 -0.970  -0.554 -1.021  -0.414 -1.060  -0.266 -1.067  -0.116 -1.067  0.034 -1.067  0.184 -1.067  0.320 -1.010  0.461 -0.974  0.574 -0.884  0.707 -0.816  0.802 -0.710  0.904 -0.602  0.995 -0.509  1.021 -0.365  1.042 -0.220  1.042 -0.070  1.042 0.080  1.042 0.229  0.961 0.336  0.902 0.454  0.795 0.543  0.705 0.659  0.575 0.732  0.443 0.793  0.313 0.839  0.163 0.839  0.013 0.839  -0.137 0.839  -0.286 0.839  -0.390 0.793  -0.446 0.700
2#tos#f2#f2038066/P  -0.428 0.882  -0.428 0.913  -0.418 0.705  -0.384 0.500  -0.384 0.290  -0.384 0.081  -0.384 -0.129  -0.384 -0.338  -0.354 -0.543  -0.339 -0.750  -0.339 -0.959  -0.310 -1.164  -0.282 -1.368  -0.250 -1.570  -0.261 -1.619  -0.288 -1.411  -0.315 -1.204  -0.342 -0.996  -0.368 -0.788  -0.395 -0.581  -0.422 -0.373  -0.449 -0.165  -0.476 0.042  -0.503 0.250  -0.530 0.458  -0.557 0.666  -0.606 0.830  -0.784 0.862  -0.658 0.971  -0.469 1.060  -0.260 1.060  -0.050 1.060  0.159 1.060  0.369 1.060  0.566 1.000  0.709 0.863  0.880 0.748  1.074 0.696  1.204 0.539  1.303 0.360  1.307 0.151  1.245 -0.043  1.129 -0.210  0.985 -0.275  0.814 -0.368  0.628 -0.437  0.422 -0.453  0.213 -0.453  0.003 -0.453  -0.206 -0.453
2#tos#f2#f2038066/R  -0.365 1.253  -0.365 1.068  -0.318 0.835  -0.272 0.607  -0.272 0.368  -0.272 0.129  -0.272 -0.110  -0.272 -0.349  -0.272 -0.587  -0.272 -0.826  -0.272 -1.065  -0.318 -1.258  -0.344 -1.188  -0.383 -0.952  -0.422 -0.717  -0.462 -0.481  -0.501 -0.246  -0.540 -0.010  -0.579 0.226  -0.619 0.461  -0.658 0.697  -0.693 0.929  -0.874 1.014  -0.782 1.160  -0.543 1.163  -0.315 1.206  -0.076 1.206  0.163 1.206  0.383 1.125  0.565 0.972  0.761 0.854  0.818 0.638  0.932 0.460  0.874 0.280  0.739 0.141  0.600 0.002  0.393 -0.074  0.242 -0.250  0.009 -0.276  -0.171 -0.399  -0.365 -0.451  -0.213 -0.593  -0.046 -0.720  0.138 -0.871  0.369 -0.906  0.594 -0.987  0.813 -1.060  1.034 -1.128  1.257 -1.202  1.442 -1.295
2#tos#f2#f2038066/W  -1.095 0.969  -1.225 0.999  -1.205 0.820  -1.138 0.661  -1.138 0.475  -1.072 0.308  -1.052 0.128  -1.044 -0.058  -0.970 -0.216  -0.922 -0.373  -0.922 -0.560  -0.836 -0.720  -0.823 -0.901  -0.706 -1.014  -0.610 -0.932  -0.534 -0.821  -0.435 -0.691  -0.382 -0.521  -0.334 -0.370  -0.246 -0.222  -0.145 -0.090  -0.145 0.097  -0.058 0.248  -0.058 0.434  0.028 0.585  0.090 0.710  0.115 0.872  0.178 0.756  0.201 0.574  0.210 0.390  0.279 0.217  0.331 0.039  0.331 -0.148  0.334 -0.333  0.418 -0.500  0.460 -0.669  0.547 -0.802  0.690 -0.845  0.849 -0.817  0.849 -0.631  0.957 -0.500  0.984 -0.318  1.065 -0.156  1.065 0.031  1.103 0.206  1.151 0.378  1.195 0.557  1.195 0.744  1.238 0.912  1.238 1.099
2#tos#f2#f2038066/c  0.608 0.607  0.547 0.484  0.488 0.363  0.565 0.424  0.693 0.447  0.731 0.569  0.769 0.668  0.792 0.783  0.730 0.882  0.660 0.973  0.523 0.973  0.385 0.973  0.248 0.973  0.117 0.932  -0.016 0.897  -0.151 0.870  -0.280 0.829  -0.394 0.753  -0.504 0.670  -0.611 0.584  -0.718 0.498  -0.787 0.381  -0.894 0.298  -0.995 0.210  -1.040 0.083  -1.040 -0.055  -1.040 -0.192  -1.040 -0.330  -1.040 -0.467  -0.963 -0.541  -0.920 -0.672  -0.907 -0.798  -0.774 -0.813  -0.659 -0.889  -0.531 -0.920  -0.394 -0.920  -0.256 -0.920  -0.119 -0.920  0.019 -0.920  0.140 -0.866  0.257 -0.798  0.394 -0.798  0.532 -0.798  0.634 -0.711  0.731 -0.614  0.854 -0.553  0.977 -0.491  1.105 -0.440  1.233 -0.389  1.341 -0.309
2#tos#f2#f2038066/d  -0.030 0.234  -0.242 0.207  -0.398 0.133  -0.553 0.234  -0.714 0.180  -0.800 -0.010  -0.894 -0.172  -1.030 -0.303  -1.082 -0.507  -1.171 -0.664  -1.135 -0.844  -0.977 -0.984  -0.806 -1.029  -0.609 -1.010  -0.480 -0.924  -0.295 -0.820  -0.171 -0.644  -0.082 -0.465  -0.013 -0.267  0.093 -0.081  0.202 0.098  0.233 0.301  0.339 0.473  0.339 0.689  0.405 0.893  0.444 1.099  0.444 1.315  0.496 1.509  0.549 1.672  0.473 1.660  0.444 1.451  0.408 1.250  0.255 1.098  0.188 0.897  0.136 0.687  0.027 0.503  0.023 0.289  -0.026 0.085  -0.030 -0.130  -0.030 -0.346  -0.030 -0.562  -0.022 -0.774  0.131 -0.926  0.326 -0.976  0.542 -0.976  0.730 -0.931  0.892 -0.804  1.034 -0.660  1.233 -0.644  1.233 -0.503
2#tos#f2#f2038066/e  -0.240 0.801  -0.396 0.710  -0.530 0.597  -0.662 0.495  -0.703 0.327  -0.638 0.164  -0.514 0.081  -0.343 0.013  -0.164 -0.010  0.021 -0.010  0.196 0.034  0.346 0.138  0.454 0.278  0.577 0.344  0.629 0.507  0.687 0.634  0.687 0.819  0.687 1.004  0.553 1.090  0.369 1.090  0.188 1.072  0.016 1.015  -0.149 0.933  -0.314 0.850  -0.447 0.734  -0.549 0.581  -0.663 0.436  -0.805 0.323  -0.935 0.232  -0.935 0.047  -0.935 -0.138  -0.935 -0.323  -0.935 -0.508  -0.914 -0.688  -0.801 -0.827  -0.630 -0.894  -0.500 -1.024  -0.326 -1.052  -0.141 -1.052  0.044 -1.052  0.228 -1.052  0.413 -1.052  0.556 -0.951  0.727 -0.885  0.911 -0.879  1.044 -0.753  1.203 -0.668  1.364 -0.581  1.534 -0.531  1.671 -0.415
2#tos#f2#f2038066/f  0.700 1.164  0.618 1.221  0.578 1.351  0.578 1.491  0.496 1.572  0.407 1.654  0.322 1.592  0.227 1.499  0.169 1.411  0.128 1.281  0.128 1.142  0.046 1.036  0.026 0.900  0.005 0.764  0.005 0.624  0.005 0.485  0.042 0.354  0.046 0.215  0.046 0.076  0.085 -0.057  0.087 -0.196  0.118 -0.329  0.128 -0.466  0.128 -0.605  0.128 -0.745  0.128 -0.884  0.107 -1.003  0.049 -1.084  0.005 -1.180  -0.076 -1.238  -0.201 -1.269  -0.254 -1.371  -0.376 -1.398  -0.441 -1.414  -0.430 -1.275  -0.419 -1.136  -0.407 -0.997  -0.396 -0.858  -0.385 -0.719  -0.374 -0.580  -0.362 -0.441  -0.351 -0.302  -0.340 -0.163  -0.328 -0.024  -0.348 0.060  -0.240 0.029  -0.151 -0.022  -0.019 -0.039  0.111 -0.063  0.251 -0.063
2#tos#f2#f2038066/g  0.145 0.780  0.096 0.577  0.296 0.594  0.402 0.764  0.511 0.910  0.564 1.109  0.550 1.318  0.509 1.514  0.294 1.514  0.100 1.461  -0.085 1.389  -0.199 1.221  -0.323 1.049  -0.450 0.881  -0.532 0.683  -0.588 0.481  -0.498 0.331  -0.296 0.268  -0.093 0.204  0.122 0.204  0.312 0.266  0.427 0.433  0.396 0.571  0.302 0.450  0.302 0.235  0.302 0.020  0.302 -0.195  0.302 -0.410  0.191 -0.588  0.098 -0.777  0.093 -0.991  0.093 -1.206  0.093 -1.421  -0.064 -1.478  -0.169 -1.589  -0.343 -1.629  -0.483 -1.555  -0.663 -1.480  -0.745 -1.301  -0.745 -1.086  -0.653 -0.909  -0.599 -0.709  -0.512 -0.529  -0.297 -0.529  -0.188 -0.394  -0.045 -0.258  0.154 -0.177  0.361 -0.122  0.529 0.003  0.722 0.099
