2#tos#f1#f1052063/#  -0.834 0.259  -1.137 0.046  -0.886 -0.079  -0.487 0.072  -0.064 0.189  0.239 0.328  0.681 0.328  1.048 0.485  0.792 0.415  0.438 0.150  0.085 -0.116  -0.269 -0.381  -0.623 -0.646  -0.973 -0.800  -0.737 -0.830  -0.428 -0.578  0.014 -0.578  0.434 -0.495  0.853 -0.438  1.033 -0.247  0.778 0.114  0.524 0.476  0.269 0.838  0.015 1.199  -0.206 1.571  -0.485 1.431  -0.485 0.989  -0.485 0.547  -0.485 0.105  -0.479 -0.337  -0.415 -0.774  -0.415 -1.216  -0.415 -1.658  -0.323 -1.775  -0.245 -1.340  -0.166 -0.905  -0.088 -0.470  -0.010 -0.035  0.069 0.401  0.147 0.836  0.225 1.271  0.226 1.653  0.282 1.515  0.393 1.094  0.421 0.657  0.421 0.215  0.421 -0.227  0.421 -0.669  0.421 -1.111  0.491 -1.484
2#tos#f1#f1052063/[  0.685 1.291  0.596 1.291  0.583 1.216  0.532 1.178  0.483 1.137  0.394 1.137  0.305 1.137  0.216 1.137  0.130 1.123  0.045 1.095  -0.024 1.043  -0.102 1.000  -0.187 0.984  -0.276 0.984  -0.340 0.958  -0.295 0.888  -0.288 0.801  -0.288 0.712  -0.288 0.623  -0.288 0.534  -0.288 0.445  -0.288 0.356  -0.288 0.267  -0.249 0.187  -0.237 0.101  -0.237 0.012  -0.221 -0.073  -0.186 -0.154  -0.186 -0.243  -0.186 -0.332  -0.186 -0.421  -0.186 -0.510  -0.186 -0.599  -0.186 -0.688  -0.186 -0.777  -0.186 -0.866  -0.167 -0.950  -0.129 -1.031  -0.101 -1.115  -0.083 -1.201  -0.083 -1.290  -0.078 -1.271  0.011 -1.271  0.100 -1.271  0.189 -1.271  0.278 -1.271  0.367 -1.271  0.456 -1.271  0.545 -1.271  0.583 -1.220
2#tos#f1#f1052063/]  -0.496 1.151  -0.595 1.151  -0.666 1.086  -0.736 1.016  -0.806 0.947  -0.724 0.940  -0.626 0.940  -0.527 0.940  -0.429 0.940  -0.340 0.973  -0.258 1.028  -0.165 1.045  -0.067 1.045  0.032 1.045  0.130 1.045  0.229 1.045  0.242 0.960  0.242 0.861  0.242 0.763  0.242 0.665  0.242 0.566  0.242 0.468  0.242 0.369  0.242 0.271  0.242 0.172  0.242 0.074  0.242 -0.025  0.242 -0.123  0.242 -0.222  0.242 -0.320  0.242 -0.419  0.242 -0.517  0.242 -0.616  0.242 -0.714  0.295 -0.760  0.295 -0.858  0.295 -0.957  0.338 -1.012  0.400 -1.048  0.400 -1.147  0.347 -1.193  0.279 -1.223  0.181 -1.223  0.082 -1.223  0.010 -1.265  -0.050 -1.328  -0.148 -1.328  -0.247 -1.328  -0.345 -1.328  -0.444 -1.328
2#tos#f1#f1052063/^  -0.737 -0.539  -0.840 -0.558  -0.931 -0.619  -1.022 -0.679  -1.128 -0.691  -1.191 -0.738  -1.191 -0.847  -1.174 -0.883  -1.125 -0.786  -1.031 -0.758  -0.951 -0.684  -0.853 -0.635  -0.792 -0.555  -0.758 -0.451  -0.694 -0.388  -0.585 -0.387  -0.551 -0.283  -0.516 -0.180  -0.510 -0.071  -0.476 0.024  -0.399 0.101  -0.306 0.141  -0.222 0.202  -0.207 0.305  -0.207 0.415  -0.128 0.447  -0.049 0.520  0.020 0.560  0.020 0.669  0.052 0.747  0.161 0.747  0.270 0.747  0.380 0.747  0.489 0.747  0.593 0.725  0.691 0.676  0.721 0.585  0.819 0.536  0.852 0.448  0.958 0.444  1.039 0.391  1.099 0.300  1.155 0.208  1.155 0.098  1.156 -0.010  1.253 -0.059  1.356 -0.086  1.382 -0.170  1.424 -0.237  1.533 -0.237
2#tos#f1#f1052063/`  -0.215 0.530  -0.314 0.530  -0.414 0.530  -0.513 0.530  -0.612 0.530  -0.712 0.530  -0.811 0.530  -0.911 0.530  -1.010 0.530  -1.109 0.530  -1.209 0.530  -1.308 0.530  -1.251 0.530  -1.152 0.530  -1.052 0.530  -0.953 0.530  -0.854 0.530  -0.754 0.530  -0.657 0.526  -0.586 0.456  -0.516 0.385  -0.446 0.315  -0.364 0.258  -0.282 0.203  -0.199 0.148  -0.116 0.093  -0.034 0.038  0.049 -0.017  0.132 -0.072  0.214 -0.128  0.231 -0.218  0.231 -0.318  0.286 -0.362  0.386 -0.362  0.485 -0.362  0.585 -0.362  0.684 -0.362  0.783 -0.362  0.883 -0.362  0.958 -0.420  1.028 -0.490  1.099 -0.560  1.123 -0.650  1.123 -0.749  1.152 -0.836  1.222 -0.907  1.292 -0.977  1.370 -1.030  1.469 -1.030  1.568 -1.030
2#tos#f1#f1052063/|  0.071 1.521  -0.006 1.521  -0.082 1.521  -0.159 1.521  -0.171 1.456  -0.171 1.379  -0.171 1.302  -0.171 1.226  -0.164 1.152  -0.110 1.097  -0.110 1.020  -0.110 0.943  -0.110 0.867  -0.110 0.790  -0.110 0.713  -0.110 0.636  -0.110 0.559  -0.050 0.543  -0.050 0.466  -0.050 0.389  -0.050 0.312  -0.050 0.236  -0.050 0.159  -0.050 0.082  0.012 0.066  0.032 -0.008  0.052 -0.082  0.072 -0.157  0.093 -0.231  0.113 -0.305  0.133 -0.379  0.153 -0.453  0.173 -0.527  0.186 -0.596  0.132 -0.618  0.105 -0.683  0.071 -0.746  0.071 -0.823  0.071 -0.900  0.071 -0.977  0.071 -1.054  0.071 -1.130  0.071 -1.207  0.071 -1.284  0.071 -1.361  0.071 -1.438  0.071 -1.515  0.071 -1.591  0.071 -1.668  0.071 -1.745
2#tos#f1#f1052063/~  -1.127 -0.236  -1.212 -0.278  -1.303 -0.293  -1.357 -0.252  -1.357 -0.157  -1.315 -0.079  -1.242 -0.048  -1.242 0.047  -1.242 0.142  -1.184 0.179  -1.184 0.274  -1.097 0.282  -1.002 0.282  -0.907 0.282  -0.835 0.339  -0.740 0.339  -0.645 0.339  -0.550 0.339  -0.455 0.339  -0.366 0.326  -0.289 0.282  -0.194 0.282  -0.099 0.282  -0.034 0.252  -0.034 0.157  0.014 0.109  0.024 0.024  0.089 -0.006  0.171 -0.038  0.238 -0.105  0.269 -0.178  0.364 -0.178  0.459 -0.178  0.542 -0.191  0.591 -0.236  0.677 -0.275  0.768 -0.293  0.863 -0.293  0.958 -0.293  1.053 -0.293  1.148 -0.293  1.232 -0.282  1.281 -0.236  1.376 -0.236  1.404 -0.170  1.451 -0.121  1.481 -0.045  1.520 0.034  1.520 0.129  1.520 0.224
2#tos#f1#f1052063/0  0.764 0.759  0.683 0.839  0.566 0.901  0.430 0.925  0.303 0.989  0.211 1.049  0.072 1.077  -0.069 1.090  -0.211 1.090  -0.345 1.057  -0.465 0.999  -0.586 0.948  -0.610 0.831  -0.610 0.689  -0.727 0.664  -0.753 0.547  -0.753 0.405  -0.789 0.270  -0.800 0.129  -0.800 -0.013  -0.781 -0.151  -0.753 -0.289  -0.742 -0.430  -0.715 -0.569  -0.643 -0.660  -0.610 -0.796  -0.554 -0.917  -0.485 -1.040  -0.395 -1.136  -0.274 -1.188  -0.150 -1.231  -0.008 -1.231  0.134 -1.231  0.276 -1.231  0.358 -1.130  0.483 -1.076  0.517 -0.938  0.572 -0.808  0.593 -0.671  0.621 -0.536  0.657 -0.402  0.716 -0.275  0.716 -0.133  0.749 0.004  0.764 0.144  0.764 0.285  0.748 0.425  0.716 0.562  0.641 0.644  0.574 0.759
2#tos#f1#f1052063/1  -0.066 1.652  -0.066 1.582  -0.046 1.532  -0.006 1.502  -0.006 1.432  -0.006 1.362  -0.006 1.293  -0.006 1.223  -0.006 1.153  -0.006 1.083  -0.006 1.014  -0.006 0.944  -0.006 0.874  -0.006 0.804  -0.006 0.734  -0.006 0.665  -0.006 0.595  -0.006 0.525  -0.006 0.455  -0.006 0.385  -0.006 0.316  -0.006 0.246  -0.006 0.176  -0.006 0.106  -0.006 0.037  -0.006 -0.033  -0.006 -0.103  -0.006 -0.173  -0.006 -0.243  -0.006 -0.312  -0.006 -0.382  -0.006 -0.452  -0.006 -0.522  -0.006 -0.592  -0.006 -0.661  -0.006 -0.731  -0.006 -0.801  -0.006 -0.871  -0.006 -0.940  -0.006 -1.010  -0.006 -1.080  0.009 -1.147  0.032 -1.213  0.054 -1.280  0.054 -1.349  0.054 -1.419  0.054 -1.489  0.054 -1.559  0.054 -1.629  0.054 -1.698
2#tos#f1#f1052063/3  -0.387 0.588  -0.397 0.726  -0.407 0.864  -0.417 1.002  -0.427 1.140  -0.437 1.278  -0.310 1.288  -0.172 1.288  -0.035 1.285  0.043 1.188  0.181 1.183  0.312 1.139  0.387 1.030  0.514 0.983  0.514 0.845  0.514 0.707  0.514 0.568  0.438 0.461  0.340 0.364  0.212 0.337  0.086 0.287  -0.044 0.273  -0.129 0.187  -0.267 0.187  -0.169 0.187  -0.031 0.184  0.087 0.114  0.214 0.087  0.313 0.013  0.410 -0.063  0.480 -0.180  0.514 -0.304  0.514 -0.442  0.514 -0.581  0.510 -0.717  0.464 -0.837  0.385 -0.942  0.288 -1.040  0.160 -1.067  0.113 -1.186  0.006 -1.222  -0.094 -1.315  -0.232 -1.315  -0.370 -1.315  -0.509 -1.315  -0.647 -1.315  -0.785 -1.315  -0.884 -1.219  -0.888 -1.082  -0.988 -1.014
2#tos#f1#f1052063/4  0.459 1.275  0.405 1.125  0.259 1.038  0.125 0.931  -0.003 0.775  -0.164 0.691  -0.280 0.523  -0.407 0.365  -0.575 0.250  -0.739 0.127  -0.921 0.036  -1.069 -0.103  -1.235 -0.221  -1.400 -0.339  -1.532 -0.474  -1.614 -0.574  -1.410 -0.574  -1.211 -0.547  -1.011 -0.524  -0.808 -0.507  -0.609 -0.463  -0.411 -0.424  -0.209 -0.413  -0.012 -0.374  0.193 -0.374  0.397 -0.374  0.601 -0.374  0.805 -0.374  0.776 -0.177  0.743 0.024  0.709 0.226  0.675 0.427  0.642 0.628  0.608 0.829  0.575 1.031  0.459 1.133  0.459 1.013  0.459 0.809  0.509 0.617  0.509 0.413  0.509 0.209  0.509 0.005  0.509 -0.199  0.509 -0.403  0.509 -0.607  0.509 -0.811  0.524 -1.014  0.558 -1.215  0.559 -1.419  0.559 -1.623
2#tos#f1#f1052063/8  0.657 1.118  0.464 1.118  0.271 1.118  0.080 1.125  -0.103 1.169  -0.282 1.215  -0.458 1.272  -0.642 1.236  -0.725 1.075  -0.725 0.882  -0.639 0.725  -0.528 0.570  -0.396 0.431  -0.239 0.338  -0.077 0.235  0.043 0.102  0.177 0.043  0.299 -0.028  0.377 -0.188  0.401 -0.371  0.432 -0.551  0.503 -0.715  0.503 -0.908  0.454 -1.080  0.303 -1.181  0.145 -1.287  -0.027 -1.374  -0.215 -1.392  -0.367 -1.492  -0.560 -1.492  -0.674 -1.354  -0.776 -1.224  -0.776 -1.031  -0.725 -0.859  -0.629 -0.698  -0.503 -0.553  -0.366 -0.417  -0.261 -0.258  -0.132 -0.134  0.053 -0.082  0.215 0.010  0.365 0.128  0.541 0.197  0.606 0.325  0.722 0.402  0.840 0.533  0.810 0.696  0.673 0.778  0.543 0.913  0.350 0.913
2#tos#f1#f1052063/9  0.455 0.346  0.290 0.356  0.258 0.528  0.235 0.700  0.146 0.787  0.069 0.886  0.024 1.038  -0.096 1.149  -0.192 1.228  -0.368 1.228  -0.538 1.186  -0.663 1.110  -0.714 0.947  -0.859 0.851  -0.970 0.716  -1.033 0.560  -1.033 0.384  -1.033 0.209  -0.956 0.091  -0.923 -0.080  -0.878 -0.228  -0.813 -0.363  -0.690 -0.481  -0.515 -0.481  -0.339 -0.481  -0.164 -0.481  0.012 -0.481  0.069 -0.317  0.214 -0.219  0.331 -0.089  0.436 0.050  0.455 0.218  0.503 0.346  0.645 0.426  0.676 0.544  0.676 0.369  0.676 0.193  0.676 0.018  0.676 -0.158  0.599 -0.308  0.502 -0.452  0.455 -0.620  0.455 -0.796  0.455 -0.971  0.455 -1.147  0.455 -1.322  0.455 -1.498  0.455 -1.674  0.455 -1.849  0.510 -1.970
2#tos#f1#f1052063/A  0.054 1.649  -0.082 1.483  -0.164 1.232  -0.182 0.970  -0.267 0.725  -0.464 0.557  -0.464 0.292  -0.534 0.037  -0.601 -0.219  -0.684 -0.470  -0.733 -0.725  -0.794 -0.975  -0.794 -1.240  -0.794 -1.412  -0.719 -1.158  -0.645 -0.904  -0.571 -0.650  -0.496 -0.396  -0.422 -0.142  -0.347 0.112  -0.273 0.366  -0.198 0.620  -0.124 0.874  -0.049 1.128  0.007 1.385  0.243 1.413  0.366 1.272  0.542 1.167  0.572 0.905  0.639 0.707  0.754 0.487  0.760 0.223  0.800 -0.032  0.854 -0.284  0.901 -0.541  0.904 -0.805  0.948 -1.060  1.006 -1.199  0.785 -1.054  0.563 -0.909  0.342 -0.763  0.121 -0.618  -0.101 -0.473  -0.322 -0.328  -0.559 -0.234  -0.482 -0.234  -0.219 -0.220  0.042 -0.187  0.307 -0.187  0.572 -0.187
2#tos#f1#f1052063/B  -0.573 1.049  -0.477 0.835  -0.477 0.580  -0.445 0.329  -0.429 0.076  -0.429 -0.179  -0.384 -0.427  -0.381 -0.681  -0.381 -0.936  -0.381 -1.190  -0.381 -1.444  -0.301 -1.392  -0.340 -1.141  -0.378 -0.890  -0.417 -0.638  -0.456 -0.387  -0.494 -0.136  -0.533 0.116  -0.572 0.367  -0.610 0.619  -0.649 0.870  -0.669 1.123  -0.438 1.145  -0.209 1.255  0.036 1.296  0.287 1.337  0.541 1.337  0.747 1.243  0.772 0.995  0.707 0.760  0.575 0.617  0.436 0.437  0.221 0.317  0.004 0.185  -0.250 0.185  -0.277 0.233  -0.024 0.246  0.227 0.281  0.481 0.281  0.682 0.131  0.831 -0.056  0.916 -0.225  0.964 -0.473  0.943 -0.722  0.793 -0.900  0.621 -1.085  0.456 -1.209  0.244 -1.287  0.061 -1.398  -0.189 -1.449
2#tos#f1#f1052063/G  0.923 0.724  0.912 0.919  0.721 0.939  0.587 1.044  0.392 1.093  0.219 1.192  0.022 1.231  -0.184 1.231  -0.389 1.231  -0.561 1.140  -0.728 1.028  -0.892 0.923  -0.997 0.746  -1.042 0.553  -1.067 0.357  -1.184 0.236  -1.184 0.030  -1.146 -0.170  -1.104 -0.371  -1.028 -0.544  -0.887 -0.673  -0.721 -0.759  -0.583 -0.868  -0.406 -0.915  -0.201 -0.926  0.001 -0.954  0.207 -0.954  0.393 -0.922  0.567 -0.852  0.579 -0.740  0.456 -0.575  0.334 -0.410  0.211 -0.244  0.089 -0.079  -0.034 0.087  -0.130 0.173  0.003 0.100  0.208 0.100  0.412 0.111  0.614 0.139  0.820 0.139  0.899 0.139  0.776 0.043  0.611 -0.070  0.572 -0.259  0.572 -0.465  0.572 -0.671  0.572 -0.877  0.572 -1.083  0.650 -1.266
2#tos#f1#f1052063/H  -1.004 0.977  -1.004 0.843  -0.965 0.667  -0.929 0.488  -0.926 0.307  -0.926 0.124  -0.926 -0.058  -0.926 -0.240  -0.926 -0.422  -0.896 -0.601  -0.882 -0.782  -0.838 -0.959  -0.810 -1.137  -0.792 -1.053  -0.766 -0.873  -0.740 -0.693  -0.714 -0.512  -0.689 -0.332  -0.663 -0.152  -0.733 -0.161  -0.572 -0.180  -0.393 -0.144  -0.220 -0.104  -0.039 -0.089  0.138 -0.050  0.318 -0.027  0.500 -0.027  0.650 0.050  0.811 0.071  0.805 0.253  0.799 0.435  0.793 0.617  0.788 0.799  0.782 0.981  0.776 1.163  0.676 1.248  0.646 1.127  0.718 0.966  0.735 0.785  0.735 0.603  0.735 0.421  0.735 0.239  0.735 0.057  0.735 -0.125  0.735 -0.307  0.735 -0.490  0.735 -0.672  0.808 -0.832  0.812 -1.013  0.850 -1.186
2#tos#f1#f1052063/I  -0.393 1.212  -0.497 1.212  -0.434 1.212  -0.366 1.156  -0.286 1.096  -0.185 1.088  -0.082 1.088  0.022 1.088  0.125 1.088  0.228 1.088  0.331 1.088  0.264 1.088  0.160 1.088  0.057 1.088  -0.046 1.088  -0.063 1.002  -0.022 0.940  -0.022 0.836  -0.022 0.733  -0.022 0.630  -0.022 0.526  -0.022 0.423  -0.022 0.320  -0.022 0.216  -0.022 0.113  -0.022 0.010  -0.022 -0.093  -0.022 -0.197  -0.022 -0.300  -0.022 -0.403  -0.022 -0.507  -0.022 -0.610  -0.022 -0.713  -0.022 -0.817  -0.022 -0.920  -0.022 -1.023  -0.022 -1.127  -0.071 -1.181  -0.174 -1.181  -0.268 -1.222  -0.251 -1.222  -0.147 -1.222  -0.044 -1.222  0.059 -1.222  0.163 -1.222  0.266 -1.222  0.369 -1.222  0.473 -1.222  0.576 -1.222  0.679 -1.222
2#tos#f1#f1052063/J  -0.328 1.110  -0.410 1.096  -0.383 1.028  -0.288 1.028  -0.193 1.028  -0.098 1.028  -0.003 1.028  0.092 1.028  0.187 1.028  0.282 1.028  0.377 1.028  0.472 1.028  0.409 1.028  0.314 1.028  0.219 1.028  0.124 1.028  0.121 0.937  0.104 0.849  0.080 0.764  0.080 0.669  0.121 0.591  0.121 0.496  0.121 0.401  0.121 0.306  0.121 0.211  0.121 0.116  0.121 0.021  0.121 -0.074  0.121 -0.169  0.121 -0.264  0.121 -0.359  0.121 -0.454  0.121 -0.549  0.138 -0.640  0.161 -0.729  0.161 -0.824  0.161 -0.919  0.160 -1.014  0.093 -1.081  0.026 -1.148  -0.027 -1.226  -0.085 -1.299  -0.152 -1.367  -0.206 -1.415  -0.295 -1.421  -0.390 -1.421  -0.485 -1.421  -0.580 -1.421  -0.669 -1.406  -0.736 -1.339
