2#app#app32#app3264/[  0.558 1.208  0.458 1.208  0.357 1.208  0.257 1.208  0.157 1.208  0.057 1.208  -0.043 1.208  -0.143 1.208  -0.243 1.208  -0.343 1.208  -0.443 1.208  -0.506 1.170  -0.506 1.070  -0.506 0.970  -0.497 0.872  -0.453 0.783  -0.408 0.693  -0.399 0.595  -0.376 0.499  -0.344 0.404  -0.312 0.309  -0.293 0.212  -0.293 0.112  -0.293 0.012  -0.293 -0.088  -0.293 -0.188  -0.288 -0.286  -0.217 -0.357  -0.187 -0.445  -0.187 -0.545  -0.155 -0.632  -0.084 -0.702  -0.080 -0.801  -0.080 -0.901  -0.080 -1.001  -0.027 -1.079  0.026 -1.157  0.046 -1.238  0.132 -1.225  0.139 -1.132  0.239 -1.131  0.329 -1.086  0.418 -1.042  0.496 -0.980  0.571 -0.919  0.669 -0.914  0.740 -0.843  0.827 -0.812  0.912 -0.777  0.983 -0.706
2#app#app32#app3264/k  -0.772 1.583  -0.652 1.404  -0.770 1.224  -0.772 0.995  -0.772 0.766  -0.772 0.537  -0.772 0.308  -0.772 0.079  -0.772 -0.151  -0.772 -0.380  -0.673 -0.568  -0.652 -0.788  -0.652 -1.017  -0.652 -1.247  -0.681 -1.463  -0.717 -1.470  -0.592 -1.278  -0.467 -1.086  -0.342 -0.894  -0.217 -0.702  -0.091 -0.510  0.034 -0.318  0.159 -0.126  0.284 0.066  0.409 0.258  0.535 0.450  0.660 0.642  0.785 0.834  0.910 1.026  1.036 1.218  0.964 1.026  0.802 0.864  0.640 0.702  0.478 0.540  0.316 0.378  0.153 0.216  -0.036 0.099  -0.254 0.026  -0.360 -0.106  -0.352 -0.227  -0.140 -0.152  0.041 -0.017  0.257 0.014  0.486 0.014  0.704 -0.014  0.796 -0.205  0.917 -0.384  1.038 -0.493  1.038 -0.722  1.038 -0.951
2#app#app32#app3264/n  -0.360 1.630  -0.360 1.457  -0.360 1.285  -0.360 1.112  -0.360 0.940  -0.428 0.783  -0.502 0.628  -0.519 0.460  -0.596 0.306  -0.644 0.144  -0.644 -0.028  -0.644 -0.200  -0.644 -0.373  -0.644 -0.545  -0.644 -0.718  -0.644 -0.890  -0.644 -1.063  -0.644 -1.188  -0.644 -1.016  -0.644 -0.843  -0.644 -0.671  -0.642 -0.499  -0.520 -0.377  -0.500 -0.213  -0.422 -0.058  -0.337 0.090  -0.216 0.213  -0.139 0.367  -0.062 0.521  0.015 0.675  0.125 0.777  0.271 0.840  0.411 0.919  0.584 0.919  0.720 0.833  0.818 0.694  0.895 0.540  0.919 0.373  0.919 0.200  0.919 0.028  0.919 -0.144  0.919 -0.317  0.919 -0.489  0.777 -0.520  0.777 -0.692  0.777 -0.865  0.777 -1.037  0.678 -1.169  0.635 -1.323  0.635 -1.496
2#app#app32#app3264/o  0.288 1.107  0.133 1.107  -0.021 1.107  -0.138 1.069  -0.189 0.965  -0.325 0.920  -0.422 0.805  -0.443 0.659  -0.553 0.550  -0.564 0.400  -0.671 0.289  -0.706 0.149  -0.706 -0.006  -0.706 -0.160  -0.706 -0.315  -0.706 -0.470  -0.706 -0.625  -0.678 -0.768  -0.569 -0.877  -0.460 -0.987  -0.350 -1.096  -0.225 -1.166  -0.138 -1.235  -0.057 -1.308  0.098 -1.308  0.252 -1.308  0.372 -1.224  0.503 -1.166  0.572 -1.081  0.671 -1.024  0.714 -0.913  0.714 -0.759  0.714 -0.604  0.714 -0.449  0.714 -0.294  0.714 -0.140  0.714 0.015  0.714 0.170  0.665 0.304  0.555 0.413  0.446 0.523  0.371 0.657  0.302 0.796  0.288 0.947  0.151 0.965  -0.002 0.970  -0.111 1.080  -0.255 1.107  -0.409 1.107  -0.564 1.107
2#app#app32#app3264/w  -1.039 0.796  -1.044 0.684  -1.125 0.603  -1.146 0.497  -1.211 0.409  -1.254 0.312  -1.254 0.197  -1.254 0.083  -1.254 -0.032  -1.254 -0.146  -1.190 -0.234  -1.109 -0.316  -1.023 -0.385  -0.909 -0.385  -0.803 -0.364  -0.722 -0.283  -0.609 -0.278  -0.528 -0.197  -0.425 -0.171  -0.335 -0.111  -0.254 -0.030  -0.173 0.051  -0.092 0.132  -0.072 0.239  0.022 0.259  0.035 0.158  0.035 0.043  0.041 -0.069  0.122 -0.150  0.143 -0.256  0.208 -0.344  0.289 -0.425  0.376 -0.493  0.490 -0.493  0.605 -0.493  0.719 -0.493  0.820 -0.460  0.901 -0.379  0.982 -0.298  1.063 -0.217  1.144 -0.136  1.217 -0.051  1.225 0.062  1.277 0.164  1.330 0.265  1.411 0.346  1.431 0.452  1.431 0.567  1.431 0.681  1.324 0.689
2#app#app32#app3264/w  -1.065 0.501  -1.193 0.501  -1.196 0.376  -1.196 0.248  -1.196 0.120  -1.196 -0.008  -1.196 -0.136  -1.196 -0.263  -1.122 -0.360  -1.065 -0.465  -1.065 -0.593  -1.024 -0.679  -0.896 -0.679  -0.778 -0.655  -0.688 -0.564  -0.597 -0.474  -0.507 -0.384  -0.417 -0.293  -0.326 -0.203  -0.278 -0.095  -0.278 0.033  -0.240 0.145  -0.150 0.236  -0.147 0.114  -0.147 -0.014  -0.147 -0.142  -0.066 -0.236  0.024 -0.326  0.114 -0.417  0.242 -0.417  0.370 -0.417  0.498 -0.417  0.626 -0.417  0.754 -0.417  0.849 -0.339  0.901 -0.232  0.952 -0.155  1.066 -0.122  1.156 -0.031  1.164 0.094  1.164 0.222  1.164 0.349  1.164 0.477  1.164 0.605  1.164 0.733  1.120 0.851  1.063 0.965  0.990 1.068  0.898 1.156  0.770 1.156
2#app#app32#app3264/h  -0.187 2.055  -0.187 1.903  -0.187 1.751  -0.187 1.599  -0.193 1.448  -0.261 1.312  -0.306 1.171  -0.306 1.019  -0.306 0.867  -0.306 0.715  -0.306 0.564  -0.306 0.412  -0.306 0.260  -0.306 0.108  -0.339 -0.037  -0.407 -0.172  -0.426 -0.320  -0.426 -0.472  -0.426 -0.624  -0.426 -0.776  -0.426 -0.928  -0.426 -1.080  -0.495 -1.162  -0.545 -1.265  -0.545 -1.146  -0.510 -1.009  -0.426 -0.892  -0.426 -0.740  -0.382 -0.598  -0.314 -0.462  -0.211 -0.352  -0.134 -0.222  -0.066 -0.086  0.002 0.050  0.080 0.178  0.188 0.285  0.298 0.387  0.450 0.387  0.602 0.387  0.722 0.311  0.766 0.177  0.821 0.038  0.885 -0.099  0.885 -0.251  0.885 -0.402  0.885 -0.554  0.885 -0.706  0.885 -0.858  0.885 -1.010  0.885 -1.162
2#app#app32#app3264/a  1.019 0.899  1.009 1.057  0.894 1.172  0.741 1.194  0.578 1.194  0.416 1.194  0.261 1.175  0.146 1.060  0.004 0.982  -0.141 0.909  -0.286 0.837  -0.432 0.764  -0.517 0.632  -0.590 0.486  -0.696 0.365  -0.811 0.250  -0.917 0.129  -0.989 -0.017  -1.070 -0.156  -1.185 -0.271  -1.196 -0.429  -1.196 -0.592  -1.168 -0.726  -1.048 -0.769  -0.991 -0.874  -0.828 -0.874  -0.666 -0.874  -0.503 -0.874  -0.341 -0.874  -0.217 -0.780  -0.077 -0.726  0.056 -0.655  0.171 -0.540  0.288 -0.431  0.428 -0.408  0.455 -0.256  0.570 -0.142  0.685 -0.027  0.800 0.088  0.871 0.221  0.871 0.232  0.781 0.160  0.724 0.055  0.639 -0.072  0.576 -0.209  0.576 -0.371  0.576 -0.534  0.576 -0.696  0.576 -0.859  0.576 -1.021
2#app#app32#app3264/t  -0.983 0.167  -0.983 0.013  -0.926 -0.084  -0.772 -0.084  -0.618 -0.084  -0.464 -0.084  -0.310 -0.084  -0.157 -0.084  -0.003 -0.084  0.151 -0.084  0.305 -0.084  0.459 -0.084  0.613 -0.084  0.767 -0.084  0.739 0.060  0.705 0.210  0.670 0.360  0.635 0.510  0.601 0.660  0.566 0.810  0.532 0.960  0.497 1.110  0.463 1.260  0.428 1.409  0.396 1.532  0.396 1.379  0.396 1.225  0.352 1.081  0.283 0.944  0.271 0.793  0.202 0.655  0.133 0.518  0.064 0.380  0.020 0.237  0.020 0.083  -0.042 -0.052  -0.128 -0.180  -0.213 -0.308  -0.285 -0.444  -0.354 -0.581  -0.367 -0.732  -0.435 -0.870  -0.481 -1.013  -0.481 -1.167  -0.481 -1.320  -0.481 -1.474  -0.481 -1.628  -0.481 -1.782  -0.384 -1.839  -0.356 -1.964
2#app#app32#app3264/!  0.348 1.615  0.400 1.563  0.437 1.505  0.437 1.431  0.437 1.358  0.393 1.303  0.344 1.249  0.311 1.184  0.278 1.118  0.259 1.049  0.252 0.977  0.219 0.912  0.187 0.846  0.154 0.781  0.121 0.715  0.088 0.649  0.040 0.594  -0.009 0.541  -0.027 0.470  -0.045 0.399  -0.063 0.328  -0.080 0.257  -0.097 0.185  -0.097 0.112  -0.097 0.039  -0.097 -0.035  -0.119 -0.099  -0.171 -0.151  -0.186 -0.218  -0.186 -0.291  -0.186 -0.365  -0.186 -0.438  -0.186 -0.511  -0.142 -0.567  -0.098 -0.621  -0.105 -0.694  -0.113 -0.767  -0.120 -0.840  -0.127 -0.913  -0.134 -0.986  -0.142 -1.059  -0.149 -1.132  -0.156 -1.205  -0.164 -1.278  -0.171 -1.351  -0.178 -1.424  -0.186 -1.497  -0.234 -1.551  -0.291 -1.591  -0.364 -1.591
2#app#app32#app3264/}  -0.396 1.463  -0.306 1.552  -0.179 1.553  -0.053 1.553  0.074 1.553  0.144 1.496  0.210 1.397  0.234 1.280  0.234 1.153  0.234 1.026  0.184 0.912  0.144 0.794  0.091 0.689  0.054 0.578  0.054 0.451  0.013 0.342  -0.036 0.235  -0.036 0.108  -0.065 -0.006  -0.126 -0.108  -0.048 -0.157  0.079 -0.157  0.188 -0.113  0.234 -0.006  0.303 0.092  0.319 0.208  0.227 0.293  0.100 0.293  0.054 0.213  -0.036 0.176  -0.100 0.113  -0.126 0.012  -0.126 -0.115  -0.126 -0.241  -0.040 -0.333  -0.036 -0.458  -0.036 -0.584  0.038 -0.680  0.054 -0.801  0.054 -0.927  0.054 -1.054  0.054 -1.181  0.054 -1.307  0.046 -1.432  -0.010 -1.546  -0.106 -1.596  -0.201 -1.672  -0.322 -1.686  -0.449 -1.686  -0.576 -1.686
2#app#app32#app3264/]  -0.483 1.230  -0.399 1.230  -0.316 1.230  -0.232 1.230  -0.149 1.230  -0.065 1.230  0.018 1.230  0.102 1.230  0.186 1.230  0.267 1.224  0.326 1.165  0.343 1.089  0.301 1.023  0.261 0.956  0.261 0.873  0.261 0.789  0.261 0.706  0.240 0.631  0.181 0.572  0.178 0.489  0.178 0.406  0.142 0.331  0.104 0.256  0.096 0.175  0.096 0.091  0.096 0.007  0.096 -0.076  0.096 -0.160  0.065 -0.236  0.027 -0.311  0.013 -0.391  0.013 -0.474  0.013 -0.558  0.013 -0.641  0.013 -0.725  0.013 -0.809  0.013 -0.892  0.013 -0.976  -0.028 -1.042  -0.070 -1.109  -0.070 -1.192  -0.070 -1.276  -0.070 -1.359  -0.098 -1.414  -0.182 -1.414  -0.266 -1.414  -0.340 -1.392  -0.399 -1.333  -0.482 -1.331  -0.565 -1.331
2#app#app32#app3264/.  1.794 -0.235  1.711 -0.235  1.628 -0.235  1.545 -0.235  1.463 -0.235  1.380 -0.235  1.297 -0.235  1.214 -0.235  1.131 -0.235  1.049 -0.235  0.966 -0.235  0.883 -0.235  0.800 -0.235  0.717 -0.235  0.635 -0.235  0.552 -0.235  0.469 -0.235  0.386 -0.235  0.304 -0.235  0.221 -0.235  0.138 -0.235  0.055 -0.235  -0.028 -0.235  -0.110 -0.235  -0.193 -0.235  -0.276 -0.235  -0.359 -0.235  -0.442 -0.235  -0.524 -0.235  -0.607 -0.235  -0.690 -0.235  -0.773 -0.235  -0.855 -0.235  -0.911 -0.207  -0.911 -0.124  -0.911 -0.041  -0.911 0.041  -0.911 0.124  -0.911 0.207  -0.911 0.290  -0.911 0.373  -0.911 0.455  -0.911 0.538  -0.911 0.621  -0.911 0.704  -0.911 0.786  -0.911 0.869  -0.911 0.952  -0.911 1.035  -0.911 1.118
