3#apb#apb08#app0802/S  0.681 0.993  0.691 1.091  0.648 1.186  0.615 1.286  0.533 1.346  0.435 1.371  0.331 1.371  0.231 1.339  0.143 1.287  0.064 1.217  -0.014 1.147  -0.077 1.064  -0.137 0.979  -0.197 0.893  -0.258 0.807  -0.318 0.721  -0.372 0.632  -0.415 0.536  -0.456 0.440  -0.485 0.339  -0.500 0.237  -0.500 0.132  -0.484 0.034  -0.405 -0.035  -0.327 -0.104  -0.238 -0.160  -0.148 -0.213  -0.057 -0.265  0.034 -0.316  0.126 -0.367  0.218 -0.417  0.312 -0.464  0.406 -0.511  0.470 -0.592  0.521 -0.682  0.530 -0.783  0.497 -0.882  0.422 -0.953  0.334 -1.008  0.238 -1.049  0.143 -1.095  0.049 -1.141  -0.052 -1.156  -0.157 -1.156  -0.261 -1.156  -0.366 -1.156  -0.471 -1.156  -0.576 -1.156  -0.662 -1.200  -0.737 -1.275
3#apb#apb08#app0802/r  -0.700 -1.350  -0.671 -1.261  -0.650 -1.170  -0.650 -1.076  -0.650 -0.983  -0.650 -0.889  -0.657 -0.795  -0.669 -0.702  -0.680 -0.609  -0.692 -0.516  -0.706 -0.424  -0.726 -0.332  -0.747 -0.240  -0.767 -0.149  -0.788 -0.057  -0.811 0.033  -0.841 0.122  -0.871 0.211  -0.900 0.300  -0.843 0.372  -0.813 0.461  -0.747 0.500  -0.653 0.500  -0.559 0.500  -0.465 0.500  -0.372 0.500  -0.280 0.481  -0.190 0.456  -0.099 0.431  -0.009 0.407  0.082 0.382  0.172 0.357  0.265 0.345  0.358 0.338  0.452 0.330  0.545 0.323  0.639 0.316  0.733 0.309  0.826 0.302  0.918 0.283  1.009 0.260  1.100 0.237  1.191 0.215  1.282 0.193  1.374 0.175  1.466 0.157  1.542 0.108  1.612 0.050  1.693 0.050  1.599 0.050
3#apb#apb08#app0802/e  -1.297 0.305  -1.145 0.295  -1.058 0.165  -0.909 0.123  -0.755 0.128  -0.600 0.154  -0.443 0.159  -0.286 0.159  -0.140 0.204  0.001 0.274  0.143 0.339  0.287 0.401  0.430 0.466  0.566 0.544  0.703 0.622  0.777 0.750  0.827 0.899  0.781 1.023  0.643 1.069  0.491 1.031  0.339 0.993  0.193 0.935  0.050 0.871  -0.093 0.807  -0.224 0.721  -0.349 0.627  -0.475 0.533  -0.574 0.414  -0.657 0.281  -0.740 0.148  -0.826 0.016  -0.860 -0.130  -0.827 -0.282  -0.777 -0.431  -0.665 -0.528  -0.528 -0.606  -0.391 -0.682  -0.251 -0.753  -0.110 -0.823  0.034 -0.884  0.183 -0.933  0.332 -0.983  0.484 -1.021  0.638 -1.049  0.792 -1.077  0.947 -1.102  1.102 -1.078  1.257 -1.054  1.412 -1.030  1.568 -1.006
3#apb#apb08#app0802/h  -0.263 -1.126  -0.148 -1.241  -0.103 -1.186  -0.103 -1.023  -0.103 -0.860  -0.111 -0.698  -0.136 -0.537  -0.156 -0.375  -0.156 -0.212  -0.156 -0.049  -0.169 0.113  -0.192 0.274  -0.210 0.436  -0.210 0.599  -0.229 0.760  -0.261 0.920  -0.286 1.081  -0.311 1.242  -0.329 1.404  -0.343 1.567  -0.368 1.726  -0.370 1.572  -0.370 1.409  -0.372 1.246  -0.374 1.083  -0.376 0.920  -0.378 0.757  -0.381 0.594  -0.383 0.431  -0.385 0.268  -0.387 0.105  -0.389 -0.058  -0.392 -0.221  -0.394 -0.384  -0.396 -0.547  -0.322 -0.688  -0.180 -0.762  -0.021 -0.760  0.141 -0.750  0.287 -0.677  0.412 -0.574  0.548 -0.488  0.701 -0.431  0.859 -0.391  1.015 -0.413  1.136 -0.512  1.216 -0.653  1.273 -0.805  1.312 -0.963  1.312 -1.126
3#apb#apb08#app0802/o  -0.422 0.626  -0.289 0.584  -0.358 0.584  -0.498 0.584  -0.625 0.550  -0.729 0.457  -0.838 0.369  -0.911 0.256  -0.955 0.123  -0.996 -0.012  -1.034 -0.146  -1.071 -0.282  -1.091 -0.418  -1.068 -0.557  -1.007 -0.670  -0.891 -0.748  -0.770 -0.817  -0.636 -0.857  -0.501 -0.898  -0.366 -0.934  -0.226 -0.934  -0.086 -0.934  0.054 -0.934  0.194 -0.934  0.327 -0.892  0.459 -0.844  0.591 -0.796  0.714 -0.733  0.821 -0.643  0.928 -0.553  0.984 -0.424  1.039 -0.295  1.054 -0.158  1.054 -0.017  1.054 0.123  1.040 0.262  1.020 0.401  0.971 0.530  0.901 0.651  0.824 0.766  0.707 0.843  0.590 0.921  0.457 0.966  0.324 1.001  0.191 0.957  0.060 0.909  -0.066 0.847  -0.191 0.784  -0.310 0.710  -0.422 0.626
3#apb#apb08#app0802/l  -0.379 1.645  -0.348 1.582  -0.317 1.520  -0.286 1.458  -0.257 1.394  -0.231 1.330  -0.205 1.265  -0.179 1.200  -0.153 1.135  -0.127 1.071  -0.111 1.003  -0.099 0.934  -0.087 0.866  -0.074 0.797  -0.062 0.729  -0.049 0.660  -0.034 0.592  -0.018 0.524  -0.003 0.456  0.013 0.388  0.029 0.320  0.044 0.252  0.060 0.184  0.067 0.115  0.071 0.045  0.076 -0.024  0.080 -0.094  0.084 -0.163  0.089 -0.233  0.093 -0.303  0.098 -0.372  0.101 -0.442  0.101 -0.512  0.101 -0.581  0.101 -0.651  0.101 -0.721  0.101 -0.790  0.101 -0.860  0.101 -0.930  0.101 -1.000  0.101 -1.069  0.101 -1.139  0.101 -1.209  0.102 -1.278  0.112 -1.347  0.121 -1.417  0.131 -1.486  0.149 -1.552  0.180 -1.614  0.211 -1.677
3#apb#apb08#app0802/d  -0.233 -0.531  -0.058 -0.459  0.003 -0.384  -0.173 -0.319  -0.351 -0.329  -0.525 -0.392  -0.650 -0.533  -0.715 -0.711  -0.757 -0.897  -0.784 -1.085  -0.702 -1.231  -0.513 -1.242  -0.327 -1.213  -0.157 -1.127  0.005 -1.028  0.155 -0.912  0.289 -0.780  0.397 -0.623  0.487 -0.457  0.551 -0.278  0.605 -0.097  0.605 0.093  0.605 0.284  0.570 0.471  0.534 0.657  0.494 0.843  0.446 1.027  0.398 1.212  0.333 1.390  0.259 1.564  0.111 1.681  -0.061 1.680  -0.224 1.587  -0.358 1.452  -0.455 1.294  -0.515 1.114  -0.521 0.924  -0.513 0.735  -0.464 0.551  -0.403 0.373  -0.290 0.220  -0.178 0.066  -0.059 -0.082  0.061 -0.230  0.183 -0.375  0.313 -0.515  0.442 -0.654  0.570 -0.795  0.702 -0.931  0.869 -1.010
3#apb#apb08#app0802/e  -1.286 -0.232  -1.124 -0.234  -0.969 -0.271  -0.807 -0.262  -0.647 -0.229  -0.494 -0.171  -0.342 -0.114  -0.204 -0.027  -0.066 0.061  0.072 0.149  0.205 0.242  0.338 0.337  0.465 0.440  0.590 0.544  0.650 0.693  0.683 0.851  0.683 1.014  0.594 1.148  0.450 1.186  0.287 1.186  0.124 1.186  -0.013 1.107  -0.144 1.009  -0.275 0.912  -0.408 0.817  -0.532 0.713  -0.636 0.587  -0.711 0.447  -0.746 0.288  -0.784 0.129  -0.828 -0.028  -0.835 -0.186  -0.795 -0.344  -0.732 -0.492  -0.642 -0.628  -0.514 -0.724  -0.372 -0.805  -0.215 -0.837  -0.053 -0.855  0.110 -0.873  0.272 -0.891  0.433 -0.890  0.594 -0.862  0.755 -0.833  0.916 -0.805  1.076 -0.773  1.233 -0.730  1.391 -0.687  1.547 -0.640  1.708 -0.626
3#apb#apb08#app0802/r  -0.537 -1.129  -0.484 -1.208  -0.457 -1.295  -0.457 -1.349  -0.457 -1.254  -0.459 -1.159  -0.483 -1.066  -0.506 -0.973  -0.529 -0.881  -0.550 -0.788  -0.571 -0.695  -0.592 -0.601  -0.613 -0.508  -0.643 -0.418  -0.676 -0.329  -0.710 -0.239  -0.738 -0.149  -0.738 -0.053  -0.738 0.042  -0.738 0.138  -0.730 0.232  -0.707 0.325  -0.665 0.409  -0.612 0.488  -0.559 0.568  -0.486 0.623  -0.398 0.660  -0.310 0.698  -0.220 0.715  -0.126 0.698  -0.032 0.681  0.062 0.664  0.156 0.647  0.248 0.622  0.339 0.593  0.430 0.565  0.521 0.536  0.612 0.508  0.703 0.479  0.795 0.451  0.886 0.425  0.978 0.399  1.070 0.374  1.163 0.349  1.255 0.324  1.344 0.291  1.433 0.255  1.480 0.189  1.533 0.110  1.514 0.038
3#apb#apb08#app0802/s  0.156 1.069  0.279 1.099  0.372 1.184  0.295 1.234  0.171 1.212  0.050 1.175  -0.069 1.131  -0.191 1.096  -0.317 1.081  -0.440 1.057  -0.557 1.007  -0.671 0.952  -0.773 0.877  -0.781 0.753  -0.695 0.669  -0.592 0.595  -0.488 0.522  -0.384 0.449  -0.276 0.384  -0.160 0.334  -0.043 0.284  0.074 0.234  0.187 0.177  0.291 0.105  0.396 0.032  0.500 -0.040  0.605 -0.111  0.712 -0.179  0.820 -0.246  0.901 -0.340  0.957 -0.450  0.922 -0.572  0.879 -0.690  0.803 -0.792  0.705 -0.872  0.604 -0.948  0.497 -1.011  0.371 -1.026  0.245 -1.042  0.119 -1.058  -0.007 -1.074  -0.133 -1.061  -0.259 -1.047  -0.381 -1.015  -0.500 -0.970  -0.613 -0.914  -0.712 -0.835  -0.829 -0.806  -0.956 -0.806  -1.083 -0.806
3#apb#apb08#app0802/m  -1.063 -0.683  -1.095 -0.766  -1.161 -0.682  -1.161 -0.564  -1.161 -0.446  -1.161 -0.327  -1.159 -0.209  -1.138 -0.093  -1.117 0.024  -1.094 0.140  -1.071 0.256  -1.039 0.369  -1.001 0.481  -0.933 0.574  -0.838 0.643  -0.733 0.696  -0.631 0.757  -0.522 0.726  -0.410 0.690  -0.292 0.690  -0.204 0.616  -0.122 0.531  -0.051 0.436  0.018 0.341  0.047 0.226  0.075 0.111  0.110 -0.002  0.152 -0.112  0.177 -0.227  0.188 -0.345  0.196 -0.267  0.233 -0.155  0.312 -0.069  0.390 0.020  0.468 0.109  0.560 0.183  0.673 0.199  0.791 0.199  0.909 0.199  0.997 0.126  1.075 0.037  1.148 -0.055  1.195 -0.164  1.234 -0.275  1.267 -0.389  1.286 -0.505  1.313 -0.621  1.368 -0.725  1.435 -0.819  1.537 -0.880
3#apb#apb08#app0802/e  -0.832 0.332  -0.781 0.189  -0.697 0.064  -0.563 0.022  -0.411 0.022  -0.259 0.022  -0.128 0.096  0.004 0.171  0.129 0.256  0.248 0.349  0.355 0.457  0.408 0.598  0.449 0.742  0.412 0.889  0.375 1.036  0.331 1.180  0.283 1.324  0.168 1.286  0.038 1.207  -0.088 1.123  -0.213 1.039  -0.312 0.924  -0.411 0.809  -0.499 0.687  -0.567 0.551  -0.649 0.426  -0.756 0.319  -0.805 0.182  -0.830 0.032  -0.812 -0.118  -0.791 -0.268  -0.723 -0.402  -0.648 -0.533  -0.561 -0.656  -0.462 -0.772  -0.363 -0.887  -0.231 -0.957  -0.092 -1.016  0.054 -1.041  0.206 -1.041  0.357 -1.041  0.507 -1.026  0.653 -0.986  0.799 -0.946  0.946 -0.907  1.095 -0.882  1.233 -0.835  1.342 -0.730  1.489 -0.693  1.603 -0.598
3#apb#apb08#app0802/e  -0.734 0.074  -0.578 0.056  -0.449 -0.041  -0.295 -0.072  -0.134 -0.090  0.026 -0.094  0.186 -0.074  0.346 -0.057  0.507 -0.057  0.661 -0.034  0.800 0.049  0.903 0.168  0.911 0.321  0.888 0.480  0.812 0.619  0.722 0.754  0.606 0.864  0.484 0.970  0.363 1.076  0.216 1.141  0.068 1.204  -0.083 1.159  -0.234 1.103  -0.368 1.018  -0.490 0.913  -0.612 0.807  -0.726 0.693  -0.840 0.579  -0.929 0.450  -0.980 0.297  -1.045 0.150  -1.069 -0.001  -1.037 -0.159  -1.005 -0.317  -0.910 -0.437  -0.787 -0.542  -0.659 -0.636  -0.506 -0.687  -0.353 -0.738  -0.200 -0.789  -0.047 -0.840  0.106 -0.891  0.258 -0.942  0.413 -0.989  0.569 -1.028  0.726 -1.063  0.887 -1.063  1.045 -1.092  1.204 -1.107  1.365 -1.107
3#apb#apb08#app0802/t  -0.825 1.640  -0.733 1.467  -0.624 1.303  -0.515 1.140  -0.420 0.968  -0.333 0.793  -0.245 0.617  -0.165 0.438  -0.092 0.256  -0.019 0.074  0.053 -0.108  0.138 -0.286  0.225 -0.461  0.313 -0.637  0.401 -0.812  0.489 -0.988  0.576 -1.163  0.706 -1.298  0.662 -1.233  0.519 -1.100  0.375 -0.966  0.231 -0.832  0.088 -0.698  -0.056 -0.565  -0.200 -0.431  -0.343 -0.297  -0.487 -0.164  -0.630 -0.030  -0.774 0.104  -0.918 0.238  -1.061 0.371  -1.205 0.505  -1.239 0.386  -1.175 0.229  -1.000 0.141  -0.809 0.106  -0.614 0.084  -0.419 0.062  -0.223 0.054  -0.027 0.054  0.170 0.054  0.366 0.054  0.562 0.054  0.758 0.066  0.953 0.084  1.149 0.102  1.344 0.119  1.540 0.123  1.737 0.123  1.795 0.261
3#apb#apb08#app0802/i  -0.469 -0.057  -0.412 -0.142  -0.357 -0.229  -0.306 -0.319  -0.255 -0.408  -0.204 -0.497  -0.157 -0.589  -0.111 -0.681  -0.065 -0.773  -0.019 -0.865  0.027 -0.957  0.067 -1.052  0.105 -1.147  0.143 -1.243  0.181 -1.338  0.220 -1.434  0.209 -1.333  0.198 -1.230  0.186 -1.128  0.175 -1.026  0.164 -0.924  0.153 -0.822  0.142 -0.719  0.130 -0.617  0.119 -0.515  0.108 -0.413  0.097 -0.310  0.086 -0.208  0.075 -0.106  0.063 -0.004  0.052 0.099  0.041 0.201  0.030 0.303  0.019 0.405  0.007 0.508  -0.004 0.610  -0.015 0.712  -0.026 0.814  -0.037 0.917  -0.048 1.019  -0.060 1.121  -0.071 1.223  -0.082 1.325  -0.093 1.428  -0.102 1.530  -0.102 1.633  -0.049 1.720  0.022 1.780  0.096 1.820  0.128 1.917
3#apb#apb08#app0802/n  -1.428 -0.427  -1.348 -0.475  -1.268 -0.523  -1.206 -0.587  -1.165 -0.670  -1.104 -0.682  -1.027 -0.630  -0.949 -0.578  -0.884 -0.515  -0.836 -0.436  -0.788 -0.356  -0.767 -0.266  -0.748 -0.175  -0.732 -0.083  -0.717 0.008  -0.701 0.100  -0.672 0.188  -0.642 0.276  -0.605 0.360  -0.549 0.435  -0.490 0.505  -0.407 0.547  -0.324 0.588  -0.239 0.624  -0.147 0.639  -0.056 0.655  0.037 0.656  0.129 0.646  0.222 0.637  0.314 0.628  0.403 0.608  0.477 0.553  0.551 0.497  0.626 0.441  0.700 0.385  0.762 0.316  0.823 0.246  0.883 0.175  0.944 0.105  0.987 0.023  1.029 -0.060  1.070 -0.144  1.112 -0.227  1.153 -0.310  1.182 -0.398  1.212 -0.487  1.243 -0.574  1.277 -0.660  1.312 -0.747  1.353 -0.830
3#apb#apb08#app0802/g  -0.249 0.763  -0.121 0.817  0.009 0.855  0.029 0.974  -0.091 1.039  -0.226 1.067  -0.364 1.071  -0.501 1.052  -0.609 0.979  -0.698 0.872  -0.744 0.743  -0.780 0.610  -0.810 0.474  -0.829 0.340  -0.791 0.206  -0.720 0.092  -0.611 0.022  -0.473 0.030  -0.336 0.049  -0.225 0.126  -0.120 0.216  -0.015 0.307  0.089 0.399  0.198 0.483  0.315 0.558  0.432 0.632  0.555 0.695  0.682 0.714  0.749 0.600  0.764 0.466  0.754 0.327  0.744 0.189  0.724 0.053  0.690 -0.082  0.656 -0.216  0.614 -0.348  0.567 -0.478  0.520 -0.608  0.464 -0.734  0.393 -0.853  0.322 -0.972  0.251 -1.091  0.179 -1.209  0.103 -1.324  0.005 -1.422  -0.093 -1.520  -0.191 -1.618  -0.290 -1.715  -0.398 -1.801  -0.526 -1.830
3#apb#apb08#app0802/W  -1.531 0.774  -1.447 0.702  -1.387 0.593  -1.332 0.481  -1.295 0.363  -1.258 0.244  -1.209 0.130  -1.154 0.018  -1.100 -0.094  -1.054 -0.209  -0.995 -0.318  -0.917 -0.415  -0.849 -0.509  -0.735 -0.465  -0.666 -0.368  -0.609 -0.257  -0.521 -0.169  -0.452 -0.068  -0.402 0.046  -0.340 0.154  -0.279 0.257  -0.162 0.224  -0.067 0.147  0.016 0.054  0.095 -0.042  0.169 -0.142  0.242 -0.243  0.320 -0.340  0.400 -0.435  0.481 -0.529  0.564 -0.622  0.647 -0.714  0.746 -0.790  0.841 -0.799  0.917 -0.701  0.962 -0.590  0.971 -0.466  0.979 -0.342  0.986 -0.218  0.992 -0.093  0.996 0.031  0.990 0.155  0.984 0.279  0.979 0.404  0.965 0.527  0.948 0.651  0.927 0.773  0.900 0.895  0.882 1.017  0.863 1.023
3#apb#apb08#app0802/e  -1.286 0.709  -1.129 0.640  -0.973 0.570  -0.833 0.479  -0.723 0.348  -0.605 0.225  -0.463 0.130  -0.316 0.043  -0.159 -0.024  -0.000 -0.090  0.160 -0.150  0.320 -0.210  0.491 -0.213  0.662 -0.213  0.832 -0.198  1.001 -0.170  1.098 -0.037  1.173 0.116  1.220 0.280  1.230 0.443  1.169 0.604  1.107 0.763  1.000 0.896  0.872 0.986  0.701 0.986  0.532 0.974  0.376 0.904  0.219 0.835  0.068 0.756  -0.079 0.668  -0.226 0.580  -0.359 0.476  -0.471 0.346  -0.582 0.216  -0.694 0.086  -0.805 -0.044  -0.893 -0.188  -0.947 -0.350  -0.963 -0.519  -0.903 -0.672  -0.777 -0.783  -0.634 -0.878  -0.492 -0.973  -0.335 -1.041  -0.175 -1.099  -0.014 -1.158  0.151 -1.204  0.318 -1.243  0.484 -1.281  0.651 -1.320
