3#app#app25#app2544/f  1.476 1.258  1.305 1.258  1.133 1.258  0.962 1.258  0.790 1.258  0.690 1.186  0.604 1.101  0.533 1.000  0.419 0.943  0.247 0.943  0.219 0.800  0.062 0.786  0.062 0.614  0.062 0.443  0.062 0.272  0.062 0.100  0.062 -0.071  0.062 -0.243  0.062 -0.414  0.062 -0.586  0.062 -0.757  0.062 -0.929  -0.096 -0.942  -0.253 -0.957  -0.253 -1.070  -0.296 -0.942  -0.410 -1.000  -0.482 -1.100  -0.567 -1.186  -0.668 -1.257  -0.724 -1.372  -0.711 -1.285  -0.694 -1.114  -0.677 -0.944  -0.660 -0.773  -0.643 -0.602  -0.626 -0.432  -0.609 -0.261  -0.592 -0.091  -0.575 0.080  -0.501 0.224  -0.410 0.357  -0.353 0.472  -0.181 0.472  -0.010 0.472  0.161 0.472  0.219 0.358  0.347 0.315  0.519 0.315  0.690 0.315
3#app#app25#app2544/i  0.131 0.160  0.009 0.160  -0.093 0.112  -0.179 0.026  -0.221 -0.079  -0.227 -0.198  -0.313 -0.285  -0.397 -0.372  -0.397 -0.494  -0.469 -0.544  -0.573 -0.562  -0.573 -0.684  -0.659 -0.720  -0.749 -0.752  -0.749 -0.874  -0.749 -0.996  -0.704 -1.073  -0.582 -1.073  -0.460 -1.073  -0.338 -1.073  -0.216 -1.073  -0.094 -1.073  0.028 -1.073  0.133 -1.054  0.148 -0.933  0.162 -0.812  0.176 -0.691  0.190 -0.570  0.205 -0.448  0.219 -0.327  0.233 -0.206  0.247 -0.085  0.262 0.036  0.276 0.158  0.290 0.279  0.304 0.400  0.319 0.521  0.333 0.642  0.347 0.763  0.361 0.885  0.376 1.006  0.390 1.127  0.404 1.248  0.418 1.369  0.433 1.490  0.447 1.612  0.461 1.733  0.476 1.854  0.483 1.867  0.483 1.745
3#app#app25#app2544/v  -0.395 0.963  -0.395 1.097  -0.395 1.232  -0.395 1.107  -0.395 0.972  -0.395 0.837  -0.395 0.703  -0.395 0.568  -0.395 0.433  -0.477 0.332  -0.572 0.237  -0.667 0.142  -0.669 0.008  -0.669 -0.127  -0.669 -0.261  -0.669 -0.396  -0.669 -0.531  -0.669 -0.665  -0.787 -0.683  -0.922 -0.683  -0.944 -0.795  -0.944 -0.930  -0.836 -0.957  -0.701 -0.957  -0.566 -0.957  -0.432 -0.957  -0.326 -0.887  -0.231 -0.792  -0.135 -0.697  -0.006 -0.683  0.128 -0.683  0.153 -0.573  0.153 -0.438  0.227 -0.334  0.323 -0.239  0.418 -0.144  0.549 -0.134  0.683 -0.134  0.702 -0.018  0.702 0.117  0.781 0.219  0.876 0.314  0.971 0.409  1.066 0.505  1.162 0.600  1.260 0.688  1.394 0.688  1.524 0.693  1.524 0.828  1.524 0.963
3#app#app25#app2544/e  -0.509 0.066  -0.335 0.066  -0.162 0.066  -0.036 -0.050  0.112 -0.113  0.286 -0.113  0.460 -0.113  0.613 -0.062  0.736 0.061  0.908 0.066  0.919 0.229  1.077 0.244  1.251 0.244  1.276 0.393  1.276 0.567  1.276 0.741  1.180 0.875  1.041 0.958  0.867 0.958  0.693 0.958  0.532 0.928  0.409 0.805  0.245 0.780  0.072 0.780  0.026 0.651  -0.098 0.601  -0.272 0.601  -0.412 0.520  -0.545 0.423  -0.710 0.401  -0.833 0.278  -0.866 0.118  -0.953 -0.020  -1.075 -0.143  -1.198 -0.266  -1.223 -0.430  -1.223 -0.604  -1.223 -0.778  -1.098 -0.827  -0.960 -0.912  -0.824 -1.005  -0.651 -1.005  -0.477 -1.005  -0.331 -0.977  -0.308 -0.827  -0.134 -0.827  0.040 -0.827  0.214 -0.827  0.388 -0.827  0.562 -0.827
3#app#app25#app2544/r  0.652 0.990  0.518 0.901  0.384 0.811  0.250 0.722  0.116 0.633  -0.018 0.543  -0.120 0.437  -0.120 0.276  -0.224 0.218  -0.377 0.211  -0.377 0.050  -0.450 -0.039  -0.611 -0.039  -0.635 -0.176  -0.676 -0.296  -0.837 -0.296  -0.892 -0.402  -0.892 -0.563  -0.892 -0.724  -0.967 -0.811  -1.128 -0.811  -1.149 -0.950  -1.149 -1.025  -1.149 -0.864  -1.073 -0.735  -0.959 -0.621  -0.845 -0.507  -0.731 -0.393  -0.610 -0.296  -0.449 -0.296  -0.377 -0.207  -0.377 -0.046  -0.223 -0.039  -0.079 0.002  0.035 0.116  0.154 0.218  0.315 0.218  0.476 0.218  0.637 0.218  0.798 0.218  0.959 0.218  1.120 0.218  1.248 0.299  1.362 0.413  1.424 0.403  1.424 0.241  1.521 0.316  1.635 0.430  1.681 0.379  1.681 0.218
3#app#app25#app2544/w  -0.971 1.012  -0.971 0.840  -0.971 0.669  -0.971 0.498  -1.079 0.372  -1.148 0.229  -1.148 0.058  -1.148 -0.113  -1.148 -0.285  -1.148 -0.456  -1.148 -0.627  -1.111 -0.761  -0.971 -0.731  -0.946 -0.584  -0.780 -0.571  -0.659 -0.450  -0.538 -0.329  -0.417 -0.208  -0.296 -0.087  -0.262 0.070  -0.262 0.241  -0.152 0.302  -0.084 0.406  -0.015 0.549  0.111 0.657  0.270 0.669  0.270 0.828  0.270 0.657  0.270 0.486  0.270 0.315  0.270 0.143  0.270 -0.028  0.167 -0.156  0.093 -0.297  0.093 -0.468  0.148 -0.584  0.319 -0.584  0.490 -0.584  0.662 -0.584  0.824 -0.562  0.945 -0.441  1.102 -0.407  1.157 -0.291  1.235 -0.152  1.334 -0.022  1.359 0.125  1.512 0.143  1.524 0.302  1.689 0.309  1.689 0.480
3#app#app25#app2544/h  1.154 1.909  1.024 1.779  0.873 1.700  0.735 1.653  0.714 1.491  0.530 1.491  0.526 1.310  0.416 1.172  0.316 1.029  0.304 0.850  0.174 0.720  0.107 0.563  0.043 0.443  -0.103 0.405  -0.112 0.224  -0.242 0.094  -0.312 -0.061  -0.372 -0.185  -0.521 -0.220  -0.531 -0.395  -0.715 -0.395  -0.731 -0.563  -0.731 -0.747  -0.731 -0.931  -0.823 -1.023  -0.940 -0.956  -0.899 -0.813  -0.715 -0.813  -0.531 -0.813  -0.521 -0.639  -0.521 -0.455  -0.397 -0.395  -0.312 -0.296  -0.239 -0.185  -0.103 -0.137  -0.080 0.024  0.104 0.024  0.288 0.024  0.160 0.024  0.107 -0.106  0.212 -0.185  0.396 -0.185  0.526 -0.240  0.526 -0.424  0.523 -0.607  0.393 -0.737  0.316 -0.889  0.316 -1.074  0.291 -1.232  0.107 -1.232
3#app#app25#app2544/i  -0.089 0.514  -0.089 0.388  -0.089 0.263  -0.113 0.161  -0.239 0.161  -0.266 0.062  -0.300 -0.049  -0.388 -0.138  -0.492 -0.192  -0.617 -0.192  -0.619 -0.316  -0.692 -0.369  -0.795 -0.391  -0.795 -0.517  -0.795 -0.642  -0.795 -0.768  -0.795 -0.894  -0.795 -1.019  -0.725 -1.075  -0.599 -1.075  -0.474 -1.075  -0.348 -1.075  -0.222 -1.075  -0.097 -1.075  0.029 -1.075  0.103 -1.009  0.132 -0.887  0.160 -0.765  0.189 -0.642  0.218 -0.520  0.247 -0.398  0.275 -0.275  0.304 -0.153  0.333 -0.031  0.362 0.092  0.391 0.214  0.419 0.336  0.448 0.459  0.477 0.581  0.506 0.703  0.534 0.825  0.563 0.948  0.592 1.070  0.621 1.192  0.650 1.315  0.678 1.437  0.707 1.559  0.736 1.682  0.765 1.804  0.793 1.926
3#app#app25#app2544/l  1.137 1.570  1.056 1.488  0.974 1.407  0.893 1.326  0.877 1.218  0.877 1.103  0.815 1.050  0.701 1.050  0.617 1.019  0.617 0.904  0.616 0.791  0.501 0.791  0.387 0.791  0.358 0.705  0.358 0.590  0.318 0.492  0.237 0.410  0.156 0.329  0.098 0.238  0.098 0.124  0.095 0.012  -0.019 0.012  -0.134 0.012  -0.161 -0.076  -0.161 -0.190  -0.219 -0.248  -0.333 -0.248  -0.448 -0.248  -0.563 -0.248  -0.678 -0.248  -0.760 -0.327  -0.841 -0.408  -0.922 -0.489  -0.940 -0.596  -0.940 -0.711  -0.881 -0.767  -0.767 -0.767  -0.681 -0.796  -0.681 -0.910  -0.681 -1.025  -0.567 -1.027  -0.453 -1.027  -0.338 -1.027  -0.223 -1.027  -0.124 -0.989  -0.043 -0.908  0.038 -0.827  0.128 -0.767  0.243 -0.767  0.358 -0.767
3#app#app25#app2544/e  -0.325 -0.088  -0.325 0.088  -0.148 0.088  0.028 0.088  0.205 0.088  0.381 0.088  0.558 0.088  0.734 0.088  0.909 0.090  0.911 0.264  1.088 0.264  1.261 0.267  1.261 0.444  1.261 0.620  1.258 0.793  1.081 0.793  0.905 0.793  0.728 0.793  0.552 0.793  0.377 0.790  0.252 0.665  0.095 0.617  -0.081 0.617  -0.258 0.617  -0.325 0.508  -0.435 0.441  -0.611 0.441  -0.756 0.363  -0.880 0.238  -1.005 0.113  -1.171 0.088  -1.348 0.088  -1.383 -0.054  -1.383 -0.230  -1.383 -0.407  -1.282 -0.541  -1.137 -0.617  -0.981 -0.666  -0.856 -0.791  -0.680 -0.793  -0.504 -0.793  -0.327 -0.793  -0.151 -0.793  0.026 -0.793  0.202 -0.793  0.379 -0.793  0.556 -0.793  0.732 -0.793  0.909 -0.793  1.085 -0.793
3#app#app25#app2544/d  0.202 -0.094  0.164 0.091  0.009 0.201  -0.192 0.201  -0.245 0.054  -0.446 0.054  -0.646 0.054  -0.699 -0.094  -0.880 -0.142  -1.040 -0.242  -1.127 -0.355  -1.275 -0.408  -1.347 -0.537  -1.511 -0.626  -1.570 -0.802  -1.400 -0.832  -1.199 -0.832  -0.998 -0.832  -0.807 -0.808  -0.658 -0.685  -0.457 -0.685  -0.295 -0.591  -0.241 -0.413  -0.115 -0.264  0.070 -0.226  0.212 -0.084  0.354 0.058  0.496 0.200  0.638 0.342  0.780 0.484  0.965 0.521  1.115 0.644  1.236 0.724  1.369 0.792  1.383 0.978  1.383 0.996  1.239 0.940  1.186 0.792  0.985 0.792  0.932 0.644  0.749 0.601  0.645 0.443  0.538 0.349  0.384 0.236  0.242 0.094  0.100 -0.048  0.054 -0.230  -0.093 -0.283  -0.093 -0.484  -0.093 -0.685
3#app#app25#app2544/r  0.968 1.327  0.803 1.327  0.645 1.308  0.529 1.191  0.412 1.074  0.360 0.930  0.360 0.764  0.276 0.634  0.159 0.517  0.057 0.394  0.057 0.229  0.009 0.111  -0.156 0.111  -0.247 0.037  -0.247 -0.129  -0.348 -0.193  -0.514 -0.193  -0.551 -0.321  -0.551 -0.486  -0.706 -0.497  -0.871 -0.497  -1.036 -0.497  -1.189 -0.527  -1.306 -0.644  -1.423 -0.761  -1.354 -0.801  -1.189 -0.801  -1.024 -0.801  -0.858 -0.801  -0.741 -0.686  -0.624 -0.569  -0.488 -0.497  -0.323 -0.497  -0.247 -0.407  -0.247 -0.242  -0.131 -0.193  0.035 -0.193  0.057 -0.050  0.061 0.111  0.227 0.111  0.392 0.111  0.557 0.111  0.723 0.111  0.888 0.111  1.053 0.111  1.219 0.111  1.384 0.111  1.549 0.111  1.715 0.111  1.880 0.111
3#app#app25#app2544/i  -0.171 -0.031  -0.084 0.056  0.003 0.143  0.049 0.132  0.049 0.009  0.049 -0.115  0.049 -0.238  -0.028 -0.329  -0.115 -0.416  -0.215 -0.472  -0.339 -0.472  -0.392 -0.542  -0.392 -0.665  -0.392 -0.789  -0.392 -0.912  -0.514 -0.913  -0.612 -0.938  -0.612 -1.061  -0.612 -1.184  -0.612 -1.307  -0.580 -1.285  -0.528 -1.173  -0.475 -1.061  -0.423 -0.950  -0.371 -0.838  -0.319 -0.726  -0.267 -0.614  -0.215 -0.503  -0.163 -0.391  -0.111 -0.279  -0.059 -0.168  -0.006 -0.056  0.046 0.056  0.098 0.167  0.150 0.279  0.202 0.391  0.254 0.502  0.306 0.614  0.358 0.726  0.410 0.837  0.463 0.949  0.515 1.061  0.567 1.172  0.619 1.284  0.671 1.396  0.723 1.507  0.775 1.619  0.827 1.731  0.880 1.842  0.932 1.954
3#app#app25#app2544/n  1.072 1.369  0.893 1.280  0.715 1.191  0.537 1.102  0.488 0.933  0.436 0.786  0.236 0.786  0.196 0.627  0.129 0.494  -0.070 0.494  -0.218 0.371  -0.359 0.230  -0.500 0.090  -0.641 -0.051  -0.679 -0.235  -0.732 -0.381  -0.932 -0.381  -0.970 -0.541  -1.038 -0.672  -1.238 -0.672  -1.262 -0.847  -1.262 -0.881  -1.262 -0.682  -1.072 -0.672  -0.970 -0.575  -0.965 -0.381  -0.766 -0.381  -0.679 -0.269  -0.659 -0.089  -0.460 -0.089  -0.261 -0.089  -0.095 -0.055  -0.095 0.144  0.046 0.203  0.196 0.251  0.196 0.450  0.352 0.494  0.551 0.494  0.750 0.494  0.780 0.325  0.857 0.203  1.056 0.203  1.072 0.018  1.072 -0.181  1.072 -0.380  1.072 -0.579  0.996 -0.748  0.855 -0.888  0.780 -1.056  0.780 -1.256
3#app#app25#app2544/k  0.177 1.680  0.349 1.852  0.335 1.838  0.177 1.660  0.168 1.420  -0.004 1.247  -0.075 1.033  -0.075 0.789  -0.166 0.583  -0.327 0.405  -0.327 0.162  -0.327 -0.082  -0.571 -0.082  -0.579 -0.318  -0.579 -0.562  -0.579 -0.806  -0.791 -0.837  -0.830 -1.042  -0.830 -1.286  -1.019 -1.341  -1.082 -1.160  -0.945 -0.983  -0.753 -0.833  -0.560 -0.683  -0.368 -0.533  -0.175 -0.384  0.017 -0.234  0.210 -0.084  0.402 0.065  0.595 0.215  0.787 0.365  0.980 0.515  1.172 0.664  0.954 0.673  0.710 0.673  0.680 0.459  0.534 0.275  0.334 0.170  0.177 0.083  0.098 -0.082  -0.075 -0.153  -0.138 -0.334  -0.272 -0.334  -0.028 -0.334  0.216 -0.334  0.428 -0.365  0.428 -0.609  0.428 -0.853  0.436 -1.089  0.680 -1.089
3#app#app25#app2544/i  0.244 0.380  0.153 0.290  0.063 0.199  0.035 0.082  0.026 -0.037  -0.102 -0.037  -0.173 -0.093  -0.173 -0.222  -0.247 -0.319  -0.338 -0.410  -0.382 -0.519  -0.382 -0.648  -0.382 -0.776  -0.382 -0.904  -0.382 -1.032  -0.462 -1.080  -0.590 -1.080  -0.591 -1.208  -0.638 -1.289  -0.766 -1.289  -0.750 -1.208  -0.682 -1.099  -0.615 -0.990  -0.548 -0.881  -0.481 -0.771  -0.414 -0.662  -0.347 -0.553  -0.279 -0.444  -0.212 -0.335  -0.145 -0.226  -0.078 -0.117  -0.011 -0.008  0.056 0.101  0.123 0.211  0.191 0.320  0.258 0.429  0.325 0.538  0.392 0.647  0.459 0.756  0.526 0.865  0.593 0.974  0.661 1.084  0.728 1.193  0.795 1.302  0.862 1.411  0.870 1.537  0.870 1.599  0.870 1.471  0.789 1.423  0.661 1.423
3#app#app25#app2544/n  0.719 1.525  0.719 1.335  0.663 1.169  0.529 1.034  0.395 0.900  0.260 0.766  0.126 0.632  -0.008 0.498  -0.142 0.363  -0.277 0.229  -0.411 0.095  -0.485 -0.064  -0.485 -0.254  -0.601 -0.396  -0.735 -0.530  -0.903 -0.582  -1.087 -0.587  -1.087 -0.777  -1.172 -0.883  -1.361 -0.883  -1.226 -0.883  -1.087 -0.831  -1.087 -0.641  -0.995 -0.490  -0.861 -0.355  -0.702 -0.281  -0.512 -0.281  -0.485 -0.118  -0.485 0.072  -0.485 0.262  -0.355 0.321  -0.165 0.321  0.024 0.321  0.214 0.321  0.404 0.321  0.594 0.321  0.719 0.386  0.719 0.576  0.862 0.622  1.020 0.590  1.020 0.400  1.020 0.210  1.020 0.020  1.020 -0.170  1.020 -0.359  1.020 -0.549  0.908 -0.693  0.774 -0.827  0.719 -0.994  0.719 -1.184
3#app#app25#app2544/g  1.046 0.480  1.046 0.700  1.046 0.919  1.046 1.139  0.868 1.180  0.648 1.180  0.429 1.180  0.346 1.043  0.165 1.005  -0.004 0.954  -0.004 0.734  -0.144 0.655  -0.179 0.470  -0.124 0.305  0.096 0.305  0.315 0.305  0.521 0.319  0.579 0.480  0.799 0.480  0.871 0.627  0.854 0.480  0.696 0.419  0.621 0.230  0.521 0.052  0.399 -0.045  0.346 -0.212  0.309 -0.395  0.171 -0.476  0.045 -0.570  -0.124 -0.690  -0.321 -0.744  -0.366 -0.919  -0.585 -0.919  -0.775 -0.991  -0.952 -1.094  -1.137 -1.178  -1.319 -1.269  -1.403 -1.134  -1.228 -1.090  -1.194 -0.885  -1.038 -0.730  -0.883 -0.574  -0.703 -0.532  -0.621 -0.395  -0.528 -0.268  -0.357 -0.220  -0.179 -0.178  -0.093 -0.045  0.127 -0.045  0.346 -0.045
