1c#apa#apa10#app1025/h  0.095 1.391  0.044 1.494  -0.007 1.597  -0.059 1.699  -0.094 1.734  -0.094 1.619  -0.102 1.505  -0.115 1.391  -0.128 1.277  -0.140 1.163  -0.153 1.049  -0.166 0.934  -0.178 0.820  -0.191 0.706  -0.204 0.592  -0.217 0.478  -0.229 0.364  -0.242 0.250  -0.255 0.136  -0.267 0.022  -0.280 -0.092  -0.283 -0.207  -0.283 -0.321  -0.283 -0.436  -0.299 -0.548  -0.335 -0.657  -0.372 -0.766  -0.408 -0.875  -0.444 -0.984  -0.455 -1.086  -0.373 -1.168  -0.292 -1.249  -0.227 -1.173  -0.163 -1.078  -0.099 -0.982  -0.036 -0.887  0.028 -0.791  0.092 -0.696  0.172 -0.614  0.253 -0.533  0.334 -0.451  0.415 -0.370  0.506 -0.312  0.620 -0.312  0.714 -0.363  0.795 -0.444  0.852 -0.535  0.852 -0.650  0.852 -0.765  0.852 -0.879
1c#apa#apa10#app1025/v  -0.579 0.224  -0.632 0.330  -0.685 0.436  -0.738 0.542  -0.791 0.648  -0.844 0.754  -0.897 0.860  -0.903 0.766  -0.903 0.647  -0.903 0.529  -0.903 0.410  -0.903 0.292  -0.880 0.179  -0.827 0.073  -0.774 -0.033  -0.721 -0.139  -0.668 -0.245  -0.615 -0.351  -0.562 -0.457  -0.509 -0.563  -0.456 -0.669  -0.403 -0.775  -0.351 -0.881  -0.298 -0.987  -0.231 -1.071  -0.112 -1.071  0.006 -1.071  0.108 -1.031  0.192 -0.947  0.276 -0.863  0.359 -0.780  0.415 -0.678  0.452 -0.566  0.490 -0.454  0.527 -0.341  0.565 -0.229  0.602 -0.116  0.640 -0.004  0.677 0.108  0.715 0.221  0.797 0.305  0.881 0.389  0.965 0.473  1.045 0.559  1.098 0.665  1.151 0.771  1.204 0.877  1.257 0.983  1.310 1.089  1.363 1.195
1c#apa#apa10#app1025/e  -0.498 -0.133  -0.616 -0.015  -0.734 0.103  -0.746 0.221  -0.628 0.339  -0.510 0.458  -0.392 0.364  -0.274 0.246  -0.139 0.168  0.028 0.168  0.186 0.208  0.335 0.283  0.485 0.358  0.634 0.433  0.768 0.529  0.886 0.647  1.004 0.765  0.899 0.884  0.780 1.002  0.643 1.073  0.476 1.073  0.309 1.073  0.142 1.073  -0.012 1.015  -0.161 0.940  -0.311 0.865  -0.460 0.790  -0.554 0.660  -0.628 0.510  -0.703 0.361  -0.778 0.212  -0.799 0.050  -0.799 -0.118  -0.799 -0.285  -0.787 -0.447  -0.669 -0.565  -0.551 -0.683  -0.433 -0.801  -0.315 -0.919  -0.197 -1.038  -0.078 -1.156  0.040 -1.274  0.177 -1.322  0.339 -1.281  0.502 -1.241  0.664 -1.200  0.826 -1.160  0.988 -1.119  1.150 -1.079  1.312 -1.038
1c#apa#apa10#app1025/r  -0.690 0.289  -0.690 0.437  -0.690 0.586  -0.635 0.679  -0.487 0.679  -0.339 0.679  -0.223 0.601  -0.118 0.496  -0.013 0.391  0.089 0.285  0.089 0.137  0.089 -0.011  0.089 -0.160  0.089 -0.308  0.089 -0.456  0.089 -0.604  0.089 -0.753  0.080 -0.899  0.014 -1.032  -0.053 -1.164  -0.119 -1.297  -0.185 -1.429  -0.251 -1.562  -0.300 -1.621  -0.300 -1.473  -0.300 -1.325  -0.300 -1.176  -0.300 -1.028  -0.300 -0.880  -0.300 -0.731  -0.300 -0.583  -0.283 -0.438  -0.236 -0.297  -0.189 -0.156  -0.142 -0.016  -0.095 0.125  -0.048 0.266  -0.001 0.406  0.045 0.547  0.096 0.686  0.201 0.790  0.306 0.895  0.411 1.000  0.515 1.105  0.620 1.210  0.725 1.315  0.830 1.420  0.962 1.459  1.111 1.459  1.259 1.459
1c#apa#apa10#app1025/y  -0.570 0.822  -0.570 0.959  -0.683 0.983  -0.821 0.983  -0.891 0.916  -0.891 0.778  -0.891 0.641  -0.891 0.504  -0.797 0.406  -0.687 0.339  -0.549 0.339  -0.412 0.339  -0.275 0.339  -0.170 0.418  -0.073 0.515  0.024 0.612  0.121 0.709  0.218 0.806  0.315 0.903  0.420 0.983  0.557 0.982  0.654 0.885  0.732 0.776  0.775 0.646  0.819 0.515  0.862 0.385  0.877 0.250  0.877 0.113  0.877 -0.024  0.869 -0.160  0.808 -0.282  0.746 -0.405  0.685 -0.528  0.623 -0.651  0.562 -0.773  0.501 -0.896  0.439 -1.019  0.358 -1.120  0.228 -1.163  0.098 -1.206  -0.032 -1.250  -0.162 -1.243  -0.293 -1.200  -0.423 -1.156  -0.553 -1.113  -0.607 -0.993  -0.651 -0.863  -0.694 -0.733  -0.730 -0.602  -0.730 -0.464
1c#apa#apa10#app1025/o  0.134 0.752  -0.005 0.752  -0.143 0.752  -0.271 0.703  -0.395 0.641  -0.519 0.578  -0.643 0.516  -0.767 0.454  -0.837 0.337  -0.899 0.213  -0.961 0.089  -1.023 -0.035  -1.085 -0.159  -1.088 -0.298  -1.088 -0.437  -1.013 -0.544  -0.914 -0.643  -0.816 -0.741  -0.718 -0.839  -0.620 -0.937  -0.522 -1.035  -0.405 -1.057  -0.274 -1.013  -0.142 -0.969  -0.010 -0.925  0.122 -0.881  0.253 -0.837  0.385 -0.793  0.521 -0.775  0.660 -0.775  0.762 -0.724  0.806 -0.593  0.850 -0.461  0.894 -0.329  0.938 -0.197  0.982 -0.066  1.026 0.066  1.024 0.195  0.962 0.319  0.900 0.443  0.838 0.567  0.776 0.692  0.695 0.803  0.597 0.901  0.499 0.999  0.384 1.058  0.245 1.058  0.107 1.058  -0.032 1.058  -0.171 1.058
1c#apa#apa10#app1025/p  -0.151 0.772  -0.151 0.630  -0.151 0.489  -0.151 0.348  -0.151 0.206  -0.151 0.065  -0.151 -0.076  -0.151 -0.217  -0.157 -0.358  -0.192 -0.495  -0.226 -0.632  -0.260 -0.769  -0.294 -0.906  -0.329 -1.043  -0.336 -1.184  -0.336 -1.325  -0.354 -1.459  -0.454 -1.559  -0.520 -1.577  -0.519 -1.436  -0.492 -1.298  -0.464 -1.159  -0.436 -1.021  -0.408 -0.882  -0.381 -0.744  -0.353 -0.605  -0.315 -0.470  -0.259 -0.340  -0.204 -0.210  -0.148 -0.080  -0.092 0.050  -0.037 0.179  0.019 0.309  0.075 0.439  0.130 0.569  0.186 0.699  0.245 0.827  0.308 0.954  0.371 1.080  0.454 1.192  0.554 1.292  0.654 1.392  0.753 1.492  0.770 1.391  0.770 1.250  0.770 1.109  0.770 0.968  0.712 0.840  0.649 0.714  0.586 0.587
1c#apa#apa10#app1025/p  -0.028 0.475  -0.028 0.345  -0.045 0.217  -0.087 0.093  -0.128 -0.030  -0.169 -0.154  -0.210 -0.278  -0.247 -0.403  -0.279 -0.530  -0.311 -0.656  -0.342 -0.783  -0.374 -0.909  -0.406 -1.036  -0.437 -1.162  -0.439 -1.293  -0.439 -1.423  -0.439 -1.554  -0.439 -1.480  -0.439 -1.350  -0.439 -1.219  -0.439 -1.089  -0.439 -0.958  -0.439 -0.828  -0.416 -0.702  -0.368 -0.581  -0.319 -0.459  -0.271 -0.338  -0.222 -0.217  -0.174 -0.096  -0.126 0.025  -0.077 0.146  -0.029 0.268  0.013 0.391  0.054 0.515  0.095 0.639  0.137 0.763  0.178 0.886  0.270 0.979  0.362 1.071  0.454 1.163  0.547 1.256  0.639 1.348  0.731 1.440  0.795 1.464  0.795 1.333  0.795 1.203  0.795 1.072  0.795 0.942  0.795 0.811  0.795 0.681
1c#apa#apa10#app1025/o  -0.158 0.175  -0.299 0.175  -0.440 0.175  -0.546 0.091  -0.646 -0.009  -0.745 -0.108  -0.766 -0.240  -0.766 -0.381  -0.766 -0.522  -0.766 -0.663  -0.718 -0.784  -0.619 -0.883  -0.519 -0.983  -0.402 -1.040  -0.261 -1.040  -0.120 -1.040  0.020 -1.040  0.160 -1.033  0.286 -0.970  0.411 -0.907  0.537 -0.844  0.663 -0.781  0.771 -0.700  0.834 -0.574  0.897 -0.448  0.960 -0.322  1.023 -0.196  1.057 -0.063  1.057 0.078  1.057 0.218  1.057 0.359  1.042 0.494  0.942 0.593  0.842 0.693  0.739 0.783  0.598 0.783  0.457 0.783  0.316 0.783  0.176 0.783  0.035 0.783  -0.106 0.783  -0.247 0.783  -0.388 0.783  -0.529 0.783  -0.669 0.783  -0.810 0.783  -0.951 0.783  -1.092 0.783  -1.233 0.783  -1.373 0.783
1c#apa#apa10#app1025/r  -0.732 0.618  -0.601 0.618  -0.469 0.618  -0.338 0.618  -0.299 0.525  -0.299 0.394  -0.299 0.262  -0.299 0.130  -0.299 -0.001  -0.299 -0.133  -0.299 -0.264  -0.299 -0.396  -0.299 -0.528  -0.299 -0.659  -0.299 -0.791  -0.299 -0.922  -0.299 -1.054  -0.299 -1.186  -0.299 -1.317  -0.299 -1.449  -0.299 -1.515  -0.299 -1.383  -0.299 -1.251  -0.299 -1.120  -0.299 -0.988  -0.299 -0.857  -0.299 -0.725  -0.299 -0.593  -0.299 -0.462  -0.299 -0.330  -0.277 -0.204  -0.218 -0.086  -0.159 0.032  -0.100 0.149  -0.042 0.267  0.017 0.385  0.076 0.502  0.136 0.619  0.254 0.678  0.371 0.737  0.489 0.796  0.607 0.855  0.724 0.914  0.842 0.972  0.960 1.031  1.061 1.113  1.154 1.206  1.247 1.299  1.341 1.392  1.434 1.485
1c#apa#apa10#app1025/t  0.052 1.441  0.052 1.618  0.052 1.795  0.052 1.951  0.050 1.774  0.025 1.598  -0.000 1.423  -0.025 1.248  -0.050 1.073  -0.075 0.897  -0.100 0.722  -0.134 0.550  -0.213 0.391  -0.292 0.233  -0.328 0.060  -0.363 -0.114  -0.398 -0.287  -0.432 -0.461  -0.467 -0.634  -0.468 -0.811  -0.468 -0.988  -0.465 -1.164  -0.340 -1.289  -0.181 -1.334  -0.010 -1.297  0.158 -1.241  0.326 -1.185  0.482 -1.105  0.629 -1.007  0.776 -0.909  0.914 -0.811  0.752 -0.739  0.590 -0.667  0.429 -0.596  0.267 -0.524  0.105 -0.452  -0.057 -0.380  -0.218 -0.308  -0.380 -0.236  -0.542 -0.164  -0.642 -0.052  -0.574 0.076  -0.406 0.132  -0.238 0.188  -0.068 0.227  0.109 0.227  0.286 0.227  0.463 0.227  0.620 0.275  0.746 0.400
1c#apa#apa10#app1025/u  -1.147 0.243  -1.147 0.339  -1.147 0.435  -1.147 0.531  -1.147 0.498  -1.147 0.402  -1.147 0.306  -1.123 0.220  -1.056 0.152  -0.988 0.084  -0.920 0.016  -0.852 -0.052  -0.799 -0.132  -0.756 -0.218  -0.713 -0.303  -0.670 -0.389  -0.627 -0.475  -0.584 -0.561  -0.541 -0.647  -0.489 -0.717  -0.393 -0.717  -0.296 -0.717  -0.200 -0.717  -0.104 -0.717  -0.008 -0.717  0.088 -0.717  0.169 -0.682  0.237 -0.614  0.305 -0.546  0.373 -0.478  0.441 -0.410  0.509 -0.342  0.577 -0.274  0.645 -0.206  0.713 -0.138  0.778 -0.068  0.821 0.018  0.864 0.104  0.907 0.190  0.950 0.276  0.993 0.362  1.036 0.448  1.079 0.534  1.094 0.626  1.094 0.722  1.094 0.819  1.094 0.915  1.094 1.011  1.094 1.107  1.094 1.203
1c#apa#apa10#app1025/n  -0.614 0.185  -0.699 0.100  -0.785 0.015  -0.870 -0.070  -0.938 -0.163  -0.938 -0.283  -0.938 -0.404  -0.938 -0.524  -0.938 -0.645  -0.938 -0.765  -0.938 -0.886  -0.938 -1.006  -0.921 -1.110  -0.801 -1.110  -0.680 -1.110  -0.597 -1.059  -0.559 -0.945  -0.521 -0.830  -0.483 -0.716  -0.444 -0.602  -0.406 -0.487  -0.368 -0.373  -0.330 -0.258  -0.292 -0.144  -0.209 -0.058  -0.124 0.028  -0.039 0.113  0.047 0.198  0.132 0.283  0.217 0.369  0.302 0.454  0.388 0.539  0.473 0.624  0.558 0.710  0.643 0.795  0.729 0.880  0.814 0.965  0.899 1.051  0.984 1.136  1.006 1.067  1.006 0.946  1.006 0.826  1.006 0.705  1.006 0.585  1.006 0.464  1.006 0.344  1.006 0.223  1.006 0.102  1.006 -0.018  1.006 -0.139
1c#apa#apa10#app1025/i  -0.085 -0.244  -0.160 -0.319  -0.235 -0.394  -0.277 -0.482  -0.277 -0.588  -0.277 -0.694  -0.277 -0.800  -0.277 -0.906  -0.277 -1.012  -0.277 -1.118  -0.262 -1.218  -0.187 -1.293  -0.112 -1.368  -0.018 -1.395  0.089 -1.395  0.107 -1.308  0.107 -1.202  0.107 -1.096  0.107 -0.990  0.107 -0.884  0.107 -0.778  0.107 -0.672  0.107 -0.566  0.107 -0.460  0.107 -0.354  0.107 -0.248  0.107 -0.142  0.107 -0.036  0.107 0.070  0.107 0.176  0.107 0.282  0.107 0.388  0.107 0.494  0.107 0.600  0.107 0.706  0.107 0.812  0.107 0.918  0.107 1.025  0.107 1.131  0.107 1.237  0.107 1.343  0.107 1.449  0.107 1.555  0.107 1.661  0.066 1.594  0.019 1.499  -0.029 1.404  -0.076 1.310  -0.085 1.206  -0.085 1.100
1c#apa#apa10#app1025/t  0.662 1.694  0.552 1.804  0.442 1.853  0.332 1.743  0.235 1.622  0.149 1.493  0.062 1.363  -0.024 1.234  -0.106 1.102  -0.163 0.957  -0.221 0.813  -0.279 0.668  -0.337 0.524  -0.395 0.379  -0.452 0.235  -0.475 0.084  -0.475 -0.072  -0.475 -0.228  -0.475 -0.383  -0.475 -0.539  -0.475 -0.695  -0.440 -0.842  -0.370 -0.981  -0.301 -1.120  -0.199 -1.236  -0.086 -1.339  0.070 -1.339  0.225 -1.339  0.352 -1.270  0.462 -1.160  0.536 -1.023  0.605 -0.884  0.636 -0.758  0.497 -0.688  0.358 -0.618  0.219 -0.549  0.080 -0.479  -0.060 -0.410  -0.199 -0.340  -0.338 -0.270  -0.475 -0.200  -0.475 -0.044  -0.352 -0.012  -0.201 0.016  -0.053 0.065  0.094 0.115  0.242 0.164  0.384 0.228  0.523 0.297  0.662 0.367
1c#apa#apa10#app1025/y  -0.620 1.217  -0.709 1.127  -0.749 1.029  -0.693 0.916  -0.636 0.802  -0.620 0.679  -0.550 0.621  -0.428 0.642  -0.315 0.699  -0.201 0.756  -0.105 0.837  -0.015 0.927  0.074 1.017  0.180 1.068  0.307 1.068  0.430 1.059  0.500 0.953  0.571 0.848  0.641 0.742  0.712 0.636  0.722 0.512  0.722 0.385  0.722 0.258  0.722 0.131  0.722 0.004  0.722 -0.123  0.722 -0.250  0.722 -0.377  0.685 -0.496  0.629 -0.609  0.572 -0.723  0.515 -0.836  0.458 -0.950  0.379 -1.041  0.265 -1.098  0.152 -1.155  0.028 -1.168  -0.099 -1.168  -0.226 -1.168  -0.354 -1.168  -0.478 -1.161  -0.568 -1.071  -0.637 -0.968  -0.677 -0.848  -0.717 -0.727  -0.757 -0.607  -0.740 -0.486  -0.700 -0.366  -0.660 -0.245  -0.620 -0.125
