2#apb#apb08#app0875/M  -1.191 0.339  -1.179 0.187  -1.187 0.034  -1.198 -0.118  -1.214 -0.270  -1.203 -0.422  -1.176 -0.571  -1.107 -0.707  -1.011 -0.642  -0.960 -0.499  -0.920 -0.352  -0.893 -0.202  -0.876 -0.050  -0.854 0.101  -0.816 0.249  -0.768 0.393  -0.688 0.523  -0.550 0.568  -0.438 0.481  -0.361 0.350  -0.311 0.206  -0.263 0.061  -0.216 -0.085  -0.154 -0.223  -0.080 -0.357  -0.014 -0.495  0.044 -0.636  0.133 -0.656  0.192 -0.516  0.245 -0.373  0.295 -0.229  0.345 -0.084  0.390 0.062  0.432 0.209  0.473 0.356  0.542 0.491  0.620 0.623  0.719 0.737  0.849 0.812  0.969 0.741  1.068 0.624  1.142 0.493  1.198 0.350  1.248 0.206  1.293 0.060  1.348 -0.082  1.419 -0.217  1.489 -0.353  1.556 -0.490  1.620 -0.629
2#apb#apb08#app0875/p  -0.337 0.037  -0.402 -0.066  -0.422 -0.227  -0.432 -0.388  -0.432 -0.549  -0.432 -0.711  -0.448 -0.871  -0.465 -1.032  -0.452 -1.192  -0.439 -1.351  -0.451 -1.511  -0.484 -1.378  -0.529 -1.222  -0.558 -1.064  -0.577 -0.903  -0.596 -0.743  -0.606 -0.582  -0.611 -0.420  -0.616 -0.259  -0.622 -0.097  -0.607 0.063  -0.589 0.224  -0.571 0.384  -0.504 0.527  -0.413 0.660  -0.321 0.793  -0.202 0.902  -0.081 1.009  0.043 1.111  0.193 1.172  0.342 1.234  0.503 1.236  0.664 1.233  0.820 1.192  0.965 1.131  1.073 1.011  1.117 0.864  1.128 0.703  1.086 0.548  1.037 0.394  0.966 0.250  0.877 0.116  0.773 -0.007  0.651 -0.113  0.528 -0.216  0.387 -0.295  0.246 -0.375  0.090 -0.415  -0.067 -0.424  -0.223 -0.381
2#apb#apb08#app0875/r  -0.631 0.481  -0.631 0.370  -0.631 0.259  -0.631 0.147  -0.631 0.036  -0.631 -0.076  -0.631 -0.187  -0.631 -0.299  -0.623 -0.409  -0.606 -0.520  -0.589 -0.630  -0.573 -0.740  -0.563 -0.851  -0.553 -0.962  -0.517 -1.061  -0.438 -1.139  -0.407 -1.238  -0.435 -1.189  -0.435 -1.077  -0.435 -0.966  -0.435 -0.855  -0.435 -0.743  -0.431 -0.632  -0.425 -0.521  -0.419 -0.409  -0.413 -0.298  -0.404 -0.187  -0.344 -0.094  -0.284 0.000  -0.224 0.094  -0.163 0.187  -0.079 0.259  0.009 0.327  0.097 0.395  0.186 0.463  0.281 0.520  0.379 0.573  0.477 0.626  0.576 0.678  0.678 0.722  0.780 0.766  0.883 0.810  0.986 0.851  1.094 0.880  1.202 0.908  1.309 0.937  1.418 0.958  1.529 0.958  1.640 0.948  1.750 0.929
2#apb#apb08#app0875/i  -0.313 1.487  -0.313 1.561  -0.266 1.536  -0.272 1.462  -0.277 1.388  -0.283 1.314  -0.289 1.239  -0.295 1.165  -0.301 1.091  -0.307 1.017  -0.313 0.943  -0.319 0.869  -0.325 0.795  -0.331 0.720  -0.337 0.646  -0.343 0.572  -0.349 0.498  -0.355 0.424  -0.360 0.350  -0.313 0.325  -0.240 0.307  -0.189 0.261  -0.149 0.198  -0.109 0.135  -0.069 0.072  -0.030 0.009  0.005 -0.057  0.040 -0.122  0.075 -0.188  0.111 -0.253  0.143 -0.320  0.171 -0.389  0.198 -0.458  0.226 -0.527  0.253 -0.597  0.281 -0.666  0.311 -0.734  0.342 -0.802  0.372 -0.870  0.390 -0.941  0.405 -1.014  0.419 -1.087  0.429 -1.161  0.429 -1.235  0.429 -1.309  0.428 -1.384  0.416 -1.457  0.404 -1.531  0.391 -1.604  0.379 -1.677
2#apb#apb08#app0875/l  -0.342 1.650  -0.308 1.588  -0.275 1.527  -0.242 1.465  -0.209 1.404  -0.185 1.339  -0.163 1.273  -0.141 1.207  -0.119 1.141  -0.097 1.074  -0.079 1.007  -0.069 0.938  -0.060 0.869  -0.050 0.800  -0.041 0.731  -0.031 0.662  -0.022 0.593  -0.016 0.523  -0.011 0.454  -0.005 0.384  0.000 0.315  0.006 0.245  0.011 0.176  0.017 0.106  0.016 0.037  0.012 -0.033  0.009 -0.102  0.005 -0.172  0.002 -0.242  -0.001 -0.311  0.009 -0.380  0.020 -0.449  0.031 -0.518  0.042 -0.587  0.053 -0.656  0.066 -0.724  0.082 -0.792  0.098 -0.860  0.114 -0.928  0.130 -0.995  0.142 -1.064  0.150 -1.133  0.159 -1.202  0.167 -1.272  0.175 -1.341  0.181 -1.410  0.185 -1.480  0.189 -1.550  0.194 -1.619  0.198 -1.689
2#apb#apb08#app0875/2  -1.207 0.836  -1.234 0.905  -1.133 0.947  -1.021 0.964  -0.909 0.980  -0.796 0.982  -0.683 0.982  -0.570 0.982  -0.457 0.982  -0.344 0.973  -0.231 0.961  -0.119 0.950  -0.006 0.938  0.099 0.896  0.204 0.854  0.294 0.787  0.344 0.698  0.344 0.585  0.305 0.483  0.244 0.388  0.173 0.301  0.090 0.223  0.008 0.146  -0.072 0.066  -0.150 -0.016  -0.228 -0.098  -0.304 -0.182  -0.357 -0.282  -0.410 -0.382  -0.451 -0.487  -0.484 -0.595  -0.453 -0.700  -0.401 -0.796  -0.302 -0.850  -0.199 -0.894  -0.087 -0.909  0.026 -0.923  0.138 -0.931  0.250 -0.919  0.363 -0.907  0.475 -0.895  0.587 -0.880  0.699 -0.863  0.811 -0.846  0.922 -0.826  1.032 -0.796  1.141 -0.766  1.249 -0.733  1.352 -0.687  1.456 -0.642
2#apb#apb08#app0875/6  -0.828 1.477  -0.794 1.390  -0.794 1.260  -0.804 1.131  -0.827 1.004  -0.851 0.876  -0.868 0.747  -0.879 0.618  -0.890 0.489  -0.893 0.359  -0.887 0.229  -0.880 0.100  -0.862 -0.029  -0.844 -0.158  -0.818 -0.284  -0.758 -0.399  -0.697 -0.514  -0.616 -0.614  -0.525 -0.706  -0.424 -0.786  -0.311 -0.850  -0.198 -0.914  -0.068 -0.915  0.062 -0.915  0.192 -0.915  0.317 -0.884  0.442 -0.848  0.567 -0.812  0.680 -0.753  0.784 -0.675  0.888 -0.597  0.984 -0.512  1.059 -0.406  1.134 -0.300  1.177 -0.182  1.190 -0.052  1.203 0.077  1.136 0.184  1.059 0.288  0.941 0.339  0.819 0.384  0.695 0.417  0.566 0.411  0.436 0.406  0.306 0.401  0.180 0.371  0.054 0.339  -0.069 0.301  -0.184 0.240  -0.299 0.179
2#apb#apb08#app0875/D  -0.911 0.258  -0.869 0.347  -0.813 0.200  -0.791 0.045  -0.776 -0.112  -0.759 -0.268  -0.732 -0.423  -0.695 -0.576  -0.648 -0.726  -0.606 -0.851  -0.639 -0.697  -0.671 -0.542  -0.703 -0.388  -0.736 -0.234  -0.768 -0.080  -0.801 0.074  -0.833 0.228  -0.865 0.382  -0.884 0.537  -0.828 0.675  -0.706 0.766  -0.560 0.823  -0.405 0.851  -0.249 0.873  -0.093 0.877  0.063 0.859  0.220 0.840  0.375 0.815  0.529 0.784  0.684 0.753  0.828 0.697  0.964 0.617  1.089 0.524  1.197 0.409  1.286 0.280  1.349 0.139  1.369 -0.018  1.306 -0.159  1.225 -0.293  1.125 -0.415  1.014 -0.524  0.885 -0.615  0.749 -0.693  0.608 -0.764  0.461 -0.817  0.310 -0.864  0.158 -0.902  0.002 -0.916  -0.156 -0.916  -0.297 -0.863
2#apb#apb08#app0875/e  -1.072 -0.369  -0.930 -0.292  -0.787 -0.218  -0.633 -0.170  -0.479 -0.122  -0.328 -0.066  -0.179 -0.005  -0.030 0.057  0.118 0.121  0.266 0.185  0.406 0.259  0.515 0.379  0.623 0.498  0.708 0.635  0.777 0.777  0.777 0.939  0.690 1.074  0.547 1.142  0.395 1.184  0.234 1.173  0.076 1.152  -0.066 1.076  -0.208 0.999  -0.331 0.895  -0.452 0.788  -0.573 0.682  -0.674 0.559  -0.756 0.420  -0.838 0.281  -0.897 0.133  -0.937 -0.023  -0.972 -0.179  -0.900 -0.324  -0.828 -0.468  -0.715 -0.577  -0.582 -0.668  -0.449 -0.759  -0.299 -0.813  -0.143 -0.854  0.013 -0.895  0.173 -0.909  0.334 -0.916  0.495 -0.922  0.656 -0.929  0.815 -0.900  0.973 -0.871  1.132 -0.842  1.289 -0.808  1.446 -0.771  1.603 -0.734
2#apb#apb08#app0875/c  0.397 0.850  0.362 0.943  0.313 1.025  0.234 1.075  0.136 1.088  0.038 1.088  -0.060 1.088  -0.154 1.059  -0.248 1.030  -0.336 0.989  -0.418 0.935  -0.500 0.880  -0.579 0.822  -0.634 0.741  -0.690 0.660  -0.746 0.579  -0.788 0.491  -0.818 0.398  -0.847 0.304  -0.877 0.210  -0.868 0.114  -0.850 0.017  -0.831 -0.079  -0.781 -0.162  -0.722 -0.240  -0.663 -0.319  -0.603 -0.396  -0.519 -0.448  -0.436 -0.500  -0.352 -0.552  -0.264 -0.594  -0.171 -0.628  -0.079 -0.661  0.013 -0.695  0.107 -0.724  0.204 -0.737  0.302 -0.751  0.399 -0.764  0.497 -0.775  0.594 -0.762  0.691 -0.748  0.789 -0.735  0.886 -0.722  0.983 -0.702  1.079 -0.682  1.175 -0.661  1.270 -0.637  1.363 -0.604  1.455 -0.571  1.548 -0.538
2#apb#apb08#app0875/.  1.349 -0.317  1.263 -0.360  1.177 -0.403  1.091 -0.446  1.005 -0.489  0.919 -0.532  0.833 -0.575  0.747 -0.618  0.661 -0.661  0.575 -0.704  0.489 -0.747  0.403 -0.790  0.317 -0.833  0.231 -0.875  0.139 -0.890  0.043 -0.890  -0.054 -0.890  -0.150 -0.890  -0.246 -0.890  -0.342 -0.890  -0.400 -0.829  -0.443 -0.743  -0.486 -0.657  -0.529 -0.571  -0.572 -0.485  -0.615 -0.399  -0.655 -0.313  -0.632 -0.220  -0.609 -0.127  -0.586 -0.034  -0.562 0.060  -0.539 0.153  -0.516 0.246  -0.492 0.339  -0.469 0.433  -0.446 0.526  -0.422 0.619  -0.399 0.712  -0.376 0.805  -0.330 0.889  -0.277 0.969  -0.223 1.049  -0.170 1.128  -0.117 1.208  -0.064 1.288  -0.010 1.368  0.043 1.448  0.096 1.528  0.150 1.608  0.203 1.688
2#apb#apb08#app0875/8  0.456 -0.368  0.285 -0.326  0.110 -0.320  -0.060 -0.344  -0.217 -0.423  -0.346 -0.534  -0.441 -0.682  -0.397 -0.849  -0.307 -0.989  -0.161 -1.088  -0.012 -1.179  0.148 -1.252  0.310 -1.318  0.485 -1.308  0.657 -1.278  0.754 -1.158  0.745 -0.992  0.670 -0.833  0.570 -0.692  0.446 -0.567  0.321 -0.443  0.187 -0.330  0.045 -0.227  -0.098 -0.124  -0.240 -0.021  -0.383 0.082  -0.526 0.184  -0.669 0.287  -0.808 0.395  -0.946 0.503  -1.073 0.624  -1.169 0.764  -1.152 0.938  -1.010 1.042  -0.845 1.095  -0.673 1.133  -0.501 1.161  -0.325 1.155  -0.149 1.148  0.024 1.125  0.196 1.088  0.368 1.051  0.512 0.950  0.654 0.847  0.776 0.724  0.875 0.579  0.875 0.403  0.798 0.249  0.688 0.115  0.552 0.002
