2#app#app06#app0644/{  -0.057 1.671  -0.097 1.621  -0.128 1.550  -0.156 1.473  -0.206 1.404  -0.212 1.318  -0.255 1.246  -0.304 1.177  -0.332 1.099  -0.354 1.019  -0.354 0.930  -0.328 0.852  -0.300 0.774  -0.236 0.711  -0.173 0.648  -0.110 0.585  -0.057 0.546  -0.026 0.514  -0.057 0.438  -0.082 0.359  -0.107 0.280  -0.138 0.203  -0.156 0.122  -0.206 0.082  -0.162 0.037  -0.122 -0.013  -0.053 -0.062  -0.008 -0.106  0.042 -0.146  0.091 -0.186  0.091 -0.275  0.091 -0.364  0.091 -0.453  0.091 -0.543  0.074 -0.625  0.042 -0.701  0.042 -0.790  0.042 -0.879  0.042 -0.969  0.080 -1.042  0.109 -1.119  0.141 -1.195  0.215 -1.239  0.284 -1.295  0.350 -1.350  0.424 -1.386  0.488 -1.449  0.565 -1.477  0.646 -1.498  0.735 -1.498
2#app#app06#app0644/e  -0.485 -0.307  -0.383 -0.205  -0.263 -0.148  -0.133 -0.114  -0.031 -0.012  0.071 0.090  0.173 0.192  0.275 0.294  0.310 0.424  0.390 0.488  0.469 0.553  0.505 0.683  0.607 0.785  0.628 0.920  0.628 1.064  0.543 1.124  0.469 1.194  0.414 1.283  0.270 1.283  0.128 1.271  -0.001 1.207  -0.130 1.142  -0.213 1.032  -0.277 0.903  -0.351 0.781  -0.453 0.679  -0.485 0.548  -0.544 0.429  -0.644 0.326  -0.644 0.182  -0.644 0.037  -0.644 -0.107  -0.644 -0.251  -0.644 -0.395  -0.644 -0.539  -0.618 -0.677  -0.553 -0.806  -0.489 -0.935  -0.349 -0.943  -0.241 -1.028  -0.139 -1.130  -0.037 -1.232  0.096 -1.261  0.240 -1.261  0.384 -1.261  0.528 -1.261  0.672 -1.261  0.816 -1.261  0.961 -1.261  1.105 -1.261
2#app#app06#app0644/l  -0.401 1.640  -0.401 1.567  -0.401 1.495  -0.401 1.423  -0.401 1.350  -0.401 1.278  -0.401 1.206  -0.372 1.146  -0.320 1.095  -0.285 1.037  -0.285 0.965  -0.285 0.892  -0.280 0.822  -0.229 0.771  -0.178 0.720  -0.169 0.651  -0.169 0.579  -0.169 0.506  -0.169 0.434  -0.169 0.362  -0.136 0.297  -0.104 0.233  -0.072 0.168  -0.039 0.103  -0.007 0.039  0.025 -0.026  0.058 -0.091  0.063 -0.162  0.063 -0.234  0.063 -0.306  0.063 -0.379  0.064 -0.451  0.096 -0.516  0.128 -0.580  0.161 -0.645  0.179 -0.713  0.179 -0.785  0.221 -0.840  0.272 -0.891  0.308 -0.952  0.331 -1.021  0.354 -1.089  0.377 -1.158  0.399 -1.226  0.411 -1.297  0.411 -1.369  0.456 -1.423  0.507 -1.474  0.527 -1.538  0.527 -1.610
2#app#app06#app0644/f  -0.285 0.717  -0.273 0.516  -0.191 0.345  -0.191 0.139  -0.104 -0.031  -0.094 -0.233  -0.029 -0.428  0.009 -0.627  0.093 -0.813  0.109 -1.015  0.187 -1.202  0.220 -1.394  0.282 -1.574  0.376 -1.741  0.376 -1.720  0.284 -1.553  0.234 -1.359  0.182 -1.167  0.093 -0.998  0.092 -0.792  0.027 -0.597  -0.002 -0.396  -0.060 -0.204  -0.096 -0.007  -0.096 0.199  -0.096 0.404  -0.096 0.610  -0.096 0.816  -0.096 1.021  -0.069 1.216  -0.002 1.394  0.088 1.562  0.167 1.735  0.269 1.850  0.221 1.667  0.156 1.472  0.090 1.277  0.025 1.082  -0.040 0.886  -0.105 0.691  -0.170 0.496  -0.235 0.301  -0.300 0.106  -0.365 -0.089  -0.430 -0.284  -0.407 -0.417  -0.202 -0.417  0.002 -0.420  0.170 -0.511  0.376 -0.511
2#app#app06#app0644/}  -0.607 1.520  -0.514 1.520  -0.421 1.520  -0.351 1.463  -0.343 1.373  -0.343 1.280  -0.343 1.187  -0.343 1.094  -0.343 1.001  -0.343 0.907  -0.343 0.814  -0.393 0.742  -0.458 0.676  -0.475 0.590  -0.506 0.527  -0.483 0.527  -0.456 0.461  -0.363 0.461  -0.272 0.457  -0.204 0.395  -0.121 0.372  -0.046 0.329  -0.012 0.269  0.049 0.201  0.055 0.110  0.055 0.017  0.121 -0.010  0.121 -0.103  0.121 -0.196  0.055 -0.223  0.055 -0.316  0.064 -0.399  0.121 -0.436  0.166 -0.511  0.250 -0.532  0.277 -0.598  0.355 -0.634  0.385 -0.715  0.440 -0.785  0.459 -0.870  0.518 -0.939  0.518 -1.033  0.518 -1.126  0.518 -1.219  0.518 -1.312  0.518 -1.405  0.518 -1.498  0.470 -1.572  0.451 -1.657  0.385 -1.723
2#app#app06#app0644/;  -0.609 1.536  -0.609 1.461  -0.539 1.456  -0.529 1.391  -0.529 1.316  -0.474 1.296  -0.429 1.251  -0.398 1.182  -0.368 1.113  -0.338 1.044  -0.308 0.975  -0.278 0.907  -0.248 0.838  -0.218 0.769  -0.188 0.700  -0.158 0.632  -0.128 0.563  -0.098 0.494  -0.068 0.425  -0.037 0.357  -0.007 0.288  0.023 0.219  0.053 0.150  0.083 0.082  0.113 0.013  0.113 -0.062  0.183 -0.067  0.193 -0.132  0.193 -0.207  0.248 -0.227  0.273 -0.277  0.273 -0.352  0.273 -0.427  0.273 -0.502  0.273 -0.578  0.273 -0.653  0.273 -0.728  0.273 -0.803  0.273 -0.878  0.273 -0.953  0.273 -1.028  0.273 -1.103  0.273 -1.178  0.273 -1.253  0.273 -1.328  0.273 -1.403  0.273 -1.478  0.273 -1.553  0.246 -1.617  0.193 -1.670
2#app#app06#app0644/@  -0.329 0.216  -0.208 0.392  0.024 0.275  0.024 -0.021  -0.042 -0.291  -0.257 -0.489  -0.539 -0.454  -0.713 -0.281  -0.769 -0.007  -0.769 0.289  -0.681 0.550  -0.579 0.744  -0.329 0.646  -0.298 0.362  -0.240 0.089  -0.169 -0.191  -0.064 -0.463  0.003 -0.732  0.112 -0.984  0.235 -1.229  0.471 -1.187  0.707 -1.040  0.841 -0.794  0.993 -0.549  1.081 -0.273  1.133 0.003  1.169 0.284  1.082 0.567  0.993 0.776  0.823 1.002  0.614 1.212  0.363 1.361  0.066 1.361  -0.231 1.361  -0.483 1.240  -0.716 1.062  -0.875 0.815  -1.033 0.584  -1.033 0.287  -1.033 -0.010  -1.033 -0.307  -0.879 -0.555  -0.643 -0.729  -0.388 -0.842  -0.091 -0.842  0.205 -0.842  0.489 -0.785  0.731 -0.620  1.011 -0.560  1.257 -0.401
2#app#app06#app0644/e  -0.389 1.153  -0.389 0.947  -0.282 0.848  -0.282 0.642  -0.228 0.459  -0.176 0.275  -0.176 0.069  -0.166 -0.127  -0.069 -0.235  -0.069 -0.441  -0.069 -0.647  0.038 -0.808  0.144 -0.840  0.238 -0.673  0.332 -0.554  0.358 -0.374  0.464 -0.275  0.464 -0.069  0.487 0.131  0.571 0.317  0.571 0.523  0.569 0.728  0.464 0.890  0.414 1.046  0.315 1.153  0.216 1.259  0.125 1.385  -0.044 1.473  -0.228 1.420  -0.298 1.243  -0.424 1.084  -0.496 0.895  -0.496 0.689  -0.592 0.523  -0.602 0.322  -0.602 0.116  -0.602 -0.090  -0.602 -0.295  -0.564 -0.485  -0.447 -0.651  -0.389 -0.843  -0.265 -0.997  -0.120 -1.143  -0.042 -1.300  0.127 -1.390  0.325 -1.407  0.425 -1.514  0.630 -1.514  0.836 -1.514  0.997 -1.407
2#app#app06#app0644/a  -0.374 0.221  -0.325 0.408  -0.235 0.579  -0.129 0.743  0.018 0.890  0.216 0.915  0.394 0.842  0.459 0.661  0.589 0.507  0.598 0.303  0.598 0.095  0.598 -0.113  0.598 -0.321  0.460 -0.472  0.392 -0.612  0.320 -0.749  0.182 -0.899  0.111 -1.064  -0.075 -1.157  -0.226 -1.297  -0.430 -1.306  -0.638 -1.306  -0.789 -1.168  -0.929 -1.018  -0.985 -0.833  -1.068 -0.660  -1.068 -0.452  -1.068 -0.244  -1.053 -0.042  -0.929 0.114  -0.929 0.322  -0.852 0.512  -0.742 0.685  -0.651 0.856  -0.512 0.925  -0.433 1.053  -0.225 1.053  -0.040 0.998  0.133 0.915  0.294 0.802  0.441 0.655  0.490 0.467  0.623 0.310  0.716 0.124  0.876 0.060  0.917 -0.139  1.009 -0.325  1.153 -0.474  1.223 -0.612  1.292 -0.751
2#app#app06#app0644/s  -0.207 1.511  -0.300 1.511  -0.339 1.456  -0.339 1.363  -0.339 1.270  -0.339 1.177  -0.362 1.093  -0.428 1.027  -0.470 0.952  -0.470 0.858  -0.533 0.791  -0.599 0.725  -0.602 0.633  -0.637 0.555  -0.703 0.489  -0.682 0.459  -0.589 0.459  -0.496 0.459  -0.470 0.392  -0.441 0.328  -0.348 0.328  -0.254 0.328  -0.175 0.295  -0.109 0.229  -0.043 0.163  0.023 0.097  0.089 0.032  0.155 -0.034  0.221 -0.100  0.287 -0.166  0.319 -0.246  0.328 -0.330  0.422 -0.330  0.451 -0.394  0.451 -0.487  0.451 -0.581  0.508 -0.650  0.574 -0.716  0.582 -0.806  0.582 -0.899  0.582 -0.992  0.582 -1.085  0.582 -1.179  0.561 -1.251  0.468 -1.251  0.451 -1.327  0.451 -1.420  0.451 -1.513  0.385 -1.579  0.319 -1.645
2#app#app06#app0644/e  -0.494 -0.130  -0.365 -0.065  -0.236 -0.001  -0.129 0.094  -0.008 0.151  0.117 0.199  0.219 0.301  0.321 0.403  0.423 0.505  0.491 0.621  0.527 0.750  0.629 0.852  0.632 0.996  0.628 1.136  0.491 1.144  0.480 1.277  0.335 1.277  0.191 1.277  0.069 1.254  0.043 1.136  -0.092 1.115  -0.194 1.013  -0.266 0.889  -0.330 0.760  -0.395 0.631  -0.459 0.502  -0.541 0.385  -0.634 0.280  -0.634 0.135  -0.634 -0.009  -0.634 -0.153  -0.634 -0.298  -0.634 -0.442  -0.634 -0.586  -0.634 -0.730  -0.593 -0.833  -0.462 -0.865  -0.360 -0.967  -0.258 -1.069  -0.212 -1.195  -0.128 -1.255  0.016 -1.255  0.160 -1.255  0.304 -1.255  0.449 -1.255  0.593 -1.255  0.706 -1.180  0.808 -1.078  0.910 -0.976  1.053 -0.974
2#app#app06#app0644/@  -0.465 0.385  -0.304 0.558  -0.075 0.689  0.137 0.676  0.223 0.479  0.137 0.283  -0.014 0.062  -0.178 -0.102  -0.413 -0.217  -0.551 -0.071  -0.551 0.211  -0.474 0.462  -0.370 0.652  -0.293 0.557  -0.293 0.274  -0.293 -0.009  -0.293 -0.292  -0.207 -0.539  -0.083 -0.771  0.081 -0.935  0.255 -1.077  0.452 -0.991  0.654 -0.859  0.848 -0.688  0.998 -0.456  1.087 -0.210  1.170 0.054  1.170 0.337  1.104 0.604  0.998 0.862  0.857 1.096  0.659 1.286  0.387 1.332  0.104 1.332  -0.169 1.300  -0.392 1.133  -0.550 0.902  -0.740 0.695  -0.895 0.464  -0.895 0.181  -0.895 -0.102  -0.875 -0.382  -0.809 -0.657  -0.724 -0.904  -0.548 -1.080  -0.340 -1.268  -0.073 -1.335  0.210 -1.335  0.492 -1.335  0.740 -1.249
2#app#app06#app0644/l  -0.203 1.470  -0.253 1.521  -0.293 1.543  -0.293 1.472  -0.243 1.420  -0.203 1.365  -0.203 1.293  -0.203 1.221  -0.203 1.149  -0.203 1.078  -0.203 1.006  -0.203 0.934  -0.173 0.869  -0.140 0.805  -0.113 0.740  -0.113 0.668  -0.113 0.596  -0.113 0.524  -0.113 0.452  -0.113 0.380  -0.113 0.308  -0.093 0.240  -0.070 0.171  -0.047 0.103  -0.025 0.035  -0.023 -0.036  -0.023 -0.108  -0.010 -0.177  0.022 -0.241  0.055 -0.306  0.068 -0.375  0.068 -0.446  0.068 -0.518  0.068 -0.590  0.068 -0.662  0.086 -0.729  0.118 -0.794  0.151 -0.858  0.158 -0.928  0.170 -0.998  0.192 -1.066  0.215 -1.135  0.238 -1.203  0.266 -1.269  0.298 -1.333  0.330 -1.397  0.338 -1.467  0.338 -1.539  0.356 -1.593  0.428 -1.593
2#app#app06#app0644/a  -0.244 0.596  -0.101 0.716  0.091 0.716  0.284 0.716  0.441 0.633  0.478 0.455  0.543 0.290  0.598 0.120  0.598 -0.072  0.585 -0.259  0.478 -0.407  0.478 -0.599  0.357 -0.742  0.296 -0.908  0.237 -1.077  0.105 -1.207  -0.062 -1.267  -0.230 -1.328  -0.405 -1.287  -0.541 -1.151  -0.677 -1.015  -0.725 -0.842  -0.759 -0.658  -0.845 -0.486  -0.845 -0.293  -0.909 -0.116  -0.965 0.063  -0.965 0.255  -0.965 0.448  -0.965 0.640  -0.883 0.798  -0.837 0.973  -0.751 1.145  -0.591 1.197  -0.398 1.197  -0.244 1.159  -0.134 1.077  0.005 0.948  0.141 0.812  0.277 0.676  0.413 0.540  0.510 0.380  0.571 0.197  0.673 0.040  0.775 -0.120  0.838 -0.297  0.926 -0.453  1.062 -0.589  1.079 -0.775  1.199 -0.847
2#app#app06#app0644/s  -0.216 1.707  -0.216 1.595  -0.216 1.483  -0.216 1.370  -0.216 1.258  -0.216 1.146  -0.295 1.066  -0.357 0.979  -0.357 0.867  -0.434 0.787  -0.497 0.701  -0.497 0.589  -0.545 0.487  -0.595 0.387  -0.638 0.285  -0.638 0.173  -0.709 0.090  -0.778 0.006  -0.778 -0.106  -0.778 -0.218  -0.729 -0.212  -0.650 -0.132  -0.638 -0.025  -0.571 0.020  -0.458 0.020  -0.346 0.020  -0.234 0.020  -0.122 0.020  -0.009 0.020  0.103 0.020  0.215 0.020  0.328 0.020  0.346 -0.073  0.412 -0.120  0.513 -0.147  0.592 -0.226  0.672 -0.305  0.751 -0.385  0.768 -0.490  0.768 -0.602  0.768 -0.715  0.768 -0.827  0.768 -0.939  0.768 -1.051  0.768 -1.164  0.768 -1.276  0.768 -1.388  0.768 -1.501  0.707 -1.588  0.628 -1.667
2#app#app06#app0644/t  -0.235 2.030  -0.120 1.990  -0.120 1.835  -0.117 1.681  -0.048 1.542  -0.005 1.397  -0.005 1.242  -0.005 1.086  -0.005 0.931  -0.005 0.776  0.098 0.664  0.110 0.513  0.130 0.362  0.179 0.214  0.229 0.068  0.299 -0.071  0.340 -0.216  0.340 -0.372  0.340 -0.527  0.389 -0.662  0.455 -0.789  0.455 -0.945  0.455 -1.100  0.455 -1.255  0.455 -1.410  0.433 -1.508  0.327 -1.394  0.222 -1.280  0.117 -1.166  0.012 -1.052  -0.094 -0.938  -0.199 -0.824  -0.304 -0.710  -0.409 -0.596  -0.515 -0.482  -0.620 -0.368  -0.725 -0.254  -0.830 -0.140  -0.908 -0.038  -0.753 -0.038  -0.626 0.030  -0.490 0.077  -0.335 0.077  -0.196 0.115  -0.072 0.192  0.083 0.192  0.231 0.232  0.378 0.281  0.529 0.306  0.685 0.306
2#app#app06#app0644/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
