3#app#app41#app4150/S  1.069 1.222  0.936 1.222  0.804 1.222  0.684 1.191  0.590 1.097  0.479 1.045  0.347 1.045  0.214 1.045  0.112 0.972  0.018 0.879  -0.110 0.868  -0.221 0.816  -0.315 0.722  -0.409 0.629  -0.503 0.535  -0.627 0.515  -0.742 0.473  -0.836 0.379  -0.951 0.338  -1.054 0.308  -1.054 0.175  -0.935 0.161  -0.803 0.161  -0.670 0.161  -0.538 0.161  -0.440 0.077  -0.346 -0.016  -0.213 -0.016  -0.080 -0.016  0.039 -0.048  0.133 -0.141  0.244 -0.193  0.377 -0.193  0.509 -0.193  0.538 -0.296  0.538 -0.429  0.538 -0.562  0.538 -0.694  0.538 -0.827  0.538 -0.959  0.528 -1.088  0.434 -1.181  0.340 -1.275  0.247 -1.369  0.140 -1.431  0.007 -1.431  -0.125 -1.431  -0.169 -1.342  -0.169 -1.210  -0.169 -1.077
3#app#app41#app4150/h  -0.469 1.890  -0.338 1.890  -0.232 1.865  -0.232 1.734  -0.232 1.603  -0.232 1.473  -0.232 1.342  -0.232 1.211  -0.232 1.080  -0.232 0.950  -0.288 0.832  -0.346 0.715  -0.405 0.598  -0.463 0.481  -0.469 0.352  -0.469 0.221  -0.469 0.090  -0.469 -0.040  -0.469 -0.171  -0.469 -0.302  -0.469 -0.433  -0.469 -0.563  -0.469 -0.694  -0.469 -0.825  -0.464 -0.951  -0.333 -0.951  -0.211 -0.930  -0.119 -0.838  -0.026 -0.745  0.004 -0.627  0.004 -0.496  0.116 -0.477  0.241 -0.472  0.241 -0.341  0.241 -0.210  0.241 -0.079  0.297 -0.004  0.427 -0.004  0.478 -0.084  0.478 -0.215  0.478 -0.346  0.478 -0.476  0.570 -0.569  0.662 -0.662  0.715 -0.771  0.715 -0.901  0.796 -0.951  0.926 -0.951  0.951 -1.057  0.951 -1.188
3#app#app41#app4150/e  -0.711 0.172  -0.711 -0.008  -0.711 -0.189  -0.711 -0.369  -0.548 -0.386  -0.367 -0.386  -0.187 -0.386  -0.007 -0.386  0.174 -0.386  0.354 -0.386  0.535 -0.386  0.715 -0.386  0.895 -0.386  0.964 -0.275  0.964 -0.095  0.964 0.086  0.964 0.266  0.964 0.446  0.964 0.627  0.910 0.785  0.782 0.912  0.655 1.040  0.527 1.167  0.397 1.289  0.217 1.289  0.037 1.289  -0.144 1.289  -0.152 1.117  -0.152 0.937  -0.152 0.756  -0.307 0.730  -0.487 0.730  -0.668 0.730  -0.711 0.593  -0.711 0.413  -0.711 0.232  -0.711 0.052  -0.711 -0.128  -0.711 -0.309  -0.638 -0.459  -0.511 -0.587  -0.383 -0.714  -0.256 -0.842  -0.152 -0.979  -0.152 -1.160  -0.152 -1.340  -0.135 -1.503  0.045 -1.503  0.226 -1.503  0.406 -1.503
3#app#app41#app4150/d  0.178 -0.711  0.055 -0.588  -0.088 -0.512  -0.263 -0.512  -0.420 -0.529  -0.420 -0.704  -0.587 -0.711  -0.619 -0.854  -0.737 -0.911  -0.819 -1.003  -0.819 -1.178  -0.776 -1.309  -0.601 -1.309  -0.427 -1.309  -0.301 -1.191  -0.220 -1.050  -0.185 -0.911  -0.021 -0.900  -0.021 -0.726  -0.021 -0.551  0.075 -0.416  0.178 -0.285  0.178 -0.110  0.178 0.064  0.178 0.239  0.178 0.413  0.178 0.588  0.178 0.762  0.178 0.937  0.178 1.111  0.178 1.286  0.178 1.460  0.178 1.635  0.178 1.809  0.178 1.777  0.178 1.602  0.178 1.428  0.178 1.253  0.178 1.079  0.178 0.904  0.178 0.730  0.236 0.569  0.314 0.413  0.378 0.253  0.378 0.079  0.378 -0.096  0.378 -0.270  0.378 -0.445  0.454 -0.588  0.577 -0.711
3#app#app41#app4150/t  -1.124 1.557  -0.904 1.557  -0.684 1.557  -0.531 1.491  -0.531 1.271  -0.531 1.052  -0.531 0.832  -0.531 0.612  -0.531 0.392  -0.531 0.173  -0.531 -0.047  -0.531 -0.267  -0.531 -0.486  -0.342 -0.518  -0.234 -0.629  -0.199 -0.814  0.020 -0.814  0.062 -0.992  0.163 -1.111  0.383 -1.111  0.603 -1.111  0.773 -0.993  0.929 -0.837  1.139 -0.814  1.326 -0.736  1.482 -0.581  1.421 -0.477  1.212 -0.407  1.004 -0.338  0.795 -0.268  0.587 -0.199  0.378 -0.129  0.170 -0.060  -0.038 0.010  -0.247 0.079  -0.455 0.149  -0.664 0.218  -0.872 0.288  -1.081 0.357  -0.949 0.371  -0.729 0.371  -0.510 0.371  -0.290 0.371  -0.234 0.207  -0.147 0.075  0.073 0.075  0.293 0.075  0.512 0.075  0.732 0.075  0.952 0.075
3#app#app41#app4150/h  -0.869 1.681  -0.742 1.681  -0.615 1.681  -0.606 1.563  -0.606 1.435  -0.606 1.308  -0.606 1.181  -0.606 1.053  -0.606 0.926  -0.606 0.799  -0.606 0.671  -0.606 0.544  -0.606 0.417  -0.606 0.289  -0.606 0.162  -0.560 0.053  -0.470 -0.037  -0.380 -0.127  -0.342 -0.238  -0.342 -0.366  -0.342 -0.493  -0.342 -0.620  -0.342 -0.748  -0.342 -0.875  -0.296 -0.957  -0.169 -0.957  -0.078 -0.920  -0.078 -0.793  -0.059 -0.674  0.031 -0.584  0.122 -0.494  0.186 -0.393  0.186 -0.265  0.205 -0.146  0.295 -0.056  0.385 0.034  0.486 0.098  0.613 0.098  0.713 0.071  0.713 -0.056  0.713 -0.184  0.713 -0.311  0.720 -0.436  0.810 -0.526  0.900 -0.616  0.995 -0.693  1.123 -0.693  1.241 -0.702  1.241 -0.829  1.241 -0.957
3#app#app41#app4150/e  -0.772 0.808  -0.637 0.673  -0.503 0.539  -0.414 0.385  -0.414 0.195  -0.352 0.031  -0.217 -0.104  -0.083 -0.238  0.097 -0.265  0.287 -0.265  0.426 -0.140  0.560 -0.006  0.710 0.093  0.900 0.093  1.016 0.167  1.016 0.357  1.016 0.547  1.016 0.737  0.897 0.808  0.706 0.808  0.659 0.951  0.659 1.141  0.493 1.166  0.303 1.166  0.168 1.032  0.033 0.898  -0.120 0.808  -0.310 0.808  -0.414 0.722  -0.414 0.532  -0.523 0.450  -0.713 0.450  -0.772 0.318  -0.772 0.128  -0.772 -0.062  -0.772 -0.252  -0.772 -0.443  -0.761 -0.622  -0.571 -0.622  -0.414 -0.656  -0.414 -0.846  -0.358 -0.980  -0.167 -0.980  -0.056 -1.059  -0.056 -1.249  0.016 -1.410  0.150 -1.544  0.285 -1.679  0.468 -1.695  0.659 -1.695
3#app#app41#app4150/h  -1.083 1.011  -0.917 1.011  -0.838 1.096  -0.832 1.256  -0.666 1.256  -0.593 1.347  -0.593 1.488  -0.593 1.323  -0.593 1.158  -0.593 0.992  -0.593 0.827  -0.593 0.662  -0.593 0.497  -0.593 0.331  -0.593 0.166  -0.571 0.010  -0.455 -0.107  -0.348 -0.228  -0.348 -0.394  -0.348 -0.559  -0.348 -0.724  -0.348 -0.890  -0.348 -1.055  -0.321 -1.194  -0.156 -1.194  -0.103 -1.081  -0.070 -0.949  0.095 -0.949  0.142 -0.830  0.169 -0.676  0.286 -0.559  0.387 -0.436  0.387 -0.270  0.387 -0.105  0.387 0.060  0.387 0.225  0.502 0.276  0.632 0.311  0.632 0.476  0.632 0.400  0.632 0.235  0.632 0.069  0.632 -0.096  0.665 -0.247  0.782 -0.364  0.899 -0.481  1.016 -0.598  1.133 -0.715  1.250 -0.832  1.366 -0.949
3#app#app41#app4150/o  0.260 1.362  0.105 1.362  -0.051 1.362  -0.207 1.362  -0.235 1.234  -0.235 1.079  -0.235 0.923  -0.305 0.796  -0.415 0.686  -0.526 0.576  -0.636 0.466  -0.730 0.349  -0.730 0.193  -0.730 0.038  -0.730 -0.118  -0.730 -0.274  -0.730 -0.429  -0.730 -0.585  -0.730 -0.741  -0.730 -0.897  -0.730 -1.052  -0.635 -1.113  -0.479 -1.113  -0.323 -1.113  -0.167 -1.113  -0.012 -1.113  0.144 -1.113  0.300 -1.113  0.455 -1.113  0.611 -1.113  0.756 -1.102  0.756 -0.946  0.756 -0.790  0.756 -0.635  0.756 -0.479  0.756 -0.323  0.756 -0.167  0.756 -0.012  0.756 0.144  0.756 0.300  0.672 0.372  0.516 0.372  0.360 0.372  0.260 0.428  0.260 0.583  0.260 0.739  0.233 0.867  0.077 0.867  -0.079 0.867  -0.235 0.867
3#app#app41#app4150/m  -1.269 0.541  -1.269 0.384  -1.269 0.227  -1.269 0.070  -1.269 -0.087  -1.269 -0.243  -1.269 -0.400  -1.253 -0.541  -1.096 -0.541  -0.998 -0.600  -0.998 -0.757  -0.896 -0.812  -0.739 -0.812  -0.728 -0.666  -0.696 -0.541  -0.539 -0.541  -0.457 -0.466  -0.457 -0.309  -0.457 -0.152  -0.452 -0.000  -0.296 -0.000  -0.187 0.048  -0.187 0.205  -0.187 0.362  -0.187 0.518  -0.187 0.406  -0.166 0.270  -0.009 0.270  0.084 0.206  0.084 0.050  0.191 -0.000  0.348 -0.000  0.505 -0.000  0.651 0.026  0.762 0.137  0.873 0.248  1.020 0.270  1.166 0.282  1.166 0.438  1.166 0.595  1.166 0.752  1.166 0.714  1.166 0.557  1.166 0.400  1.166 0.243  1.166 0.086  1.166 -0.071  1.166 -0.227  1.279 -0.271  1.436 -0.271
3#app#app41#app4150/u  -1.444 1.042  -1.297 1.042  -1.150 1.042  -1.107 0.937  -1.107 0.790  -1.107 0.643  -1.107 0.496  -1.107 0.349  -1.107 0.201  -1.107 0.054  -0.983 0.032  -0.835 0.032  -0.771 -0.050  -0.771 -0.198  -0.771 -0.345  -0.771 -0.492  -0.771 -0.639  -0.626 -0.642  -0.479 -0.642  -0.332 -0.642  -0.185 -0.642  -0.097 -0.582  -0.097 -0.435  -0.080 -0.305  0.067 -0.305  0.214 -0.305  0.240 -0.183  0.240 -0.036  0.296 0.088  0.400 0.192  0.504 0.296  0.576 0.413  0.576 0.561  0.576 0.703  0.576 0.555  0.576 0.408  0.576 0.261  0.576 0.114  0.641 0.032  0.788 0.032  0.913 0.009  0.913 -0.138  0.913 -0.285  1.040 -0.305  1.187 -0.305  1.250 -0.390  1.250 -0.537  1.292 -0.642  1.439 -0.642  1.586 -0.642
3#app#app41#app4150/n  -0.438 0.765  -0.550 0.653  -0.663 0.541  -0.775 0.428  -0.887 0.316  -0.929 0.175  -0.929 0.017  -0.929 -0.142  -0.929 -0.301  -0.929 -0.460  -0.929 -0.618  -0.929 -0.777  -0.929 -0.936  -0.929 -1.094  -0.876 -1.200  -0.718 -1.200  -0.559 -1.200  -0.438 -1.162  -0.438 -1.003  -0.438 -0.844  -0.415 -0.709  -0.257 -0.709  -0.098 -0.709  0.053 -0.701  0.053 -0.542  0.053 -0.384  0.053 -0.225  0.160 -0.110  0.272 0.002  0.384 0.114  0.496 0.226  0.544 0.365  0.544 0.524  0.544 0.682  0.544 0.841  0.544 1.000  0.544 1.158  0.544 1.196  0.544 1.037  0.544 0.878  0.590 0.765  0.748 0.765  0.907 0.765  1.035 0.735  1.035 0.576  1.035 0.417  1.035 0.259  1.035 0.100  1.035 -0.059  1.035 -0.217
3#app#app41#app4150/c  0.727 1.429  0.727 1.310  0.727 1.192  0.727 1.073  0.727 0.954  0.618 0.945  0.499 0.945  0.381 0.945  0.262 0.945  0.143 0.945  0.025 0.945  -0.094 0.945  -0.213 0.945  -0.242 0.856  -0.242 0.737  -0.242 0.618  -0.242 0.499  -0.321 0.460  -0.440 0.460  -0.559 0.460  -0.678 0.460  -0.727 0.391  -0.727 0.272  -0.727 0.153  -0.727 0.035  -0.727 -0.084  -0.727 -0.203  -0.727 -0.321  -0.727 -0.440  -0.678 -0.509  -0.559 -0.509  -0.440 -0.509  -0.321 -0.509  -0.242 -0.549  -0.242 -0.668  -0.242 -0.786  -0.242 -0.905  -0.213 -0.994  -0.094 -0.994  0.025 -0.994  0.143 -0.994  0.262 -0.994  0.381 -0.994  0.499 -0.994  0.618 -0.994  0.737 -0.994  0.856 -0.994  0.974 -0.994  1.093 -0.994  1.212 -0.994
3#app#app41#app4150/u  -1.132 1.056  -1.132 0.910  -1.132 0.764  -1.132 0.619  -1.132 0.473  -1.132 0.327  -1.132 0.182  -1.132 0.036  -1.132 -0.110  -1.132 -0.255  -1.132 -0.401  -1.132 -0.546  -1.132 -0.692  -1.001 -0.707  -0.856 -0.707  -0.710 -0.707  -0.564 -0.707  -0.421 -0.701  -0.318 -0.598  -0.215 -0.495  -0.112 -0.392  -0.009 -0.289  0.094 -0.186  0.197 -0.083  0.300 0.020  0.403 0.123  0.506 0.225  0.609 0.328  0.631 0.465  0.631 0.611  0.631 0.756  0.631 0.902  0.631 1.048  0.631 0.918  0.631 0.772  0.631 0.627  0.631 0.481  0.631 0.336  0.631 0.190  0.631 0.044  0.631 -0.101  0.631 -0.247  0.669 -0.355  0.815 -0.355  0.960 -0.355  0.983 -0.477  0.983 -0.623  1.045 -0.707  1.190 -0.707  1.336 -0.707
3#app#app41#app4150/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app41#app4150/u  -0.934 1.160  -0.934 1.011  -0.934 0.863  -0.934 0.715  -0.934 0.567  -0.934 0.419  -0.934 0.271  -0.934 0.123  -0.934 -0.025  -0.934 -0.173  -0.934 -0.322  -0.934 -0.470  -0.934 -0.618  -0.934 -0.766  -0.934 -0.914  -0.868 -0.997  -0.720 -0.997  -0.572 -0.997  -0.424 -0.997  -0.276 -0.997  -0.128 -0.997  -0.071 -0.905  -0.071 -0.757  -0.071 -0.609  0.003 -0.492  0.108 -0.387  0.212 -0.282  0.317 -0.177  0.422 -0.073  0.527 0.032  0.631 0.137  0.736 0.242  0.792 0.367  0.792 0.515  0.792 0.663  0.792 0.811  0.792 0.959  0.792 1.107  0.792 1.064  0.792 0.916  0.792 0.768  0.792 0.619  0.792 0.471  0.792 0.323  0.792 0.175  0.792 0.027  0.792 -0.121  0.792 -0.269  0.792 -0.417  0.792 -0.566
3#app#app41#app4150/s  0.236 1.289  0.157 1.211  0.079 1.132  0.000 1.054  -0.078 0.975  -0.161 0.907  -0.272 0.907  -0.383 0.907  -0.494 0.907  -0.605 0.907  -0.716 0.907  -0.827 0.907  -0.910 0.879  -0.910 0.768  -0.910 0.657  -0.910 0.546  -0.910 0.435  -0.910 0.324  -0.910 0.213  -0.869 0.143  -0.758 0.143  -0.647 0.143  -0.536 0.143  -0.455 0.070  -0.377 -0.009  -0.298 -0.087  -0.220 -0.166  -0.139 -0.239  -0.028 -0.239  0.083 -0.239  0.194 -0.239  0.285 -0.288  0.363 -0.366  0.442 -0.445  0.520 -0.523  0.599 -0.602  0.702 -0.621  0.813 -0.621  0.924 -0.621  0.999 -0.656  0.999 -0.767  0.999 -0.878  0.999 -0.989  0.902 -1.003  0.791 -1.003  0.680 -1.003  0.618 -1.052  0.618 -1.163  0.618 -1.274  0.618 -1.385
3#app#app41#app4150/.  0.236 1.289  0.157 1.211  0.079 1.132  0.000 1.054  -0.078 0.975  -0.161 0.907  -0.272 0.907  -0.383 0.907  -0.494 0.907  -0.605 0.907  -0.716 0.907  -0.827 0.907  -0.910 0.879  -0.910 0.768  -0.910 0.657  -0.910 0.546  -0.910 0.435  -0.910 0.324  -0.910 0.213  -0.869 0.143  -0.758 0.143  -0.647 0.143  -0.536 0.143  -0.455 0.070  -0.377 -0.009  -0.298 -0.087  -0.220 -0.166  -0.139 -0.239  -0.028 -0.239  0.083 -0.239  0.194 -0.239  0.285 -0.288  0.363 -0.366  0.442 -0.445  0.520 -0.523  0.599 -0.602  0.702 -0.621  0.813 -0.621  0.924 -0.621  0.999 -0.656  0.999 -0.767  0.999 -0.878  0.999 -0.989  0.902 -1.003  0.791 -1.003  0.680 -1.003  0.618 -1.052  0.618 -1.163  0.618 -1.274  0.618 -1.385
3#app#app41#app4150/\"  -1.491 0.708  -1.364 0.708  -1.236 0.708  -1.109 0.708  -0.981 0.708  -0.854 0.708  -0.727 0.708  -0.599 0.708  -0.577 0.603  -0.577 0.476  -0.577 0.348  -0.577 0.221  -0.577 0.094  -0.577 -0.034  -0.577 -0.161  -0.577 -0.289  -0.577 -0.416  -0.577 -0.543  -0.577 -0.671  -0.577 -0.798  -0.577 -0.925  -0.577 -1.053  -0.534 -1.078  -0.444 -0.987  -0.354 -0.897  -0.264 -0.807  -0.174 -0.717  -0.084 -0.627  0.006 -0.537  0.096 -0.447  0.186 -0.357  0.276 -0.267  0.366 -0.177  0.456 -0.087  0.547 0.003  0.637 0.093  0.727 0.184  0.817 0.274  0.907 0.364  0.997 0.454  1.087 0.544  1.177 0.634  1.251 0.686  1.251 0.558  1.251 0.431  1.251 0.304  1.251 0.176  1.251 0.049  1.251 -0.079  1.251 -0.206
