2#tos#f2#f2014061/!  0.143 1.606  0.070 1.606  0.010 1.575  -0.009 1.511  -0.009 1.438  -0.009 1.365  -0.009 1.292  -0.009 1.219  -0.009 1.146  -0.009 1.073  -0.009 1.001  -0.009 0.928  -0.009 0.855  -0.009 0.782  -0.043 0.742  -0.060 0.687  -0.060 0.614  -0.060 0.542  -0.060 0.469  -0.042 0.400  -0.009 0.335  -0.009 0.262  -0.009 0.189  -0.009 0.116  -0.009 0.044  -0.009 -0.029  -0.009 -0.102  -0.009 -0.175  -0.009 -0.248  -0.009 -0.321  -0.007 -0.393  0.001 -0.466  0.009 -0.538  0.017 -0.610  0.025 -0.683  0.033 -0.755  0.041 -0.828  0.049 -0.900  0.057 -0.972  0.065 -1.045  0.073 -1.117  0.081 -1.190  0.089 -1.262  0.092 -1.335  0.026 -1.341  -0.026 -1.375  -0.059 -1.440  -0.091 -1.505  -0.111 -1.573  -0.060 -1.595
2#tos#f2#f2014061/[  -0.068 1.159  -0.140 1.109  -0.199 1.066  -0.096 1.066  0.006 1.066  0.108 1.066  0.210 1.066  0.313 1.066  0.415 1.066  0.458 1.062  0.357 1.048  0.256 1.033  0.155 1.019  0.053 1.004  -0.048 0.990  -0.149 0.976  -0.207 0.930  -0.253 0.874  -0.253 0.771  -0.253 0.669  -0.253 0.567  -0.253 0.464  -0.253 0.362  -0.253 0.260  -0.253 0.158  -0.253 0.055  -0.253 -0.047  -0.253 -0.149  -0.253 -0.252  -0.253 -0.354  -0.253 -0.456  -0.253 -0.559  -0.253 -0.661  -0.253 -0.763  -0.253 -0.865  -0.253 -0.968  -0.253 -1.070  -0.253 -1.172  -0.207 -1.228  -0.126 -1.250  -0.024 -1.250  0.078 -1.250  0.181 -1.250  0.283 -1.250  0.385 -1.250  0.488 -1.250  0.573 -1.210  0.654 -1.157  0.756 -1.157  0.858 -1.157
2#tos#f2#f2014061/]  -0.549 1.249  -0.592 1.204  -0.636 1.159  -0.645 1.159  -0.556 1.159  -0.468 1.159  -0.380 1.159  -0.291 1.159  -0.203 1.159  -0.114 1.159  -0.026 1.159  0.038 1.134  0.038 1.045  0.083 1.002  0.102 0.933  0.128 0.871  0.128 0.782  0.128 0.694  0.128 0.605  0.128 0.517  0.128 0.429  0.128 0.340  0.131 0.253  0.173 0.182  0.173 0.094  0.181 0.007  0.209 -0.077  0.218 -0.164  0.218 -0.252  0.218 -0.341  0.218 -0.429  0.218 -0.518  0.218 -0.606  0.220 -0.693  0.263 -0.764  0.263 -0.852  0.263 -0.941  0.263 -1.029  0.263 -1.118  0.263 -1.206  0.280 -1.278  0.248 -1.278  0.160 -1.278  0.072 -1.278  -0.017 -1.278  -0.105 -1.278  -0.194 -1.278  -0.282 -1.278  -0.370 -1.278  -0.459 -1.278
2#tos#f2#f2014061/`  -0.452 1.241  -0.538 1.241  -0.624 1.241  -0.709 1.241  -0.795 1.241  -0.819 1.179  -0.819 1.093  -0.819 1.007  -0.819 0.922  -0.801 0.840  -0.763 0.763  -0.724 0.687  -0.686 0.610  -0.648 0.533  -0.577 0.509  -0.491 0.509  -0.452 0.462  -0.452 0.376  -0.417 0.326  -0.331 0.326  -0.258 0.304  -0.220 0.228  -0.182 0.151  -0.143 0.074  -0.105 -0.002  -0.067 -0.079  -0.028 -0.156  0.010 -0.233  0.048 -0.309  0.087 -0.386  0.160 -0.407  0.245 -0.407  0.331 -0.407  0.417 -0.407  0.481 -0.442  0.520 -0.519  0.558 -0.595  0.596 -0.672  0.635 -0.749  0.647 -0.832  0.647 -0.917  0.693 -0.957  0.779 -0.957  0.865 -0.957  0.951 -0.957  1.013 -0.980  1.013 -1.066  1.013 -1.152  1.013 -1.237  1.013 -1.323
2#tos#f2#f2014061/~  -1.303 0.012  -1.303 -0.088  -1.352 -0.139  -1.451 -0.139  -1.374 -0.085  -1.291 -0.030  -1.228 0.036  -1.185 0.109  -1.096 0.153  -1.074 0.238  -0.974 0.238  -0.927 0.290  -0.850 0.313  -0.751 0.313  -0.651 0.313  -0.602 0.383  -0.570 0.477  -0.516 0.539  -0.416 0.539  -0.317 0.539  -0.248 0.508  -0.248 0.408  -0.173 0.384  -0.153 0.293  -0.076 0.238  -0.022 0.192  0.048 0.162  0.053 0.068  0.053 -0.031  0.120 -0.064  0.193 -0.128  0.264 -0.199  0.348 -0.249  0.438 -0.290  0.538 -0.290  0.621 -0.330  0.706 -0.365  0.805 -0.365  0.905 -0.365  0.991 -0.398  1.073 -0.441  1.172 -0.441  1.272 -0.441  1.335 -0.404  1.396 -0.365  1.485 -0.355  1.519 -0.290  1.561 -0.232  1.619 -0.156  1.636 -0.064
2#tos#f2#f2014061/1  0.052 1.655  0.003 1.634  0.003 1.565  0.003 1.495  0.003 1.426  0.003 1.356  0.003 1.287  0.003 1.217  0.003 1.147  0.003 1.078  0.003 1.008  0.003 0.939  0.003 0.869  0.003 0.800  0.003 0.730  0.003 0.660  0.003 0.591  0.003 0.521  0.003 0.452  0.003 0.382  0.003 0.313  0.003 0.243  0.003 0.173  0.003 0.104  0.003 0.034  0.003 -0.035  0.003 -0.105  0.003 -0.175  0.003 -0.244  0.003 -0.314  0.003 -0.383  0.003 -0.453  0.003 -0.522  0.003 -0.592  0.003 -0.662  0.003 -0.731  0.003 -0.801  0.003 -0.870  0.003 -0.940  0.003 -1.009  0.003 -1.079  0.003 -1.149  0.003 -1.218  0.003 -1.288  0.003 -1.357  0.003 -1.427  -0.038 -1.480  -0.046 -1.546  -0.046 -1.615  -0.046 -1.685
2#tos#f2#f2014061/2  -0.081 0.675  -0.224 0.675  -0.345 0.623  -0.446 0.664  -0.499 0.755  -0.499 0.898  -0.452 1.030  -0.382 1.117  -0.304 1.235  -0.240 1.351  -0.098 1.354  -0.007 1.407  0.128 1.399  0.198 1.285  0.299 1.184  0.337 1.057  0.390 0.966  0.390 0.823  0.390 0.680  0.390 0.537  0.381 0.396  0.291 0.309  0.242 0.179  0.169 0.057  0.113 -0.065  -0.007 -0.140  -0.079 -0.262  -0.119 -0.396  -0.237 -0.431  -0.237 -0.574  -0.342 -0.613  -0.406 -0.716  -0.446 -0.834  -0.551 -0.873  -0.674 -0.893  -0.712 -0.998  -0.665 -0.998  -0.522 -0.998  -0.379 -0.998  -0.235 -0.998  -0.092 -0.998  0.051 -0.998  0.194 -0.998  0.337 -0.998  0.480 -0.998  0.623 -0.998  0.766 -0.998  0.909 -0.998  1.031 -0.945  1.174 -0.945
2#tos#f2#f2014061/4  0.184 1.242  0.035 1.126  -0.149 1.064  -0.226 0.920  -0.341 0.767  -0.493 0.647  -0.611 0.500  -0.756 0.381  -0.888 0.244  -1.036 0.121  -1.190 0.006  -1.196 -0.063  -1.012 -0.105  -0.818 -0.105  -0.624 -0.105  -0.430 -0.105  -0.236 -0.105  -0.042 -0.105  0.152 -0.105  0.346 -0.105  0.540 -0.105  0.734 -0.105  0.928 -0.105  1.061 -0.072  0.953 0.089  0.846 0.250  0.738 0.412  0.630 0.573  0.523 0.734  0.415 0.896  0.308 1.057  0.133 1.093  0.081 1.043  0.085 0.853  0.085 0.659  0.085 0.465  0.085 0.271  0.085 0.077  0.085 -0.117  0.085 -0.311  0.085 -0.505  0.085 -0.699  0.085 -0.893  0.085 -1.087  0.085 -1.280  0.085 -1.474  0.085 -1.668  0.085 -1.862  0.085 -2.056  0.085 -2.250
2#tos#f2#f2014061/5  -0.241 1.283  -0.434 1.260  -0.487 1.094  -0.487 0.896  -0.487 0.698  -0.487 0.499  -0.438 0.313  -0.438 0.114  -0.388 -0.063  -0.307 -0.073  -0.177 0.008  0.021 0.008  0.219 0.008  0.417 0.008  0.555 -0.090  0.676 -0.196  0.739 -0.384  0.739 -0.583  0.739 -0.781  0.708 -0.970  0.607 -1.139  0.544 -1.314  0.404 -1.454  0.299 -1.609  0.113 -1.659  -0.086 -1.659  -0.241 -1.588  -0.233 -1.390  -0.226 -1.192  -0.219 -0.994  -0.212 -0.795  -0.205 -0.597  -0.197 -0.399  -0.190 -0.201  -0.183 -0.003  -0.176 0.195  -0.169 0.393  -0.161 0.591  -0.154 0.789  -0.147 0.987  -0.242 1.087  -0.440 1.087  -0.531 1.087  -0.332 1.087  -0.151 1.045  0.040 1.001  0.225 0.939  0.421 0.927  0.610 0.890  0.788 0.841
2#tos#f2#f2014061/6  0.153 1.738  0.052 1.693  0.011 1.587  -0.116 1.519  -0.150 1.387  -0.244 1.334  -0.360 1.268  -0.425 1.137  -0.503 1.047  -0.513 0.902  -0.559 0.763  -0.604 0.624  -0.604 0.477  -0.671 0.359  -0.705 0.226  -0.705 0.079  -0.705 -0.067  -0.705 -0.214  -0.655 -0.310  -0.641 -0.452  -0.560 -0.574  -0.554 -0.719  -0.450 -0.812  -0.319 -0.877  -0.246 -0.989  -0.107 -1.035  0.028 -1.064  0.165 -1.088  0.311 -1.088  0.458 -1.088  0.599 -1.067  0.708 -0.977  0.809 -0.903  0.860 -0.793  0.897 -0.684  0.961 -0.563  0.961 -0.416  0.961 -0.270  0.870 -0.190  0.809 -0.069  0.754 0.022  0.607 0.022  0.472 0.073  0.326 0.073  0.179 0.073  0.033 0.073  -0.114 0.073  -0.210 0.022  -0.256 -0.079  -0.301 -0.180
2#tos#f2#f2014061/7  -0.482 0.944  -0.613 0.928  -0.613 0.781  -0.613 0.634  -0.579 0.492  -0.540 0.377  -0.526 0.243  -0.526 0.096  -0.491 -0.016  -0.475 -0.147  -0.428 -0.037  -0.414 0.109  -0.400 0.256  -0.386 0.402  -0.372 0.548  -0.359 0.695  -0.424 0.769  -0.569 0.769  -0.509 0.856  -0.362 0.856  -0.215 0.856  -0.068 0.856  0.079 0.856  0.139 0.769  0.286 0.769  0.433 0.769  0.580 0.769  0.727 0.769  0.780 0.679  0.683 0.570  0.618 0.439  0.565 0.304  0.548 0.161  0.494 0.024  0.415 -0.073  0.390 -0.216  0.390 -0.363  0.358 -0.505  0.297 -0.638  0.244 -0.775  0.216 -0.918  0.216 -1.065  0.216 -1.212  0.216 -1.359  0.216 -1.506  0.172 -1.609  0.172 -1.756  0.172 -1.903  0.172 -2.050  0.172 -2.197
2#tos#f2#f2014061/8  0.128 0.009  -0.048 -0.073  -0.207 -0.024  -0.387 0.050  -0.568 0.072  -0.677 0.214  -0.774 0.379  -0.855 0.532  -0.855 0.735  -0.814 0.897  -0.791 1.086  -0.623 1.183  -0.485 1.281  -0.298 1.320  -0.129 1.402  0.074 1.402  0.251 1.376  0.425 1.289  0.539 1.176  0.680 1.036  0.742 0.879  0.742 0.676  0.694 0.493  0.619 0.321  0.475 0.214  0.360 0.105  0.228 -0.014  0.087 -0.110  -0.045 -0.236  -0.159 -0.326  -0.282 -0.440  -0.443 -0.482  -0.486 -0.676  -0.527 -0.838  -0.501 -1.015  -0.445 -1.162  -0.323 -1.273  -0.157 -1.342  0.036 -1.383  0.239 -1.383  0.434 -1.364  0.520 -1.196  0.644 -1.088  0.701 -0.930  0.672 -0.739  0.603 -0.589  0.493 -0.480  0.305 -0.405  0.184 -0.318  0.005 -0.236
2#tos#f2#f2014061/B  -0.072 1.502  -0.160 1.320  -0.160 1.050  -0.160 0.781  -0.160 0.511  -0.160 0.241  -0.160 -0.029  -0.160 -0.298  -0.173 -0.566  -0.203 -0.832  -0.203 -1.102  -0.203 -1.372  -0.203 -1.642  -0.203 -1.649  -0.207 -1.380  -0.225 -1.111  -0.243 -0.841  -0.262 -0.572  -0.280 -0.303  -0.298 -0.034  -0.316 0.235  -0.335 0.504  -0.353 0.773  -0.371 1.042  -0.494 1.196  -0.361 1.327  -0.102 1.371  0.161 1.342  0.407 1.269  0.618 1.152  0.672 0.936  0.530 0.754  0.330 0.596  0.117 0.432  -0.129 0.339  -0.386 0.277  -0.276 0.277  -0.006 0.277  0.264 0.277  0.439 0.145  0.654 0.058  0.783 -0.130  0.803 -0.394  0.757 -0.644  0.589 -0.851  0.407 -1.038  0.239 -1.245  -0.025 -1.255  -0.255 -1.350  -0.466 -1.343
2#tos#f2#f2014061/E  -0.389 1.196  -0.646 1.186  -0.558 1.144  -0.306 1.089  -0.047 1.083  0.212 1.083  0.471 1.083  0.730 1.083  0.988 1.083  0.880 1.053  0.621 1.070  0.363 1.086  0.105 1.103  -0.154 1.120  -0.351 1.059  -0.427 0.876  -0.465 0.626  -0.465 0.367  -0.427 0.113  -0.408 -0.144  -0.389 -0.401  -0.389 -0.660  -0.389 -0.919  -0.389 -1.178  -0.351 -1.432  -0.348 -1.350  -0.343 -1.092  -0.337 -0.833  -0.331 -0.574  -0.325 -0.315  -0.319 -0.056  -0.339 0.177  -0.411 0.139  -0.166 0.174  0.091 0.177  0.341 0.139  0.600 0.139  0.693 0.041  0.529 -0.159  0.364 -0.359  0.200 -0.559  0.036 -0.759  -0.131 -0.955  -0.310 -1.067  -0.197 -1.106  0.062 -1.106  0.321 -1.106  0.580 -1.106  0.839 -1.106  1.082 -1.144
2#tos#f2#f2014061/F  -0.385 1.031  -0.579 0.905  -0.520 0.872  -0.298 0.930  -0.064 0.952  0.176 0.952  0.416 0.952  0.656 0.952  0.895 0.952  1.135 0.952  1.086 0.912  0.846 0.912  0.606 0.912  0.366 0.912  0.127 0.912  -0.113 0.912  -0.352 0.900  -0.540 0.795  -0.544 0.558  -0.537 0.318  -0.504 0.082  -0.504 -0.158  -0.504 -0.398  -0.504 -0.638  -0.467 -0.873  -0.465 -1.113  -0.465 -1.353  -0.465 -1.593  -0.433 -1.801  -0.383 -1.768  -0.371 -1.529  -0.359 -1.289  -0.346 -1.049  -0.334 -0.810  -0.322 -0.570  -0.309 -0.331  -0.459 -0.245  -0.390 -0.245  -0.159 -0.205  0.081 -0.205  0.321 -0.205  0.533 -0.177  0.628 0.042  0.729 0.260  0.692 0.296  0.644 0.082  0.520 -0.098  0.435 -0.302  0.409 -0.532  0.373 -0.764
2#tos#f2#f2014061/G  0.531 1.127  0.413 1.085  0.213 1.127  -0.005 1.127  -0.222 1.127  -0.434 1.100  -0.639 1.035  -0.809 0.919  -0.952 0.772  -1.079 0.597  -1.168 0.416  -1.200 0.203  -1.210 -0.013  -1.210 -0.230  -1.153 -0.437  -1.076 -0.641  -1.008 -0.847  -0.878 -0.939  -0.718 -1.028  -0.510 -1.070  -0.292 -1.070  -0.085 -1.028  0.089 -0.945  0.199 -0.807  0.361 -0.697  0.473 -0.538  0.531 -0.333  0.572 -0.157  0.443 0.018  0.314 0.194  0.186 0.369  0.018 0.449  -0.151 0.422  0.066 0.422  0.284 0.422  0.501 0.422  0.719 0.422  0.936 0.422  1.154 0.422  1.020 0.385  0.807 0.339  0.600 0.284  0.489 0.129  0.489 -0.089  0.489 -0.306  0.572 -0.489  0.572 -0.707  0.572 -0.924  0.572 -1.142  0.614 -1.318
2#tos#f2#f2014061/H  -0.441 1.108  -0.636 1.113  -0.676 0.998  -0.676 0.797  -0.676 0.597  -0.714 0.405  -0.723 0.206  -0.754 0.009  -0.754 -0.192  -0.754 -0.392  -0.754 -0.593  -0.754 -0.793  -0.754 -0.994  -0.754 -1.194  -0.754 -1.323  -0.713 -1.127  -0.672 -0.931  -0.631 -0.734  -0.589 -0.538  -0.548 -0.342  -0.507 -0.146  -0.465 0.050  -0.520 0.169  -0.552 0.169  -0.353 0.174  -0.175 0.247  0.023 0.277  0.222 0.286  0.423 0.286  0.623 0.286  0.814 0.297  0.831 0.497  0.849 0.697  0.866 0.896  0.883 1.096  0.782 1.187  0.656 1.112  0.656 0.911  0.656 0.711  0.656 0.511  0.663 0.312  0.720 0.121  0.734 -0.078  0.734 -0.278  0.734 -0.479  0.734 -0.679  0.734 -0.880  0.752 -1.078  0.774 -1.276  0.774 -1.476
2#tos#f2#f2014061/K  -0.351 1.752  -0.475 1.629  -0.516 1.426  -0.516 1.214  -0.516 1.001  -0.516 0.788  -0.516 0.576  -0.516 0.363  -0.516 0.150  -0.516 -0.062  -0.516 -0.275  -0.516 -0.487  -0.516 -0.700  -0.516 -0.913  -0.516 -1.125  -0.516 -1.338  -0.516 -1.550  -0.464 -1.524  -0.376 -1.330  -0.288 -1.137  -0.200 -0.943  -0.112 -0.750  -0.023 -0.556  0.065 -0.363  0.153 -0.169  0.241 0.024  0.329 0.218  0.418 0.411  0.506 0.605  0.594 0.798  0.682 0.991  0.765 1.161  0.594 1.085  0.426 0.958  0.293 0.801  0.124 0.698  -0.026 0.547  -0.193 0.418  -0.346 0.305  -0.329 0.170  -0.158 0.057  -0.020 -0.067  0.162 -0.175  0.328 -0.291  0.494 -0.423  0.656 -0.559  0.830 -0.678  0.991 -0.807  1.152 -0.908  1.303 -1.018
2#tos#f2#f2014061/L  -0.461 1.620  -0.502 1.575  -0.502 1.488  -0.502 1.401  -0.502 1.314  -0.502 1.227  -0.502 1.141  -0.502 1.054  -0.502 0.967  -0.502 0.880  -0.502 0.793  -0.502 0.706  -0.502 0.620  -0.502 0.533  -0.502 0.446  -0.502 0.359  -0.489 0.275  -0.461 0.195  -0.461 0.108  -0.461 0.022  -0.461 -0.065  -0.461 -0.152  -0.461 -0.239  -0.461 -0.326  -0.423 -0.397  -0.420 -0.482  -0.420 -0.569  -0.385 -0.641  -0.300 -0.647  -0.213 -0.647  -0.127 -0.647  -0.040 -0.647  0.047 -0.647  0.134 -0.647  0.221 -0.647  0.308 -0.647  0.394 -0.647  0.481 -0.647  0.568 -0.647  0.652 -0.627  0.737 -0.606  0.824 -0.606  0.910 -0.606  0.997 -0.606  1.084 -0.606  1.171 -0.606  1.258 -0.606  1.345 -0.606  1.431 -0.606  1.477 -0.647
