2#apb#apb32#app3253/a  0.283 0.507  0.354 0.638  0.427 0.690  0.407 0.845  0.338 0.993  0.223 1.107  0.050 1.107  -0.122 1.095  -0.277 1.035  -0.408 0.923  -0.532 0.803  -0.653 0.680  -0.748 0.536  -0.844 0.393  -0.943 0.252  -1.039 0.109  -1.076 -0.060  -1.112 -0.228  -1.118 -0.399  -1.101 -0.570  -1.098 -0.743  -1.025 -0.893  -0.902 -1.009  -0.757 -1.006  -0.611 -0.913  -0.461 -0.830  -0.331 -0.722  -0.228 -0.584  -0.136 -0.438  -0.049 -0.289  0.039 -0.140  0.127 0.008  0.213 0.157  0.290 0.312  0.373 0.463  0.471 0.604  0.606 0.712  0.701 0.601  0.703 0.429  0.708 0.256  0.722 0.084  0.739 -0.087  0.785 -0.253  0.828 -0.420  0.862 -0.589  0.896 -0.758  0.930 -0.928  1.027 -1.057  1.165 -1.160  1.303 -1.264
2#apb#apb32#app3253/l  0.111 1.652  0.158 1.611  0.140 1.545  0.109 1.483  0.078 1.420  0.046 1.357  0.033 1.289  0.024 1.220  0.016 1.150  0.007 1.081  -0.002 1.011  -0.009 0.941  -0.016 0.872  -0.022 0.802  -0.028 0.732  -0.034 0.662  -0.040 0.592  -0.046 0.522  -0.052 0.453  -0.058 0.383  -0.063 0.313  -0.068 0.243  -0.074 0.173  -0.079 0.103  -0.084 0.033  -0.090 -0.036  -0.095 -0.106  -0.101 -0.176  -0.097 -0.246  -0.091 -0.316  -0.086 -0.386  -0.080 -0.456  -0.074 -0.525  -0.068 -0.595  -0.062 -0.665  -0.057 -0.735  -0.044 -0.804  -0.028 -0.872  -0.012 -0.940  0.004 -1.008  0.020 -1.077  0.036 -1.145  0.048 -1.214  0.059 -1.283  0.070 -1.352  0.080 -1.422  0.098 -1.489  0.129 -1.551  0.163 -1.611  0.229 -1.634
2#apb#apb32#app3253/m  -1.105 1.011  -1.077 1.147  -1.059 1.001  -1.059 0.837  -1.059 0.674  -1.052 0.511  -1.043 0.348  -1.023 0.186  -0.986 0.027  -0.948 -0.132  -0.906 -0.290  -0.864 -0.448  -0.833 -0.609  -0.792 -0.766  -0.743 -0.918  -0.681 -0.845  -0.632 -0.689  -0.592 -0.531  -0.516 -0.387  -0.439 -0.244  -0.390 -0.088  -0.341 0.068  -0.266 0.213  -0.178 0.347  -0.062 0.349  -0.015 0.194  0.021 0.034  0.047 -0.127  0.073 -0.288  0.105 -0.449  0.145 -0.607  0.230 -0.669  0.324 -0.536  0.418 -0.402  0.511 -0.268  0.590 -0.126  0.648 0.027  0.706 0.180  0.806 0.309  0.906 0.439  1.017 0.558  1.139 0.666  1.209 0.584  1.251 0.426  1.290 0.268  1.335 0.110  1.387 -0.045  1.440 -0.199  1.501 -0.351  1.562 -0.502
2#apb#apb32#app3253/n  -1.080 0.728  -1.025 0.835  -0.951 0.929  -0.852 0.990  -0.814 0.999  -0.783 0.883  -0.782 0.763  -0.782 0.643  -0.786 0.523  -0.794 0.404  -0.803 0.284  -0.799 0.164  -0.785 0.045  -0.771 -0.074  -0.757 -0.193  -0.742 -0.312  -0.727 -0.431  -0.712 -0.551  -0.675 -0.664  -0.633 -0.775  -0.618 -0.783  -0.527 -0.708  -0.433 -0.634  -0.354 -0.544  -0.278 -0.452  -0.221 -0.346  -0.163 -0.241  -0.100 -0.139  -0.032 -0.040  0.037 0.058  0.108 0.155  0.188 0.244  0.269 0.333  0.367 0.387  0.487 0.400  0.606 0.405  0.712 0.374  0.793 0.285  0.873 0.195  0.943 0.099  1.006 -0.003  1.069 -0.106  1.139 -0.202  1.220 -0.291  1.301 -0.380  1.378 -0.472  1.446 -0.570  1.515 -0.669  1.615 -0.731  1.703 -0.812
2#apb#apb32#app3253/o  -0.327 0.639  -0.288 0.756  -0.209 0.816  -0.270 0.774  -0.354 0.691  -0.473 0.657  -0.565 0.589  -0.632 0.485  -0.698 0.381  -0.765 0.278  -0.836 0.177  -0.907 0.076  -0.954 -0.034  -0.973 -0.156  -0.992 -0.277  -0.994 -0.398  -0.959 -0.516  -0.924 -0.634  -0.856 -0.735  -0.781 -0.832  -0.702 -0.926  -0.584 -0.962  -0.467 -0.998  -0.349 -1.034  -0.232 -1.010  -0.115 -0.971  0.002 -0.932  0.118 -0.892  0.221 -0.824  0.323 -0.755  0.425 -0.687  0.506 -0.598  0.571 -0.493  0.635 -0.388  0.700 -0.283  0.770 -0.182  0.841 -0.081  0.911 0.020  0.929 0.141  0.946 0.263  0.964 0.385  0.964 0.508  0.954 0.630  0.944 0.753  0.915 0.872  0.880 0.990  0.831 1.099  0.735 1.176  0.621 1.212  0.499 1.229
2#apb#apb32#app3253/p  -0.480 0.557  -0.522 0.593  -0.480 0.431  -0.466 0.259  -0.417 0.092  -0.405 -0.082  -0.392 -0.256  -0.378 -0.429  -0.345 -0.600  -0.305 -0.769  -0.270 -0.940  -0.238 -1.111  -0.204 -1.282  -0.187 -1.455  -0.150 -1.624  -0.040 -1.726  -0.054 -1.609  -0.113 -1.446  -0.148 -1.276  -0.200 -1.109  -0.251 -0.943  -0.286 -0.772  -0.320 -0.601  -0.349 -0.430  -0.375 -0.257  -0.395 -0.085  -0.387 0.089  -0.379 0.263  -0.365 0.437  -0.345 0.610  -0.301 0.776  -0.228 0.935  -0.105 1.058  0.033 1.160  0.189 1.238  0.355 1.259  0.527 1.231  0.694 1.185  0.832 1.078  0.956 0.957  1.071 0.826  1.121 0.659  1.063 0.507  0.950 0.375  0.780 0.348  0.607 0.327  0.434 0.349  0.261 0.371  0.089 0.401  -0.082 0.432
2#apb#apb32#app3253/q  0.201 0.990  0.201 1.131  0.080 1.191  -0.053 1.175  -0.186 1.141  -0.323 1.120  -0.454 1.068  -0.568 0.986  -0.670 0.890  -0.764 0.784  -0.845 0.669  -0.913 0.545  -0.940 0.411  -0.940 0.269  -0.883 0.145  -0.794 0.038  -0.676 -0.040  -0.543 -0.074  -0.402 -0.087  -0.261 -0.087  -0.120 -0.085  -0.001 -0.009  0.118 0.068  0.199 0.183  0.283 0.296  0.383 0.396  0.437 0.521  0.480 0.654  0.497 0.762  0.460 0.634  0.389 0.528  0.374 0.394  0.365 0.253  0.354 0.112  0.352 -0.029  0.352 -0.170  0.335 -0.310  0.315 -0.450  0.302 -0.591  0.291 -0.732  0.294 -0.873  0.304 -1.013  0.292 -1.153  0.266 -1.291  0.266 -1.432  0.290 -1.569  0.312 -1.706  0.410 -1.802  0.522 -1.872  0.610 -1.981
2#apb#apb32#app3253/r  -1.177 0.875  -1.118 0.790  -1.071 0.696  -1.025 0.603  -0.968 0.515  -0.910 0.428  -0.874 0.331  -0.846 0.230  -0.818 0.129  -0.787 0.029  -0.744 -0.066  -0.702 -0.162  -0.663 -0.259  -0.633 -0.359  -0.603 -0.460  -0.572 -0.559  -0.536 -0.658  -0.500 -0.756  -0.465 -0.855  -0.404 -0.937  -0.336 -1.016  -0.325 -1.078  -0.259 -1.015  -0.207 -0.924  -0.155 -0.833  -0.102 -0.743  -0.049 -0.652  0.004 -0.562  0.056 -0.471  0.108 -0.380  0.160 -0.290  0.212 -0.199  0.264 -0.108  0.322 -0.022  0.399 0.049  0.476 0.120  0.553 0.191  0.630 0.261  0.704 0.335  0.772 0.415  0.840 0.495  0.907 0.575  0.975 0.655  1.049 0.724  1.150 0.754  1.250 0.784  1.350 0.814  1.453 0.834  1.556 0.855  1.658 0.875
2#apb#apb32#app3253/s  0.435 0.598  0.489 0.706  0.540 0.814  0.528 0.931  0.441 0.985  0.321 0.968  0.204 0.943  0.086 0.917  -0.034 0.905  -0.154 0.896  -0.274 0.886  -0.388 0.848  -0.502 0.810  -0.617 0.772  -0.731 0.734  -0.834 0.673  -0.936 0.608  -1.037 0.544  -1.145 0.490  -1.182 0.399  -1.163 0.281  -1.074 0.200  -0.984 0.120  -0.893 0.042  -0.783 -0.007  -0.673 -0.056  -0.563 -0.105  -0.452 -0.154  -0.343 -0.203  -0.233 -0.252  -0.123 -0.302  -0.013 -0.351  0.097 -0.400  0.211 -0.438  0.325 -0.476  0.440 -0.514  0.554 -0.553  0.661 -0.607  0.767 -0.664  0.873 -0.721  0.976 -0.783  1.061 -0.868  1.126 -0.967  1.064 -1.019  0.948 -1.050  0.834 -1.088  0.717 -1.111  0.597 -1.119  0.477 -1.126  0.356 -1.134
2#apb#apb32#app3253/t  -0.182 1.589  -0.037 1.618  0.020 1.490  0.020 1.305  0.020 1.120  0.013 0.935  -0.000 0.750  -0.003 0.566  0.013 0.381  0.027 0.197  0.040 0.012  0.060 -0.171  0.094 -0.353  0.128 -0.535  0.162 -0.717  0.196 -0.899  0.254 -1.075  0.337 -1.238  0.452 -1.382  0.591 -1.504  0.583 -1.482  0.455 -1.349  0.326 -1.216  0.197 -1.083  0.068 -0.951  -0.061 -0.818  -0.190 -0.685  -0.319 -0.552  -0.447 -0.419  -0.576 -0.287  -0.705 -0.154  -0.834 -0.021  -0.963 0.112  -1.092 0.245  -1.220 0.378  -1.121 0.464  -0.936 0.464  -0.751 0.464  -0.566 0.464  -0.381 0.464  -0.196 0.464  -0.012 0.451  0.172 0.431  0.356 0.410  0.540 0.390  0.724 0.372  0.909 0.359  1.094 0.346  1.278 0.333  1.463 0.319
2#apb#apb32#app3253/u  -1.047 1.141  -0.966 1.202  -0.940 1.131  -0.925 1.031  -0.918 0.930  -0.911 0.829  -0.903 0.729  -0.884 0.629  -0.865 0.530  -0.847 0.430  -0.827 0.331  -0.802 0.233  -0.778 0.135  -0.753 0.037  -0.729 -0.061  -0.693 -0.155  -0.638 -0.240  -0.583 -0.325  -0.528 -0.409  -0.473 -0.494  -0.415 -0.577  -0.353 -0.657  -0.291 -0.737  -0.230 -0.817  -0.142 -0.858  -0.044 -0.883  0.054 -0.907  0.154 -0.906  0.255 -0.898  0.356 -0.889  0.426 -0.819  0.495 -0.744  0.564 -0.670  0.632 -0.596  0.681 -0.508  0.724 -0.417  0.767 -0.325  0.809 -0.233  0.843 -0.138  0.875 -0.042  0.907 0.054  0.939 0.150  0.971 0.246  0.986 0.345  0.991 0.446  0.997 0.547  1.002 0.648  1.008 0.749  1.019 0.850  1.030 0.950
2#apb#apb32#app3253/v  -1.291 0.657  -1.291 0.764  -1.265 0.758  -1.213 0.670  -1.151 0.583  -1.094 0.492  -1.046 0.396  -0.998 0.300  -0.942 0.209  -0.882 0.120  -0.822 0.030  -0.759 -0.056  -0.687 -0.136  -0.615 -0.215  -0.544 -0.296  -0.478 -0.380  -0.412 -0.464  -0.345 -0.549  -0.279 -0.633  -0.209 -0.714  -0.138 -0.795  -0.060 -0.867  0.031 -0.924  0.123 -0.979  0.219 -1.027  0.321 -1.049  0.409 -1.003  0.478 -0.922  0.526 -0.826  0.574 -0.730  0.607 -0.629  0.630 -0.524  0.641 -0.418  0.635 -0.311  0.629 -0.204  0.622 -0.097  0.624 0.010  0.640 0.116  0.656 0.222  0.672 0.328  0.688 0.434  0.698 0.541  0.703 0.648  0.709 0.755  0.714 0.863  0.719 0.970  0.753 1.071  0.793 1.170  0.833 1.270  0.873 1.370
2#apb#apb32#app3253/w  -1.415 0.592  -1.472 0.721  -1.385 0.639  -1.299 0.509  -1.253 0.360  -1.199 0.213  -1.135 0.071  -1.073 -0.073  -1.010 -0.216  -0.923 -0.346  -0.833 -0.473  -0.735 -0.596  -0.628 -0.709  -0.544 -0.839  -0.439 -0.784  -0.384 -0.638  -0.354 -0.488  -0.364 -0.332  -0.340 -0.178  -0.330 -0.022  -0.330 0.134  -0.316 0.290  -0.294 0.444  -0.226 0.584  -0.126 0.600  -0.063 0.457  0.012 0.320  0.082 0.180  0.140 0.035  0.198 -0.110  0.283 -0.239  0.385 -0.357  0.490 -0.473  0.610 -0.574  0.729 -0.675  0.847 -0.778  0.991 -0.782  1.065 -0.664  1.076 -0.508  1.079 -0.352  1.079 -0.196  1.076 -0.039  1.070 0.117  1.063 0.273  1.051 0.429  1.034 0.585  1.019 0.740  1.009 0.896  1.019 1.050  1.060 1.201
2#apb#apb32#app3253/x  -1.685 0.979  -1.555 0.989  -1.501 1.029  -1.380 0.908  -1.260 0.787  -1.137 0.669  -1.010 0.555  -0.884 0.440  -0.755 0.329  -0.626 0.217  -0.497 0.105  -0.368 -0.007  -0.239 -0.119  -0.110 -0.230  0.022 -0.338  0.154 -0.447  0.285 -0.555  0.412 -0.669  0.537 -0.786  0.662 -0.902  0.800 -1.003  0.939 -1.101  1.074 -1.169  0.918 -1.164  0.754 -1.213  0.672 -1.138  0.651 -0.968  0.631 -0.799  0.610 -0.630  0.589 -0.460  0.568 -0.291  0.548 -0.122  0.527 0.048  0.506 0.217  0.486 0.387  0.465 0.556  0.444 0.725  0.424 0.895  0.403 1.064  0.334 1.017  0.261 0.863  0.185 0.710  0.113 0.556  0.040 0.401  -0.042 0.253  -0.162 0.133  -0.283 0.012  -0.398 -0.114  -0.508 -0.245  -0.618 -0.375
2#apb#apb32#app3253/y  -1.611 0.905  -1.602 0.844  -1.527 0.713  -1.455 0.580  -1.384 0.447  -1.303 0.319  -1.217 0.195  -1.132 0.070  -1.034 -0.044  -0.931 -0.155  -0.828 -0.265  -0.705 -0.353  -0.582 -0.441  -0.462 -0.533  -0.346 -0.630  -0.227 -0.722  -0.084 -0.770  0.061 -0.806  0.211 -0.790  0.315 -0.690  0.403 -0.569  0.445 -0.424  0.486 -0.278  0.531 -0.134  0.576 0.010  0.608 0.157  0.616 0.308  0.624 0.459  0.643 0.608  0.675 0.756  0.714 0.901  0.770 1.042  0.819 1.179  0.805 1.047  0.770 0.900  0.733 0.753  0.698 0.606  0.663 0.459  0.629 0.312  0.573 0.172  0.517 0.031  0.468 -0.112  0.424 -0.256  0.381 -0.401  0.331 -0.543  0.272 -0.682  0.214 -0.822  0.180 -0.969  0.147 -1.117  0.126 -1.266
2#apb#apb32#app3253/z  -1.524 0.487  -1.492 0.663  -1.365 0.748  -1.212 0.840  -1.052 0.920  -0.890 0.993  -0.727 1.068  -0.557 1.109  -0.379 1.109  -0.200 1.109  -0.021 1.109  0.157 1.116  0.335 1.132  0.499 1.062  0.614 0.937  0.590 0.766  0.517 0.606  0.404 0.468  0.287 0.333  0.166 0.202  0.045 0.069  -0.063 -0.072  -0.172 -0.214  -0.273 -0.362  -0.355 -0.519  -0.416 -0.687  -0.391 -0.861  -0.289 -0.972  -0.113 -0.995  0.065 -0.988  0.240 -0.953  0.418 -0.948  0.597 -0.948  0.775 -0.948  0.953 -0.933  1.129 -0.943  1.126 -0.955  0.969 -0.870  0.811 -0.785  0.654 -0.700  0.497 -0.616  0.339 -0.531  0.182 -0.446  0.024 -0.361  -0.133 -0.277  -0.290 -0.192  -0.326 -0.053  -0.224 0.073  -0.053 0.105  0.126 0.105
