3#apb#apb40#app4082/E  0.919 0.904  1.006 1.068  1.120 1.220  1.210 1.388  1.149 1.512  0.959 1.508  0.787 1.433  0.621 1.338  0.467 1.226  0.313 1.113  0.165 0.993  0.019 0.870  -0.118 0.739  -0.240 0.592  -0.357 0.441  -0.454 0.277  -0.530 0.103  -0.520 -0.075  -0.336 -0.057  -0.224 0.041  -0.358 -0.095  -0.473 -0.248  -0.579 -0.406  -0.664 -0.576  -0.617 -0.662  -0.513 -0.626  -0.360 -0.528  -0.211 -0.408  -0.060 -0.292  0.089 -0.172  0.233 -0.048  0.368 0.087  0.528 0.178  0.454 0.107  0.310 -0.015  0.153 -0.122  -0.009 -0.218  -0.163 -0.329  -0.304 -0.458  -0.438 -0.593  -0.573 -0.728  -0.698 -0.871  -0.776 -1.043  -0.716 -1.198  -0.555 -1.301  -0.366 -1.319  -0.177 -1.293  0.003 -1.235  0.175 -1.153  0.345 -1.067
3#apb#apb40#app4082/i  0.131 0.349  0.068 0.300  0.026 0.192  -0.018 0.085  -0.062 -0.022  -0.102 -0.130  -0.122 -0.244  -0.141 -0.358  -0.161 -0.472  -0.181 -0.585  -0.201 -0.699  -0.221 -0.813  -0.236 -0.927  -0.245 -1.043  -0.252 -1.158  -0.252 -1.274  -0.252 -1.389  -0.155 -1.445  -0.046 -1.423  0.036 -1.367  0.040 -1.251  0.043 -1.136  0.047 -1.020  0.050 -0.905  0.054 -0.789  0.057 -0.674  0.061 -0.558  0.064 -0.443  0.068 -0.327  0.071 -0.211  0.075 -0.096  0.078 0.020  0.082 0.135  0.085 0.251  0.089 0.366  0.092 0.482  0.096 0.597  0.099 0.713  0.103 0.828  0.106 0.944  0.110 1.059  0.113 1.175  0.117 1.290  0.120 1.406  0.124 1.521  0.127 1.637  0.131 1.752  0.072 1.848  0.011 1.945  -0.003 1.863
3#apb#apb40#app4082/t  -0.404 0.077  -0.337 0.077  -0.205 0.077  -0.073 0.077  0.060 0.077  0.192 0.077  0.325 0.077  0.457 0.077  0.588 0.059  0.719 0.039  0.761 0.084  0.705 0.204  0.648 0.324  0.592 0.444  0.535 0.564  0.479 0.683  0.423 0.803  0.366 0.923  0.310 1.043  0.253 1.163  0.197 1.282  0.140 1.402  0.096 1.409  0.066 1.280  0.035 1.151  0.005 1.023  -0.026 0.894  -0.052 0.764  -0.075 0.633  -0.097 0.503  -0.119 0.372  -0.142 0.242  -0.168 0.112  -0.194 -0.018  -0.220 -0.148  -0.246 -0.278  -0.267 -0.408  -0.286 -0.539  -0.305 -0.670  -0.324 -0.802  -0.344 -0.932  -0.371 -1.062  -0.398 -1.192  -0.425 -1.321  -0.451 -1.451  -0.477 -1.581  -0.503 -1.711  -0.503 -1.843  -0.502 -1.976  -0.437 -2.091
3#apb#apb40#app4082/u  -0.934 1.231  -0.859 1.183  -0.844 1.102  -0.807 0.955  -0.821 0.804  -0.842 0.654  -0.864 0.503  -0.905 0.356  -0.950 0.211  -0.995 0.066  -1.036 -0.080  -1.049 -0.232  -1.063 -0.384  -1.066 -0.536  -1.044 -0.681  -0.960 -0.808  -0.828 -0.847  -0.676 -0.847  -0.527 -0.829  -0.386 -0.772  -0.245 -0.716  -0.103 -0.659  0.021 -0.573  0.142 -0.480  0.263 -0.388  0.373 -0.285  0.452 -0.155  0.532 -0.026  0.612 0.104  0.657 0.249  0.701 0.395  0.745 0.540  0.789 0.686  0.831 0.832  0.873 0.979  0.862 0.938  0.835 0.788  0.808 0.638  0.785 0.488  0.761 0.337  0.737 0.187  0.713 0.037  0.671 -0.109  0.629 -0.256  0.587 -0.402  0.603 -0.552  0.626 -0.703  0.652 -0.852  0.733 -0.981  0.813 -1.110
3#apb#apb40#app4082/r  -0.337 0.474  -0.388 0.373  -0.439 0.271  -0.489 0.170  -0.540 0.069  -0.585 -0.034  -0.610 -0.144  -0.636 -0.255  -0.661 -0.365  -0.684 -0.476  -0.696 -0.588  -0.707 -0.701  -0.717 -0.813  -0.717 -0.927  -0.717 -1.040  -0.705 -1.151  -0.647 -1.241  -0.548 -1.279  -0.440 -1.250  -0.389 -1.149  -0.339 -1.048  -0.288 -0.946  -0.237 -0.845  -0.186 -0.745  -0.130 -0.646  -0.075 -0.547  -0.019 -0.449  0.036 -0.350  0.092 -0.251  0.141 -0.150  0.188 -0.047  0.234 0.057  0.281 0.160  0.327 0.263  0.374 0.366  0.420 0.469  0.462 0.574  0.504 0.679  0.546 0.784  0.588 0.889  0.630 0.995  0.672 1.100  0.724 1.200  0.789 1.292  0.855 1.384  0.945 1.390  0.978 1.282  1.012 1.174  1.045 1.065  1.078 0.957
3#apb#apb40#app4082/e  -0.734 -0.613  -0.630 -0.499  -0.544 -0.370  -0.448 -0.249  -0.327 -0.152  -0.202 -0.059  -0.075 0.030  0.052 0.119  0.176 0.212  0.286 0.322  0.396 0.432  0.506 0.542  0.616 0.652  0.726 0.762  0.833 0.873  0.876 1.023  0.912 1.171  0.821 1.289  0.669 1.255  0.518 1.221  0.379 1.157  0.251 1.069  0.123 0.981  -0.005 0.893  -0.133 0.805  -0.258 0.712  -0.372 0.607  -0.487 0.502  -0.601 0.397  -0.716 0.292  -0.784 0.155  -0.844 0.012  -0.904 -0.132  -0.929 -0.275  -0.871 -0.420  -0.813 -0.564  -0.732 -0.691  -0.611 -0.788  -0.490 -0.885  -0.368 -0.982  -0.219 -1.016  -0.065 -1.040  0.088 -1.064  0.242 -1.088  0.395 -1.113  0.550 -1.116  0.705 -1.106  0.860 -1.097  1.015 -1.088  1.170 -1.079
3#apb#apb40#app4082/T  -0.688 0.241  -0.653 0.351  -0.563 0.426  -0.472 0.499  -0.373 0.561  -0.274 0.623  -0.175 0.685  -0.077 0.749  0.021 0.814  0.119 0.878  0.217 0.942  0.321 0.994  0.428 1.043  0.534 1.091  0.644 1.131  0.757 1.161  0.841 1.134  0.795 1.026  0.712 0.945  0.630 0.862  0.556 0.771  0.489 0.675  0.451 0.567  0.434 0.452  0.417 0.336  0.406 0.220  0.397 0.103  0.378 -0.012  0.354 -0.127  0.326 -0.240  0.290 -0.351  0.253 -0.463  0.214 -0.573  0.170 -0.681  0.126 -0.790  0.076 -0.895  0.021 -0.999  -0.039 -1.099  -0.123 -1.177  -0.224 -1.234  -0.334 -1.273  -0.448 -1.277  -0.564 -1.261  -0.670 -1.214  -0.772 -1.157  -0.862 -1.083  -0.943 -1.000  -1.001 -0.899  -1.049 -0.793  -1.077 -0.680
3#apb#apb40#app4082/o  0.333 0.658  0.235 0.773  0.103 0.707  0.020 0.574  -0.063 0.441  -0.146 0.308  -0.234 0.179  -0.324 0.051  -0.414 -0.078  -0.504 -0.206  -0.589 -0.337  -0.660 -0.477  -0.730 -0.617  -0.800 -0.757  -0.807 -0.897  -0.737 -1.038  -0.638 -1.144  -0.489 -1.190  -0.339 -1.236  -0.187 -1.214  -0.035 -1.176  0.117 -1.138  0.269 -1.100  0.394 -1.006  0.519 -0.911  0.643 -0.816  0.768 -0.721  0.847 -0.586  0.925 -0.450  1.002 -0.314  0.990 -0.159  0.974 -0.004  0.958 0.152  0.911 0.296  0.816 0.421  0.721 0.545  0.626 0.670  0.514 0.774  0.375 0.847  0.236 0.920  0.098 0.993  -0.048 1.039  -0.204 1.039  -0.361 1.039  -0.518 1.039  -0.666 1.014  -0.789 0.918  -0.913 0.821  -1.037 0.725  -1.160 0.629
3#apb#apb40#app4082/w  -0.979 0.842  -1.011 0.723  -1.063 0.609  -1.125 0.500  -1.191 0.392  -1.256 0.285  -1.294 0.166  -1.330 0.045  -1.331 -0.078  -1.308 -0.201  -1.248 -0.299  -1.139 -0.362  -1.020 -0.388  -0.895 -0.388  -0.770 -0.379  -0.651 -0.340  -0.532 -0.300  -0.419 -0.248  -0.322 -0.168  -0.235 -0.080  -0.183 0.035  -0.134 0.151  -0.163 0.087  -0.141 -0.037  -0.117 -0.160  -0.041 -0.259  0.040 -0.355  0.140 -0.428  0.250 -0.489  0.360 -0.550  0.485 -0.554  0.611 -0.554  0.736 -0.554  0.856 -0.519  0.973 -0.474  1.084 -0.419  1.173 -0.330  1.262 -0.241  1.299 -0.125  1.303 -0.003  1.263 0.116  1.224 0.236  1.149 0.335  1.065 0.429  0.982 0.523  0.893 0.612  0.801 0.698  0.709 0.784  0.620 0.872  0.617 0.842
3#apb#apb40#app4082/n  -0.381 0.627  -0.379 0.580  -0.400 0.424  -0.451 0.260  -0.524 0.106  -0.597 -0.048  -0.676 -0.200  -0.772 -0.340  -0.869 -0.481  -0.963 -0.624  -1.054 -0.768  -1.138 -0.886  -1.138 -0.722  -1.105 -0.556  -1.058 -0.391  -1.011 -0.227  -0.939 -0.074  -0.852 0.073  -0.765 0.221  -0.673 0.364  -0.568 0.499  -0.462 0.633  -0.312 0.709  -0.194 0.605  -0.116 0.456  -0.056 0.296  -0.007 0.133  0.023 -0.035  0.051 -0.203  0.068 -0.373  0.085 -0.543  0.115 -0.711  0.166 -0.873  0.315 -0.940  0.458 -0.864  0.590 -0.755  0.710 -0.634  0.823 -0.506  0.936 -0.378  1.025 -0.234  1.098 -0.080  1.171 0.075  1.212 0.240  1.246 0.407  1.277 0.575  1.287 0.746  1.297 0.916  1.279 1.086  1.180 1.222  1.049 1.195
3#apb#apb40#app4082/e  -0.908 -0.413  -0.791 -0.488  -0.638 -0.456  -0.490 -0.403  -0.350 -0.330  -0.211 -0.256  -0.071 -0.183  0.065 -0.103  0.199 -0.021  0.334 0.062  0.457 0.158  0.564 0.273  0.672 0.389  0.755 0.518  0.801 0.669  0.831 0.821  0.809 0.977  0.786 1.132  0.648 1.208  0.509 1.281  0.355 1.250  0.200 1.219  0.045 1.188  -0.085 1.104  -0.208 1.006  -0.332 0.908  -0.455 0.810  -0.579 0.712  -0.654 0.574  -0.727 0.435  -0.801 0.295  -0.855 0.152  -0.842 -0.005  -0.828 -0.162  -0.814 -0.320  -0.752 -0.457  -0.652 -0.578  -0.552 -0.700  -0.448 -0.817  -0.301 -0.874  -0.154 -0.932  -0.008 -0.990  0.139 -1.047  0.290 -1.086  0.447 -1.086  0.605 -1.086  0.763 -1.086  0.920 -1.086  1.078 -1.086  1.236 -1.086
3#apb#apb40#app4082/J  0.040 -0.163  -0.034 -0.131  -0.002 0.034  0.033 0.198  0.070 0.362  0.125 0.520  0.189 0.675  0.250 0.832  0.289 0.995  0.328 1.159  0.375 1.320  0.426 1.480  0.486 1.636  0.561 1.670  0.579 1.503  0.597 1.336  0.580 1.170  0.551 1.005  0.523 0.839  0.494 0.674  0.452 0.511  0.401 0.352  0.349 0.192  0.297 0.032  0.245 -0.128  0.178 -0.282  0.107 -0.434  0.036 -0.586  -0.035 -0.738  -0.114 -0.886  -0.204 -1.028  -0.295 -1.169  -0.390 -1.308  -0.491 -1.442  -0.590 -1.578  -0.708 -1.516  -0.760 -1.358  -0.785 -1.192  -0.793 -1.026  -0.765 -0.861  -0.736 -0.695  -0.674 -0.541  -0.595 -0.393  -0.515 -0.245  -0.376 -0.153  -0.233 -0.064  -0.069 -0.042  0.091 -0.066  0.224 -0.158  0.288 -0.314
3#apb#apb40#app4082/e  -0.598 -0.474  -0.601 -0.573  -0.479 -0.517  -0.368 -0.425  -0.258 -0.333  -0.138 -0.254  -0.017 -0.177  0.105 -0.100  0.226 -0.022  0.347 0.056  0.466 0.135  0.586 0.215  0.705 0.295  0.825 0.374  0.898 0.497  0.966 0.623  1.016 0.755  1.028 0.898  1.021 1.037  0.947 1.161  0.862 1.255  0.724 1.215  0.586 1.174  0.450 1.130  0.333 1.046  0.217 0.962  0.100 0.878  -0.017 0.794  -0.133 0.710  -0.228 0.605  -0.313 0.489  -0.398 0.373  -0.483 0.257  -0.567 0.140  -0.650 0.023  -0.684 -0.116  -0.717 -0.256  -0.751 -0.396  -0.784 -0.536  -0.784 -0.676  -0.754 -0.816  -0.724 -0.957  -0.682 -1.090  -0.566 -1.175  -0.451 -1.260  -0.335 -1.345  -0.195 -1.372  -0.053 -1.391  0.090 -1.410  0.232 -1.430
3#apb#apb40#app4082/w  -0.921 0.699  -0.958 0.576  -1.002 0.456  -1.083 0.357  -1.165 0.257  -1.240 0.153  -1.312 0.046  -1.332 -0.077  -1.332 -0.206  -1.309 -0.323  -1.198 -0.366  -1.071 -0.342  -0.945 -0.318  -0.822 -0.283  -0.703 -0.234  -0.584 -0.185  -0.468 -0.130  -0.369 -0.048  -0.269 0.033  -0.182 0.128  -0.101 0.216  -0.141 0.093  -0.156 -0.034  -0.167 -0.162  -0.158 -0.291  -0.147 -0.419  -0.082 -0.527  -0.002 -0.626  0.123 -0.658  0.248 -0.689  0.372 -0.665  0.497 -0.632  0.620 -0.596  0.735 -0.539  0.850 -0.481  0.958 -0.413  1.049 -0.322  1.140 -0.231  1.163 -0.109  1.170 0.019  1.178 0.148  1.161 0.275  1.137 0.402  1.113 0.528  1.066 0.648  1.017 0.767  0.968 0.886  0.920 1.005  0.872 1.125  0.860 1.088
3#apb#apb40#app4082/e  -1.064 0.061  -0.949 0.030  -0.818 -0.053  -0.663 -0.075  -0.506 -0.064  -0.350 -0.051  -0.203 0.002  -0.059 0.064  0.083 0.129  0.214 0.217  0.345 0.304  0.463 0.406  0.574 0.517  0.636 0.655  0.667 0.808  0.618 0.957  0.568 1.106  0.438 1.178  0.291 1.231  0.150 1.188  0.011 1.115  -0.128 1.042  -0.267 0.968  -0.385 0.865  -0.503 0.762  -0.622 0.658  -0.720 0.542  -0.767 0.392  -0.814 0.242  -0.862 0.092  -0.843 -0.060  -0.807 -0.213  -0.771 -0.366  -0.683 -0.491  -0.576 -0.606  -0.469 -0.721  -0.347 -0.813  -0.199 -0.867  -0.052 -0.921  0.095 -0.975  0.249 -1.004  0.405 -1.027  0.560 -1.050  0.713 -1.052  0.862 -1.002  1.011 -0.952  1.160 -0.903  1.299 -0.829  1.438 -0.755  1.576 -0.681
3#apb#apb40#app4082/l  -1.025 -1.045  -0.920 -0.991  -0.806 -0.901  -0.688 -0.817  -0.569 -0.733  -0.459 -0.638  -0.354 -0.538  -0.248 -0.438  -0.137 -0.345  -0.025 -0.252  0.086 -0.159  0.173 -0.043  0.257 0.076  0.340 0.195  0.413 0.320  0.480 0.449  0.546 0.578  0.612 0.708  0.651 0.847  0.682 0.989  0.712 1.131  0.739 1.273  0.722 1.418  0.654 1.505  0.526 1.463  0.421 1.362  0.316 1.262  0.224 1.151  0.149 1.026  0.074 0.902  -0.000 0.777  -0.075 0.653  -0.129 0.518  -0.180 0.382  -0.231 0.246  -0.283 0.110  -0.334 -0.026  -0.353 -0.169  -0.367 -0.314  -0.381 -0.459  -0.395 -0.603  -0.374 -0.745  -0.339 -0.886  -0.303 -1.027  -0.232 -1.153  -0.155 -1.277  -0.055 -1.375  0.073 -1.443  0.211 -1.477  0.356 -1.486
3#apb#apb40#app4082/e  -0.873 -0.979  -0.918 -0.979  -0.810 -0.910  -0.738 -0.780  -0.628 -0.683  -0.511 -0.591  -0.394 -0.499  -0.281 -0.404  -0.167 -0.308  -0.053 -0.213  0.060 -0.117  0.162 -0.009  0.264 0.099  0.365 0.208  0.443 0.332  0.504 0.467  0.565 0.603  0.626 0.738  0.692 0.871  0.759 1.004  0.825 1.136  0.861 1.275  0.845 1.422  0.715 1.403  0.573 1.362  0.455 1.272  0.338 1.181  0.220 1.090  0.103 0.999  0.006 0.890  -0.072 0.764  -0.150 0.637  -0.228 0.511  -0.306 0.384  -0.357 0.247  -0.386 0.102  -0.415 -0.044  -0.444 -0.189  -0.455 -0.336  -0.436 -0.483  -0.416 -0.630  -0.397 -0.777  -0.345 -0.914  -0.272 -1.043  -0.199 -1.172  -0.093 -1.270  0.033 -1.347  0.163 -1.417  0.310 -1.440  0.456 -1.463
3#apb#apb40#app4082/r  -0.512 0.102  -0.527 0.002  -0.541 -0.099  -0.556 -0.200  -0.581 -0.297  -0.617 -0.392  -0.653 -0.487  -0.689 -0.583  -0.716 -0.680  -0.731 -0.780  -0.745 -0.881  -0.759 -0.981  -0.735 -1.079  -0.704 -1.175  -0.637 -1.231  -0.555 -1.178  -0.487 -1.102  -0.420 -1.026  -0.357 -0.946  -0.297 -0.864  -0.238 -0.782  -0.178 -0.699  -0.119 -0.617  -0.062 -0.533  -0.025 -0.439  0.013 -0.344  0.050 -0.250  0.087 -0.155  0.124 -0.060  0.161 0.034  0.201 0.127  0.242 0.221  0.282 0.314  0.322 0.407  0.363 0.500  0.403 0.594  0.444 0.687  0.484 0.780  0.530 0.871  0.575 0.961  0.621 1.052  0.666 1.143  0.712 1.234  0.760 1.323  0.810 1.412  0.881 1.404  0.928 1.326  0.928 1.224  0.928 1.122  0.928 1.021
3#apb#apb40#app4082/s  0.162 1.333  0.162 1.414  0.087 1.421  0.005 1.421  -0.076 1.421  -0.142 1.381  -0.200 1.324  -0.257 1.266  -0.299 1.198  -0.333 1.123  -0.366 1.048  -0.396 0.973  -0.396 0.891  -0.396 0.810  -0.396 0.728  -0.396 0.646  -0.366 0.572  -0.327 0.500  -0.289 0.429  -0.250 0.357  -0.211 0.285  -0.168 0.216  -0.120 0.150  -0.072 0.084  -0.024 0.018  0.024 -0.049  0.073 -0.114  0.123 -0.179  0.172 -0.243  0.222 -0.308  0.272 -0.373  0.322 -0.437  0.354 -0.511  0.378 -0.589  0.402 -0.667  0.426 -0.745  0.450 -0.823  0.448 -0.904  0.438 -0.985  0.428 -1.066  0.369 -1.119  0.304 -1.168  0.238 -1.217  0.170 -1.261  0.096 -1.294  0.021 -1.326  -0.054 -1.359  -0.129 -1.392  -0.204 -1.425  -0.279 -1.457
