2#apb#apb13#app1356/A  -0.112 0.830  -0.092 1.103  0.009 1.358  0.111 1.583  0.001 1.435  -0.121 1.188  -0.278 0.961  -0.424 0.725  -0.556 0.482  -0.658 0.225  -0.750 -0.036  -0.827 -0.302  -0.887 -0.572  -0.958 -0.839  -1.004 -1.112  -1.004 -1.389  -0.803 -1.404  -0.580 -1.240  -0.457 -0.995  -0.344 -0.742  -0.232 -0.489  -0.119 -0.236  -0.007 0.017  0.106 0.270  0.218 0.523  0.330 0.776  0.399 1.027  0.282 1.262  0.255 1.302  0.351 1.042  0.408 0.772  0.444 0.498  0.478 0.223  0.515 -0.051  0.535 -0.328  0.560 -0.604  0.580 -0.880  0.547 -1.153  0.436 -1.404  0.546 -1.357  0.419 -1.110  0.292 -0.864  0.165 -0.618  0.038 -0.372  -0.089 -0.126  -0.085 0.045  0.181 0.092  0.450 0.161  0.727 0.161  1.004 0.161
2#apb#apb13#app1356/L  0.417 1.111  0.390 1.203  0.289 1.208  0.186 1.208  0.083 1.208  -0.006 1.163  -0.092 1.106  -0.178 1.049  -0.256 0.983  -0.322 0.904  -0.388 0.825  -0.450 0.743  -0.511 0.660  -0.573 0.578  -0.638 0.498  -0.704 0.419  -0.764 0.336  -0.810 0.243  -0.851 0.149  -0.876 0.049  -0.908 -0.048  -0.940 -0.146  -0.911 -0.244  -0.866 -0.336  -0.820 -0.428  -0.745 -0.498  -0.666 -0.564  -0.578 -0.611  -0.477 -0.630  -0.376 -0.648  -0.274 -0.667  -0.174 -0.648  -0.073 -0.625  0.027 -0.602  0.127 -0.579  0.230 -0.572  0.333 -0.572  0.436 -0.572  0.539 -0.572  0.638 -0.552  0.736 -0.519  0.834 -0.487  0.935 -0.475  1.038 -0.475  1.141 -0.475  1.244 -0.475  1.329 -0.528  1.396 -0.600  1.425 -0.699  1.453 -0.798
2#apb#apb13#app1356/M  -1.136 0.834  -1.155 0.766  -1.181 0.535  -1.181 0.300  -1.162 0.067  -1.139 -0.167  -1.156 -0.400  -1.211 -0.628  -1.250 -0.857  -1.124 -0.875  -1.090 -0.642  -1.056 -0.410  -1.022 -0.178  -0.988 0.055  -0.954 0.287  -0.920 0.519  -0.886 0.751  -0.677 0.697  -0.467 0.592  -0.262 0.479  -0.062 0.356  0.104 0.190  0.250 0.010  0.362 -0.196  0.474 -0.390  0.564 -0.435  0.578 -0.201  0.592 0.034  0.607 0.268  0.621 0.502  0.582 0.500  0.569 0.266  0.534 0.034  0.458 -0.187  0.355 -0.398  0.259 -0.612  0.275 -0.803  0.422 -0.627  0.523 -0.416  0.625 -0.204  0.727 0.007  0.829 0.219  0.931 0.430  1.076 0.582  1.258 0.459  1.226 0.231  1.266 0.001  1.272 -0.233  1.314 -0.462  1.429 -0.654
2#apb#apb13#app1356/N  -0.496 0.847  -0.505 0.911  -0.579 0.711  -0.651 0.510  -0.735 0.313  -0.830 0.122  -0.942 -0.060  -1.043 -0.248  -1.148 -0.433  -1.268 -0.608  -1.340 -0.785  -1.247 -0.849  -1.158 -0.655  -1.068 -0.461  -0.979 -0.266  -0.890 -0.072  -0.801 0.122  -0.712 0.316  -0.623 0.511  -0.553 0.700  -0.613 0.754  -0.424 0.655  -0.304 0.482  -0.167 0.318  -0.048 0.141  0.043 -0.052  0.147 -0.239  0.246 -0.428  0.344 -0.598  0.434 -0.791  0.520 -0.829  0.616 -0.637  0.711 -0.446  0.807 -0.255  0.903 -0.064  0.998 0.127  1.094 0.319  1.189 0.510  1.285 0.701  1.389 0.886  1.279 0.715  1.178 0.527  1.057 0.352  0.926 0.182  0.821 -0.004  0.719 -0.191  0.646 -0.392  0.578 -0.595  0.540 -0.796  0.658 -0.974
2#apb#apb13#app1356/O  0.326 0.351  0.326 0.511  0.341 0.668  0.356 0.826  0.298 0.907  0.161 0.826  0.017 0.754  -0.110 0.663  -0.217 0.543  -0.327 0.428  -0.458 0.336  -0.589 0.244  -0.705 0.134  -0.818 0.021  -0.928 -0.094  -1.026 -0.221  -1.123 -0.348  -1.167 -0.502  -1.182 -0.660  -1.164 -0.817  -1.101 -0.959  -0.968 -1.048  -0.817 -1.094  -0.660 -1.127  -0.500 -1.127  -0.340 -1.127  -0.184 -1.091  -0.028 -1.055  0.117 -0.994  0.250 -0.906  0.383 -0.817  0.501 -0.710  0.615 -0.597  0.719 -0.476  0.808 -0.343  0.883 -0.204  0.930 -0.051  0.978 0.102  0.989 0.260  0.989 0.420  0.964 0.573  0.882 0.710  0.794 0.843  0.661 0.931  0.526 1.014  0.366 1.014  0.213 0.988  0.077 0.908  0.005 0.765  -0.066 0.622
2#apb#apb13#app1356/P  -0.316 0.516  -0.388 0.658  -0.443 0.526  -0.492 0.375  -0.549 0.226  -0.611 0.080  -0.686 -0.060  -0.762 -0.200  -0.811 -0.351  -0.858 -0.504  -0.892 -0.659  -0.921 -0.815  -0.937 -0.973  -0.944 -1.132  -0.919 -1.285  -0.816 -1.350  -0.695 -1.311  -0.633 -1.165  -0.571 -1.018  -0.509 -0.872  -0.447 -0.725  -0.385 -0.578  -0.323 -0.432  -0.261 -0.285  -0.199 -0.139  -0.137 0.008  -0.075 0.154  -0.013 0.301  0.049 0.447  0.108 0.593  0.055 0.721  0.151 0.848  0.271 0.949  0.417 1.004  0.566 1.050  0.700 1.050  0.846 0.988  0.991 0.921  1.138 0.862  1.263 0.768  1.264 0.609  1.242 0.453  1.197 0.301  1.132 0.155  1.043 0.025  0.913 -0.062  0.776 -0.142  0.629 -0.205  0.474 -0.189  0.361 -0.137
2#apb#apb13#app1356/Q  -0.357 0.932  -0.315 0.894  -0.490 0.817  -0.675 0.781  -0.858 0.732  -1.041 0.671  -1.203 0.564  -1.313 0.407  -1.363 0.218  -1.358 0.029  -1.283 -0.151  -1.169 -0.309  -1.015 -0.430  -0.854 -0.541  -0.686 -0.642  -0.498 -0.668  -0.302 -0.668  -0.106 -0.668  0.084 -0.645  0.256 -0.552  0.420 -0.447  0.575 -0.327  0.698 -0.177  0.810 -0.016  0.869 0.170  0.927 0.357  0.928 0.553  0.924 0.748  0.877 0.938  0.738 1.071  0.554 1.103  0.375 1.053  0.219 0.935  0.116 0.769  0.031 0.595  -0.011 0.404  -0.054 0.212  -0.044 0.022  0.003 -0.168  0.067 -0.301  0.199 -0.211  0.393 -0.215  0.547 -0.330  0.643 -0.500  0.678 -0.693  0.680 -0.884  0.628 -1.073  0.586 -1.264  0.557 -1.457  0.614 -1.639
2#apb#apb13#app1356/R  -0.137 0.922  -0.231 0.883  -0.326 0.714  -0.418 0.543  -0.510 0.372  -0.602 0.201  -0.694 0.030  -0.763 -0.151  -0.832 -0.333  -0.873 -0.522  -0.914 -0.712  -0.961 -0.901  -0.980 -1.049  -0.984 -0.928  -0.960 -0.735  -0.931 -0.544  -0.870 -0.360  -0.804 -0.177  -0.736 0.005  -0.656 0.181  -0.562 0.351  -0.451 0.510  -0.347 0.674  -0.247 0.840  -0.110 0.977  0.037 1.097  0.227 1.139  0.418 1.116  0.592 1.031  0.735 0.945  0.767 0.754  0.778 0.560  0.794 0.367  0.788 0.176  0.715 -0.002  0.564 -0.105  0.373 -0.080  0.183 -0.044  0.004 0.032  0.114 -0.043  0.261 -0.169  0.407 -0.297  0.559 -0.419  0.710 -0.540  0.829 -0.693  0.945 -0.849  1.064 -1.001  1.209 -1.129  1.324 -1.282  1.500 -1.354
2#apb#apb13#app1356/S  1.047 0.801  0.943 0.879  0.893 1.001  0.781 1.029  0.650 1.027  0.526 0.980  0.402 0.934  0.271 0.931  0.138 0.931  0.006 0.931  -0.123 0.918  -0.244 0.864  -0.365 0.811  -0.491 0.775  -0.620 0.743  -0.728 0.671  -0.831 0.588  -0.931 0.502  -1.032 0.416  -1.105 0.315  -0.983 0.271  -0.858 0.229  -0.732 0.187  -0.607 0.145  -0.482 0.104  -0.353 0.078  -0.221 0.067  -0.090 0.056  0.036 0.023  0.158 -0.030  0.280 -0.080  0.396 -0.140  0.500 -0.222  0.595 -0.313  0.682 -0.412  0.740 -0.529  0.754 -0.659  0.745 -0.790  0.682 -0.902  0.580 -0.985  0.465 -1.051  0.346 -1.105  0.220 -1.143  0.093 -1.181  -0.034 -1.219  -0.160 -1.257  -0.288 -1.286  -0.420 -1.286  -0.552 -1.293  -0.681 -1.319
2#apb#apb13#app1356/T  -0.013 0.258  0.075 0.379  0.157 0.503  0.216 0.640  0.132 0.581  0.041 0.463  -0.031 0.333  -0.097 0.199  -0.147 0.059  -0.197 -0.082  -0.262 -0.216  -0.329 -0.349  -0.395 -0.483  -0.462 -0.616  -0.529 -0.750  -0.581 -0.889  -0.631 -1.030  -0.672 -1.173  -0.675 -1.322  -0.588 -1.435  -0.559 -1.376  -0.563 -1.227  -0.567 -1.078  -0.571 -0.929  -0.575 -0.780  -0.579 -0.631  -0.583 -0.482  -0.587 -0.332  -0.590 -0.183  -0.594 -0.034  -0.598 0.115  -0.602 0.264  -0.558 0.391  -0.438 0.478  -0.296 0.522  -0.153 0.566  -0.006 0.588  0.142 0.611  0.289 0.634  0.437 0.656  0.585 0.672  0.733 0.686  0.882 0.701  1.030 0.715  1.179 0.730  1.328 0.731  1.477 0.731  1.626 0.731  1.775 0.731  1.924 0.731
2#apb#apb13#app1356/U  -0.011 0.621  -0.081 0.726  -0.120 0.831  -0.192 0.868  -0.180 0.958  -0.215 0.956  -0.285 0.851  -0.355 0.746  -0.437 0.649  -0.519 0.553  -0.600 0.457  -0.670 0.352  -0.740 0.247  -0.810 0.141  -0.861 0.026  -0.905 -0.092  -0.940 -0.211  -0.913 -0.334  -0.885 -0.457  -0.858 -0.581  -0.830 -0.704  -0.803 -0.827  -0.743 -0.930  -0.644 -1.009  -0.560 -1.101  -0.472 -1.147  -0.356 -1.097  -0.241 -1.047  -0.141 -0.969  -0.041 -0.892  0.058 -0.814  0.153 -0.730  0.242 -0.641  0.331 -0.552  0.420 -0.462  0.509 -0.372  0.593 -0.278  0.678 -0.184  0.762 -0.091  0.845 0.004  0.895 0.120  0.945 0.236  0.995 0.352  1.044 0.468  1.088 0.587  1.122 0.708  1.155 0.830  1.188 0.952  1.193 1.078  1.193 1.204
2#apb#apb13#app1356/V  -0.985 0.965  -1.032 0.993  -1.056 0.860  -1.036 0.690  -1.019 0.519  -0.996 0.349  -0.970 0.180  -0.943 0.011  -0.915 -0.158  -0.884 -0.327  -0.851 -0.495  -0.825 -0.665  -0.781 -0.830  -0.713 -0.987  -0.602 -1.106  -0.446 -1.176  -0.276 -1.165  -0.114 -1.109  0.045 -1.045  0.161 -0.942  0.210 -0.778  0.258 -0.613  0.307 -0.449  0.356 -0.284  0.404 -0.120  0.453 0.044  0.502 0.209  0.550 0.373  0.599 0.538  0.647 0.702  0.696 0.867  0.758 1.024  0.860 1.161  0.936 1.315  0.910 1.249  0.841 1.092  0.781 0.931  0.721 0.771  0.656 0.612  0.579 0.459  0.502 0.306  0.435 0.148  0.371 -0.011  0.306 -0.169  0.207 -0.310  0.110 -0.451  0.025 -0.599  -0.024 -0.761  0.057 -0.898  0.226 -0.922
2#apb#apb13#app1356/W  -0.970 0.037  -0.970 0.205  -0.979 0.366  -0.943 0.473  -1.044 0.502  -1.079 0.513  -1.140 0.361  -1.157 0.194  -1.173 0.027  -1.189 -0.140  -1.189 -0.309  -1.189 -0.477  -1.172 -0.642  -1.096 -0.785  -0.948 -0.819  -0.787 -0.772  -0.642 -0.687  -0.496 -0.603  -0.370 -0.493  -0.246 -0.379  -0.127 -0.261  -0.026 -0.127  0.075 0.008  0.164 0.150  0.251 0.294  0.333 0.441  0.411 0.589  0.477 0.744  0.507 0.830  0.399 0.703  0.316 0.557  0.279 0.393  0.231 0.233  0.181 0.074  0.201 -0.093  0.187 -0.259  0.255 -0.395  0.375 -0.511  0.538 -0.552  0.700 -0.531  0.861 -0.483  0.986 -0.371  1.111 -0.258  1.208 -0.122  1.298 0.019  1.383 0.165  1.464 0.312  1.512 0.473  1.571 0.629  1.655 0.775
2#apb#apb13#app1356/X  -0.247 1.062  -0.093 1.164  0.038 1.287  0.179 1.325  0.147 1.148  0.113 0.966  0.085 0.783  0.038 0.605  -0.028 0.432  -0.091 0.258  -0.145 0.081  -0.202 -0.096  -0.271 -0.268  -0.347 -0.436  -0.430 -0.602  -0.550 -0.741  -0.565 -0.920  -0.644 -1.087  -0.726 -1.252  -0.734 -1.419  -0.591 -1.349  -0.579 -1.164  -0.566 -0.980  -0.554 -0.795  -0.542 -0.610  -0.529 -0.425  -0.517 -0.240  -0.505 -0.055  -0.492 0.129  -0.480 0.314  -0.468 0.499  -0.455 0.684  -0.446 0.868  -0.363 1.032  -0.199 0.984  -0.073 0.848  0.038 0.700  0.138 0.544  0.233 0.386  0.338 0.233  0.445 0.081  0.568 -0.057  0.693 -0.193  0.838 -0.309  0.986 -0.417  1.162 -0.476  1.338 -0.534  1.512 -0.597  1.685 -0.662  1.859 -0.727
2#apb#apb13#app1356/Y  -1.054 0.599  -1.202 0.701  -1.258 0.691  -1.317 0.760  -1.291 0.785  -1.193 0.641  -1.110 0.485  -0.982 0.356  -0.860 0.223  -0.759 0.071  -0.659 -0.080  -0.558 -0.231  -0.456 -0.381  -0.351 -0.529  -0.229 -0.662  -0.171 -0.808  -0.081 -0.962  0.049 -1.082  0.158 -1.054  0.209 -0.879  0.261 -0.705  0.313 -0.531  0.364 -0.357  0.416 -0.183  0.468 -0.009  0.520 0.165  0.571 0.339  0.623 0.513  0.675 0.687  0.726 0.861  0.778 1.035  0.885 1.182  0.981 1.312  0.933 1.141  0.857 0.976  0.781 0.811  0.708 0.645  0.639 0.477  0.570 0.309  0.498 0.142  0.405 -0.014  0.312 -0.169  0.218 -0.325  0.139 -0.488  0.063 -0.653  -0.011 -0.819  -0.075 -0.989  -0.141 -1.158  -0.191 -1.332  -0.171 -1.506
2#apb#apb13#app1356/Z  -0.858 0.725  -0.908 0.854  -0.948 0.983  -0.959 1.068  -0.845 1.009  -0.710 0.976  -0.574 0.945  -0.438 0.918  -0.300 0.903  -0.164 0.877  -0.032 0.833  0.103 0.809  0.239 0.825  0.363 0.887  0.401 0.796  0.379 0.659  0.305 0.543  0.225 0.429  0.144 0.316  0.056 0.209  -0.043 0.111  -0.141 0.012  -0.252 -0.071  -0.366 -0.150  -0.479 -0.232  -0.588 -0.318  -0.699 -0.402  -0.818 -0.473  -0.928 -0.559  -0.969 -0.677  -0.829 -0.677  -0.690 -0.677  -0.551 -0.677  -0.412 -0.677  -0.273 -0.674  -0.134 -0.669  0.005 -0.663  0.144 -0.657  0.283 -0.651  0.422 -0.649  0.561 -0.649  0.700 -0.649  0.839 -0.649  0.978 -0.643  1.115 -0.623  1.253 -0.603  1.391 -0.587  1.530 -0.574  1.668 -0.570  1.805 -0.592
