2#app#app06#app0691/b  -0.050 2.253  -0.050 2.088  -0.050 1.922  -0.050 1.757  -0.083 1.599  -0.134 1.446  -0.134 1.280  -0.149 1.117  -0.201 0.960  -0.218 0.798  -0.218 0.632  -0.218 0.467  -0.218 0.301  -0.218 0.136  -0.218 -0.030  -0.152 -0.168  -0.134 -0.326  -0.134 -0.491  -0.074 -0.642  -0.022 -0.774  0.021 -0.837  -0.064 -0.695  -0.149 -0.553  -0.234 -0.411  -0.320 -0.269  -0.405 -0.127  -0.444 0.009  -0.327 0.126  -0.256 0.235  -0.104 0.266  0.040 0.319  0.205 0.318  0.353 0.244  0.498 0.191  0.640 0.134  0.706 -0.004  0.706 -0.169  0.706 -0.335  0.679 -0.494  0.600 -0.639  0.509 -0.777  0.424 -0.919  0.338 -1.058  0.221 -1.175  0.079 -1.256  -0.048 -1.360  -0.212 -1.363  -0.378 -1.363  -0.497 -1.252  -0.555 -1.110
2#app#app06#app0691/l  -1.029 -1.226  -0.957 -1.146  -0.885 -1.067  -0.774 -0.970  -0.676 -0.855  -0.593 -0.729  -0.496 -0.613  -0.389 -0.506  -0.282 -0.399  -0.175 -0.292  -0.068 -0.185  0.039 -0.078  0.146 0.029  0.247 0.141  0.315 0.276  0.450 0.344  0.529 0.468  0.623 0.585  0.694 0.718  0.747 0.859  0.790 1.003  0.851 1.129  0.869 1.273  0.841 1.413  0.710 1.464  0.632 1.391  0.511 1.304  0.389 1.216  0.322 1.081  0.218 0.971  0.121 0.856  0.037 0.730  -0.027 0.594  -0.075 0.451  -0.155 0.323  -0.239 0.197  -0.307 0.061  -0.358 -0.081  -0.396 -0.226  -0.396 -0.377  -0.396 -0.529  -0.396 -0.680  -0.396 -0.831  -0.396 -0.983  -0.317 -1.055  -0.257 -1.146  -0.139 -1.226  0.013 -1.226  0.164 -1.226  0.315 -1.226
2#app#app06#app0691/s  0.654 1.486  0.568 1.399  0.468 1.344  0.346 1.344  0.225 1.341  0.138 1.254  0.037 1.202  -0.085 1.202  -0.198 1.193  -0.198 1.070  -0.277 0.981  -0.364 0.894  -0.451 0.807  -0.483 0.698  -0.442 0.593  -0.356 0.506  -0.341 0.390  -0.283 0.291  -0.196 0.207  -0.073 0.207  0.038 0.160  0.147 0.105  0.251 0.042  0.337 -0.045  0.446 -0.078  0.569 -0.078  0.680 -0.104  0.767 -0.190  0.796 -0.300  0.796 -0.423  0.767 -0.533  0.681 -0.620  0.569 -0.646  0.447 -0.646  0.370 -0.692  0.352 -0.807  0.265 -0.893  0.158 -0.930  0.036 -0.930  -0.087 -0.930  -0.209 -0.930  -0.332 -0.930  -0.454 -0.930  -0.549 -0.997  -0.640 -1.072  -0.763 -1.072  -0.885 -1.072  -0.979 -1.003  -1.071 -0.930  -1.193 -0.930
2#app#app06#app0691/w  -0.725 0.759  -0.725 0.623  -0.773 0.507  -0.828 0.393  -0.893 0.285  -0.967 0.173  -1.028 0.051  -1.089 -0.070  -1.134 -0.195  -1.134 -0.331  -1.134 -0.467  -1.134 -0.603  -1.067 -0.672  -1.032 -0.571  -0.901 -0.555  -0.779 -0.495  -0.725 -0.392  -0.648 -0.288  -0.552 -0.192  -0.456 -0.096  -0.360 0.000  -0.317 0.118  -0.240 0.069  -0.214 -0.056  -0.214 -0.192  -0.168 -0.309  -0.112 -0.422  -0.048 -0.531  0.072 -0.570  0.207 -0.570  0.343 -0.570  0.479 -0.570  0.603 -0.519  0.727 -0.468  0.847 -0.429  0.910 -0.319  0.967 -0.207  1.063 -0.110  1.114 0.004  1.183 0.112  1.217 0.234  1.217 0.370  1.179 0.490  1.114 0.599  1.114 0.735  1.105 0.861  1.012 0.905  1.012 1.040  1.006 1.174  0.910 1.270
2#app#app06#app0691/a  0.096 1.114  -0.048 0.970  -0.192 0.827  -0.336 0.683  -0.480 0.539  -0.624 0.395  -0.768 0.251  -0.912 0.107  -1.018 -0.053  -1.018 -0.256  -1.119 -0.418  -1.177 -0.597  -1.177 -0.801  -1.141 -0.989  -0.988 -1.112  -0.806 -1.060  -0.662 -0.916  -0.519 -0.772  -0.382 -0.625  -0.343 -0.438  -0.222 -0.284  -0.222 -0.081  -0.136 0.087  -0.063 0.260  -0.063 0.464  0.070 0.612  0.096 0.805  0.096 1.009  -0.002 1.114  -0.063 0.972  -0.063 0.769  -0.063 0.565  -0.063 0.362  -0.063 0.158  -0.063 -0.045  0.001 -0.222  0.145 -0.366  0.255 -0.524  0.347 -0.635  0.551 -0.635  0.754 -0.635  0.938 -0.588  1.095 -0.476  1.209 -0.386  1.304 -0.222  1.448 -0.078  1.527 0.093  1.527 0.296  1.655 0.447  1.686 0.319
2#app#app06#app0691/x  -1.197 0.933  -1.031 1.067  -0.808 1.067  -0.607 1.118  -0.420 1.202  -0.198 1.202  0.024 1.202  0.246 1.202  0.414 1.072  0.554 0.908  0.554 0.686  0.554 0.464  0.554 0.242  0.480 0.051  0.323 -0.106  0.209 -0.295  0.087 -0.477  -0.070 -0.634  -0.255 -0.751  -0.440 -0.869  -0.597 -1.026  -0.794 -1.088  -0.960 -1.222  -1.147 -1.307  -1.185 -1.210  -1.028 -1.053  -0.871 -0.896  -0.714 -0.739  -0.557 -0.582  -0.400 -0.425  -0.243 -0.268  -0.086 -0.111  0.071 0.046  0.228 0.203  0.385 0.360  0.542 0.517  0.699 0.674  0.790 0.765  0.633 0.608  0.444 0.529  0.279 0.389  0.150 0.221  0.150 -0.001  0.206 -0.200  0.363 -0.357  0.520 -0.514  0.723 -0.566  0.922 -0.665  1.140 -0.683  1.362 -0.683
2#app#app06#app0691/m  -0.683 0.366  -0.689 0.138  -0.794 -0.049  -0.794 -0.280  -0.794 -0.511  -0.905 -0.696  -0.955 -0.906  -1.049 -0.856  -1.098 -0.715  -1.016 -0.518  -1.007 -0.291  -0.905 -0.103  -0.790 0.094  -0.666 0.288  -0.558 0.491  -0.395 0.654  -0.294 0.811  -0.127 0.747  -0.127 0.516  -0.127 0.285  -0.217 0.076  -0.271 -0.142  -0.350 -0.355  -0.394 -0.567  -0.479 -0.763  -0.572 -0.955  -0.572 -0.970  -0.390 -0.856  -0.265 -0.686  -0.117 -0.512  0.033 -0.337  0.161 -0.145  0.312 0.028  0.458 0.204  0.561 0.410  0.678 0.602  0.872 0.713  0.888 0.937  1.051 1.101  1.218 1.255  1.302 1.129  1.206 0.938  1.206 0.707  1.205 0.477  1.102 0.270  1.094 0.041  1.094 -0.190  0.991 -0.396  0.983 -0.625  0.983 -0.856
2#app#app06#app0691/e  -0.765 -0.333  -0.591 -0.333  -0.494 -0.255  -0.378 -0.198  -0.339 -0.063  -0.165 -0.063  -0.089 0.035  0.046 0.074  0.075 0.236  0.198 0.359  0.321 0.482  0.444 0.605  0.439 0.773  0.361 0.929  0.316 1.092  0.203 1.153  0.029 1.153  -0.145 1.153  -0.291 1.086  -0.437 1.018  -0.577 0.936  -0.674 0.794  -0.752 0.639  -0.829 0.483  -0.912 0.331  -1.035 0.208  -1.035 0.034  -1.035 -0.140  -1.035 -0.314  -1.021 -0.482  -0.897 -0.603  -0.735 -0.633  -0.605 -0.738  -0.450 -0.783  -0.313 -0.873  -0.139 -0.873  0.035 -0.873  0.209 -0.873  0.383 -0.873  0.526 -0.799  0.675 -0.738  0.811 -0.648  0.967 -0.603  1.097 -0.498  1.259 -0.468  1.298 -0.333  1.450 -0.280  1.532 -0.141  1.532 0.033  1.532 0.207
2#app#app06#app0691/r  -0.257 -1.392  -0.346 -1.392  -0.383 -1.338  -0.400 -1.266  -0.489 -1.266  -0.508 -1.195  -0.543 -1.140  -0.632 -1.140  -0.634 -1.053  -0.634 -0.963  -0.634 -0.874  -0.634 -0.784  -0.634 -0.695  -0.634 -0.605  -0.634 -0.516  -0.596 -0.435  -0.556 -0.355  -0.516 -0.275  -0.508 -0.187  -0.508 -0.098  -0.508 -0.009  -0.444 0.055  -0.383 0.119  -0.383 0.208  -0.343 0.281  -0.280 0.345  -0.257 0.425  -0.242 0.508  -0.179 0.571  -0.110 0.619  -0.020 0.619  -0.006 0.694  0.033 0.745  0.123 0.745  0.212 0.745  0.302 0.745  0.391 0.745  0.481 0.745  0.570 0.745  0.660 0.745  0.749 0.745  0.839 0.745  0.928 0.745  1.013 0.732  1.076 0.669  1.145 0.619  1.234 0.619  1.324 0.619  1.377 0.583  1.377 0.494
2#app#app06#app0691/c  0.856 1.084  0.750 1.084  0.643 1.084  0.537 1.084  0.430 1.084  0.324 1.084  0.217 1.084  0.111 1.084  0.013 1.046  -0.082 0.999  -0.177 0.951  -0.261 0.888  -0.336 0.813  -0.412 0.738  -0.487 0.662  -0.527 0.572  -0.529 0.468  -0.625 0.420  -0.720 0.373  -0.815 0.325  -0.834 0.230  -0.834 0.124  -0.834 0.017  -0.834 -0.089  -0.834 -0.196  -0.834 -0.302  -0.834 -0.409  -0.771 -0.452  -0.669 -0.463  -0.594 -0.539  -0.516 -0.606  -0.409 -0.606  -0.303 -0.606  -0.199 -0.616  -0.103 -0.664  -0.008 -0.712  0.087 -0.759  0.193 -0.760  0.300 -0.760  0.406 -0.760  0.513 -0.760  0.619 -0.760  0.725 -0.760  0.832 -0.760  0.938 -0.760  1.045 -0.760  1.151 -0.760  1.163 -0.854  1.210 -0.913  1.317 -0.913
2#app#app06#app0691/i  -0.250 0.189  -0.351 0.180  -0.363 0.076  -0.441 -0.002  -0.451 -0.107  -0.498 -0.206  -0.547 -0.304  -0.552 -0.412  -0.552 -0.522  -0.552 -0.632  -0.552 -0.741  -0.552 -0.851  -0.523 -0.948  -0.451 -1.028  -0.434 -1.121  -0.351 -1.147  -0.315 -1.221  -0.205 -1.221  -0.096 -1.221  0.014 -1.221  0.062 -1.151  0.077 -1.042  0.092 -0.933  0.107 -0.825  0.122 -0.716  0.137 -0.608  0.152 -0.499  0.167 -0.390  0.182 -0.282  0.197 -0.173  0.212 -0.064  0.227 0.044  0.242 0.153  0.257 0.262  0.272 0.370  0.287 0.479  0.302 0.588  0.317 0.696  0.332 0.805  0.347 0.914  0.362 1.022  0.377 1.131  0.392 1.239  0.407 1.348  0.422 1.457  0.437 1.565  0.452 1.674  0.373 1.701  0.355 1.792  0.355 1.902
2#app#app06#app0691/f  0.458 1.610  0.458 1.464  0.427 1.331  0.395 1.199  0.376 1.056  0.333 0.918  0.324 0.774  0.277 0.635  0.231 0.497  0.209 0.355  0.201 0.211  0.165 0.069  0.116 -0.067  0.042 -0.192  -0.039 -0.313  -0.039 -0.459  -0.093 -0.589  -0.168 -0.714  -0.236 -0.842  -0.282 -0.980  -0.345 -1.112  -0.433 -1.225  -0.512 -1.346  -0.598 -1.456  -0.660 -1.539  -0.722 -1.487  -0.711 -1.344  -0.655 -1.209  -0.599 -1.075  -0.543 -0.940  -0.487 -0.806  -0.431 -0.671  -0.375 -0.537  -0.319 -0.403  -0.263 -0.268  -0.207 -0.134  -0.151 0.001  -0.095 0.135  -0.039 0.270  0.017 0.404  0.073 0.538  0.129 0.673  0.185 0.807  0.271 0.886  0.376 0.927  0.496 0.989  0.641 0.989  0.787 0.989  0.933 0.989  1.078 0.989
2#app#app06#app0691/u  -0.461 1.377  -0.345 1.261  -0.288 1.120  -0.361 1.030  -0.461 0.966  -0.500 0.818  -0.616 0.702  -0.634 0.545  -0.725 0.419  -0.807 0.289  -0.835 0.136  -0.951 0.020  -0.981 -0.131  -1.060 -0.263  -1.154 -0.388  -1.154 -0.552  -1.154 -0.716  -1.150 -0.876  -0.986 -0.876  -0.822 -0.876  -0.702 -0.771  -0.566 -0.703  -0.419 -0.661  -0.303 -0.545  -0.187 -0.429  -0.053 -0.356  0.111 -0.356  0.232 -0.314  0.256 -0.159  0.372 -0.043  0.406 0.107  0.513 0.164  0.648 0.233  0.752 0.354  0.752 0.518  0.752 0.682  0.752 0.846  0.752 0.704  0.752 0.540  0.752 0.376  0.752 0.212  0.752 0.048  0.752 -0.117  0.821 -0.252  0.926 -0.373  0.931 -0.535  1.047 -0.651  1.163 -0.767  1.282 -0.876  1.446 -0.876
2#app#app06#app0691/l  -1.311 -1.178  -1.164 -1.178  -1.040 -1.155  -0.968 -1.052  -0.841 -0.979  -0.737 -0.875  -0.633 -0.771  -0.528 -0.666  -0.405 -0.589  -0.282 -0.510  -0.178 -0.406  -0.073 -0.302  0.051 -0.226  0.173 -0.146  0.277 -0.042  0.381 0.062  0.457 0.187  0.537 0.309  0.622 0.427  0.693 0.555  0.797 0.659  0.886 0.775  0.949 0.907  0.949 1.055  0.949 1.202  0.888 1.324  0.753 1.354  0.606 1.354  0.530 1.238  0.430 1.139  0.302 1.068  0.198 0.964  0.109 0.849  0.042 0.718  -0.062 0.614  -0.155 0.501  -0.221 0.369  -0.287 0.238  -0.317 0.097  -0.317 -0.050  -0.317 -0.198  -0.317 -0.345  -0.317 -0.492  -0.317 -0.640  -0.317 -0.787  -0.297 -0.927  -0.179 -0.997  -0.126 -1.098  -0.012 -1.178  0.135 -1.178
