2#tos#t3#t3014060/!  0.323 1.602  0.270 1.583  0.270 1.511  0.266 1.443  0.217 1.420  0.217 1.348  0.217 1.276  0.217 1.204  0.217 1.131  0.217 1.059  0.217 0.987  0.217 0.915  0.217 0.843  0.217 0.771  0.184 0.710  0.141 0.652  0.097 0.594  0.058 0.535  0.058 0.463  0.058 0.391  0.058 0.319  0.054 0.247  0.046 0.175  0.038 0.103  0.030 0.032  0.022 -0.040  0.015 -0.112  0.007 -0.183  0.005 -0.255  0.005 -0.328  0.005 -0.400  -0.028 -0.462  -0.068 -0.522  -0.102 -0.584  -0.102 -0.656  -0.136 -0.714  -0.187 -0.765  -0.213 -0.828  -0.223 -0.900  -0.233 -0.971  -0.242 -1.043  -0.252 -1.114  -0.261 -1.186  -0.271 -1.257  -0.280 -1.329  -0.290 -1.400  -0.299 -1.472  -0.309 -1.543  -0.314 -1.615  -0.367 -1.634
2#tos#t3#t3014060/^  -0.963 -0.235  -0.993 -0.327  -1.092 -0.376  -1.153 -0.463  -1.193 -0.564  -1.193 -0.562  -1.183 -0.455  -1.111 -0.374  -1.076 -0.269  -1.042 -0.164  -1.012 -0.082  -0.902 -0.082  -0.887 0.013  -0.850 0.108  -0.772 0.186  -0.677 0.224  -0.581 0.238  -0.581 0.348  -0.579 0.458  -0.529 0.556  -0.456 0.631  -0.357 0.680  -0.324 0.759  -0.214 0.759  -0.105 0.751  -0.007 0.702  0.079 0.635  0.177 0.606  0.261 0.580  0.304 0.487  0.382 0.409  0.414 0.312  0.435 0.219  0.542 0.192  0.649 0.165  0.720 0.110  0.720 0.000  0.816 -0.025  0.894 -0.103  0.972 -0.181  1.050 -0.259  1.103 -0.348  1.103 -0.458  1.206 -0.465  1.256 -0.526  1.256 -0.636  1.256 -0.746  1.341 -0.771  1.409 -0.813  1.485 -0.847
2#tos#t3#t3014060/`  1.091 -0.365  0.906 -0.365  0.721 -0.365  0.638 -0.467  0.638 -0.652  0.638 -0.836  0.638 -1.021  0.638 -1.206  0.519 -1.271  0.334 -1.271  0.149 -1.271  -0.036 -1.271  -0.220 -1.271  -0.268 -1.134  -0.268 -0.949  -0.268 -0.764  -0.268 -0.579  -0.268 -0.395  -0.268 -0.210  -0.268 -0.025  -0.268 0.160  -0.268 0.344  -0.268 0.529  -0.103 0.595  0.072 0.654  0.248 0.712  0.423 0.770  0.598 0.829  0.773 0.887  0.949 0.946  1.056 0.993  0.871 0.993  0.687 0.993  0.542 0.897  0.411 0.766  0.280 0.635  0.150 0.505  0.019 0.374  -0.111 0.244  -0.242 0.113  -0.416 0.087  -0.601 0.087  -0.786 0.087  -0.971 0.087  -1.155 0.087  -1.173 0.254  -1.173 0.439  -1.257 0.540  -1.441 0.540  -1.626 0.540
2#tos#t3#t3014060/|  0.064 1.526  -0.018 1.526  -0.099 1.526  -0.122 1.467  -0.142 1.467  -0.113 1.414  -0.113 1.332  -0.113 1.251  -0.113 1.169  -0.102 1.090  -0.066 1.017  -0.054 0.938  -0.054 0.856  -0.054 0.775  -0.049 0.698  0.033 0.698  0.064 0.648  0.064 0.566  0.064 0.485  0.064 0.403  0.064 0.321  0.064 0.240  0.064 0.158  0.064 0.076  0.011 0.048  0.019 -0.027  0.033 -0.107  0.048 -0.187  0.062 -0.268  0.077 -0.348  0.092 -0.428  0.106 -0.509  0.121 -0.589  0.056 -0.603  -0.026 -0.603  -0.054 -0.656  -0.054 -0.738  -0.054 -0.820  -0.054 -0.901  -0.054 -0.983  -0.033 -1.060  0.004 -1.133  0.005 -1.214  0.005 -1.296  0.005 -1.377  0.033 -1.431  0.064 -1.482  0.064 -1.563  0.064 -1.645  0.064 -1.727
2#tos#t3#t3014060/}  -0.464 1.351  -0.553 1.340  -0.575 1.307  -0.475 1.307  -0.394 1.351  -0.294 1.351  -0.194 1.351  -0.108 1.337  -0.038 1.307  -0.019 1.226  -0.019 1.126  -0.005 1.040  0.025 0.971  0.051 0.881  0.070 0.789  0.070 0.689  0.070 0.589  0.070 0.489  0.070 0.389  0.070 0.289  0.075 0.195  0.142 0.140  0.176 0.061  0.231 0.017  0.320 -0.011  0.381 -0.059  0.383 -0.072  0.372 -0.161  0.337 -0.226  0.261 -0.250  0.161 -0.250  0.150 -0.339  0.114 -0.403  0.114 -0.503  0.114 -0.603  0.114 -0.703  0.114 -0.803  0.114 -0.903  0.114 -1.003  0.114 -1.103  0.114 -1.203  0.085 -1.274  0.029 -1.318  0.018 -1.407  -0.064 -1.425  -0.137 -1.451  -0.237 -1.451  -0.284 -1.366  -0.367 -1.326  -0.419 -1.274
2#tos#t3#t3014060/3  -0.628 0.657  -0.792 0.657  -0.819 0.794  -0.803 0.955  -0.706 1.039  -0.628 1.176  -0.514 1.248  -0.369 1.267  -0.244 1.305  -0.080 1.305  0.058 1.279  0.172 1.230  0.325 1.189  0.376 1.077  0.401 0.938  0.471 0.832  0.515 0.696  0.527 0.543  0.553 0.406  0.519 0.276  0.470 0.162  0.363 0.083  0.348 -0.067  0.185 -0.067  0.070 -0.131  -0.073 -0.181  -0.237 -0.181  -0.207 -0.143  -0.044 -0.143  0.113 -0.160  0.268 -0.181  0.363 -0.250  0.477 -0.300  0.515 -0.448  0.520 -0.610  0.553 -0.766  0.553 -0.930  0.526 -1.019  0.477 -1.134  0.363 -1.184  0.263 -1.248  0.099 -1.248  -0.065 -1.248  -0.228 -1.248  -0.383 -1.210  -0.538 -1.172  -0.666 -1.114  -0.742 -1.026  -0.819 -0.916  -0.857 -0.791
2#tos#t3#t3014060/4  0.146 1.478  0.017 1.359  -0.099 1.289  -0.111 1.043  -0.184 0.820  -0.288 0.611  -0.411 0.457  -0.525 0.323  -0.625 0.137  -0.707 -0.061  -0.753 -0.264  -0.882 -0.384  -0.928 -0.451  -0.681 -0.448  -0.432 -0.448  -0.184 -0.448  0.047 -0.405  0.295 -0.405  0.543 -0.405  0.792 -0.405  1.040 -0.405  1.175 -0.345  1.035 -0.140  0.895 0.065  0.755 0.271  0.615 0.476  0.475 0.681  0.335 0.886  0.196 1.091  0.056 1.296  -0.097 1.478  -0.197 1.330  -0.154 1.125  -0.111 0.919  -0.068 0.714  -0.026 0.476  -0.026 0.227  -0.026 -0.021  -0.026 -0.269  -0.026 -0.518  -0.026 -0.766  -0.068 -0.997  -0.068 -1.245  -0.050 -1.389  -0.249 -1.389  -0.495 -1.389  -0.247 -1.389  0.001 -1.389  0.207 -1.432  0.146 -1.347
2#tos#t3#t3014060/5  -0.277 1.301  -0.401 1.214  -0.360 1.012  -0.360 0.800  -0.319 0.596  -0.319 0.384  -0.319 0.173  -0.277 -0.029  -0.319 -0.199  -0.319 -0.286  -0.162 -0.183  0.011 -0.097  0.169 -0.018  0.380 -0.018  0.509 -0.101  0.671 -0.199  0.818 -0.312  0.919 -0.437  0.997 -0.592  1.001 -0.802  0.955 -0.967  0.870 -1.098  0.727 -1.228  0.547 -1.281  0.369 -1.338  0.158 -1.338  -0.054 -1.338  -0.236 -1.278  -0.385 -1.214  -0.484 -1.185  -0.517 -1.015  -0.502 -0.804  -0.487 -0.593  -0.472 -0.382  -0.457 -0.171  -0.443 0.040  -0.428 0.251  -0.413 0.462  -0.398 0.673  -0.383 0.884  -0.369 1.095  -0.444 1.215  -0.595 1.107  -0.413 1.095  -0.202 1.095  0.000 1.054  0.211 1.054  0.423 1.054  0.583 0.971  0.795 0.971
2#tos#t3#t3014060/6  0.649 1.392  0.564 1.300  0.386 1.300  0.255 1.346  0.078 1.346  -0.053 1.300  -0.138 1.208  -0.271 1.164  -0.363 1.043  -0.429 0.932  -0.514 0.840  -0.553 0.702  -0.593 0.565  -0.678 0.472  -0.686 0.302  -0.686 0.125  -0.686 -0.052  -0.686 -0.229  -0.683 -0.406  -0.640 -0.565  -0.565 -0.689  -0.502 -0.817  -0.426 -0.947  -0.308 -1.020  -0.176 -1.093  -0.041 -1.162  0.097 -1.202  0.245 -1.231  0.422 -1.231  0.553 -1.185  0.695 -1.111  0.789 -1.001  0.879 -0.913  0.879 -0.736  0.925 -0.605  0.925 -0.428  0.925 -0.251  0.826 -0.173  0.787 -0.034  0.657 0.042  0.495 0.073  0.357 0.166  0.211 0.242  0.034 0.242  -0.141 0.249  -0.302 0.288  -0.472 0.271  -0.618 0.196  -0.692 0.058  -0.732 -0.080
2#tos#t3#t3014060/B  -0.687 1.200  -0.767 0.998  -0.687 0.740  -0.567 0.487  -0.541 0.194  -0.541 -0.114  -0.493 -0.402  -0.493 -0.710  -0.452 -0.978  -0.447 -0.939  -0.453 -0.631  -0.460 -0.323  -0.467 -0.014  -0.474 0.294  -0.481 0.602  -0.488 0.910  -0.560 1.151  -0.602 1.055  -0.300 1.061  -0.082 1.151  0.158 1.248  0.466 1.248  0.734 1.151  0.886 0.958  0.910 0.674  0.813 0.462  0.687 0.280  0.435 0.184  0.178 0.038  -0.077 -0.053  -0.325 -0.155  -0.634 -0.155  -0.628 -0.225  -0.371 -0.155  -0.090 -0.090  0.199 -0.021  0.506 -0.010  0.765 0.038  0.975 -0.067  1.129 -0.252  1.201 -0.517  1.164 -0.802  0.973 -0.963  0.720 -1.026  0.557 -1.171  0.255 -1.212  -0.004 -1.268  -0.264 -1.316  -0.541 -1.286  -0.735 -1.268
2#tos#t3#t3014060/C  0.578 1.225  0.491 1.177  0.457 1.095  0.491 0.994  0.535 0.902  0.535 0.768  0.535 0.633  0.535 0.564  0.535 0.612  0.449 0.661  0.444 0.791  0.353 0.834  0.228 0.878  0.137 0.921  0.049 0.886  -0.072 0.921  -0.203 0.917  -0.298 0.878  -0.346 0.791  -0.447 0.736  -0.550 0.692  -0.550 0.557  -0.593 0.466  -0.637 0.374  -0.668 0.270  -0.724 0.191  -0.724 0.056  -0.724 -0.079  -0.724 -0.213  -0.719 -0.347  -0.680 -0.473  -0.673 -0.605  -0.596 -0.684  -0.550 -0.806  -0.479 -0.886  -0.414 -0.994  -0.313 -1.075  -0.221 -1.118  -0.140 -1.205  -0.005 -1.205  0.130 -1.205  0.265 -1.205  0.400 -1.205  0.491 -1.161  0.616 -1.118  0.664 -1.031  0.669 -0.901  0.751 -0.824  0.834 -0.771  0.882 -0.684
2#tos#t3#t3014060/E  -0.282 1.183  -0.441 1.014  -0.166 1.046  0.118 1.057  0.364 1.099  0.652 1.099  0.939 1.098  1.144 1.014  1.205 0.935  0.918 0.955  0.630 0.975  0.343 0.995  0.055 1.015  -0.232 1.035  -0.519 1.055  -0.569 0.913  -0.493 0.675  -0.493 0.387  -0.462 0.130  -0.451 -0.147  -0.451 -0.435  -0.451 -0.724  -0.451 -1.012  -0.443 -1.052  -0.424 -0.765  -0.406 -0.477  -0.387 -0.190  -0.369 0.098  -0.448 0.046  -0.160 0.046  0.128 0.046  0.317 0.046  0.307 0.324  0.349 0.111  0.349 -0.177  0.163 -0.345  -0.077 -0.505  -0.316 -0.665  -0.556 -0.825  -0.796 -0.985  -0.973 -1.075  -0.692 -1.092  -0.403 -1.092  -0.115 -1.092  0.088 -1.007  0.376 -1.007  0.665 -1.007  0.826 -1.049  0.981 -0.916  1.108 -0.755
2#tos#t3#t3014060/F  -0.193 1.063  -0.379 0.948  -0.375 0.932  -0.127 0.932  0.102 0.976  0.349 0.976  0.571 1.016  0.790 1.063  1.032 1.058  1.120 0.899  1.207 0.739  1.074 0.735  0.830 0.774  0.586 0.814  0.342 0.854  0.098 0.893  -0.146 0.933  -0.390 0.972  -0.502 0.845  -0.499 0.600  -0.455 0.397  -0.438 0.154  -0.411 -0.087  -0.411 -0.335  -0.411 -0.582  -0.399 -0.817  -0.368 -1.033  -0.324 -1.237  -0.368 -1.440  -0.538 -1.517  -0.737 -1.517  -0.490 -1.517  -0.247 -1.492  -0.021 -1.430  -0.035 -1.239  -0.111 -1.003  -0.187 -0.768  -0.263 -0.533  -0.339 -0.297  -0.424 -0.074  -0.476 -0.161  -0.228 -0.161  0.019 -0.161  0.266 -0.161  0.289 -0.086  0.289 0.162  0.290 0.057  0.332 -0.148  0.332 -0.395  0.376 -0.599
2#tos#t3#t3014060/I  -0.277 1.176  -0.350 1.135  -0.453 1.095  -0.440 1.017  -0.329 1.014  -0.215 1.014  -0.102 1.014  0.011 1.014  0.084 1.054  0.198 1.054  0.311 1.054  0.399 1.056  0.286 1.066  0.173 1.076  0.061 1.086  -0.034 1.076  -0.044 0.973  -0.115 0.931  -0.074 0.858  -0.037 0.756  0.007 0.656  0.007 0.542  0.007 0.429  0.007 0.316  0.007 0.202  0.007 0.089  0.007 -0.024  0.007 -0.138  0.047 -0.210  0.047 -0.324  0.047 -0.437  0.047 -0.550  0.047 -0.664  0.047 -0.777  0.047 -0.890  0.047 -1.004  0.047 -1.117  0.047 -1.197  0.047 -1.263  0.087 -1.254  -0.026 -1.254  -0.140 -1.254  -0.253 -1.254  -0.228 -1.295  -0.114 -1.295  -0.001 -1.295  0.112 -1.295  0.226 -1.295  0.339 -1.295  0.371 -1.376
2#tos#t3#t3014060/J  -0.123 1.167  -0.200 1.128  -0.199 1.089  -0.083 1.089  0.033 1.089  0.150 1.089  0.266 1.089  0.344 1.128  0.460 1.128  0.577 1.128  0.533 1.133  0.417 1.145  0.302 1.158  0.187 1.165  0.187 1.049  0.187 0.932  0.187 0.816  0.216 0.712  0.234 0.601  0.264 0.489  0.264 0.373  0.264 0.256  0.264 0.140  0.264 0.024  0.264 -0.093  0.264 -0.209  0.264 -0.326  0.286 -0.420  0.342 -0.504  0.342 -0.620  0.303 -0.698  0.303 -0.814  0.232 -0.878  0.196 -0.962  0.157 -1.040  0.071 -1.070  0.001 -1.117  -0.099 -1.156  -0.215 -1.156  -0.332 -1.156  -0.448 -1.156  -0.510 -1.101  -0.603 -1.078  -0.681 -1.040  -0.767 -0.990  -0.819 -0.886  -0.858 -0.808  -0.897 -0.730  -0.897 -0.614  -0.897 -0.498
2#tos#t3#t3014060/L  -0.569 1.275  -0.691 1.269  -0.638 1.194  -0.510 1.194  -0.382 1.194  -0.254 1.194  -0.126 1.194  0.002 1.194  -0.047 1.183  -0.174 1.167  -0.301 1.153  -0.366 1.066  -0.353 1.031  -0.325 0.932  -0.284 0.844  -0.271 0.719  -0.244 0.598  -0.244 0.470  -0.203 0.352  -0.203 0.224  -0.166 0.104  -0.162 -0.023  -0.162 -0.151  -0.162 -0.279  -0.203 -0.366  -0.203 -0.494  -0.162 -0.581  -0.162 -0.709  -0.281 -0.700  -0.408 -0.682  -0.488 -0.725  -0.542 -0.798  -0.509 -0.839  -0.381 -0.839  -0.253 -0.839  -0.125 -0.839  0.003 -0.839  0.131 -0.839  0.259 -0.839  0.387 -0.839  0.515 -0.839  0.643 -0.839  0.771 -0.839  0.899 -0.839  1.027 -0.839  1.155 -0.839  1.179 -0.735  1.179 -0.607  1.179 -0.479  1.220 -0.473
2#tos#t3#t3014060/O  0.093 -0.821  -0.051 -0.885  -0.144 -0.965  -0.291 -0.940  -0.391 -0.869  -0.483 -0.788  -0.627 -0.760  -0.627 -0.588  -0.684 -0.437  -0.771 -0.352  -0.771 -0.180  -0.866 -0.068  -0.866 0.104  -0.866 0.276  -0.845 0.426  -0.748 0.519  -0.723 0.684  -0.628 0.762  -0.531 0.864  -0.531 1.036  -0.387 1.064  -0.261 1.128  -0.145 1.194  0.007 1.242  0.179 1.242  0.351 1.242  0.429 1.148  0.586 1.091  0.691 0.980  0.716 0.819  0.846 0.729  0.860 0.563  0.908 0.439  0.908 0.267  0.908 0.095  0.908 -0.077  0.908 -0.249  0.877 -0.389  0.764 -0.448  0.677 -0.533  0.601 -0.629  0.525 -0.724  0.416 -0.797  0.333 -0.913  0.165 -0.917  -0.003 -0.921  -0.131 -0.965  -0.303 -0.965  -0.455 -0.917  -0.531 -0.821
2#tos#t3#t3014060/P  -0.422 0.995  -0.565 0.995  -0.562 0.769  -0.515 0.587  -0.505 0.360  -0.469 0.137  -0.469 -0.092  -0.469 -0.321  -0.469 -0.550  -0.469 -0.779  -0.422 -0.997  -0.422 -1.226  -0.454 -1.330  -0.625 -1.330  -0.455 -1.330  -0.232 -1.320  -0.055 -1.237  -0.083 -1.015  -0.125 -0.790  -0.167 -0.565  -0.210 -0.340  -0.252 -0.115  -0.294 0.110  -0.336 0.335  -0.378 0.560  -0.421 0.785  -0.463 1.010  -0.597 0.995  -0.398 1.065  -0.181 1.096  0.012 1.181  0.241 1.181  0.451 1.227  0.659 1.157  0.786 1.040  0.904 0.902  0.993 0.762  1.072 0.569  1.112 0.357  1.112 0.128  1.039 -0.028  0.926 -0.171  0.833 -0.307  0.697 -0.400  0.562 -0.523  0.400 -0.632  0.264 -0.725  0.036 -0.725  -0.193 -0.725  -0.422 -0.725
2#tos#t3#t3014060/Q  -0.171 -0.614  -0.242 -0.779  -0.396 -0.697  -0.549 -0.614  -0.666 -0.495  -0.816 -0.407  -0.914 -0.270  -0.997 -0.060  -1.038 0.159  -1.025 0.390  -0.949 0.596  -0.847 0.782  -0.737 0.914  -0.625 1.063  -0.460 1.169  -0.312 1.288  -0.130 1.400  0.080 1.451  0.275 1.409  0.448 1.346  0.614 1.275  0.696 1.097  0.708 0.873  0.820 0.724  0.820 0.488  0.819 0.253  0.706 0.129  0.696 -0.097  0.605 -0.242  0.510 -0.407  0.366 -0.572  0.242 -0.709  0.076 -0.779  -0.119 -0.820  -0.338 -0.862  -0.568 -0.820  -0.625 -0.642  -0.623 -0.490  -0.552 -0.325  -0.370 -0.235  -0.147 -0.201  0.044 -0.251  0.206 -0.372  0.369 -0.490  0.490 -0.606  0.553 -0.779  0.748 -0.820  0.943 -0.862  1.109 -0.792  1.274 -0.697
