3#apb#apb22#app2232/E  -0.265 1.272  -0.240 1.192  -0.260 0.930  -0.302 0.670  -0.351 0.411  -0.410 0.155  -0.473 -0.101  -0.543 -0.354  -0.620 -0.606  -0.699 -0.857  -0.779 -1.108  -0.834 -1.365  -0.783 -1.219  -0.714 -0.965  -0.646 -0.711  -0.577 -0.457  -0.509 -0.202  -0.440 0.052  -0.372 0.306  -0.303 0.560  -0.235 0.814  -0.056 0.863  0.207 0.864  0.468 0.894  0.729 0.927  0.989 0.967  1.246 1.026  1.508 1.047  1.337 0.918  1.118 0.772  0.898 0.626  0.679 0.481  0.460 0.335  0.241 0.190  0.021 0.044  -0.198 -0.102  -0.039 -0.059  0.201 0.050  0.447 0.141  0.698 0.221  0.562 0.027  0.403 -0.184  0.245 -0.394  0.087 -0.605  -0.072 -0.815  -0.230 -1.025  -0.388 -1.236  -0.548 -1.445  -0.451 -1.525  -0.209 -1.420
3#apb#apb22#app2232/r  -0.342 0.653  -0.485 0.531  -0.591 0.377  -0.685 0.216  -0.748 0.039  -0.805 -0.140  -0.857 -0.320  -0.928 -0.494  -1.003 -0.666  -1.096 -0.829  -1.201 -0.983  -1.203 -0.966  -1.099 -0.809  -0.992 -0.655  -0.883 -0.502  -0.771 -0.352  -0.653 -0.206  -0.536 -0.059  -0.413 0.083  -0.284 0.219  -0.155 0.355  -0.026 0.491  0.103 0.627  0.232 0.763  0.368 0.892  0.527 0.991  0.686 1.091  0.846 1.189  1.012 1.257  1.151 1.169  1.156 0.993  1.101 0.814  0.996 0.658  0.889 0.504  0.780 0.352  0.670 0.200  0.549 0.056  0.416 -0.073  0.247 -0.151  0.066 -0.198  -0.093 -0.159  -0.018 -0.194  0.086 -0.350  0.192 -0.505  0.298 -0.659  0.419 -0.802  0.556 -0.930  0.694 -1.057  0.841 -1.173  0.989 -1.289
3#apb#apb22#app2232/a  -1.368 -1.141  -1.374 -1.059  -1.289 -0.926  -1.202 -0.794  -1.093 -0.679  -0.985 -0.564  -0.876 -0.450  -0.776 -0.328  -0.676 -0.205  -0.576 -0.082  -0.476 0.040  -0.371 0.158  -0.262 0.272  -0.152 0.386  -0.043 0.500  0.067 0.614  0.181 0.723  0.296 0.832  0.410 0.941  0.527 1.047  0.650 1.147  0.772 1.247  0.893 1.348  0.994 1.354  1.010 1.197  0.968 1.045  0.925 0.892  0.874 0.743  0.818 0.595  0.761 0.448  0.707 0.299  0.654 0.150  0.600 0.002  0.540 -0.145  0.472 -0.287  0.405 -0.430  0.333 -0.571  0.259 -0.711  0.186 -0.851  0.115 -0.992  -0.008 -0.954  -0.128 -0.851  -0.248 -0.748  -0.368 -0.645  -0.488 -0.542  -0.608 -0.440  -0.498 -0.422  -0.341 -0.414  -0.185 -0.388  -0.029 -0.362
3#apb#apb22#app2232/t  0.906 1.619  0.823 1.514  0.754 1.376  0.687 1.237  0.628 1.094  0.570 0.951  0.511 0.808  0.444 0.668  0.377 0.529  0.310 0.390  0.243 0.250  0.193 0.104  0.143 -0.042  0.093 -0.188  0.042 -0.334  -0.010 -0.480  -0.063 -0.625  -0.117 -0.770  -0.171 -0.915  -0.220 -1.061  -0.267 -1.209  -0.314 -1.356  -0.349 -1.506  -0.387 -1.650  -0.428 -1.542  -0.443 -1.389  -0.459 -1.235  -0.474 -1.081  -0.490 -0.927  -0.505 -0.774  -0.521 -0.620  -0.537 -0.466  -0.552 -0.312  -0.568 -0.158  -0.583 -0.005  -0.599 0.149  -0.614 0.303  -0.630 0.457  -0.621 0.577  -0.477 0.526  -0.323 0.533  -0.168 0.540  -0.014 0.551  0.140 0.567  0.293 0.584  0.447 0.600  0.599 0.627  0.750 0.662  0.900 0.697  1.051 0.731
3#apb#apb22#app2232/i  0.741 1.528  0.712 1.465  0.682 1.402  0.653 1.340  0.623 1.277  0.594 1.214  0.564 1.151  0.535 1.089  0.505 1.026  0.475 0.963  0.446 0.900  0.416 0.838  0.387 0.775  0.357 0.712  0.327 0.650  0.297 0.587  0.267 0.525  0.237 0.462  0.207 0.400  0.177 0.337  0.148 0.275  0.118 0.212  0.088 0.150  0.058 0.087  0.028 0.024  -0.002 -0.038  -0.032 -0.101  -0.062 -0.163  -0.092 -0.225  -0.126 -0.286  -0.160 -0.347  -0.193 -0.407  -0.227 -0.468  -0.261 -0.529  -0.294 -0.589  -0.328 -0.650  -0.362 -0.710  -0.395 -0.771  -0.429 -0.832  -0.463 -0.892  -0.496 -0.953  -0.529 -1.014  -0.555 -1.078  -0.582 -1.142  -0.609 -1.206  -0.635 -1.270  -0.662 -1.334  -0.689 -1.398  -0.715 -1.462  -0.742 -1.526
3#apb#apb22#app2232/o  0.766 1.678  0.676 1.610  0.588 1.538  0.511 1.455  0.434 1.372  0.357 1.289  0.280 1.206  0.203 1.124  0.126 1.041  0.056 0.952  -0.004 0.856  -0.065 0.761  -0.125 0.665  -0.186 0.569  -0.246 0.473  -0.307 0.378  -0.367 0.282  -0.425 0.185  -0.481 0.086  -0.536 -0.013  -0.592 -0.111  -0.647 -0.210  -0.703 -0.309  -0.758 -0.407  -0.762 -0.520  -0.762 -0.633  -0.762 -0.746  -0.761 -0.859  -0.710 -0.960  -0.659 -1.062  -0.569 -1.107  -0.457 -1.121  -0.344 -1.135  -0.251 -1.083  -0.162 -1.012  -0.074 -0.941  0.015 -0.871  0.103 -0.800  0.193 -0.731  0.283 -0.662  0.373 -0.593  0.462 -0.524  0.552 -0.455  0.631 -0.376  0.694 -0.282  0.757 -0.188  0.819 -0.093  0.882 0.001  0.945 0.095  1.008 0.189
3#apb#apb22#app2232/n  -0.255 1.305  -0.205 1.204  -0.235 1.051  -0.275 0.901  -0.329 0.755  -0.384 0.610  -0.447 0.468  -0.522 0.331  -0.597 0.195  -0.672 0.059  -0.742 -0.080  -0.806 -0.222  -0.869 -0.364  -0.933 -0.506  -0.996 -0.649  -1.057 -0.792  -1.118 -0.935  -1.137 -1.089  -1.063 -1.157  -0.935 -1.068  -0.810 -0.976  -0.700 -0.866  -0.589 -0.756  -0.479 -0.646  -0.372 -0.534  -0.266 -0.420  -0.160 -0.306  -0.054 -0.191  0.045 -0.071  0.144 0.049  0.243 0.169  0.349 0.281  0.475 0.373  0.600 0.465  0.725 0.558  0.851 0.649  0.981 0.735  1.114 0.816  1.236 0.848  1.231 0.699  1.175 0.554  1.118 0.409  1.053 0.268  0.988 0.126  0.922 -0.015  0.857 -0.156  0.791 -0.297  0.743 -0.444  0.703 -0.595  0.663 -0.745
3#apb#apb22#app2232/s  0.771 1.268  0.861 1.358  0.857 1.401  0.755 1.327  0.654 1.251  0.545 1.185  0.436 1.121  0.327 1.057  0.218 0.993  0.111 0.926  0.003 0.859  -0.104 0.792  -0.211 0.724  -0.314 0.651  -0.417 0.577  -0.520 0.504  -0.614 0.420  -0.704 0.331  -0.793 0.241  -0.873 0.144  -0.951 0.044  -0.992 -0.069  -0.895 -0.135  -0.769 -0.127  -0.643 -0.117  -0.517 -0.108  -0.391 -0.101  -0.264 -0.094  -0.138 -0.087  -0.012 -0.094  0.115 -0.102  0.241 -0.110  0.357 -0.157  0.472 -0.210  0.587 -0.263  0.646 -0.373  0.690 -0.488  0.659 -0.611  0.598 -0.715  0.504 -0.800  0.411 -0.885  0.318 -0.971  0.225 -1.057  0.133 -1.144  0.040 -1.230  -0.059 -1.307  -0.171 -1.366  -0.283 -1.425  -0.395 -1.484  -0.507 -1.543
3#apb#apb22#app2232/D  -0.067 1.363  -0.137 1.280  -0.159 1.135  -0.172 0.989  -0.184 0.844  -0.204 0.699  -0.234 0.556  -0.264 0.413  -0.295 0.270  -0.324 0.126  -0.354 -0.017  -0.383 -0.160  -0.412 -0.303  -0.452 -0.444  -0.496 -0.583  -0.541 -0.723  -0.587 -0.861  -0.639 -0.998  -0.690 -1.135  -0.742 -1.272  -0.795 -1.409  -0.821 -1.395  -0.768 -1.261  -0.685 -1.142  -0.587 -1.033  -0.480 -0.934  -0.370 -0.837  -0.258 -0.743  -0.141 -0.656  -0.024 -0.568  0.092 -0.479  0.205 -0.386  0.318 -0.293  0.431 -0.201  0.541 -0.104  0.645 -0.001  0.748 0.103  0.852 0.206  0.940 0.323  1.026 0.441  1.064 0.581  1.089 0.722  1.014 0.848  0.893 0.925  0.763 0.992  0.618 1.008  0.473 1.024  0.327 1.040  0.183 1.045  0.042 1.007
3#apb#apb22#app2232/i  0.635 1.574  0.616 1.507  0.597 1.441  0.577 1.374  0.550 1.311  0.522 1.247  0.495 1.183  0.468 1.119  0.440 1.056  0.413 0.992  0.386 0.928  0.359 0.864  0.332 0.800  0.305 0.736  0.278 0.673  0.251 0.609  0.224 0.545  0.197 0.481  0.170 0.417  0.143 0.353  0.116 0.289  0.089 0.225  0.063 0.161  0.036 0.097  0.010 0.033  -0.017 -0.031  -0.043 -0.095  -0.070 -0.159  -0.096 -0.223  -0.123 -0.287  -0.149 -0.351  -0.176 -0.415  -0.202 -0.479  -0.229 -0.543  -0.257 -0.607  -0.285 -0.670  -0.312 -0.734  -0.340 -0.798  -0.368 -0.861  -0.395 -0.925  -0.423 -0.988  -0.451 -1.052  -0.478 -1.116  -0.500 -1.181  -0.517 -1.248  -0.534 -1.316  -0.551 -1.383  -0.567 -1.450  -0.584 -1.517  -0.601 -1.585
3#apb#apb22#app2232/r  -0.388 0.598  -0.262 0.529  -0.262 0.339  -0.318 0.157  -0.379 -0.024  -0.471 -0.190  -0.569 -0.354  -0.668 -0.517  -0.769 -0.678  -0.878 -0.834  -1.013 -0.969  -1.147 -1.104  -1.171 -1.054  -1.111 -0.874  -1.011 -0.712  -0.910 -0.549  -0.804 -0.391  -0.689 -0.239  -0.573 -0.087  -0.458 0.064  -0.334 0.209  -0.208 0.353  -0.083 0.497  0.048 0.635  0.183 0.770  0.317 0.905  0.463 1.025  0.632 1.113  0.801 1.202  0.985 1.247  1.163 1.235  1.284 1.106  1.268 0.916  1.172 0.755  1.064 0.598  0.952 0.444  0.837 0.291  0.705 0.156  0.557 0.036  0.401 -0.072  0.226 -0.147  0.042 -0.162  -0.133 -0.194  -0.067 -0.370  0.021 -0.538  0.115 -0.705  0.199 -0.876  0.280 -1.048  0.408 -1.185  0.554 -1.307
3#apb#apb22#app2232/e  -0.255 0.519  -0.275 0.287  -0.337 0.064  -0.411 -0.156  -0.497 -0.372  -0.584 -0.588  -0.700 -0.787  -0.840 -0.973  -0.962 -1.171  -1.114 -1.327  -1.027 -1.111  -0.941 -0.895  -0.854 -0.679  -0.768 -0.463  -0.682 -0.247  -0.595 -0.031  -0.509 0.185  -0.423 0.401  -0.336 0.617  -0.232 0.776  -0.007 0.832  0.219 0.885  0.442 0.951  0.666 1.016  0.891 1.064  1.123 1.054  1.356 1.044  1.310 0.965  1.109 0.849  0.908 0.732  0.706 0.615  0.505 0.499  0.304 0.382  0.121 0.284  0.348 0.323  0.572 0.387  0.804 0.389  1.037 0.389  0.878 0.247  0.699 0.098  0.521 -0.051  0.342 -0.200  0.163 -0.349  -0.015 -0.497  -0.194 -0.646  -0.373 -0.795  -0.551 -0.945  -0.699 -1.109  -0.536 -1.208  -0.308 -1.254
3#apb#apb22#app2232/c  0.465 0.873  0.369 0.825  0.282 0.763  0.323 0.747  0.430 0.756  0.537 0.765  0.644 0.775  0.751 0.784  0.858 0.793  0.810 0.863  0.836 0.944  0.814 1.047  0.727 1.029  0.637 0.973  0.542 0.924  0.457 0.858  0.372 0.792  0.286 0.728  0.196 0.671  0.105 0.613  0.014 0.555  -0.075 0.496  -0.164 0.436  -0.254 0.377  -0.343 0.317  -0.420 0.244  -0.485 0.159  -0.550 0.074  -0.616 -0.011  -0.668 -0.104  -0.706 -0.204  -0.743 -0.305  -0.781 -0.405  -0.804 -0.507  -0.781 -0.612  -0.759 -0.717  -0.736 -0.822  -0.672 -0.902  -0.591 -0.973  -0.509 -1.043  -0.428 -1.113  -0.347 -1.183  -0.247 -1.213  -0.141 -1.234  -0.036 -1.254  0.070 -1.275  0.175 -1.295  0.281 -1.315  0.386 -1.336  0.491 -1.356
3#apb#apb22#app2232/t  0.754 1.531  0.688 1.387  0.622 1.243  0.559 1.098  0.496 0.953  0.436 0.806  0.382 0.658  0.327 0.509  0.273 0.361  0.226 0.210  0.183 0.058  0.140 -0.095  0.098 -0.247  0.056 -0.400  0.014 -0.552  -0.028 -0.705  -0.069 -0.857  -0.116 -1.009  -0.164 -1.159  -0.212 -1.310  -0.257 -1.462  -0.301 -1.614  -0.359 -1.665  -0.378 -1.508  -0.397 -1.351  -0.417 -1.194  -0.436 -1.037  -0.455 -0.880  -0.474 -0.723  -0.494 -0.566  -0.513 -0.409  -0.532 -0.251  -0.552 -0.094  -0.571 0.063  -0.590 0.220  -0.610 0.377  -0.629 0.534  -0.648 0.691  -0.540 0.734  -0.382 0.730  -0.224 0.716  -0.067 0.701  0.091 0.694  0.250 0.689  0.408 0.684  0.566 0.679  0.724 0.683  0.882 0.688  1.040 0.693  1.198 0.697
3#apb#apb22#app2232/o  -0.392 0.842  -0.482 0.782  -0.568 0.719  -0.649 0.650  -0.720 0.572  -0.765 0.475  -0.810 0.378  -0.855 0.281  -0.898 0.183  -0.941 0.085  -0.984 -0.014  -1.024 -0.112  -1.031 -0.219  -1.037 -0.326  -1.044 -0.433  -1.023 -0.533  -0.967 -0.623  -0.897 -0.699  -0.798 -0.739  -0.699 -0.779  -0.599 -0.818  -0.498 -0.813  -0.396 -0.780  -0.294 -0.748  -0.192 -0.715  -0.090 -0.683  0.008 -0.641  0.099 -0.585  0.190 -0.528  0.281 -0.472  0.372 -0.416  0.463 -0.359  0.545 -0.291  0.624 -0.220  0.704 -0.148  0.784 -0.077  0.864 -0.006  0.943 0.066  1.001 0.156  1.059 0.246  1.117 0.336  1.165 0.430  1.183 0.536  1.200 0.641  1.189 0.743  1.145 0.841  1.087 0.920  0.982 0.942  0.877 0.965  0.773 0.987
3#apb#apb22#app2232/r  -0.418 0.326  -0.513 0.294  -0.568 0.129  -0.643 -0.027  -0.711 -0.187  -0.786 -0.343  -0.872 -0.494  -0.956 -0.646  -1.039 -0.800  -1.117 -0.955  -1.180 -1.116  -1.147 -1.074  -1.062 -0.923  -0.965 -0.778  -0.865 -0.636  -0.758 -0.499  -0.652 -0.362  -0.552 -0.219  -0.455 -0.076  -0.357 0.068  -0.252 0.207  -0.138 0.338  -0.024 0.469  0.090 0.600  0.210 0.726  0.330 0.852  0.450 0.978  0.595 1.070  0.749 1.151  0.909 1.216  1.071 1.245  1.158 1.112  1.166 0.942  1.114 0.777  1.041 0.622  0.935 0.484  0.816 0.358  0.687 0.241  0.556 0.127  0.394 0.074  0.221 0.092  0.092 0.024  0.143 -0.142  0.204 -0.305  0.274 -0.464  0.361 -0.613  0.461 -0.755  0.562 -0.897  0.667 -1.036  0.771 -1.175
3#apb#apb22#app2232/T  0.327 0.830  0.285 0.799  0.285 0.647  0.270 0.496  0.250 0.345  0.220 0.196  0.187 0.048  0.149 -0.099  0.110 -0.246  0.061 -0.390  0.010 -0.533  -0.041 -0.676  -0.096 -0.818  -0.150 -0.960  -0.211 -1.099  -0.276 -1.236  -0.343 -1.373  -0.397 -1.512  -0.287 -1.471  -0.294 -1.341  -0.341 -1.197  -0.388 -1.052  -0.435 -0.908  -0.482 -0.763  -0.529 -0.619  -0.576 -0.474  -0.623 -0.330  -0.670 -0.185  -0.717 -0.041  -0.764 0.104  -0.811 0.248  -0.931 0.330  -0.827 0.418  -0.695 0.494  -0.563 0.569  -0.424 0.629  -0.279 0.675  -0.134 0.720  0.013 0.757  0.163 0.780  0.313 0.804  0.464 0.828  0.615 0.834  0.767 0.839  0.919 0.843  1.071 0.837  1.222 0.826  1.374 0.816  1.526 0.809  1.678 0.802
3#apb#apb22#app2232/r  -0.241 1.084  -0.320 0.914  -0.389 0.724  -0.447 0.530  -0.499 0.334  -0.558 0.140  -0.624 -0.052  -0.691 -0.243  -0.763 -0.432  -0.837 -0.621  -0.911 -0.810  -0.982 -1.000  -1.059 -1.187  -1.076 -1.213  -0.998 -1.026  -0.895 -0.852  -0.787 -0.680  -0.671 -0.515  -0.552 -0.350  -0.431 -0.188  -0.306 -0.028  -0.181 0.131  -0.054 0.289  0.079 0.442  0.212 0.595  0.345 0.748  0.505 0.872  0.666 0.995  0.830 1.114  1.017 1.191  1.206 1.256  1.276 1.127  1.232 0.930  1.153 0.743  1.074 0.557  0.926 0.419  0.778 0.280  0.630 0.142  0.482 0.004  0.320 -0.117  0.147 -0.223  -0.049 -0.269  -0.251 -0.276  -0.225 -0.431  -0.109 -0.597  0.045 -0.727  0.207 -0.849  0.393 -0.918  0.592 -0.959  0.790 -1.000
3#apb#apb22#app2232/e  -0.413 -0.567  -0.325 -0.486  -0.219 -0.415  -0.102 -0.365  0.017 -0.318  0.136 -0.270  0.241 -0.198  0.347 -0.126  0.452 -0.054  0.558 0.019  0.661 0.093  0.765 0.168  0.869 0.243  0.972 0.318  1.056 0.414  1.137 0.513  1.211 0.615  1.239 0.739  1.208 0.847  1.117 0.937  0.993 0.911  0.868 0.884  0.743 0.856  0.621 0.818  0.501 0.777  0.380 0.735  0.259 0.693  0.138 0.651  0.031 0.584  -0.073 0.509  -0.177 0.434  -0.281 0.359  -0.384 0.285  -0.484 0.205  -0.572 0.112  -0.660 0.020  -0.748 -0.073  -0.836 -0.165  -0.920 -0.261  -0.968 -0.379  -1.015 -0.498  -1.062 -0.617  -1.092 -0.737  -1.069 -0.863  -1.047 -0.989  -1.011 -1.107  -0.913 -1.189  -0.815 -1.271  -0.716 -1.353  -0.618 -1.435
