2#tos#f1#f1017062/\"  -0.800 1.148  -0.937 1.118  -0.937 0.952  -0.937 0.786  -0.937 0.620  -0.937 0.453  -0.937 0.287  -0.937 0.121  -0.937 -0.046  -0.937 -0.212  -0.937 -0.378  -0.937 -0.545  -0.937 -0.711  -0.937 -0.877  -0.831 -0.800  -0.710 -0.687  -0.588 -0.573  -0.467 -0.460  -0.345 -0.346  -0.223 -0.233  -0.102 -0.120  0.020 -0.006  0.141 0.107  0.263 0.221  0.384 0.334  0.506 0.448  0.628 0.561  0.749 0.675  0.871 0.788  0.992 0.902  1.105 1.012  0.974 0.977  0.974 0.811  0.974 0.644  0.974 0.478  0.820 0.466  0.701 0.418  0.646 0.275  0.552 0.144  0.512 -0.017  0.471 -0.179  0.431 -0.340  0.320 -0.461  0.291 -0.616  0.291 -0.782  0.291 -0.948  0.291 -1.115  0.291 -1.281  0.354 -1.433  0.428 -1.581
2#tos#f1#f1017062/2  -0.203 1.121  -0.326 1.069  -0.446 1.017  -0.561 0.948  -0.686 0.914  -0.775 0.960  -0.671 0.991  -0.563 1.017  -0.450 1.069  -0.325 1.112  -0.193 1.121  -0.058 1.121  0.076 1.121  0.211 1.121  0.329 1.095  0.411 0.996  0.501 0.906  0.523 0.777  0.523 0.642  0.523 0.507  0.471 0.394  0.392 0.288  0.332 0.167  0.290 0.044  0.215 -0.068  0.190 -0.188  0.070 -0.248  -0.039 -0.324  -0.122 -0.428  -0.182 -0.549  -0.290 -0.592  -0.372 -0.689  -0.423 -0.800  -0.534 -0.838  -0.628 -0.904  -0.711 -0.956  -0.621 -1.007  -0.487 -1.007  -0.352 -1.007  -0.218 -1.007  -0.083 -1.007  0.052 -1.007  0.186 -1.007  0.321 -1.007  0.455 -1.007  0.590 -1.007  0.725 -1.007  0.857 -0.997  0.981 -0.956  1.094 -0.904
2#tos#f1#f1017062/3  -0.666 1.057  -0.803 1.057  -0.773 0.962  -0.645 0.983  -0.540 1.057  -0.423 1.105  -0.289 1.132  -0.154 1.152  -0.018 1.152  0.119 1.152  0.255 1.152  0.392 1.152  0.528 1.152  0.569 1.056  0.616 0.939  0.616 0.803  0.583 0.672  0.508 0.587  0.450 0.469  0.341 0.387  0.284 0.278  0.189 0.201  0.189 0.064  0.105 0.012  -0.032 0.012  -0.148 -0.055  -0.191 -0.168  -0.317 -0.178  -0.334 -0.203  -0.219 -0.226  -0.083 -0.226  0.054 -0.226  0.176 -0.260  0.236 -0.372  0.319 -0.457  0.379 -0.566  0.379 -0.703  0.379 -0.839  0.379 -0.976  0.290 -1.075  0.236 -1.162  0.166 -1.247  0.067 -1.326  -0.045 -1.366  -0.181 -1.366  -0.318 -1.366  -0.454 -1.366  -0.591 -1.366  -0.722 -1.332  -0.856 -1.318
2#tos#f1#f1017062/4  -0.311 1.657  -0.179 1.698  -0.261 1.613  -0.267 1.447  -0.328 1.288  -0.415 1.141  -0.504 0.994  -0.619 0.866  -0.663 0.711  -0.770 0.583  -0.863 0.442  -0.943 0.291  -1.014 0.137  -1.030 -0.029  -1.102 -0.171  -1.102 -0.344  -1.012 -0.452  -0.927 -0.540  -0.755 -0.540  -0.582 -0.540  -0.410 -0.540  -0.239 -0.517  -0.069 -0.496  0.101 -0.476  0.264 -0.422  0.435 -0.408  0.608 -0.408  0.780 -0.408  0.953 -0.408  1.125 -0.408  1.052 -0.275  0.958 -0.130  0.864 0.014  0.770 0.159  0.676 0.304  0.582 0.449  0.509 0.558  0.424 0.471  0.392 0.330  0.348 0.168  0.348 -0.005  0.348 -0.177  0.348 -0.350  0.348 -0.522  0.348 -0.695  0.348 -0.868  0.348 -1.040  0.348 -1.213  0.348 -1.386  0.392 -1.551
2#tos#f1#f1017062/5  -0.011 1.222  -0.214 1.222  -0.330 1.222  -0.397 1.072  -0.494 0.908  -0.559 0.715  -0.579 0.516  -0.579 0.313  -0.579 0.109  -0.579 -0.094  -0.460 -0.178  -0.267 -0.221  -0.064 -0.221  0.111 -0.273  0.272 -0.352  0.435 -0.449  0.514 -0.593  0.514 -0.797  0.470 -0.981  0.469 -1.184  0.302 -1.282  0.244 -1.469  0.162 -1.621  0.033 -1.727  -0.056 -1.748  -0.062 -1.545  -0.069 -1.342  -0.075 -1.139  -0.081 -0.936  -0.087 -0.733  -0.094 -0.530  -0.100 -0.327  -0.106 -0.124  -0.112 0.079  -0.119 0.282  -0.125 0.485  -0.131 0.688  -0.137 0.891  -0.189 1.037  -0.385 0.991  -0.536 0.880  -0.341 0.872  -0.139 0.870  0.038 0.784  0.242 0.784  0.445 0.784  0.648 0.784  0.851 0.784  1.054 0.784  1.257 0.784
2#tos#f1#f1017062/8  0.267 -0.068  0.150 -0.173  -0.072 -0.173  -0.289 -0.144  -0.495 -0.068  -0.612 0.036  -0.723 0.189  -0.829 0.367  -0.829 0.589  -0.829 0.810  -0.715 0.985  -0.568 1.146  -0.459 1.309  -0.312 1.445  -0.090 1.445  0.132 1.445  0.353 1.445  0.531 1.338  0.664 1.162  0.789 1.020  0.789 0.799  0.765 0.587  0.577 0.506  0.400 0.393  0.241 0.272  0.086 0.154  -0.110 0.084  -0.255 -0.033  -0.412 -0.098  -0.464 -0.268  -0.540 -0.458  -0.568 -0.668  -0.568 -0.890  -0.545 -1.106  -0.417 -1.257  -0.255 -1.382  -0.076 -1.425  0.145 -1.425  0.367 -1.425  0.476 -1.251  0.558 -1.112  0.684 -1.017  0.737 -0.807  0.737 -0.586  0.684 -0.416  0.603 -0.268  0.388 -0.225  0.167 -0.225  -0.055 -0.225  -0.203 -0.329
2#tos#f1#f1017062/C  0.967 0.986  0.938 0.902  0.855 0.847  0.773 0.792  0.673 0.792  0.574 0.792  0.514 0.832  0.444 0.880  0.350 0.912  0.252 0.921  0.152 0.921  0.053 0.921  -0.046 0.921  -0.146 0.921  -0.245 0.921  -0.344 0.921  -0.428 0.884  -0.498 0.814  -0.585 0.788  -0.585 0.689  -0.585 0.589  -0.604 0.495  -0.648 0.406  -0.649 0.307  -0.649 0.207  -0.649 0.108  -0.649 0.009  -0.649 -0.091  -0.595 -0.167  -0.525 -0.238  -0.455 -0.308  -0.400 -0.391  -0.344 -0.473  -0.326 -0.567  -0.326 -0.666  -0.267 -0.734  -0.184 -0.789  -0.102 -0.844  -0.019 -0.899  0.063 -0.955  0.107 -1.044  0.180 -1.100  0.274 -1.132  0.361 -1.178  0.440 -1.237  0.520 -1.297  0.604 -1.341  0.704 -1.341  0.803 -1.341  0.902 -1.341
2#tos#f1#f1017062/D  -0.039 0.851  -0.256 0.851  -0.292 1.032  -0.394 0.960  -0.495 0.785  -0.495 0.568  -0.495 0.351  -0.495 0.134  -0.495 -0.083  -0.539 -0.293  -0.546 -0.509  -0.546 -0.727  -0.546 -0.944  -0.546 -1.161  -0.498 -1.330  -0.343 -1.431  -0.338 -1.214  -0.332 -0.997  -0.327 -0.780  -0.321 -0.563  -0.316 -0.345  -0.311 -0.128  -0.305 0.089  -0.300 0.306  -0.294 0.523  -0.428 0.643  -0.636 0.695  -0.610 0.889  -0.452 0.989  -0.244 1.003  -0.027 1.003  0.190 1.003  0.408 1.003  0.624 0.992  0.828 0.940  0.943 0.787  1.127 0.721  1.173 0.511  1.210 0.300  1.229 0.086  1.133 -0.083  0.979 -0.233  0.841 -0.399  0.708 -0.570  0.550 -0.717  0.389 -0.861  0.254 -1.028  0.049 -1.090  -0.130 -1.200  -0.242 -1.330
2#tos#f1#f1017062/F  -0.245 0.951  -0.385 0.852  -0.444 0.671  -0.462 0.434  -0.494 0.198  -0.494 -0.042  -0.494 -0.281  -0.494 -0.521  -0.494 -0.760  -0.494 -1.000  -0.494 -1.240  -0.494 -1.479  -0.444 -1.711  -0.295 -1.808  -0.300 -1.568  -0.304 -1.328  -0.308 -1.089  -0.313 -0.849  -0.317 -0.610  -0.321 -0.370  -0.325 -0.130  -0.330 0.109  -0.334 0.349  -0.338 0.588  -0.343 0.828  -0.461 0.951  -0.387 1.051  -0.197 1.101  0.042 1.101  0.282 1.101  0.521 1.101  0.755 1.066  0.981 0.986  1.212 0.951  1.367 0.814  1.248 0.673  1.036 0.561  0.824 0.449  0.612 0.337  0.400 0.225  0.188 0.113  -0.023 0.002  -0.235 -0.110  -0.395 -0.254  -0.245 -0.344  -0.005 -0.344  0.235 -0.344  0.433 -0.443  0.673 -0.443  0.900 -0.493
2#tos#f1#f1017062/G  0.104 1.606  -0.089 1.606  -0.215 1.539  -0.247 1.378  -0.351 1.255  -0.482 1.163  -0.614 1.024  -0.750 0.900  -0.869 0.752  -0.942 0.576  -0.984 0.391  -1.079 0.236  -1.079 0.044  -1.056 -0.145  -1.024 -0.333  -0.963 -0.515  -0.852 -0.648  -0.774 -0.785  -0.591 -0.846  -0.400 -0.850  -0.207 -0.850  -0.014 -0.850  0.168 -0.805  0.352 -0.784  0.362 -0.643  0.238 -0.495  0.114 -0.348  -0.010 -0.201  -0.134 -0.053  -0.258 0.094  -0.324 0.111  -0.137 0.157  0.052 0.194  0.245 0.196  0.437 0.196  0.630 0.196  0.822 0.196  0.996 0.150  1.184 0.123  1.112 0.141  0.927 0.194  0.780 0.150  0.740 -0.002  0.740 -0.195  0.740 -0.388  0.740 -0.580  0.740 -0.773  0.740 -0.966  0.740 -1.158  0.740 -1.351
2#tos#f1#f1017062/H  -0.738 1.006  -0.821 0.924  -0.943 0.881  -0.943 0.715  -0.943 0.550  -0.943 0.384  -0.943 0.219  -0.943 0.053  -0.943 -0.112  -0.943 -0.278  -0.943 -0.443  -0.943 -0.609  -0.943 -0.774  -0.943 -0.940  -0.919 -0.909  -0.879 -0.748  -0.839 -0.587  -0.799 -0.427  -0.758 -0.266  -0.819 -0.184  -0.779 -0.143  -0.613 -0.143  -0.448 -0.143  -0.287 -0.116  -0.124 -0.102  0.042 -0.102  0.207 -0.102  0.373 -0.102  0.538 -0.102  0.704 -0.102  0.808 -0.018  0.859 0.140  0.909 0.297  0.959 0.455  1.010 0.612  1.060 0.770  1.106 0.924  0.945 0.920  0.912 0.768  0.863 0.623  0.863 0.457  0.863 0.292  0.863 0.126  0.863 -0.039  0.863 -0.205  0.863 -0.370  0.863 -0.536  0.863 -0.701  0.911 -0.847  1.028 -0.964
2#tos#f1#f1017062/J  -0.195 1.081  -0.221 1.160  -0.153 1.119  -0.057 1.081  0.042 1.076  0.113 1.041  0.218 1.041  0.323 1.041  0.428 1.041  0.533 1.041  0.638 1.041  0.614 1.015  0.517 0.974  0.421 0.932  0.397 0.923  0.292 0.923  0.280 0.830  0.280 0.725  0.280 0.621  0.308 0.520  0.319 0.417  0.319 0.312  0.319 0.207  0.319 0.102  0.319 -0.002  0.319 -0.107  0.319 -0.212  0.319 -0.317  0.319 -0.422  0.319 -0.527  0.314 -0.631  0.280 -0.727  0.256 -0.827  0.209 -0.920  0.129 -0.985  0.038 -1.038  -0.056 -1.085  -0.158 -1.095  -0.263 -1.095  -0.368 -1.095  -0.473 -1.095  -0.578 -1.095  -0.678 -1.066  -0.781 -1.055  -0.869 -1.015  -0.943 -0.940  -1.017 -0.866  -1.082 -0.785  -1.105 -0.686  -1.105 -0.581
2#tos#f1#f1017062/K  -0.495 1.128  -0.495 1.352  -0.495 1.292  -0.546 1.077  -0.598 0.865  -0.642 0.646  -0.695 0.429  -0.749 0.212  -0.749 -0.012  -0.749 -0.236  -0.749 -0.459  -0.749 -0.683  -0.749 -0.906  -0.749 -1.130  -0.749 -1.354  -0.675 -1.488  -0.536 -1.312  -0.398 -1.136  -0.260 -0.961  -0.121 -0.785  0.017 -0.609  0.155 -0.433  0.294 -0.258  0.432 -0.082  0.570 0.094  0.709 0.269  0.847 0.445  0.985 0.621  1.124 0.796  1.185 0.999  1.040 1.078  0.823 1.066  0.676 0.908  0.496 0.820  0.313 0.715  0.144 0.570  -0.060 0.503  -0.189 0.348  -0.348 0.212  -0.534 0.122  -0.534 -0.048  -0.334 -0.147  -0.139 -0.245  0.010 -0.396  0.223 -0.454  0.428 -0.500  0.605 -0.618  0.809 -0.704  1.020 -0.755  1.185 -0.856
2#tos#f1#f1017062/R  0.441 1.363  0.193 1.442  -0.018 1.371  -0.076 1.156  -0.156 0.906  -0.186 0.646  -0.275 0.399  -0.329 0.142  -0.373 -0.118  -0.386 -0.381  -0.478 -0.623  -0.478 -0.887  -0.502 -1.146  -0.524 -1.406  -0.522 -1.581  -0.509 -1.317  -0.496 -1.054  -0.482 -0.791  -0.469 -0.527  -0.456 -0.264  -0.443 -0.001  -0.430 0.263  -0.417 0.526  -0.403 0.789  -0.390 1.053  -0.295 1.225  -0.032 1.225  0.232 1.225  0.472 1.149  0.672 0.996  0.855 0.880  0.855 0.616  0.734 0.406  0.627 0.171  0.414 0.070  0.215 -0.094  0.012 -0.262  -0.207 -0.401  -0.455 -0.476  -0.708 -0.465  -0.591 -0.292  -0.327 -0.292  -0.094 -0.370  0.132 -0.434  0.373 -0.537  0.610 -0.644  0.809 -0.786  1.035 -0.910  1.281 -0.982  1.545 -0.982
2#tos#f1#f1017062/T  -1.252 0.736  -1.211 0.647  -1.081 0.647  -0.952 0.647  -0.822 0.647  -0.693 0.647  -0.563 0.647  -0.437 0.621  -0.312 0.586  -0.187 0.559  -0.057 0.559  0.072 0.559  0.202 0.559  0.331 0.559  0.461 0.559  0.590 0.559  0.720 0.559  0.849 0.559  0.979 0.559  0.999 0.562  0.870 0.568  0.741 0.575  0.611 0.582  0.482 0.589  0.353 0.596  0.223 0.603  0.094 0.603  -0.036 0.603  -0.143 0.581  -0.143 0.451  -0.143 0.322  -0.143 0.192  -0.112 0.068  -0.099 -0.060  -0.073 -0.185  -0.055 -0.312  -0.055 -0.441  -0.055 -0.571  -0.055 -0.700  -0.055 -0.830  -0.055 -0.959  -0.055 -1.089  -0.055 -1.218  -0.015 -1.339  -0.010 -1.467  -0.010 -1.597  -0.010 -1.726  0.067 -1.824  0.129 -1.937  0.167 -2.057
2#tos#f1#f1017062/U  -0.175 1.191  -0.296 1.191  -0.398 1.148  -0.500 1.105  -0.604 1.065  -0.639 0.954  -0.693 0.846  -0.778 0.761  -0.779 0.642  -0.779 0.521  -0.779 0.401  -0.779 0.281  -0.779 0.161  -0.779 0.041  -0.779 -0.079  -0.779 -0.199  -0.747 -0.306  -0.662 -0.391  -0.650 -0.506  -0.627 -0.624  -0.587 -0.735  -0.520 -0.835  -0.457 -0.934  -0.357 -1.001  -0.244 -1.042  -0.125 -1.050  -0.005 -1.050  0.115 -1.050  0.235 -1.050  0.346 -1.038  0.384 -0.924  0.476 -0.848  0.570 -0.773  0.600 -0.667  0.641 -0.559  0.694 -0.453  0.717 -0.336  0.730 -0.217  0.730 -0.097  0.739 0.022  0.768 0.139  0.773 0.259  0.773 0.379  0.773 0.499  0.825 0.597  0.902 0.686  0.902 0.806  0.902 0.926  0.883 1.038  0.816 1.105
2#tos#f1#f1017062/V  -0.395 0.998  -0.520 0.998  -0.639 1.004  -0.720 1.048  -0.773 1.120  -0.801 1.024  -0.801 0.899  -0.745 0.791  -0.720 0.674  -0.720 0.549  -0.720 0.424  -0.693 0.308  -0.639 0.199  -0.639 0.074  -0.621 -0.048  -0.598 -0.170  -0.598 -0.295  -0.537 -0.403  -0.476 -0.511  -0.476 -0.636  -0.424 -0.745  -0.395 -0.861  -0.313 -0.952  -0.252 -1.057  -0.187 -1.160  -0.117 -1.235  -0.002 -1.276  0.063 -1.187  0.167 -1.118  0.226 -1.009  0.255 -0.891  0.260 -0.767  0.290 -0.645  0.389 -0.579  0.476 -0.500  0.522 -0.384  0.568 -0.268  0.615 -0.152  0.620 -0.029  0.643 0.087  0.731 0.175  0.814 0.268  0.889 0.368  0.904 0.488  0.932 0.606  0.968 0.725  0.996 0.847  1.020 0.969  1.067 1.076  1.107 1.161
2#tos#f1#f1017062/Y  -0.986 1.147  -1.070 1.074  -1.070 0.918  -0.999 0.797  -0.944 0.675  -0.918 0.523  -0.801 0.442  -0.681 0.350  -0.558 0.282  -0.469 0.154  -0.354 0.089  -0.285 -0.042  -0.177 -0.111  -0.038 -0.048  0.097 0.030  0.232 0.109  0.367 0.187  0.502 0.266  0.638 0.344  0.773 0.423  0.908 0.501  1.043 0.580  1.169 0.668  1.237 0.804  1.088 0.811  0.937 0.781  0.817 0.685  0.683 0.613  0.535 0.563  0.432 0.451  0.348 0.350  0.200 0.326  0.078 0.228  -0.016 0.122  -0.156 0.056  -0.231 -0.057  -0.291 -0.153  -0.281 -0.272  -0.231 -0.383  -0.227 -0.538  -0.189 -0.686  -0.147 -0.832  -0.147 -0.988  -0.147 -1.144  -0.147 -1.301  -0.147 -1.457  -0.147 -1.613  -0.105 -1.763  -0.102 -1.918  -0.021 -2.041
2#tos#f1#f1017062/Z  0.013 1.177  -0.117 1.177  -0.239 1.142  -0.360 1.095  -0.478 1.085  -0.577 1.054  -0.495 1.054  -0.366 1.054  -0.237 1.054  -0.107 1.054  0.017 1.026  0.142 0.991  0.269 0.973  0.381 0.931  0.494 0.891  0.612 0.864  0.667 0.750  0.667 0.621  0.587 0.524  0.500 0.480  0.389 0.413  0.288 0.337  0.214 0.234  0.106 0.162  0.025 0.086  -0.095 0.038  -0.190 -0.048  -0.281 -0.140  -0.373 -0.231  -0.429 -0.340  -0.507 -0.443  -0.560 -0.559  -0.560 -0.688  -0.656 -0.746  -0.683 -0.848  -0.683 -0.977  -0.649 -1.073  -0.520 -1.073  -0.390 -1.073  -0.261 -1.073  -0.132 -1.073  -0.002 -1.073  0.125 -1.095  0.252 -1.114  0.382 -1.114  0.511 -1.114  0.640 -1.114  0.770 -1.114  0.899 -1.114  0.995 -1.032
