3#apb#apb32#app3207/A  -0.190 1.130  -0.209 1.133  -0.285 0.876  -0.371 0.623  -0.460 0.370  -0.553 0.119  -0.639 -0.135  -0.715 -0.392  -0.767 -0.654  -0.813 -0.918  -0.846 -1.183  -0.846 -1.440  -0.826 -1.173  -0.773 -0.911  -0.705 -0.652  -0.630 -0.394  -0.571 -0.133  -0.506 0.126  -0.396 0.370  -0.283 0.613  -0.158 0.850  -0.025 1.082  0.122 1.306  0.301 1.505  0.513 1.484  0.679 1.284  0.764 1.030  0.793 0.767  0.793 0.499  0.793 0.231  0.793 -0.037  0.789 -0.304  0.751 -0.570  0.723 -0.836  0.721 -1.103  0.676 -1.366  0.629 -1.275  0.451 -1.074  0.273 -0.874  0.096 -0.673  -0.082 -0.473  -0.259 -0.272  -0.437 -0.072  -0.549 0.100  -0.290 0.168  -0.023 0.187  0.244 0.193  0.509 0.222  0.768 0.288  1.027 0.357
3#apb#apb32#app3207/L  0.177 1.689  0.142 1.795  0.112 1.750  0.066 1.649  0.016 1.549  -0.018 1.444  -0.040 1.335  -0.062 1.225  -0.085 1.116  -0.109 1.007  -0.133 0.899  -0.157 0.790  -0.178 0.680  -0.197 0.571  -0.216 0.461  -0.235 0.351  -0.254 0.241  -0.280 0.133  -0.308 0.025  -0.335 -0.083  -0.362 -0.191  -0.397 -0.297  -0.436 -0.401  -0.475 -0.505  -0.512 -0.610  -0.539 -0.719  -0.566 -0.827  -0.586 -0.936  -0.621 -1.024  -0.574 -0.938  -0.534 -0.836  -0.472 -0.743  -0.408 -0.652  -0.330 -0.573  -0.235 -0.514  -0.136 -0.462  -0.035 -0.446  0.068 -0.488  0.172 -0.527  0.280 -0.554  0.388 -0.581  0.497 -0.608  0.605 -0.635  0.713 -0.659  0.825 -0.659  0.936 -0.663  1.046 -0.679  1.156 -0.669  1.263 -0.640  1.362 -0.591
3#apb#apb32#app3207/M  -0.403 0.976  -0.488 0.823  -0.553 0.602  -0.603 0.376  -0.656 0.151  -0.721 -0.071  -0.791 -0.291  -0.847 -0.516  -0.901 -0.741  -0.949 -0.967  -1.002 -1.191  -1.006 -1.089  -0.964 -0.862  -0.938 -0.632  -0.902 -0.404  -0.853 -0.178  -0.772 0.038  -0.704 0.259  -0.610 0.467  -0.476 0.656  -0.297 0.801  -0.086 0.861  0.007 0.663  0.040 0.434  0.036 0.204  0.017 -0.026  -0.010 -0.256  -0.029 -0.487  -0.055 -0.716  -0.055 -0.742  -0.022 -0.516  0.047 -0.295  0.115 -0.074  0.183 0.147  0.262 0.364  0.350 0.578  0.464 0.779  0.605 0.960  0.795 1.071  1.010 1.005  1.123 0.808  1.196 0.594  1.204 0.362  1.213 0.131  1.204 -0.100  1.195 -0.331  1.174 -0.561  1.152 -0.791  1.152 -1.023  1.152 -1.254
3#apb#apb32#app3207/N  -1.003 -0.778  -1.103 -0.859  -1.039 -0.976  -0.946 -0.862  -0.890 -0.722  -0.856 -0.573  -0.828 -0.424  -0.803 -0.274  -0.777 -0.124  -0.750 0.026  -0.723 0.176  -0.693 0.325  -0.658 0.473  -0.624 0.621  -0.609 0.773  -0.604 0.925  -0.571 0.836  -0.499 0.702  -0.428 0.567  -0.363 0.429  -0.298 0.292  -0.234 0.154  -0.172 0.015  -0.109 -0.124  -0.058 -0.267  -0.014 -0.413  0.029 -0.558  0.087 -0.699  0.147 -0.839  0.197 -0.983  0.258 -1.121  0.329 -1.064  0.386 -0.922  0.442 -0.781  0.499 -0.640  0.555 -0.499  0.605 -0.355  0.655 -0.211  0.704 -0.067  0.755 0.076  0.808 0.219  0.861 0.362  0.914 0.504  0.955 0.651  0.989 0.799  1.023 0.947  1.063 1.094  1.108 1.239  1.128 1.390  1.154 1.539
3#apb#apb32#app3207/O  0.452 0.953  0.348 1.086  0.183 1.056  0.047 0.956  -0.063 0.824  -0.157 0.681  -0.244 0.533  -0.322 0.380  -0.391 0.223  -0.461 0.066  -0.509 -0.098  -0.537 -0.267  -0.566 -0.437  -0.526 -0.601  -0.471 -0.764  -0.364 -0.893  -0.238 -1.010  -0.088 -1.084  0.077 -1.133  0.243 -1.159  0.414 -1.137  0.584 -1.115  0.739 -1.045  0.889 -0.961  1.012 -0.848  1.110 -0.706  1.174 -0.554  1.182 -0.382  1.184 -0.212  1.094 -0.066  1.004 0.080  0.901 0.216  0.773 0.331  0.646 0.447  0.512 0.553  0.358 0.627  0.203 0.702  0.045 0.765  -0.127 0.773  -0.298 0.780  -0.463 0.744  -0.623 0.681  -0.771 0.598  -0.908 0.494  -1.036 0.382  -1.116 0.230  -1.196 0.078  -1.233 -0.085  -1.233 -0.256  -1.233 -0.428
3#apb#apb32#app3207/P  -0.144 0.623  -0.185 0.712  -0.198 0.509  -0.239 0.311  -0.299 0.117  -0.345 -0.082  -0.388 -0.281  -0.430 -0.480  -0.470 -0.679  -0.501 -0.880  -0.523 -1.082  -0.548 -1.284  -0.577 -1.486  -0.575 -1.664  -0.594 -1.462  -0.585 -1.259  -0.562 -1.057  -0.525 -0.857  -0.471 -0.661  -0.410 -0.467  -0.371 -0.268  -0.344 -0.066  -0.300 0.132  -0.236 0.325  -0.171 0.518  -0.104 0.710  -0.034 0.901  0.075 1.072  0.211 1.223  0.363 1.357  0.541 1.447  0.738 1.446  0.896 1.319  0.992 1.143  1.075 0.957  1.106 0.760  1.106 0.557  1.087 0.356  1.025 0.162  0.942 -0.020  0.811 -0.175  0.649 -0.292  0.467 -0.383  0.270 -0.430  0.070 -0.459  -0.121 -0.388  -0.311 -0.317  -0.477 -0.199  -0.631 -0.069  -0.758 0.090
3#apb#apb32#app3207/Q  0.342 0.966  0.156 1.040  -0.053 0.978  -0.222 0.837  -0.364 0.663  -0.468 0.465  -0.570 0.265  -0.663 0.062  -0.741 -0.146  -0.768 -0.369  -0.751 -0.587  -0.677 -0.798  -0.532 -0.966  -0.352 -1.092  -0.147 -1.184  0.075 -1.168  0.295 -1.131  0.505 -1.054  0.680 -0.923  0.834 -0.761  0.940 -0.568  1.021 -0.359  1.039 -0.140  1.025 0.083  0.979 0.298  0.876 0.497  0.763 0.688  0.600 0.842  0.428 0.980  0.215 1.051  0.001 1.108  -0.222 1.093  -0.445 1.072  -0.650 0.983  -0.839 0.871  -0.983 0.699  -1.065 0.502  -1.082 0.279  -0.958 0.145  -0.748 0.065  -0.539 -0.015  -0.330 -0.095  -0.121 -0.175  0.089 -0.255  0.298 -0.335  0.477 -0.463  0.573 -0.666  0.648 -0.876  0.702 -1.092  0.727 -1.315
3#apb#apb32#app3207/R  -0.203 1.080  -0.226 1.023  -0.261 0.808  -0.287 0.591  -0.311 0.374  -0.331 0.157  -0.358 -0.059  -0.392 -0.275  -0.427 -0.490  -0.480 -0.701  -0.526 -0.914  -0.553 -1.131  -0.590 -1.345  -0.578 -1.196  -0.570 -0.979  -0.558 -0.761  -0.558 -0.543  -0.558 -0.325  -0.558 -0.107  -0.558 0.112  -0.525 0.326  -0.472 0.537  -0.402 0.743  -0.326 0.948  -0.203 1.127  -0.059 1.288  0.118 1.415  0.311 1.475  0.500 1.375  0.591 1.190  0.618 0.974  0.582 0.766  0.480 0.575  0.334 0.413  0.170 0.269  -0.024 0.172  -0.235 0.126  -0.268 -0.075  -0.251 -0.287  -0.169 -0.489  -0.045 -0.666  0.111 -0.815  0.306 -0.913  0.514 -0.973  0.727 -1.009  0.944 -0.985  1.147 -0.917  1.331 -0.803  1.486 -0.649  1.595 -0.461
3#apb#apb32#app3207/S  0.972 0.799  0.926 0.869  0.805 0.904  0.677 0.918  0.557 0.972  0.435 1.021  0.308 1.044  0.177 1.044  0.045 1.040  -0.086 1.030  -0.215 1.007  -0.343 0.978  -0.469 0.944  -0.593 0.901  -0.688 0.818  -0.743 0.700  -0.753 0.586  -0.648 0.513  -0.520 0.487  -0.390 0.469  -0.267 0.425  -0.147 0.372  -0.026 0.322  0.097 0.276  0.217 0.225  0.321 0.144  0.424 0.062  0.509 -0.037  0.589 -0.141  0.643 -0.258  0.678 -0.385  0.706 -0.511  0.674 -0.639  0.643 -0.766  0.566 -0.871  0.484 -0.974  0.390 -1.062  0.272 -1.121  0.152 -1.171  0.023 -1.195  -0.106 -1.215  -0.232 -1.178  -0.358 -1.141  -0.477 -1.087  -0.593 -1.026  -0.710 -0.964  -0.822 -0.896  -0.933 -0.827  -1.039 -0.749  -1.131 -0.657
3#apb#apb32#app3207/T  0.403 0.158  0.313 0.226  0.185 0.119  0.120 -0.035  0.089 -0.202  0.049 -0.368  0.008 -0.534  -0.028 -0.700  -0.061 -0.868  -0.082 -1.037  -0.092 -1.207  -0.094 -1.377  -0.094 -1.548  -0.140 -1.558  -0.230 -1.413  -0.321 -1.268  -0.411 -1.124  -0.501 -0.979  -0.592 -0.835  -0.682 -0.690  -0.773 -0.545  -0.863 -0.401  -0.953 -0.256  -1.044 -0.111  -1.134 0.033  -1.109 0.186  -0.977 0.294  -0.824 0.356  -0.657 0.390  -0.492 0.432  -0.329 0.483  -0.164 0.526  0.004 0.558  0.173 0.578  0.342 0.573  0.499 0.517  0.647 0.522  0.798 0.602  0.948 0.681  1.099 0.761  1.181 0.867  1.024 0.922  0.854 0.936  0.684 0.924  0.514 0.908  0.347 0.881  0.338 0.873  0.506 0.907  0.675 0.920  0.846 0.920
3#apb#apb32#app3207/U  -0.683 1.101  -0.699 1.279  -0.664 1.298  -0.629 1.123  -0.643 0.945  -0.664 0.767  -0.692 0.591  -0.719 0.414  -0.749 0.237  -0.778 0.061  -0.803 -0.117  -0.812 -0.295  -0.820 -0.474  -0.810 -0.653  -0.798 -0.831  -0.745 -1.002  -0.671 -1.157  -0.510 -1.224  -0.335 -1.206  -0.184 -1.123  -0.064 -0.990  0.026 -0.837  0.106 -0.677  0.172 -0.511  0.226 -0.340  0.279 -0.169  0.308 0.008  0.336 0.184  0.360 0.362  0.369 0.540  0.374 0.719  0.363 0.898  0.363 1.076  0.382 1.254  0.396 1.204  0.377 1.026  0.357 0.848  0.372 0.670  0.388 0.491  0.410 0.314  0.441 0.138  0.472 -0.039  0.522 -0.211  0.574 -0.382  0.636 -0.549  0.727 -0.703  0.822 -0.854  0.954 -0.974  1.100 -1.076  1.260 -1.156
3#apb#apb32#app3207/V  -1.275 1.041  -1.259 1.094  -1.153 1.040  -1.046 0.987  -0.959 0.907  -0.875 0.822  -0.802 0.728  -0.734 0.630  -0.666 0.532  -0.606 0.429  -0.545 0.327  -0.485 0.224  -0.442 0.113  -0.408 -0.001  -0.374 -0.115  -0.339 -0.229  -0.299 -0.342  -0.260 -0.454  -0.221 -0.567  -0.183 -0.680  -0.148 -0.794  -0.112 -0.908  -0.067 -1.018  -0.018 -1.126  0.024 -1.238  0.041 -1.354  0.082 -1.288  0.130 -1.179  0.178 -1.070  0.225 -0.960  0.272 -0.851  0.317 -0.740  0.361 -0.629  0.406 -0.519  0.442 -0.405  0.477 -0.291  0.513 -0.178  0.546 -0.063  0.576 0.053  0.606 0.168  0.636 0.283  0.674 0.396  0.717 0.507  0.761 0.618  0.804 0.729  0.842 0.842  0.871 0.958  0.900 1.073  0.922 1.190  0.952 1.304
3#apb#apb32#app3207/W  -1.058 0.901  -1.016 0.866  -0.971 0.704  -0.960 0.535  -0.947 0.366  -0.927 0.198  -0.903 0.031  -0.865 -0.134  -0.826 -0.299  -0.798 -0.466  -0.771 -0.633  -0.726 -0.797  -0.681 -0.960  -0.631 -1.067  -0.563 -0.913  -0.504 -0.754  -0.448 -0.594  -0.407 -0.429  -0.367 -0.265  -0.347 -0.097  -0.327 0.071  -0.298 0.238  -0.284 0.406  -0.279 0.559  -0.207 0.407  -0.163 0.244  -0.116 0.081  -0.066 -0.081  -0.010 -0.240  0.057 -0.396  0.121 -0.553  0.182 -0.711  0.296 -0.830  0.431 -0.906  0.580 -0.827  0.683 -0.692  0.785 -0.557  0.851 -0.401  0.916 -0.245  0.972 -0.085  1.016 0.078  1.061 0.241  1.075 0.409  1.075 0.578  1.075 0.748  1.075 0.917  1.075 1.086  1.066 1.255  1.040 1.422  1.034 1.591
3#apb#apb32#app3207/X  1.137 1.164  1.015 1.050  0.907 0.909  0.802 0.765  0.699 0.620  0.597 0.475  0.481 0.339  0.363 0.206  0.245 0.073  0.127 -0.061  0.013 -0.197  -0.102 -0.333  -0.217 -0.469  -0.343 -0.595  -0.469 -0.720  -0.586 -0.854  -0.694 -0.995  -0.750 -1.050  -0.754 -0.873  -0.758 -0.695  -0.762 -0.517  -0.766 -0.339  -0.770 -0.161  -0.775 0.017  -0.779 0.195  -0.783 0.373  -0.787 0.551  -0.791 0.729  -0.795 0.907  -0.799 1.085  -0.704 1.183  -0.546 1.142  -0.401 1.038  -0.258 0.934  -0.161 0.784  -0.065 0.635  0.032 0.485  0.118 0.330  0.188 0.166  0.258 0.003  0.328 -0.161  0.413 -0.317  0.506 -0.468  0.599 -0.620  0.693 -0.771  0.796 -0.916  0.899 -1.062  1.007 -1.203  1.133 -1.329  1.259 -1.454
3#apb#apb32#app3207/Y  -0.975 1.140  -0.871 1.061  -0.844 0.891  -0.802 0.724  -0.765 0.557  -0.740 0.387  -0.710 0.218  -0.652 0.055  -0.597 -0.107  -0.548 -0.272  -0.498 -0.437  -0.444 -0.600  -0.355 -0.747  -0.214 -0.715  -0.111 -0.577  -0.004 -0.442  0.074 -0.289  0.150 -0.135  0.212 0.025  0.274 0.186  0.304 0.355  0.333 0.525  0.356 0.695  0.371 0.866  0.388 1.037  0.412 1.208  0.421 1.379  0.462 1.474  0.501 1.318  0.474 1.148  0.448 0.978  0.422 0.808  0.396 0.638  0.369 0.468  0.343 0.298  0.317 0.128  0.290 -0.042  0.264 -0.212  0.238 -0.382  0.159 -0.380  0.146 -0.552  0.146 -0.724  0.146 -0.896  0.132 -1.067  0.116 -1.238  0.099 -1.409  0.080 -1.580  0.086 -1.751  0.108 -1.921  0.091 -2.092
3#apb#apb32#app3207/Z  -0.887 0.784  -0.920 0.846  -0.774 0.846  -0.629 0.849  -0.483 0.858  -0.338 0.861  -0.192 0.861  -0.047 0.873  0.098 0.889  0.241 0.918  0.383 0.949  0.525 0.980  0.660 1.030  0.735 1.144  0.635 1.106  0.543 0.993  0.456 0.876  0.376 0.755  0.296 0.633  0.222 0.507  0.149 0.381  0.063 0.265  -0.040 0.162  -0.139 0.056  -0.231 -0.057  -0.324 -0.169  -0.423 -0.277  -0.517 -0.387  -0.602 -0.506  -0.708 -0.601  -0.833 -0.676  -0.946 -0.766  -1.001 -0.753  -0.870 -0.700  -0.724 -0.700  -0.578 -0.700  -0.440 -0.743  -0.303 -0.790  -0.162 -0.827  -0.020 -0.860  0.124 -0.882  0.268 -0.904  0.413 -0.917  0.559 -0.922  0.704 -0.927  0.849 -0.919  0.993 -0.896  1.137 -0.873  1.280 -0.848  1.424 -0.823
