3#apa#apa19#app1960/j  0.565 0.340  0.521 0.438  0.466 0.525  0.466 0.407  0.466 0.265  0.550 0.158  0.565 0.022  0.565 -0.120  0.565 -0.262  0.565 -0.404  0.565 -0.545  0.565 -0.687  0.565 -0.829  0.565 -0.971  0.565 -1.113  0.546 -1.236  0.404 -1.236  0.264 -1.231  0.161 -1.137  0.035 -1.100  -0.081 -1.039  -0.194 -0.969  -0.322 -0.938  -0.368 -0.842  -0.483 -0.779  -0.584 -0.679  -0.712 -0.645  -0.617 -0.684  -0.594 -0.664  -0.555 -0.528  -0.516 -0.391  -0.477 -0.255  -0.439 -0.119  -0.400 0.018  -0.361 0.154  -0.322 0.291  -0.283 0.427  -0.244 0.563  -0.205 0.700  -0.166 0.836  -0.127 0.972  -0.088 1.109  -0.049 1.245  -0.068 1.366  -0.168 1.467  -0.269 1.567  -0.322 1.687  -0.223 1.707  -0.168 1.620  -0.125 1.521
3#apa#apa19#app1960/d  -0.014 2.029  -0.014 2.091  -0.014 1.940  -0.014 1.790  -0.014 1.640  0.008 1.492  0.038 1.345  0.067 1.197  0.092 1.049  0.092 0.899  0.142 0.761  0.198 0.624  0.198 0.473  0.249 0.335  0.304 0.198  0.304 0.048  0.304 -0.103  0.304 -0.253  0.304 -0.403  0.404 -0.512  0.411 -0.660  0.411 -0.810  0.411 -0.927  0.411 -0.776  0.411 -0.626  0.305 -0.520  0.304 -0.370  0.265 -0.229  0.198 -0.094  0.092 0.012  -0.014 0.118  -0.058 0.224  -0.209 0.224  -0.320 0.130  -0.457 0.099  -0.564 -0.007  -0.651 -0.121  -0.651 -0.272  -0.651 -0.422  -0.651 -0.572  -0.651 -0.722  -0.626 -0.862  -0.520 -0.968  -0.413 -1.075  -0.297 -1.156  -0.170 -1.212  -0.040 -1.262  0.110 -1.262  0.260 -1.262  0.411 -1.262
3#apa#apa19#app1960/e  -1.155 -0.111  -1.037 -0.229  -0.920 -0.346  -0.802 -0.464  -0.680 -0.569  -0.514 -0.569  -0.348 -0.569  -0.198 -0.529  -0.081 -0.411  0.056 -0.340  0.222 -0.340  0.388 -0.340  0.554 -0.340  0.708 -0.310  0.825 -0.192  0.942 -0.075  1.060 0.043  1.135 0.178  1.135 0.344  1.135 0.510  1.135 0.676  1.135 0.842  1.135 1.008  0.994 1.033  0.828 1.033  0.662 1.033  0.496 1.033  0.330 1.033  0.163 1.033  -0.003 1.033  -0.122 0.921  -0.240 0.804  -0.406 0.804  -0.468 0.700  -0.497 0.546  -0.615 0.429  -0.697 0.296  -0.697 0.130  -0.697 -0.036  -0.697 -0.202  -0.697 -0.368  -0.697 -0.534  -0.697 -0.700  -0.636 -0.829  -0.487 -0.903  -0.339 -0.977  -0.239 -1.082  -0.239 -1.248  -0.127 -1.368  -0.010 -1.485
3#apa#apa19#app1960/n  -0.886 0.233  -0.886 0.087  -0.886 -0.060  -0.886 -0.206  -0.886 -0.353  -0.886 -0.499  -0.885 -0.645  -0.819 -0.776  -0.754 -0.907  -0.675 -1.029  -0.571 -1.132  -0.536 -1.073  -0.536 -0.926  -0.536 -0.780  -0.536 -0.633  -0.536 -0.487  -0.536 -0.340  -0.536 -0.194  -0.486 -0.068  -0.383 0.036  -0.360 0.173  -0.360 0.319  -0.320 0.449  -0.216 0.553  -0.185 0.686  -0.185 0.833  -0.153 0.966  -0.050 1.069  -0.010 1.199  0.052 1.284  0.188 1.261  0.292 1.158  0.396 1.054  0.499 0.951  0.603 0.847  0.691 0.737  0.691 0.591  0.691 0.444  0.769 0.330  0.866 0.224  0.866 0.077  0.866 -0.069  0.866 -0.216  0.915 -0.342  1.019 -0.445  1.041 -0.583  1.041 -0.729  1.041 -0.876  1.041 -1.022  1.041 -1.168
3#apa#apa19#app1960/b  -0.410 2.171  -0.410 1.992  -0.410 1.813  -0.410 1.634  -0.410 1.455  -0.410 1.276  -0.410 1.097  -0.410 0.918  -0.410 0.739  -0.410 0.560  -0.410 0.381  -0.410 0.202  -0.410 0.023  -0.410 -0.156  -0.312 -0.294  -0.312 -0.473  -0.312 -0.652  -0.312 -0.831  -0.312 -1.010  -0.312 -0.954  -0.312 -0.775  -0.312 -0.596  -0.312 -0.417  -0.312 -0.238  -0.312 -0.059  -0.312 0.120  -0.312 0.299  -0.213 0.437  -0.098 0.500  0.081 0.500  0.241 0.420  0.401 0.340  0.543 0.235  0.670 0.108  0.804 -0.008  0.964 -0.088  1.045 -0.247  1.091 -0.411  1.162 -0.560  1.120 -0.721  0.993 -0.848  0.825 -0.875  0.647 -0.875  0.468 -0.875  0.289 -0.875  0.110 -0.875  -0.069 -0.875  -0.248 -0.875  -0.427 -0.875  -0.606 -0.875
3#apa#apa19#app1960/y  -0.993 0.871  -1.093 0.972  -1.012 0.890  -0.989 0.758  -0.888 0.657  -0.788 0.557  -0.688 0.456  -0.587 0.356  -0.487 0.256  -0.371 0.176  -0.244 0.113  -0.140 0.018  -0.008 -0.008  0.134 -0.008  0.228 0.050  0.256 0.190  0.284 0.329  0.312 0.468  0.339 0.607  0.367 0.747  0.395 0.886  0.423 1.025  0.436 1.166  0.436 1.094  0.546 1.062  0.546 0.920  0.576 0.783  0.620 0.648  0.656 0.512  0.656 0.370  0.656 0.228  0.656 0.086  0.656 -0.056  0.656 -0.198  0.606 -0.328  0.540 -0.454  0.439 -0.554  0.375 -0.680  0.311 -0.807  0.248 -0.934  0.152 -1.029  0.025 -1.093  -0.081 -1.185  -0.200 -1.260  -0.327 -1.324  -0.461 -1.369  -0.596 -1.414  -0.727 -1.469  -0.854 -1.532  -0.993 -1.547
3#apa#apa19#app1960/q  0.394 0.672  0.306 0.856  0.203 0.978  0.074 1.120  -0.043 1.247  -0.264 1.247  -0.484 1.247  -0.596 1.119  -0.718 0.938  -0.755 0.727  -0.755 0.506  -0.753 0.286  -0.597 0.130  -0.413 0.042  -0.209 0.001  0.012 0.002  0.193 0.097  0.299 0.269  0.440 0.431  0.490 0.631  0.490 0.852  0.473 1.055  0.266 1.023  0.110 0.867  -0.025 0.696  -0.147 0.515  -0.258 0.326  -0.320 0.115  -0.372 -0.099  -0.372 -0.320  -0.468 -0.501  -0.468 -0.722  -0.468 -0.942  -0.458 -1.159  -0.372 -1.344  -0.281 -1.527  -0.125 -1.683  0.079 -1.723  0.300 -1.722  0.456 -1.566  0.586 -1.399  0.658 -1.196  0.682 -0.981  0.682 -0.760  0.671 -0.541  0.601 -0.331  0.509 -0.131  0.375 0.041  0.263 0.229  0.107 0.385
3#apa#apa19#app1960/u  -0.856 1.128  -0.856 1.020  -0.856 0.912  -0.856 0.803  -0.856 0.695  -0.856 0.587  -0.856 0.479  -0.856 0.370  -0.856 0.262  -0.856 0.154  -0.856 0.046  -0.856 -0.063  -0.856 -0.171  -0.808 -0.259  -0.731 -0.336  -0.665 -0.417  -0.665 -0.525  -0.637 -0.622  -0.560 -0.698  -0.484 -0.775  -0.407 -0.851  -0.331 -0.928  -0.243 -0.977  -0.135 -0.977  -0.026 -0.977  0.082 -0.977  0.164 -0.914  0.241 -0.837  0.317 -0.761  0.394 -0.684  0.470 -0.608  0.547 -0.531  0.623 -0.454  0.675 -0.368  0.675 -0.259  0.702 -0.157  0.751 -0.061  0.799 0.036  0.847 0.133  0.866 0.237  0.866 0.345  0.866 0.453  0.866 0.562  0.866 0.670  0.866 0.778  0.866 0.887  0.866 0.995  0.866 1.103  0.866 1.211  0.866 1.320
3#apa#apa19#app1960/i  -0.346 0.488  -0.216 0.488  -0.255 0.488  -0.346 0.449  -0.346 0.319  -0.346 0.189  -0.346 0.059  -0.322 -0.061  -0.230 -0.152  -0.171 -0.258  -0.171 -0.387  -0.171 -0.517  -0.171 -0.647  -0.171 -0.777  -0.171 -0.907  -0.171 -1.037  -0.114 -1.143  -0.022 -1.235  0.004 -1.353  0.051 -1.436  0.181 -1.436  0.311 -1.436  0.345 -1.351  0.330 -1.222  0.316 -1.093  0.302 -0.964  0.287 -0.835  0.273 -0.706  0.259 -0.577  0.244 -0.448  0.230 -0.319  0.216 -0.189  0.201 -0.060  0.187 0.069  0.173 0.198  0.158 0.327  0.144 0.456  0.130 0.585  0.115 0.714  0.101 0.843  0.087 0.972  0.072 1.101  0.058 1.230  0.044 1.359  0.029 1.488  0.015 1.617  -0.029 1.713  -0.158 1.713  -0.254 1.796  -0.346 1.888
3#apa#apa19#app1960/e  -0.332 0.014  -0.190 0.033  -0.153 0.157  0.007 0.157  0.168 0.157  0.329 0.157  0.489 0.157  0.650 0.157  0.811 0.157  0.947 0.181  0.990 0.299  1.089 0.360  1.089 0.521  1.019 0.653  0.889 0.725  0.728 0.725  0.595 0.792  0.466 0.867  0.305 0.867  0.144 0.867  -0.016 0.867  -0.177 0.867  -0.336 0.864  -0.450 0.750  -0.600 0.725  -0.760 0.724  -0.874 0.610  -0.987 0.497  -1.043 0.359  -1.114 0.228  -1.185 0.097  -1.185 -0.064  -1.185 -0.224  -1.104 -0.351  -0.990 -0.465  -0.877 -0.579  -0.763 -0.692  -0.650 -0.806  -0.502 -0.839  -0.342 -0.839  -0.197 -0.906  -0.053 -0.978  0.107 -0.981  0.267 -0.981  0.428 -0.981  0.589 -0.981  0.749 -0.981  0.910 -0.981  1.071 -0.981  1.231 -0.981
3#apa#apa19#app1960/t  0.284 1.504  0.225 1.658  0.155 1.787  -0.023 1.787  -0.100 1.680  -0.179 1.520  -0.187 1.343  -0.187 1.165  -0.187 0.986  -0.172 0.812  -0.093 0.652  -0.093 0.473  -0.065 0.300  0.002 0.134  0.068 -0.032  0.096 -0.205  0.096 -0.383  0.133 -0.553  0.190 -0.718  0.208 -0.892  0.284 -1.053  0.284 -1.232  0.343 -1.386  0.379 -1.550  0.312 -1.515  0.209 -1.368  0.107 -1.222  0.004 -1.076  -0.098 -0.930  -0.200 -0.783  -0.303 -0.637  -0.405 -0.491  -0.508 -0.345  -0.610 -0.198  -0.712 -0.052  -0.815 0.094  -0.917 0.241  -0.820 0.249  -0.669 0.183  -0.490 0.183  -0.319 0.154  -0.159 0.074  0.001 -0.006  0.179 -0.006  0.358 -0.006  0.536 -0.006  0.709 -0.030  0.871 -0.101  1.050 -0.101  1.228 -0.101
3#apa#apa19#app1960/z  -0.580 0.736  -0.573 0.860  -0.456 0.873  -0.436 0.983  -0.333 1.010  -0.300 1.107  -0.170 1.107  -0.040 1.107  0.090 1.107  0.220 1.107  0.351 1.107  0.481 1.107  0.611 1.107  0.716 1.046  0.778 0.942  0.744 0.826  0.652 0.734  0.561 0.642  0.469 0.550  0.377 0.458  0.285 0.366  0.193 0.274  0.085 0.204  -0.032 0.146  -0.135 0.070  -0.227 -0.022  -0.319 -0.114  -0.411 -0.206  -0.522 -0.251  -0.631 -0.303  -0.703 -0.403  -0.728 -0.523  -0.820 -0.615  -0.827 -0.742  -0.701 -0.747  -0.609 -0.839  -0.491 -0.869  -0.456 -0.964  -0.354 -0.992  -0.224 -0.992  -0.094 -0.992  0.000 -1.078  0.115 -1.116  0.245 -1.116  0.375 -1.116  0.505 -1.116  0.635 -1.116  0.765 -1.116  0.895 -1.116  1.025 -1.116
3#apa#apa19#app1960/e  -0.634 -0.147  -0.634 0.026  -0.495 0.060  -0.426 -0.044  -0.356 -0.147  -0.183 -0.147  -0.010 -0.147  0.163 -0.147  0.337 -0.147  0.510 -0.147  0.611 -0.076  0.649 0.060  0.822 0.060  0.995 0.060  1.026 0.202  1.026 0.375  1.026 0.548  1.026 0.722  1.023 0.893  0.901 1.016  0.761 1.098  0.588 1.098  0.415 1.098  0.242 1.098  0.069 1.098  -0.105 1.098  -0.261 1.056  -0.383 0.934  -0.505 0.811  -0.628 0.689  -0.750 0.566  -0.841 0.431  -0.841 0.258  -0.841 0.084  -0.841 -0.089  -0.841 -0.262  -0.841 -0.435  -0.841 -0.608  -0.830 -0.770  -0.657 -0.770  -0.634 -0.920  -0.530 -1.029  -0.375 -1.107  -0.220 -1.184  -0.047 -1.185  0.126 -1.185  0.299 -1.185  0.472 -1.185  0.646 -1.185  0.819 -1.185
3#apa#apa19#app1960/a  -0.178 0.479  -0.178 0.687  -0.178 0.894  -0.091 1.015  0.001 1.131  0.146 1.193  0.353 1.193  0.561 1.193  0.714 1.140  0.797 1.015  0.893 0.903  0.893 0.696  0.893 0.488  0.893 0.281  0.858 0.157  0.710 0.301  0.513 0.324  0.366 0.471  0.162 0.479  -0.046 0.479  -0.253 0.479  -0.461 0.479  -0.629 0.385  -0.776 0.238  -0.935 0.122  -1.103 0.057  -1.195 -0.128  -1.249 -0.323  -1.249 -0.531  -1.249 -0.738  -1.249 -0.946  -1.044 -0.949  -0.837 -0.949  -0.629 -0.949  -0.422 -0.949  -0.214 -0.949  -0.057 -0.828  0.127 -0.770  0.289 -0.660  0.435 -0.514  0.536 -0.348  0.536 -0.140  0.413 -0.056  0.358 -0.208  0.358 -0.416  0.358 -0.623  0.358 -0.831  0.421 -1.012  0.568 -1.159  0.714 -1.305
3#apa#apa19#app1960/l  0.292 1.217  0.292 1.291  0.275 1.358  0.222 1.410  0.170 1.462  0.168 1.394  0.153 1.326  0.101 1.274  0.049 1.222  0.044 1.150  0.044 1.076  0.044 1.002  0.044 0.928  0.044 0.855  0.044 0.781  0.044 0.707  0.044 0.633  0.044 0.559  0.044 0.485  0.044 0.411  0.035 0.341  -0.018 0.289  -0.070 0.237  -0.080 0.167  -0.080 0.093  -0.080 0.019  -0.080 -0.054  -0.080 -0.128  -0.080 -0.202  -0.080 -0.276  -0.080 -0.350  -0.080 -0.424  -0.080 -0.498  -0.080 -0.571  -0.080 -0.645  -0.080 -0.719  -0.080 -0.793  -0.080 -0.867  -0.080 -0.941  -0.080 -1.015  -0.080 -1.088  -0.080 -1.162  -0.080 -1.236  -0.080 -1.310  -0.080 -1.384  -0.080 -1.458  -0.080 -1.532  -0.080 -1.605  -0.080 -1.679  -0.080 -1.753
