1c#apa#apa00#app0006/f  0.129 0.811  0.223 0.864  0.290 0.975  0.343 1.099  0.397 1.192  0.397 1.339  0.397 1.485  0.323 1.559  0.177 1.559  0.097 1.473  0.004 1.362  -0.041 1.228  -0.084 1.099  -0.084 0.952  -0.084 0.806  -0.084 0.659  -0.078 0.513  -0.049 0.370  -0.008 0.230  0.023 0.091  0.043 -0.052  0.076 -0.194  0.102 -0.336  0.129 -0.478  0.129 -0.625  0.129 -0.771  0.129 -0.918  0.129 -1.064  0.129 -1.211  0.076 -1.335  0.076 -1.482  0.014 -1.603  -0.061 -1.701  -0.102 -1.579  -0.122 -1.434  -0.143 -1.289  -0.164 -1.144  -0.185 -0.999  -0.205 -0.854  -0.226 -0.709  -0.247 -0.564  -0.267 -0.418  -0.288 -0.273  -0.309 -0.128  -0.330 0.017  -0.350 0.162  -0.288 0.276  -0.191 0.326  -0.048 0.330  0.076 0.383
1c#apa#apa00#app0006/i  0.168 0.657  0.168 0.535  0.168 0.413  0.168 0.291  0.168 0.169  0.168 0.048  0.168 -0.074  0.109 -0.172  0.040 -0.265  0.040 -0.387  0.040 -0.509  0.040 -0.631  0.040 -0.753  0.040 -0.875  0.040 -0.997  0.040 -1.119  0.040 -1.240  0.040 -1.362  0.040 -1.484  0.125 -1.522  0.158 -1.444  0.142 -1.323  0.127 -1.203  0.111 -1.082  0.095 -0.961  0.079 -0.840  0.064 -0.719  0.048 -0.598  0.032 -0.477  0.016 -0.356  0.001 -0.235  -0.015 -0.114  -0.031 0.006  -0.047 0.127  -0.063 0.248  -0.078 0.369  -0.094 0.490  -0.110 0.611  -0.126 0.732  -0.141 0.853  -0.157 0.974  -0.173 1.094  -0.189 1.215  -0.204 1.336  -0.216 1.457  -0.216 1.579  -0.216 1.701  -0.216 1.823  -0.216 1.945  -0.216 2.067
1c#apa#apa00#app0006/v  -0.958 1.553  -0.869 1.465  -0.812 1.364  -0.812 1.239  -0.810 1.114  -0.722 1.026  -0.666 0.924  -0.666 0.799  -0.666 0.674  -0.666 0.550  -0.666 0.425  -0.627 0.309  -0.571 0.197  -0.520 0.084  -0.520 -0.041  -0.469 -0.153  -0.413 -0.265  -0.375 -0.381  -0.361 -0.500  -0.273 -0.589  -0.185 -0.677  -0.096 -0.765  -0.083 -0.885  0.002 -0.924  0.062 -0.989  0.094 -1.101  0.182 -1.189  0.208 -1.303  0.208 -1.294  0.208 -1.169  0.226 -1.052  0.314 -0.963  0.354 -0.855  0.354 -0.730  0.363 -0.606  0.402 -0.488  0.442 -0.369  0.481 -0.251  0.499 -0.129  0.520 -0.009  0.576 0.103  0.632 0.215  0.712 0.309  0.791 0.401  0.791 0.526  0.791 0.651  0.834 0.765  0.890 0.877  0.937 0.991  0.937 1.116
1c#apa#apa00#app0006/e  -0.347 -0.060  -0.204 -0.060  -0.097 0.029  0.016 0.101  0.136 0.124  0.141 0.262  0.284 0.262  0.388 0.354  0.503 0.423  0.618 0.450  0.628 0.584  0.771 0.584  0.779 0.718  0.896 0.744  0.940 0.843  0.883 0.962  0.782 1.063  0.640 1.066  0.497 1.066  0.354 1.066  0.211 1.066  0.088 1.018  -0.013 0.917  -0.151 0.905  -0.186 0.797  -0.276 0.744  -0.347 0.672  -0.385 0.545  -0.486 0.444  -0.508 0.310  -0.575 0.195  -0.668 0.090  -0.668 -0.053  -0.668 -0.196  -0.668 -0.339  -0.668 -0.481  -0.668 -0.624  -0.623 -0.749  -0.522 -0.850  -0.508 -0.987  -0.403 -1.025  -0.347 -1.112  -0.298 -1.234  -0.197 -1.335  -0.058 -1.346  -0.025 -1.456  0.057 -1.548  0.185 -1.612  0.315 -1.668  0.457 -1.668
1c#apa#apa00#app0006/r  -0.561 1.359  -0.561 1.212  -0.561 1.066  -0.561 0.919  -0.561 0.772  -0.561 0.626  -0.561 0.479  -0.474 0.368  -0.380 0.261  -0.380 0.114  -0.380 -0.033  -0.380 -0.179  -0.380 -0.326  -0.364 -0.466  -0.260 -0.570  -0.199 -0.691  -0.180 -0.830  -0.077 -0.934  -0.018 -1.056  -0.018 -1.203  -0.018 -1.349  0.082 -1.454  0.196 -1.535  0.342 -1.535  0.344 -1.390  0.344 -1.243  0.290 -1.119  0.186 -1.015  0.163 -0.878  0.163 -0.732  0.163 -0.585  0.155 -0.442  0.051 -0.338  -0.018 -0.220  -0.018 -0.073  -0.018 0.073  -0.018 0.220  -0.018 0.367  -0.018 0.513  -0.018 0.660  -0.018 0.807  0.079 0.913  0.183 1.017  0.286 1.121  0.409 1.178  0.556 1.178  0.702 1.178  0.849 1.178  0.964 1.255  1.067 1.359
1c#apa#apa00#app0006/w  -1.090 1.367  -1.090 1.195  -1.020 1.053  -0.969 0.903  -0.969 0.732  -0.969 0.560  -0.969 0.389  -0.945 0.223  -0.868 0.070  -0.847 -0.097  -0.847 -0.268  -0.774 -0.409  -0.725 -0.561  -0.725 -0.732  -0.725 -0.903  -0.596 -0.945  -0.441 -0.904  -0.360 -0.766  -0.360 -0.595  -0.250 -0.469  -0.239 -0.302  -0.179 -0.156  -0.117 -0.010  -0.109 0.158  0.004 0.282  0.004 0.454  0.082 0.593  0.126 0.746  0.164 0.880  0.248 0.967  0.369 0.986  0.369 0.815  0.369 0.643  0.369 0.472  0.369 0.301  0.369 0.129  0.369 -0.042  0.454 -0.178  0.491 -0.334  0.525 -0.492  0.660 -0.580  0.778 -0.666  0.854 -0.820  1.024 -0.823  1.195 -0.823  1.324 -0.721  1.343 -0.557  1.394 -0.407  1.464 -0.265  1.464 -0.093
1c#apa#apa00#app0006/h  -0.459 1.940  -0.459 1.770  -0.459 1.600  -0.459 1.430  -0.459 1.261  -0.459 1.091  -0.464 0.922  -0.539 0.770  -0.560 0.605  -0.560 0.435  -0.560 0.266  -0.560 0.096  -0.560 -0.074  -0.560 -0.244  -0.560 -0.414  -0.560 -0.584  -0.560 -0.753  -0.534 -0.912  -0.459 -1.051  -0.358 -1.057  -0.358 -0.887  -0.358 -0.717  -0.358 -0.547  -0.358 -0.377  -0.358 -0.207  -0.258 -0.079  -0.209 0.070  -0.089 0.190  0.031 0.311  0.152 0.429  0.304 0.505  0.434 0.612  0.496 0.729  0.666 0.729  0.693 0.669  0.644 0.520  0.550 0.389  0.550 0.219  0.550 0.049  0.550 -0.121  0.550 -0.290  0.550 -0.460  0.550 -0.630  0.550 -0.800  0.587 -0.961  0.651 -1.116  0.747 -1.189  0.752 -1.354  0.885 -1.391  1.055 -1.391
1c#apa#apa00#app0006/i  -0.124 0.544  -0.029 0.505  -0.084 0.394  -0.124 0.278  -0.205 0.178  -0.299 0.084  -0.314 -0.044  -0.314 -0.177  -0.314 -0.310  -0.314 -0.444  -0.314 -0.577  -0.314 -0.711  -0.314 -0.844  -0.314 -0.977  -0.314 -1.111  -0.234 -1.165  -0.219 -1.282  -0.157 -1.354  -0.029 -1.349  0.002 -1.229  0.108 -1.165  0.161 -1.084  0.256 -1.045  0.319 -0.975  0.357 -0.880  0.445 -0.835  0.529 -0.785  0.504 -0.668  0.465 -0.541  0.426 -0.413  0.387 -0.286  0.348 -0.158  0.308 -0.031  0.269 0.096  0.230 0.224  0.191 0.351  0.151 0.479  0.112 0.606  0.073 0.734  0.034 0.861  -0.005 0.989  -0.045 1.116  -0.084 1.244  -0.123 1.371  -0.162 1.499  -0.202 1.626  -0.145 1.682  -0.142 1.777  -0.219 1.834  -0.219 1.967
1c#apa#apa00#app0006/l  -0.682 -0.536  -0.542 -0.536  -0.435 -0.458  -0.336 -0.359  -0.237 -0.260  -0.138 -0.161  -0.039 -0.062  0.060 0.037  0.129 0.158  0.209 0.271  0.308 0.370  0.329 0.501  0.387 0.617  0.413 0.746  0.413 0.886  0.413 1.026  0.413 1.166  0.413 1.306  0.368 1.401  0.312 1.485  0.172 1.485  0.116 1.401  0.076 1.301  0.005 1.232  -0.008 1.105  -0.008 0.965  -0.058 0.846  -0.092 0.720  -0.092 0.580  -0.092 0.440  -0.092 0.300  -0.120 0.166  -0.176 0.040  -0.176 -0.100  -0.176 -0.240  -0.176 -0.380  -0.176 -0.520  -0.176 -0.660  -0.176 -0.800  -0.176 -0.940  -0.176 -1.080  -0.169 -1.217  -0.092 -1.325  -0.092 -1.465  -0.092 -1.605  -0.008 -1.661  -0.007 -1.631  0.076 -1.574  0.160 -1.519  0.245 -1.463
1c#apa#apa00#app0006/e  -0.714 -0.298  -0.559 -0.283  -0.417 -0.212  -0.267 -0.175  -0.141 -0.096  -0.029 0.016  0.084 0.128  0.214 0.196  0.363 0.240  0.504 0.311  0.537 0.443  0.691 0.466  0.833 0.537  0.984 0.567  1.017 0.693  0.979 0.814  0.893 0.887  0.785 0.937  0.668 1.039  0.556 1.151  0.411 1.185  0.376 1.061  0.217 1.061  0.151 0.968  0.024 0.937  -0.096 0.898  -0.170 0.814  -0.219 0.705  -0.321 0.588  -0.400 0.452  -0.474 0.312  -0.586 0.200  -0.620 0.072  -0.714 0.008  -0.714 -0.151  -0.714 -0.310  -0.714 -0.468  -0.714 -0.627  -0.714 -0.786  -0.694 -0.936  -0.585 -1.051  -0.514 -1.192  -0.414 -1.287  -0.281 -1.349  -0.148 -1.411  0.011 -1.411  0.170 -1.411  0.328 -1.411  0.487 -1.411  0.646 -1.411
1c#apa#apa00#app0006/d  0.194 0.007  0.155 0.183  0.029 0.271  -0.070 0.387  -0.189 0.534  -0.333 0.464  -0.494 0.359  -0.588 0.192  -0.685 0.017  -0.773 -0.109  -0.861 -0.288  -0.861 -0.502  -0.938 -0.685  -0.948 -0.895  -0.904 -1.092  -0.861 -1.288  -0.757 -1.399  -0.579 -1.311  -0.452 -1.223  -0.353 -1.068  -0.238 -0.952  -0.157 -0.771  -0.095 -0.571  0.001 -0.379  0.058 -0.178  0.115 0.024  0.211 0.216  0.282 0.414  0.363 0.609  0.458 0.801  0.458 1.016  0.458 1.231  0.458 1.445  0.458 1.660  0.546 1.743  0.546 1.528  0.540 1.315  0.458 1.120  0.458 0.905  0.458 0.690  0.458 0.476  0.458 0.261  0.436 0.051  0.370 -0.148  0.370 -0.362  0.370 -0.577  0.370 -0.792  0.458 -0.970  0.507 -1.136  0.634 -1.223
1c#apa#apa00#app0006/r  -0.474 1.361  -0.474 1.215  -0.474 1.070  -0.474 0.925  -0.474 0.780  -0.474 0.634  -0.474 0.489  -0.474 0.344  -0.442 0.206  -0.377 0.076  -0.338 -0.060  -0.338 -0.205  -0.338 -0.350  -0.338 -0.495  -0.338 -0.641  -0.264 -0.755  -0.202 -0.875  -0.202 -1.020  -0.202 -1.165  -0.202 -1.311  -0.202 -1.456  -0.202 -1.601  -0.202 -1.519  -0.202 -1.374  -0.202 -1.229  -0.202 -1.083  -0.202 -0.938  -0.202 -0.793  -0.202 -0.648  -0.202 -0.502  -0.202 -0.357  -0.202 -0.212  -0.153 -0.087  -0.066 0.022  -0.066 0.167  -0.026 0.272  0.070 0.322  0.111 0.450  0.214 0.552  0.317 0.655  0.452 0.680  0.562 0.764  0.686 0.816  0.831 0.816  0.886 0.906  0.985 0.952  1.131 0.952  1.158 1.070  1.285 1.088  1.430 1.088
1c#apa#apa00#app0006/i  -0.218 0.307  -0.301 0.224  -0.320 0.114  -0.402 0.030  -0.402 -0.087  -0.402 -0.204  -0.402 -0.322  -0.402 -0.439  -0.402 -0.557  -0.356 -0.655  -0.310 -0.754  -0.310 -0.871  -0.236 -0.958  -0.218 -1.068  -0.135 -1.151  -0.052 -1.234  0.059 -1.251  0.148 -1.223  0.202 -1.159  0.320 -1.159  0.342 -1.058  0.425 -0.976  0.535 -0.956  0.601 -0.869  0.563 -0.758  0.525 -0.647  0.486 -0.536  0.448 -0.425  0.410 -0.314  0.372 -0.203  0.333 -0.092  0.295 0.019  0.257 0.130  0.218 0.241  0.180 0.352  0.142 0.463  0.103 0.574  0.065 0.686  0.027 0.797  -0.011 0.908  -0.050 1.019  -0.088 1.130  -0.126 1.241  -0.165 1.352  -0.203 1.463  -0.241 1.574  -0.279 1.685  -0.327 1.790  -0.393 1.873  -0.310 1.956
1c#apa#apa00#app0006/n  -0.817 1.428  -0.817 1.265  -0.817 1.103  -0.817 0.940  -0.817 0.778  -0.817 0.616  -0.817 0.453  -0.791 0.297  -0.719 0.151  -0.697 -0.006  -0.697 -0.168  -0.641 -0.307  -0.577 -0.444  -0.577 -0.606  -0.577 -0.768  -0.577 -0.770  -0.577 -0.608  -0.545 -0.459  -0.457 -0.333  -0.457 -0.170  -0.455 -0.009  -0.340 0.106  -0.310 0.256  -0.218 0.380  -0.165 0.521  -0.050 0.636  0.065 0.751  0.195 0.828  0.329 0.896  0.470 0.948  0.633 0.948  0.742 0.895  0.742 0.732  0.742 0.570  0.742 0.407  0.742 0.245  0.742 0.083  0.693 -0.060  0.622 -0.193  0.622 -0.355  0.622 -0.517  0.622 -0.680  0.622 -0.842  0.622 -1.005  0.622 -1.167  0.622 -1.330  0.664 -1.450  0.826 -1.450  0.867 -1.325  0.982 -1.210
1c#apa#apa00#app0006/k  -0.173 2.213  -0.090 2.045  -0.173 1.877  -0.173 1.675  -0.173 1.473  -0.187 1.274  -0.256 1.088  -0.256 0.886  -0.256 0.684  -0.256 0.482  -0.256 0.279  -0.256 0.077  -0.256 -0.125  -0.256 -0.327  -0.334 -0.511  -0.339 -0.712  -0.339 -0.914  -0.383 -1.105  -0.455 -1.264  -0.504 -1.111  -0.504 -0.909  -0.504 -0.707  -0.504 -0.505  -0.504 -0.303  -0.442 -0.126  -0.416 0.065  -0.332 0.232  -0.171 0.351  -0.011 0.470  0.106 0.557  0.301 0.587  0.491 0.640  0.659 0.557  0.738 0.433  0.625 0.278  0.527 0.143  0.432 0.002  0.264 -0.082  0.106 -0.188  -0.013 -0.271  0.035 -0.271  0.075 -0.433  0.158 -0.601  0.241 -0.768  0.327 -0.933  0.434 -1.044  0.577 -1.187  0.738 -1.274  0.867 -1.347  1.069 -1.347
1c#apa#apa00#app0006/i  -0.049 0.631  0.039 0.543  0.066 0.429  0.066 0.305  -0.008 0.211  -0.049 0.103  -0.049 -0.021  -0.049 -0.146  -0.049 -0.271  -0.049 -0.395  -0.049 -0.520  -0.049 -0.645  -0.049 -0.769  -0.049 -0.894  -0.049 -1.019  -0.049 -1.143  -0.049 -1.268  -0.049 -1.393  -0.049 -1.517  -0.132 -1.559  -0.154 -1.467  -0.141 -1.343  -0.128 -1.220  -0.115 -1.096  -0.101 -0.972  -0.088 -0.848  -0.075 -0.724  -0.061 -0.600  -0.048 -0.476  -0.035 -0.352  -0.022 -0.228  -0.008 -0.104  0.005 0.020  0.018 0.144  0.032 0.268  0.045 0.392  0.058 0.516  0.071 0.639  0.085 0.763  0.098 0.887  0.111 1.011  0.124 1.135  0.138 1.259  0.151 1.383  0.164 1.507  0.178 1.631  0.182 1.755  0.085 1.784  0.066 1.889  0.066 1.784
1c#apa#apa00#app0006/n  -0.940 1.034  -0.940 0.878  -0.940 0.722  -0.940 0.566  -0.940 0.410  -0.940 0.254  -0.940 0.098  -0.940 -0.058  -0.940 -0.213  -0.890 -0.358  -0.822 -0.498  -0.822 -0.654  -0.786 -0.801  -0.716 -0.940  -0.705 -1.069  -0.669 -0.928  -0.587 -0.806  -0.587 -0.650  -0.504 -0.528  -0.470 -0.386  -0.405 -0.246  -0.352 -0.102  -0.298 0.031  -0.235 0.161  -0.160 0.286  -0.117 0.424  0.000 0.462  0.039 0.602  0.162 0.681  0.294 0.740  0.425 0.799  0.470 0.910  0.620 0.916  0.776 0.916  0.932 0.916  0.940 0.769  0.940 0.614  0.940 0.458  0.940 0.302  0.894 0.165  0.823 0.039  0.823 -0.117  0.823 -0.273  0.823 -0.429  0.823 -0.585  0.823 -0.741  0.859 -0.882  0.981 -0.964  1.137 -0.964  1.293 -0.964
1c#apa#apa00#app0006/g  0.230 1.006  0.230 1.130  0.188 1.236  0.073 1.256  0.012 1.194  -0.102 1.153  -0.154 1.060  -0.241 0.972  -0.329 0.885  -0.333 0.763  -0.333 0.640  -0.333 0.516  -0.270 0.419  -0.185 0.381  -0.086 0.440  0.011 0.506  0.042 0.598  0.062 0.713  0.105 0.819  0.105 0.942  0.227 0.943  0.230 0.948  0.230 0.824  0.230 0.701  0.230 0.577  0.230 0.454  0.230 0.330  0.230 0.207  0.230 0.083  0.230 -0.040  0.230 -0.164  0.230 -0.287  0.230 -0.411  0.230 -0.534  0.230 -0.658  0.230 -0.781  0.199 -0.900  0.167 -1.018  0.167 -1.141  0.153 -1.259  0.105 -1.362  0.015 -1.432  -0.046 -1.495  -0.144 -1.557  -0.267 -1.558  -0.391 -1.558  -0.435 -1.455  -0.541 -1.412  -0.645 -1.368  -0.708 -1.307
