2#app#app06#app0625/!  -0.582 1.942  -0.582 1.837  -0.528 1.755  -0.515 1.656  -0.475 1.567  -0.448 1.474  -0.448 1.369  -0.414 1.272  -0.380 1.175  -0.380 1.070  -0.313 0.993  -0.313 0.889  -0.301 0.789  -0.246 0.707  -0.246 0.602  -0.179 0.525  -0.165 0.423  -0.132 0.323  -0.112 0.222  -0.055 0.141  -0.045 0.040  -0.001 -0.047  0.027 -0.137  0.089 -0.180  0.102 -0.271  0.156 -0.322  0.156 -0.427  0.156 -0.532  0.156 -0.636  0.156 -0.741  0.156 -0.846  0.156 -0.934  0.202 -0.875  0.240 -0.808  0.290 -0.754  0.382 -0.741  0.487 -0.741  0.559 -0.814  0.559 -0.918  0.559 -1.023  0.507 -1.076  0.402 -1.076  0.297 -1.076  0.223 -1.046  0.175 -0.961  0.089 -0.931  0.089 -0.826  0.109 -0.741  0.156 -0.684  0.223 -0.607
2#app#app06#app0625/~  -1.221 0.603  -1.221 0.496  -1.221 0.390  -1.221 0.283  -1.175 0.223  -1.068 0.223  -1.031 0.154  -1.031 0.047  -1.031 -0.059  -1.031 -0.166  -1.031 -0.272  -0.999 -0.346  -0.893 -0.346  -0.842 -0.402  -0.842 -0.508  -0.763 -0.536  -0.657 -0.536  -0.580 -0.608  -0.505 -0.683  -0.416 -0.726  -0.310 -0.726  -0.203 -0.726  -0.097 -0.726  -0.017 -0.660  0.058 -0.585  0.107 -0.499  0.107 -0.392  0.150 -0.304  0.225 -0.228  0.297 -0.152  0.297 -0.045  0.316 0.053  0.392 0.128  0.467 0.203  0.542 0.279  0.617 0.354  0.676 0.436  0.676 0.542  0.723 0.603  0.829 0.603  0.935 0.603  1.042 0.603  1.148 0.603  1.245 0.593  1.245 0.487  1.278 0.413  1.384 0.413  1.474 0.374  1.550 0.298  1.625 0.223
2#app#app06#app0625/  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.935 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.935 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
2#app#app06#app0625/_  -1.738 -0.269  -1.654 -0.269  -1.570 -0.269  -1.486 -0.269  -1.402 -0.269  -1.318 -0.269  -1.234 -0.269  -1.150 -0.269  -1.150 -0.185  -1.150 -0.101  -1.094 -0.073  -1.010 -0.073  -0.927 -0.073  -0.843 -0.073  -0.759 -0.073  -0.675 -0.073  -0.591 -0.073  -0.507 -0.073  -0.423 -0.073  -0.339 -0.073  -0.255 -0.073  -0.171 -0.073  -0.087 -0.073  -0.003 -0.073  0.081 -0.073  0.165 -0.073  0.220 -0.045  0.220 0.039  0.220 0.123  0.304 0.123  0.388 0.123  0.472 0.123  0.556 0.123  0.640 0.123  0.724 0.123  0.808 0.123  0.892 0.123  0.976 0.123  1.004 0.178  1.004 0.262  1.032 0.318  1.116 0.318  1.200 0.318  1.200 0.234  1.200 0.151  1.256 0.123  1.339 0.123  1.423 0.123  1.507 0.123  1.591 0.123
2#app#app06#app0625/+  -0.452 2.057  -0.287 2.057  -0.266 1.913  -0.266 1.748  -0.266 1.584  -0.266 1.419  -0.266 1.254  -0.266 1.089  -0.266 0.924  -0.266 0.759  -0.153 0.640  -0.079 0.506  -0.079 0.341  -0.071 0.178  0.002 0.030  0.076 -0.117  0.107 -0.275  0.107 -0.440  0.145 -0.589  0.261 -0.706  0.293 -0.858  0.293 -1.023  0.293 -1.188  0.349 -1.297  0.480 -1.331  0.480 -1.471  0.480 -1.306  0.369 -1.187  0.253 -1.070  0.136 -0.954  0.019 -0.837  -0.097 -0.720  -0.214 -0.604  -0.330 -0.487  -0.447 -0.370  -0.564 -0.254  -0.680 -0.137  -0.797 -0.020  -0.699 0.007  -0.534 0.007  -0.369 0.007  -0.204 0.007  -0.039 0.007  0.126 0.007  0.291 0.007  0.456 0.007  0.580 0.107  0.709 0.193  0.874 0.193  1.039 0.193
2#app#app06#app0625/=  -1.010 1.157  -0.884 1.157  -0.766 1.137  -0.677 1.048  -0.588 0.959  -0.472 0.934  -0.346 0.934  -0.219 0.934  -0.115 0.912  -0.115 0.786  -0.065 0.710  0.061 0.710  0.188 0.710  0.314 0.710  0.440 0.710  0.566 0.710  0.692 0.710  0.818 0.710  0.945 0.710  0.952 0.666  0.856 0.584  0.761 0.502  0.665 0.420  0.569 0.338  0.473 0.256  0.378 0.174  0.282 0.091  0.186 0.009  0.090 -0.073  -0.006 -0.155  -0.101 -0.237  -0.197 -0.319  -0.293 -0.401  -0.389 -0.483  -0.484 -0.565  -0.562 -0.656  -0.562 -0.782  -0.562 -0.908  -0.562 -1.034  -0.482 -1.080  -0.356 -1.080  -0.339 -1.189  -0.327 -1.303  -0.201 -1.303  -0.075 -1.303  0.051 -1.303  0.178 -1.303  0.304 -1.303  0.430 -1.303  0.556 -1.303
2#app#app06#app0625/[  0.660 1.143  0.569 1.143  0.478 1.143  0.387 1.143  0.312 1.127  0.312 1.036  0.230 1.026  0.139 1.026  0.048 1.026  -0.043 1.026  -0.134 1.026  -0.153 1.099  -0.200 1.143  -0.269 1.120  -0.269 1.029  -0.269 0.938  -0.224 0.866  -0.160 0.801  -0.153 0.713  -0.153 0.622  -0.153 0.531  -0.153 0.440  -0.153 0.349  -0.153 0.258  -0.153 0.167  -0.153 0.076  -0.153 -0.015  -0.153 -0.106  -0.153 -0.197  -0.153 -0.288  -0.153 -0.379  -0.153 -0.470  -0.153 -0.561  -0.153 -0.652  -0.153 -0.744  -0.153 -0.835  -0.153 -0.926  -0.153 -1.017  -0.109 -1.064  -0.037 -1.083  -0.037 -1.174  -0.037 -1.265  -0.037 -1.356  -0.002 -1.412  0.089 -1.412  0.180 -1.412  0.271 -1.412  0.362 -1.412  0.453 -1.412  0.544 -1.412
2#app#app06#app0625/]  -0.732 1.266  -0.643 1.266  -0.554 1.266  -0.465 1.266  -0.376 1.266  -0.321 1.232  -0.321 1.143  -0.247 1.129  -0.185 1.102  -0.185 1.013  -0.117 0.992  -0.048 0.973  -0.048 0.884  0.013 0.856  0.102 0.856  0.191 0.856  0.226 0.802  0.226 0.713  0.226 0.624  0.193 0.549  0.130 0.486  0.089 0.414  0.089 0.325  0.089 0.237  0.089 0.148  0.089 0.059  0.089 -0.030  0.089 -0.119  0.089 -0.208  0.130 -0.280  0.193 -0.342  0.226 -0.418  0.226 -0.506  0.226 -0.595  0.226 -0.684  0.226 -0.773  0.226 -0.862  0.226 -0.951  0.226 -1.039  0.226 -1.128  0.226 -1.217  0.226 -1.306  0.164 -1.333  0.075 -1.333  -0.014 -1.333  -0.048 -1.388  -0.055 -1.470  -0.144 -1.470  -0.233 -1.470  -0.321 -1.470
2#app#app06#app0625/{  0.327 1.658  0.260 1.590  0.193 1.523  0.126 1.456  0.080 1.380  0.078 1.287  -0.017 1.287  -0.044 1.219  -0.044 1.124  -0.044 1.029  -0.044 0.934  -0.121 0.916  -0.167 0.867  -0.167 0.772  -0.167 0.677  -0.081 0.669  -0.044 0.611  -0.044 0.516  -0.043 0.421  0.052 0.421  0.080 0.355  0.080 0.260  0.073 0.167  0.006 0.100  -0.044 0.026  -0.044 -0.069  -0.135 -0.073  -0.167 -0.136  -0.167 -0.231  -0.162 -0.320  -0.067 -0.320  0.028 -0.320  0.080 -0.363  0.080 -0.458  0.080 -0.553  0.080 -0.648  0.043 -0.728  -0.024 -0.795  -0.044 -0.882  -0.044 -0.977  -0.044 -1.072  -0.044 -1.167  -0.044 -1.262  -0.044 -1.357  -0.044 -1.452  -0.044 -1.547  0.042 -1.556  0.080 -1.614  0.109 -1.680  0.204 -1.680
2#app#app06#app0625/}  -0.322 1.667  -0.322 1.567  -0.271 1.518  -0.172 1.518  -0.072 1.518  -0.024 1.466  -0.024 1.366  -0.024 1.266  -0.024 1.167  -0.024 1.067  -0.024 0.967  -0.024 0.867  -0.028 0.769  -0.099 0.698  -0.169 0.628  -0.173 0.530  -0.219 0.475  -0.318 0.475  -0.322 0.379  -0.289 0.293  -0.218 0.222  -0.137 0.177  -0.037 0.177  -0.024 0.091  0.013 0.028  0.113 0.028  0.125 -0.060  0.125 -0.160  0.125 -0.259  0.035 -0.270  -0.024 -0.310  -0.024 -0.410  -0.024 -0.510  0.018 -0.568  0.117 -0.568  0.125 -0.660  0.125 -0.760  0.125 -0.860  0.219 -0.866  0.274 -0.911  0.274 -1.010  0.274 -1.110  0.274 -1.210  0.274 -1.310  0.274 -1.410  0.226 -1.462  0.126 -1.462  0.125 -1.560  0.076 -1.611  -0.024 -1.611
2#app#app06#app0625/\\  -0.683 1.531  -0.683 1.446  -0.683 1.362  -0.683 1.277  -0.683 1.192  -0.626 1.165  -0.541 1.165  -0.500 1.122  -0.500 1.037  -0.500 0.952  -0.500 0.868  -0.500 0.783  -0.500 0.698  -0.500 0.614  -0.500 0.529  -0.500 0.444  -0.500 0.360  -0.500 0.275  -0.441 0.250  -0.356 0.250  -0.317 0.204  -0.317 0.120  -0.295 0.044  -0.235 -0.016  -0.175 -0.076  -0.107 -0.117  -0.023 -0.117  0.049 -0.129  0.049 -0.214  0.049 -0.299  0.108 -0.359  0.168 -0.419  0.228 -0.479  0.311 -0.483  0.396 -0.483  0.415 -0.548  0.415 -0.632  0.452 -0.702  0.511 -0.762  0.571 -0.822  0.631 -0.882  0.691 -0.941  0.751 -1.001  0.823 -1.032  0.907 -1.032  0.965 -1.060  0.965 -1.144  0.965 -1.229  0.965 -1.313  0.965 -1.398
2#app#app06#app0625/,  -0.150 1.566  -0.071 1.566  0.009 1.566  0.088 1.566  0.128 1.527  0.128 1.447  0.128 1.368  0.128 1.288  0.128 1.209  0.128 1.129  0.128 1.050  0.128 0.970  0.128 0.891  0.128 0.811  0.128 0.732  0.128 0.652  0.128 0.573  0.128 0.493  0.128 0.414  0.128 0.335  0.128 0.255  0.128 0.176  0.128 0.096  0.128 0.017  0.128 -0.063  0.128 -0.142  0.128 -0.222  0.128 -0.301  0.128 -0.381  0.128 -0.460  0.128 -0.540  0.128 -0.619  0.128 -0.699  0.128 -0.778  0.128 -0.857  0.128 -0.937  0.048 -0.937  -0.031 -0.937  -0.110 -0.937  -0.150 -0.977  -0.150 -1.056  -0.150 -1.136  -0.150 -1.215  -0.230 -1.215  -0.309 -1.215  -0.389 -1.215  -0.468 -1.215  -0.548 -1.215  -0.627 -1.215  -0.706 -1.215
2#app#app06#app0625/  0.531 1.613  0.531 1.532  0.531 1.450  0.531 1.369  0.531 1.287  0.531 1.206  0.531 1.124  0.525 1.049  0.443 1.049  0.362 1.049  0.343 0.986  0.343 0.905  0.343 0.823  0.343 0.742  0.334 0.664  0.276 0.606  0.219 0.549  0.161 0.491  0.155 0.412  0.155 0.330  0.155 0.249  0.155 0.167  0.132 0.109  0.050 0.109  -0.031 0.109  -0.033 0.029  -0.033 -0.052  -0.033 -0.134  -0.033 -0.215  -0.054 -0.288  -0.112 -0.345  -0.169 -0.403  -0.221 -0.463  -0.221 -0.545  -0.221 -0.626  -0.267 -0.689  -0.324 -0.746  -0.382 -0.804  -0.409 -0.874  -0.409 -0.956  -0.409 -1.037  -0.409 -1.119  -0.409 -1.200  -0.484 -1.207  -0.565 -1.207  -0.597 -1.257  -0.597 -1.338  -0.597 -1.420  -0.597 -1.501  -0.597 -1.583
2#app#app06#app0625/?  -0.404 1.290  -0.317 1.290  -0.230 1.290  -0.143 1.290  -0.056 1.290  0.030 1.290  0.117 1.290  0.204 1.290  0.286 1.285  0.286 1.199  0.286 1.112  0.286 1.025  0.286 0.938  0.286 0.851  0.240 0.784  0.179 0.722  0.171 0.639  0.138 0.566  0.076 0.505  0.056 0.426  0.026 0.370  -0.060 0.368  -0.122 0.307  -0.174 0.242  -0.174 0.155  -0.174 0.068  -0.174 -0.019  -0.174 -0.105  -0.174 -0.192  -0.174 -0.279  -0.174 -0.366  -0.174 -0.453  -0.174 -0.539  -0.174 -0.626  -0.158 -0.710  -0.131 -0.793  -0.103 -0.875  -0.076 -0.957  -0.049 -1.040  -0.021 -1.122  0.006 -1.204  0.034 -1.287  0.056 -1.370  0.056 -1.457  0.130 -1.470  0.171 -1.424  0.159 -1.367  0.098 -1.428  0.056 -1.441  0.056 -1.355
2#app#app06#app0625/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#app#app06#app0625/\"  -0.847 1.238  -0.847 1.094  -0.847 0.951  -0.847 0.807  -0.847 0.663  -0.847 0.519  -0.847 0.376  -0.847 0.232  -0.847 0.088  -0.847 -0.056  -0.847 -0.200  -0.847 -0.343  -0.847 -0.487  -0.847 -0.631  -0.847 -0.775  -0.791 -0.862  -0.648 -0.862  -0.547 -0.906  -0.547 -1.050  -0.532 -1.136  -0.461 -1.011  -0.389 -0.886  -0.318 -0.761  -0.247 -0.636  -0.175 -0.511  -0.104 -0.387  -0.033 -0.262  0.039 -0.137  0.110 -0.012  0.181 0.113  0.253 0.238  0.324 0.362  0.395 0.487  0.467 0.612  0.538 0.737  0.609 0.862  0.692 0.899  0.794 0.797  0.896 0.695  0.953 0.575  0.953 0.432  0.953 0.288  0.953 0.144  0.991 0.038  1.135 0.038  1.253 0.013  1.253 -0.131  1.253 -0.275  1.253 -0.419  1.253 -0.562
2#app#app06#app0625/<  0.723 1.644  0.650 1.570  0.576 1.497  0.569 1.397  0.527 1.335  0.423 1.335  0.414 1.240  0.383 1.150  0.310 1.076  0.260 0.993  0.260 0.890  0.174 0.872  0.081 0.847  0.007 0.774  -0.049 0.693  -0.049 0.590  -0.103 0.509  -0.177 0.436  -0.250 0.362  -0.323 0.289  -0.357 0.200  -0.357 0.096  -0.357 -0.008  -0.415 -0.054  -0.512 -0.061  -0.512 -0.164  -0.571 -0.208  -0.666 -0.217  -0.666 -0.321  -0.666 -0.424  -0.658 -0.525  -0.585 -0.598  -0.512 -0.671  -0.512 -0.775  -0.459 -0.826  -0.355 -0.826  -0.252 -0.826  -0.148 -0.826  -0.049 -0.830  -0.049 -0.934  0.009 -0.980  0.112 -0.980  0.216 -0.980  0.319 -0.980  0.420 -0.986  0.494 -1.059  0.567 -1.133  0.670 -1.134  0.723 -1.185  0.723 -1.288
2#app#app06#app0625/|  0.035 1.707  0.035 1.637  0.035 1.567  0.035 1.496  0.035 1.426  0.035 1.356  0.035 1.286  0.035 1.215  0.035 1.145  0.035 1.075  0.035 1.004  0.035 0.934  0.035 0.864  0.035 0.794  0.035 0.723  0.035 0.653  0.035 0.583  0.035 0.513  0.035 0.442  0.035 0.372  0.035 0.302  0.035 0.231  0.035 0.161  0.035 0.091  0.035 0.021  0.035 -0.050  0.035 -0.120  0.035 -0.190  0.035 -0.260  0.015 -0.322  -0.035 -0.372  -0.052 -0.435  -0.052 -0.505  -0.052 -0.576  -0.052 -0.646  -0.052 -0.716  -0.052 -0.786  -0.052 -0.857  -0.052 -0.927  -0.052 -0.997  -0.052 -1.068  -0.052 -1.138  -0.052 -1.208  -0.052 -1.278  -0.052 -1.349  -0.052 -1.419  -0.052 -1.489  -0.052 -1.559  -0.052 -1.630  -0.052 -1.700
2#app#app06#app0625/>  -0.575 1.552  -0.478 1.552  -0.437 1.497  -0.437 1.401  -0.437 1.304  -0.368 1.277  -0.300 1.249  -0.300 1.153  -0.241 1.081  -0.173 1.013  -0.162 0.921  -0.122 0.864  -0.026 0.864  -0.024 0.769  -0.024 0.673  -0.012 0.589  0.085 0.589  0.113 0.521  0.132 0.432  0.200 0.364  0.251 0.289  0.251 0.193  0.331 0.176  0.389 0.137  0.389 0.041  0.455 -0.028  0.523 -0.096  0.526 -0.191  0.526 -0.288  0.526 -0.384  0.526 -0.480  0.526 -0.577  0.504 -0.650  0.407 -0.650  0.389 -0.728  0.352 -0.788  0.256 -0.788  0.186 -0.853  0.118 -0.921  0.023 -0.926  -0.059 -0.960  -0.127 -1.028  -0.195 -1.097  -0.263 -1.165  -0.345 -1.201  -0.440 -1.204  -0.508 -1.272  -0.576 -1.340  -0.644 -1.408  -0.713 -1.476
